id,given_name,family_name,name,sort_name,birth_date,gender,area,area_id,party,party_id,term,source,image
ABS,Anne Brit,Stråtveit,Anne Brit Stråtveit,"Stråtveit, Anne Brit",1947-04-22,female,Vest-Agder,VA,Kristelig Folkeparti,KrF,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=ABS&storrelse=middels
ACS,Anders C.,Sjaastad,Anders C. Sjaastad,"Sjaastad, Anders C.",1942-02-21,male,Oslo,Os,Høyre,H,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
ACS,Anders C.,Sjaastad,Anders C. Sjaastad,"Sjaastad, Anders C.",1942-02-21,male,Oslo,Os,Høyre,H,1989-93,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1989-93,
ACS,Anders C.,Sjaastad,Anders C. Sjaastad,"Sjaastad, Anders C.",1942-02-21,male,Oslo,Os,Høyre,H,1985-89,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1985-89,
AD,Anneliese,Dørum,Anneliese Dørum,"Dørum, Anneliese",1939-10-03,female,Akershus,Ak,Arbeiderpartiet,A,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AD&storrelse=middels
AD,Anneliese,Dørum,Anneliese Dørum,"Dørum, Anneliese",1939-10-03,female,Akershus,Ak,Arbeiderpartiet,A,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AD,Anneliese,Dørum,Anneliese Dørum,"Dørum, Anneliese",1939-10-03,female,Akershus,Ak,Arbeiderpartiet,A,1989-93,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1989-93,
AD,Anneliese,Dørum,Anneliese Dørum,"Dørum, Anneliese",1939-10-03,female,Akershus,Ak,Arbeiderpartiet,A,1985-89,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1985-89,
ADA,André Oktay,Dahl,André Oktay Dahl,"Dahl, André Oktay",1975-07-07,male,Akershus,Ak,Høyre,H,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=ADA&storrelse=middels
ADA,André Oktay,Dahl,André Oktay Dahl,"Dahl, André Oktay",1975-07-07,male,Akershus,Ak,Høyre,H,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=ADA&storrelse=middels
ADV,Åse Gunhild Woie,Duesund,Åse Gunhild Woie Duesund,"Duesund, Åse Gunhild Woie",1944-04-18,female,Aust-Agder,AA,Kristelig Folkeparti,KrF,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=ADV&storrelse=middels
ADV,Åse Gunhild Woie,Duesund,Åse Gunhild Woie Duesund,"Duesund, Åse Gunhild Woie",1944-04-18,female,Aust-Agder,AA,Kristelig Folkeparti,KrF,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=ADV&storrelse=middels
ADV,Åse Gunhild Woie,Duesund,Åse Gunhild Woie Duesund,"Duesund, Åse Gunhild Woie",1944-04-18,female,Aust-Agder,AA,Kristelig Folkeparti,KrF,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=ADV&storrelse=middels
AEL,Anne,Enger,Anne Enger,"Enger, Anne",1949-12-09,female,Akershus,Ak,Senterpartiet,Sp,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AEL&storrelse=middels
AEL,Anne,Enger,Anne Enger,"Enger, Anne",1949-12-09,female,Akershus,Ak,Senterpartiet,Sp,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AEL,Anne,Enger,Anne Enger,"Enger, Anne",1949-12-09,female,Akershus,Ak,Senterpartiet,Sp,1989-93,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1989-93,
AEL,Anne,Enger,Anne Enger,"Enger, Anne",1949-12-09,female,Akershus,Ak,Senterpartiet,Sp,1985-89,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1985-89,
AESO,Arne,Sortevik,Arne Sortevik,"Sortevik, Arne",1947-03-12,male,Hordaland,Ho,Fremskrittspartiet,FrP,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=AESO&storrelse=middels
AESO,Arne,Sortevik,Arne Sortevik,"Sortevik, Arne",1947-03-12,male,Hordaland,Ho,Fremskrittspartiet,FrP,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=AESO&storrelse=middels
AESO,Arne,Sortevik,Arne Sortevik,"Sortevik, Arne",1947-03-12,male,Hordaland,Ho,Fremskrittspartiet,FrP,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AESO&storrelse=middels
AG,Ansgar,Gabrielsen,Ansgar Gabrielsen,"Gabrielsen, Ansgar",1955-05-21,male,Vest-Agder,VA,Høyre,H,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AG&storrelse=middels
AG,Ansgar,Gabrielsen,Ansgar Gabrielsen,"Gabrielsen, Ansgar",1955-05-21,male,Vest-Agder,VA,Høyre,H,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AG&storrelse=middels
AG,Ansgar,Gabrielsen,Ansgar Gabrielsen,"Gabrielsen, Ansgar",1955-05-21,male,Vest-Agder,VA,Høyre,H,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AGES,Åge,Starheim,Åge Starheim,"Starheim, Åge",1946-05-23,male,Sogn og Fjordane,SF,Fremskrittspartiet,FrP,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=AGES&storrelse=middels
AGES,Åge,Starheim,Åge Starheim,"Starheim, Åge",1946-05-23,male,Sogn og Fjordane,SF,Fremskrittspartiet,FrP,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=AGES&storrelse=middels
AGV,Ågot,Valle,Ågot Valle,"Valle, Ågot",1945-05-26,female,Hordaland,Ho,Sosialistisk Venstreparti,SV,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=AGV&storrelse=middels
AGV,Ågot,Valle,Ågot Valle,"Valle, Ågot",1945-05-26,female,Hordaland,Ho,Sosialistisk Venstreparti,SV,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AGV&storrelse=middels
AGV,Ågot,Valle,Ågot Valle,"Valle, Ågot",1945-05-26,female,Hordaland,Ho,Sosialistisk Venstreparti,SV,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AGV&storrelse=middels
AHI,Arild,Hiim,Arild Hiim,"Hiim, Arild",1945-08-17,male,Buskerud,Bu,Høyre,H,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AHI,Arild,Hiim,Arild Hiim,"Hiim, Arild",1945-08-17,male,Buskerud,Bu,Høyre,H,1989-93,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1989-93,
AHU,Arne,Haukvik,Arne Haukvik,"Haukvik, Arne",1926-02-12,male,Oslo,Os,Senterpartiet,Sp,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AIS,Alf Ivar,Samuelsen,Alf Ivar Samuelsen,"Samuelsen, Alf Ivar",1942-02-28,male,Nordland,No,Senterpartiet,Sp,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=AIS&storrelse=middels
AK,André,Kvakkestad,André Kvakkestad,"Kvakkestad, André",1971-10-28,male,Akershus,Ak,Fremskrittspartiet,FrP,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AK&storrelse=middels
AKFO,Aksel,Fossen,Aksel Fossen,"Fossen, Aksel",1919-11-29,male,Hordaland,Ho,Arbeiderpartiet,A,1981-85,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1981-85,
AKFO,Aksel,Fossen,Aksel Fossen,"Fossen, Aksel",1919-11-29,male,Hordaland,Ho,Arbeiderpartiet,A,1977-81,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1977-81,
AKFO,Aksel,Fossen,Aksel Fossen,"Fossen, Aksel",1919-11-29,male,Hordaland,Ho,Arbeiderpartiet,A,1973-77,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1973-77,
AKFO,Aksel,Fossen,Aksel Fossen,"Fossen, Aksel",1919-11-29,male,Hordaland,Ho,Arbeiderpartiet,A,1969-73,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1969-73,
AKSH,Aksel,Hagen,Aksel Hagen,"Hagen, Aksel",1953-10-04,male,Oppland,Op,Sosialistisk Venstreparti,SV,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=AKSH&storrelse=middels
AL,Arne,Lyngstad,Arne Lyngstad,"Lyngstad, Arne",1962-05-10,male,Nord-Trøndelag,NT,Kristelig Folkeparti,KrF,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AL&storrelse=middels
AL,Arne,Lyngstad,Arne Lyngstad,"Lyngstad, Arne",1962-05-10,male,Nord-Trøndelag,NT,Kristelig Folkeparti,KrF,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AL&storrelse=middels
ALBJ,Alf Martin,Bjørnø,Alf Martin Bjørnø,"Bjørnø, Alf Martin",1923-11-10,male,Vestfold,Ve,Arbeiderpartiet,A,1981-85,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1981-85,
ALBJ,Alf Martin,Bjørnø,Alf Martin Bjørnø,"Bjørnø, Alf Martin",1923-11-10,male,Vestfold,Ve,Arbeiderpartiet,A,1977-81,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1977-81,
ALBJ,Alf Martin,Bjørnø,Alf Martin Bjørnø,"Bjørnø, Alf Martin",1923-11-10,male,Vestfold,Ve,Arbeiderpartiet,A,1973-77,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1973-77,
ALEH,Alf Egil,Holmelid,Alf Egil Holmelid,"Holmelid, Alf Egil",1947-12-13,male,Vest-Agder,VA,Sosialistisk Venstreparti,SV,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=ALEH&storrelse=middels
ALFO,Alv Jakob,Fostervoll,Alv Jakob Fostervoll,"Fostervoll, Alv Jakob",1932-01-20,male,Møre og Romsdal,MR,Arbeiderpartiet,A,1973-77,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1973-77,
ALFO,Alv Jakob,Fostervoll,Alv Jakob Fostervoll,"Fostervoll, Alv Jakob",1932-01-20,male,Møre og Romsdal,MR,Arbeiderpartiet,A,1969-73,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1969-73,
ALHE,Alfred Meyer,Henningsen,Alfred Meyer Henningsen,"Henningsen, Alfred Meyer",1918-04-26,male,Troms,Tr,Arbeiderpartiet,A,1969-73,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1969-73,
ALHE,Alfred Meyer,Henningsen,Alfred Meyer Henningsen,"Henningsen, Alfred Meyer",1918-04-26,male,Troms,Tr,Arbeiderpartiet,A,1965-69,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1965-69,
ALHE,Alfred Meyer,Henningsen,Alfred Meyer Henningsen,"Henningsen, Alfred Meyer",1918-04-26,male,Troms,Tr,Arbeiderpartiet,A,1961-65,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1961-65,
ALJ,Anna,Ljunggren,Anna Ljunggren,"Ljunggren, Anna",1984-06-13,female,Nordland,No,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017,http://data.stortinget.no/eksport/personbilde?personid=ALJ&storrelse=middels
ALJ,Anna,Ljunggren,Anna Ljunggren,"Ljunggren, Anna",1984-06-13,female,Nordland,No,Arbeiderpartiet,A,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=ALJ&storrelse=middels
ALJ,Anna,Ljunggren,Anna Ljunggren,"Ljunggren, Anna",1984-06-13,female,Nordland,No,Arbeiderpartiet,A,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=ALJ&storrelse=middels
ALKJ,Alv,Kjøs,Alv Kjøs,"Kjøs, Alv",1894-06-04,male,Hedmark,He,Høyre,H,1961-65,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1961-65,
ALKJ,Alv,Kjøs,Alv Kjøs,"Kjøs, Alv",1894-06-04,male,Hedmark,He,Høyre,H,1958-61,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1958-61,
ALKJ,Alv,Kjøs,Alv Kjøs,"Kjøs, Alv",1894-06-04,male,Hedmark,He,Høyre,H,1954-57,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1954-57,
ALKJ,Alv,Kjøs,Alv Kjøs,"Kjøs, Alv",1894-06-04,male,Hedmark,He,Høyre,H,1950-53,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1950-53,
ALKJ,Alv,Kjøs,Alv Kjøs,"Kjøs, Alv",1894-06-04,male,Hedmark,He,Høyre,H,1945-49,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1945-49,
ALNI,Alfred Sigurd,Nilsen,Alfred Sigurd Nilsen,"Nilsen, Alfred Sigurd",1891-09-04,male,Nordland,No,Arbeiderpartiet,A,1954-57,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1954-57,
ALNI,Alfred Sigurd,Nilsen,Alfred Sigurd Nilsen,"Nilsen, Alfred Sigurd",1891-09-04,male,"Kjøpstedene i Nordland, Troms og Finnmark(Bodø, Hammerfest, Narvik, Tromsø, Vadsø, Vardø)",KiNo,Arbeiderpartiet,A,1950-53,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1950-53,
ALTH,Alfred,Thommesen,Alfred Thommesen,"Thommesen, Alfred",1914-06-02,male,Aust-Agder,AA,Høyre,H,1969-73,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1969-73,
ALTH,Alfred,Thommesen,Alfred Thommesen,"Thommesen, Alfred",1914-06-02,male,Aust-Agder,AA,Høyre,H,1965-69,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1965-69,
ALTH,Alfred,Thommesen,Alfred Thommesen,"Thommesen, Alfred",1914-06-02,male,Aust-Agder,AA,Høyre,H,1961-65,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1961-65,
ALTH,Alfred,Thommesen,Alfred Thommesen,"Thommesen, Alfred",1914-06-02,male,Aust-Agder,AA,Høyre,H,1958-61,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1958-61,
ALVÅ,Alfred Leonard Kristian,Vågnes,Alfred Leonard Kristian Vågnes,"Vågnes, Alfred Leonard Kristian",1880-04-13,male,Finnmark,Fi,Norges Kommunistiske Parti,NKP,1945-49,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1945-49,
ALYS,Audun,Lysbakken,Audun Lysbakken,"Lysbakken, Audun",1977-09-30,male,Hordaland,Ho,Sosialistisk Venstreparti,SV,2017-2021,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2017-2021,http://data.stortinget.no/eksport/personbilde?personid=ALYS&storrelse=middels
ALYS,Audun,Lysbakken,Audun Lysbakken,"Lysbakken, Audun",1977-09-30,male,Hordaland,Ho,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017,http://data.stortinget.no/eksport/personbilde?personid=ALYS&storrelse=middels
ALYS,Audun,Lysbakken,Audun Lysbakken,"Lysbakken, Audun",1977-09-30,male,Hordaland,Ho,Sosialistisk Venstreparti,SV,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=ALYS&storrelse=middels
ALYS,Audun,Lysbakken,Audun Lysbakken,"Lysbakken, Audun",1977-09-30,male,Hordaland,Ho,Sosialistisk Venstreparti,SV,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=ALYS&storrelse=middels
AMN,Astrid Marie,Nistad,Astrid Marie Nistad,"Nistad, Astrid Marie",1938-12-09,female,Sogn og Fjordane,SF,Arbeiderpartiet,A,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AMN&storrelse=middels
AMN,Astrid Marie,Nistad,Astrid Marie Nistad,"Nistad, Astrid Marie",1938-12-09,female,Sogn og Fjordane,SF,Arbeiderpartiet,A,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AMN,Astrid Marie,Nistad,Astrid Marie Nistad,"Nistad, Astrid Marie",1938-12-09,female,Sogn og Fjordane,SF,Arbeiderpartiet,A,1989-93,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1989-93,
AMSK,Amund Rasmussen,Skarholt,Amund Rasmussen Skarholt,"Skarholt, Amund Rasmussen",1892-03-31,male,Sør-Trøndelag,ST,Arbeiderpartiet,A,1954-57,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1954-57,
AMSK,Amund Rasmussen,Skarholt,Amund Rasmussen Skarholt,"Skarholt, Amund Rasmussen",1892-03-31,male,Sør-Trøndelag,ST,Arbeiderpartiet,A,1950-53,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1950-53,
AMSK,Amund Rasmussen,Skarholt,Amund Rasmussen Skarholt,"Skarholt, Amund Rasmussen",1892-03-31,male,Sør-Trøndelag,ST,Arbeiderpartiet,A,1945-49,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1945-49,
AMSÆ,Ambjørg,Sælthun,Ambjørg Sælthun,"Sælthun, Ambjørg",1922-07-27,female,Sogn og Fjordane,SF,Senterpartiet,Sp,1981-85,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1981-85,
AMSÆ,Ambjørg,Sælthun,Ambjørg Sælthun,"Sælthun, Ambjørg",1922-07-27,female,Sogn og Fjordane,SF,Senterpartiet,Sp,1977-81,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1977-81,
AMSÆ,Ambjørg,Sælthun,Ambjørg Sælthun,"Sælthun, Ambjørg",1922-07-27,female,Sogn og Fjordane,SF,Senterpartiet,Sp,1973-77,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1973-77,
ANA,Anders,Anundsen,Anders Anundsen,"Anundsen, Anders",1975-11-17,male,Vestfold,Ve,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017,http://data.stortinget.no/eksport/personbilde?personid=ANA&storrelse=middels
ANA,Anders,Anundsen,Anders Anundsen,"Anundsen, Anders",1975-11-17,male,Vestfold,Ve,Fremskrittspartiet,FrP,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=ANA&storrelse=middels
ANA,Anders,Anundsen,Anders Anundsen,"Anundsen, Anders",1975-11-17,male,Vestfold,Ve,Fremskrittspartiet,FrP,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=ANA&storrelse=middels
ANAL,Anton Ludvik,Alvestad,Anton Ludvik Alvestad,"Alvestad, Anton Ludvik",1883-05-07,male,Møre og Romsdal,MR,Arbeiderpartiet,A,1954-57,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1954-57,
ANAL,Anton Ludvik,Alvestad,Anton Ludvik Alvestad,"Alvestad, Anton Ludvik",1883-05-07,male,"Kjøpstedene i Møre og Romsdal fylke (Kristiansund, Molde, Ålesund)",KiMR,Arbeiderpartiet,A,1950-53,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1950-53,
ANAU,Anders John,Aune,Anders John Aune,"Aune, Anders John",1923-05-01,male,Finnmark,Fi,Framtid for Finnmark,FFF,1989-93,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1989-93,
ANAU,Anders John,Aune,Anders John Aune,"Aune, Anders John",1923-05-01,male,Finnmark,Fi,Arbeiderpartiet,A,1969-73,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1969-73,
