id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__pl,name__fr,name__ko,name__he,name__es,name__ta,name__ms,name__it,name__ps,name__et,name__de,name__id,name__ja,name__ml,name__bn,name__br,name__yue,name__en,name__sv,name__nl,name__ar,name__hi,name__pt,name__eo,name__ru,name__ast,name__tr,name__ro,name__fi,name__uk,name__cs,name__fa,name__mr,name__ka,name__ur,name__az,name__da,name__zh,name__nb,name__sco,name__ca,name__th,name__sh,name,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__bn,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ps,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__zh_yue,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,death_date,identifier__freebase,given_name,name__de_ch,name__el,name__en_ca,name__en_gb,name__pt_br,wikipedia__el,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,name__pa,wikipedia__pa,wikipedia__plwikiquote,name__mg,wikipedia__mg,name__hu,website,name__nds,identifier__IMDB,wikipedia__hu,twitter,name__cy,identifier__FAST,original_wikiname,identifier__Britannica,name__gl,last_seen,wikipedia__bg,name__nn,name__bg,identifier__OLID,name__tg,wikipedia__ckb,wikipedia__tg,identifier__wikitree,name__ckb,occupation,wikipedia__fawikiquote,name__qu,wikipedia__qu,family_name,identifier__DNF,identifier__ne_se,name__sq,wikipedia__be,name__be,wikipedia__itwikiquote,wikipedia__eswikiquote,identifier__GTAA,wikipedia__hy,name__hy,identifier__BNE,wikipedia__azb,identifier__NKC,name__azb
Q203903,,,,,,,,,Ramazan Bashardost,,,Ramazan Bashardost,,,Ramazan Bashardost,رمضان بشردوست,,Ramasan Bashardost,,ラマザン・バシャルドスト,,,,,Ramazan Bashardost,Ramazan Bashardost,Ramazan Bashardost,رمضان بشردوست,,,,,,,,,,,رمضان بشردوست,,,,,,拉马赞·巴沙里德斯特,,,,,,Ramazan Bashardost,رمضان بشردوست,,,,,,Category:Ramazan Bashardost,,,Ramasan Bashardost,Ramazan Bashardost,,Ramazan Bashardost,,,رمضان بشردوست,,Ramazan Bashardost,,,,,,,,,,,,,,رمضان بشردوست,,,,,,,,,,,,,,拉马赞·巴沙里德斯特,https://upload.wikimedia.org/wikipedia/commons/d/dd/Ramazan_Bashardost.jpg,male,,,,1961,,/m/03ybf4d,Ramazan,,,Ramazan Bashardost,Ramazan Bashardost,,,,,,,,,,,,Ramazan Bashardost,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q253378,,,,,,,,Malalai Joya,Malalai Joya,말라라이 조야,מללאי ג'ויה,Malalai Joya,மலாலை ஜோயா,,Malalai Joya,ملالۍ جويا,,Malalai Joya,Malalai Joya,マラライ・ジョヤ,,,,,Malalai Joya,Malalai Joya,Malalai Joya,ملالي جويا,मलालई जोया,Malalai Joya,,"Джойя, Малалай",,Malalai Joya,,Malalai Joya,,,ملالی جویا,,,ملالی جویا,,Malalai Joya,馬萊拉·久雅,Malalai Joya,,,,Malalai Joya,Malalai Joya,ملالي جويا,,,,,,Category:Malalai Joya,,Malalai Joya,Malalai Joya,Malalai Joya,,Malalai Joya,,,ملالی جویا,Malalai Joya,Malalai Joya,,मलालई जोया,Malalai Joya,Malalai Joya,,,말라라이 조야,,,,Malalai Joya,Malalai Joya,,ملالۍ جويا,Malalai Joya,,"Джойя, Малалай",,Malalai Joya,,Malalai Joya,மலாலை ஜோயா,,Malali Cuya,,ملالی جویا,,,"https://upload.wikimedia.org/wikipedia/commons/b/b6/Malalai_Joya,_Afghan_MP.jpg",female,41644362,138506965,no2008039452,1978-04-25,,/m/0cjks9,,Malalai Joya,Μαλαλάι Τζόγια,Malalai Joya,Malalai Joya,Malalai Joya,Μαλαλάι Τζόγια,0000 0000 8120 0418,161896479,142275514,324853114,ਮਾਲਾਲਾਈ ਜੋਯਾ,ਮਾਲਾਲਾਈ ਜੋਯਾ,,,,Malalai Joya,http://www.malalaijoya.com,,,Malalai Joya,,,1785242,,,,,,,,OL6643461A,,,,,,politician,ملالی جویا,,,,163835,,Malalai Joya,,,,,221365,,,XX4976518,,xx0120869,
Q25658213,,,,,,,,,,,,,,,,جميل کرزى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جميل کرزى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q25658220,,,,,,,,,,,,,,,,اسد الله همتيار,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اسد الله همتيار,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658234,,,,,,,,,,,,,,,,محمد نعيم فراهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد نعيم فراهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658235,,,,,,,,,,,,,,,,عبيد الله هلالي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عبيد الله هلالي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658258,,,,,,,,,,,,,,,,عبدالسلام راکټي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عبدالسلام راکټي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658260,,,,,,,,,,,,,,,,هاشم وطنوال,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,هاشم وطنوال,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658275,,,,,,,,,,,,,,,,داود ځاځی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,داود ځاځی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658293,,,,,,,,,,,,,,,,نادر خان کټوازى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,نادر خان کټوازى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658319,,,,,,,,,,,,,,,,محمد يعقوب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد يعقوب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658324,,,,,,,,,,,,,,,,فاطمه نظري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,فاطمه نظري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658335,,,,,,,,,,,,,,,,رضا رضايي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رضا رضايي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658343,,,,,,,,,,,,,,,,محمد علي ستيغ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد علي ستيغ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658347,,,,,,,,,,,,,,,,سيد علي جاويد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سيد علي جاويد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658351,,,,,,,,,,,,,,,,سيد محمود گيلاني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سيد محمود گيلاني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658354,,,,,,,,,,,,,,,,محمد باقر شيخ زاده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد باقر شيخ زاده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658371,,,,,,,,,,,,,,,,صالح محمد ريگستاني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,صالح محمد ريگستاني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658377,,,,,,,,,,,,,,,,تاج محمد مجاهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تاج محمد مجاهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658379,,,,,,,,,,,,,,,,داوود هاشمي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,داوود هاشمي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658397,,,,,,,,,,,,,,,,فضل الکريم ايماق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,فضل الکريم ايماق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658401,,,,,,,,,,,,,,,,محمد عاصم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد عاصم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658403,,,,,,,,,,,,,,,,حبيب الله رامين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حبيب الله رامين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658405,,,,,,,,,,,,,,,,محمد اسلامي محمدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد اسلامي محمدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25658414,,,,,,,,,,,,,,,,عارف طيب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عارف طيب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25938142,,,,,,,,,Ahmad Behzad,,,,,,Ahmad Behzad,احمد بهزاد,,Ahmad Behzad,,,,,,,Ahmad Behzad,,Ahmad Behzad,,,,,,,,,,,,احمد بهزاد,,,,,,,,,Ahmad Behzad,,,Ahmad Behzad,,,,,,,Category:Ahmad Behzad,,,,Ahmad Behzad,,,,,احمد بهزاد,,,,,,,,,,,,,,,,احمد بهزاد,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Ahmad_Behzad.jpg,male,,,,,,,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,احمد بهزاد,,احمد بهزاد
Q30224398,,,,,,,,,Zefnoon Safai,,,Zefnoon Safai,,,Zefnoon Safai,,,Zefnoon Safai,,,,,,,Zefnoon Safai,,Zefnoon Safai,,,,,,,,,,,,زیفنون صافی,,,,,,,,,,,,Zefnoon Safai,,,,,,,,,,,Zefnoon Safai,,,,,زیفنون صافی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/5/5a/Zefnoon_Safai,_Legham_Province,_Afghanistan.jpg",female,,,,,,,,,,,,,,,,,,,,,,,Zefnoon Safai,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q30224399,,,,,,,,,Mohammad Alim Qarar,,,Mohammad Alim Qarar,,,Mohammad Alim Qarar,محمد عالم قرار,,Mohammad Alim Qarar,,,,,,,Mohammad Alim Qarar,,Mohammad Alim Qarar,,,,,,,,,,,,محمد عالم قرار,,,,,,,,,,,,Mohammad Alim Qarar,,,,,,,,,,,Mohammad Alim Qarar,,,,,محمد عالم قرار,,,,,,,,,,,,,,,,محمد عالم قرار,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/a/ac/Mohammad_Alim_Qarar,_Laghman_Province,_Afghanistan.jpg",male,,,,,,,Mohammad,,,,,,,,,,,,,,,,Mohammad Alim Qarar,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
