id,name__tr,name,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image,name__el,name__de,name__fr,name__pl,name__ru,name__az,name__ar,name__it,name__nl,name__es,name__nb,name__hu,wikipedia__ar,wikipedia__az,wikipedia__de,wikipedia__el,wikipedia__fr,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__ru,name__ja,name__ca,name__oc,wikipedia__ja,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nn,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh,wikipedia__zh,wikipedia__vi,original_wikiname,wikipedia__commons,occupation,wikipedia__ca,wikipedia__et,wikipedia__es,name__he,wikipedia__trwikinews,name__or,name__ko,wikipedia__ko,wikipedia__lad,name__lad,twitter,website,family_name,name__zh_hans,facebook,identifier__LCAuth
Q28600107,Hamza Ersan Saner,Hamza Ersan Saner,Hamza Ersan Saner,Hamza Ersan Saner,,male,1966,,,,,,,,,,,,Hamza Ersan Saner,Hamza Ersan Saner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamza Ersan Saner,,politician,,,,,Kategori:Hamza Ersan Saner,,,,,,,,,,,
Q31189130,Fikri Ataoğlu,Fikri Ataoğlu,Fikri Ataoğlu,Fikri Ataoğlu,,male,1964,,,,,,,,"Атаоглу, Фикри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fikri Ataoğlu,,politician,,,,,,,,,,,,,,,,
Q31189131,Hakan Dinçyürek,Hakan Dinçyürek,Hakan Dinçyürek,,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakan Dinçyürek,,politician,,,,,,,,,,,,,,,,
Q31189135,Asım Akansoy,Asım Akansoy,Asım Akansoy,Asım Akansoy,,male,1967,,,,,,,,"Акансой, Асым",,,,,Asım Akansoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asım Akansoy,,politician,,,,,,,,,,,akansoya,,,,,
Q31189137,Arif Albayrak,Arif Albayrak,Arif Albayrak,Arif Albayrak,,,,,,,,Arif Albayrak,Arif Albayrak,,,,,,,Arif Albayrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arif Albayrak,,,,,,,,,,Arif Albayrak,,,,,,,,,,,,Arif Albayrak,,politician,,,,,,,,,,,,,,,,
Q31189141,Erkut Şahali,Erkut Şahali,Erkut Şahali,Erkut Şahali,,male,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erkut Şahali,,politician,,,,,,,,,,,erkutsahali,,,,,
Q31189142,Hüseyin Angolemli,Hüseyin Angolemli,Hüseyin Angolemli,Hüseyin Angolemli,,male,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hüseyin Angolemli,,politician,,,,,,,,,,,,,,,,
Q31189151,Dursun Oğuz,Dursun Oğuz,Dursun Oğuz,Dursun Oğuz,,male,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dursun Oğuz,,politician,,,,,,,,,,,,,,,,
Q31189156,Erdal Özcenk,Erdal Özcenk,Erdal Özcenk,,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erdal Özcenk,,politician,,,,,,,,,,,,,,,,
Q31189157,Fazilet Özdenefe,Fazilet Özdenefe,Fazilet Özdenefe,Fazilet Özdenefe,,female,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fazilet Özdenefe,,politician,,,,,,,,,,,,,,,,
Q31189158,Özdemir Berova,Özdemir Berova,Özdemir Berova,Özdemir Berova,,male,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Özdemir Berova,,politician,,,,,,,,,,,oberova1,,,,,
Q31189159,Kutlu Evren,Kutlu Evren,Kutlu Evren,Kutlu Evren,,male,1957,,,,,,,,,,,,,Kutlu Evren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutlu Evren,,politician,,,,,,,,,,,kutluevren2,,,,,
Q4696177,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,male,1950,Ahmet,,,Αχμέτ Κασίφ,Ahmet Kaşif,Ahmet Kaşif,,,,,,Ahmet Kaşif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmet Kaşif,,politician,,,,,Kategori:Ahmet Kaşif,,,,,,,,,,,
Q47189019,Faiz Sucuoğlu,Faiz Sucuoğlu,Faiz Sucuoğlu,Faiz Sucuoğlu,,male,1961-08-27,,,,,,,,,,,,Faiz Sucuoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faiz Sucuoğlu,,politician,,,,,,,,,,,FaizSucuoglu,,,,,
Q47517082,Tufan Erhürman,Tufan Erhürman,Tufan Erhürman,Tufan Erhürman,Tufan Erhürman,male,1970,Tufan,,,Τουφάν Ερχουρμάν,,Tufan Erhürman,Tufan Erhürman,"Эрхюрман, Туфан",,,Tufan Erhürman,Tufan Erhürman,Tufan Erhürman,,,,,,Τουφάν Ερχουρμάν,Tufan Erhürman,,,Tufan Erhürman,"Эрхюрман, Туфан",トゥファン・エルヒュルマン,,,,,,Tufan Erhürman,,,,,,,,,Tufan Erhürman,Tufan Erhürman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,圖凡·額哈曼,,,Tufan Erhürman,,politician,,,Tufan Erhürman,,,,,,,,tufanerhurman,,,图凡·额哈曼,,
Q58174,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,male,1965,Hüseyin,/m/0bs8f6q,,Χουσεΐν Οζγκιουργκούν,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,"Озгюргюн, Хусейн",,حسين أوزكركن,,Hüseyin Özgürgün,Hüseyin Özgürgün,,Hüseyin Özgürgün,,,Hüseyin Özgürgün,Χουσεΐν Οζγκιουργκούν,,,,Hüseyin Özgürgün,"Озгюргюн, Хусейн",フセイン・オズグルグン,Hüseyin Özgürgün,Hüseyin Özgürgün,フセイン・オズグルグン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,侯赛因·欧祖根,侯赛因·欧祖根,,Hüseyin Özgürgün,,politician,,,,,Kategori:Hüseyin Özgürgün,,,,,,Hseyinzgrgn,https://huseyinozgurgun.net/,,,,
Q6005452,Zorlu Töre,Zorlu Töre,Zorlu Töre,Zorlu Töre,,male,1956,,,,,,,,"Тёре, Зорлу",,,,Zorlu Töre,,,Zorlu Töre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zorlu Töre,,politician,,,,,Kategori:Zorlu Töre,,,,,,ZorluTore,,,,zorlu.tore,
Q6057339,Ersin Tatar,Ersin Tatar,Ersin Tatar,Ersin Tatar,,male,1960,Ersin,,,,,,,,,,Ersin Tatar,,Ersin Tatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ersin Tatar,,politician,,,,,Kategori:Ersin Tatar,,,,,,embersintatar,,,,,
Q6058134,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,male,1966-09-13,Mehmet,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Mehmet_Çakıcı.jpg,,,,,"Чакыджи, Мехмет",,,,Mehmet Çakıcı,,,,,,,,,,,,"Чакыджи, Мехмет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mehmet Çakıcı,,politician,,,,,,,,,,,,,,,,no2009051374
Q6059336,Abbas Sınay,Abbas Sınay,Abbas Sınay,Abbas Sınay,,male,1957,Abbas,,,,,,,,,,,,Abbas Sınay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbas Sınay,,politician,,,,,,,,,,,,,,,,
Q6059510,Mustafa Arabacıoğlu,Mustafa Arabacıoğlu,Mustafa Arabacıoğlu,Mustafa Arabacıoğlu,,male,1953,Mustafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mustafa Arabacıoğlu,,politician,,,,,,,,,,,,,,,,
Q6060979,Sunat Atun,Sunat Atun,Sunat Atun,Sunat Atun,,male,1973-05-16,,,,,,,,,,,Sunat Atun,,Sunat Atun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunat Atun,,politician,,,,,Kategori:Sunat Atun,,,,,,Sunat_Atun,,,,,
Q6065323,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,male,1954-08-01,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Özkan_Yorgancıoğlu_(cropped).jpg,,Özkan Yorgancıoğlu,,Özkan Yorgancıoğlu,"Йорганджиоглу, Озкан",,,,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,,Özkan Yorgancıoğlu,,,Özkan Yorgancıoğlu,,,,,Özkan Yorgancıoğlu,"Йорганджиоглу, Озкан",エズカン・ヨルガンジュオール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Özkan Yorgancıoğlu,,,,,,厄茲坎·約甘喬奧盧,,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Category:Özkan Yorgancıoğlu,politician,,,Özkan Yorgancıoğlu,,,,,,,,,,,,,
Q6077810,Kemal Dürüst,Kemal Dürüst,Kemal Dürüst,,,male,,Kemal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kemal Dürüst,,politician,,,,,Kategori:Kemal Dürüst,,,,,,,,,,,
Q60809382,Salih İzbul,Salih İzbul,Salih İzbul,Salih İzbul,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salih İzbul,,politician,,,,,,,,,,,,,,,,
Q6081184,Hasan Taçoy,Hasan Taçoy,Hasan Taçoy,Hasan Taçoy,Hasan Taçoy,male,1963,Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hasan Taçoy,,politician,,,,,Kategori:Hasan Taçoy,,,,,,hasantacoy,,,,,
Q61075663,Menteş Gündüz,Menteş Gündüz,Menteş Gündüz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteş Gündüz,,,,,,,,,,,,,,,,,,
Q61075677,Önder Sennaroğlu,Önder Sennaroğlu,Önder Sennaroğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Önder Sennaroğlu,,,,,,,,,,,,,,,,,,
Q61075686,Hüseyin Avkıran Alanlı,Hüseyin Avkıran Alanlı,Hüseyin Avkıran Alanlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hüseyin Avkıran Alanlı,,,,,,,,,,,,,,,,,,
Q730602,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,male,1952-03-05,,/m/05xsks,,Φερντί Σαμπίτ Σογιέρ,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,"Сойер, Ферди Сабит",Ferdi Sabit Soyer,فيردي ثابت سوير,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,فيردي ثابت سوير,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Φερντί Σαμπίτ Σογιέρ,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,"Сойер, Ферди Сабит",フェルディ・サビット・ソイエル,,,,,,Ferdi Sabit Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferdi Sabit Soyer,,politician,,,,,,,,,,,,,,,,
