id,name__de,name__nds,name__nb,name__da,name__nn,name__sv,name__fr,name__en,name__cy,name__nl,name,wikipedia__de,wikipedia__nds,gender,birth_date,death_date,family_name,given_name,identifier__bundestag,original_wikiname,name__es,name__ca,name__oc,name__hu,wikipedia__en,image,identifier__VIAF,identifier__GND,name__la,name__pl,wikipedia__fr,wikipedia__la,wikipedia__pl,identifier__freebase,name__it,name__bar,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__fi,name__pt,name__tr,wikipedia__commons,identifier__ISNI,identifier__LCAuth,identifier__ULAN,identifier__NTA,identifier__Munzinger,identifier__BNF,name__gl,identifier__FAST,identifier__ODIS,identifier__GTAA,website,facebook,name__af,name__an,name__ast,name__br,name__co,name__eo,name__et,name__eu,name__frp,name__fur,name__ga,name__gd,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__gsw,wikipedia__dewikiquote,identifier__SUDOC,wikipedia__no,identifier__NLI,identifier__EuroparlMEP,twitter,name__ja,wikipedia__ja,identifier__OLID,identifier__CANTIC,name__zh,name__ru,name__ko,name__fa,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__hu,wikipedia__it,wikipedia__ko,wikipedia__nl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__zh,identifier__NDL,identifier__filmportal_de,wikipedia__als,name__ar,name__el,name__he,name__uk,name__eml,name__nah,wikipedia__ar,wikipedia__bar,wikipedia__cswikiquote,wikipedia__el,wikipedia__eml,wikipedia__frwikiquote,wikipedia__he,wikipedia__ie,wikipedia__nah,wikipedia__plwikiquote,wikipedia__uk,name__be_tarask,wikipedia__be_x_old,wikipedia__enwikiquote,wikipedia__mg,wikipedia__oc,name__bs,name__lmo,name__lt,name__sq,name__war,name__hy,name__hsb,wikipedia__af,wikipedia__hsb,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__itwikiquote,wikipedia__lt,wikipedia__sco,wikipedia__sk,wikipedia__vi,wikipedia__war,identifier__NKC,name__ceb,wikipedia__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__be,name__sh,name__sr_ec,name__bg,name__ka,name__sr,name__lv,name__qu,name__fy,wikipedia__be,wikipedia__bg,wikipedia__eswikiquote,wikipedia__eu,wikipedia__hr,wikipedia__ka,wikipedia__lv,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__sh,wikipedia__sl,wikipedia__sr,identifier__IMDB,identifier__MusicBrainz,identifier__BNE,identifier__NUKAT,identifier__NNDB,identifier__GNC,identifier__Britannica,identifier__SELIBR,identifier__ADS,identifier__N6I,name__dsb,name__ksh,name__ku,name__mk,name__mr,name__pnb,name__tg,name__yo,name__ta,name__hi,name__stq,name__uz,name__ur,wikipedia__an,wikipedia__br,wikipedia__bs,wikipedia__cy,wikipedia__dewikivoyage,wikipedia__dsb,wikipedia__eowikiquote,wikipedia__fy,wikipedia__gl,wikipedia__glwikiquote,wikipedia__hi,wikipedia__huwikiquote,wikipedia__ksh,wikipedia__ku,wikipedia__mk,wikipedia__mr,wikipedia__nn,wikipedia__pnb,wikipedia__ruwikiquote,wikipedia__sc,wikipedia__sq,wikipedia__stq,wikipedia__svwikiquote,wikipedia__sw,wikipedia__tg,wikipedia__ur,wikipedia__uz,wikipedia__yo,identifier__NLA,identifier__PTBNP,identifier__BIBSYS,identifier__NLAtrove,identifier__NPG,identifier__discogs,identifier__BVMC,name__vmf,name__kk,wikipedia__kk,name__az,name__bn,name__bo,name__ckb,name__cv,name__diq,name__ext,name__fo,name__gv,name__ha,name__ilo,name__jv,name__koi,name__lad,name__mhr,name__ml,name__mn,name__my,name__nov,name__pag,name__pdc,name__ps,name__sah,name__th,name__tl,name__tt,name__ty,name__mzn,name__se,name__nan,name__hak,name__pa,name__kw,name__arz,name__yi,name__tet,name__am,name__ne,name__yue,name__zea,name__wuu,name__mai,wikipedia__am,wikipedia__arz,wikipedia__ast,wikipedia__az,wikipedia__azwikiquote,wikipedia__bgwikiquote,wikipedia__bn,wikipedia__bo,wikipedia__cawikiquote,wikipedia__ckb,wikipedia__cswikinews,wikipedia__cv,wikipedia__cywikiquote,wikipedia__dewikinews,wikipedia__diq,wikipedia__elwikiquote,wikipedia__enwikinews,wikipedia__enwikisource,wikipedia__eowikinews,wikipedia__eswikinews,wikipedia__ext,wikipedia__fiwikiquote,wikipedia__fo,wikipedia__frp,wikipedia__frwikinews,wikipedia__ga,wikipedia__gd,wikipedia__gv,wikipedia__hak,wikipedia__ha,wikipedia__ia,wikipedia__idwikiquote,wikipedia__ilo,wikipedia__itwikinews,wikipedia__jv,wikipedia__koi,wikipedia__kowikinews,wikipedia__kw,wikipedia__lad,wikipedia__li,wikipedia__lmo,wikipedia__mai,wikipedia__mhr,wikipedia__ml,wikipedia__mn,wikipedia__ms,wikipedia__my,wikipedia__mzn,wikipedia__ne,wikipedia__nlwikiquote,wikipedia__nov,wikipedia__pag,wikipedia__pa,wikipedia__pdc,wikipedia__ps,wikipedia__ptwikinews,wikipedia__ruwikinews,wikipedia__sah,wikipedia__scn,wikipedia__se,wikipedia__slwikiquote,wikipedia__srwikinews,wikipedia__svwikinews,wikipedia__ta,wikipedia__tet,wikipedia__th,wikipedia__tl,wikipedia__trwikinews,wikipedia__trwikiquote,wikipedia__tt,wikipedia__ty,wikipedia__ukwikiquote,wikipedia__vo,wikipedia__wuu,wikipedia__yi,wikipedia__zea,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zhwikinews,identifier__AlloCine,identifier__LNB,identifier__CSPAN,identifier__PORT,married_name,identifier__kinopoisk,identifier__CSFD,wikipedia__species,wikipedia__bswikiquote,identifier__CERL,wikipedia__rowikiquote,identifier__parlement,identifier__BAV,identifier__SFDb,identifier__PACE,identifier__halensis,name__rw,wikipedia__rw,electoral_district,identifier__DBNL,pseudonym,identifier__britishmuseum,identifier__heidelberg,identifier__BBF,identifier__MGP,identifier__zbMATH,identifier__NLP,name__ht,wikipedia__ht,identifier__BPN,name__aa,name__ace,name__ak,name__ang,name__ay,name__bcl,name__bi,name__bjn,name__bm,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__de_formal,name__dtp,name__ee,name__egl,name__ff,name__fit,name__fj,name__frc,name__frr,name__gag,name__gn,name__jbo,name__sn,name__su,identifier__HDS,wikipedia__ltwikiquote,name__pfl,wikipedia__pfl,birth_name,identifier__BMLO,wikipedia__arwikiquote,wikipedia__co,wikipedia__hewikiquote,wikipedia__liwikiquote,wikipedia__pms,wikipedia__skwikiquote,identifier__OpenPlaques,name__vro,name__sa,wikipedia__fiu_vro,wikipedia__sa,identifier__SCOPE,wikipedia__fawikiquote,name__hrx,name__lfn,name__pdt,name__sli,wikipedia__ang,identifier__elonet,identifier__IIAF,identifier__CiNii,identifier__saebi,name__jam,name__kab,name__pap,name__prg,name__rgn,name__ky,wikipedia__ky,identifier__Oxforddnb,identifier__hansard,name__mt,identifier__senate_nl,identifier__DNF,name__kana,identifier__allmovie,name__te,wikipedia__te,instagram,wikipedia__kowikiquote,identifier__CTHS,identifier__magdeburg,identifier__bigenc_ru,identifier__youtube,identifier__wikitree,wikipedia__nowikiquote,name__szl,wikipedia__szl,identifier__NSK
Q1289150,Eduard Leuze,,Eduard Leuze,Eduard Leuze,Eduard Leuze,Eduard Leuze,Eduard Leuze,Eduard Leuze,,Eduard Leuze,Eduard Leuze,Eduard Leuze,,male,1906-12-24,1973-10-25,,Eduard,,Eduard Leuze,Eduard Leuze,,,Eduard Leuze,,,74931665,12943583X,,,,,,,Eduard Leuze,,,,,,,,,,,,,,,00000004916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103666,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,,male,1967,,,Joachim,http://www.bundestag.de/bundestag/abgeordnete18/biografien/P/pfeiffer_joachim.html,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,Joachim Pfeiffer,https://upload.wikimedia.org/wikipedia/commons/2/2a/Joachim_Pfeiffer_MdB.jpg,47548423,118006428,,,,,,,,,,,,Joachim Pfeiffer,Joachim Pfeiffer,,,,,,no2010045856,,,,,,,,,http://www.joachim-pfeiffer.info/,DrJoachimPfeiffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Иоахим Пфайфер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joachim Pfeiffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2639812,Albrecht Hasinger,,Albrecht Hasinger,Albrecht Hasinger,Albrecht Hasinger,Albrecht Hasinger,Albrecht Hasinger,Albrecht Hasinger,,Albrecht Hasinger,Albrecht Hasinger,Albrecht Hasinger,,male,1935-07-03,1994-02-21,,Albrecht,,Albrecht Hasinger,Albrecht Hasinger,,,Albrecht Hasinger,,"https://upload.wikimedia.org/wikipedia/commons/0/0d/Bundesarchiv_B_145_Bild-F041447-0022,_Hamburg,_CDU-Bundesparteitag,_Hasinger.jpg",62340399,118546627,,,,,,,Albrecht Hasinger,,,,,,,,,,,,,,,00000014577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q101987,Christine Lucyga,,,,,,Christine Lucyga,Christine Lucyga,,Christine Lucyga,Christine Lucyga,Christine Lucyga,,female,1944-04-06,,,Christine,http://webarchiv.bundestag.de/archive/2007/0206/mdb/mdb15/bio/L/lucygch0.html,Christine Lucyga,Christine Lucyga,Christine Lucyga,Christine Lucyga,Christine Lucyga,Christine Lucyga,"https://upload.wikimedia.org/wikipedia/commons/0/06/Bundesarchiv_Bild_183-1990-0705-317,_Dr._Christine_Lucyga.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1678630,Maritta Böttcher,,Maritta Böttcher,Maritta Böttcher,Maritta Böttcher,Maritta Böttcher,Maritta Böttcher,Maritta Böttcher,,Maritta Böttcher,Maritta Böttcher,Maritta Böttcher,,female,1954-03-29,,,Maritta,http://webarchiv.bundestag.de/archive/2007/0206/mdb/mdb14/bio/B/boettma0.html,Maritta Böttcher,,,,,,,311197550,1059942151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2476246,Ulrich Lange,,,,,,Ulrich Lange,Ulrich Lange,,Ulrich Lange,Ulrich Lange,Ulrich Lange (Politiker),,male,1969-06-06,,,Ulrich,http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/lange_ulrich.html,Ulrich Lange (Politiker),,,,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Ulrich_Lange_2012.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ulrich-lange.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1599208,Heinrich Welslau,,Heinrich Welslau,Heinrich Welslau,Heinrich Welslau,Heinrich Welslau,Heinrich Welslau,Heinrich Welslau,,Heinrich Welslau,Heinrich Welslau,Heinrich Welslau,,male,1918-04-20,1991-10-31,,Heinrich,,Heinrich Welslau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q363517,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,,male,1939-07-22,,,Adolf,http://webarchiv.bundestag.de/archive/2007/0206/mdb/mdb14/bio/O/osterad0.html,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,,,59661983,107960281X,,Adolf Ostertag,,,,,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,,,,n81069559,,,,,Adolf Ostertag,,,,,,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,Adolf Ostertag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1717733,Jürgen Starnick,,Jürgen Starnick,Jürgen Starnick,Jürgen Starnick,Jürgen Starnick,Jürgen Starnick,Jürgen Starnick,,Jürgen Starnick,Jürgen Starnick,Jürgen Starnick,,male,1937-12-01,,,Jürgen,,Jürgen Starnick,Jürgen Starnick,,,Jürgen Starnick,,,273586184,102721472X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14943007,Dirk Wiese,,,,,,Dirk Wiese,Dirk Wiese,,Dirk Wiese,Dirk Wiese,Dirk Wiese,,male,1983-07-11,,,Dirk,http://www.bundestag.de/bundestag/abgeordnete18/biografien/W/wiese_dirk.html,Dirk Wiese,Dirk Wiese,,,Dirk Wiese,,"https://upload.wikimedia.org/wikipedia/commons/e/e8/Wiese,_Dirk-1322.jpg",304201809,1036571971,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dirkwiese.de/,dirkwiesespd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Дирк Визе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1461000,Friedrich Maier,,,,,,Friedrich Maier,Fritz Maier,,Fritz Maier,Friedrich Maier,Friedrich Maier (Politiker),,male,1894-12-29,1960-12-14,,Friedrich,,Friedrich Maier (Politiker),Fritz Maier,,,Fritz Maier,,,171958377,1012787044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q87622,Heinz Kühn,,Heinz Kühn,Heinz Kühn,Heinz Kühn,Heinz Kühn,Heinz Kühn,Heinz Kühn,,Heinz Kühn,Heinz Kühn,Heinz Kühn,,male,1912-02-18,1992-03-12,,Heinz,,Heinz Kühn,Heinz Kühn,Heinz Kühn,Heinz Kühn,Heinz Kühn,Heinz Kühn,"https://upload.wikimedia.org/wikipedia/commons/c/ca/Bundesarchiv_B_145_Bild-F039413-0009,_Hannover,_SPD-Bundesparteitag,_Kühn.jpg",32788595,118567594,Henricus Kühn,,Heinz Kühn,Henricus Kühn,,/m/04663g9,,,,,,,,,,,Category:Heinz Kühn,0000 0001 1024 2052,n82043645,,069067538,00000006478,,,89682,,122371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinz Kühn,069896240,Heinz Kühn,,795,,ハインツ・キューン,,,,海因茨·庫恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1696707,Johann Wuwer,,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,Johann Wuwer,,male,1922-07-23,2009-07-11,,Johann,,Johann Wuwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
