id,name__en,name__es,name__de,name__it,name__fr,name,wikipedia__en,gender,given_name,original_wikiname,occupation,name__nl,name__ja,birth_date,name__pl,wikipedia__pl,death_date,name__dv,name__ru,wikipedia__dv,wikipedia__ru,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,name__hu,wikipedia__fa,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,identifier__freebase,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__he,name__ta,name__yo,name__ms,name__et,name__id,name__ml,name__br,name__vi,name__el,name__sv,name__ar,name__hi,name__pt,name__eo,name__tr,name__fi,name__ksh,name__da,name__nb,name__bn,name__zh,name__uk,name__mk,name__sco,name__eu,wikipedia__ar,wikipedia__bn,wikipedia__br,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__ksh,wikipedia__lb,wikipedia__ml,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sco,wikipedia__sv,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__IMDB,website,identifier__Britannica,twitter,identifier__FAST,name__ne,wikipedia__ne,name__cs,name__gl,name__sk,name__hr,name__lt,name__en_ca,name__en_gb,name__pt_br,wikipedia__cs,wikipedia__gl,wikipedia__hr,wikipedia__lt,wikipedia__sk,name__cy,wikipedia__simple,name__ka,name__oc,name__min,name__mr,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__min,wikipedia__mr,wikipedia__oc,wikipedia__pa,name__hy,name__fo,name__kl,name__nn,wikipedia__hy,identifier__quora,wikipedia__io,name__uz,wikipedia__uz,wikipedia__azb,family_name,identifier__ISNI,name__io,name__azb,wikipedia__ca,name__ca,identifier__GTAA,noble_title,wikipedia__th,name__th,name__frc,name__ro,identifier__GND,name__ur,wikipedia__ur,wikipedia__ast,name__ast,identifier__Munzinger,wikipedia__ha,name__ha,wikipedia__wuu,name__wuu
Q17279111,Rozeyna Adam,,Rozeyna Adam,Rozaina Adam,,Rozeyna Adam,Rozaina Adam,female,,Rozaina Adam,politician,,,1976-12-12,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/MP_Rozaina1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17385562,Anara Naeem,,Anara Naeem,Anara Naeem,,Anara Naeem,Anara Naeem,female,,Anara Naeem,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17517052,Mariya Ahmed Didi,,Mariya Ahmed Didi,,Mariya Ahmed Didi,Mariya Ahmed Didi,Mariya Ahmed Didi,female,Maria,Mariya Ahmed Didi,lawyer,Mariya Ahmed Didi,,1963,,,,,,,,,,,,,,,Mariya Ahmed Didi,,,"https://upload.wikimedia.org/wikipedia/commons/9/97/Paula_Dobriansky,_Under_Secretary_of_State_for_Democracy_and_Global_Affairs_with_Mariya_Ahmed_Didi_of_the_Maldives_March_7_2007_in_Washington.jpg",,,,,,,,,,Mariya Ahmed Didi,,,,,,,,,,,ماريا أحمد ديدي,,,,Mariya Ahmed Didi,,,,,,,,,,,ماريا أحمد ديدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariya Ahmed Didi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariya Ahmed Didi,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariya Ahmed Didi,Mariya Ahmed Didi,,,,,,,,,,,,,,,,
Q17722041,Adam Shareef,,Adam Shareef,Adam Shareef,,Adam Shareef,Adam Shareef,male,Adam,Adam Shareef,politician,,アダム・シャリーフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareef,,,,,,,,,,,,,,,,,,,,,
Q17985434,Aneesa Ahmed,,Aneesa Ahmed,Aneesa Ahmed,Aneesa Ahmed,Aneesa Ahmed,Aneesa Ahmed,female,,Aneesa Ahmed,feminist,,,"",,,,,,,,,,,,,,,Aneesa Ahmed,,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Aneesa_Ahmed_-_2012_IWOC_Award_Winner.png,,,,,,,,,,,,,,,,,,,,Aneesa Ahmed,أنيسة أحمد,,,,,,,,,আনিসা আহমেদ,,,,,,أنيسة أحمد,আনিসা আহমেদ,,,,,,,,,,,,,,,,,,,,,,,,,Aneesa Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aneesa Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,Aneesa Ahmed,Aneesa Ahmed,,,,,,,,,,,,,,,,
Q20675816,Ahmed Adeeb,,Ahmed Adeeb,,Ahmed Adeeb,Ahmed Adeeb,Ahmed Adeeb,male,Ahmed,Ahmed Adeeb,politician,Ahmed Adeeb,アハメド・アディーブ,1982-04-11,,,,,,,,,,,,,,,Ahmed Adeeb Abdul Ghafoor,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/AhmedAdeebVicePresident.jpg,,,,艾哈邁德·阿迪卜,,艾哈迈德·阿迪卜,,,,,,,,,Ahmed Adeeb,,,,,,أحمد أديب,अहमद अदीब,,,,,,,,,,,,,,أحمد أديب,,,Category:Ahmed Adeeb,,Ahmed Adeeb,,,,,,,,अहमद अदीब,Ahmed Adeeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22958037,Mariyam Azra,,,,,Mariyam Azra,Mariyam Azra,female,,Mariyam Azra,politician,Mariyam Azra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28163511,Abdulla Maseeh Mohamed,,,,,Abdulla Maseeh Mohamed,Abdulla Maseeh Mohamed,male,,Abdulla Maseeh Mohamed,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28406885,Mohamed Ashmalee,,,,,Mohamed Ashmalee,Mohamed Ashmalee,male,,Mohamed Ashmalee,politician,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fb/Mohamed_Ashmalee.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q297957,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,male,,Maumoon Abdul Gayoom,politician,Maumoon Abdul Gayoom,マウムーン・アブドル・ガユーム,1937-12-29,Maumoon Abdul Gayoom,Maumun ̓Abdul Gajum,,މައުމޫނު ޢަބްދުލް ޤައްޔޫމް,Момун Абдул Гаюм,މައުމޫނު ޢަބްދުލް ޤައްޔޫމް,"Гаюм, Момун Абдул",مأمون عبدالقیوم,Maumoon Abdul Gayoom,,,,Maumoon Abdul Gayoom,مأمون عبدالقیوم,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,,https://upload.wikimedia.org/wikipedia/commons/4/49/Maumoon-Abdul-Gayoom.jpg,/m/01pgsr,,穆蒙·阿卜杜勒·加尧姆,穆蒙·阿卜杜勒·加堯姆,穆蒙·阿卜杜勒·加堯姆,穆蒙·阿卜杜勒·加尧姆,穆蒙·阿卜杜勒·加尧姆,穆蒙·阿卜杜勒·加堯姆,마우문 압둘 가윰,מאומון עבדול גאיום,மாமூன் அப்துல் கயூம்,,,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,മഅ്മൂന്‍ അബ്ദുൾ ഗയൂം,,,Μαουμούν Αμπντούλ Γκαγιούμ,Maumun Abdul Gayum,مأمون عبد القيوم,मॉमून अब्दुल गय्यूम,Maumoon Abdul Gayoom,,Mamun Abdül Gayyum,Maumoon Abdul Gayoom,,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,মামুন আব্দুল গাইয়ুম,穆蒙·阿卜杜勒·加尧姆,Момун Абдул Гаюм,,,,مأمون عبد القيوم,মামুন আব্দুল গাইয়ুম,,Category:Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Μαουμούν Αμπντούλ Γκαγιούμ,Maumoon Abdul Gayoom,,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,מאומון עבדול גאיום,मॉमून अब्दुल गय्यूम,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,マウムーン・アブドル・ガユーム,마우문 압둘 가윰,,,,,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,,Maumun Abdul Gayum,மாமூன் அப்துல் கயூம்,Mamun Abdül Gayyum,Момун Абдул Гаюм,,,穆蒙·阿卜杜勒·加尧姆,116996930,n89181031,,,biography/Maumoon-Abdul-Gayoom,,330430,,,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumún Abdul Gajúm,Maumoon Abdul Gayoom,Maumunas Abdul Gajunas,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,Maumún Abdul Gajúm,,,,,,,,,,,,,,,,,,,,,Maumoon Abdul Gayoom,Abdulqayum Maʼmun,Maʻmun Abdulqayum,,,,Maumoon Abdul Gayoom,,,,98709,,,,,,1146576242,,,Maumoon Abdul Gayoom,Maumoon Abdul Gayoom,00000024206,,,,
Q30123155,Thoriq Ibrahim,,,,,Thoriq Ibrahim,Thoriq Ibrahim,,,Thoriq Ibrahim,,Thoriq Ibrahim,,1969-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3270179,Muhammad Fareed Didi,Muhammad Fareed Didi,Muhammad Fareed Didi,Muhammad Fareed Didi,Muhammad Fareed Didi,Muhammad Fareed Didi,Muhammad Fareed Didi,male,Muhammed,Muhammad Fareed Didi,politician,Muhammad Fareed Didi,ムハンマド・ファリド・ディディ,1901,Muhammad Fareed Didi,Muhammad Fareed Didi,1969-05-27,އަލްއަމީރު މުޙަންމަދު ފަރީދު ދީދީ,Мухаммед Фарид Диди,އަލްއަމީރު މުޙަންމަދު ފަރީދު ދީދީ,Мухаммед Фарид Диди,,,,,,,,Muhammad Fareed Didi,,,,/m/06vwgj,,,,,,,,,,,,,,Muhammad Fareed Didi,,,,Μουχάματ Φαρίντ Ντιντί,,محمد فريد ديدي,,,,,,,,,,,,,,,محمد فريد ديدي,,,,,,Μουχάματ Φαρίντ Ντιντί,,,,,,,,Muhammad Fareed Didi,Muhammad Fareed Didi,ムハンマド・ファリド・ディディ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Faríd Dídí,,,,,,,,,,Muhammad Faríd Dídí,,,,,,,,,,,,,,,Մուհամեդ Ֆարիդ Դիդի,,,,,,,,,محمد فرید دیدی,,,,محمد فرید دیدی,,,,,,,,,,,,,,,,,,
Q42732646,Rashida Yousuf,,,,,Rashida Yousuf,Rashida Yousuf,female,,Rashida Yousuf,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4308818,Muhammad Jameel Didi,Mohamed Areeh,Muhammad Jameel Didi,,Mohamed Areeh,Muhammad Jameel Didi,Muhammad Jameel Didi,male,Muhammed,Muhammad Jameel Didi,politician,Muhammad Jameel Didi,,1915-05-01,,,1989-03-15,މުޙައްމަދު ޖަމީލުދީދީ,Мухаммад Жамель Диди,މުޙައްމަދު ޖަމީލުދީދީ,Мухаммад Жамель Диди,,,,,,Mohamed Areeh,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Usthazul_Jeel_Muhammad_Jameel_Didi_of_Maldives.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43218548,Mariyam Shakeela,,,,,Mariyam Shakeela,Mariyam Shakeela,female,,Mariyam Shakeela,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q46262998,Mohamed Asim,,,,,Mohamed Asim,Mohamed Asim,male,,Mohamed Asim,politician,Mohamed Asim,モハメド・アーシム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد عاصم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4663760,Abbas Ibrahim,,Abbas Ibrahim,Abbas Ibrahim,Abbas Ibrahim,Abbas Ibrahim,Abbas Ibrahim,male,Abbas,Abbas Ibrahim,politician,Abbas Ibrahim,,1941-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665517,Abdul Majeed Didi,Abdul Majeed Didi,Abdul Majeed Didi,,,Abdul Majeed Didi,Abdul Majeed Didi,male,Abdul Majid,Abdul Majeed Didi,,Abdul Majeed Didi,,1873-08-29,,,1952-02-21,ޢަބްދުލްމަޖީދު ރަންނަބަނޑޭރި ކިލެގެފާނު,,ޢަބްދުލްމަޖީދު ރަންނަބަނޑޭރި ކިލެގެފާނު,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Αμπντούλ Ματζίντ Ντιντί,,عبد المجيد ديدي,,,,,,,,,,,,,,,عبد المجيد ديدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Աբդուլ Մաջեդ Դիդի,,,,Աբդուլ Մաջեդ Դիդի,,,,,عبد مجید دیدی,,,,عبد مجید دیدی,,,,,,,,,,,,,,,,,,
Q4665662,Abdul Rasheed Hussain,,Abdul Rasheed Hussain,Abdul Rasheed Hussain,Abdul Rasheed Hussain,Abdul Rasheed Hussain,Abdul Rasheed Hussain,male,Abdur Rashid,Abdul Rasheed Hussain,poet,Abdul Rasheed Hussain,,1946-09-16,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/1/12/Abdul_Rasheed_Hussain_delivering_his_statement_at_the_FAO_food_summit_in_Italy,_Rome,_2002.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665883,Abdulla Hameed,,Abdulla Hameed,Abdulla Hameed,Abdulla Hameed,Abdulla Hameed,Abdulla Hameed,male,,Abdulla Hameed,,Abdulla Hameed,,1939,,,2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665893,Abdulla Shahid,Abdulla Shahid,Abdulla Shahid,Abdulla Shahid,Abdulla Shahid,Abdulla Shahid,Abdulla Shahid,male,,Abdulla Shahid,diplomat,Abdulla Shahid,アブドゥラ・シャヒッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdulla_shahid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665896,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,male,Abdulla,Abdulla Yameen,politician,Abdulla Yameen,アブドゥラ・ヤミーン,1959-05-21,Abdullah Jamin,Abdullah Jamin,,އަބްދުﷲ ޔާމިން,"Ямин, Абдулла",އަބްދުﷲ ޔާމިން,"Ямин, Абдулла",عبدالله یمین,,,,,Abdulla Yameen,عبدالله یمین,Abdulla Yameen,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Abdulla_Yameen_Abdul_Gayoom_in_January_2014.jpg,,Abdulla Yameen,,,,,,,압둘라 야민,עבדולה יאמין,அப்துல்லா யாமீன்,,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,അബ്ദുള്ള യമീൻ അബ്ദുൾ ഗയൂം,,Abdulla Yameen,Αμπντάλα Γιαμίν,Abdulla Yameen,عبد الله يمين,यामीन अब्दुल गयूम,Abdulla Yameen,,Abdulla Yameen,Abdulla Yameen,,Abdulla Yameen,Abdulla Yameen,আব্দুল্লাহ ইয়ামিন আব্দুল গাইয়ুম,阿卜杜拉·亚明·阿卜杜勒·加尧姆,,,,Abdulla Yameen,عبد الله يمين,আব্দুল্লাহ ইয়ামিন আব্দুল গাইয়ুম,,Category:Abdulla Yameen,,Abdulla Yameen,Αμπντάλα Γιαμίν,Abdulla Yameen,,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,עבדולה יאמין,अब्दुल्लाह यामीन,Abdulla Yameen,Abdulla Yameen,アブドゥラ・ヤミーン,압둘라 야민,,Abdulla Yameen,അബ്ദുള്ള യമീൻ അബ്ദുൾ ഗയൂം,Abdulla Yameen,,Abdulla Yameen,Abdulla Yameen,,,அப்துல்லா யாமீன்,Abdulla Yameen,,Abdulla Yameen,,阿卜杜拉·亚明,4145152140034311100003,,,,,,,अब्दुल्ला यमिन,अब्दुल्ला यमिन,Abdalláh Jamín,,,,,Abdulla Yameen,Abdulla Yameen,,Abdalláh Jamín,,,,,,,აბდულა იამინი,Abdulla Yameen Abdul Gayoom,Abdulla Yameen,अब्दुल्ला यामीन,Abdulla Yameen,ਅਬਦੁੱਲਾ ਯਾਮੀਨ,აბდულა იამინი,Abdulla Yameen,Abdulla Yameen,अब्दुल्ला यामीन,Abdulla Yameen Abdul Gayoom,ਅਬਦੁੱਲਾ ਯਾਮੀਨ,,Abdulla Yameen,Abdulla Yameen,Abdulla Yameen,,Abdulla-Yameen-1,,,,,Yameen,,,,,,,,,,,,1168896851,عبد اللہ یمین,,,,00000029926,Abdulla Yameen,Abdulla Yameen,阿卜杜拉·亚明,阿卜杜拉·亚明
Q4695865,Ahmed Inaz,,Ahmed Inaz,Ahmed Inaz,Ahmed Inaz,Ahmed Inaz,Ahmed Inaz,male,Ahmed,Ahmed Inaz,economist,Ahmed Inaz,,1976-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4696040,Ahmed Thasmeen Ali,Ahmed Thasmeen Ali,Ahmed Thasmeen Ali,Ahmed Thasmeen Ali,Ahmed Thasmeen Ali,Ahmed Thasmeen Ali,Ahmed Thasmeen Ali,male,Ahmed,Ahmed Thasmeen Ali,politician,Ahmed Thasmeen Ali,アハメド・タスミーン・アリ,1966-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4696065,Ahmed Zaki,Ahmed Zaki,Ahmed Zaki,,Ahmed Zaki,Ahmed Zaki,Ahmed Zaki (politician),male,Ahmed,Ahmed Zaki (politician),politician,Ahmed Zaki,,1931-04-16,Ahmed Zaki,Ahmed Zaki,1996-11-15,,"Заки, Ахмед",,"Заки, Ахмед",,,,,,Ahmed Zaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4746343,Amina Kabafa’anu,,Amina Kabafa’anu,,,Amina Kabafa’anu,Amina Kabafa’anu,female,Amina,Amina Kabafa’anu,politician,Amina Kabafa’anu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amina Kabafa’anu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amina Kabafa’anu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,princess,,,,,,,,,,,,,,
Q48845050,First Lady of the Maldives,,,,,First Lady of the Maldives,First Lady of the Maldives,,,First Lady of the Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4966011,Mariyam Kaba'afa'anu Rani Kilege,,Mariyam Kaba'afa'anu Rani Kilege,,,Mariyam Kaba'afa'anu Rani Kilege,Mariyam Kaba'afa'anu Rani Kilege,female,,Mariyam Kaba'afa'anu Rani Kilege,politician,Mariyam Kaba'afa'anu Rani Kilege,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariyam Kaba'afa'anu Rani Kilege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariyam Kaba'afa'anu Rani Kilege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5315815,Dunya Maumoon,Dunya Maumoon,Dunya Maumoon,Dunya Maumoon,Dunya Maumoon,Dunya Maumoon,Dunya Maumoon,female,Dunya,Dunya Maumoon,politician,Dunya Maumoon,,1970-03-20,,,,,Данья Момун,,,,,,,,Dunya Maumoon,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Dunya_Maumoon(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunya Maumoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunya Maumoon,,,,,,,Dunya Maumoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q55614252,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,male,,Ibrahim Mohamed Solih,politician,Ibrahim Mohamed Solih,イブラヒム・ソリ,1964-05-04,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,,އިބްރާހީމް މުޙައްމަދު ޞާލިޙު,Ибрагим Мохаммед Солих,,,ابراهیم محمد صلح,,,,,,ابراهیم محمد صلح,Ibrahim Mohamed Solih,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Ibrahim_Mohamed_Solih_-_Maldives_(cropped).jpg,,,,,,,,,이브라힘 모하메드 솔리,,இப்ராகிம் முகமது சாலி,,Ibrahim Mohamed Solih,,Ibrahim Mohamed Solih,,,Ibrahim Mohamed Solih,Ιμπραΐμ Μοχάμετ Σολίχ,,إبراهيم محمد صلح,इब्राहिम मोहम्मद सोलिह,Ibrahim Mohamed Solih,,İbrahim Muhammed Salih,,,,,,易卜拉欣·穆罕默德·萨利赫,,Ибрахим Мохамед Солих,,,إبراهيم محمد صلح,,,Category:Ibrahim Mohamed Solih,,Ibrahim Mohamed Solih,Ιμπραΐμ Μοχάμετ Σολίχ,,,Ibrahim Mohamed Solih,,,,इब्राहिम मोहम्मद सोलिह,Ibrahim Mohamed Solih,,,이브라힘 모하메드 솔리,,,,Ibrahim Mohamed Solih,,,Ibrahim Mohamed Solih,,,இப்ராகிம் முகமது சாலி,İbrahim Muhammed Salih,,Ibrahim Mohamed Solih,,易卜拉欣·穆罕默德·萨利赫,,,,,,,,,,,,,,,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,,,,,,,,,,,,Ibrahim Mohamed Solih,,,Ibrahim Mohamed Solih,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Mohamed Solih,Ibrahim Mohamed Solih,,ابراہیم محمد صلح,ابراہیم محمد صلح,,,,,,易卜拉欣·穆罕默德·萨利赫,易卜拉欣·穆罕默德·萨利赫
