id,name__ro,name__en,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__it,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name,wikipedia__ro,gender,birth_date,original_wikiname,name__la,wikipedia__en,wikipedia__fr,wikipedia__hu,wikipedia__la,identifier__freebase,given_name,name__bs,name__is,name__lmo,name__sl,name__sq,wikipedia__pl,image,website,wikipedia__sk,family_name,identifier__EuroparlMEP,wikipedia__de,wikipedia__it,wikipedia__sv,death_date,name__he,name__ru,name__ja,name__zh,name__uk,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__he,wikipedia__ja,wikipedia__mg,wikipedia__nl,wikipedia__pt,wikipedia__ru,wikipedia__sl,wikipedia__uk,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__Munzinger,identifier__FAST,wikipedia__commons,wikipedia__eo,name__bg,wikipedia__bg,wikipedia__rowikiquote,name__ar,wikipedia__ar,wikipedia__simple,name__ka,name__el,name__sr,name__az,name__ko,name__fa,name__mk,name__be,name__sh,wikipedia__az,wikipedia__be,wikipedia__el,wikipedia__enwikinews,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__ka,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__no,wikipedia__oc,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__tr,wikipedia__vi,identifier__GTAA,identifier__parlement,twitter,facebook,name__zh_hans,name__zh_hant,name__zh_hk,name__rup,name__sr_ec,wikipedia__roa_rup,last_seen,identifier__PACE,occupation,identifier__NSZL,wikipedia__rowikinews,wikipedia__br,name__fo,name__kl,wikipedia__hr,email,identifier__youtube,identifier__quora,identifier__google_knowledge,name__hsb,wikipedia__hsb,name__tt,name__ceb,identifier__Britannica,wikipedia__ms,name__be_tarask,identifier__NTA,wikipedia__lv,identifier__OLID,name__zh_cn,wikipedia__mk,linkedin,name__hy,wikipedia__hy,name__lfn,wikipedia__enwikisource,wikipedia__eswikiquote,wikipedia__frwikisource,wikipedia__itwikisource,wikipedia__rowikisource,wikipedia__sq,identifier__NKC,identifier__CANTIC,identifier__SELIBR,identifier__NLA,identifier__britishmuseum,identifier__GNC,identifier__AGORHA,identifier__NLAtrove,identifier__NLI,identifier__BNE,identifier__nlg,identifier__snac,identifier__persee,identifier__ne_se,identifier__BIBSYS,identifier__BAV,identifier__NUKAT,identifier__PTBNP,identifier__SBN_it,identifier__MusicBrainz,electoral_district,identifier__IMDB,identifier__PORT,name__uz,name__ta,name__pam,name__yo,name__fy,name__rmy,name__mr,name__qu,wikipedia__be_x_old,wikipedia__cy,wikipedia__fy,wikipedia__ga,wikipedia__gd,wikipedia__itwikiquote,wikipedia__mr,wikipedia__nn,wikipedia__pam,wikipedia__qu,wikipedia__rmy,wikipedia__scn,wikipedia__uz,wikipedia__yo,identifier__NNDB,name__dsb,name__pfl,name__frr,identifier__discogs,name__zh_sg,name__zh_tw,name__kk,wikipedia__kk,identifier__bigenc_ru,identifier__IIAF,identifier__ioc_athlete,name__mo,pseudonym,name__th,wikipedia__th,name__azb,wikipedia__azb,identifier__NDL,identifier__NSK,wikipedia__pms,identifier__zbMATH,identifier__MGP,identifier__ULAN,wikipedia__ast,wikipedia__enwikiquote,wikipedia__huwikiquote,wikipedia__svwikiquote,wikipedia__ltwikiquote,wikipedia__ukwikiquote,identifier__NPG,identifier__songkick,identifier__BVMC,identifier__CONOR,identifier__google_plus,wikipedia__species,identifier__JewishEnc,identifier__Gutenberg,identifier__NLP,wikipedia__ruwikisource,name__pa,name__ba,wikipedia__ba,wikipedia__pa,identifier__EGAXA,identifier__CERL,name__mi,identifier__BBC_things
Q12735019,Marina Ionescu,Marina Ionescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina Ionescu,,,,,,,,,,,,,,,,Marina Ionescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina Ionescu,Marina Ionescu,female,,,,,,,,,Marina,,,,Marina Ionescu,,,,,,Ionescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735023,Marinache Vișinescu,Marinache Vișinescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marinache Vișinescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marinache Vișinescu,Marinache Vișinescu,male,1948,,,,,,,,,,,,Marinache Vișinescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735037,Marius-Mihail Tudor,Marius-Mihail Tudor,,,,,,,,,,,,Marius-Mihail Tudor,,,,,,,,,,Marius-Mihail Tudor,,,,,,,,,,,,,,Marius-Mihail Tudor,,,,,,,,,,,,,,,,Marius-Mihail Tudor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius-Mihail Tudor,Marius-Mihail Tudor,male,,,,,,,,,,,,,Marius-Mihail Tudor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735041,Marius Bălu,Marius Bălu,,,,,,,,,,,,Marius Bălu,,,,,,,,,,Marius Bălu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius Bălu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius Bălu,Marius Bălu,male,1968-11-04,,,,,,,,Marius,,,,Marius Bălu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735047,Marius Iriza,Marius Iriza,,,,,,,,,,,,,,,,,,,,,,Marius Iriza,,,,,,,,,,,,,,Marius Iriza,,,,,,,,,,,,,,,,Marius Iriza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius Iriza,Marius Iriza,male,1968-01-03,,,,,,,,Marius,,,,Marius Iriza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735054,Marius Mihălăchioiu,Marius Mihălăchioiu,,,,,,,,,,,,Marius Mihălăchioiu,,,,,,,,,,Marius Mihălăchioiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius Mihălăchioiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius Mihălăchioiu,Marius Mihălăchioiu,male,1955-08-02,,,,,,,,Marius,,,,Marius Mihălăchioiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735065,Marius Rogin,Marius Rogin,,,,,,,,,,,,Marius Rogin,,,,,,,,,,Marius Rogin,,,,,,,,,,,,,,Marius Rogin,,,,,,,,,,,,,,,,Marius Rogin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marius Rogin,Marius Rogin,male,1964-08-16,,,,,,,,Marius,,,,Marius Rogin,,,,,,Rogin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735112,Marțian Dan,Marțian Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Marțian,,,,,,,,,,,,,,,,Marțian Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marțian Dan,Marțian Dan,male,1935-11-23,,,,,,,,Marțian,,,,Marțian Dan,,,,,,,,,Dan Marțian,,2002-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735148,Matei B. Cantacuzino,Matei B. Cantacuzino,,,,,,,,,,,,,,,,,,,,,,Matei B. Cantacuzino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matei B. Cantacuzino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matei B. Cantacuzino,Matei B. Cantacuzino,male,1855-07-10,,,Matei B. Cantacuzino,,,,/m/0121_lpd,,,,,Matei B. Cantacuzino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735150,Matei Heckel,Matei Heckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matei Heckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matei Heckel,Matei Heckel,male,1933-07-30,,,,,,,,,,,,Matei Heckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735271,Melania Vâlva,Melania Vâlva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melania Vâlva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melania Vâlva,Melania Vâlva,female,1951-09-21,,,,,,,,,,,,Melania Vâlva,,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Melania_Vâlva.jpg,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735339,Metin Cerchez,Metin Cerchez,,,,,,,,,,,,Metin Cerchez,,,,,,,,,,,,,,,,,,,Metin Cerchez,,,,,Metin Cerchez,,,,,,,,,,,,,,,,Metin Cerchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metin Cerchez,Metin Cerchez,male,1962-07-30,,,,,,,,Metin,,,,Metin Cerchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735416,Mihaela Adriana Rusu,Mihaela Adriana Rusu,,,,,,,,,,,,,,,,,,,,,,Mihaela Adriana Rusu,,,,,,,,,,,,,,Mihaela Adriana Rusu,,,,,,,,,,,,,,,,Mihaela Adriana Rusu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaela Adriana Rusu,Mihaela Adriana Rusu,male,1965-06-14,,,,,,,,Mihaela,,,,Mihaela Adriana Rusu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735421,Mihaela Ionescu,Mihaela Ionescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaela Ionescu,,,,,,,,,,,,,,,,Mihaela Ionescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaela Ionescu,Mihaela Ionescu,female,,,,,,,,,Mihaela,,,,Mihaela Ionescu,,,,,,Ionescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735423,Mihaela Anamaria Biriș,Mihaela Anamaria Biriș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaela Anamaria Biriș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaela Anamaria Biriș,Mihaela Anamaria Biriș,female,1956-11-20,,,,,,,,Mihaela,,,,Mihaela Anamaria Biriș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735425,Mihaela Vasil,Mihaela Vasil,,,,,,,,,,,,,,,,,,,,,,Mihaela Vasil,,,,,,,,,,,,,,Mihaela Vasil,,,,,,,,,,,,,,,,Mihaela Vasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaela Vasil,Mihaela Vasil,male,1966-05-17,,,,,,,,Mihaela,,,,Mihaela Vasil,,,,,,Vasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735428,Mihai-Apostol Enăchescu,Mihai-Apostol Enăchescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai-Apostol Enăchescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai-Apostol Enăchescu,Mihai-Apostol Enăchescu,male,1955-07-24,,,,,,,,,,,,Mihai-Apostol Enăchescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735432,Mihai-Emilian Mancaș,Mihai-Emilian Mancaș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai-Emilian Mancaș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai-Emilian Mancaș,Mihai-Emilian Mancaș,male,,,,,,,,,,,,,Mihai-Emilian Mancaș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735434,Mihai-Sorin Stănescu,Mihai-Sorin Stănescu,,,,,,,,,,,,Mihai-Sorin Stănescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai-Sorin Stănescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai-Sorin Stănescu,Mihai-Sorin Stănescu,male,,,Michael Sorin Stănescu,,,,Michael Sorin Stănescu,,,,,,Mihai-Sorin Stănescu,,,,,,Stănescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735436,Mihai Alexandru Voicu,Mihai Voicu,,,,,,,,,,,,Mihai Voicu,,,,,,,,,,Mihai Voicu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Voicu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Alexandru Voicu,Mihai Alexandru Voicu,male,1968-09-16,Mihai-Alexandru Voicu,,,,,,,Mihai,,,,Mihai Voicu,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Mihai_Alexandru_Voicu.jpg,,,Voicu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mihai Alexandru Voicu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735440,Mihai Baciu,Mihai Baciu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Baciu,,,,,,,,,,,,,,,,Mihai Baciu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Baciu,Mihai Baciu,male,,,,,,,,,Mihai,,,,Mihai Baciu,,,,,,Baciu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735442,Mihai Baltă,Mihai Baltă,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Baltă,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Baltă,Mihai Baltă,male,1948-10-04,Mihai Baltă,,,,,,,Mihai,,,,Mihai Baltă,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735443,Mihai Bar,Mihai Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Bar,,,,,,,,,,,,,,,,Mihai Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Bar,Mihai Bar,male,1954-07-08,,,,,,,,Mihai,,,,Mihai Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735447,Mihai Carp,Mihai Carp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Carp,,,,,,,,,,,,,,,,Mihai Carp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Carp,Mihai Carp,male,1956-05-20,,,,,,,,Mihai,,,,Mihai Carp,,,,,,Carp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735449,Mihai Chiriac,Mihai Chiriac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Chiriac,,,,,,,,,,,,,,,,Mihai Chiriac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Chiriac,Mihai Chiriac,male,,,,,,,,,Mihai,,,,Mihai Chiriac,,,,,,Chiriac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735455,Mihai Cristian Apostolache,Mihai Cristian Apostolache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Cristian Apostolache,,,,,,,,,,,,,,,,Mihai Cristian Apostolache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Cristian Apostolache,Mihai Cristian Apostolache,male,1979-06-14,,,,,,,,Mihai,,,,Mihai Cristian Apostolache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735466,Mihai Fodor,Mihai Fodor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Fodor,,,,,,,,,,,,,,,,Mihai Fodor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Fodor,Mihai Fodor,male,,,,,,,,,Mihai,,,,Mihai Fodor,,,,,,Fodor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12735468,Mihai Gheorghiu,Mihai Gheorghiu,,,,,,,,,,,,,,,,,,,,,,Mihai Gheorghiu,,,,,,,,,,,,,,Mihai Gheorghiu,,,,,,,,,,,,,,,,Mihai Gheorghiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihai Gheorghiu,Mihai Gheorghiu,male,1967-08-16,,,,,,,,Mihai,,,,Mihai Gheorghiu,,,,,,Gheorghiu,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 3237 899X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
