id,name,photo,email,twitter,identifier__parlamento
carla-rodrigues,Carla Rodrigues,http://demo.cratica.org/media/img/deputados/3920.jpg,"","",3920
carlos-abreu-amorim,Carlos Abreu Amorim,http://demo.cratica.org/media/img/deputados/4327.jpg,"","",4327
carlos-alberto-goncalves,Carlos Alberto Gonçalves,http://demo.cratica.org/media/img/deputados/1458.jpg,carlosgoncalves@psd.parlamento.pt,"",1458
carlos-costa-neves,Carlos Costa Neves,http://demo.cratica.org/media/img/deputados/3963.jpg,"","",3963
carlos-enes,Carlos Enes,http://demo.cratica.org/media/img/deputados/4375.jpg,"","",4375
carlos-pascoa-goncalves,Carlos Páscoa Gonçalves,http://demo.cratica.org/media/img/deputados/2104.jpg,"","",2104
carlos-peixoto,Carlos Peixoto,http://demo.cratica.org/media/img/deputados/4030.jpg,"","",4030
carlos-santos-silva,Carlos Santos Silva,http://demo.cratica.org/media/img/deputados/4437.jpg,"","",4437
carlos-sao-martinho,Carlos São Martinho,http://demo.cratica.org/media/img/deputados/3964.jpg,"","",3964
catarina-marcelino,Catarina Marcelino,http://demo.cratica.org/media/img/deputados/2522.jpg,"","",2522
catarina-martins,Catarina Martins,http://demo.cratica.org/media/img/deputados/4161.jpg,catarina.martins@be.parlamento.pt,http://twitter.com/catarina_mart,4161
cecilia-honorio,Cecília Honório,http://demo.cratica.org/media/img/deputados/2194.jpg,cecilia.honorio@be.parlamento.pt,"",2194
cecilia-meireles,Cecília Meireles,http://demo.cratica.org/media/img/deputados/2419.jpg,cmeireles@cds.parlamento.pt,"",2419
celeste-correia,Celeste Correia,http://demo.cratica.org/media/img/deputados/614.jpg,ccorreia@ps.parlamento.pt,"",614
clara-marques-mendes,Clara Marques Mendes,http://demo.cratica.org/media/img/deputados/4299.jpg,"","",4299
conceicao-bessa-ruao,Conceição Bessa Ruão,http://demo.cratica.org/media/img/deputados/4391.jpg,"","",4391
correia-de-jesus,Correia de Jesus,http://demo.cratica.org/media/img/deputados/397.jpg,cjesus@psd.parlamento.pt,"",397
couto-dos-santos,Couto dos Santos,http://demo.cratica.org/media/img/deputados/356.jpg,"","",356
cristovao-crespo,Cristóvão Crespo,http://demo.cratica.org/media/img/deputados/4129.jpg,"","",4129
cristovao-norte,Cristóvão Norte,http://demo.cratica.org/media/img/deputados/2297.jpg,"","",2297
cristovao-simao-ribeiro,Cristóvão Simão Ribeiro,http://demo.cratica.org/media/img/deputados/4393.jpg,"","",4393
david-costa,David Costa,http://demo.cratica.org/media/img/deputados/4447.jpg,"","",4447
diana-ferreira,Diana Ferreira,http://demo.cratica.org/media/img/deputados/4623.jpg,"","",4623
duarte-filipe-marques,Duarte Filipe Marques,http://demo.cratica.org/media/img/deputados/4170.jpg,"","",4170
duarte-pacheco,Duarte Pacheco,http://demo.cratica.org/media/img/deputados/42.jpg,dpacheco@psd.parlamento.pt,http://twitter.com/duartepacheco,42
eduardo-cabrita,Eduardo Cabrita,http://demo.cratica.org/media/img/deputados/1987.jpg,gp_ps@ps.parlamento.pt,"",1987
eduardo-teixeira,Eduardo Teixeira,http://demo.cratica.org/media/img/deputados/2576.jpg,"","",2576
elsa-cordeiro,Elsa Cordeiro,http://demo.cratica.org/media/img/deputados/4336.jpg,"","",4336
elza-pais,Elza Pais,http://demo.cratica.org/media/img/deputados/4209.jpg,"","",4209
emilia-santos,Emília Santos,http://demo.cratica.org/media/img/deputados/4394.jpg,"","",4394
euridice-pereira,Eurídice Pereira,http://demo.cratica.org/media/img/deputados/4186.jpg,gp_ps@ps.parlamento.pt,"",4186
feliciano-barreiras-duarte,Feliciano Barreiras Duarte,http://demo.cratica.org/media/img/deputados/1619.jpg,"","",1619
fernando-jesus,Fernando Jesus,http://demo.cratica.org/media/img/deputados/487.jpg,fernandojesus@ps.parlamento,"",487
fernando-marques,Fernando Marques,http://demo.cratica.org/media/img/deputados/4050.jpg,"","",4050
fernando-negrao,Fernando Negrão,http://demo.cratica.org/media/img/deputados/1905.jpg,f.negrao@psd.parlamento.pt,"",1905
fernando-serrasqueiro,Fernando Serrasqueiro,http://demo.cratica.org/media/img/deputados/428.jpg,"","",428
fernando-virgilio-macedo,Fernando Virgílio Macedo,http://demo.cratica.org/media/img/deputados/4152.jpg,"","",4152
ferro-rodrigues,Ferro Rodrigues,http://demo.cratica.org/media/img/deputados/163.jpg,"","",163
fialho-isaac,Fialho Isaac,http://demo.cratica.org/media/img/deputados/4353.jpg,"","",4353
filipe-lobo-d--avila,Filipe Lobo D' Ávila,http://demo.cratica.org/media/img/deputados/4172.jpg,filipe.avila@cds.parlamento.pt,"",4172
filipe-neto-brandao,Filipe Neto Brandão,http://demo.cratica.org/media/img/deputados/1554.jpg,"","",1554
francisca-almeida,Francisca Almeida,http://demo.cratica.org/media/img/deputados/3942.jpg,"","",3942
francisco-gomes,Francisco Gomes,http://demo.cratica.org/media/img/deputados/4223.jpg,"","",4223
francisco-lopes,Francisco Lopes,http://demo.cratica.org/media/img/deputados/2077.jpg,fl@pcp.parlamento.pt,"",2077
gabriel-cortereal-goucha,Gabriel Côrte-Real Goucha,http://demo.cratica.org/media/img/deputados/1140.jpg,"","",1140
gabriela-canavilhas,Gabriela Canavilhas,http://demo.cratica.org/media/img/deputados/1851.jpg,"","",1851
gloria-araujo,Glória Araújo,http://demo.cratica.org/media/img/deputados/2107.jpg,gp_ps@ps.parlamento.pt,"",2107
graca-mota,Graça Mota,http://demo.cratica.org/media/img/deputados/3948.jpg,"","",3948
guilherme-silva,Guilherme Silva,http://demo.cratica.org/media/img/deputados/618.jpg,gsilva@psd.parlamento.pt,"",618
helder-amaral,Helder Amaral,http://demo.cratica.org/media/img/deputados/1450.jpg,hamaral@cds.parlamento.pt,http://twitter.com/helderamaralcds,1450
helena-pinto,Helena Pinto,http://demo.cratica.org/media/img/deputados/2191.jpg,helena.pinto@be.parlamento.pt,http://twitter.com/HelenaPinto,2191
heloisa-apolonia,Heloísa Apolónia,http://demo.cratica.org/media/img/deputados/834.jpg,heloisa.apolonia@pev.parlamento.pt,http://twitter.com/HeloisaApolonia,834
hortense-martins,Hortense Martins,http://demo.cratica.org/media/img/deputados/2225.jpg,"","",2225
hugo-lopes-soares,Hugo Lopes Soares,http://demo.cratica.org/media/img/deputados/4300.jpg,"","",4300
hugo-velosa,Hugo Velosa,http://demo.cratica.org/media/img/deputados/1537.jpg,"","",1537
idalia-salvador-serrao,Idália Salvador Serrão,http://demo.cratica.org/media/img/deputados/2132.jpg,"","",2132
ines-de-medeiros,Inês de Medeiros,http://demo.cratica.org/media/img/deputados/4064.jpg,"","",4064
ines-teotonio-pereira,Inês Teotónio Pereira,http://demo.cratica.org/media/img/deputados/4428.jpg,"","",4428
isabel-galrica-neto,Isabel Galriça Neto,http://demo.cratica.org/media/img/deputados/4096.jpg,isaneto@cds.parlamento.pt,"",4096
isabel-moreira,Isabel Moreira,http://demo.cratica.org/media/img/deputados/4452.jpg,"","",4452
isabel-oneto,Isabel Oneto,http://demo.cratica.org/media/img/deputados/4133.jpg,gp_ps@ps.parlamento.pt,"",4133
isabel-santos,Isabel Santos,http://demo.cratica.org/media/img/deputados/2103.jpg,"","",2103
isilda-aguincha,Isilda Aguincha,http://demo.cratica.org/media/img/deputados/4322.jpg,"","",4322
ivo-oliveira,Ivo Oliveira,http://demo.cratica.org/media/img/deputados/4553.jpg,"","",4553
jacinto-serrao,Jacinto Serrão,http://demo.cratica.org/media/img/deputados/2201.jpg,"","",2201
jeronimo-de-sousa,Jerónimo de Sousa,http://demo.cratica.org/media/img/deputados/210.jpg,gp_pcp@pcp.parlamento.pt,"",210
joana-barata-lopes,Joana Barata Lopes,http://demo.cratica.org/media/img/deputados/4436.jpg,"","",4436
joao-figueiredo,João Figueiredo,http://demo.cratica.org/media/img/deputados/4214.jpg,"","",4214
joao-galamba,João Galamba,http://demo.cratica.org/media/img/deputados/4166.jpg,"",http://twitter.com/Joaogalamba,4166
joao-goncalves-pereira,João Gonçalves Pereira,http://demo.cratica.org/media/img/deputados/2867.jpg,"","",2867
joao-lobo,João Lobo,http://demo.cratica.org/media/img/deputados/1013.jpg,"","",1013
joao-oliveira,João Oliveira,http://demo.cratica.org/media/img/deputados/2234.jpg,"",http://twitter.com/joao_g_oliveira,2234
joao-paulo-correia,João Paulo Correia,http://demo.cratica.org/media/img/deputados/2129.jpg,gp_ps@ps.parlamento.pt,"",2129
joao-paulo-pedrosa,João Paulo Pedrosa,http://demo.cratica.org/media/img/deputados/456.jpg,gp_ps@ps.parlamento.pt,"",456
joao-paulo-viegas,João Paulo Viegas,http://demo.cratica.org/media/img/deputados/2327.jpg,"","",2327
joao-portugal,João Portugal,http://demo.cratica.org/media/img/deputados/2230.jpg,gp_ps@ps.parlamento.pt,"",2230
joao-prata,João Prata,http://demo.cratica.org/media/img/deputados/303.jpg,"","",303
joao-ramos,João Ramos,http://demo.cratica.org/media/img/deputados/3934.jpg,"","",3934
joao-rebelo,João Rebelo,http://demo.cratica.org/media/img/deputados/1654.jpg,jrebelo@cds.parlamento.pt,"",1654
joao-semedo,João Semedo,http://demo.cratica.org/media/img/deputados/803.jpg,joao.semedo@be.parlamento.pt,"",803
joao-soares,João Soares,http://demo.cratica.org/media/img/deputados/1814.jpg,joaosoares@ps.parlamento.pt,"",1814
joaquim-ponte,Joaquim Ponte,http://demo.cratica.org/media/img/deputados/1826.jpg,jponte@psd.parlamento.pt,"",1826
jorge-fao,Jorge Fão,http://demo.cratica.org/media/img/deputados/2165.jpg,"","",2165
jorge-lacao,Jorge Lacão,http://demo.cratica.org/media/img/deputados/179.jpg,"","",179
jorge-machado,Jorge Machado,http://demo.cratica.org/media/img/deputados/2069.jpg,"","",2069
jorge-manuel-goncalves,Jorge Manuel Gonçalves,http://demo.cratica.org/media/img/deputados/1380.jpg,gp_ps@ps.parlamento.pt,"",1380
jorge-paulo-oliveira,Jorge Paulo Oliveira,http://demo.cratica.org/media/img/deputados/2665.jpg,"","",2665
jorge-rodrigues-pereira,Jorge Rodrigues Pereira,http://demo.cratica.org/media/img/deputados/4378.jpg,"","",4378
jose-de-matos-correia,José de Matos Correia,http://demo.cratica.org/media/img/deputados/1643.jpg,jmcorreia@psd.parlamento.pt,"",1643
jose-de-matos-rosa,José de Matos Rosa,http://demo.cratica.org/media/img/deputados/1951.jpg,"","",1951
jose-junqueiro,José Junqueiro,http://demo.cratica.org/media/img/deputados/1435.jpg,"","",1435
jose-lello,José Lello,http://demo.cratica.org/media/img/deputados/187.jpg,joselello@ps.parlamento.pt,http://twitter.com/joselello,187
jose-lino-ramos,José Lino Ramos,http://demo.cratica.org/media/img/deputados/4427.jpg,"","",4427
jose-luis-ferreira,José Luís Ferreira,http://demo.cratica.org/media/img/deputados/780.jpg,josé.ferreira@pev.parlamento.pt,http://twitter.com/JoseLFerreira,780
jose-magalhaes,José Magalhães,http://demo.cratica.org/media/img/deputados/189.jpg,"","",189
jose-manuel-canavarro,José Manuel Canavarro,http://demo.cratica.org/media/img/deputados/4325.jpg,"","",4325
jose-ribeiro-e-castro,José Ribeiro e Castro,http://demo.cratica.org/media/img/deputados/1584.jpg,jrcastro@cds.parlamento.pt,http://twitter.com/ribeiroecastro,1584
laura-esperanca,Laura Esperança,http://demo.cratica.org/media/img/deputados/4350.jpg,"","",4350
laurentino-dias,Laurentino Dias,http://demo.cratica.org/media/img/deputados/262.jpg,"","",262
lidia-bulcao,Lídia Bulcão,http://demo.cratica.org/media/img/deputados/3911.jpg,"","",3911
luis-fazenda,Luís Fazenda,http://demo.cratica.org/media/img/deputados/263.jpg,luis.fazenda@be.parlamento.pt,"",263
luis-leite-ramos,Luís Leite Ramos,http://demo.cratica.org/media/img/deputados/4364.jpg,"","",4364
luis-menezes,Luís Menezes,http://demo.cratica.org/media/img/deputados/4145.jpg,"","",4145
luis-montenegro,Luís Montenegro,http://demo.cratica.org/media/img/deputados/1561.jpg,luismontenegro@psd.parlamento.pt,"",1561
luis-pedro-pimentel,Luís Pedro Pimentel,http://demo.cratica.org/media/img/deputados/1733.jpg,"","",1733
luis-pita-ameixa,Luís Pita Ameixa,http://demo.cratica.org/media/img/deputados/413.jpg,ameixa@ps.parlamento.pt,"",413
luis-vales,Luís Vales,http://demo.cratica.org/media/img/deputados/4148.jpg,"","",4148
luisa-salgueiro,Luísa Salgueiro,http://demo.cratica.org/media/img/deputados/2092.jpg,"","",2092
manuel-mota,Manuel Mota,http://demo.cratica.org/media/img/deputados/2214.jpg,"","",2214
marcos-perestrello,Marcos Perestrello,http://demo.cratica.org/media/img/deputados/2209.jpg,"","",2209
margarida-almeida,Margarida Almeida,http://demo.cratica.org/media/img/deputados/4146.jpg,"","",4146
maria-antonia-de-almeida-santos,Maria Antónia de Almeida Santos,http://demo.cratica.org/media/img/deputados/1594.jpg,maasantos@ps.parlamento.pt,"",1594
maria-conceicao-pereira,Maria Conceição Pereira,http://demo.cratica.org/media/img/deputados/4051.jpg,"","",4051
maria-da-conceicao-caldeira,Maria da Conceição Caldeira,http://demo.cratica.org/media/img/deputados/4442.jpg,"","",4442
maria-das-merces-borges,Maria das Mercês Borges,http://demo.cratica.org/media/img/deputados/4193.jpg,"","",4193
maria-de-belem-roseira,Maria de Belém Roseira,http://demo.cratica.org/media/img/deputados/1671.jpg,mbelemroseira@ps.parlamento.pt,"",1671
maria-ester-vargas,Maria Ester Vargas,http://demo.cratica.org/media/img/deputados/4361.jpg,"","",4361
maria-joao-avila,Maria João Ávila,http://demo.cratica.org/media/img/deputados/4354.jpg,"","",4354
maria-jose-castelo-branco,Maria José Castelo Branco,http://demo.cratica.org/media/img/deputados/4390.jpg,"","",4390
maria-jose-moreno,Maria José Moreno,http://demo.cratica.org/media/img/deputados/4311.jpg,"","",4311
maria-manuela-tender,Maria Manuela Tender,http://demo.cratica.org/media/img/deputados/4365.jpg,"","",4365
maria-paula-cardoso,Maria Paula Cardoso,http://demo.cratica.org/media/img/deputados/3918.jpg,"","",3918
mariana-aiveca,Mariana Aiveca,http://demo.cratica.org/media/img/deputados/2156.jpg,mariana.aiveca@be.parlamento.pt,"",2156
mariana-mortagua,Mariana Mortágua,http://demo.cratica.org/media/img/deputados/4557.jpg,"","",4557
mario-magalhaes,Mário Magalhães,http://demo.cratica.org/media/img/deputados/4395.jpg,"","",4395
mario-ruivo,Mário Ruivo,http://demo.cratica.org/media/img/deputados/4319.jpg,"","",4319
mario-simoes,Mário Simões,http://demo.cratica.org/media/img/deputados/4294.jpg,"","",4294
mauricio-marques,Maurício Marques,http://demo.cratica.org/media/img/deputados/4328.jpg,"","",4328
mendes-bota,Mendes Bota,http://demo.cratica.org/media/img/deputados/249.jpg,mendesbota@psd.parlamento.pt,"",249
michael-seufert,Michael Seufert,http://demo.cratica.org/media/img/deputados/4157.jpg,mseufert@cds.parlamento.pt,http://twitter.com/seufert,4157
miguel-coelho,Miguel Coelho,http://demo.cratica.org/media/img/deputados/1164.jpg,mcoelho@ps.parlamento.pt,"",1164
miguel-freitas,Miguel Freitas,http://demo.cratica.org/media/img/deputados/2250.jpg,gp_ps@ps.parlamento.pt,"",2250
miguel-laranjeiro,Miguel Laranjeiro,http://demo.cratica.org/media/img/deputados/2212.jpg,Laranjeiro@ps.parlamento.pt,"",2212
miguel-macedo,Miguel Macedo,http://demo.cratica.org/media/img/deputados/123.jpg,miguelmacedo@psd.parlamento.pt,"",123
miguel-santos,Miguel Santos,http://demo.cratica.org/media/img/deputados/2071.jpg,"","",2071
miguel-tiago,Miguel Tiago,http://demo.cratica.org/media/img/deputados/2184.jpg,"",http://twitter.com/migueltiago,2184
miranda-calha,Miranda Calha,http://demo.cratica.org/media/img/deputados/193.jpg,mcalha@ps.parlamento.pt,"",193
monica-ferro,Mónica Ferro,http://demo.cratica.org/media/img/deputados/4440.jpg,"","",4440
mota-amaral,Mota Amaral,http://demo.cratica.org/media/img/deputados/390.jpg,mota.amaral@ar.parlamento.pt,"",390
mota-andrade,Mota Andrade,http://demo.cratica.org/media/img/deputados/1512.jpg,motaandrade@ps.parlamento.pt,"",1512
nilza-de-sena,Nilza de Sena,http://demo.cratica.org/media/img/deputados/4326.jpg,"","",4326
nuno-andre-figueiredo,Nuno André Figueiredo,http://demo.cratica.org/media/img/deputados/2259.jpg,"","",2259
nuno-encarnacao,Nuno Encarnação,http://demo.cratica.org/media/img/deputados/3991.jpg,"","",3991
nuno-filipe-matias,Nuno Filipe Matias,http://demo.cratica.org/media/img/deputados/4382.jpg,"","",4382
nuno-magalhaes,Nuno Magalhães,http://demo.cratica.org/media/img/deputados/2084.jpg,nmagalhaes@cds.parlamento.pt,http://twitter.com/nunomagalhaes,2084
nuno-reis,Nuno Reis,http://demo.cratica.org/media/img/deputados/3943.jpg,"",http://twitter.com/Nuno_Reis,3943
nuno-sa,Nuno Sá,http://demo.cratica.org/media/img/deputados/2215.jpg,"","",2215
nuno-sa-costa,Nuno Sá Costa,http://demo.cratica.org/media/img/deputados/2028.jpg,"","",2028
nuno-serra,Nuno Serra,http://demo.cratica.org/media/img/deputados/4318.jpg,"","",4318
odete-joao,Odete João,http://demo.cratica.org/media/img/deputados/2260.jpg,oj@ps.parlamento.pt,"",2260
odete-silva,Odete Silva,http://demo.cratica.org/media/img/deputados/4092.jpg,"","",4092
paula-goncalves,Paula Gonçalves,http://demo.cratica.org/media/img/deputados/4399.jpg,"","",4399
paula-santos,Paula Santos,http://demo.cratica.org/media/img/deputados/4197.jpg,"","",4197
paulo-almeida,Paulo Almeida,http://demo.cratica.org/media/img/deputados/4317.jpg,"","",4317
paulo-cavaleiro,Paulo Cavaleiro,http://demo.cratica.org/media/img/deputados/2641.jpg,"","",2641
paulo-mota-pinto,Paulo Mota Pinto,http://demo.cratica.org/media/img/deputados/3989.jpg,"",http://twitter.com/paulomotapinto,3989
paulo-pisco,Paulo Pisco,http://demo.cratica.org/media/img/deputados/1741.jpg,gp_ps@ps.parlamento.pt,"",1741
paulo-ribeiro-de-campos,Paulo Ribeiro de Campos,http://demo.cratica.org/media/img/deputados/4368.jpg,"","",4368
paulo-rios-de-oliveira,Paulo Rios de Oliveira,http://demo.cratica.org/media/img/deputados/4392.jpg,"","",4392
paulo-sa,Paulo Sá,http://demo.cratica.org/media/img/deputados/4471.jpg,"","",4471
paulo-simoes-ribeiro,Paulo Simões Ribeiro,http://demo.cratica.org/media/img/deputados/4381.jpg,"","",4381
pedro-alves,Pedro Alves,http://demo.cratica.org/media/img/deputados/1738.jpg,"","",1738
pedro-delgado-alves,Pedro Delgado Alves,http://demo.cratica.org/media/img/deputados/4453.jpg,"","",4453
pedro-do-o-ramos,Pedro do ó Ramos,http://demo.cratica.org/media/img/deputados/1993.jpg,"","",1993
pedro-farmhouse,Pedro Farmhouse,http://demo.cratica.org/media/img/deputados/2264.jpg,pfarmhouse@ps.parlamento.pt,"",2264
pedro-filipe-soares,Pedro Filipe Soares,http://demo.cratica.org/media/img/deputados/3926.jpg,pedro-filipe.soares@be.parlamento.pt,http://twitter.com/PedrofgSoares,3926
pedro-lynce,Pedro Lynce,http://demo.cratica.org/media/img/deputados/4085.jpg,"","",4085
pedro-morais-soares,Pedro Morais Soares,http://demo.cratica.org/media/img/deputados/4429.jpg,"","",4429
pedro-nuno-santos,Pedro Nuno Santos,http://demo.cratica.org/media/img/deputados/2051.jpg,"","",2051
pedro-pimpao,Pedro Pimpão,http://demo.cratica.org/media/img/deputados/4052.jpg,"","",4052
pedro-pinto,Pedro Pinto,http://demo.cratica.org/media/img/deputados/629.jpg,"","",629
pedro-roque,Pedro Roque,http://demo.cratica.org/media/img/deputados/1992.jpg,"","",1992
pedro-saraiva,Pedro Saraiva,http://demo.cratica.org/media/img/deputados/3990.jpg,"","",3990
ramos-preto,Ramos Preto,http://demo.cratica.org/media/img/deputados/1943.jpg,ramospreto@ps.parlamento.pt,"",1943
raul-de-almeida,Raúl de Almeida,http://demo.cratica.org/media/img/deputados/1801.jpg,raul.almeida@cds.parlamento.pt,"",1801
renato-sampaio,Renato Sampaio,http://demo.cratica.org/media/img/deputados/1679.jpg,"","",1679
ricardo-baptista-leite,Ricardo Baptista Leite,http://demo.cratica.org/media/img/deputados/4441.jpg,"","",4441
rita-rato,Rita Rato,http://demo.cratica.org/media/img/deputados/4104.jpg,"","",4104
rosa-arezes,Rosa Arezes,http://demo.cratica.org/media/img/deputados/4329.jpg,"","",4329
rosa-maria-bastos-albernaz,Rosa Maria Bastos Albernaz,http://demo.cratica.org/media/img/deputados/204.jpg,albernaz@ps.parlamento.pt,"",204
rui-barreto,Rui Barreto,http://demo.cratica.org/media/img/deputados/4374.jpg,"","",4374
rui-paulo-figueiredo,Rui Paulo Figueiredo,http://demo.cratica.org/media/img/deputados/2569.jpg,"","",2569
rui-pedro-duarte,Rui Pedro Duarte,http://demo.cratica.org/media/img/deputados/4321.jpg,"","",4321
sandra-cardoso,Sandra Cardoso,http://demo.cratica.org/media/img/deputados/4562.jpg,"","",4562
sandra-pontedeira,Sandra Pontedeira,http://demo.cratica.org/media/img/deputados/4338.jpg,"","",4338
sergio-azevedo,Sérgio Azevedo,http://demo.cratica.org/media/img/deputados/4095.jpg,"","",4095
sergio-sousa-pinto,Sérgio Sousa Pinto,http://demo.cratica.org/media/img/deputados/1264.jpg,"","",1264
sonia-fertuzinhos,Sónia Fertuzinhos,http://demo.cratica.org/media/img/deputados/1028.jpg,sfertuzinhos@ps.parlamento.pt,"",1028
telmo-correia,Telmo Correia,http://demo.cratica.org/media/img/deputados/1655.jpg,tcorreia@cds.parlamento.pt,http://twitter.com/Telmo_Correia,1655
teresa-anjinho,Teresa Anjinho,http://demo.cratica.org/media/img/deputados/4289.jpg,"","",4289
teresa-caeiro,Teresa Caeiro,http://demo.cratica.org/media/img/deputados/1923.jpg,tcaeiro@cds.parlamento.pt,http://twitter.com/teresacaeiro,1923
teresa-costa-santos,Teresa Costa Santos,http://demo.cratica.org/media/img/deputados/4213.jpg,"","",4213
teresa-leal-coelho,Teresa Leal Coelho,http://demo.cratica.org/media/img/deputados/4389.jpg,"","",4389
ulisses-pereira,Ulisses Pereira,http://demo.cratica.org/media/img/deputados/1743.jpg,"","",1743
valter-ribeiro,Valter Ribeiro,http://demo.cratica.org/media/img/deputados/4351.jpg,"","",4351
vasco-cunha,Vasco Cunha,http://demo.cratica.org/media/img/deputados/1410.jpg,vasco.cunha@psd.parlamento.pt,"",1410
vera-rodrigues,Vera Rodrigues,http://demo.cratica.org/media/img/deputados/4403.jpg,"","",4403
vieira-da-silva,Vieira da Silva,http://demo.cratica.org/media/img/deputados/1867.jpg,"","",1867
vitalino-canas,Vitalino Canas,http://demo.cratica.org/media/img/deputados/1700.jpg,vitalinocanas@ps.parlamento.pt,"",1700
