id,name__hy,name__en,name__nl,name,wikipedia__hy,gender,birth_date,original_wikiname,name__es,name__ru,name__fr,name__de,name__hu,name__fa,wikipedia__en,wikipedia__fa,wikipedia__hywikiquote,wikipedia__ru,image,occupation,identifier__freebase,given_name,website,name__pt,wikipedia__pt,name__et,name__pl,name__tr,name__ka,name__ja,wikipedia__commons,wikipedia__et,wikipedia__fr,wikipedia__hywikisource,wikipedia__ka,wikipedia__pl,wikipedia__tr,identifier__VIAF,identifier__PACE,wikipedia__ruwikiquote,name__uk,name__zh,wikipedia__de,wikipedia__uk,wikipedia__zh,identifier__google_knowledge,name__it,wikipedia__simple,name__eo,wikipedia__eo,identifier__GND,identifier__LCAuth,identifier__SUDOC,name__sv,name__en_ca,name__en_gb,wikipedia__sv,wikipedia__es,name__zh_hant,name__zh_hans,name__bg,wikipedia__it,name__oc,name__be,name__cy,death_date,name__az,name__el,wikipedia__az,name__id,name__la,name__lv,name__nds,name__mr,name__vi,name__da,name__nb,name__nn,name__pt_br,wikipedia__el,wikipedia__id,wikipedia__la,wikipedia__lv,wikipedia__mr,wikipedia__nds,wikipedia__no,wikipedia__ruwikinews,wikipedia__vi,facebook,wikipedia__bg,wikipedia__ja,family_name,name__sl,identifier__GTAA,wikipedia__ca,wikipedia__io,wikipedia__hu,name__be_tarask,wikipedia__ky,name__ar,name__he,wikipedia__ar,wikipedia__he,name__hsb,name__cs,name__sr,name__ky,wikipedia__cs,wikipedia__hsb,wikipedia__sr,name__ca,wikipedia__sh,name__sh,name__mg,wikipedia__mg,identifier__NTA,name__sco,name__an,name__ast,name__ext,name__gl,wikipedia__sco,name__qu,wikipedia__qu,identifier__MGP,identifier__FAST,identifier__IMDB,identifier__bigenc_ru,identifier__BNF,identifier__ISNI,name__fi,name__kk,wikipedia__kk,name__ace,identifier__kinopoisk,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__io,name__arc,wikipedia__arc,wikipedia__fi,wikipedia__gl,wikipedia__ko,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__be,wikipedia__enwikiquote,name__ro,name__diq,wikipedia__ro,identifier__OLID,identifier__nlg,identifier__Britannica,wikipedia__xmf,wikipedia__te,wikipedia__sq,name__ba,wikipedia__ba,name__te,name__sq,name__bn,name__hi,wikipedia__bn,name__xmf,name__azb,wikipedia__azb,identifier__BIBSYS,identifier__NUKAT
Q15081489,Սամսոն Սարգսյան,,,Սամսոն Սարգսյան,,male,1968-09-08,,,"Саркисян, Самсон Камоевич",,,,,,,,"Саркисян, Самсон Камоевич",,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16214505,Արմեն Մարտիրոսյան,Armen Martirosyan,Armen Martirosyan,Արմեն Մարտիրոսյան,,male,1973-09-30,,,"Мартиросян, Армен Павликович",,Armen Martirosyan,,آرمن مارتیروسیان,Armen Martirosyan (Heritage),آرمن مارتیروسیان (حزب میراث),,"Мартиросян, Армен Павликович",https://upload.wikimedia.org/wikipedia/commons/c/c7/Armen_Martirosyan.jpg,politician,,Armen,,,,,,,,,,,,,,,,,,,Мартиросян Армен Павлікович,,,Мартиросян Армен Павлікович,,,,,,,,,,,Armen Martirosyan,Armen Martirosyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martirosyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16371609,Արտակ Սարգսյան,Artak Sargsyan,,Արտակ Սարգսյան,Արտակ Սարգսյան (գործարար),male,1973-07-13,Արտակ Սարգսյան (գործարար),,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16377996,Գրիգոր Գրիգորյան,Grigor Grigoryan,,Գրիգոր Գրիգորյան,Գրիգոր Գրիգորյան,male,1960-03-23,Գրիգոր Գրիգորյան,,Григор Григорян,,,,,,,,,,Yerevan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16378244,Գևորգ Կոստանյան,,,Գևորգ Կոստանյան,Գևորգ Կոստանյան,male,1977-10-04,,,"Костанян, Геворг",,,,,,,,"Костанян, Геворг",https://upload.wikimedia.org/wikipedia/commons/7/71/Գևորգ_Սուրիկի_Կոստանյան.jpg,jurist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16398714,Սամվել Թադևոսյան,Samvel Tadevosyan,,Սամվել Թադևոսյան,Սամվել Թադևոսյան (պետական գործիչ),male,1959-07-09,Սամվել Թադևոսյան (պետական գործիչ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1729248,Կարեն Դեմիրճյան,Karen Demirchyan,Karen Demirchyan,Կարեն Դեմիրճյան,Կարեն Դեմիրճյան,male,1932-04-17,,Karen Demirchyan,Карен Серобович Демирчян,Karen Demirtchian,Karen Demirtschjan,Karen Demirchyan,کارن دمیرچیان,Karen Demirchyan,کارن دمیرچیان,Կարեն Դեմիրճյան,"Демирчян, Карен Серобович",https://upload.wikimedia.org/wikipedia/commons/b/bf/Karen_Demirchyan_1999.png,politician,/m/07z95n,Karen,,,,,Karen Demirczian,Karen Demirciyan,კარენ დემირჭიანი,カレン・デミルチャン,Category:Karen Demirchyan,,Karen Demirtchian,,კარენ დემირჭიანი,Karen Demirczian,Karen Demirciyan,79528849,,,Демірчян Карен Серобович,卡連·傑米爾強,Karen Demirtschjan,Демірчян Карен Серобович,,,,,,,128511842,n80163328,,,,,,,,,,,,Карэн Сяробавіч Дземірчан,,1999-10-27,Karen Dəmirçyan,,Karen Dəmirçyan,,,,,,,,,,,,,,,,,,,,,,,Demirchyan,,,,,,,,كارين ديميريشيان,קארן דמירצ'יאן,كارين ديميريشيان,,,,,,,,,,,,,,,,,,,,,,,,1753540,,1946760,,0000 0000 7871 8339,Karen Demirtšjan,,,,,,,,,,,,,Karen Demirtšjan,,,,,,Карэн Сяробавіч Дземірчан,Karen Demirchyan,,,,,,,,,,,,,,,,,,,,,
Q1822203,Լևոն Մկրտչյան,Levon Mkrtchyan,Lewon Mkrttschjan,Լևոն Մկրտչյան,Լևոն Մկրտչյան (պետական գործիչ),male,1965-03-18,,,Левон Оганесович Мкртчян,Lewon Mkrttschjan,Lewon Mkrttschjan,,,,,,"Мкртчян, Левон Оганесович",https://upload.wikimedia.org/wikipedia/commons/d/d4/Levon_Mkrtchyan.jpg,politician,,Lewon,,,,,,,,,,,,,,,,,,,,,Lewon Mkrttschjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mkrttschjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18842070,Հովհաննես Թոքմաջյան,Hovhannes Tokmajyan,,Հովհաննես Թոքմաջյան,Հովհաննես Թոքմաջյան,male,1956-11-07,,,"Токмаджян, Ованес Вачеевич",,,,,,,,"Токмаджян, Оганес Вачеевич",https://upload.wikimedia.org/wikipedia/commons/1/12/TokmajyanH.jpg,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1974113,Վարդան Օսկանյան,Vartan Oskanian,Vardan Ôskanyan,Վարդան Օսկանյան,Վարդան Օսկանյան,male,1955-02-07,Վարդան Օսկանյան,Vartan Oskanian,"Осканян, Вардан Минасович",Vardan Oskanian,Wartan Oskanjan,Vartan Oskanian,وارطان اوسکانیان,Vartan Oskanian,وارطان اوسکانیان,,"Осканян, Вардан Минасович",https://upload.wikimedia.org/wikipedia/commons/5/5f/Vartan_Oskanian.jpg,politician,/m/026v14c,,,,,,,Vartan Oskanyan,,ヴァルタン・オスカニアン,Category:Vartan Oskanian,,Vardan Oskanian,,,,Vartan Oskanyan,68305545,,,Осканян Вардан Мінасович,,Wartan Oskanjan,Осканян Вардан Мінасович,,,,,Vardan Oskanjan,Vardan Oskanjan,141475897,n2003063665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8001 1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1975237,Խոսրով Հարությունյան,Khosrov Harutyunyan,Khosrov Harutyunyan,Խոսրով Հարությունյան,Խոսրով Հարությունյան,male,1948-05-30,Խոսրով Հարությունյան,Khosrov Harutyunyan,Хосров Меликович Арутюнян,Khosrov Haroutiounian,Chosrow Harutjunjan,Khosrov Harutyunyan,خسرو هاروتیونیان,Khosrov Harutyunyan,خسرو هاروتیونیان,,"Арутюнян, Хосров Меликович",,politician,/m/0275z4b,,,,,,Chosrow Harutiunian,,ხოსროვ არუთინიანი,ホスロフ・ハルチュニャン,,,Khosrov Haroutiounian,,ხოსროვ არუთინიანი,Chosrow Harutiunian,,,,,Арутюнян Хосров Мелікович,霍斯罗夫·阿鲁秋尼扬,Chosrow Harutjunjan,Арутюнян Хосров Мелікович,霍斯罗夫·阿鲁秋尼扬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harutjunjan,,,,Khosrov Harutyunyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khosrov Harutyunyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1975243,Հրանտ Բագրատյան,Hrant Bagratyan,Hrant Bagratyan,Հրանտ Բագրատյան,Հրանտ Բագրատյան,male,1958-10-18,Հրանտ Բագրատյան,Hrant Bagratyan,Грант Араратович Багратян,Hrant Bagratian,Hrant Bagratjan,Hrant Bagratyan,هراند باگراتیان,Hrant Bagratyan,هراند باگراتیان,Հրանտ Բագրատյան,"Багратян, Грант Араратович",https://upload.wikimedia.org/wikipedia/commons/5/52/Hrant_Bagratyan_1.jpg,politician,/m/0275yyt,Hrant,,,,,,,ჰრანტ ბაგრატიანი,フラント・バグラティアン,Category:Hrant Bagratyan,,Hrant Bagratian,,ჰრანტ ბაგრატიანი,,,111259073,,,Багратян Грант Араратович,格兰特·巴格拉强,Hrant Bagratjan,Багратян Грант Араратович,格兰特·巴格拉强,,Hrant Bagratyan,,,,1028641524,n91067648,,,,,,,格蘭特·巴格拉強,格兰特·巴格拉强,"Багратян, Грант Араратович",Hrant Bagratyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hrant Bagratyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8303 680X,,,,,,,,,,,Hrant Bagratyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1975502,Պարույր Հայրիկյան,Paruyr Hayrikyan,Paruyr Hayrikyan,Պարույր Հայրիկյան,Պարույր Հայրիկյան,male,1949-07-05,,Paruyr Hayrikyan,Паруйр Аршавирович Айрикян,Paruyr Hayrikyan,,Paruyr Hayrikyan,بارویر هایریکیان,Paruyr Hayrikyan,بارویر هایریکیان,Պարույր Հայրիկյան,"Айрикян, Паруйр Аршавирович",https://upload.wikimedia.org/wikipedia/commons/6/6d/Паруйр_Аршавирович_Айрикян.jpg,politician,/m/04dzv6h,,http://www.hayrikyan.com/,,,Paruyr Hayrikyan,,Paryur Hayrikyan,,,Category:Paruyr Hayrikyan,Parujr Hajrikjan,Paruyr Hayrikyan,Հեղինակ:Պարույր Հայրիկյան,,,Paryur Hayrikyan,35934155,,,Паруйр Айрікян,,,Паруйр Айрікян,,,Paruyr Hayrikyan,Paruyr Hayrikyan,,,,n86068409,,Paruyr Hayrikyan,,,Paruyr Hayrikyan,,,,,Paruyr Hayrikyan,,,,,Paruyr Hayrikyan,,Paruyr Hayrikyan,,,,,,,,,,,,,,,,,,Категория:Паруйр Айрикян,,,,,,,,,,Paruyr Hayrikyan,,,,,,,,,,,,,,,,,,,229894674,,,,,,,,,,181393,,,,0000 0000 2669 7580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19763698,Տիգրան Ուրիխանյան,,,Տիգրան Ուրիխանյան,Տիգրան Ուրիխանյան,male,1979-08-27,,,"Уриханян, Тигран Хачатурович",,,,,,,,"Уриханян, Тигран Хачатурович",https://upload.wikimedia.org/wikipedia/commons/1/1d/Tigran_Urikhanyan.JPG,politician,,,http://tigran-urikhanyan.am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1977367,Գագիկ Բեգլարյան,Gagik Beglaryan,Gagik Beglaryan,Գագիկ Բեգլարյան,Գագիկ Բեգլարյան,male,1964-01-01,Գագիկ Բեգլարյան,Gagik Beglaryan,Гагик Бегларович Бегларян,Gagik Beglarian,Gagik Beglaryan,Gagik Beglaryan,گاگیک بگلاریان,Gagik Beglaryan,گاگیک بگلاریان,,"Бегларян, Гагик Бегларович",https://upload.wikimedia.org/wikipedia/commons/0/0c/Gagik-Beglaryan-Armenia-Minister.jpg,politician,/m/0y4xxkq,,,,,,,Gagik Beglaryan,გაგიკ ბეგლარიანი,,,,Gagik Beglarian,,გაგიკ ბეგლარიანი,,Gagik Beglaryan,,,,,加吉克·別格拉爾揚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19915942,Միհրան Պողոսյան,Mihran Poghosyan,Mihran Poghosyan,Միհրան Պողոսյան,Միհրան Պողոսյան,male,1976-05-29,,,"Погосян, Мигран Суренович",,,,,Mihran Poghosyan,,,"Погосян, Мигран Суренович",https://upload.wikimedia.org/wikipedia/commons/e/e8/Mihran_Poghosyan.jpg,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poghossian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20506949,Մարտուն Գրիգորյան,Martun Grigoryan,Martun Grigoryan,Մարտուն Գրիգորյան,Մարտուն Գրիգորյան,male,1981-01-18,Մարտուն Գրիգորյան,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20508566,Առաքել Մովսիսյան,Arakel Movsisyan,Arakel Movsisyan,Առաքել Մովսիսյան,Առաքել Մովսիսյան,male,1966-08-20,Առաքել Մովսիսյան,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/79/Araqel_Movsisyan.jpg,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20509334,Հակոբ Բեգլարյան,,,Հակոբ Բեգլարյան,Հակոբ Բեգլարյան,male,1966-08-03,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20509405,Գևորգ Պետրոսյան,Gevorg Petrosyan,Gevorg Petrosyan,Գևորգ Պետրոսյան,Գևորգ Պետրոսյան (պետական գործիչ),male,1972-09-04,,,,,,,گئورگ پتروسیان,Gevorg Petrosyan (politician),گئورگ پتروسیان (سیاستمدار),,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Gevorg_Volodya_Petrosyan.jpg,jurist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20509642,Ստեփան Մարգարյան,Stepan Margaryan,Stepan Margaryan,Ստեփան Մարգարյան,Ստեփան Մարգարյան,male,1960-10-26,Ստեփան Մարգարյան,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Stepan_Margaryan_02.jpg,,,Stepan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20509682,Վլադիմիր Պետրոսյան,Vladimir Petrosyan,,Վլադիմիր Պետրոսյան,Վլադիմիր Պետրոսյան,male,1941-05-03,,,,,,,,,,,,,sculptor,,Vladimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrosyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20509893,Կորյուն Նահապետյան,Koryun Nahapetyan,Koryun Nahapetyan,Կորյուն Նահապետյան,Կորյուն Նահապետյան,male,1971-07-23,Կորյուն Նահապետյան,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
