id,name,role,image,district,party,birth_date,email,source,name__hy,name__ru,term,faction_id,faction,start_date,end_date
1170,Gagik Minasyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1170,"","""Republican Party of Armenia"" /RPA/",1950-04-05,gem07@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1170&lang=eng,Գագիկ Ենգիբարի Մինասյան,Гагик Енгибарович Минасян,6,RPA,Republican,2017-05-18,
1171,Samvel Nikoyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1171,"","""Republican Party of Armenia"" /RPA/",1958-02-13,samvel.nikoyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1171&lang=eng,Սամվել Պարգեւի Նիկոյան,Самвел Паргевович Никоян,6,RPA,Republican,2017-05-18,
1172,Artak Zeynalyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1172,"","""Republic""/RP/",1969-09-09,artak.zeynalyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1172&lang=eng,Արտակ Հայկազի Զեյնալյան,Артак Айказович Зейналян,6,WO,Way Out,2017-05-18,
1173,Hrayr Tovmasyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1173,"","""Republican Party of Armenia"" /RPA/",1970-07-08,hrayr.tovmasyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1173&lang=eng,Հրայր Վարդանի Թովմասյան,Грайр Варданович Товмасян,6,RPA,Republican,2017-05-18,
1174,Shushan Petrosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1174,"","""Republican Party of Armenia"" /RPA/",1967-09-23,shushan.petrosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1174&lang=eng,Շուշան Սամվելի Պետրոսյան,Шушан Самвеловна Петросян,6,RPA,Republican,2017-05-18,
1175,Lena Nazaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1175,"","""Civil Contract""",1983-03-09,lena.nazaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1175&lang=eng,Լենա Ռաֆայելի Նազարյան,Лена Рафаеловна Назарян,6,WO,Way Out,2017-05-18,
1176,Manvel Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1176,"",non-Party,1956-07-14,m.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1176&lang=eng,Մանվել Սեկտորի Գրիգորյան,Манвел Секторович Григорян,6,RPA,Republican,2017-05-18,
1177,Artashes Geghamyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1177,"","""National Unity "" Party /NUP/",1949-12-02,artashes.geghamyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1177&lang=eng,Արտաշես Մամիկոնի Գեղամյան,Арташес Мамиконович Гегамян,6,RPA,Republican,2017-05-18,
1178,Khosrov Harutyunyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1178,"",Christian-Democratic Union of Armenia,1948-05-30,khosrov.harutyunyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1178&lang=eng,Խոսրով Մելիքի Հարությունյան,Хосров Меликович Арутюнян,6,RPA,Republican,2017-05-18,
1179,Shushan Sardaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1179,"","""Republican Party of Armenia"" /RPA/",1968-02-05,shushan.sardaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1179&lang=eng,Շուշան Ալբերտի Սարդարյան,Шушан Альбертовна Сардарян,6,RPA,Republican,2017-05-18,
1180,Hayk Babukhanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1180,"",”Constitutional Law” Union /CLU/,1964-10-22,hayk.babukhanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1180&lang=eng,Հայկ Բորիսի Բաբուխանյան,Айк Борисович Бабуханян,6,RPA,Republican,2017-05-18,
1181,Vahan Harutyunyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1181,"","""Republican Party of Armenia"" /RPA/",1980-07-30,vahan.harutyunyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1181&lang=eng,Վահան Միխաիլի Հարությունյան,Ваган Михаилович Арутюнян,6,RPA,Republican,2017-05-18,
1182,Jemma Baghdasaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1182,"","""Republican Party of Armenia"" /RPA/",1956-07-23,jemma.baghdasaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1182&lang=eng,Ջեմմա Սամվելի Բաղդասարյան,Джемма Самвеловна Багдасарян,6,RPA,Republican,2017-05-18,
1183,Armen Rustamyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1183,"","""Armenian Revolutionary Federation"" /ARF/",1960-03-01,a.rustamyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1183&lang=eng,Արմեն Եզնակի Ռուստամյան,Армен Езнакович Рустамян,6,ARF,Armenian Revolutionary Federation,2017-05-18,
1184,Gevorg Kostanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1184,"",non-Party,1977-10-04,gevorg.kostanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1184&lang=eng,Գեւորգ Սուրիկի Կոստանյան,Геворк Сурикович Костанян,6,RPA,Republican,2017-05-18,
1185,Aghvan Vardanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1185,"","""Armenian Revolutionary Federation"" /ARF/",1958-10-07,aghvan.vardanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1185&lang=eng,Աղվան Արշավիրի Վարդանյան,Агван Аршавирович Варданян,6,ARF,Armenian Revolutionary Federation,2017-05-18,
1186,Mihran Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1186,"","""Republican Party of Armenia"" /RPA/",1984-07-15,mihran.hakobyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1186&lang=eng,Միհրան Տարոնի Հակոբյան,Мигран Таронович Акопян,6,RPA,Republican,2017-05-18,
1187,Arman Saghatelyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1187,"",non-Party,1975-08-26,arman.saghatelyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1187&lang=eng,Արման Արմենի Սաղաթելյան,Арман Арменович Сагателян,6,RPA,Republican,2017-05-18,
1188,Armenuhi Kyureghyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1188,"","""Armenian Revolutionary Federation"" /ARF/",1963-08-26,armenuhi.kyureghyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1188&lang=eng,Արմենուհի Ստեփանի Կյուրեղյան,Арменуи Степановна Кюрегян,6,ARF,Armenian Revolutionary Federation,2017-05-18,
1189,Ruzanna Muradyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1189,"","""Republican Party of Armenia"" /RPA/",1963-06-28,ruzanna.muradyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1189&lang=eng,Ռուզաննա Կարապետի Մուրադյան,Рузанна Карапетовна Мурадян,6,RPA,Republican,2017-05-18,
1190,Armen Babayan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1190,"",non-Party,1972-07-11,armen.babayan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1190&lang=eng,Արմեն Կարլուշի Բաբայան,Армен Карлушович Бабаян,6,ARF,Armenian Revolutionary Federation,2017-05-18,
1191,Gagik Melikyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1191,"","""Republican Party of Armenia"" /RPA/",1960-01-01,gagik.melikyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1191&lang=eng,Գագիկ Վաղինակի Մելիքյան,Гагик Вагинакович Меликян,6,RPA,Republican,2017-05-18,
1192,Karen Bekaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1192,"",non-Party,1970-03-02,karen.bekaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1192&lang=eng,Կարեն Մանուկի Բեքարյան,Карен Манукович Бекарян,6,RPA,Republican,2017-05-18,
1193,Shirak Torosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1193,"","""Powerful Homeland"" Party",1972-04-16,shirak.torosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1193&lang=eng,Շիրակ Արտեմի Թորոսյան,Ширак Артемович Торосян,6,RPA,Republican,2017-05-18,
1194,Karine Atshemyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1194,"","""Republican Party of Armenia"" /RPA/",1962-07-01,k.adzhemyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1194&lang=eng,Կարինե Խաչիկի Աճեմյան,Карине Хачиковна Аджемян,6,RPA,Republican,2017-05-18,
1195,Tatyana Mikaelyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1195,"","""Prosperous Armenia"" Party",1955-12-07,tatyana.mikaelyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1195&lang=eng,Տատյանա Գրիգորեւնա Միքայելյան,Татьяна Григорьевна Микаелян,6,TSAR,Tsarukyan,2017-05-18,
1196,Gagik Tsarukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1196,"","""Prosperous Armenia"" Party",1956-11-25,gagik.tsarukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1196&lang=eng,Գագիկ Կոլյայի Ծառուկյան,Гагик Коляевич Царукян,6,TSAR,Tsarukyan,2017-05-18,
1197,Ishkhan Zakaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1197,"","""Prosperous Armenia"" Party",1961-11-21,ishkhan.zakaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1197&lang=eng,Իշխան Սերժիկի Զաքարյան,Ишхан Сержикович Закарян,6,TSAR,Tsarukyan,2017-05-18,
1198,Rustam Makhmudyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1198,"","""Republican Party of Armenia"" /RPA/",1982-08-20,rustam.makhmudyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1198&lang=eng,Ռուստամ Ջասմի Մախմուդյան,Рустам Джасмович Махмудян,6,RPA,Republican,2017-05-18,
1199,Arsen Mikhailov,"",http://parliament.am/photo.php?source=deputy&size=big&id=1199,"","""Republican Party of Armenia"" /RPA/",1963-01-29,arsen.mikhailov@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1199&lang=eng,Արսեն Պետրովիչ Միխայլով,Арсен Петрович Михайлов,6,RPA,Republican,2017-05-18,
1200,Knyaz Hasanov,"",http://parliament.am/photo.php?source=deputy&size=big&id=1200,"","""Republican Party of Armenia"" /RPA/",1945-01-17,knyaz.hasanov@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1200&lang=eng,Կնյազ Համիդի Հասանով,Князь Гамидович Гасанов,6,RPA,Republican,2017-05-18,
1201,Naira Zohrabyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1201,"","""Prosperous Armenia"" Party",1965-05-08,nz@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1201&lang=eng,Նաիրա Վահանի Զոհրաբյան,Наира Вагановна Зограбян,6,TSAR,Tsarukyan,2017-05-18,
1202,Robert Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1202,"","""Republican Party of Armenia"" /RPA/",1972-07-22,robert.sargsyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1202&lang=eng,Ռոբերտ Գուրգենի Սարգսյան,Роберт Гургенович Саргсян,6,RPA,Republican,2017-05-18,
1203,Vardan Bostanjyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1203,"","""Prosperous Armenia"" Party",1949-09-09,vardan.bostanjyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1203&lang=eng,Վարդան Բաբկենի Բոստանջյան,Вардан Бабкенович Бостанджян,6,TSAR,Tsarukyan,2017-05-18,
1204,Mikayel Melkumyan,Vice President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1204,"","""Prosperous Armenia"" Party",1962-04-01,mikael.melkumyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1204&lang=eng,Միքայել Սերգեյի Մելքումյան,Микаел Сергеевич Мелкумян,6,TSAR,Tsarukyan,2017-05-18,
1205,Mihran Poghosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1205,"","""Republican Party of Armenia"" /RPA/",1976-05-29,mihran.poghosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1205&lang=eng,Միհրան Սուրենի Պողոսյան,Мигран Суренович Погосян,6,RPA,Republican,2017-04-18,
1206,Ararat Zourabyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1206,"",Armenian National Movement (ANM),1963-08-09,ararat.zourabyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1206&lang=eng,Արարատ Անուշավանի Զուրաբյան,Арарат Анушаванович Зурабян,6,TSAR,Tsarukyan,2017-05-18,
1207,Tigran Urikhanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1207,"","Progressive centrist party ""Alliance""",1979-08-27,tigran.urikhanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1207&lang=eng,Տիգրան Խաչատուրի Ուրիխանյան,Тигран Хачатурович Уриханян,6,TSAR,Tsarukyan,2017-05-18,
1208,Iveta Tonoyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1208,"","""Prosperous Armenia"" Party",1981-11-22,iveta.tonoyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1208&lang=eng,Իվետա Սասունի Տոնոյան,Ивета Сасуновна Тоноян,6,TSAR,Tsarukyan,2017-05-18,
1209,Artur Manukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1209,"",non-Party,1982-06-15,artur.manukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1209&lang=eng,Արթուր Աբրահամի Մանուկյան,Артур Абраамович Манукян,6,TSAR,Tsarukyan,2017-05-18,
1210,Luiza Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1210,"","""Prosperous Armenia"" Party",1977-09-02,luiza.sargsyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1210&lang=eng,Լուիզա Աշոտի Սարգսյան,Луиза Ашотовна Саргсян,6,TSAR,Tsarukyan,2017-05-18,
1211,Vahe Enfiajyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1211,"","""Prosperous Armenia"" Party",1978-12-24,enfiajyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1211&lang=eng,Վահե Սարգսի Էնֆիաջյան,Ваге Саркисович Энфиаджян,6,TSAR,Tsarukyan,2017-05-18,
1213,Karine Poghosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1213,"",non-Party,1973-05-27,karine.poghosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1213&lang=eng,Կարինե Համլետի Պողոսյան,Карине Гамлетовна Погосян,6,TSAR,Tsarukyan,2017-05-18,
1214,Sergey Bagratyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1214,"","""Prosperous Armenia"" Party",1963-01-03,sergey.bagratyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1214&lang=eng,Սերգեյ Պապաշի Բագրատյան,Сергей Папашевич Багратян,6,TSAR,Tsarukyan,2017-05-18,
1215,Marina Margaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1215,"","""Prosperous Armenia"" Party",1957-07-28,marina.margaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1215&lang=eng,Մարինա Միտուշի Մարգարյան,Марина Митушевна Маркарян,6,TSAR,Tsarukyan,2017-05-18,
1216,Artak Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1216,"","""Republican Party of Armenia"" /RPA/",1973-07-13,sargsyan.artak@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1216&lang=eng,Արտակ Սամվելի Սարգսյան,Артак Самвелович Саргсян,6,RPA,Republican,2017-05-18,
1217,Shake Isayan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1217,"","""Prosperous Armenia"" Party",1990-01-20,shaqe.isayan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1217&lang=eng,Շաքե Ռոբերտի Իսայան,Шаке Робертовна Исаян,6,TSAR,Tsarukyan,2017-05-18,
1218,Artur Gevorgyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1218,"","""Republican Party of Armenia"" /RPA/",1975-04-01,a.gevorgyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1218&lang=eng,Արթուր Սամվելի Գեւորգյան,Артур Самвелович Геворкян,6,RPA,Republican,2017-05-18,
1219,Samvel Aleksanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1219,"",non-Party,1968-08-19,samvel.aleksanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1219&lang=eng,Սամվել Լիմինդրի Ալեքսանյան,Самвел Лиминдрович Алексанян,6,RPA,Republican,2017-05-18,
1220,Araik Hovhannisyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1220,"","""Republican Party of Armenia"" /RPA/",1964-11-23,araik.hovhannisyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1220&lang=eng,Արաիկ Ռաֆայելի Հովհաննիսյան,Араик Рафаелович Оганесян,6,RPA,Republican,2017-05-18,
1221,Koryun Nahapetyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1221,"","""Republican Party of Armenia"" /RPA/",1971-07-23,knahapetyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1221&lang=eng,Կորյուն Գառնիկի Նահապետյան,Корюн Гарникович Нагапетян,6,RPA,Republican,2017-05-18,
1222,Hakob Beglaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1222,"","""Republican Party of Armenia"" /RPA/",1966-08-03,hakob.beglaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1222&lang=eng,Հակոբ Բեգլարի Բեգլարյան,Акоп Бегларович Бегларян,6,RPA,Republican,2017-05-18,
1223,Harutyun Karapoghosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1223,"",non-Party,1955-05-01,harutyun.karapoghosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1223&lang=eng,Հարություն Կարապետի Կարապողոսյան,Арутюн Карапетович Карапогосян,6,RPA,Republican,2017-05-18,
1224,Arayik Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1224,"","""Republican Party of Armenia"" /RPA/",1963-05-10,araik.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1224&lang=eng,Արայիկ Թեմուրի Գրիգորյան,Араик Темурович Григорян,6,RPA,Republican,2017-05-18,
1225,Murad Muradyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1225,"","""Republican Party of Armenia"" /RPA/",1957-08-04,murad.muradyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1225&lang=eng,Մուրադ Սահակի Մուրադյան,Мурад Саакович Мурадян,6,RPA,Republican,2017-05-18,
1226,Alik Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1226,"","""Republican Party of Armenia"" /RPA/",1957-06-01,alik.sargsyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1226&lang=eng,Ալիկ Սարգսի Սարգսյան,Алик Саркисович Саргсян,6,RPA,Republican,2017-05-18,
1227,Nahapet Gevorgyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1227,"","""Republican Party of Armenia"" /RPA/",1957-06-28,nahapet.gevorkyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1227&lang=eng,Նահապետ Բագրատի Գեւորգյան,Нагапет Багратович Геворгян,6,RPA,Republican,2017-05-18,
1228,Sedrak Saroyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1228,"",non-Party,1967-09-03,sedrak.saroyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1228&lang=eng,Սեդրակ Ֆիրդուսի Սարոյան,Седрак Фирдусович Сароян,6,RPA,Republican,2017-05-18,
1229,Nairi Sahakyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1229,"","""Republican Party of Armenia"" /RPA/",1969-07-28,nairi.sahakyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1229&lang=eng,Նաիրի Արտաշեսի Սահակյան,Наири Арташесович Саакян,6,RPA,Republican,2017-05-18,
1230,Rafik Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1230,"","""Republican Party of Armenia"" /RPA/",1958-05-17,rafik.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1230&lang=eng,Ռաֆիկ Խորենի Գրիգորյան,Рафик Хоренович Григорян,6,RPA,Republican,2017-05-18,
1231,Hakob Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1231,"","""Republican Party of Armenia"" /RPA/",1958-01-26,hakob.hakobyanr@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1231&lang=eng,Հակոբ Ռաֆիկի Հակոբյան,Акоп Рафикович Акопян,6,RPA,Republican,2017-05-18,
1232,Karen Karapetyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1232,"","""Republican Party of Armenia"" /RPA/",1961-03-02,karen.karapetyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1232&lang=eng,Կարեն Սարգսի Կարապետյան,Карен Саркисович Карапетян,6,RPA,Republican,2017-05-18,
1233,Vahram Baghdasaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1233,"","""Republican Party of Armenia"" /RPA/",1961-06-15,vahram.baghdasaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1233&lang=eng,Վահրամ Վաղինակի Բաղդասարյան,Ваграм Вагинакович Багдасарян,6,RPA,Republican,2017-05-18,
1234,Arkadi Hambardzoumyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1234,"",non-Party,1971-04-09,arkadi.hambardzumyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1234&lang=eng,Արկադի Ստանիսլավի Համբարձումյան,Аркадий Станиславович Амбарцумян,6,RPA,Republican,2017-05-18,
