id,name__pl,name__en,name__de,name__fr,name,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__pt,name__nl,name__eo,name__et,name__it,wikipedia__commons,wikipedia__en,wikipedia__et,wikipedia__fr,wikipedia__pt,image,identifier__VIAF,name__es,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pt_br,wikipedia__de,identifier__freebase,identifier__EuroparlMEP,wikipedia__plwikiquote,name__de_ch,name__sk,wikipedia__sk,identifier__NUKAT,name__lt,wikipedia__lt,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__eu,name__fi,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,name__ru,wikipedia__es,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__uk,name__fa,name__zh,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__ro,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__zh,wikipedia__eo,identifier__LCAuth,name__mg,wikipedia__ca,wikipedia__mg,wikipedia__nl,wikipedia__tr,website,identifier__FIFA,name__ka,name__be,name__bg,name__vi,name__la,name__ie,name__szl,name__ko,name__el,name__io,name__hy,name__ja,name__mk,name__sr,name__mr,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__el,wikipedia__hu,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__mr,wikipedia__no,wikipedia__simple,wikipedia__szl,wikipedia__vi,wikipedia__eu,wikipedia__gl,name__ksh,wikipedia__ksh,name__oc,identifier__GND,name__he,name__sr_el,name__sr_ec,name__be_tarask,name__th,wikipedia__be_x_old,wikipedia__he,wikipedia__sr,wikipedia__th,identifier__NKC,facebook,wikipedia__sl,wikipedia__oc,twitter,name__id,wikipedia__dewikiquote,wikipedia__id,wikipedia__itwikiquote,wikipedia__ukwikiquote,identifier__NTA,identifier__GTAA,name__csb,wikipedia__csb,name__az,name__hsb,name__lv,name__ms,name__sh,name__uz,name__yo,name__yue,name__ar,wikipedia__ar,wikipedia__az,wikipedia__br,wikipedia__hr,wikipedia__hsb,wikipedia__lv,wikipedia__ms,wikipedia__nn,wikipedia__sco,wikipedia__sh,wikipedia__uz,wikipedia__yo,wikipedia__zh_yue,name__mwl,wikipedia__mwl,identifier__NLP,wikipedia__af,wikipedia__mk,family_name,identifier__Munzinger,name__fo,wikipedia__fo,name__hi,name__kk,wikipedia__ast,wikipedia__kk,name__dsb,name__ht,name__qu,name__zh_cn,name__mn,name__ta,name__crh_latn,name__ne,wikipedia__crh,wikipedia__cy,wikipedia__dsb,wikipedia__enwikiquote,wikipedia__ht,wikipedia__hy,wikipedia__lmo,wikipedia__mn,wikipedia__qu,wikipedia__scn,death_date,name__sgs,wikipedia__bat_smg,identifier__AlloCine,name__ia,name__na,name__os,name__zh_tw,name__zh_sg,name__zh_mo,name__zh_my,name__kaa,wikipedia__an,wikipedia__eowikiquote,wikipedia__ia,wikipedia__kaa,wikipedia__na,wikipedia__os,identifier__LNB,name__tl,wikipedia__tl,name__fy,wikipedia__fy,wikipedia__bgwikiquote,name__vo,wikipedia__vo,name__cv,name__jv,name__mrj,name__sah,name__se,name__tt,name__nan,name__ckb,wikipedia__ckb,wikipedia__cv,wikipedia__fur,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__jv,wikipedia__ltwikiquote,wikipedia__mrj,wikipedia__nds,wikipedia__plwikisource,wikipedia__sah,wikipedia__se,wikipedia__sq,wikipedia__ta,wikipedia__tt,wikipedia__zh_min_nan,identifier__PTBNP,identifier__parlement,identifier__NDL,identifier__NLA,identifier__NLI,identifier__BNE,identifier__BAV,name__diq,wikipedia__bs,name__simple,name__mo,wikipedia__mo,identifier__catholic_hierarchy,wikipedia__xmf,name__xmf,name__bm,name__de_at,name__frc,name__frp,name__jam,name__kab,name__kg,name__min,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__wo,name__zu,identifier__IIAF,identifier__MusicBrainz,identifier__discogs,identifier__MGP,identifier__allmovie,identifier__OLID,identifier__SFDb,identifier__NNDB,identifier__FAST,identifier__CSPAN,identifier__moviemeter,last_seen,wikipedia__ba,identifier__Britannica,name__ba,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__dialnet,identifier__senate_nl,identifier__PACE,wikipedia__bn,name__bn,name__pdc,name__stq,name__war,identifier__wikitree,identifier__bigenc_ru,identifier__google_knowledge,wikipedia__dewikinews,wikipedia__plwikinews,wikipedia__ruwikinews,wikipedia__srwikinews,occupation,identifier__polish_scientist,identifier__ne_se,identifier__ULAN,identifier__quora,wikipedia__enwikinews,identifier__snac,wikipedia__frwikinews,wikipedia__bewikiquote,identifier__persee,identifier__filmpolski,name__ext,pseudonym,identifier__songkick,identifier__ioc_athlete,instagram,name__ty,name__ceb,identifier__BIBSYS,identifier__EGAXA,identifier__CONOR,identifier__GNC,name__bat_smg,identifier__flickr,identifier__youtube,wikipedia__ruwikiquote,wikipedia__enwikisource,wikipedia__ruwikisource,identifier__Gutenberg,wikipedia__myv,name__lfn,name__crh,name__myv,name__mi,noble_title,identifier__CERL,name__kana,identifier__NSK,identifier__CiNii,identifier__NLAtrove,wikipedia__azb,wikipedia__wuu,name__azb,wikipedia__ur,name__wuu,name__ur,wikipedia__nlwikiquote,wikipedia__mzn,name__mzn,wikipedia__ml,name__ml,identifier__democracyclub,wikipedia__species
Q11792836,Norbert Obrycki,Norbert Obrycki,Norbert Obrycki,Norbert Obrycki,Norbert Obrycki,Norbert Obrycki,male,1972-11-22,Norbert,Norbert Obrycki,Norbert Obrycki,Norbert Obrycki,,,Norbert Obrycki,Category:Norbert Obrycki,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Norbert_Obrycki_Kancelaria_Senatu.jpg,166161190,Norbert Obrycki,,Norbert Obrycki,,Norbert Obrycki,,,,,,,,,,,,,,,,Norbert Obrycki,,,,Norbert Obrycki,,,,,Norbert Obrycki,,,,,,,,,,,,,,,,,,,,,,,Norbert Obrycki,,,,,,,,0000 0001 1369 5786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12800120,,,Obrycki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11797866,Olga Krzyżanowska,Olga Krzyżanowska,Olga Teresa Krzyżanowska,Olga Krzyżanowska,Olga Krzyżanowska,Olga Krzyżanowska,female,1929-09-10,Olga,Olga Krzyżanowska,Olga Krzyżanowska,Olga Krzyżanowska,,,Olga Krzyżanowska,Category:Olga Krzyżanowska,Olga Krzyżanowska,,,,https://upload.wikimedia.org/wikipedia/commons/5/52/Olga_Krzyżanowska.JPG,311488889,,,Olga Krzyżanowska,,Olga Krzyżanowska,,,,,,,Olga Krzyżanowska,,,,,,,,,Olga Krzyżanowska,,,,Olga Krzyżanowska,,,,,Olga Krzyżanowska,,,,,,,,,,,,,,,,,,,,,,,Olga Krzyżanowska,,Olga Teresa Krzyżanowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olga Teresa Krzyżanowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olga Krzyżanowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krzyżanowska,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11797936,Olgierd Poniźnik,Olgierd Poniźnik,,,Olgierd Poniźnik,Olgierd Poniźnik,male,1954-06-13,Olgierd,Olgierd Poniźnik,,,,,,,,,,,,317194731,,,,,,,,,,,,,,,,n2015098817,,,,,Olgierd Poniźnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11813593,Patryk Jaki,Patryk Jaki,Patryk Jaki,Patryk Jaki,Patryk Jaki,Patryk Jaki,male,1985-05-11,Patryk,Patryk Jaki,Patryk Jaki,Patryk Jaki,,,Patryk Jaki,Category:Patryk Jaki,Patryk Jaki,,,,https://upload.wikimedia.org/wikipedia/commons/5/57/Sejm_Patryk_Jaki_2014.JPG,310640360,Patryk Jaki,,Patryk Jaki,,Patryk Jaki,,,,Patryk Jaki,,,Patryk Jaki,,,,,,,,,Patryk Jaki,,,,Patryk Jaki,,,,,Patryk Jaki,,,,,,,,,,,,,,,,,,,,,,,Patryk Jaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,파트리크 야키,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PatrykJaki,,,patrykjaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11814153,Paweł Kasprzyk,Paweł Kasprzyk,Paweł Kasprzyk,Paweł Kasprzyk,Paweł Kasprzyk,Paweł Kasprzyk,male,1948-04-27,Paweł,Paweł Kasprzyk,Paweł Kasprzyk,Paweł Kasprzyk,,,Paweł Kasprzyk,,,,,,,,Paweł Kasprzyk,,Paweł Kasprzyk,,Paweł Kasprzyk,,,,,,,,,,,,,,,,Paweł Kasprzyk,,,,Paweł Kasprzyk,,,,,Paweł Kasprzyk,,,,,,,,,,,,,,,,,,,,,,,Paweł Kasprzyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kasprzyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11814180,Paweł Kotlarski,Paweł Kotlarski,Paweł Kotlarski,Paweł Kotlarski,Paweł Kotlarski,Paweł Kotlarski,male,1961-04-14,Paweł,Paweł Kotlarski,Paweł Kotlarski,Paweł Kotlarski,,,Paweł Kotlarski,,,,,,,,Paweł Kotlarski,,Paweł Kotlarski,,Paweł Kotlarski,,,,,,,,,,,,,,,,Paweł Kotlarski,,,,Paweł Kotlarski,,,,,Paweł Kotlarski,,,,,,,,,,,,,,,,,,,,,,,Paweł Kotlarski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11814276,Paweł Musioł,Paweł Musioł,Paweł Musioł,Paweł Musioł,Paweł Musioł,Paweł Musioł (poseł),male,1944-08-10,Paweł,Paweł Musioł (1944–2017),Paweł Musioł,Paweł Musioł,,,Paweł Musioł,,,,,,,,Paweł Musioł,,Paweł Musioł,,Paweł Musioł,,,,,,,,,,,,,,,,Paweł Musioł,,,,Paweł Musioł,,,,,Paweł Musioł,,,,,,,,,,,,,,,,,,,,,,,Paweł Musioł,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11814384,Paweł Saar,Paweł Saar,Paweł Saar,Paweł Saar,Paweł Saar,Paweł Saar,male,1935-04-26,Paweł,Paweł Saar,Paweł Saar,Paweł Saar,,,Paweł Saar,,,,,,,,Paweł Saar,,Paweł Saar,,Paweł Saar,,,,,,,,,,,,,,,,Paweł Saar,,,,Paweł Saar,,,,,Paweł Saar,,,,,,,,,,,,,,,,,,,,,,,Paweł Saar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11814554,Paweł Łączkowski,Paweł Łączkowski,Paweł Łączkowski,Paweł Łączkowski,Paweł Łączkowski,Paweł Łączkowski,male,1942-07-31,Paweł,Paweł Łączkowski,Paweł Łączkowski,Paweł Łączkowski,,,Paweł Łączkowski,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/69/Poseł_Paweł_Łączkowski_X_kadencja.jpg,16109636,,,Paweł Łączkowski,,Paweł Łączkowski,,,,,,,,,,,n97017534,,,,,Paweł Łączkowski,,,,Paweł Łączkowski,,,,,Paweł Łączkowski,,,,,,,,,,,,,,,,,,,,,,,Paweł Łączkowski,,,,,,,,0000 0001 1746 5689,,,,,,,,,,,,,,,,,,,n82039681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łączkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sociologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817252,Piotr Aszyk,Piotr Aszyk,Piotr Aszyk,Piotr Aszyk,Piotr Aszyk,Piotr Aszyk,male,1960-03-09,Piotr,Piotr Aszyk,Piotr Aszyk,Piotr Aszyk,,,Piotr Aszyk,,,,,,,,Piotr Aszyk,,Piotr Aszyk,,Piotr Aszyk,,,,,,,,,,,,,,,,Piotr Aszyk,,,,Piotr Aszyk,,,,,Piotr Aszyk,,,,,,,,,,,,,,,,,,,,,,,Piotr Aszyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817385,Piotr Cieśliński,Piotr Cieśliński,Piotr Cieśliński,Piotr Cieśliński,Piotr Cieśliński,Piotr Cieśliński (polityk),male,1978-08-08,Piotr,Piotr Cieśliński (polityk),Piotr Cieśliński,Piotr Cieśliński,,,Piotr Cieśliński,Category:Piotr Cieśliński,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Piotr_Cieśliński_Sejm_2016.jpg,,,,Piotr Cieśliński,,Piotr Cieśliński,,,,,,,,,,,,,,,,Piotr Cieśliński,,,,Piotr Cieśliński,,,,,Piotr Cieśliński,,,,,,,,,,,,,,,,,,,,,,,Piotr Cieśliński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cieśliński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817675,Piotr Kozłowski,Piotr Kozłowski,Piotr Kozłowski,Piotr Kozłowski,Piotr Kozłowski,Piotr Kozłowski (leśnik),male,1955-01-10,Piotr,Piotr Kozłowski (leśnik),Piotr Kozłowski,Piotr Kozłowski,,,Piotr Kozłowski,,,,,,,,Piotr Kozłowski,,Piotr Kozłowski,,Piotr Kozłowski,,,,,,,,,,,,,,,,Piotr Kozłowski,,,,Piotr Kozłowski,,,,,Piotr Kozłowski,,,,,,,,,,,,,,,,,,,,,,,Piotr Kozłowski,,,,,,Пётр Козловскийй,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kozłowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trade unionist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817697,Piotr Krutul,Piotr Krutul,Piotr Krutul,Piotr Krutul,Piotr Krutul,Piotr Krutul,male,1960-08-08,Piotr,Piotr Krutul,Piotr Krutul,Piotr Krutul,,,Piotr Krutul,,,,,,,,Piotr Krutul,,Piotr Krutul,,Piotr Krutul,,,,,,,Piotr Krutul,,,,,,,,,Piotr Krutul,,,,Piotr Krutul,,,,,Piotr Krutul,,,,,,,,,,,,,,,,,,,,,,,Piotr Krutul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817834,Piotr Mochnaczewski,Piotr Mochnaczewski,Piotr Mochnaczewski,Piotr Mochnaczewski,Piotr Mochnaczewski,Piotr Mochnaczewski,male,1965-10-28,Piotr,Piotr Mochnaczewski,Piotr Mochnaczewski,Piotr Mochnaczewski,,,Piotr Mochnaczewski,,,,,,,167014955,Piotr Mochnaczewski,,Piotr Mochnaczewski,,Piotr Mochnaczewski,,,,,,,,,Piotr Mochnaczewski,,n2005012379,,,,,Piotr Mochnaczewski,,,,Piotr Mochnaczewski,,Piotr Mochnaczewski,,Piotr Mochnaczewski,Piotr Mochnaczewski,,,,,,Piotr Mochnaczewski,,,,,,,,,,,,,,,,,Piotr Mochnaczewski,,,,,,,,0000 0001 1415 5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20354885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817913,Piotr Ołowski,Piotr Ołowski,Piotr Ołowski,Piotr Ołowski,Piotr Ołowski,Piotr Ołowski,male,1963-01-25,Piotr,Piotr Ołowski,Piotr Ołowski,Piotr Ołowski,,,Piotr Ołowski,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Piotr_Ołowski.JPG,,Piotr Ołowski,,Piotr Ołowski,,Piotr Ołowski,,,,,,,,,,,,,,,,Piotr Ołowski,,,,Piotr Ołowski,,,,,Piotr Ołowski,,,,,,,,,,,,,,,,,,,,,,,Piotr Ołowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817965,Piotr Polmański,Piotr Polmański,Piotr Polmański,Piotr Polmański,Piotr Polmański,Piotr Polmański,male,1954-08-18,Piotr,Piotr Polmański,Piotr Polmański,Piotr Polmański,,,Piotr Polmański,,,,,,,,,,Piotr Polmański,,Piotr Polmański,,,,,,,,,,,,,,,,Piotr Polmański,,,,Piotr Polmański,,,,,Piotr Polmański,,,,,,,,,,,,,,,,,,,,,,,Piotr Polmański,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11817998,Piotr Pyzik,Piotr Pyzik,Piotr Pyzik,Piotr Pyzik,Piotr Pyzik,Piotr Pyzik,male,1959-01-01,Piotr,Piotr Pyzik,Piotr Pyzik,Piotr Pyzik,,,Piotr Pyzik,Category:Piotr Pyzik,,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Piotr_Pyzik.jpg,,Piotr Pyzik,,Piotr Pyzik,,Piotr Pyzik,,,,,,,,,,,,,,,,Piotr Pyzik,,,,Piotr Pyzik,,,,,Piotr Pyzik,,,,,,,,,,,,,,,,,,,,,,,Piotr Pyzik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11818069,Piotr Smolana,Piotr Smolana,Piotr Smolana,Piotr Smolana,Piotr Smolana,Piotr Smolana,male,1958-03-20,Piotr,Piotr Smolana,Piotr Smolana,Piotr Smolana,,,Piotr Smolana,,,,,,,,Piotr Smolana,,Piotr Smolana,,Piotr Smolana,,,,,,,Piotr Smolana,,,,,,,,,Piotr Smolana,,,,Piotr Smolana,,,,,Piotr Smolana,,,,,,,,,,,,,,,,,,,,,,,Piotr Smolana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
