id,name__en,name,wikipedia__en,gender,given_name,birth_date,death_date,identifier__freebase,image,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__GNC,identifier__ISNI,identifier__GND,identifier__NLA,identifier__NTA,identifier__Oxforddnb,name__fr,name__es,name__nl,name__pl,name__nb,name__da,name__nn,name__sv,name__de,wikipedia__es,wikipedia__fr,wikipedia__pl,name__it,name__gl,name__ca,name__ta,wikipedia__ca,wikipedia__gl,wikipedia__ta,name__he,wikipedia__he,name__et,name__id,name__fi,name__el,name__en_ca,name__en_gb,name__pt,wikipedia__commons,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__pt,wikipedia__sv,name__ru,name__bg,wikipedia__bg,wikipedia__de,wikipedia__ru,name__cs,wikipedia__cs,name__zh,name__hu,wikipedia__hu,wikipedia__zh,identifier__SUDOC,original_wikiname,name__cy,identifier__FAST,family_name,last_seen,name__zh_hant,name__zh_cn,name__ja,occupation,name__sco,wikipedia__sco,wikipedia__tr,name__tr,name__ar,website,name__uk,wikipedia__uk,identifier__Britannica,name__sl,wikipedia__ast,name__ast,identifier__GTAA,identifier__BNE,name__zh_hans,twitter,wikipedia__simple,name__sq
Q3322924,Charles Bruzon,Charles Bruzon,Charles Bruzon,male,Charles,1938-06-10,2013-04-16,/m/0n5v8zq,,,,,,,,,,,Charles Bruzon,Charles Bruzon,Charles Bruzon,,,,,,Charles Bruzon,Charles Bruzon,,,,Charles Bruzon,Charles Bruzon,சார்லஸ் புரூசன்,Charles Bruzon,Charles Bruzon,சார்லஸ் புரூசன்,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Bruzon,,,,Charles Bruzon,Charles Bruzon,,,,,,,politician,,,,,,,,,,Charles Bruzon,,Charles Bruzon,,,,,,
Q3322990,Samantha Sacramento,Samantha Sacramento,Samantha Sacramento,female,Samantha,"",,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Samantha_Sacramento.jpg,,,,,,,,,,Samantha Sacramento,Samantha Sacramento,Samantha Sacramento,,,,,,Samantha Sacramento,Samantha Sacramento,,,,Samantha Sacramento,Samantha Sacramento,,Samantha Sacramento,Samantha Sacramento,,,,,,,,,,,Category:Samantha Sacramento,,,,,,,,,,,,,,,,,,Samantha Sacramento,,,,,,,Sacramento,,,,,politician,,,,,,http://www.gibraltar.gov.gi/office-of-the-chief-minister/minister-portfolios/2081-minister-fpr-equality-and-social-services-the-hon-samantha-sacramento,,,,Samantha Sacramento,,Samantha Sacramento,,,,,,
Q3323197,Paul Balban,Paul Balban,Paul Balban,male,Paul,"",,/m/0n5vl0w,,,,,,,,,,,Paul Balban,Paul Balban,Paul Balban,,,,,,Paul Balban,Paul Balban,Paul Balban,,,Paul Balban,Paul Balban,,Paul Balban,Paul Balban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Balban,,,,,,,,,,,,politician,,,,,,,,,,,,Paul Balban,,,,,,
Q3323210,Steven Linares,Steven Linares,Steven Linares,male,Steven,"",,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Steven_Linares.jpg,,,,,,,,,,,Steven Linares,Steven Linares,,,,,,,Steven Linares,,,,Steven Linares,Steven Linares,,Steven Linares,Steven Linares,,,,,,,,,,,Category:Steven Linares,,,,,,,,,,,,,,,,,,Steven Linares,,,,,,,,,,,,teacher,,,,,,,,,,,,Steven Linares,,,,,,
Q3323220,John Cortes,John Cortes,John Cortes,male,John,"",,/m/0n45q32,https://upload.wikimedia.org/wikipedia/commons/f/fe/Dr_john_cortes.jpg,74064453,n92102697,,,0000 0000 5927 2693,,,,,John Cortes,John Cortes,John Cortes,,,,,,John Cortes,John Cortes,,,,John Cortes,John Cortes,,John Cortes,John Cortes,,ג'ון קורטס,ג'ון קורטס,,,,,,,,Category:John Cortes,,,,,,,,,,,,,,,,,,John Cortes,,,,,,,,,,,,politician,,,,,,,,,,John Cortes,,John Cortes,,,,,,
Q3323259,Gilbert Licudi,Gilbert Licudi,Gilbert Licudi,male,Gilbert,"",,,"https://upload.wikimedia.org/wikipedia/commons/c/ca/Gilbert_Licudi,_June_2014.jpg",,,,,,,,,,,Gilbert Licudi,Gilbert Licudi,,,,,,Gilbert Licudi,Gilbert Licudi,,,,Gilbert Licudi,Gilbert Licudi,,Gilbert Licudi,Gilbert Licudi,,,,,,,,,,,Category:Gilbert Licudi,,,,,,,,,,Гилберт Ликуди,,,,,,,吉爾伯特·利卡迪,Gilbert Licudi,,,,,,,,,,,,barrister,,,,,,http://www.gibraltar.gov.gi/office-of-the-chief-minister/minister-portfolios/2082-minister-for-education-financial-services-gaming-telecommunications-and-justice-the-hon-gilbert-licudi,,,,,,Gilbert Licudi,,,,,,
Q43396462,Mari Montegriffo,Mari Montegriffo,Mari Montegriffo,female,Mari,,,,,,,,,,,,,,Mari Montegriffo,Mari Montegriffo,Mari Montegriffo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Mari Montegriffo,,,,,,
Q4711111,Albert Risso,Albert Risso,Albert Risso,male,Albert,,,,,,,,,,,,,,Albert Risso,Albert Risso,Albert Risso,,,,,,Albert Risso,,,,Albert Risso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Risso,,,,,,,Risso,,,,,politician,,,,,,,,,,,,Albert Risso,,,,,,
Q5217120,Daniel Feetham,Daniel Feetham,Daniel Feetham,male,Daniel,1967-05-26,,,"https://upload.wikimedia.org/wikipedia/commons/9/95/Daniel_Feetham_votando_en_las_elecciones_generales_de_Gibraltar,_26_de_noviembre_de_2015.jpg",,,,,,,,,,Daniel Feetham,Daniel Feetham,Daniel Feetham,,,,,,Daniel Feetham,Daniel Feetham,Daniel Feetham,,,,Daniel Feetham,,,,,,,,,,,,,,Category:Daniel Feetham,,,,,,,,,,,,,,,,,丹尼爾·菲瑟姆,Daniel Feetham,,,,,,,,,,,,politician,,,,,,,,,,Daniel Feetham,,Daniel Feetham,,,,,,
Q5298406,Dorothy Ellicott,Dorothy Ellicott,Dorothy Ellicott,female,Dorothy,1901,1990,,,78468681,no2003060469,,,0000 0000 4503 730X,,,,,Dorothy Ellicott,Dorothy Ellicott,Dorothy Ellicott,,,,,,Dorothy Ellicott,,,,,,Dorothy Ellicott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorothy Ellicott,,,,,,,Ellicott,,,,,politician,,,,,,,,,,Dorothy Ellicott,,Dorothy Ellicott,,,,,,
Q61935708,Albert Isola,Albert Isola,,male,Albert,,,,,,,,,,,,,,,Albert Isola,Albert Isola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Albert Isola,,,,,,
Q61937444,Peter Russo,Peter Russo,,male,,,,,,,,,,,,,,,,Peter Russo,Peter Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barrister,,,,,,,,,,,,Peter Russo,,,,,,
Q61937850,Guy Stagnetto,Guy Stagnetto,,male,,,2011,,,,,,,,,,,,,Guy Stagnetto,Guy Stagnetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barrister,,,,,,,,,,,,Guy Stagnetto,,,,,,
Q61943688,Ernest Britto,Ernest Britto,,male,Ernest,,,,,,,,,,,,,,,Ernest Britto,Ernest Britto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Ernest Britto,,,,,,
Q61943689,Maurice Featherstone,Maurice Featherstone,,male,Maurice,,,,,,,,,,,,,,,Maurice Featherstone,Maurice Featherstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Maurice Featherstone,,,,,,
Q61943690,Aurelius Montegriffo,Aurelius Montegriffo,,male,,,,,,,,,,,,,,,,Aurelius Montegriffo,Aurelius Montegriffo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Aurelius Montegriffo,,,,,,
Q61943691,James Netto,James Netto,,male,James,,,,,,,,,,,,,,,James Netto,James Netto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,James Netto,,,,,,
Q61943694,Joseph Baldachino,Joseph Baldachino,,male,Joseph,,,,,,,,,,,,,,,Joseph Baldachino,Joseph Baldachino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joseph Baldachino,,,,,,
Q61943695,Juan Perez,Juan Perez,,male,Juan,,,,,,,,,,,,,,,Juan Perez,Juan Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Juan Perez,,,,,,
Q61943696,Horace Zammitt,Horace Zammitt,,male,,,,,,,,,,,,,,,,Horace Zammitt,Horace Zammitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Horace Zammitt,,,,,,
Q61943697,Isaac Abecasis,Isaac Abecasis,,male,,,,,,,,,,,,,,,,Isaac Abecasis,Isaac Abecasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Isaac Abecasis,,,,,,
Q61943698,Robert Mor,Robert Mor,,male,Robert,,,,,,,,,,,,,,,Robert Mor,Robert Mor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Robert Mor,,,,,,
Q61943700,Bernard Linares,Bernard Linares,,male,Bernard,,,,,,,,,,,,,,,Bernard Linares,Bernard Linares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Bernard Linares,,,,,,
Q61943701,Brian Perez,Brian Perez,,male,Brian,,,,,,,,,,,,,,,Brian Perez,Brian Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Brian Perez,,,,,,
Q61943702,Edwin Reyes,Edwin Reyes,,male,Edwin,,,,,,,,,,,,,,,Edwin Reyes,Edwin Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Edwin Reyes,,,,,,
Q61943703,Francis Dellipiani,Francis Dellipiani,,male,,,,,,,,,,,,,,,,Francis Dellipiani,Francis Dellipiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Francis Dellipiani,,,,,,
Q61943705,Hubert Corby,Hubert Corby,,male,Hubert,,,,,,,,,,,,,,,Hubert Corby,Hubert Corby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Hubert Corby,,,,,,
Q61943706,Joseph Pilcher,Joseph Pilcher,,male,Joseph,,,,,,,,,,,,,,,Joseph Pilcher,Joseph Pilcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joseph Pilcher,,,,,,
Q61943707,Michael Feetham,Michael Feetham,,male,Michael,,,,,,,,,,,,,,,Michael Feetham,Michael Feetham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Michael Feetham,,,,,,
Q61943708,Anthony Baldorino,Anthony Baldorino,,male,Anthony,,,,,,,,,,,,,,,Anthony Baldorino,Anthony Baldorino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Anthony Baldorino,,,,,,
Q61943709,Fabian Vinet,Fabian Vinet,,male,,,,,,,,,,,,,,,,Fabian Vinet,Fabian Vinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Fabian Vinet,,,,,,
Q61943710,George Mascarenhas,George Mascarenhas,,male,George,,,,,,,,,,,,,,,George Mascarenhas,George Mascarenhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,George Mascarenhas,,,,,,
Q61943712,Gerald Restano,Gerald Restano,,male,Gerald,,,,,,,,,,,,,,,Gerald Restano,Gerald Restano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Gerald Restano,,,,,,
Q61943713,James Hoare,James Hoare,,male,James,,,,,,,,,,,,,,,James Hoare,James Hoare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,James Hoare,,,,,,
Q61943714,John Alcantara,John Alcantara,,male,John,,,,,,,,,,,,,,,John Alcantara,John Alcantara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,John Alcantara,,,,,,
Q61943715,Joseph Caruana,Joseph Caruana,,male,,,,,,,,,,,,,,,,Joseph Caruana,Joseph Caruana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joseph Caruana,,,,,,
Q61943717,Joseph Moss,Joseph Moss,,male,Joseph,,,,,,,,,,,,,,,Joseph Moss,Joseph Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joseph Moss,,,,,,
Q61943718,Lloyd Devincenzi,Lloyd Devincenzi,,male,,,,,,,,,,,,,,,,Lloyd Devincenzi,Lloyd Devincenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Lloyd Devincenzi,,,,,,
Q61943719,Peter Montegriffo,Peter Montegriffo,,male,,,,,,,,,,,,,,,,Peter Montegriffo,Peter Montegriffo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Peter Montegriffo,,,,,,
Q61943721,William Isola,William Isola,,male,William,,,,,,,,,,,,,,,William Isola,William Isola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,William Isola,,,,,,
Q61943722,Alfred Gache,Alfred Gache,,male,Alfred,,,,,,,,,,,,,,,Alfred Gache,Alfred Gache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Alfred Gache,,,,,,
Q61943723,Andrew Haynes,Andrew Haynes,,male,Andrew,,,,,,,,,,,,,,,Andrew Haynes,Andrew Haynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Andrew Haynes,,,,,,
Q61943724,Anthony Loddo,Anthony Loddo,,male,Anthony,,,,,,,,,,,,,,,Anthony Loddo,Anthony Loddo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Anthony Loddo,,,,,,
Q61943725,Concepcion Anes,Concepcion Anes,,female,,,2004-08-07,,,,,,,,,,,,,Concepcion Anes,Concepcion Anes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Concepcion Anes,,,,,,
Q61943726,Elliott Phillips,Elliott Phillips,,male,,,,,,,,,,,,,,,,Elliott Phillips,Elliott Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Elliott Phillips,,,,,,
