id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,family_name,death_date,name__en,identifier__freebase,identifier__senatDOTfr,name__fr,wikipedia__fr,wikipedia__en,identifier__SUDOC,name__nl,name__es,name__nb,name__da,name__nn,name__sv,name__de,name__pl,name__ko,name__ca,name__ms,wikipedia__ca,wikipedia__ko,wikipedia__ms,wikipedia__pl,name__el,wikipedia__el,identifier__FAST,name__oc,wikipedia__oc,name__it,name__hu,name__pt,name__cy,wikipedia__pt,identifier__ISNI,wikipedia__de,identifier__EuroparlMEP,wikipedia__es,wikipedia__no,original_wikiname,name__zh_hant,name__zh_cn,twitter,occupation,identifier__LCAuth,wikipedia__commons,name__als,name__simple,name__nds,name__lt,name__li,name__lb,name__gsw,name__ht,wikipedia__ht,identifier__assemblee_nationale,identifier__ULAN,identifier__whoswho_france,name__ar,identifier__GND,name__zh,name__ru,name__sl,facebook,linkedin,identifier__NTA,wikipedia__ast,name__ja,name__ast,website
Q2960425,Charles Washetine,male,,,1956-11-04,Charles,,,,,,Charles Washetine,,,Charles Washetine,Charles Washetine,,,,,,,,,,,,,,,,,,,,,,,,Charles Washetine,,,,,,,,,Charles Washetine,,,,politician,,,,,,,,,,,,,,,,,,,Charles Washetine,,,,,,,
Q2993506,Cono Hamu,male,,,1941-08-15,Cono,,,,,,Cono Hamu,,,Cono Hamu,Cono Hamu,,,Cono Hamu,,Cono Hamu,Cono Hamu,Cono Hamu,Cono Hamu,Cono Hamu,,,,,,,,,,,,,,Cono Hamu,Cono Hamu,,,,,,,,,Cono Hamu,,,,politician,,,,,,,,,,,,,,,,,,,Cono Hamu,,,,,,,
Q2997289,Corine David,female,306353520,166905128,1969-02-14,Corine,,,,David,,Corine David,,,Corine David,Corine David,,,Corine David,,,,,,,,,,,,,,,,,,,,Corine David,Corine David,,,,0000 0004 2779 2837,,,,,Corine David,,,,politician,,,,,,,,,,,,,,,,,,,Corine David,,,,,,,
Q3008811,Cynthia Ligeard,female,,,1962-06-25,Cynthia,,,"https://upload.wikimedia.org/wikipedia/commons/5/54/New_Caledonia_President_Cynthia_Liegard,_Julie_Bishop_and_Anthony_Lecren_(cropped).PNG",,,Cynthia Ligeard,,,Cynthia Ligeard,Cynthia Ligeard,,,Cynthia Ligeard,Cynthia Ligeard,Cynthia Ligeard,Cynthia Ligeard,Cynthia Ligeard,Cynthia Ligeard,Cynthia Ligeard,Cynthia Ligeard,,,,,,,Cynthia Ligeard,,,,,,,Cynthia Ligeard,,,,,Cynthia Ligeard,,Cynthia Ligeard,,Cynthia Ligeard,辛西婭·里亞爾,辛西娅·里亚尔,,politician,,,,,,,,,,,,,,,,,辛西婭·里亞爾,,Cynthia Ligeard,,,,Cynthia Ligeard,シンシア・リガルド,Cynthia Ligeard,
Q3014101,Daniel Goa,male,,,1953-06-14,Daniel,,,,,,Daniel Goa,,,Daniel Goa,Daniel Goa,Daniel Goa,,Daniel Goa,,Daniel Goa,Daniel Goa,Daniel Goa,Daniel Goa,,,,,,,,,,,,,,,,Daniel Goa,,,,,,,,,Daniel Goa,,,,politician,,,,,,,,,,,,,,,,,,Даниэль Гоа,Daniel Goa,,,,,,,
Q3027086,Didier Leroux,male,,,1946-12-21,Didier,,,,Leroux,,Didier Leroux,,,Didier Leroux,Didier Leroux,,,,,Didier Leroux,Didier Leroux,Didier Leroux,Didier Leroux,,,,,,,,,,,,,,,,Didier Leroux,,,,,,,,,Didier Leroux,,,,politician,,,,,,,,,,,,,,,ديدييه لورو,,,,Didier Leroux,,,,,,,
Q3035085,Dominique Daly,female,,,1951-11-10,Dominique,,,,Daly,,Dominique Daly,,,Dominique Daly,Dominique Daly,,,Dominique Daly,,,,,,,,,,,,,,,,,,,,,Dominique Daly,,,,,,,,,Dominique Daly,,,,politician,,,,,,,,,,,,,,,,,,,Dominique Daly,,,,,,,
Q3045518,Déwé Gorodey,female,17374051,134843492,1949-06-01,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Dewe_gorode_sete_20160724.jpg,,,Déwé Gorodey,,,Déwé Gorodey,Déwé Gorodey,Déwé Gorodey,035555475,Déwé Gorodey,,,,,,,,,,,,,,,,,236031,Déwé Gorodey,Déwé Gorodey,,Déwé Gorodey,,,,0000 0000 2831 4635,,,,,Déwé Gorodey,,,,feminist,n88658247,,,,,,,,,Dewe Gorode,Déwé Gorodé,,,,,,,,Déwé Gorodey,,,26906964X,,,,
Q3090308,Frédéric de Greslan,male,,,1964-06-04,Frédéric,,,,,,Frédéric de Greslan,,,Frédéric de Greslan,Frédéric de Greslan,,,Frédéric de Greslan,,,,,,,,,,,,,,,,,,,,,Frédéric de Greslan,,,,,,,,,Frédéric de Greslan,,,,politician,,,,,,,,,,,,,,,,,,,Frédéric de Greslan,,,,,,,
Q3099884,Gaël Yanno,male,89839440,16055524m,1961-07-02,Gaël,17387,,https://upload.wikimedia.org/wikipedia/commons/d/df/Gael_Yanno_2011.jpg,Yanno,,Gaël Yanno,,,Gaël Yanno,Gaël Yanno,Gaël Yanno,125083440,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,,Gaël Yanno,,,,,,,,,,,Gaël Yanno,Gaël Yanno,,,,0000 0000 6177 2582,,,,,Gaël Yanno,,,,politician,,,,,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,Gaël Yanno,,,2964,,,,,,,Gaël Yanno,,,,,,,http://www.yanno.nc/
Q3101372,Philippe Gomès,male,228720846,15622652p,1958-10-27,Philippe,18435,,,Gomès,,Philippe Gomès,/m/064lr5n,,Philippe Gomès,Philippe Gomès,Philippe Gomès,135359929,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,,Philippe Gomès,,Philippe Gomès,,,Philippe Gomès,Φιλίπ Γκομές,Φιλίπ Γκομές,,,,Philippe Gomès,Philippe Gomès,,,,0000 0003 6455 4507,,,,,Philippe Gomès,菲利普·戈麥斯,菲利普·戈麦斯,PhilippeGomesCE,politician,,,,,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,Philippe Gomès,,,610775,,philippe-gomes_66546,,,,,Philippe Gomès,,,,,フィリップ・ゴメス,,
Q3103258,Georges Naturel,male,,,1955-11-21,Georges,,,,,,Georges Naturel,,,Georges Naturel,Georges Naturel,Georges Naturel,,Georges Naturel,Georges Naturel,Georges Naturel,Georges Naturel,Georges Naturel,Georges Naturel,Georges Naturel,Georges Naturel,,,,,,,,,,,,,,Georges Naturel,,,,,,,,,Georges Naturel,,,,politician,,,,,,,,,,,,,,,,,,,Georges Naturel,,,,,,,
Q3104894,Ghislaine Arlie,female,313546647,,1961-05-03,Ghislaine,,,,,,Ghislaine Arlie,,,Ghislaine Arlie,Ghislaine Arlie,,161143334,Ghislaine Arlie,,Ghislaine Arlie,Ghislaine Arlie,Ghislaine Arlie,Ghislaine Arlie,,,,,,,,,,,,,,,Ghislaine Arlie,Ghislaine Arlie,,,,,,,,,Ghislaine Arlie,,,,politician,,,,,,,,,,,,,,,,,,,Ghislaine Arlie,,,,,,,
Q3105880,Gilbert Tyuienon,male,,,1958-03-28,Gilbert,,,,,,Gilbert Tyuienon,,,Gilbert Tyuienon,Gilbert Tyuienon,Gilbert Tyuienon,,Gilbert Tyuienon,,Gilbert Tyuienon,Gilbert Tyuienon,Gilbert Tyuienon,Gilbert Tyuienon,,,,,,,,,,,,,,,,Gilbert Tyuienon,,,,,,,,,Gilbert Tyuienon,,,,politician,,,,,,,,,,,,,,,,,,,Gilbert Tyuienon,,,,,,,
Q3124250,Gérard Poadja,male,,,1963-10-30,Gérard,,,,,,Gérard Poadja,,senateur/poadja_gerard19319q,Gérard Poadja,Gérard Poadja,,,,,,,,,,,,,,,,,,,,,,,,Gérard Poadja,,,,,,,,,Gérard Poadja,,,,politician,,,,,,,,,,,,,,gerard-poadja_80556,,,,,Gérard Poadja,,,,,,,
Q3135560,Hilarion Vendégou,male,,,1941-09-04,Hilarion,,,,,,Hilarion Vendégou,,senateur/vendegou_hilarion11011m,Hilarion Vendégou,Hilarion Vendégou,Hilarion Vendégou,,Hilarion Vendégou,,Hilarion Vendégou,Hilarion Vendégou,Hilarion Vendégou,Hilarion Vendégou,Hilarion Vendégou,,,,,,,,,,,,,,,Hilarion Vendégou,,,,,,,,,Hilarion Vendégou,,,,politician,,,,,,,,,,,,,,hilarion-vendegou_69703,,,,,Hilarion Vendégou,,,,,,,
Q3144784,Hélène Iekawé,female,,,1964-01-18,Hélène,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Helène_Iékawé.jpg,,,Hélène Iekawé,,,Hélène Iekawé,Hélène Iekawé,,,Hélène Iekawé,,,,,,,,,,,,,,,,,,,,,Hélène Iekawé,,,,,,,,,Hélène Iekawé,,,,politician,,,,,,,,,,,,,,,,,,,Hélène Iekawé,,,,,,,
Q3148624,Ilaïsaane Lauouvéa,female,,,1970-04-07,,,,,,,Ilaïsaane Lauouvéa,,,Ilaïsaane Lauouvéa,Ilaïsaane Lauouvéa,,,Ilaïsaane Lauouvéa,,,,,,,,,,,,,,,,,,,,,Ilaïsaane Lauouvéa,,,,,,,,,Ilaïsaane Lauouvéa,,,,politician,,,,,,,,,,,,,,,,,,,Ilaïsaane Lauouvéa,,,,,,,
Q3154999,Isabelle Ohlen,female,,,1960-04-02,Isabelle,,,,,,Isabelle Ohlen,,,Isabelle Ohlen,Isabelle Ohlen,,,Isabelle Ohlen,,,,,,,,,,,,,,,,,,,,Isabelle Ohlen,Isabelle Ohlen,,,,,,,,,Isabelle Ohlen,,,,politician,,,,,,,,,,,,,,,,,,,Isabelle Ohlen,,,,,,,
Q3159243,Jacques Lafleur,male,178975,13573105m,1932-11-20,Jacques,4255,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Affiche_25_ans_accords_de_Matignon_-_Nouvelle-Calédonie_(détail_1).png,Lafleur,2010-12-04,Jacques Lafleur,/m/08_rw8,,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,071205039,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,,Jacques Lafleur,,Jacques Lafleur,,,,,,,,,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,0000 0000 7100 6240,,,,,Jacques Lafleur,,,,politician,nr2001029646,,,,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,Jacques Lafleur,,,1793,,jacques-lafleur_3489,,,,,Jacques Lafleur,,,216800722,,,,
Q3159245,Jacques Lalié,male,,,1954-12-06,Jacques,,,,,,Jacques Lalié,,,Jacques Lalié,Jacques Lalié,,,,,,,,,,,,,,,,,,,,,,,,Jacques Lalié,,,,,,,,,Jacques Lalié,,,,politician,,,,,,,,,,,,,,,,,,,Jacques Lalié,,,,,,,
Q3164867,Jean-Claude Briault,male,44580536,15016975w,1947-08-21,Jean-Claude,,,,,,Jean-Claude Briault,,,Jean-Claude Briault,Jean-Claude Briault,Jean-Claude Briault,103223185,Jean-Claude Briault,Jean-Claude Briault,,,,,,,,,,,,,,,,,,,,Jean-Claude Briault,,,,0000 0000 6314 1071,,,,,Jean-Claude Briault,,,,politician,,,,,,,,,,,,,,,,,,,Jean-Claude Briault,,,,,,,
Q3167261,Jean-Luc Régent,male,,,1943-04-06,Jean-Luc,,,,,,Jean-Luc Régent,,,Jean-Luc Régent,Jean-Luc Régent,,,,Jean-Luc Régent,Jean-Luc Régent,Jean-Luc Régent,Jean-Luc Régent,Jean-Luc Régent,,,,,,,,,,,,,,,,Jean-Luc Régent,,,,,,,,,Jean-Luc Régent,,,,politician,,,,,,,,,,,,,,,,,,,Jean-Luc Régent,,,,,,,
Q3168951,Jean-Pierre Aïfa,male,,,1938-10-31,Jean-Pierre,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Jean-Pierre_Aïfa.JPG,,,Jean-Pierre Aïfa,,,Jean-Pierre Aïfa,Jean-Pierre Aïfa,,,Jean-Pierre Aïfa,,Jean-Pierre Aïfa,Jean-Pierre Aïfa,Jean-Pierre Aïfa,Jean-Pierre Aïfa,,,,,,,,,,,,,,,,Jean-Pierre Aïfa,,,,,,,,,Jean-Pierre Aïfa,,,,politician,,,,,,,,,,,,,,,,,,,Jean-Pierre Aïfa,,,,,,,
Q3173292,Jean Lèques,male,96886055,14000343t,1931-08-31,Jean,,,"https://upload.wikimedia.org/wikipedia/commons/8/8d/US_Navy_090925-N-8721D-037_Capt._Thom_Burke,_commanding_officer_of_the_amphibious_command_ship_USS_Blue_Ridge_(LCC_19)_receives_a_wreath_to_lay_at_the_U.S._war_memorial_during_a_ceremony.jpg",,,Jean Lèques,,,Jean Lèques,Jean Lèques,Jean Lèques,142712248,Jean Lèques,Jean Lèques,Jean Lèques,Jean Lèques,Jean Lèques,Jean Lèques,Jean Lèques,,,,,,,,,,,,,,,Jean Lèques,,,,0000 0001 0719 1901,,,,,Jean Lèques,讓·利克,让·利克,,politician,,,,,,,,,,,,,,,,,,,Jean Lèques,,,,,ジャン・レク,,
Q32557023,Nicolas Metzdorf,male,,,1988-05-20,Nicolas,,,,,,Nicolas Metzdorf,,,Nicolas Metzdorf,Nicolas Metzdorf,,,Nicolas Metzdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Metzdorf,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3262404,Louis Kotra Uregei,male,,,1951-02-04,Louis,,,,,,Louis Kotra Uregei,/m/06w25jh,,Louis Kotra Uregei,Louis Kotra Uregei,Louis Kotra Uregei,,Louis Kotra Uregei,Louis Kotra Uregei,Louis Kotra Uregei,Louis Kotra Uregei,Louis Kotra Uregei,Louis Kotra Uregei,Louis Kotra Uregei,,,,,,,,,,,,,,,Louis Kotra Uregei,,,,,,,,,Louis Kotra Uregei,,,,politician,,,,,,,,,,,,,,,,,,,Louis Kotra Uregei,,,,,,,
Q3271538,Léonard Sam,male,,,1953-02-15,Léonard,,,,,,Léonard Sam,,,Léonard Sam,Léonard Sam,,,,,,,,,,,,,,,,,,,,,,,,Léonard Sam,,,,,,,,,Léonard Sam,,,,politician,,,,,,,,,,,,,,,,,,,Léonard Sam,,,,,,,
Q3271748,Léontine Ponga,female,,,1952-08-12,Léontine,,,,,,Léontine Ponga,,,Léontine Ponga,Léontine Ponga,,,,,,,,,,,,,,,,,,,,,,,,Léontine Ponga,,,,,,,,,Léontine Ponga,,,,politician,,,,,,,,,,,,,,,,,,,Léontine Ponga,,,,,,,
Q3271836,Léopold Jorédié,male,,,1947,Léopold,,,,,2013-09-08,Léopold Jorédié,,,Léopold Jorédié,Léopold Jorédié,Léopold Jorédié,,Léopold Jorédié,,Léopold Jorédié,Léopold Jorédié,Léopold Jorédié,Léopold Jorédié,Léopold Jorédié,,,Léopold Jorédié,,Léopold Jorédié,,,,,,,,,,Léopold Jorédié,,Léopold Jorédié,,,,,,,Léopold Jorédié,,,,politician,,,,,,,,,,,,,,,,,,,Léopold Jorédié,,,,,,,
Q3287696,Marc-Kanyan Case,male,,,1942-09-14,Marc,,,,,,Marc-Kanyan Case,,,Marc-Kanyan Case,Marc Kanyan Case,Marc-Kanyan Case,,Marc-Kanyan Case,,Marc-Kanyan Case,Marc-Kanyan Case,Marc-Kanyan Case,Marc-Kanyan Case,Marc-Kanyan Case,,,,,,,,,,,,,,,Marc-Kanyan Case,,,,,,,,,Marc Kanyan Case,,,,association football player,,,,,,,,,,,,,,,,,,,Marc-Kanyan Case,,,,,,,
Q3292177,Marie-Noëlle Thémereau,female,,,1950-05-18,Marie-Noëlle,,,,,,Marie-Noëlle Thémereau,,,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,Marie-Noëlle Thémereau,,Marie-Noëlle Thémereau,,,,,,,Marie-Noëlle Thémereau,,,,,,,Marie-Noëlle Thémereau,,,,,,,,,Marie-Noëlle Thémereau,瑪麗-諾伊爾·泰梅雷奧,玛丽-诺伊尔·泰梅雷奥,,politician,,,,,,,,,,,,,,,,,,,Marie-Noëlle Thémereau,,,,,マリ＝ノエル・テメロー,,
Q3292216,Marie-Pierre Goyetche,female,,,1956-02-12,Marie-Pierre,,,,,,Marie-Pierre Goyetche,,,Marie-Pierre Goyetche,Marie-Pierre Goyetche,,,Marie-Pierre Goyetche,,,,,,,,,,,,,,,,,,,,,Marie-Pierre Goyetche,,,,,,,,,Marie-Pierre Goyetche,,,,trade unionist,,,,,,,,,,,,,,,,,,,Marie-Pierre Goyetche,,,,,,,
Q3301217,Maurice Nénou,male,,,1939-02-25,Maurice,5526,,,,1996-11-27,Maurice Nénou,,,Maurice Nénou,Maurice Nénou,,,,,Maurice Nénou,Maurice Nénou,Maurice Nénou,Maurice Nénou,Maurice Nénou,Maurice Nénou,,Maurice Nénou,,,,,,,,,,,Maurice Nénou,Maurice Nénou,,,,,,,,,Maurice Nénou,,,,politician,,,,,Maurice Nénou,Maurice Nénou,Maurice Nénou,Maurice Nénou,Maurice Nénou,,,,,,,,,,Maurice Nénou,,,,,,,
Q3310105,Michel Lasnier,male,,,1952-10-23,Michel,,,,,,Michel Lasnier,,,Michel Lasnier,Michel Lasnier,,,,,,,,,,,,,,,,,,,,,,,Michel Lasnier,Michel Lasnier,,,,,,,,,Michel Lasnier,,,,politician,,,,,,,,,,,,,,,,,,,Michel Lasnier,,,,,,,
Q3334872,Nadia Heo,female,,,1967-12-20,Nadia,,,,,,Nadia Heo,,,Nadia Heo,Nadia Heo,,,Nadia Heo,,,,,,,,,,,,,,,,,,,,Nadia Heo,Nadia Heo,,,,,,,,,Nadia Heo,,,,politician,,,,,,,,,,,,,,,,,,,Nadia Heo,,,,,,,
Q3336545,Nathalie Brizard,female,,,1973-05-25,Nathalie,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Nathalie_Brizard.jpg,,,Nathalie Brizard,,,Nathalie Brizard,Nathalie Brizard,,,Nathalie Brizard,,Nathalie Brizard,Nathalie Brizard,Nathalie Brizard,Nathalie Brizard,,,,,,,,,,,,,,,Nathalie Brizard,Nathalie Brizard,,,,,,,,,Nathalie Brizard,,,,politician,,,,,,,,,,,,,,,,,,,Nathalie Brizard,,,,,,,
Q3341245,Nidoïsh Naisseline,male,42044757,14061669t,1945-06-27,,,,,,2015-06-03,Nidoïsh Naisseline,/m/06w3smx,,Nidoïsh Naisseline,Nidoïsh Naisseline,Nidoïsh Naisseline,166009644,Nidoïsh Naisseline,,Nidoïsh Naisseline,Nidoïsh Naisseline,Nidoïsh Naisseline,Nidoïsh Naisseline,Nidoïsh Naisseline,,,Nidoïsh Naisseline,,Nidoïsh Naisseline,,,,,,,,,,Nidoïsh Naisseline,,Nidoïsh Naisseline,,0000 0000 0094 2402,,,,,Nidoïsh Naisseline,,,,politician,,,,,,,,,,,,,,,,,,,Nidoïsh Naisseline,,,,,,,
Q3347018,Néko Hnepeune,male,,,1954-04-21,,,,,,,Néko Hnepeune,/m/06w2n5j,,Néko Hnepeune,Néko Hnepeune,Néko Hnepeune,,Néko Hnepeune,,Néko Hnepeune,Néko Hnepeune,Néko Hnepeune,Néko Hnepeune,Néko Hnepeune,,,Néko Hnepeune,,Néko Hnepeune,,,,,,,,,,Néko Hnepeune,,,,,,,,,Néko Hnepeune,,,,politician,,,,,,,,,,,,,,,,,,,Néko Hnepeune,,,,,,,
Q3367536,Pascal Naouna,male,,,1960-01-26,Pascal,,,,,,Pascal Naouna,,,Pascal Naouna,Pascal Naouna,,,,,,,,,,,,,,,,,,,,,,,Pascal Naouna,Pascal Naouna,,,,,,,,,Pascal Naouna,,,,president and chief executive officer,,,,,,,,,,,,,,,,,,,Pascal Naouna,,,,,,,
Q3367639,Pascal Vittori,male,,,1966-08-16,Pascal,,,,Vittori,,Pascal Vittori,,,Pascal Vittori,Pascal Vittori,Pascal Vittori,,Pascal Vittori,Pascal Vittori,,,,,Pascal Vittori,,,,,,,,,,,,,,,Pascal Vittori,,,,,,,,,Pascal Vittori,,,,politician,,,,,,,,,,,,,,,,,,,Pascal Vittori,,,,,,,
Q3371928,Paul Néaoutyine,male,34743405,15063742p,1951-10-12,Paul,,,,,,Paul Néaoutyine,,,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,096987103,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,Paul Néaoutyine,,Paul Néaoutyine,,Paul Néaoutyine,,,,,,1644410,,,,Paul Néaoutyine,,,,0000 0000 5303 3683,,,,,Paul Néaoutyine,,,,politician,nr2006014009,,,,,,,,,,,,,,,,,,Paul Néaoutyine,,,,,,,
Q3379784,Philippe Dunoyer,male,,,1968-01-11,Philippe,19136,,,Dunoyer,,Philippe Dunoyer,,,Philippe Dunoyer,Philippe Dunoyer,,,,Philippe Dunoyer,,,,,Philippe Dunoyer,,,,,,,,,,,,,,Philippe Dunoyer,Philippe Dunoyer,,,,,,,,,Philippe Dunoyer,,,,politician,,,,,,,,,,,,721094,,philippe-dunoyer_80446,,,,,Philippe Dunoyer,philippedunoyer2017,https://www.linkedin.com/in/philippe-dunoyer-360a2237/,,,,,
Q3380376,Philippe Michel,male,313541855,,1960-01-10,Philippe,,,,Michel,,Philippe Michel,,,Philippe Michel,Philippe Michel (homme politique),,158791398,Philippe Michel,Philippe Michel,,,,,Philippe Michel,,,,,,,,,,,,,,Philippe Michel,Philippe Michel,,,,,,,,,Philippe Michel (homme politique),,,,politician,,,,,,,,,,,,,500253050,,فيليب ميشيل,,,Филипп Мишель,Philippe Michel,,,,,,,
Q3384183,Pierre Bretegnier,male,,,1949-12-16,Pierre,,,,,,Pierre Bretegnier,,,Pierre Bretegnier,Pierre Bretegnier,,,,,Pierre Bretegnier,Pierre Bretegnier,Pierre Bretegnier,Pierre Bretegnier,,,,,,,,,,,,,,,Pierre Bretegnier,Pierre Bretegnier,,,,,,,,,Pierre Bretegnier,,,,politician,,,,,,,,,,,,,,,,,,,Pierre Bretegnier,,,,,,,
