id,name__en,name__it,name,wikipedia__en,gender,given_name,original_wikiname,name__de,name__es,name__ru,name__fr,name__nl,name__cy,name__hu,wikipedia__de,wikipedia__ru,birth_date,death_date,name__nb,name__da,name__nn,name__sv,name__uk,wikipedia__uk,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__he,name__ko,name__ta,name__af,name__yo,name__oc,name__ms,name__gl,name__sw,name__et,name__id,name__ja,name__el,name__pt,name__eo,name__is,name__mn,name__ro,name__fi,name__cs,name__io,name__ka,name__hr,name__sr,name__ca,name__zh,name__fa,name__ar,name__tr,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__af,wikipedia__ar,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__mn,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__sw,wikipedia__ta,wikipedia__tr,wikipedia__yo,wikipedia__zh,image,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__freebase,identifier__NNDB,identifier__Munzinger,noble_title,name__br,name__vi,name__la,name__be,name__bn,name__lb,name__sh,name__vo,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__cy,wikipedia__la,wikipedia__lb,wikipedia__sh,wikipedia__vi,wikipedia__vo,facebook,name__bg,wikipedia__bg,identifier__ISNI,name__fy,wikipedia__fy,family_name,wikipedia__plwikiquote,occupation,identifier__quora,identifier__ne_se,identifier__Britannica,twitter,name__sl,name__mr,name__hi,name__ast,wikipedia__ast,wikipedia__hi,wikipedia__mr,website,identifier__BIBSYS,identifier__Oxforddnb,identifier__SUDOC,identifier__FAST,identifier__BNF,name__vec,name__eu,name__am,name__my,name__sr_el,name__sr_ec,name__nds,name__hy,name__qu,name__bar,name__de_at,wikipedia__am,wikipedia__enwikiquote,wikipedia__eu,wikipedia__hy,wikipedia__my,wikipedia__nds,wikipedia__qu,wikipedia__vec,identifier__NTA,identifier__NLA,identifier__SELIBR,identifier__IMDB,identifier__britishmuseum,identifier__GNC,identifier__NPG,identifier__bigenc_ru,identifier__snac,identifier__NUKAT,identifier__EGAXA,name__an,name__bm,name__co,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__vls,name__vmf,name__wa,name__wo,name__zu,name__mk,wikipedia__mk,name__new,wikipedia__new,identifier__BNE,identifier__OLID,identifier__google_knowledge,identifier__GTAA,wikipedia__ny,name__ny,identifier__CONOR
Q1529107,Gladys Lundwe,,Gladys Lundwe,Gladys Lundwe,female,Gladys,Gladys Lundwe,Gladys Lundwe,,,Gladys Lundwe,Gladys Lundwe,,,Gladys Lundwe,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Gladys Lundwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1533811,Godfrey Miyanda,,Godfrey Miyanda,Godfrey Miyanda,male,Godfrey,Godfrey Miyanda,Godfrey Miyanda,Godfrey Miyanda,,Godfrey Miyanda,Godfrey Miyanda,,Godfrey Miyanda,Godfrey Miyanda,,1944,,Godfrey Miyanda,,,,,,,,,,,,,,,,,Godfrey Miyanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godfrey Miyanda,,,,,,/m/04m_2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Godfrey Miyanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q153986,Guy Scott,Guy Scott,Guy Scott,Guy Scott,male,Guy,Guy Scott,Guy Scott,Guy Scott,"Скотт, Гай",Guy Scott,Guy Scott,,Guy Scott,Guy Scott,"Скотт, Гай",1944-06-01,,Guy Scott,Guy Scott,Guy Scott,Guy Scott,Гай Скотт,Гай Скотт,,,,,,,Guy Scott,גאי סקוט,가이 스콧,,,,Guy Scott,,,,Guy Scott,Guy Scott,ガイ・スコット,Γκάι Σκοτ,Guy Scott,,,,,Guy Scott,,,,,,,蓋伊·斯科特,,قاي سكوت,Guy Scott,Guy Scott,Guy Scott,Guy Scott,Guy Scott,,غاي سكوت,,Category:Guy Scott,,Guy Scott,Γκάι Σκοτ,,Guy Scott,Guy Scott,,,Guy Scott,,גאי סקוט,,Guy Scott,,,Guy Scott,,,가이 스콧,,,Guy Scott,Guy Scott,Guy Scott,Guy Scott,Guy Scott,,Guy Scott,,Guy Scott,,,Guy Scott,,蓋伊·斯科特,https://upload.wikimedia.org/wikipedia/commons/d/d7/Guy_Scott.png,311474734,,no2014143011,/m/0g57lmj,,,,,,,,,,,,,,,,,,,,,,,,,Guy Scott,Guy Scott,Scott,,politician,Guy-Scott-3,,biography/Guy-Scott,,Guy Scott,,,Guy Scott,Guy Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1586671,Harry Mwaanga Nkumbula,,Harry Mwaanga Nkumbula,Harry Nkumbula,male,Harry,Harry Nkumbula,Harry Nkumbula,Harry Nkumbula,,Harry Nkumbula,Harry Nkumbula,,Harry Nkumbula,Harry Nkumbula,,1916-01-15,1983-10-08,Harry Nkumbula,Harry Nkumbula,Harry Nkumbula,Harry Nkumbula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107846809,140871152,,/m/0d6zg4,,00000009310,,,,,,,,,,,,,,,,,,,,,,0000 0000 7760 7354,,,,,politician,,,,,Harry Nkumbula,,,,,,,,,75930,147239699,,120452001,,,,,,,,,,,,,,,,,,,,313983909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1720830,Kabinga Pande,,Kabinga Pande,Kabinga Pande,male,,Kabinga Pande,Kabinga Pande,Kabinga Pande,,Kabinga Pande,Kabinga Pande,,Kabinga Pande,Kabinga Pande,,1952,,Kabinga Pande,Kabinga Pande,Kabinga Pande,Kabinga Pande,,,,,,,,,Kabinga Pande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kabinga Pande,,,,,,,,,,,,,,,/m/03b_v20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Kabinga Pande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18352991,Edgar Lungu,Edgar Lungu,Edgar Lungu,Edgar Lungu,male,Edgar,Edgar Lungu,Edgar Lungu,Edgar Lungu,Эдгар Лунгу,Edgar Lungu,Edgar Lungu,,Edgar Lungu,Edgar Lungu,"Лунгу, Эдгар",1956-11-11,,Edgar Lungu,Edgar Lungu,,Edgar Lungu,Едгар Лунгу,Едгар Лунгу,,,,,,,Edgar Lungu,אדגר לונגו,에드거 룽구,எட்கார் லுங்கு,,,Edgar Chagwa Lungu,,,,Edgar Lungu,Edgar Lungu,エドガー・ルング,Έντγκαρ Λούνγκου,Edgar Lungu,,,,,Edgar Lungu,,Edgar Lungu,ედგარ ლუნგუ,,,Edgar Lungu,埃德加·倫古,ادگار لونگو,إدغار لونغو,Edgar Lungu,,Edgar Lungu,Edgar Lungu,Edgar Lungu,,إدغار لونغو,Edgar Lungu,,,Edgar Lungu,Έντγκαρ Λούνγκου,,Edgar Lungu,Edgar Lungu,ادگار لونگو,Edgar Lungu,Edgar Lungu,,אדגר לונגו,,Edgar Lungu,Edgar Lungu,,Edgar Lungu,エドガー・ルング,ედგარ ლუნგუ,에드거 룽구,,,,Edgar Lungu,Edgar Chagwa Lungu,Edgar Lungu,Edgar Lungu,,Edgar Lungu,,Edgar Lungu,,எட்கார் லுங்கு,Edgar Lungu,,埃德加·倫古,https://upload.wikimedia.org/wikipedia/commons/5/56/Edgar_Lungu_January_2015.jpg,5891150033046211180004,,n2017231196,/m/0127xrdz,,,,,Edgar Lungu,Edgarus Lungu,Эдгар Лунгу,,,,,Эдгар Лунгу,,,,Edgarus Lungu,,,Edgar Lungu,,EdgarChagwaLungu,,,,,,Lungu,,politician,,,biography/Edgar-Lungu,EdgarCLungu,Edgar Lungu,एड्गर लुंगू,एडगर लुंगु,Edgar Lungu,Edgar Lungu,एडगर लुंगु,एड्गर लुंगू,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar Lungu,Edgar Lungu,
Q18720153,Geoffrey Bwalya Mwamba,,Geoffrey Bwalya Mwamba,Geoffrey Bwalya Mwamba,male,Geoffrey,Geoffrey Bwalya Mwamba,,,,,,,,,,1959,,,,,,,,,傑弗里·布瓦利亞·姆萬巴,,杰弗里·布瓦利亞·姆萬巴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bwalya Mwamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Geoffrey Bwalya Mwamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18720231,Miles Sampa,Miles Sampa,Miles Sampa,Miles Sampa,male,Miles,Miles Sampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Miles Sampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18908010,Inonge Wina,,Inonge Wina,Inonge Wina,female,,Inonge Wina,Inonge Wina,Inonge Wina,Инонге Вина,Inonge Wina,Inonge Wina,,Inonge Wina,Inonge Wina,"Вина, Инонге",1941-04-02,,Inonge Wina,,,,,,,,,,,,,,,,,,,,,,,,イノンゲ・ウィナ,,Inonge Wina,,,,,,,,,,,,伊農格·維娜,,,,,,,,,,,Category:Inonge Wina,,,,,Inonge Wina,,,,Inonge Wina,,,,,,,,,,,,,,,,,Inonge Wina,,Inonge Wina,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Inonge_Wina.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Inonge Wina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19281868,Alexander Chikwanda,,Alexander Chikwanda,Alexander Chikwanda,male,Alexander,Alexander Chikwanda,,,,,Alexander Chikwanda,,,,,1938-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Alexander Chikwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19560917,Harry Kalaba,,Harry Kalaba,Harry Kalaba,male,Harry,,Harry Kalaba,,,,Harry Kalaba,,,Harry Kalaba,,1976-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,ハリー・カラバ,,,,,,,,,,,,,,,,هاري كالابا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Välisminister_Sven_Mikser_ja_Sambia_välisminister_Harry_Kalaba_(31719036133).jpg,,,,,,,,,,Harry Kalaba,,,,,,,,,,Harry Kalaba,,,,,,,,,,,,,politician,,,,,Harry Kalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19560941,Joseph Kasonde,,Joseph Kasonde,Joseph Kasonde,male,Joseph,Joseph Kasonde,,,,Joseph Kasonde,Joseph Kasonde,,,,,1938-01-30,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Joseph_Kasonde.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,Joseph Kasonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19560944,Joseph Katema,,Joseph Katema,Joseph Katema,male,Joseph,Joseph Katema,Joseph Katema,,,Joseph Katema,Joseph Katema,,Joseph Katema,,,1961-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Joseph Katema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
