id,name,photo,constituency,party,email,birth_date,party_id,source,term
195,Alexander Bwalya Chikwanda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Alexander%20Chikwanda.jpg?itok=yxpxKhO0,Nominated,Patriotic Front,abchikwanda@parliament.gov.zm,1938-12-24,PF,http://www.parliament.gov.zm/members-of-parliament,2011
193,Nickson Chilangwa,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Nickson%20Chilangwa.JPG?itok=VfdmoDHh,Kawambwa,Patriotic Front,nchilangwa@parliament.gov.zm,1969-01-10,PF,http://www.parliament.gov.zm/members-of-parliament,2011
3340,Chitalu Chilufya,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Hon.%20Dr.%20Chitalu%20Chilufya.jpg?itok=T3qyBT--,Mansa Central,Patriotic Front,"",1972-07-15,PF,http://www.parliament.gov.zm/members-of-parliament,2011
196,Danny Ching'imbu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Danny%20Chingimbu.JPG?itok=zCjYwoYC,Kabompo East,Movement for Multi-Party Democracy,dchingimbu@parliament.gov.zm,1965-02-09,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
197,Kenneth Chipungu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Kenneth%20Chipungu.jpg?itok=2QLa8Fky,Rufunsa,Movement for Multi-Party Democracy,kchipungu@parliament.gov.zm,1953-12-10,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
199,Obius Chabu Chisala,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Obius%20Chisala.JPG?itok=01p6qhTf,Chilubi,Patriotic Front,ochisala@parliament.gov.zm,1962-07-02,PF,http://www.parliament.gov.zm/members-of-parliament,2011
207,Moses Chishimba,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Chishimba%20Moses.jpg?itok=98Hq75V4,Kamfinsa,Patriotic Front,mchishimba@parliament.gov.zm,1973-08-23,PF,http://www.parliament.gov.zm/members-of-parliament,2011
3384,Davies Chisopa,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Davies%20Chisopa.jpg?itok=3E0d2jbu,Mkushi South,Patriotic Front,"",1973-06-21,PF,http://www.parliament.gov.zm/members-of-parliament,2011
3391,Brian Kaimbi Chitafu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Brian%20Kaimbi%20Chitafu.jpg?itok=1Tj0pBce,Kafulafuta,United Party for National Development,chitafub@parliament.gov.zm,1965-01-26,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
209,Ronald K Chitotela,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Ronald%20Chitotela.jpg?itok=bEsIWq5M,Pambashe,Patriotic Front,rchitotela@parliament.gov.zm,1972-04-21,PF,http://www.parliament.gov.zm/members-of-parliament,2011
211,Brig. Gen Brian Chituwo (Rtd) GCDS,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Brian%20Chituwo.jpg?itok=-ggEL-Dh,Mumbwa,Movement for Multi-Party Democracy,bchituwo@parliament.gov.zm,1947-06-01,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
187,Lazarous Bwalya Chungu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Lazarous%20Chungu%20Bwalya.JPG?itok=cdNwmtNX,Lupososhi,Patriotic Front,clbwalya@parliament.gov.zm,1966-10-25,PF,http://www.parliament.gov.zm/members-of-parliament,2011
218,Stephen Chungu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Stephen%20Chungu.JPG?itok=RLHWSVIW,Luanshya,Patriotic Front,schungu@parliament.gov.zm,1964-12-16,PF,http://www.parliament.gov.zm/members-of-parliament,2011
219,Munji Habeenzu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Munji%20Habeenzu.JPG?itok=ewSvYuQs,Chikankata,United Party for National Development,mhabeenzu@parliament.gov.zm,1973-09-23,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
220,Highvie Hambulo Hamududu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Hambulo%20Hamududu.JPG?itok=9QX_4Aqr,Bweengwa,United Party for National Development,hhhamududu@parliament.gov.zm,1970-03-23,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
221,Kennedy Kaunda Hamudulu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Kennedy%20Kaunda%20Hamudulu.JPG?itok=6ObsanhS,Siavonga,United Party for National Development,kkhamudulu@parliament.gov.zm,1966-08-02,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
222,Boyd Hamusonde,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Boyd%20Hamusonde.JPG?itok=gtYOL8Mb,Nangoma,United Party for National Development,bhamusonde@parliament.gov.zm,1956-10-04,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
223,Mwambwa Gertrude Mulumemui Mwendaweli Imenda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Mwambwa%20Mwenaweli%20Imenda.JPG?itok=Y4dE7Rbv,Luena,Alliance for Democracy and Development,mgmmimenda@parliament.gov.zm,1951-05-18,ADD,http://www.parliament.gov.zm/members-of-parliament,2011
224,Emerine Kabanshi,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Emerine%20Kabanshi.JPG?itok=2kdEwUxR,Luapula,Patriotic Front,ekabanshi@parliament.gov.zm,1964-11-27,PF,http://www.parliament.gov.zm/members-of-parliament,2011
3363,Dawson Kafwaya,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Dawson%20Kafwaya.jpg?itok=ZwSyAt5Q,Solwezi Central,United Party for National Development,"",1984-04-01,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
225,Michael Liwanga Kaingu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Michael%20Kaingu.JPG?itok=rSbvZK5j,Mwandi,Movement for Multi-Party Democracy,mlkaingu@parliament.gov.zm,1952-02-02,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
228,Harry Kalaba,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Harry%20Kalaba.jpg?itok=_KfcMLnc,Bahati,Patriotic Front,hkalaba@parliament.gov.zm,1976-06-12,PF,http://www.parliament.gov.zm/members-of-parliament,2011
231,Christopher Kalila Kalila,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Christopher%20Kalila%20Kalila.JPG?itok=kmUoCxSF,Lukulu East,Movement for Multi-Party Democracy,ckkalila@parliament.gov.zm,1966-01-06,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
238,Victoria Kalima,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Victoria%20Kalima.JPG?itok=OQY5LyJG,Kasenengwa,Movement for Multi-Party Democracy,vkalima@parliament.gov.zm,1972-10-04,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
240,Chishimba Kambwili,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Chishimba%20Kambwili_0.jpg?itok=0cwhUKNw,Roan,Patriotic Front,ckambwili@parliament.gov.zm,1969-06-03,PF,http://www.parliament.gov.zm/members-of-parliament,2011
260,Stephen Kampyongo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Steven%20Kampyongo.JPG?itok=YQGyqhKD,Shiwa Ng'andu,Patriotic Front,skampyongo@parliament.gov.zm,1972-06-12,PF,http://www.parliament.gov.zm/members-of-parliament,2011
242,Jean Kapata,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Jean%20Kapata.jpg?itok=e15C79Uu,Mandevu,Patriotic Front,jkapata@parliament.gov.zm,1960-12-25,PF,http://www.parliament.gov.zm/members-of-parliament,2011
253,Brig. Gen. Benson Mathias Kapaya (Rtd),http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Benson%20Kapaya.JPG?itok=UUdfKbCq,Chiengi,Patriotic Front,jmkapaya@parliament.gov.zm,1949-07-08,PF,http://www.parliament.gov.zm/members-of-parliament,2011
263,Mwansa Kapeya,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Mwansa%20Kapeya.JPG?itok=XyPTZk8e,Mpika Central,Patriotic Front,mkjkatambo@parliament.gov.zm,1950-06-06,PF,http://www.parliament.gov.zm/members-of-parliament,2011
255,James Mambepa Kapyanga,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/James%20Mambepa%20Kapyanga.JPG?itok=xMakkwIG,Kabwe Central,Patriotic Front,jmkapyanga@parliament.gov.zm,1963-05-31,PF,http://www.parliament.gov.zm/members-of-parliament,2011
138,Joseph Mwenya Kasonde,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Hon.%20Kasonde_0.png?itok=0yz72SXo,Nominated,Patriotic Front,jkasonde@parliament.gov.zm,1938-01-30,PF,http://www.parliament.gov.zm/members-of-parliament,2011
264,Micheal Zondani Jay Katambo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Michael%20Zondani%20Katambo.JPG?itok=-9BPuQDf,Masaiti,Patriotic Front,mzjkatambo@parliament.gov.zm,1969-09-16,PF,http://www.parliament.gov.zm/members-of-parliament,2011
265,Joseph Katema,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Joseph%20Katema.JPG?itok=9cx114sq,Chingola,Patriotic Front,jkatema@parliament.gov.zm,1961-11-20,PF,http://www.parliament.gov.zm/members-of-parliament,2011
272,Stephen Katuka,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Stephen%20Katuka.JPG?itok=jNWdzRpY,Mwinilunga East,United Party for National Development,skatuka@parliament.gov.zm,1953-03-05,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
275,Lt Col. (Rtd) Panji Kaunda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Panji%20Kaunda.jpg?itok=yMAIEAOl,Nominated,Patriotic Front,"",1947-12-02,PF,http://www.parliament.gov.zm/members-of-parliament,2011
281,Berina Katongo Kawandami,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Berina%20Kawandami.JPG?itok=3wgo7RT5,Chifubu,Patriotic Front,bkkawandami@parliament.gov.zm,1947-11-06,PF,http://www.parliament.gov.zm/members-of-parliament,2011
283,Luxon Syanzila Kazabu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Luxon%20Syanzila%20Kazabu.jpg?itok=qS20EEvU,Nkana,Patriotic Front,iskazuba@parliament.gov.zm,1945-03-05,PF,http://www.parliament.gov.zm/members-of-parliament,2011
285,Dorothy Mupeta Kazunga,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Dorothy%20Kazunga.JPG?itok=maRb-eqB,Kabushi,Patriotic Front,dkazunga@parliament.gov.zm,1951-11-30,PF,http://www.parliament.gov.zm/members-of-parliament,2011
286,Kenneth Konga,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Kenneth%20Konga.JPG?itok=_oLqSXsB,Chavuma,Movement for Multi-Party Democracy,kkonga@parliament.gov.zm,1958-03-29,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
287,Philip Kosamu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Kosamu.JPG?itok=anv1iAZl,Serenje,Patriotic Front,pkosamu@parliament.gov.zm,1976-06-22,PF,http://www.parliament.gov.zm/members-of-parliament,2011
288,John Kufuna,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/John%20kufuna.jpg?itok=Jkwwn_Wt,Mufulira,Patriotic Front,jkufuna@parliament.gov.zmjkafuna@parliament.gov.zm,1963-05-13,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
290,Howard Kunda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Howard%20Kunda.jpg?itok=Q9xjCkuJ,Muchinga,Movement for Multi-Party Democracy,"",1975-02-24,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
3792,Evans Lawrence,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Lawrence%20Evans.jpg?itok=ejfmulir,Livingstone,Patriotic Front,"",,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
291,Josephine Mwiya Limata,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Josephine%20Mwiya%20Limata.JPG?itok=AkHLOQbV,Luampa,Movement for Multi-Party Democracy,jmlimata@parliament.gov.zm,1948-08-08,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
3346,Rogers Lyambai Lingweshi,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Rogers%20Lyambai%20Lingweshi.jpg?itok=9eB_Nngf,Mangango,Patriotic Front,"",1941-12-12,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
292,Derick Livune,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Derrick%20Livune.JPG?itok=QrMbIwbL,Katombola,United Party for National Development,dlivune@parliament.gov.zm,1978-11-28,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
294,Moono Lubezhi,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Moono%20Lubezhi.JPG?itok=KrL09vHJ,Namwala,United Party for National Development,mlubezhi@parliament.gov.zm,1968-06-08,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
293,Given Lubinda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Given%20Lubinda.jpg?itok=xhxCdr64,Kabwata,Patriotic Front,glubinda@parliament.gov.zm,1963-05-15,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
295,Lwiji Ambrose Lufuma,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Lwiji%20Ambrose%20Lufuma.JPG?itok=Pkic6R7r,Kabompo West,United Party for National Development,alufuma@parliament.gov.zm,1957-10-26,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
299,Col. Joseph Lungu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Joseph%20Lungu.JPG?itok=dqds6tdc,Msanzala,Patriotic Front,jlungu@parliament.gov.zm,1950-08-19,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
298,Effron Chakupa Lungu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/EffronLungu.jpg?itok=nAuPGNPy,Chama South,Patriotic Front,ecglungu@parliament.gov.zm,1952-12-25,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
53,Mkhondo Danwood Lungu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Hon.%20Mkhondo%20Lungu_0.png?itok=0hbXzKmV,Lundazi,Movement for Multi-Party Democracy,mkkondolungu@parliament.gov.zm,1943-02-18,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
296,Geoffrey Lungwangwa,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Geoffrey%20Lungwangwa.JPG?itok=G5AVIAVZ,Nalikwanda,Movement for Multi-Party Democracy,glungwangwa@parliament.gov.zm,1953-07-15,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
300,Nkandu Luo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Nkandu%20Luo.JPG?itok=yztQFjz7,Munali,Patriotic Front,nluo@parliament.gov.zm,1951-12-21,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
301,David Mabumba,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/David%20Mabumba.JPG?itok=rO3PztUS,Mwense,Patriotic Front,dmabumba@parliament.gov.zm,1971-04-23,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
302,Mushili Allan Malama,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Mushili%20Allan%20Malama.gif?itok=rOc6pazI,Chitambo,Movement for Multi-Party Democracy,mushilimalama@parliament.gov.zm,1964-11-28,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
304,Mwimba Henry Malama,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Mwimba%20H%20Malama.JPG?itok=0qti-mM5,Mfuwe,Patriotic Front,mhmalama@parliament.gov.zm,1976-04-28,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
402,Sichone Malozo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Maloza%20Sichone.JPG?itok=YDYObAT8,Isoka,Patriotic Front,smalozo@parliament.gov.zm,1978-08-13,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
150,Sylvia Masebo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Sylvia%20Masebo.jpg?itok=AA8xDOeU,Chongwe,Patriotic Front,smasebo@parliament.gov.zm,1994-03-04,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
307,Steven Masumba,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Steven%20Masumba.jpg?itok=hYvHncJw,Mufumbwe,Movement for Multi-Party Democracy,smasumba@parliament.gov.zm,1981-03-16,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
309,Chifita Matafwali,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Chifita%20Matafwali.JPG?itok=U_EcKoEL,Bangweulu,Patriotic Front,cmatafwali@parliament.gov.zm,1959-11-28,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
51,Patrick Matibini,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Dr.%20Matibini.png?itok=9Wr51yOC,Not Applicable,Not Applicable,speaker@parliament.gov.zm,1959-07-20,N/A,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
310,Mutinta C Mazoka,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Christine%20Mazoka.JPG?itok=_-V2_MJj,Pemba,United Party for National Development,cmazoka@parliament.gov.zm,1994-03-19,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
313,Allan Divide Mbewe,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Allan%20Divide%20Mbewe.JPG?itok=RjFX7OP9,Chadiza,Movement for Multi-Party Democracy,ambewe@parliament.gov.zm,1994-03-19,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
314,Mwansa Mbulakulima,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Mwansa%20Mbulakulima_0.JPG?itok=266Wqo5B,Chembe,Movement for Multi-Party Democracy,mbulakulima@parliament.gov.zm,1994-03-19,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
315,Rayford Mbulu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Rayford%20Mbulu.JPG?itok=fiTS3Y1C,Kalulushi,Patriotic Front,rmbulo@parliament.gov.zm,1960-02-04,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
319,Austin Chiyobeka Milambo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Austin%20Chiyobeka%20Milambo.JPG?itok=z7JGGwgF,Mwembeshi,United Party for National Development,amulambo@parliament.gov.zm,1968-09-17,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
3372,Margaret Miti,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Margaret%20Miti.jpg?itok=lXkhBzjo,Vubwi,Patriotic Front,"",1966-01-28,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
321,Clive Darius Miyanda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Clive%20Darius%20Miyanda.JPG?itok=LahG77Bq,Mapatizya,United Party for National Development,cdmiyanda@parliament.gov.zm,1960-01-01,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
323,Chinga Miyutu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Chinga%20Miyutu.JPG?itok=yyu_Ls_p,Kalabo Central,United Party for National Development,cmiyutu@parliament.gov.zm,1962-08-06,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
326,Greyford Monde,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Greyford%20Monde.JPG?itok=NPxYz71F,Itezhi-Tezhi,United Party for National Development,gmonde@parliament.gov.zm,1977-04-10,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
329,Vitalis Moonga Mooya,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Vitalis%20Moomba%20Mooya.JPG?itok=Cd1mKrU3,Moomba,United Party for National Development,vmmooya@parliament.gov.zm,1949-09-21,UPND,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
3402,Ingrid Mphande,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Ingrid%20Mphande.jpg?itok=PtAaFFzQ,Mkushi North,Patriotic Front,"",1962-02-24,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
333,Raymond Lukonde Mpundu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Mpundu.JPG?itok=ZkZ9rk-5,Nchelenge,Patriotic Front,rlmpundu@parliament.gov.zm,1968-07-12,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
88,Reuben Phiri Mtolo,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Hon.%20Mtolo.png?itok=xjVrPjOv,Chipata Central,Movement for Multi-Party Democracy,mrphiri@parliament.gov.zm,1964-11-11,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
335,Nathaniel Mubukwanu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Nathaniel%20Mubukwanu.JPG?itok=-4KIg2Vu,Mongu Central,Patriotic Front,nmubukwanu@parliament.gov.zm,1969-09-26,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
102,Patrick Mucheleka,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Hon.%20Mucheleka.png?itok=Pa_fuZA2,Lubansenshi,Independent,pmucheleka@parliament.gov.zm,1965-06-21,Independent,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
337,Elijah Julaki Muchima,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Elijah%20Julaki%20Muchima.jpg?itok=M8tuZKE7,Ikeleng'i,Movement for Multi-Party Democracy,emuchima@parliament.gov.zm,1957-06-26,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
338,Likando Mweemba Mufalali,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Likando%20Mweemba%20Mufalali.JPG?itok=fAxYj3Go,Senanga,Movement for Multi-Party Democracy,lmmufalali@parliament.gov.zm,1969-08-16,MMD,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
69,Yamfwa Dingle Mukanga,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Yamfwa%20Mukanga.jpg?itok=HB5qfRhp,Kantanshi,Patriotic Front,ydmukanga@parliament.gov.zm,1965-07-09,PF,http://www.parliament.gov.zm/members-of-parliament/page/1/0,2011
