id,name__en,name__yo,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__cy,name__nl,name__hu,name,wikipedia__en,wikipedia__yo,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__ig,wikipedia__ig,wikipedia__sv,image,wikipedia__es,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__FAST,twitter,identifier__google_knowledge,name__tr,name__ru,wikipedia__de,wikipedia__no,wikipedia__ru,wikipedia__tr,identifier__freebase,name__zh_hant,name__zh_cn,name__ar,name__eu,name__fi,name__hr,name__id,name__it,name__ja,name__ka,name__ko,name__pl,name__pt,name__qu,name__sr,name__sw,name__uk,name__af,name__zh,name__fa,name__eo,name__ca,wikipedia__af,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__nl,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__sr,wikipedia__sw,wikipedia__uk,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__OLID,identifier__NTA,identifier__NNDB,identifier__Munzinger,identifier__Oxforddnb,identifier__britishmuseum,identifier__bigenc_ru,identifier__snac,wikipedia__simple,name__vi,wikipedia__vi,identifier__BNF,name__cs,wikipedia__cswikiquote,name__en_ca,name__en_gb,name__ht,wikipedia__ht,name__zh_tw,wikipedia__hu,identifier__FIFA,wikipedia__enwikisource,identifier__quora,identifier__ne_se,wikipedia__commons,website
Q13140701,,Itak Bob Ekarika,,,,,,,,,,,Itak Bob Ekarika,,Itak Bob Ekarika,,,,,,Itak Bob Ekarika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140704,Iyabo Obasanjo-Bello,Iyabo Obasanjo-Bello,,,,,,,Iyabo Obasanjo-Bello,,Iyabo Obasanjo-Bello,,Iyabo Obasanjo-Bello,Iyabo Obasanjo-Bello,Iyabo Obasanjo-Bello,female,epidemiologist,1967-04-27,,,Iyabo Obasanjo-Bello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140705,Iyiola Omisore,Iyiola Omisore,Iyiola Omisore,Iyiola Omisore,,,,,Iyiola Omisore,,Iyiola Omisore,Iyiola Omisore,Iyiola Omisore,Iyiola Omisore,Iyiola Omisore,male,politician,1957-09-15,,,Iyiola Omisore,,,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Iyiola-Omisore.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140712,,John Brambaifa,,,,,,,,,,,John Brambaifa,,John Brambaifa,,,,,,John Brambaifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140721,Jubril Martins-Kuye,Jubril Martins-Kuye,Jubril Martins-Kuye,,,,,,Jubril Martins-Kuye,,Jubril Martins-Kuye,Jubril Martins-Kuye,Jubril Martins-Kuye,Jubril Martins-Kuye,Jubril Martins-Kuye,male,politician,1942-08-16,,,Jubril Martins-Kuye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140744,,Mohammed Abba Aji,,,,,,,,,,,Mohammed Abba Aji,,Mohammed Abba Aji,male,,,,,Mohammed Abba Aji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140747,Mohammed A. Muhammed,Mohammed A Muhammed,,,,,,,Mohammed A. Muhammed,,Mohammed A. Muhammed,,Mohammed A. Muhammed,Mohammed A. Muhammed,Mohammed A Muhammed,male,politician,1939-12-27,,Mohammed,Mohammed A Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140749,,Mohammed Ohiare,,,,,,,,,,,Mohammed Ohiare,,Mohammed Ohiare,male,,,,,Mohammed Ohiare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140754,Matthew Ifeanyi Nwagwu,Máttéù Ifeanyi Nwagwu,,Matthew Ifeanyi Nwagwu,,,,,Matthew Ifeanyi Nwagwu,,Matthew Ifeanyi Nwagwu,,Matthew Ifeanyi Nwagwu,Matthew Ifeanyi Nwagwu,Máttéù Ifeanyi Nwagwu,male,politician,,,Matthew,Máttéù Ifeanyi Nwagwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140760,Nimi Barigha-Amange,Nimi Barigha-Amange,,,,,,,Nimi Barigha-Amange,,Nimi Barigha-Amange,,Nimi Barigha-Amange,Nimi Barigha-Amange,Nimi Barigha-Amange,male,politician,1952-05-10,,Nimi,Nimi Barigha-Amange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140814,Patrick Aga,Patrick Aga,,Patrick Aga,,,,,Patrick Aga,,Patrick Aga,,Patrick Aga,Patrick Aga,Patrick Aga,male,politician,,,Patrick,Patrick Aga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140815,Paulinus Igwe Nwagu,Paulinus Igwe Nwagu,,Paulinus Igwe Nwagu,,,,,Paulinus Igwe Nwagu,,Paulinus Igwe Nwagu,,Paulinus Igwe Nwagu,Paulinus Igwe Nwagu,Paulinus Igwe Nwagu,male,politician,1959-06-12,,Paulinus,Paulinus Igwe Nwagu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140828,Ramoni Olalekan Mustapha,Ramoni Olalekan Mustapha,,Ramoni Olalekan Mustapha,,,,,Ramoni Olalekan Mustapha,,Ramoni Olalekan Mustapha,,Ramoni Olalekan Mustapha,Ramoni Olalekan Mustapha,Ramoni Olalekan Mustapha,male,politician,1960-02-25,,,Ramoni Olalekan Mustapha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140833,,Rufaisanbi Hanga,,,,,,,,,,,Rufaisanbi Hanga,,Rufaisanbi Hanga,,,,,,Rufaisanbi Hanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140837,,Saleh U. Damboyi,,,,,,,,,,,Saleh U. Damboyi,,Saleh U. Damboyi,,,,,,Saleh U. Damboyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140849,Silas Janfa,Silas Janfa,,Silas Janfa,,,,,Silas Janfa,,Silas Janfa,,Silas Janfa,Silas Janfa,Silas Janfa,male,politician,,,Silas,Silas Janfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140852,Sola Akinyede,Sola Akinyede,,Sola Akinyede,,,,,Sola Akinyede,,Sola Akinyede,,Sola Akinyede,Sola Akinyede,Sola Akinyede,male,politician,1954-02-24,,,Sola Akinyede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140854,,Sule Yari Gandi,,,,,,,,,,,Sule Yari Gandi,,Sule Yari Gandi,,,,,,Sule Yari Gandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140868,Tokunbo Afikuyomi,Tokunbo Afikuyomi,,Tokunbo Afikuyomi,,,,,Tokunbo Afikuyomi,,Tokunbo Afikuyomi,,Tokunbo Afikuyomi,Tokunbo Afikuyomi,Tokunbo Afikuyomi,male,politician,,,,Tokunbo Afikuyomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140874,Tupele-Ebi Diffa,Tupele-Ebi Diffa,,,,,,,Tupele-Ebi Diffa,,Tupele-Ebi Diffa,,Tupele-Ebi Diffa,Tupele-Ebi Diffa,Tupele-Ebi Diffa,male,politician,,,,Tupele-Ebi Diffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140875,,Ugochukwu Uba,,,,,,,,,,,Ugochukwu Uba,,Ugochukwu Uba,,,,,,Ugochukwu Uba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140876,,Ugbane Yahaye,,,,,,,,,,,Ugbane Yahaye,,Ugbane Yahaye,,,,,,Ugbane Yahaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140877,,Umar Ibrahim Tsauri,,,,,,,,,,,Umar Ibrahim Tsauri,,Umar Ibrahim Tsauri,male,,,,,Umar Ibrahim Tsauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140882,,Usman Kibiya Umar,,,,,,,,,,,Usman Kibiya Umar,,Usman Kibiya Umar,male,,,,,Usman Kibiya Umar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140888,,Victor Ndoma Egbe,,,,,,,,,,,Victor Ndoma Egbe,,Victor Ndoma Egbe,male,,,,Victor,Victor Ndoma Egbe,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Ndoma Egbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140908,,Zik Sunday Ambuno,,,,,,,,,,,Zik Sunday Ambuno,,Zik Sunday Ambuno,,,,,,Zik Sunday Ambuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13651011,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,,Mudasiru Oyetunde Hussein,,,,,Mudasiru Oyetunde Hussein,,Mudasiru Oyetunde Hussein,,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,male,politician,,,,Mudasiru Oyetunde Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13651307,Musiliu Obanikoro,Musiliu Obanikoro,,Musiliu Obanikoro,,,,,Musiliu Obanikoro,,Musiliu Obanikoro,,Musiliu Obanikoro,Musiliu Obanikoro,Musiliu Obanikoro,male,diplomat,1957,,,Musiliu Obanikoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14479598,Wahab Dosumu,Wahab Dosumu,,Wahab Dosumu,,,,,Wahab Dosumu,,Wahab Dosumu,,Wahab Dosumu,Wahab Dosumu,Wahab Dosumu,male,politician,,,,Wahab Dosumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15437956,Iyorchia Ayu,,,Iyorchia Ayu,,,,,Iyorchia Ayu,,Iyorchia Ayu,,Iyorchia Ayu,Iyorchia Ayu,,male,,,,,Iyorchia Ayu,,,,,,34535933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123664342,,,,,,,,,,,,,,
Q16105634,Idi Othman Guda,,,Idi Othman Guda,,,,,Idi Othman Guda,,Idi Othman Guda,,Idi Othman Guda,Idi Othman Guda,,male,politician,1941-08-19,,,Idi Othman Guda,,,,,,,,,,,,,,,,,,,,,,,,,,Idi Othman Guda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16864827,Christopher Nwankwo,,,Christopher Nwankwo,,,,,Christopher Nwankwo,,Christopher Nwankwo,,Christopher Nwankwo,Christopher Nwankwo,,male,politician,1941-09-30,,Christopher,Christopher Nwankwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17541203,Ameh Ebute,,,Ameh Ebute,,,,,Ameh Ebute,,Ameh Ebute,,Ameh Ebute,Ameh Ebute,,male,politician,1946-05-16,,,Ameh Ebute,,,,,,,,,,,,,,,,,,,,,,,,,,Ameh Ebute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18062174,Olufemi Lanlehin,,,Olufemi Lanlehin,,,,,Olufemi Lanlehin,,Olufemi Lanlehin,,Olufemi Lanlehin,Olufemi Lanlehin,,male,politician,1953-07-08,,,Olufemi Lanlehin,,,,,,,,,,,,,,,,,,,,,,,,,,Olufemi Lanlehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
