id,name__es,name,wikipedia__es,name__en,wikipedia__en,gender,given_name,birth_date,name__de,name__it,name__pl,name__fr,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__pl,name__ca,name__gl,name__ru,wikipedia__commons,wikipedia__fr,wikipedia__it,wikipedia__ru,identifier__freebase,name__fi,name__id,wikipedia__fi,wikipedia__id,image,twitter,original_wikiname,name__hu,last_seen,second_surname,family_name,occupation,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__sl,wikipedia__pt,name__la,wikipedia__la,wikipedia__vi,name__ja,facebook,wikipedia__eswikinews,wikipedia__no,wikipedia__de,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__ISNI,wikipedia__ast
Q16733363,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,female,Nidia,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,,,,,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,,,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,Vás,Jiménez,politician,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,,,,,,,,,,,,,,
Q17086999,Ruperto Marvin Atencio Delgado,Ruperto Marvin Atencio Delgado,,Ruperto Marvin Atencio Delgado,Ruperto Marvin Atencio Delgado,male,Ruperto,,Ruperto Marvin Atencio Delgado,Ruperto Marvin Atencio Delgado,,Ruperto Marvin Atencio Delgado,,,,,,,,,,,,,,,,,,,,,Ruperto Marvin Atencio Delgado,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruperto Marvin Atencio Delgado,,,,,,,,,,,,,,,
Q17104166,Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,male,Víctor,"",Víctor Hugo Morales Zapata,,,Víctor Hugo Morales Zapata,,,,,,,Víctor Hugo Morales Zapata,Víctor Hugo Morales Zapata,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/f/f7/Victor_Morales_Zapata,_PAC_-_Costa_Rica.jpg",,Víctor Hugo Morales Zapata,,,,Morales,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Víctor Hugo Morales Zapata,,,,,,,,,,,,,,,
Q17629697,Edgardo Araya Sibaja,Edgardo Araya Sibaja,Edgardo Araya Sibaja,Edgardo Araya Sibaja,,male,Edgardo,1973-02-24,,,,Edgardo Araya Sibaja,Edgardo Araya Sibaja,,,,,,,,,Category:Edgardo Araya,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/Edgardo_Vinicio_Araya_Sibaja.jpg,,Edgardo Araya Sibaja,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgardo Araya Sibaja,,,,,,,,,,,,,,,
Q20994938,Patricia Mora Castellanos,Patricia Mora Castellanos,Patricia Mora Castellanos,Patricia Mora Castellanos,,female,Patricia,"",,,,Patricia Mora Castellanos,Patricia Mora Castellanos,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/6/6c/Patricia_Mora,_FA_-_Costa_Rica.JPG",,Patricia Mora Castellanos,Patricia Mora Castellanos,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patricia Mora Castellanos,,,,,,,,,,,,,,,
Q21005391,Maureen Clarke,Maureen Clarke,,Maureen Clarke,Maureen Clarke,female,Maureen,1952-11-22,,,,Maureen Clarke,Maureen Clarke,,,,,,,,,,,,,,,,,,,,,,,,Clarke,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maureen Clarke,,,,,,,,,,,,,,,
Q2664783,Otto Guevara Guth,Otto Guevara,Otto Guevara Guth,Otto Guevara,Otto Guevara,male,Otto,1960-10-13,,Otto Guevara,Otto Guevara,Otto Guevara Guth,Otto Guevara,Otto Guevara Guth,Otto Guevara Guth,Otto Guevara Guth,Otto Guevara Guth,Otto Guevara,,,Отто Гевара,Category:Otto Guevara,Otto Guevara,Otto Guevara,"Гевара, Отто",/m/02_s_t,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Otto_Guevara.jpg,OttoPresidente,Otto Guevara Guth,Otto Guevara Guth,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otto Guevara Guth,,,,,,,,,,,,,,,
Q26996248,Mario Redondo Poveda,Mario Redondo Poveda,Mario Redondo Poveda,,,male,,1962-10-26,,,,,Mario Redondo Poveda,,,,,,,,,,,,,,,,,,,,Mario Redondo Poveda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27119680,Gerardo Vargas Varela,Gerardo Vargas Varela,Gerardo Vargas Varela,Gerardo Vargas Varela,,male,,1960-09-12,,,,,Gerardo Vargas Varela,,,,,,,,,,,,,,,,,,,,Gerardo Vargas Varela,,,,,human rights activist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27786490,Ligia Fallas Rodríguez,Ligia Fallas Rodríguez,Ligia Fallas Rodríguez,Ligia Fallas Rodríguez,,female,Ligia,1959-09-21,,,,,Ligia Fallas Rodríguez,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Diputada_Ligia_Fallas_.jpg,,Ligia Fallas Rodríguez,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ligia Fallas Rodríguez,,,,,,,,,,,,,,,
Q28501766,Rafael Ortiz Fábrega,Rafael Ortiz Fábrega,Rafael Ortiz Fábrega,Rafael Ortiz Fábrega,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Ortiz Fábrega,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28501926,Jorge Arguedas Mora,Jorge Arguedas Mora,Jorge Arguedas Mora,Jorge Arguedas Mora,,male,Jorge,"",,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/d/d4/Jorge_Arguedas_Mora,_FA_-_Costa_Rica.JPG",,Jorge Arguedas Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Arguedas Mora,,,,,,,,,,,,,,,
Q28501928,Gerardo Vargas Rojas,Gerardo Vargas Rojas,Gerardo Vargas Rojas,Gerardo Vargas Rojas,,male,Gerardo,,,,,,,,,,,,,,,,,,,,,,,,,,Gerardo Vargas Rojas,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28501929,Humberto Vargas Corrales,Humberto Vargas Corrales,Humberto Vargas Corrales,Humberto Vargas Corrales,,male,Humberto,,,,,,,,,,,,,,,,,,,,,,,,,,Humberto Vargas Corrales,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28501930,Natalia Díaz Quintana,Natalia Díaz Quintana,Natalia Díaz Quintana,Natalia Díaz Quintana,,female,Natalia,"",,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Natalia_Díaz_Quintana.jpg,,Natalia Díaz Quintana,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2857521,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,male,Antonio,1958,Antonio Álvarez Desanti,Antonio Álvarez Desanti,,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,Antonio Álvarez Desanti,,,,,Category:Antonio Álvarez Desanti,Antonio Álvarez,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/Antonio_Álvarez_Desanti_dando_discurso_en_La_Florida_de_Hatillo.jpg,,Antonio Álvarez Desanti,Antonio Álvarez Desanti,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Álvarez Desanti,,,,,,,,,,33629246,,n90722721,,0000 0000 3321 2692,
Q40686080,Carmen Quesada,Carmen Quesada,Carmen Quesada,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmen Quesada,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42685517,Fabricio Gerardo Alvarado Muñoz,Fabricio Gerardo Alvarado Muñoz,Fabricio Alvarado,Fabricio Gerardo Alvarado Muñoz,Fabricio Alvarado Muñoz,male,Gerardo,1974-05-30,Fabricio Alvarado Muñoz,Fabricio Alvarado,,Fabricio Alvarado,,,,,,,,,"Альварадо, Фабрисио",Category:Fabricio Alvarado Muñoz,Fabricio Alvarado,,"Альварадо, Фабрисио",,,,,,https://upload.wikimedia.org/wikipedia/commons/1/13/Fabricio_Alvarado_Muñoz.jpg,,Fabricio Alvarado,,,Muñoz,Alvarado,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fabricio Alvarado,,,,,,,,,,,,,,,,,,,Fabricio Alvarado Muñoz,Fabricio Alvarado,,,,ファブリシオ・アルバラド・ムニョス,,,,Fabricio Alvarado,,,,,,
Q52768193,Carolina Hidalgo Herrera,Carolina Hidalgo Herrera,Carolina Hidalgo Herrera,Carolina Hidalgo Herrera,,female,Carolina,,,,,,Carolina Hidalgo Herrera,,,,,,,,,Category:Carolina Hidalgo Herrera,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Carolina_Hidalgo_Herrera.jpg,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CarolinaHHPAC,,,,,,,,,
Q5384033,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,female,,1963-07-04,Epsy Campbell Barr,,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell Barr,,,,Category:Epsy Campbell Barr,Epsy Campbell Barr,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Epsy_Campbell_Barr_2018_(cropped).jpg,,Epsy Campbell Barr,Epsy Campbell Barr,,,,politician,,,Epsy Campbell Barr,,,,,,Epsy Campbell Barr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epsy Campbell Barr,,,,,,,,,,,,,,,,,,,Epsy Campbell Barr,Epsy Campbell Barr,Epsy Campbell,Epsy Campbell,,エプシ・キャンベル・バー,,,,,,,,,,Epsy Campbell Barr
Q55399795,Wagner Alberto Jiménez Zúñiga,Wagner Alberto Jiménez Zúñiga,,Wagner Alberto Jiménez Zúñiga,,,,,,,,,Wagner Alberto Jiménez Zúñiga,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WagnerJimenezDiputado,,,,,,,,,
Q55399796,Carmen Irene Chan Mora,Carmen Irene Chan Mora,,Carmen Irene Chan Mora,,,Carmen,,,,,,Carmen Irene Chan Mora,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CarmenChanDiputada,,,,,,,,,
Q55399797,Pablo Heriberto Abarca Mora,Pablo Heriberto Abarca Mora,,Pablo Heriberto Abarca Mora,,,Pablo,,,,,,Pablo Heriberto Abarca Mora,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pabloheribertoabarca,,,,,,,,,
