id,name__es,name,wikipedia__es,gender,given_name,original_wikiname,name__it,name__en,birth_date,name__ru,name__hu,name__nl,name__de,name__fr,wikipedia__en,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__fr,name__la,wikipedia__de,wikipedia__la,wikipedia__commons,name__pl,name__ca,name__an,name__pt,name__mk,wikipedia__an,wikipedia__ca,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,image,identifier__freebase,identifier__VIAF,identifier__BNF,identifier__SUDOC,twitter,name__fi,name__oc,wikipedia__fi,wikipedia__nl,identifier__FAST,name__gl,name__ko,name__uk,name__hy,name__cs,wikipedia__ko,wikipedia__uk,family_name,name__id,wikipedia__id,identifier__ISNI,identifier__IMDB,last_seen,name__be_tarask,name__zh,name__zh_hant,name__zh_cn,name__ast,name__eu,name__ro,website,wikipedia__eswikiquote,name__ja,instagram,facebook,wikipedia__ast,identifier__MusicBrainz,occupation,identifier__LCAuth,identifier__snac,identifier__youtube,wikipedia__fa,name__fa,name__lt,name__sco,name__sr,wikipedia__cs,wikipedia__hu,wikipedia__lt,wikipedia__ro,wikipedia__sco,wikipedia__sr,name__ar,identifier__ioc_athlete,identifier__cinenacional,identifier__songkick,name__he,wikipedia__sh,name__sh,linkedin,second_surname,name__af,name__bar,name__bm,name__br,name__co,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,identifier__google_plus,name__sl,wikipedia__eu,wikipedia__ruwikinews,identifier__NTA,wikipedia__itwikiquote,identifier__BNE,name__ur,wikipedia__tr,identifier__NKC,name__zh_hans,wikipedia__vi,wikipedia__ar,wikipedia__zh,wikipedia__qu,name__bn,wikipedia__af,wikipedia__he,wikipedia__ka,wikipedia__ur,name__ka,name__el,wikipedia__el,name__th,wikipedia__hy,wikipedia__ja,wikipedia__th,wikipedia__zh_min_nan,identifier__GND,name__qu,name__nan,wikipedia__be_x_old,name__is,name__sr_el,name__be,wikipedia__be,wikipedia__bewikiquote,wikipedia__is,wikipedia__az,wikipedia__et,wikipedia__ms,wikipedia__sk,name__az,name__lmo,wikipedia__arz,wikipedia__lmo,wikipedia__da,name__arz,wikipedia__tt,wikipedia__bg,name__sq,name__zh_hk,name__yue,name__bg,name__tt,name__xmf,wikipedia__br,wikipedia__xmf,wikipedia__vec,wikipedia__ia,wikipedia__sw,wikipedia__eswikinews,wikipedia__sl,name__ml,name__mr,name__tl,name__ckb,name__jv,name__ta,name__bs,name__sgs,name__kk,name__wuu,name__lad,name__bcl,name__uz,name__hi,name__yi,wikipedia__arwikinews,wikipedia__bat_smg,wikipedia__bcl,wikipedia__bn,wikipedia__bs,wikipedia__ckb,wikipedia__enwikiquote,wikipedia__eo,wikipedia__frwikinews,wikipedia__ga,wikipedia__gl,wikipedia__hr,wikipedia__ie,wikipedia__io,wikipedia__jv,wikipedia__kk,wikipedia__lad,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__nlwikinews,wikipedia__oc,wikipedia__pap,wikipedia__plwikiquote,wikipedia__ptwikinews,wikipedia__ptwikiquote,wikipedia__sq,wikipedia__ta,wikipedia__tl,wikipedia__ukwikiquote,wikipedia__uz,wikipedia__wuu,wikipedia__yi,wikipedia__zh_yue,identifier__Britannica,identifier__bigenc_ru,identifier__GTAA,wikipedia__fo,name__fo
Q2179219,Róger Cordero Lara,Róger Cordero Lara,Róger Cordero Lara,male,Róger,Roger Cordero Lara,,Róger Cordero Lara,"",,,Róger Cordero Lara,Róger Cordero Lara,Róger Cordero Lara,,,,,,,,,Róger Cordero Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Róger Cordero Lara,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Róger Cordero Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21979630,Jony Rahal,Jony Rahal,Jony Rahal,male,,Jony Rahal,,Jony Rahal,1974,,,Jony Rahal,,Jony Rahal,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Jony_Rahal.JPG,,,,,jonyrahal,,,,,,,,,,,,,Rahal,,,,,,,,,,Jony Rahal,,,http://www.jonyrahal.com/,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jony Rahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22275207,Melva Paredes,Melva Paredes,Melva Paredes,female,,Melva Paredes,,Melva Paredes,1968-05-03,,,Melva Paredes,,Melva Paredes,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/MElva_paredes.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melva Paredes,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melva Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25147299,Rafael Guzmán,Rafael Guzmán,Rafael Guzmán,male,Rafael,Rafael Guzmán,,Rafael Guzmán,1971-08-13,Давид Гусман,,Rafael Guzmán,,Rafael Guzmán,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Rafael_Guzmán.jpg,,,,,,,,,,,,,,,,,,Guzmán,,,,,,,,,,Rafael Guzmán,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3438429,Omar Barboza,Omar Barboza,Omar Barboza,male,Omar,Omar Barboza,,Omar Barboza,1944-07-27,Омар Барбоса,Omar Barboza,Omar Barboza,Omar Barboza,Omar Barboza,Omar Barboza,,,Omar Barboza,,,,,,,,,,,,,,,,Omar Barboza,,,"Барбоса, Омар",,/m/05msllq,,,,OmarBarbozaDip,,,,,,,,,,,,,,,,,,,,奥马尔·巴尔博扎,奧馬爾·巴爾博扎,,Omar Barboza,,,,,オマー・バルボーザ,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Barboza,,,,,,,,,奥马尔·巴尔博扎,,,奥马尔·巴尔博扎,Omar Barboza,,,,,,,,,,,,,,,Omar Barboza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38003277,Cristóbal Jiménez,Cristóbal Jiménez,Cristóbal Jiménez (músico),male,Cristóbal,Cristóbal Jiménez (músico),,Cristóbal Jiménez,1956-01-18,,,,,Cristóbal Jiménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristóbal Jiménez,,,,,,,,,,musician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristóbal Jiménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q45318878,Omar Prieto,Omar Prieto,Omar Prieto,male,Omar,Omar Prieto,,Omar Prieto,1969-05-25,,,Omar Prieto,,Omar Prieto,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Omar_Prieto.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Prieto,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47928228,Carlos Lozano Parra,Carlos Lozano Parra,Carlos Lozano Parra,male,Carlos,Carlos Lozano Parra,,Carlos Lozano Parra,1973-01-09,,,Carlos Lozano Parra,,Carlos Lozano Parra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Lozano Parra,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Lozano Parra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q552249,Rubén Limardo,Rubén Limardo,Rubén Limardo,male,Rubén,Rubén Limardo,Rubén Limardo,Rubén Limardo,1985-08-03,"Лимардо, Рубен",Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,,Rubén Limardo,,Category:Rubén Limardo,Rubén Limardo,,,Rubén Limardo,,,,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,"Лимардо, Рубен",https://upload.wikimedia.org/wikipedia/commons/5/53/Ruben_Limardo_Masters_epee_2012_n01.jpg,/m/05zhym5,,,,rubenoszki,Rubén Limardo,,Rubén Limardo,Rubén Limardo,,,루벤 리마르도,Рубен Лімардо,,Rubén Limardo,루벤 리마르도,Рубен Лімардо,Limardo,,,,,,,,魯本·里馬爾多,鲁本·里马尔多,Rubén Limardo,,Rubén Limardo,,,,,,,,fencer,,,,,,Rubén Limardo,Rubén Limardo,Рубен Лимардо,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Rubén Limardo,Рубен Лимардо,,,,,,Rubén Limardo,Rubén Limardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubén Limardo,,,,,,,,,鲁本·里马尔多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q55602517,Germán Ferrer,Germán Ferrer,Germán Ferrer,male,Germán,Germán Ferrer,,Germán Ferrer,1944,,,Germán Ferrer,,Germán Ferrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germán Ferrer,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5666983,Alfonso Marquina,Alfonso Marquina,Alfonso Marquina,male,Alfonso,Alfonso Marquina,Alfonso Marquina,Alfonso Marquina,1964-11-30,,,Alfonso Marquina,,Alfonso Marquina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfonso Marquina,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfonso Marquina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
