id,name__et,name__de,name__pl,name__ru,name__fr,name__es,name__en,name__tr,name__nb,name__nl,name__ca,name__oc,name__zh,name__uk,name__da,name__nn,name__sv,name__it,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__it,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__tr,wikipedia__uk,wikipedia__zh,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__ja,wikipedia__ja,image,name__la,name__yo,name__fi,wikipedia__enwikiquote,wikipedia__eswikiquote,wikipedia__fi,wikipedia__la,wikipedia__nl,wikipedia__plwikiquote,wikipedia__yo,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,death_date,identifier__sycomore,identifier__FAST,name__cy,name__el,name__id,name__is,wikipedia__el,wikipedia__id,wikipedia__is,wikipedia__no,name__zh_hans,name__zh_hant,name__zh_hk,name__vi,wikipedia__sv,wikipedia__vi,name__gl,wikipedia__gl,name__bg,wikipedia__bg,name__br,wikipedia__br,name__de_ch,name__en_ca,name__en_gb,name__pt,wikipedia__pt,identifier__LAC,last_seen,family_name,name__zh_cn,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__cs,name__de_at,name__eo,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__fa,name__ar,wikipedia__ar,name__fa,wikipedia__eo,occupation,identifier__NTA
Q3371820,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,,,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,,Paul Mba Abessole,,,Paul Mba Abessole,,,,,,,,male,1939-10-09,/m/046twx,Paul,,ポール・ムバ・アブソーレ,,,,,Paul Mba Abessole,,,,,,,,0000 0000 3362 2034,47070443,,,15512449v,113366175,,,,Paul Mba Abessole,,Paul Mba Abessole,,,,,,,,,Paul Mba Abessole,,,Paul Mba Abessole,,Пол Мба Абесол,Пол Мба Абесол,Paul Mba Abessole,,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,,,,Mba Abessole,,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,Paul Mba Abessole,,,,,,politician,
Q3384462,,,,,Pierre Claver Zeng,Pierre-Claver Zeng Ebome,Pierre-Claver Zeng Ebome,,Pierre Claver Zeng,Pierre-Claver Zeng Ebome,,,,,Pierre Claver Zeng,Pierre Claver Zeng,Pierre Claver Zeng,,Pierre-Claver Zeng Ebome,Pierre-Claver Zeng Ebome,,Pierre-Claver Zeng Ebome,,,Pierre Claver Zeng,,,,,,,,male,1953-09-19,,Pierre,,,,,,,,,,,,,,,0000 0000 7933 0176,120739336,,,137463106,069541809,2010-05-19,,,Pierre-Claver Zeng Ebome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q3430482,,Richard Auguste Onouviet,,,Richard Auguste Onouviet,,Richard Auguste Onouviet,,Richard Auguste Onouviet,Richard Auguste Onouviet,,,,,Richard Auguste Onouviet,Richard Auguste Onouviet,Richard Auguste Onouviet,,,Richard Auguste Onouviet,,Richard Auguste Onouviet,,,Richard Auguste Onouviet,,,,,,,,male,1949-06-14,,Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q383696,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean-Eyeghe Ndong,"Ндонг, Жан Эйег",Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean Eyeghé Ndong,,Jean Eyeghe Ndong,Jean Eyeghe Ndong,,,让·埃耶格·恩东,Жан Ейєг Ндонг,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean Eyeghé Ndong,Jean Eyeghe Ndong,Jean Eyeghé Ndong,Jean Eyeghe Ndong,Jean Eyeghé Ndong,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean Eyeghé Ndong,Jean-Eyeghe Ndong,"Ндонг, Жан Эйег",,,Жан Ейєг Ндонг,让·埃耶格·恩东,male,1946-02-12,/m/0b0x46,Jean,,ジャン・エイエゲ・ンドン,,,,Jean Eyeghe Ndong,Jean Eyeghe Ndong,,,Jean Eyeghe Ndong,,,,Jean Eyeghe Ndong,,,,,,,,,,,Ζαν Εγέγκε Ντονγκ,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Ζαν Εγεγκέ Ν'Ντονγκ,Jean Eyeghe Ndong,Jean Eyeghe Ndong,Jean Eyeghe Ndong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q4759882,,André Dieudonné Berre,,,André Dieudonné Berre,,André Dieudonné Berre,,,André Dieudonné Berre,,,,,,,,,,André Dieudonné Berre,,André Dieudonné Berre,,,,,,,,,,,male,1940-09-03,,André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q4775513,,Antoine Mboumbou Miyakou,,,Antoine Mboumbou Miyakou,,Antoine Mboumbou Miyakou,,,Antoine Mboumbou Miyakou,,,,,,,,,,Antoine Mboumbou Miyakou,,Antoine Mboumbou Miyakou,,,,,,,,,,,male,1937-03-12,,Antoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q515666,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,"Мба, Поль Бийоге",Paul Biyoghe Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghe Mba,Paul Biyoghé Mba,,,保罗·比约格·姆巴,Поль Бійоге Мба,Paul Biyoghe Mba,Paul Biyoghe Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghe Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,"Мба, Поль Бийоге",,Paul Biyoghé Mba,Поль Бійоге Мба,保罗·比约格·姆巴,male,1953-04-18,/m/06zpvp8,Paul,,ポール・ビヨゲ・ムバ,,,,Paul Biyoghé Mba,,,,,,,,Paul Biyoghé Mba,,,,,,,,,,,Πολ Μπιγιογκέ Μπα,,,Πολ Μπιγιογκέ Μπα,,,,保罗·比约格·姆巴,保羅·比約格·姆巴,保羅·比約格·姆巴,Paul Biyoghé Mba,Paul Biyoghé Mba,Paul Biyoghé Mba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q5371552,,Emile Doumba,,,Emile Doumba,,Emile Doumba,,,Emile Doumba,,,,,,,,Emile Doumba,,Emile Doumba,,Emile Doumba,,,,,,,,,,,male,1944-10-29,,Emile,,,,,,,,,,,,,,,,296587494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q5373320,,Emmanuel Ondo Methogo,,,Emmanuel Ondo Methogo,,Emmanuel Ondo Methogo,,,Emmanuel Ondo Methogo,,,,,,,,Emmanuel Ondo Methogo,,Emmanuel Ondo Methogo,,Emmanuel Ondo Methogo,,,,,,,,,,,male,1946-06-24,,Emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q5493259,,François Engongah Owono,,,François Engongah Owono,,François Engongah Owono,,,François Engongah Owono,,,,,,,,,,François Engongah Owono,,François Engongah Owono,,,,,,,,,,,male,1945-07-17,,François,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q5493498,,Françoise Makaya,,,Françoise Makaya,,Françoise Makaya,,,Françoise Makaya,,,,,,,,,,Françoise Makaya,,Françoise Makaya,,,,,,,,,,,female,,,Françoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q57856,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,"Сима, Раймон Ндонг",Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,雷蒙·恩东·希马,Раймон Ндонг Сіма,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,Raymond Ndong Sima,"Сима, Раймон Ндонг",Raymond Ndong Sima,Raymond Ndong Sima,Раймон Ндонг Сіма,雷蒙·恩东·希马,male,1955-01-23,/m/0j46dsz,Raymond,,レイモン・ンドン・シマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q58208,,Paul Toungui,Paul Toungui,,Paul Toungui,Paul Toungui,Paul Toungui,,Paul Toungui,Paul Toungui,Paul Toungui,Paul Toungui,保羅·通吉,,Paul Toungui,Paul Toungui,Paul Toungui,,Paul Toungui,Paul Toungui,Paul Toungui,Paul Toungui,,,Paul Toungui,,Paul Toungui,,,,,,male,1950-09-07,/m/04n43hb,Paul,,ポール・トゥンギ,ポール・トゥンギ,"https://upload.wikimedia.org/wikipedia/commons/a/a0/Paul_Toungui,_IMF_116SJ0504150090lg.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,
Q58286,,Jean Ping,Jean Ping,"Пинг, Жан",Jean Ping,Jean Ping,Jean Ping,,Jean Ping,Jean Ping,Jean Ping,Jean Ping,让·平,Жан Пінг,Jean Ping,Jean Ping,Jean Ping,,Jean Ping,Jean Ping,Jean Ping,Jean Ping,Jean Ping,,Jean Ping,,Jean Ping,"Пин, Жан",,,Жан Пінг,让·平,male,1942-11-24,/m/039vzf,Jean,,ジャン・ピン,ジャン・ピン,https://upload.wikimedia.org/wikipedia/commons/5/5f/Jean_Ping_080202-F-1644L-081_0YWDF.jpg,Ioannes Ping,Jean Ping,Jean Ping,Jean Ping,Jean Ping,Jean Ping,Ioannes Ping,Jean Ping,Jean Ping,Jean Ping,0000 0000 6658 7597,69151771,138930082,no2003012788,144542557,070406693,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean Ping,Jean Ping,,,,,,,,,,,Jean Ping,,Jean Ping,,,,,,,,Jean Ping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean Ping,,,,,,,,,,,جان بينغ,جان بينغ,,Jean Ping,diplomat,
Q5897056,,Honorine Dossou Naki,,,Honorine Dossou Naki,Honorine Dossou Naki,Honorine Dossou Naki,,,Honorine Dossou Naki,,,,,,,,,Honorine Dossou Naki,Honorine Dossou Naki,,Honorine Dossou Naki,,,Honorine Dossou Naki,,,,,,,,female,1946-03-14,,Honorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,
Q5989746,,Idriss Ngari,,,Idriss Ngari,,Idriss Ngari,,,Idriss Ngari,,,,,,,,Idriss Ngari,,Idriss Ngari,,Idriss Ngari,,,,,,,,,,,male,1946-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6120375,,Jacques Adiahénot,,,Jacques Adiahénot,,Jacques Adiahénot,,,Jacques Adiahénot,,,,,,,,,,Jacques Adiahénot,,Jacques Adiahénot,,,,,,,,,,,male,1944-05-11,,Jacques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6169030,,,,,Jean-Boniface Assélé,Jean-Boniface Assélé,Jean-Boniface Assélé,,,Jean-Boniface Assélé,,,,,,,,,Jean-Boniface Assélé,Jean-Boniface Assélé,,Jean-Boniface Assélé,,,,,,,,,,,male,1939-02-09,,Jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6169939,,,,,Jean-Pierre Nguema,,Jean-Pierre Nguema,,,Jean-Pierre Nguema,,,,,,,,,,Jean-Pierre Nguema,,Jean-Pierre Nguema,,,,,,,,,,,male,1932,,Jean-Pierre,,,,,,,,,,,,,,,,,,,,,2008-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
