id,name__fr,name__en,name__ar,name__es,name__de,name__mg,name__nl,name__hu,name,wikipedia__ar,wikipedia__en,wikipedia__fr,wikipedia__mg,gender,occupation,identifier__VIAF,birth_date,identifier__freebase,given_name,original_wikiname,image,name__it,death_date,website,name__yo,name__sv,name__ru,name__tr,wikipedia__de,wikipedia__it,wikipedia__sv,wikipedia__tr,wikipedia__yo,identifier__LCAuth,identifier__BNF,identifier__SUDOC,family_name,identifier__ISNI,identifier__NTA,name__eu,name__he,name__ca,name__ja,name__de_ch,name__el,name__en_ca,name__en_gb,name__eo,name__pl,name__sh,wikipedia__ca,wikipedia__el,wikipedia__es,wikipedia__eu,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__plwikiquote,wikipedia__ru,wikipedia__sh,identifier__GND,identifier__SELIBR,identifier__CANTIC,identifier__GNC,identifier__EGAXA,identifier__FAST,name__pt,name__fa,wikipedia__fa,name__zh,identifier__PACE,name__vi,wikipedia__vi,name__ary,name__arq,name__hr,name__cy,wikipedia__pt,wikipedia__commons,wikipedia__pl,name__io,name__fi,name__id,name__ckb,name__oc,name__ku,name__ro,name__be,wikipedia__be,wikipedia__ckb,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ku,wikipedia__oc,wikipedia__ro,name__nb,name__uk,name__et,name__bg,name__ast,name__da,name__nn,name__la,wikipedia__ast,wikipedia__bg,wikipedia__et,wikipedia__la,wikipedia__no,wikipedia__uk,wikipedia__zh,name__nds,identifier__snac,name__ko,wikipedia__ko,identifier__persee,identifier__bigenc_ru,name__fo,name__kl,identifier__Britannica,identifier__NUKAT,name__bn,identifier__ne_se,wikipedia__simple,name__pt_br,name__sl,name__bar,identifier__GTAA,name__zu,twitter,instagram,facebook
Q24203093,Abderrahmane Hejira,,,,,,Abderrahmane Hejira,,Abderrahmane Hejira,,,Abderrahmane Hejira,,male,,,1931,,,Abderrahmane Hejira,https://upload.wikimedia.org/wikipedia/commons/5/59/Abderrahmane_hjira.jpg,,2001-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25378031,Rahhal El Makkaoui,,,,,,,,Rahhal El Makkaoui,,,Rahhal El Makkaoui,,male,,,1971-03-19,,,Rahhal El Makkaoui,https://upload.wikimedia.org/wikipedia/commons/2/24/Rahal_el_makkaoui.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2735733,Karim Ghellab,Karim Ghellab,كريم غلاب,Karim Ghellab,Karim Ghellab,Karim Ghellab,Karim Ghellab,Karim Ghellab,Karim Ghellab,كريم غلاب,Karim Ghellab,Karim Ghellab,Karim Ghellab,male,politician,,1966-12-14,/m/0j63g_z,Karim,Karim Ghellab,https://upload.wikimedia.org/wikipedia/commons/b/b8/Karim_Ghellab_cropped.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karim Ghellab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karim Ghellab,,,,,,
Q2735742,Mohammed Achaari,Mohammed Achaari,محمد الأشعري,Mohammed Achaari,Mohammed Achaari,,Mohammed Achaari,Mohammed Achaari,Mohammed Achaari,محمد الأشعري,Mohammed Achaari,Mohammed Achaari,,male,politician,44463333,1951,/m/02q8vp1,Mohammed,Mohammed Achaari,"https://upload.wikimedia.org/wikipedia/commons/f/f1/Mohammed_Achaari_and_Rajaa_Alem,_joint_winners_of_the_2011_Arabic_Booker_Prize.jpg",,,,,Mohammed Achaari,,,,,Mohammed Achaari,,,,135555947,161572413,,0000 0001 2279 169X,084341432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد الأشعری,محمد الأشعری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammed Achaari,,,,,,
Q27514767,Abdellah Drissi El Bouzidi,Abdellah Drissi El Bouzidi,,,,,Abdellah Drissi El Bouzidi,,Abdellah Drissi El Bouzidi,,,Abdellah Drissi El Bouzidi,,male,politician,,,,,Abdellah Drissi El Bouzidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27962429,Faouzi Chaâbi,,,,,,Faouzi Chaâbi,,Faouzi Chaâbi,,,Faouzi Chaâbi,,male,businessperson,,,,Faouzi,Faouzi Chaâbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28146571,Mohamed Jamal Bouzidi Tiali,Mohamed Jamal Bouzidi Tiali,,,,,Mohamed Jamal Bouzidi Tiali,,Mohamed Jamal Bouzidi Tiali,,,Mohamed Jamal Bouzidi Tiali,,male,politician,,,,Mohamed,Mohamed Jamal Bouzidi Tiali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Jamal Bouzidi Tiali,,,,,,
Q2820964,Abdelali Abdelmoula,Abdelali Abdelmoula,,Abdelali Abdelmoula,Abdelali Abdelmoula,,,Abdelali Abdelmoula,Abdelali Abdelmoula,,,Abdelali Abdelmoula,,male,politician,,1948-05-15,,,Abdelali Abdelmoula,,Abdelali Abdelmoula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelali Abdelmoula,Abdelali Abdelmoula,,,,,
Q2820995,Abdelaziz Lemsioui,Abdelaziz Messioui,,,,,,,Abdelaziz Lemsioui,,,Abdelaziz Messioui,,male,politician,,1944,,Abdelaziz,Abdelaziz Messioui,,Abdelaziz Messioui,2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelaziz Messioui,,,,,,
Q2821002,Abdelaziz Rabbah,Aziz Rabbah,عزيز الرباح,Aziz Rabbah,Aziz Rabbah,Abdelaziz Rabbah,Aziz Rabbah,Aziz Rabbah,Abdelaziz Rabbah,عزيز الرباح,Aziz Rabbah,Aziz Rabbah,Abdelaziz Rabbah,male,politician,105824302,1962,/m/0j7l8gl,Aziz,Aziz Rabbah,https://upload.wikimedia.org/wikipedia/commons/7/77/2014_-_Morocco_WMD_Parallel_Event_(3)_(cropped).jpg,,,,,,,,,,,,,,,,,0000 0000 7677 2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,আজিজ রাব্বাহ,,,,Aziz Rabbah,,,,,,
Q2821036,Abdelhak Tazi,Abdelhak Tazi,,,,,,,Abdelhak Tazi,,,Abdelhak Tazi,,male,politician,,"",,,Abdelhak Tazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelhak Tazi,,,,,,
Q2821045,Abdelhamid Aouad,Abdelhamid Aouad,,,,,,,Abdelhamid Aouad,,,Abdelhamid Aouad,,male,politician,,,,Abdelhamid,Abdelhamid Aouad,,Abdelhamid Aouad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelhamid Aouad,,,,,,
Q2821052,Abdelhamid Chabat,Hamid Chabat,حميد شباط,,Hamid Chabat,,Hamid Chabat,,Abdelhamid Chabat,حميد شباط,Hamid Chabat,Abdelhamid Chabat,,male,politician,212930512,1953-08-17,/m/0n8_qk4,Hamid,Abdelhamid Chabat,,,,,,,,,,,,,,,,,,0000 0001 3893 9329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamid Chabat,,,,,,
Q2821074,Abdelkader Amara,Abdelkader Aamara,عبد القادر اعمارة,Abdelkader Aamara,Abdelkader Aamara,,Abdelkader Aamara,Abdelkader Aamara,Abdelkader Amara,عبد القادر اعمارة,Abdelkader Aamara,Abdelkader Amara,,male,politician,,1962-01-28,/m/0k0t_gh,Abdelkader,Abdelkader Amara,https://upload.wikimedia.org/wikipedia/commons/3/34/Aamara-Abdelkader-PJD-(2012-01-03).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelkader Aamara,Abdelkader Aamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelkader Aamara,,,,,,
Q2821125,Abdellah Azmani,Abdellah Azmani,,,,,,,Abdellah Azmani,,,Abdellah Azmani,,male,politician,,1947,,,Abdellah Azmani,,Abdellah Azmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdellah Azmani,,,,,,
Q2821143,Abdellah el-Kadiri,Abdellah el-Kadiri,,,,,,,Abdellah el-Kadiri,,,Abdellah Kadiri,,male,politician,,1937,,,Abdellah Kadiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdellah el-Kadiri,,,,,,
Q2821148,Abdellatif Ghissassi,Abdellatif Ghissassi,,,,,,,Abdellatif Ghissassi,,,Abdellatif Ghissassi,,male,politician,,1937-11,,,Abdellatif Ghissassi,,Abdellatif Ghissassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdellatif Ghissassi,,,,,,
Q2821156,Abdellatif Semlali,Abdellatif Semlali,,,,,,,Abdellatif Semlali,,,Abdellatif Semlali,,male,politician,,1938-12-17,,,Abdellatif Semlali,,Abdellatif Semlali,2001-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdellatif Semlali,,,,,,
Q2821217,Abdelwahed Radi,Abdelwahed Radi,عبد الواحد الراضي,,Abdelwahed Radi,,Abdelwahed Radi,,Abdelwahed Radi,عبد الواحد الراضي,Abdelwahed Radi,Abdelwahed Radi,,male,politician,,1935,/m/0hn9_jy,,Abdelwahed Radi,https://upload.wikimedia.org/wikipedia/commons/0/01/Abdelwahed_Radi.png,,,,,,,Abdülvahit Radi,,,,Abdülvahit Radi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Abdelwahed Radi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelwahed Radi,,,,,,
Q2821231,Abderrahim Benabdejlil,Abderrahim Benabdejlil,,,,,,,Abderrahim Benabdejlil,,,Abderrahim Benabdejlil,,male,politician,,1932,,Abderrahim,Abderrahim Benabdejlil,,,2007-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abderrahim Benabdejlil,,,,,,
Q2821238,Abderrahim Qanir,Abderrahim Qanir,,Abderrahim Qanir,Abderrahim Qanir,Abderrahim Qanir,Abderrahim Qanir,Abderrahim Qanir,Abderrahim Qanir,,Abderrahim Qanir,Abderrahim Qanir,Abderrahim Qanir,male,politician,,1958-08-19,,Abderrahim,Abderrahim Qanir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abderrahim Qanir,,,,,,
Q2821242,Abderrahmane Amalou,Abderrahmane Amalou,,,,,,,Abderrahmane Amalou,,,Abderrahmane Amalou (homme politique),,male,politician,,1938-04-06,,Abd al-Rahman,Abderrahmane Amalou (homme politique),https://upload.wikimedia.org/wikipedia/commons/6/62/Abderrahman_Amalou_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abderrahmane Amalou,,,,,,
Q2821271,Abderrazak Afilal el-Alami Idrissi,Abderrazak Afilal el-Alami Idrissi,,,,,,,Abderrazak Afilal el-Alami Idrissi,,,Abderrazak Afilal Alami Idrissi,,male,politician,,,,,Abderrazak Afilal Alami Idrissi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abderrazak Afilal el-Alami Idrissi,,,,,,
Q2821299,Abdessamad Kayouh,Abdessamad Qaiouh,عبد الصمد قيوح,,Abdessamad Qaiouh,,Abdessamad Qaiouh,,Abdessamad Kayouh,عبد الصمد قيوح,Abdessamad Qaiouh,Abdessamad Kayouh,,male,politician,,1966-04-11,,,Abdessamad Kayouh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdessamad Qaiouh,,,,,,
Q2827486,Ahmed Alami,Ahmed Alami,أحمد العلمي,,,,,,Ahmed Alami,أحمد العلمي,,Ahmed Alami,,male,politician,,1939-03-15,,Ahmed,Ahmed Alami,,Ahmed Alami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Alami,,,,,,
Q2827504,Ahmed Belhaj,Ahmed Belhaj,,,,,,,Ahmed Belhaj,,,Ahmed Belhaj,,male,politician,,,,Ahmed,Ahmed Belhaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Belhaj,,,,,,
Q2827580,Ahmed Hilal,Ahmed Hilal,أحمد هلال,,,,,,Ahmed Hilal,,,Ahmed Hilal,,male,politician,,1952-06-15,,Ahmed,Ahmed Hilal,,Ahmed Hilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Hilal,,,,,,
Q2827621,Ahmed Mekouar,Ahmed Mekouar,,,,,Ahmed Mekouar,,Ahmed Mekouar,,,Ahmed Mekouar,,male,politician,,1892,,Ahmed,Ahmed Mekouar,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Mekouar,,,,,,
Q2830450,Alami Tazi,Alami Tazi,محمد العلمي التازي,,Alami Tazi,,Alami Tazi,,Alami Tazi,محمد العلمي التازي (سياسي),,Alami Tazi,,male,politician,,1930-03-03,,Muhammed,Alami Tazi,,,2011-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alami Tazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alami Tazi,,,,,,
Q2836130,Ali Belhaj,Ali Belhaj,,,,,,,Ali Belhaj,,,Ali Belhaj,,male,politician,,1961-11-21,,Ali,Ali Belhaj,https://upload.wikimedia.org/wikipedia/commons/1/14/Belhaj_Ali_Congrès_17_février_2012.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Belhaj,,,,,,
Q2843414,Amine Lahcen Demnati,Amine Lahcen Demnati,,,,,,,Amine Lahcen Demnati,,,Amine Lahcen Demnati,,male,politician,,1949-12-15,,,Amine Lahcen Demnati,,Amine Lahcen Demnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amine Lahcen Demnati,,,,,,
Q2866705,Asmaa Chaâbi,Asma Chaabi,أسماء الشعبي,,Asma Chaabi,,Asma Chaabi,,Asmaa Chaâbi,أسماء الشعبي,Asma Chaabi,Asmaa Chaâbi,,female,politician,,1962-09-10,,Asma,Asmaa Chaâbi,,,,,,,"Шааби, Асма",,,,,,,,,,,,,,,,,,,,,,Asma Chaabi,,,,,,,,,,"Шааби, Асма",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asma Chaabi,,,,,,
Q2887438,Bassima Hakkaoui,Bassima Hakkaoui,بسيمة الحقاوي,,Bassima Hakkaoui,,Bassima Hakkaoui,,Bassima Hakkaoui,بسيمة الحقاوي,Bassima Hakkaoui,Bassima Hakkaoui,,female,politician,,1960-10-05,/m/0k0x32_,,Bassima Hakkaoui,https://upload.wikimedia.org/wikipedia/commons/1/17/Bassima_Hakkaoui_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Bassima Hakkaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bassima Hakkaoui,,,,,,
