id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election,of
Q12665225,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12670786,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12670846,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q12671512,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12672733,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12678481,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12679000,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12679521,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1282407,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1291415,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1304328,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1305783,Q121998,ambassador,diplomatic envoy,"",,,,,,,
Q1305783,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1310448,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1361304,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1361333,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1361333,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2009-07-14,Seventh European Parliament,2012-11-15,,,Lithuania,2009 European Parliament election,
Q1361333,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,,,,Lithuania,2014 European Parliament election,
Q1376538,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1376538,Q25470413,Minister of National Defence,in Lithuania,2006-07-04,,2008-12-09,Gediminas Kirkilas,Rasa Juknevičienė,,,
Q1376538,Q25470413,Minister of National Defence,in Lithuania,2012-12-13,,,Rasa Juknevičienė,,,,
Q1376538,Q25707086,Minister of Health,Lithuanian cabinet position,2003-03-10,,2004-11-29,Konstantinas Romualdas Dobrovolskis,Žilvinas Padaiga,,,
Q1395873,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1395873,Q30185,mayor,head of municipal government such as a town or city,2004-11-12,,2005-12-12,Viktoras Muntianas,Nijolė Naujokienė,,,Kėdainiai
Q1397662,Q140686,chairperson,"leading or presiding officer of an organized group such as a board, committee, or deliberative assembly",2016-06-11,,2017-10-20,,,,,Liberal Movement
Q1397662,Q30185,mayor,head of municipal government such as a town or city,2015-04-22,,,Artūras Zuokas,,,,Vilnius City Municipality
Q1427363,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q14777562,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15137300,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15137892,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15138158,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15138159,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15138166,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15138267,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q15138320,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15138339,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15138466,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1523239,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15240798,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1525171,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1557883,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q15728551,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q15782189,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q17126647,Q18507240,Member of the Seimas,member of the Lithuanian parliament,2014,,2016,,,,,
Q1713862,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1722310,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q172310,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1750302,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1762792,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1776528,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1797471,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q1825682,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1963591,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q204847,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q204847,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,Sixth European Parliament,2009-06-15,,,Lithuania,2004 European Parliament election,
Q204847,Q845439,Prime Minister of Lithuania,position,2001-06-20,,2001-07-03,Rolandas Paksas,Algirdas Brazauskas,,,
Q2063954,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q2080450,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q2080450,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,,,,Lithuania,2014 European Parliament election,
Q2129494,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q2453848,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q2484497,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q2484511,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q2528578,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q2543218,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q2649570,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q2689019,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q270330,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q270360,Q12663218,Speaker of the Seimas,"",2009-09-15,,2012-11-16,Arūnas Valinskas,Vydas Gedvilas,,,
Q270360,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q270360,Q845439,Prime Minister of Lithuania,position,1999-05-04,,1999-05-18,Gediminas Vagnorius,Rolandas Paksas,,,
Q270360,Q845439,Prime Minister of Lithuania,position,1999-10-27,,1999-11-03,Rolandas Paksas,Andrius Kubilius,,,
Q271646,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q271646,Q25470413,Minister of National Defence,in Lithuania,2008-12-09,,2012-12-13,Juozas Olekas,Juozas Olekas,,,
Q3182186,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q336647,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q339166,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q3460966,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q3467052,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q3467069,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q3498754,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q356704,Q12663218,Speaker of the Seimas,"",2000-10-19,,2004-04-06,Vytautas Landsbergis,Česlovas Juršėnas,,,
Q356704,Q12663218,Speaker of the Seimas,"",2004-07-12,,2006-04-11,Česlovas Juršėnas,Viktoras Muntianas,,,
Q356704,Q18507240,Member of the Seimas,member of the Lithuanian parliament,2004-07-12,,2006-04-11,,,,,
Q356704,Q878222,President of the Republic of Lithuania,president of Lithuania,2003-02-06,,2004-04-06,Valdas Adamkus,,,,
Q3610379,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q3660989,Q25707086,Minister of Health,Lithuanian cabinet position,2016-03-15,,2016-10-16,Rimantė Šalaševičiūtė,,,,
Q3672199,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q3672207,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q3672324,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q3672343,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q3672360,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q3672488,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q3672697,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q371858,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q374996,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q391280,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q391280,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,Sixth European Parliament,2009-07-13,,,Lithuania,2004 European Parliament election,
Q394006,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q394006,Q845439,Prime Minister of Lithuania,position,2012-11-22,,2016-11-22,Andrius Kubilius,Saulius Skvernelis,,,
Q395152,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q512022,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q512068,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q540683,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q540722,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q541252,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q541252,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,Fifth European Parliament,2004-07-19,,,Lithuania,,
Q541349,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q541371,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q541431,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q541498,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q547404,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q552283,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q552497,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,2017-06-06,,,,,
Q556431,Q12663218,Speaker of the Seimas,"",2012-11-16,,2013-10-03,Irena Degutienė,Loreta Graužinienė,,,
Q556443,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q556555,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q557926,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q557932,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q557932,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,,,,Lithuania,2014 European Parliament election,
Q562964,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q574618,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q5765050,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q57663,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q57663,Q18507240,Member of the Seimas,member of the Lithuanian parliament,1992,,,,,,,
Q57663,Q845439,Prime Minister of Lithuania,position,1999-11-03,,2000-10-26,Rolandas Paksas,Rolandas Paksas,,,
Q57663,Q845439,Prime Minister of Lithuania,position,2008-11-26,,2012-11-22,Gediminas Kirkilas,Algirdas Butkevičius,,,
Q5767027,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q58201,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q58201,Q25894090,Minister of Foreign Affairs,Lithuanian cabinet position,2010-02-11,,2012-12-13,Vygaudas Ušackas,Linas Antanas Linkevičius,,,
Q59723,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q59725,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q6556452,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q6556452,Q18507240,Member of the Seimas,member of the Lithuanian parliament,2012-11-17,,2016-02-17,,,,,
Q6556452,Q25707086,Minister of Health,Lithuanian cabinet position,2014-07-17,,2016-02-17,Vytenis Andriukaitis,Juras Požela,,,
Q661497,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q676437,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q716059,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q717619,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q759040,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q774300,Q165055,European Commissioner for Health and Consumer Policy,position,"",,,,,,,
Q774300,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q774300,Q25707086,Minister of Health,Lithuanian cabinet position,2012-12-13,,2014-07-14,Raimondas Šukys,Rimantė Šalaševičiūtė,,,
Q774843,Q12663218,Speaker of the Seimas,"",2013-10-03,,2013-12-31,Vydas Gedvilas,Viktoras Pranckietis,,,
Q82512,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q8266325,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q8266439,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q8288349,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q909575,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q9144510,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q9160077,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q9160077,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,Fifth European Parliament,2004-07-19,,,Lithuania,,
Q9180013,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q922691,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q927567,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q9310614,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q9334049,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q9368131,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q9369194,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q9370800,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q9387971,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q940498,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q951815,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q955656,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
