id,name__lt,name__de,name__pl,name__nl,name__en,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,name,wikipedia__de,wikipedia__lt,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__la,name__ja,name__ru,name__uk,name__el,name__zh,name__be,name__lv,name__ie,name__sr,name__fa,name__ko,name__vi,name__sgs,wikipedia__bat_smg,wikipedia__be,wikipedia__ca,wikipedia__da,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fr,wikipedia__gl,wikipedia__ie,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__nl,wikipedia__ru,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,image,identifier__freebase,identifier__parlement,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__oc,wikipedia__eo,wikipedia__fi,identifier__EuroparlMEP,name__he,name__id,name__ar,name__be_tarask,name__io,wikipedia__ar,wikipedia__be_x_old,wikipedia__cs,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__plwikiquote,identifier__NTA,name__ltg,name__yo,name__mg,wikipedia__af,wikipedia__ltg,wikipedia__ltwikiquote,wikipedia__mg,wikipedia__svwikiquote,wikipedia__yo,name__ka,wikipedia__ka,identifier__Munzinger,identifier__LNB,wikipedia__enwikiquote,wikipedia__ro,death_date,name__az,wikipedia__az,identifier__NUKAT,name__de_ch,website,wikipedia__ast,wikipedia__br,wikipedia__commons,last_seen,identifier__GTAA,family_name,twitter,facebook,identifier__PACE,wikipedia__hsb,name__hsb,wikipedia__bg,name__bg,name__zh_hant,name__zh_cn,occupation,name__en_ca,name__en_gb,wikipedia__sq,identifier__google_knowledge,wikipedia__hu,identifier__NNDB,wikipedia__simple,identifier__BIBSYS,identifier__NLP,wikipedia__vo,name__ba,wikipedia__ba,name__hy,wikipedia__hy,name__lfn,name__pt_br,identifier__FAST,wikipedia__ruwikinews,name__sr_el,name__sr_ec,name__mn,name__zh_hans,wikipedia__hr,wikipedia__mn,wikipedia__sk,wikipedia__sl,wikipedia__cswikiquote,name__ty,name__fo,name__kl,wikipedia__cy,wikipedia__ml,instagram,identifier__youtube,name__ml
Q1261946,Algimantas Dumbrava,Algimantas Dumbrava,Algimantas Dumbrava,Algimantas Dumbrava,Algimantas Dumbrava,,,Algimantas Dumbrava,,,,,,,,,,Algimantas Dumbrava,,,,Algimantas Dumbrava,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algimantas Dumbrava,,,,,,,Algimantas Dumbrava,Algimantas Dumbrava,Algimantas Dumbrava,Algimantas Dumbrava,male,1958-06-28,Algimantas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12647705,Alfredas Stasys Nausėda,Alfredas Stasys Nausėda,Alfredas Stasys Nausėda,,Alfredas Stasys Nausėda,,,Alfredas Stasys Nausėda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfredas Stasys Nausėda,Alfredas Stasys Nausėda,Alfredas Stasys Nausėda,Alfredas Stasys Nausėda,male,1950-06-17,Alfredas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12647769,Algimantas Kirkutis,Algimantas Kirkutis,Algimantas Kirkutis,,Algimantas Kirkutis,,,Algimantas Kirkutis,,,,,,,,,,Algimantas Kirkutis,,,,Algimantas Kirkutis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algimantas Kirkutis,Algimantas Kirkutis,Algimantas Kirkutis,Algimantas Kirkutis,male,1954-02-06,Algimantas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395154260765724480002,1178543455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12648570,Antanas Baura,Antanas Baura,Antanas Baura,Antanas Baura,Antanas Baura,,,Antanas Baura,,,,,,,,,,Antanas Baura,,,,Antanas Baura,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antanas Baura,,,,,,,Antanas Baura,Antanas Baura,Antanas Baura,Antanas Baura,male,1955-11-21,Antanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12649270,Arvydas Mockus,Arvydas Mockus,Arvydas Mockus,Arvydas Mockus,Arvydas Mockus,,,Arvydas Mockus,,,,,,,,,,Arvydas Mockus,,,,Arvydas Mockus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arvydas Mockus,,,,,,,Arvydas Mockus,Arvydas Mockus,Arvydas Mockus,Arvydas Mockus,male,1960-02-05,Arvydas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mockus,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12649485,Audrius Nakas,Audrius Nakas,Audrius Nakas,Audrius Nakas,Audrius Nakas,,,Audrius Nakas,,,,,,,,,,Audrius Nakas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audrius Nakas,,,,,,,Audrius Nakas,Audrius Nakas,Audrius Nakas,,male,1967,Audrius,,,,,,,,,,,,,,,,,,,,,Audrius Nakas,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Audrius_Nakas.jpg,,,,3440154260821924480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nakas,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12651414,Bronislovas Matelis,Bronislovas Matelis,Bronislovas Matelis,,Bronislovas Matelis,,,Bronislovas Matelis,,,,,,,,,,Bronislovas Matelis,,,,Bronislovas Matelis,,,,,,,,,Bronislovas Matelis,,,,,,,,,,,,,,,,,,,,,,,,,,Bronislovas Matelis,Bronislovas Matelis,Bronislovas Matelis,Bronislovas Matelis,male,1961-09-03,Bronislovas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12652448,Darius Kaminskas,Darius Kaminskas,Darius Kaminskas,,Darius Kaminskas,,,Darius Kaminskas,,,,,,,,,,Darius Kaminskas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darius Kaminskas,Darius Kaminskas,Darius Kaminskas,Darius Kaminskas,male,1966-03-16,Darius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaminskas,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12652455,Darius Petrošius,Darius Petrošius,Darius Petrošius,,Darius Petrošius,,,Darius Petrošius,,,,,,,,,,,,,,Darius Petrošius,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darius Petrošius,,,,,,,Darius Petrošius,Darius Petrošius,Darius Petrošius,Darius Petrošius,male,1975-07-02,Darius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12652459,Darius Ulickas,Darius Ulickas,Darius Ulickas,Darius Ulickas,Darius Ulickas,,,Darius Ulickas,,,,,,,,,,Darius Ulickas,,,,Darius Ulickas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darius Ulickas,,,,,,,Darius Ulickas,Darius Ulickas,Darius Ulickas,Darius Ulickas,male,1971-04-21,Darius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12657570,Jolita Vaickienė,Jolita Vaickienė,Jolita Vaickienė,Jolita Vaickienė,Jolita Vaickienė,,,Jolita Vaickienė,,,,,,,,,,,,,,Jolita Vaickienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jolita Vaickienė,,,,,,,Jolita Vaickienė,Jolita Vaickienė,Jolita Vaickienė,Jolita Vaickienė,female,1970-09-25,Jolita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12658659,Juozas Rimkus,Juozas Rimkus,Juozas Rimkus,,Juozas Rimkus,,,Juozas Rimkus,,,,,,,,,,Juozas Rimkus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juozas Rimkus,Juozas Rimkus,Juozas Rimkus (1960),Juozas Rimkus,male,1960-09-14,Juozas,,,,,,,,,,,,,,,Jūzaps Rimkos,Jūzaps Rimkos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rimkus,,,,,,,,,,agronomist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12662030,Kęstutis Bartkevičius,Kęstutis Bartkevičius,Kęstutis Bartkevičius,Kęstutis Bartkevičius,Kęstutis Bartkevičius,,,Kęstutis Bartkevičius,,,,,,,,,,,,,,Kęstutis Bartkevičius,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kęstutis Bartkevičius,,,,,,,Kęstutis Bartkevičius,Kęstutis Bartkevičius,Kęstutis Bartkevičius,Kęstutis Bartkevičius,male,1961-03-02,Kęstutis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Kęstutis_Bartkevičius.jpg,,,,2739154260425824480006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Kęstutis Bartkevičius,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12662091,Kęstutis Pūkas,Kęstutis Pūkas,Kęstutis Pūkas,,Kęstutis Pūkas,,,Kęstutis Pūkas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kęstutis Pūkas,Kęstutis Pūkas,Kęstutis Pūkas,Kęstutis Pūkas,male,1952-11-29,Kęstutis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Kestutis_Pukas_by_Augustas_Didzgalvis.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrepreneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12662500,Larisa Dmitrijeva,Larisa Dmitrijeva,Łarisa Dmitrijewa,Larisa Dmitrijeva,Larisa Dmitrijeva,,,Larisa Dmitrijeva,,,,,,,,,,Larisa Dmitrijeva,,,,Larisa Dmitrijeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larisa Dmitrijeva,,,,,,,Larisa Dmitrijeva,Larisa Dmitrijeva,Larisa Dmitrijeva,Łarisa Dmitrijewa,female,1950-02-18,Larisa,,,,"Дмитриева, Лариса",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Дмитриева, Лариса Васильевна",,,,,,,,,,0000 0001 1206 2194,163148701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
