id,name__en,name__ga,name__de,name__nl,name__fr,name,wikipedia__en,wikipedia__ga,gender,given_name,website,original_wikiname,name__ru,birth_date,name__es,name__nb,name__da,name__nn,name__sv,name__hu,wikipedia__de,identifier__VIAF,identifier__ISNI,identifier__BNF,identifier__SUDOC,death_date,identifier__BNE,image,wikipedia__nl,identifier__freebase,name__pl,wikipedia__fr,wikipedia__pl,family_name,identifier__EuroparlMEP,name__sco,wikipedia__sco,name__fi,name__ca,wikipedia__ca,wikipedia__fi,wikipedia__commons,name__ro,wikipedia__ro,wikipedia__sv,name__it,name__gv,name__tr,name__ie,name__zh,wikipedia__gv,wikipedia__ie,wikipedia__it,wikipedia__tr,wikipedia__zh,identifier__LCAuth,name__cy,wikipedia__plwikiquote,identifier__Britannica,name__lb,name__eu,name__qu,name__gd,name__ko,name__be,name__yo,name__ms,name__gl,name__et,name__ja,name__sh,name__pt,name__sr,name__uk,name__la,name__cs,name__bg,name__pt_br,name__ta,name__el,name__eo,name__war,name__lmo,name__oc,name__lt,name__fa,name__he,name__hy,name__ar,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hy,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__ms,wikipedia__no,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__uk,wikipedia__war,wikipedia__yo,identifier__NNDB,identifier__parlement,identifier__IMDB,identifier__FAST,identifier__N6I,name__br,wikipedia__br,name__id,name__bn,name__be_tarask,name__ckb,name__az,name__af,name__hi,wikipedia__af,wikipedia__az,wikipedia__be_x_old,wikipedia__bn,wikipedia__ckb,wikipedia__hiwikiquote,wikipedia__id,wikipedia__nn,identifier__GND,identifier__NTA,identifier__Munzinger,identifier__journalisted,identifier__hansard,identifier__TWFY,identifier__parliamentary_record,identifier__bbc_democracy_live,twitter,wikipedia__itwikiquote,identifier__OpenPlaques,wikipedia__vi,name__vi,name__bar,name__zh_hant,name__zh_cn,identifier__PACE,identifier__parliamentDOTuk,name__hsb,wikipedia__hsb,identifier__google_knowledge,identifier__guardian_topic,occupation,identifier__GTAA,identifier__snac,wikipedia__enwikinews,facebook,identifier__quora,identifier__BBC_things,name__en_gb,wikipedia__hi,wikipedia__is,name__is,name__mr,wikipedia__hu,wikipedia__mr,wikipedia__ta,name__hr,name__sk,name__tt,wikipedia__tt,name__fo,name__kl,name__kana,identifier__BIBSYS,name__en_ca,identifier__SELIBR,name__sl,wikipedia__lrc,identifier__bigenc_ru,name__an,name__ast,name__bm,name__co,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__gsw,name__ia,name__io,name__jam,name__kab,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__NUKAT,name__lv,identifier__rush,name__lrc,honorific_suffix,identifier__oireachtas,identifier__Oxforddnb,identifier__national_archives,identifier__OLID,identifier__wikitree,noble_title,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__hr,identifier__NLI,identifier__ne_se,identifier__GNC,identifier__NLAtrove,wikipedia__oc,name__kk,wikipedia__kk,identifier__DoUB,identifier__CTHS,name__sr_el,name__fy,wikipedia__ast,wikipedia__fy,identifier__CLARA,name__tl,identifier__persee,identifier__BAV,identifier__NLA,name__ka,wikipedia__io,wikipedia__ka,identifier__CONOR,identifier__nlg,identifier__Gutenberg,name__th,wikipedia__th,name__sr_ec,wikipedia__svwikiquote,name__mk,name__lzh,name__yue,name__kn,name__szl,name__nan,wikipedia__frwikiquote,wikipedia__kn,wikipedia__mk,wikipedia__nnwikiquote,wikipedia__sk,wikipedia__szl,wikipedia__ur,wikipedia__zh_classical,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__NPG,identifier__CANTIC,wikipedia__pms,wikipedia__slwikiquote,wikipedia__ukwikiquote,wikipedia__itwikisource,wikipedia__lv,wikipedia__simplewikiquote,identifier__NKC,identifier__NLP,identifier__LNB,name__bs,wikipedia__bs,name__pnb,name__ku,name__ur,wikipedia__ku,wikipedia__pnb,wikipedia__sl,identifier__nobel_prize,name__ext,wikipedia__mg,identifier__britishmuseum,wikipedia__cswikiquote,identifier__CSPAN,identifier__NDL,identifier__LAC,identifier__BVMC,wikipedia__dewikiquote,identifier__filmportal_de,identifier__kinopoisk,identifier__allmovie,name__ml,name__uz,wikipedia__ml,wikipedia__uz,identifier__ricorso,identifier__ainm,name__ty,wikipedia__wuu,name__wuu,name__ee,wikipedia__min,wikipedia__fo,identifier__CiNii,identifier__ni_assembly,identifier__parliamentid,identifier__ukparliamentid,wikipedia__vo
Q1699359,John Boland,,John Boland,John Boland,John Boland,John Boland,John Boland (Fine Gael politician),,male,John,,,Джон Боланд,1944-11-30,John Boland,,,,,John Boland,John Boland (Politiker),,,,,2000-08-14,,,,/m/02qchx,,,,Boland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,John Boland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John-Boland.S.1969-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1706677,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan (Fianna Fáil politician),Joseph Brennan,male,Joseph,,,"Бреннан, Джозеф",1912-02-14,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan,Joseph Brennan (Politiker),,,,,1980-07-13,,,,/m/03ybkb,,Joseph Brennan (personnalité politique),,Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جوزيف برينان,جوزيف برينان,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Бреннан, Джозеф",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaelic football player,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph-Brennan.D.1951-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1727081,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,male,Neil,,,,1922-10-01,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,Neil Blaney,5860050,0000 0000 7867 2545,,,1995-11-08,,,,/m/01m_m_,Neil Blaney,,Neil Blaney,Blaney,1019,,,,,,,,Neil Blaney,Neil Blaney,,,,,,,,,,,,no91013374,,,,,,,,,,,,,,,,,,,,Neil Blaney,,,,,,,,,,,,,نيل بلاني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286486,,,,,,,,,,,,,,,,,,,12421665X,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Neil Blaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neil-TC-Blaney.D.1948-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q173196,Michael Collins,Mícheál Ó Coileáin,Michael Collins,Michael Collins,Michael Collins,Michael Collins,Michael Collins (Irish leader),Mícheál Ó Coileáin,male,Michael,,,Майкл Джон Коллинз,1890-10-16,Michael Collins,Michael Collins,Michael Collins,Michael Collins,Michael Collins,Michael Collins,Michael Collins (Irland),50019269,0000 0001 1639 4751,,,1922-08-22,,https://upload.wikimedia.org/wikipedia/commons/d/db/Michael_Collins_1922.jpg,Michael Collins (Iers politicus),/m/0p3kb,Michael Collins,Michael Collins (homme politique),Michael Collins (irlandzki przywódca),Collins,,Michael Collins,Michael Collins,Michael Collins,Mícheál Ó Coileáin,Mícheál Ó Coileáin,Michael Collins (irlantilainen vapaustaistelija),Mícheál Ó Coileáin,,,Michael Collins (irländsk ledare),Michael Collins,,Michael Collins,,迈克尔·柯林斯,,,Michael Collins (patriota),Michael Collins (İrlandalı önder),迈克尔·柯林斯,n50026853,Michael Collins,Michael Collins,biography/Michael-Collins-Irish-statesman,,Michael Collins,,Mícheál Ó Coileáin,마이클 콜린스,Майкл Колінз,,Michael Collins,Michael Collins,,マイケル・コリンズ,Michael Collins,Michael Collins,Мајкл Колинс,Майкл Коллінз,,Michael Collins,Майкъл Колинс,,,Μάικλ Κόλινς,Michael Collins,Michael Collins,,Michael Collins,,مایکل کولین,מייקל קולינס,,مايكل كولينز,مايكل كولينز (سياسي أيرلندي),Майкл Колінз (Ірландыя),Майкъл Колинс (политик),Michael Collins (politik),Michael Collins,Michael Collins,Μάικλ Κόλινς (Ιρλανδός ηγέτης),Michael Collins (Irish leader),,Michael Collins (politikisto),Michael Collins (líder irlandés),,Michael Collins,مایکل کولینز (رهبر ایرلندی),Mícheál Ó Coileáin (ceannard Èireannach),Michael Collins (político),מייקל קולינס,,マイケル・コリンズ (政治家),마이클 콜린스 (정치인),,,,,Michael Collins,Michael Collins (1890–1922),Michael Collins,,"Коллинз, Майкл Джон",Michael Collins,Michael Collins (Irish leader),Мајкл Колинс (ирски вођа),Майкл Коллінз (ірландський лідер),Michael Collins (Irlandes nga pinuno),,360/000098066,,,8868,,Mícheál Ó Coileáin,Mícheál Ó Coileáin,Michael John Collins,,,مایکڵ کۆلینز,,,,,,,,مایکڵ کۆلینز,,Michael John Collins,Michael Collins,11866977X,070760896,,,mr-michael-collins,,,,,,,Michael Collins,Michael Collins,,邁克爾·柯林斯,迈克尔·柯林斯,,,,,,,politician,,w65504z9,,,,,,,Michael Collins (byltingarleiðtogi),Michael Collins,,Michael Collins (ír vezető),,,Michael Collins,Michael Collins,,,,,,90953730,,,Michael Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8140,,,Michael-Collins.D.1919-01-21,32506,F36189,,Collins-1984,,迈克尔·柯林斯,米高·柯林斯,迈克尔·柯林斯,麥可·柯林斯,Michael Collins (revolucionar),,michael-collins-(1890-1922),,,Michael Collins,,,,,Majkl Kolins,,,,,,,ADV10066553,,მაიკლ კოლინზი,,მაიკლ კოლინზი (რევოლუციონერი),,,,,,Мајкл Колинс,,Мајкл Колинс,米高·哥連斯,米高・哥連斯,ಮೈಕಲ್ ಕಾಲಿನ್ಸ್,Michael Collins,Michael Collins,Michael Collins,ಮೈಕಲ್ ಕಾಲಿನ್ಸ್,Мајкл Колинс,Michael Collins,Michael Collins (írsky líder),Michael Collins (irlandzki polityker),مائیکل کولنز (آئرش رہنما),米高哥連斯,Michael Collins (chèng-tī-ka),米高·哥連斯,mp54760,,,,,,,,,,,,,,,مائیکل کولنز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1740089,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,male,Kevin,,,,1917-10-15,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,Kevin Boland,18580055,0000 0000 3276 7661,,,2001-09-23,,,,/m/01n0c6,,,,Boland,,,,,,,,,,,,,,,,,,,,,,n82210474,Kevin Boland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Boland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin-Boland.D.1957-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b/Boland_K/life,1511,,,,,,,,,,,
Q175181,James O'Keeffe,James O'Keeffe,James O’Keeffe,James O'Keeffe,James O'Keeffe,James O'Keeffe,James O'Keeffe,James O'Keeffe,male,James,,,,1912,James O'Keeffe,James O'Keeffe,James O'Keeffe,James O'Keeffe,James O'Keeffe,James O'Keeffe,James O’Keeffe,,,,,1986-05,,,,/m/02rg2kw,,,,O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جيمس أوكيفي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,James O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James-J-O'Keeffe.S.1956-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1792782,Noel Coonan,Noel Coonan,Noel Coonan,Noel Coonan,Noel Coonan,Noel Coonan,Noel Coonan,Noel Coonan,male,Noel,http://www.noelcoonan.com/,,,1951-01-06,Noel Coonan,,,,,Noel Coonan,Noel Coonan,,,,,,,,,/m/056smd,,,,Coonan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Noel Coonan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noel-Coonan.S.2002-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1808009,Laurence O'Neill,Laurence O'Neill,Laurence O’Neill,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,male,Laurence,,,,1874,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,Laurence O'Neill,Laurence O’Neill,,,,,1943-07-26,,"https://upload.wikimedia.org/wikipedia/commons/3/34/Right_Hon_Laurence_O'Neill_The_Lord_Mayor_cropped_from_Ireland's_National_Pledge,_April_1918.jpg",,/m/04gt35b,,,,O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Laurence O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurence-O'Neill.D.1922-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1822660,Liam Aylward,Liam Aighleart,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aighleart,male,Liam,http://www.liamaylward.com,,,1952-09-27,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aylward,Liam Aylward,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/8/8b/Flickr_-_DEEEP_Project_-_MEP_Liam_Aylward,_Ireland.jpg",,/m/054rjh,Liam Aylward,,Liam Aylward,Aylward,28114,Liam Aylward,Liam Aylward,Liam Aylward,,,Liam Aylward,,Liam Aylward,Liam Aylward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Liam Aylward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam-Aylward.D.1977-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1822664,Liam Kavanagh,,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,,male,Liam,,,,1935-02-09,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,Liam Kavanagh,,,,,,,,,/m/043w9c,,,,Kavanagh,796,,,,,,,,Liam Kavanagh,Liam Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Liam Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam-Kavanagh.D.1969-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1822671,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,,male,Liam,,,,1944-05-30,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,,,,,1996-11-16,,,,/m/0d5jx0,Liam Naughten,Liam Naughten,,Naughten,,Liam Naughten,,Liam Naughten,Liam Naughten,,,,Liam Naughten,,,Liam Naughten,,,Liam Naughten,,,,,,,,Liam Naughten,,,Liam Naughten,Liam Naughten,,Liam Naughten,,,,Liam Naughten,Liam Naughten,Liam Naughten,,,Liam Naughten,,,,Liam Naughten,,Liam Naughten,,,Liam Naughten,,,Liam Naughten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam Naughten,,Liam Naughten,,,,,Liam Naughten,,,,,,,,,,,,,,,,,,,,,,Liam Naughten,Liam Naughten,,,,,,,,,politician,,,,,,,Liam Naughten,,,Liam Naughten,,,,,Liam Naughten,Liam Naughten,,,,,,,Liam Naughten,,Liam Naughten,,,Liam Naughten,Liam Naughten,,Liam Naughten,Liam Naughten,Liam Naughten,,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,,,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,,Liam Naughten,Liam Naughten,,,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,,Liam Naughten,Liam Naughten,Liam Naughten,Liam Naughten,,,,,,Liam-Naughten.S.1981-10-08,,,,,,,,,,,,,,,,,,,,Liam Naughten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1822676,Liam T. Cosgrave,,Liam T. Cosgrave,Liam T. Cosgrave,Liam T. Cosgrave,Liam T. Cosgrave,Liam T. Cosgrave,,male,Liam,,,,1956-04-30,Liam T. Cosgrave,,,,,Liam T. Cosgrave,Liam T. Cosgrave,,,,,,,,,/m/07ww6v,,Liam T. Cosgrave,,Cosgrave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Liam T. Cosgrave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam-T-Cosgrave.D.1981-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1899995,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,male,Mark,,,Марк Клинтон,1915-02-07,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,Mark Clinton,,,,,2001-12-23,,,,,,,,Clinton,1725,,,,,,,,Mark Clinton,Mark Clinton,,,,,,,,,,,,,Mark Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مارك كلينتون,مارك كلينتون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Mark Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark-A-Clinton.D.1961-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q202245,James Ryan,James Ryan,James Ryan,James Ryan,James Ryan,James Ryan,James Ryan (Irish politician),James Ryan,male,James,,,,1891-12-06,James Ryan,James Ryan,James Ryan,James Ryan,James Ryan,James Ryan,James Ryan (Politiker),315945180,,,,1970-09-25,,,,/m/01m_pl,,,,Ryan,,,,,,,,,,,,James Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ג'יימס ריאן,,جيمس ريان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr-james-ryan,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,James Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9173,,,James-Ryan.D.1919-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210881,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2057699,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,male,Patrick,,,,1920-11-25,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,Patrick J. Reynolds,,,,,2003-12-27,,,,,,Patrick Reynolds (1920-2003),,Reynolds,,,,,,,,,,,,,,,,,,,,,,,Patrick J. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Patrick J. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick-J-Reynolds.D.1961-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2057774,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,male,Patrick,,,,1884-06-17,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,Patrick Little,315945567,,,,1963-05-16,,,,/m/05n05y,,,,Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פטריק ליטל,,باتريك ليتل,باتريك ليتل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick-J-Little.D.1927-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2057801,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,male,Patrick,,,,1889-04-12,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,Patrick McGilligan,315945049,,,,1979-11-15,,,,,,Patrick McGilligan,,McGilligan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Patrick McGilligan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick-McGilligan.D.1923-11-03,,,,,,,,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
