id,name__nl,name__en,name__tl,name__es,name__de,name__fr,name__hu,name__ja,name,wikipedia__en,wikipedia__nl,wikipedia__tl,gender,identifier__VIAF,birth_date,given_name,original_wikiname,wikipedia__de,name__pl,name__ru,name__it,name__nb,name__da,name__nn,name__sv,name__id,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__it,wikipedia__pl,wikipedia__ru,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__freebase,identifier__NTA,identifier__Munzinger,twitter,identifier__FAST,name__bcl,name__ilo,name__zh,wikipedia__bcl,wikipedia__commons,wikipedia__ilo,name__zh_hans,name__zh_hant,name__zh_hk,name__pam,name__pag,name__qu,name__ko,name__he,name__uz,name__ceb,name__cbk_zam,name__lv,name__vi,name__el,name__ia,name__ga,name__ar,name__pt,name__ro,name__th,name__fi,name__la,name__war,name__cs,name__az,name__hr,name__ca,name__af,name__an,name__br,name__eo,name__et,name__eu,name__gl,name__is,name__lb,name__lmo,name__lt,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__tr,name__wa,name__gsw,name__fa,name__uk,name__kk,name__ms,name__sr,name__my,wikipedia__ar,wikipedia__az,wikipedia__ca,wikipedia__cbk_zam,wikipedia__ceb,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__ia,wikipedia__itwikiquote,wikipedia__ja,wikipedia__kk,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__ms,wikipedia__my,wikipedia__no,wikipedia__pag,wikipedia__pam,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__sr,wikipedia__sv,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__zh,identifier__BNF,identifier__IMDB,website,identifier__NNDB,death_date,name__nan,name__zh_cn,name__zh_sg,name__zh_tw,name__jv,name__ml,name__bg,name__co,name__de_ch,name__en_ca,name__en_gb,name__fo,name__fy,name__haw,name__io,name__ksh,name__mg,name__nds,name__oc,name__pap,name__pdc,name__pih,name__pt_br,name__scn,name__sco,name__sc,name__yo,name__ta,name__hy,name__bn,name__am,name__be,name__gu,name__ha,name__ht,name__ig,name__km,name__ku,name__ur,wikipedia__af,wikipedia__als,wikipedia__am,wikipedia__be,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__bn,wikipedia__co,wikipedia__dewikiquote,wikipedia__eo,wikipedia__fo,wikipedia__fy,wikipedia__ha,wikipedia__haw,wikipedia__ht,wikipedia__ig,wikipedia__io,wikipedia__is,wikipedia__jv,wikipedia__km,wikipedia__ksh,wikipedia__ku,wikipedia__lb,wikipedia__mg,wikipedia__ml,wikipedia__nds,wikipedia__nn,wikipedia__oc,wikipedia__pap,wikipedia__pdc,wikipedia__pih,wikipedia__plwikiquote,wikipedia__pms,wikipedia__scn,wikipedia__sco,wikipedia__sc,wikipedia__simple,wikipedia__sq,wikipedia__ta,wikipedia__ur,wikipedia__yo,wikipedia__zh_min_nan,identifier__CiNii,identifier__NDL,identifier__GTAA,name__ast,name__bar,name__cy,name__de_at,name__frp,name__fur,name__gd,name__ie,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pcd,name__rm,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wo,name__zu,name__mk,name__yue,name__mr,name__ka,wikipedia__br,wikipedia__enwikisource,wikipedia__hy,wikipedia__ka,wikipedia__lt,wikipedia__mk,wikipedia__mr,wikipedia__sk,wikipedia__sw,wikipedia__zh_yue,identifier__NLA,family_name,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__CSFD,occupation,identifier__wikitree,wikipedia__fawikiquote,facebook,wikipedia__bi,name__bi,identifier__nyt_topic,wikipedia__enwikinews,identifier__snac,name__ty,identifier__quora,wikipedia__thwikiquote
Q16149679,Sol Aragones,Sol Aragones,,,Sol Aragones,Sol Aragones,,,Sol Aragones,Sol Aragones,,,female,,1977-11-06,Sol,Sol Aragones,,,,Sol Aragones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,
Q16150268,Erico Aristotle Aumentado,Erico Aristotle Aumentado,,,Erico Aristotle Aumentado,Erico Aristotle Aumentado,,,Erico Aristotle Aumentado,Erico Aristotle Aumentado,,,male,,1977-12-29,,Erico Aristotle Aumentado,,,,Erico Aristotle Aumentado,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/ArisAumentado.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16192880,,Ping-Ping Tejada,,,,,,,Ping-Ping Tejada,Jose I. Tejada,,,male,,1958-06-10,,Jose I. Tejada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16197189,,Raneo Abu,,,Raneo Abu,Raneo Abu,,,Raneo Abu,Raneo Abu,,,male,,1967,,Raneo Abu,,,,Raneo Abu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16735147,,Regina Ongsiako Reyes,,,Regina Ongsiako Reyes,Regina Ongsiako Reyes,,,Regina Ongsiako Reyes,Regina Reyes Mandanas,,,female,,1964-07-03,Regina,Regina Ongsiako Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16886227,,Sitti Djalia Turabin,,,Sitti Djalia Turabin,,,,Sitti Djalia Turabin,Sitti Djalia Turabin,,,female,,1976-11-26,,Sitti Djalia Turabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q16935127,Mikee Romero,Mikee Romero,,,Mikee Romero,Mikee Romero,,,Mikee Romero,Mikee Romero,,,male,,1971-03-21,,Mikee Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polo player,,,,,,,,,,,
Q1706872,Ace Durano,Joseph Ace Durano,,Joseph Ace Durano,Joseph Durano,Joseph Ace Durano,Joseph Ace Durano,,Joseph Ace Durano,Ace Durano,,,male,,1970-04-03,Joseph,Joseph Ace Durano,Joseph Durano,,,,,,,,,,,,,,,,,,,,/m/02r6yz7,,,,,,,,,,,,,,,,,,,,Ace Durano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ace Durano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q17370912,,Erlpe John Amante,Erlpe John Amante,,,,,,Erlpe John Amante,Erlpe John Amante,,Erlpe John Amante,male,,,,Erlpe John Amante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17370935,,Antonio Tinio,Antonio Tinio,,,,,,Antonio Tinio,Antonio Tinio,,Antonio Tinio,male,,,Antonio,Antonio Tinio,,,,Antonio Tinio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q17371060,Eufranio Eriguel,Eufranio Eriguel,Eufranio Eriguel,Eufranio Eriguel,Eufranio Eriguel,,,,Eufranio Eriguel,Eufranio Eriguel,,Eufranio Eriguel,male,,"",,Eufranio Eriguel,Eufranio Eriguel,,,Eufranio Eriguel,,,,,,,,,,,,,,,,,,,,,,,Eufranio Eriguel,,,,Eufranio Eriguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q17371175,,Mark Villar,Mark Villar,,,,,,Mark Villar,Mark Villar,,Mark Villar,male,,1978-08-14,Mark,Mark Villar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17371180,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,male,,1962-08-11,Mel,Mel Senen Sarmiento,,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,,Mel Senen Sarmiento,,,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,,Mel Senen Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,,Mel Senen Sarmiento,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,Mel Senen Sarmiento,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q17371261,Martin Romualdez,Ferdinand Martin Romualdez,Ferdinand Martin Romualdez,,,,,,Ferdinand Martin Romualdez,Martin Romualdez,,Martin Romualdez,male,,1963-11-14,Ferdinand,Martin Romualdez,,,,Martin Romuáldez,,,,,,,,,Martin Romuáldez,,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Congressman_Martin_Romualdez_and_Mrs._Yedda_Marie_Kittilstvedt-Romualdez.jpg,,,,,/m/012wqblm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.martinromualdez.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q17371262,,Roman Romulo,Roman Romulo,,,,,,Roman Romulo,Roman Romulo,,Roman Romulo,male,,1967-02-28,Roman,Roman Romulo,,,,Roman Romulo,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Roman_Romulo_portrait.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q17371286,Josephine Sato,Josephine Sato,Josephine Sato,,,,,,Josephine Sato,Josephine Sato,,Josephine Sato,female,,1954-04-29,Josephine,Josephine Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17371295,,Danilo Suarez,Danilo Suarez,,,,,,Danilo Suarez,Danilo Suarez,,Danilo Suarez,male,,1942-12-20,Danilo,Danilo Suarez,,,,Danilo Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17466123,,Barry Gutierrez,,,Barry Gutierrez,Barry Gutierrez,,,Barry Gutierrez,Barry Gutierrez,,,male,,1974-02-02,Barry,Barry Gutierrez,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Barry_at_HREP.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18062098,Carlos Isagani Zarate,Carlos Isagani Zarate,,,Carlos Isagani Zarate,,,,Carlos Isagani Zarate,Carlos Isagani Zarate,,,male,,1967-05-14,Carlos,Carlos Isagani Zarate,,,,Carlos Isagani Zarate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q18686221,,Felix William Fuentebella,Felix William Fuentebella,,,Felix William Fuentebella,,,Felix William Fuentebella,Felix William Fuentebella,,Felix William Fuentebella,male,,1975-02-05,Felix,Felix William Fuentebella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19960435,Lino Cayetano,Lino Cayetano,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,Lino Cayetano,Lino Cayetano,Lino Cayetano,,male,,1978-01-04,Lino,Lino Cayetano,,Lino Cayetano,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lino Cayetano,,Lino Cayetano,Lino Cayetano,,Lino Cayetano,Lino Cayetano,,Lino Cayetano,,,Lino Cayetano,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,,Lino Cayetano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,,Lino Cayetano,,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,Lino Cayetano,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q2163117,"Rolando Andaya, Jr.","Rolando Andaya, Jr.",Rolando Andaya Jr.,Rolando Andaya Jr.,"Rolando Andaya, Jr.",Rolando Andaya Jr.,,,"Rolando Andaya, Jr.",Rolando Andaya Jr.,,Rolando Andaya Jr.,male,,1969-03-10,Rolando,"Rolando Andaya, Jr.","Rolando Andaya, Jr.",,,Rolando Andaya Jr.,,Rolando Andaya Jr.,,Rolando Andaya Jr.,Rolando Andaya Jr.,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Gloria_Macapagal_Arroyo_WEF_2009-crop.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolando Andaya Jr.,Rolando Andaya Jr.,,,,,,,,,,,Rolando Andaya Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolando Andaya Jr.,,,,,,,,,,Rolando Andaya Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,Rolando Andaya Jr.,,
Q2194971,Teddy Baguilat jr.,Teddy Baguilat,,,,,,,Teddy Baguilat,Teddy Baguilat,Teddy Baguilat jr.,,male,,1966-07-30,Teddy,Teddy Baguilat,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Teddy_Baguilat.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q2197580,Vilma Santos,Vilma Santos,Vilma Santos,Vilma Santos,Vilma Santos,Vilma Santos,Vilma Santos,ヴィルマ・サントス,Vilma Santos,Vilma Santos,Vilma Santos,Vilma Santos,female,24332550,1953-11-03,Vilma,Vilma Santos,,,Вильма Сантос,Vilma Santos,,,,,Vilma Santos,Vilma Santos,,Vilma Santos,Vilma Santos,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Governor_Vilma_Santos-Recto.jpg,,,,,/m/06btv3,,,,,,Vilma Santos,比尔马·桑托斯,,,Vilma Santos,,比爾馬·桑托斯,,Vilma Santos,Vilma Recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vilma Recto,Vilma Santos,,,,,,,,,,,,,,,nm0764298,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vilma Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vilma Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,
Q22007288,"Samuel Pagdilao, Jr.","Samuel Pagdilao, Jr.",,,,,,,"Samuel Pagdilao, Jr.",Samuel Pagdilao,,,male,,1957-02-13,Samuel,Samuel Pagdilao,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Pagdilao-Samuel.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2258161,Enrico Echiverri,Enrico Echiverri,Enrico Echiverri,,,Enrico Echiverri,,,Enrico Echiverri,Enrico Echiverri,Enrico Echiverri,Enrico Echiverri,male,,1954-11-18,Enrico,Enrico Echiverri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrico Echiverri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
