id,name__en,name,wikipedia__en,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__CiNii,identifier__IMDB,identifier__NDL,identifier__NLA,birth_date,identifier__freebase,identifier__NKC,family_name,given_name,website,identifier__RSL,identifier__NLI,identifier__dmoz,identifier__NTA,identifier__BIBSYS,identifier__NUKAT,identifier__NNDB,identifier__CANTIC,identifier__Munzinger,identifier__GNC,identifier__EGAXA,identifier__Britannica,identifier__parlement,twitter,facebook,identifier__AlloCine,identifier__JewishEnc,death_date,identifier__MGP,identifier__BNE,identifier__PTBNP,identifier__BAV,birth_name,identifier__N6I,identifier__GTAA,identifier__MusicBrainz,identifier__discogs,identifier__SELIBR,identifier__OpenPlaques,identifier__NPG,identifier__NLP,name__he,wikipedia__he,name__zh,name__pl,name__eu,name__es,name__ta,name__af,name__oc,name__ms,name__hu,name__et,name__sq,name__el,name__bcl,name__my,name__nl,name__sv,name__ar,name__pt,name__is,name__eo,name__yi,name__ru,name__sr,name__tr,name__fi,name__uk,name__nn,name__io,name__sco,name__hr,name__tl,name__da,name__nan,name__gsw,name__ko,name__be,name__fr,name__lad,name__yo,name__lv,name__it,name__gl,name__de,name__id,name__ja,name__vi,name__wuu,name__sk,name__kn,name__fy,name__ro,name__ca,name__la,name__cy,name__war,name__cs,name__fa,name__bg,name__mr,name__arc,name__ka,name__nds,name__lt,name__nb,name__ckb,name__de_ch,name__en_ca,name__en_gb,name__pam,name__pt_br,name__sh,name__gv,name__az,name__ur,name__ie,name__arz,name__ml,name__mk,name__mzn,name__fo,name__hy,name__bn,wikipedia__af,wikipedia__als,wikipedia__arc,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikinews,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__fy,wikipedia__gl,wikipedia__gv,wikipedia__hewikinews,wikipedia__hewikiquote,wikipedia__hewikisource,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__lad,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__mzn,wikipedia__nds,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vi,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh,name__hi,wikipedia__hi,name__jv,wikipedia__jv,wikipedia__simplewikiquote,name__mo,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__br,name__sr_el,name__sr_ec,name__ast,name__be_tarask,name__sl,name__ksh,wikipedia__ast,wikipedia__be_x_old,wikipedia__br,wikipedia__ksh,wikipedia__sl,wikipedia__trwikiquote,name__vmf,wikipedia__dewikiquote,name__pnb,name__scn,name__ku,name__qu,name__bs,name__yue,wikipedia__arwikiquote,wikipedia__bgwikiquote,wikipedia__bswikiquote,wikipedia__idwikiquote,wikipedia__ku,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__scn,wikipedia__zh_yue,name__ga,name__tg_latn,name__mn,name__th,name__tg,wikipedia__bs,wikipedia__ga,wikipedia__mn,wikipedia__tg,wikipedia__th,name__ang,name__an,name__li,name__cv,name__kk,name__lb,name__nap,name__bar,name__tt,name__vo,name__de_at,name__min,name__lez,wikipedia__ang,wikipedia__an,wikipedia__bar,wikipedia__cv,wikipedia__fiwikiquote,wikipedia__kk,wikipedia__lb,wikipedia__lez,wikipedia__li,wikipedia__min,wikipedia__nap,wikipedia__nowikiquote,wikipedia__tt,wikipedia__vo,wikipedia__frwikiquote,name__mg,wikipedia__mg,name__uz,wikipedia__uz,name__os,wikipedia__mk,wikipedia__os,wikipedia__thwikiquote,name__szl,wikipedia__szl,name__ht,wikipedia__ht,wikipedia__liwikiquote,name__ba,name__pa,name__ku_arab,name__ku_latn,wikipedia__ba,wikipedia__pa,wikipedia__srwikiquote,wikipedia__svwikiquote,name__mwl,name__si,wikipedia__fawikiquote,wikipedia__mwl,wikipedia__si,wikipedia__slwikiquote,name__lij,name__new,name__nov,name__krc,wikipedia__azwikiquote,wikipedia__krc,wikipedia__kuwikiquote,wikipedia__lij,wikipedia__new,wikipedia__nlwikiquote,wikipedia__nov,name__sw,name__rue,name__wa,name__hif,name__sgs,name__pms,name__lrc,wikipedia__bat_smg,wikipedia__glwikiquote,wikipedia__hif,wikipedia__kowikiquote,wikipedia__lrc,wikipedia__pms,wikipedia__rue,wikipedia__ruwikisource,wikipedia__sw,wikipedia__wa,name__diq,wikipedia__diq,name__bm,name__co,name__frc,name__frp,name__fur,name__gd,name__ia,name__jam,name__kab,name__kg,name__nds_nl,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__vec,name__vls,name__wo,name__zu,wikipedia__kl,name__kl,identifier__NLAtrove,instagram,wikipedia__frwikinews,wikipedia__hywikiquote,wikipedia__azb,original_wikiname,identifier__FAST,identifier__OLID,identifier__NLC,identifier__rotten_tomatoes,identifier__BNC,name__azb,identifier__NSZL,identifier__ORCID,identifier__DoUB,identifier__SFDb,identifier__CSPAN,identifier__zbMATH,identifier__PORT,identifier__KLfG,last_seen,identifier__kinopoisk,wikipedia__cawikiquote,name__ceb,name__eml,name__frr,name__hak,name__hsb,name__nah,name__zea,wikipedia__xmf,name__xmf,identifier__filmportal_de,identifier__senate_nl,identifier__allmovie,name__kana,identifier__PACE,identifier__SCOPE,identifier__CSFD,wikipedia__hsb,identifier__bigenc_ru,identifier__wikitree,wikipedia__ky,identifier__dialnet,identifier__google_knowledge,identifier__guardian_topic,wikipedia__bewikiquote,wikipedia__lmo,name__lmo,occupation,identifier__nobel_prize,identifier__livejournal,identifier__youtube,identifier__google_plus,identifier__nyt_topic,identifier__nlg,identifier__ne_se,name__dsb,name__pfl,name__als,name__ky,identifier__quora,identifier__snac,wikipedia__arwikinews,wikipedia__dewikinews,wikipedia__rowikinews,wikipedia__srwikinews,wikipedia__svwikinews,wikipedia__eswikinews,wikipedia__itwikinews,wikipedia__trwikinews,identifier__politifact,identifier__persee,wikipedia__gom,name__gom,identifier__BVMC,name__ext,identifier__DNF,identifier__BBC_things,wikipedia__ay,name__ay,political_alignment,identifier__LAC,email,name__ne,wikipedia__ne,pseudonym,identifier__LNB,identifier__NSK,wikipedia__tk,wikipedia__sm,name__tk,name__sm,identifier__CONOR,identifier__goodreads,wikipedia__got,name__got,wikipedia__lfn,name__lfn,name__hil,name__aeb_arab,name__mai,wikipedia__mai,wikipedia__zea,identifier__CTHS,identifier__google_scholar,name__te,identifier__flickr,name__mt,name__hyw,wikipedia__hyw
Q18759744,Bezalel Smotrich,בצלאל סמוטריץ',Bezalel Smotrich,https://upload.wikimedia.org/wikipedia/commons/a/aa/Smotrich.jpg,male,,365144782725176410435,,,,,,,,,1980-02-27,,,,Bezalel,,,,,,,,,,,,,,,bezalelsm,Bezazelsmotrich,,,,,,,,,,,,,,,,,בצלאל סמוטריץ',בצלאל סמוטריץ',,Becalel Smotricz,,Bezalel Smotrich,,,,,,,,,,,Bezalel Smotrich,,بتسلإيل سموتريش,,,,,,,,,,,,,,Bezalel Smotrich,,,,,,Bezalel Smotrich,,,,,,Bezalel Smotrich,,ベザレル・スモットリッチ,,,,,,,Bezalel Smotrich,,,,Becal'el Smotrič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بتسلإيل سموتريش,,,,,,,,,Category:Bezalel Smotrich,Becal'el Smotrič,,,,Bezalel Smotrich,,,,,,,,,,,,,,,,,,,בצלאל סמוטריץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Becalel Smotricz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bezalel Smotrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בצלאל סמוטריץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,UClHfYQSOP49VxCPWHwxeORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bezalel Smotrich,,,,,,,,,,,
Q18764191,Revital Swid,רויטל סויד,Revital Swid,https://upload.wikimedia.org/wikipedia/commons/8/89/חברת_הכנסת_רויטל_סויד_באולפן_רדיו_תל_אביב.jpg,female,,,,,,,,,,,1967-08-17,,,,,,,,,,,,,,,,,,,swid4,SwidRevital,,,,,,,,,,,,,,,,,רויטל סויד,רויטל סויד,,Rewital Swid,,Revital Swid,,,,,,,,,,,Revital Swid,,رفيتال سويد,,,,,,,,,,,,,,,,,,,,Revital Swid,,,,,,Revital Swid,,,,,,,,,Revital Swid,,,,Revital Swid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رفيتال سويد,,,,,,,,,,Revital Swid,,,,Revital Swid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rewital Swid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revital Swid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רויטל סויד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18785311,Yoav Kish,יואב קיש,Yoav Kish,https://upload.wikimedia.org/wikipedia/commons/f/f2/יואב_קיש.jpg,male,,,,,,,,,,,1968-12-06,,,,,http://www.kisch.co.il,,,,,,,,,,,,,,YoavKisch,kisch.yoav,,,,,,,,,,,,,,,,,יואב קיש,יואב קיש,,Jo’aw Kisz,,Yoav Kish,,,,,,,,,,,Yoav Kish,,يوآف كيش,,,,,,,,,,,,,,,,,,,,Yoav Kish,,,,,,Yoav Kish,,,,,,,,,Yoav Kish,,,,Jo'av Kiš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,يوآف كيش,,,,,,,,,Category:Yoav Kish,Jo'av Kiš,,,,Yoav Kish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jo’aw Kisz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoav Kish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יואב קיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aircraft pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18814813,Ksenia Svetlova,קסניה סבטלובה,Ksenia Svetlova,https://upload.wikimedia.org/wikipedia/commons/a/a4/Ksenia_Svetlova_(19189478480)_(cropped)_(cropped).jpg,female,0000 0004 0210 5447,297393851,,,,,,,,,1977-07-28,,,,Ksenia,,,,,,,,,,,,,,,KseniaSvetlova,SvetlovaKsenia,,,,,,,,,,,,,,,,,קסניה סבטלובה,קסניה סבטלובה,,Ksienija Swietłowa,,Ksenia Svetlova,,,,,,,,,,,Ksenia Svetlova,,كسينيا سفيتلوفا,,,,,"Светлова, Ксения Игоревна",,,,Свєтлова Ксенія Ігорівна,,,,,,,,,,,Ksenia Svetlova,,,,,,Ksenia Svetlova,,,,,,,,,Ksenia Svetlova,,,,Ksenia Svetlova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كسينيا سفيتلوفا,,,,,,,,,Category:Ksenia Svetlova,Ksenia Svetlova,,,,Ksenia Svetlova,,,Ksenia Svetlova,,,,,,,,,,,Ksenia Svetlova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ksienija Swietłowa,,,,"Светлова, Ксения Игоревна",,,,,,,,,,,,,Свєтлова Ксенія Ігорівна,,,,,,,,,,,,,,,,,,,,,,,,,Ksenia Svetlova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קסניה סבטלובה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,shorouq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q188783,Moshe Dayan,משה דיין,Moshe Dayan,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mosche_Dajan.jpg,male,0000 0001 2022 1933,22140607,118524127,n79099011,,,,,,,1915-05-20,/m/0mdz2,,Dayan,Moshe,,,,,068444613,90051915,n99044959,946/000024874,,,,,biography/Moshe-Dayan,,,,,,1981-10-16,,,,,,,92096,,,,,,,משה דיין,משה דיין,摩西·達揚,Mosze Dajan,Moshe Dayan,Moshé Dayán,,,,Moshe Dayan,Móse Daján,,Moshe Dayan,Μοσέ Νταγιάν,,မိုရှေဒါရန်း,Moshe Dayan,Moshe Dayan,موشيه دايان,Moshe Dayan,,Moŝe Dajan,משה דיין,"Даян, Моше",Моше Дајан,Moşe Dayan,Moshe Dayan,Моше Даян,Moshe Dayan,,Moshe Dayan,Moše Dajan,,Moshe Dayan,,Mosche Dajan,모셰 다얀,,Moshe Dayan,,,,Moshe Dayan,Moshé Dayán,Mosche Dajan,Moshe Dayan,モーシェ・ダヤン,Moshe Dayan,,Moše Dajan,,,Moshe Dayan,Moshe Dayan,Moyses Dajan,,Moshe Dayan,Moše Dajan,موشه دایان,Моше Даян,,,მოშე დაიანი,,,Moshe Dayan,,,,,,Moshe Dayan,,,Moşe Dayan,موشے دایان,,موشى دايان,മോഷെ ദയാൻ,,,,Մոշե Դայան,মোশে দায়ান,,Mosche Dajan,,موشيه دايان,موشى دايان,Moşe Dayan,,,Моше Даян,,Moshe Dayan,,Moshe Dayan,Moše Dajan,Moše Dajan,,Moshe Dayan,Mosche Dajan,Μοσέ Νταγιάν,,Moshe Dayan,,Moŝe Dajan,Moshé Dayán,,,Moshe Dayan,موشه دایان,,Moshe Dayan,,Moshe Dayan,,Moshé Dayán,,,משה דיין,מחבר:משה דיין,Moše Dajan,Móse Daján,,Moshe Dayan,,,,Moshe Dayan,Moshe Dayan,モーシェ・ダヤン,მოშე დაიანი,,모셰 다얀,,Moyses Dajan,,,മോഷെ ദയാൻ,,Moshe Dayan,မိုရှေဒါရန်း,,,Moshe Dayan,Moshe Dayan,Moshe Dayan,,,Mosze Dajan,,Moshe Dayan,Moshe Dayan,"Даян, Моше",,Моше Даян,Moshe Dayan,,,Moše Dajan,Moshe Dajan,Моше Дајан,Moshe Dayan,,,Moşe Dayan,Моше Даян,,موشے دایان,Moshe Dayan,Moshe Dayan,,משה דיין,,,摩西·达扬,,,,,,,摩西·达扬,摩西·達揚,摩西·達揚,摩西·达扬,摩西·达扬,摩西·達揚,,Moše Dajan,Моше Дајан,,,Moše Dajan,,,,,,Moše Dajan,,,,,,,,,,موشيه دايان,Моше Даян,,,,,,,,,,,,โมเช ดายัน,,,,,,โมเช ดายัน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moshe Dayan,Moshe Dayan,මොෂේ ඩයාන්,موشه دایان,Moshe Dayan,මොෂේ ඩයාන්,Moše Dajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dayan-18,,,,,,,,politician,,,,,,,moshe-dayan,,,,,Moshe-Dayan-1,w6902jm2,,,,,,,,,,,,,53982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1893392,Meir Argov,מאיר ארגוב,Meir Argov,https://upload.wikimedia.org/wikipedia/commons/5/5c/Meir_Argov.jpeg,male,0000 0000 5347 0285,2237640,,no2007012052,,,,,,,1905,/m/03c9jxt,,Argov,Meir,,,,,,,,,,,,,,,,,,,1963-11-24,,,,,,,,,,,,,,מאיר ארגוב,מאיר ארגוב,,Me’ir Argow,,Meir Argov,,,,,Meir Argov,,,,,,Meir Argov,,مائير آرغوف,,,,,Меир Аргов,,Meir Argov,,,,,,,,,,,,,Meir Argov,,,,,,Meir Argov,,,,,,,,Meir Argov,Meir Argov,,,,Me'ir Argov,,,,,,Meir Argov,,,,,Meir Argov,Meir Argov,,,,,,,,,,,,,,,,,,مائير آرغوف,,,,,,,,,,Me'ir Argov,,,,Meir Argov,,,,,,,,,,,,,,Meir Argov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Me’ir Argow,,,Meir Argov,"Аргов, Меир",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meir Argov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q191123,Levi Eshkol,לוי אשכול,Levi Eshkol,https://upload.wikimedia.org/wikipedia/commons/4/4a/Portrait_of_prime_minister_Levy_Eshkol._August_1963._D699-070.jpg,male,0000 0000 8118 8850,39623012,119077981,n50012181,,,,,,,1895-10-25,/m/018ykd,,Eshkol,Levi,,,,,073369365,,,948/000024876,,,,,biography/Levi-Eshkol,,,,,,1969-02-26,,,,,,,97577,,,,,,,לוי אשכול,לוי אשכול,列维·艾希科尔,Lewi Eszkol,Levi Eshkol,Levi Eshkol,,,Levi Eshkol,Levi Eshkol,Lévi Eskól,Levi Eshkol,,,,,Levi Eshkol,Levi Eshkol,ليفي أشكول,Levi Eshkol,Levi Eshkol,Levi Eŝkol,לוי אשכול,"Эшколь, Леви",Леви Ешкол,Levi Eşkol,Levi Eshkol,Леві Ешкол,,Levi Eshkol,Levi Eshkol,Levi Eškol,,Levi Eshkol,,Levi Eschkol,레비 에슈콜,,Levi Eshkol,,,,Levi Eshkol,Levi Eshkol,Levi Eschkol,Levi Eshkol,レヴィ・エシュコル,Levi Eshkol,列维·艾希科尔,,,,Levi Eșkol,Levi Eshkol,,,,Levi Eškol,لوی اشکول,Леви Ешкол,लेव्हि एश्कॉल,,,,,Levi Eshkol,,,,,,Levi Eshkol,,,,لیوی اشکول,,ليفى اشكول,,,,,Լևի Էշկոլ,,,Levi Eschkol,,ليفي أشكول,ليفى اشكول,,,,Леви Ешкол,,Levi Eshkol,,,Levi Eškol,Levi Eškol,,Levi Eshkol,Levi Eschkol,,,,,Levi Eŝkol,Levi Eshkol,,Levi Eshkol,Levi Eshkol,لوی اشکول,,Levi Eshkol,,Levi Eshkol,,Levi Eshkol,,,לוי אשכול,,Levi Eškol,Lévi Eskól,Լևի Էշկոլ,Levi Eshkol,,Levi Eshkol,Levi Eshkol,Levi Eshkol,,レヴィ・エシュコル,,,레비 에슈콜,,,,,,लेव्हि एश्कॉल,Levi Eshkol,,,,Levi Eshkol,,Levi Eshkol,Levi Eshkol,,Lewi Eszkol,,Levi Eshkol,Levi Eșkol,"Эшколь, Леви",,,Levi Eshkol,,Levi Eshkol,,,Леви Ешкол,Levi Eshkol,,,Levi Eşkol,Леві Ешкол,,لیوی اشکول,Levi Eshkol,,列维·艾希科尔,לוי אשכול,,,列维·艾希科尔,लेव्हि एश्कॉल,लेव्हि एश्कॉल,,,,,,,,,,,Levi Eshkol,Levi Eškol,Леви Ешкол,Levi Eshkol,,,,,,Levi Eshkol,,,,,,,,,,,,,,,,,,,,,,,,Леви Эшкол,เลวี เอชโคล,,,,Леви Эшкол,,เลวี เอชโคล,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,levi-eshkol,,,,,,w66427rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19201160,Dudu Amsalem,דודי אמסלם,Dudi Amsalem,https://upload.wikimedia.org/wikipedia/commons/e/eb/Dudi_Amsalem.jpg,male,,,,,,,,,,,1960-08-11,,,,David,,,,,,,,,,,,,,,dudiamsalem,,,,,,,,,,,,,,,,,,דודי אמסלם,דודי אמסלם,,Dawid Amsalem,,Dudu Amsalem,,,,,,,,,,,Dudu Amsalem,,دودو امسلم,,,,,,,,,,,,,,,,,,,,Dudu Amsalem,,,,,,Dudu Amsalem,,,,,,,,,Dudu Amsalem,,,,David Amsalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,دودو امسلم,,,,,,,,,Category:Dudi Amsalem,David Amsalem (politik),,,,David Amsalem,,,,,,,,,,,,,,,,,,,דודי אמסלם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawid Amsalem (polityk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dudu Amsalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,דודי אמסלם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1948944,Moshe Shamir,משה שמיר,Moshe Shamir,,male,0000 0001 0961 6803,27304203,119356570,n84007492,,,,,,,1921-09-15,/m/08kflj,,Shamir,Moshe,,,,,072055952,,n2005083123,,,,,,biography/Moshe-Shamir,,,,,,2004-08-20,,,190925,,,,153127,,,,,,,משה שמיר,משה שמיר,,Mosze Szamir,,Moshe Shamir,,,,,Moshe Shamir,,,,,,Moše Šāmîr,,,,,,,"Шамир, Моше",,,,Моше Шамір,,,,,,,,,,,Moshe Shamir,,,,Moshe Shamir,,Mosche Schamir,,,,,,,,,Moshe Shamir,,Moshe Shamir,,Moše Šamir,,,,,,,,Moshe Shamir,,,,,,,,,,,,,,,,,Մոշե Շամիր,,,,,,,,,,,,,,Category:Moshe Shamir,Moše Šamir,,,,Mosche Schamir,,,,,,Moshe Shamir,,,,,,,,,,,,,,,,,,,,,,Moshe Shamir,,,,,,,,,,,,,,,,,,Moshe Shamir,,,Mosze Szamir,,,,"Шамир, Моше",,,,,,,,,,,,,Моше Шамір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,w6mg956d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19607849,Abd al-Hakim Hajj Yahya,עבד אל-חכים חאג' יחיא,Abd al-Hakim Hajj Yahya,https://upload.wikimedia.org/wikipedia/commons/a/a7/Abd_al-Hakim_Hajj_Yahya_1.jpg,male,,,,,,,,,,,1965-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עבד אל-חכים חאג' יחיא,עבד אל-חכים חאג' יחיא,,,,Abd al-Hakim Hajj Yahya,,,,,,,,,,,Abd al-Hakim Hajj Yahya,,عبد الحكيم حاج يحيى,,,,,,,,,,,,,,,,,,,,Abd al-Hakim Hajj Yahya,,,,,,Abd al-Hakim Hajj Yahya,,,,,,,,,,,,,Abd al-Chakim Chadž Jachja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عبد الحكيم حاج يحيى,,,,,,,,,Category:Abd al-Hakim Hajj Yahya,Abd al-Chakim Chadž Jachja,,,,Abd al-Hakim Hajj Yahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abd al-Hakim Hajj Yahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abd al-Hakim Hajj Yahya,,,,,,,,Abd al-Hakim Hajj Yahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עבד אל-חכים חאג' יחיא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
