id,name__en,name__de,name__it,name__fr,name__cy,name__es,name__hu,name__nl,name,wikipedia__en,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__zh,name__pl,name__eu,name__qu,name__gd,name__oc,name__sw,name__et,name__br,name__sq,name__el,name__pnb,name__sv,name__ar,name__pt,name__is,name__eo,name__xmf,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__nn,name__io,name__az,name__hr,name__da,name__an,name__nan,name__ko,name__be,name__he,name__yo,name__lv,name__gl,name__ay,name__id,name__ja,name__vi,name__hi,name__ku,name__sk,name__ro,name__ca,name__la,name__ilo,name__sl,name__cs,name__fa,name__bg,name__ka,name__lt,name__nb,name__de_ch,name__en_ca,name__en_gb,name__ga,name__pt_br,name__lb,name__uz,name__hy,name__tg,name__ur,name__mr,name__mk,name__sco,name__lrc,wikipedia__an,wikipedia__ar,wikipedia__ay,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__eswikisource,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lrc,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__simple,wikipedia__sk,wikipedia__skwikiquote,wikipedia__sl,wikipedia__slwikiquote,wikipedia__sq,wikipedia__sr,wikipedia__sv,wikipedia__sw,wikipedia__tg,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__xmf,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__CiNii,identifier__NDL,identifier__NLA,identifier__freebase,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__KLfG,identifier__GNC,identifier__NLAtrove,identifier__GTAA,identifier__FAST,identifier__BiblioNet,identifier__bigenc_ru,identifier__nobel_prize,identifier__snac,name__ta,name__sh,name__ace,wikipedia__enwikinews,wikipedia__sh,wikipedia__ta,family_name,website,identifier__Britannica,twitter,facebook,name__bs,wikipedia__bswikiquote,name__af,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__gsw,name__ia,name__ie,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sr_el,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh_hant,name__zh_cn,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,name__bcl,wikipedia__bcl,identifier__Munzinger,identifier__quora,identifier__BAV,identifier__NLP,identifier__BVMC
Q22279284,Sandra Morán,Sandra Morán,,,,Sandra Morán,,Sandra Morán,Sandra Morán,Sandra Morán,female,,1960-04-29,,Sandra,Sandra Morán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra Morán,,,Sandra Morán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22279821,Luis Rabbé,,,,,,,Luis Rabbé,Luis Rabbé,Luis Rabbé,male,,1956-05-26,,Luis,Luis Rabbé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23304498,Mario Taracena,,,,,,,Mario Taracena,Mario Taracena,Mario Taracena,male,,1957-05-06,,Mario,Mario Taracena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Mario-Taracena.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2410452,Otilia Lux,Otilia Lux,Otilia Lux,Otilia Lux,,Otilia Lux,Otilia Lux,Otilia Lux,Otilia Lux,Otilia Lux,female,politician,1949,,Otilia,Otilia Lux,,Otilia Lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otilia Lux de Cotí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otilia Lux de Cotí,,,,,,,,Otilia Lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otilia Lux,,,,,Otilia Lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2476428,Francisco Villagrán Kramer,Francisco Villagrán Kramer,,Francisco Villagrán Kramer,Francisco Villagrán Kramer,Francisco Villagrán Kramer,Francisco Villagrán Kramer,Francisco Villagrán Kramer,Francisco Villagrán Kramer,Francisco Villagrán Kramer,male,politician,1927-04-05,2011-07-12,Francisco,Francisco Villagrán Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,フランシスコ・ヴィラグラン・クレイマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Villagrán Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Villagrán Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Francisco_Villagran_Kramer.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28837292,Óscar Chinchilla,,,,,,,Óscar Chinchilla,Óscar Chinchilla,Óscar Chinchilla,male,,,,,Óscar Chinchilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q293387,,Óscar Marroquín,,Óscar Marroquín,,,,Óscar Marroquín,Óscar Marroquín,,male,journalist,1924,2010-09-30,Óscar,Óscar Marroquín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Óscar Marroquín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3047936,Edmond Mulet,Edmond Mulet,,Edmond Mulet,,Edmond Mulet,Edmond Mulet,Edmond Mulet,Edmond Mulet,Edmond Mulet,male,diplomat,1951-03-13,,Edmond,Edmond Mulet,,,,,,,,,,,,,Edmond Mulet,,,,,,,,,,,,Edmond Mulet,,,,Edmond Mulet,,,,,,,,,,,,,,,,,,,,,,,,,,Edmond Mulet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edmond Mulet,,,,,,,Edmond Mulet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85681275,,,,,,,,/m/0g9lq7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,埃德蒙·繆特,埃德蒙·缪特,,,,,,,,,,,,,,,
Q467077,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,male,politician,1926-06-16,,José,Efraín Ríos Montt,里奧斯·蒙特,Efraín Ríos Montt,Efraín Ríos,,,,,,,,,,Efraín Ríos Montt,إفراين ريوس مونت,José Efraín Ríos Montt,,Efraín Ríos Montt,,"Риос Монтт, Хосе Эфраин",,,Efraín Ríos Montt,Ефраїн Ріос Монтт,,Efraín Ríos Montt,,,,Efraín Ríos Montt,,,에프라인 리오스 몬트,,אפראין ריוס מונט,,,,,,エフライン・リオス・モント,,,,,,Efraín Ríos Montt,,,Efraín Ríos Montt,Efraín Ríos Montt,,,,,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,Efraín Ríos Montt,,José Efraín Ríos Montt,Efraín Ríos Montt,,,,,,,,,,إفراين ريوس مونت,,,,,,,Efraín Ríos Montt,Category:Efraín Ríos Montt,Efraín Ríos Montt,,Efraín Ríos Montt,Efraín Ríos Montt,,Efraín Ríos Montt,Efraín Ríos Montt,,,,Efraín Ríos Montt,,Efraín Ríos Montt,Efraín Ríos Montt,,,,אפראין ריוס מונט,,,,,,,,,Efraín Ríos Montt,,エフライン・リオス・モント,,에프라인 리오스 몬트,,,Efraín Ríos Montt,,,,,Efraín Ríos Montt,,Efraín Ríos Montt,,Efraín Ríos Montt,Efraín Ríos Montt,,Efraín Ríos Montt,,,"Риос Монтт, Хосе Эфраин",,Efraín Ríos Montt,,,Efraín Ríos Montt,,,,,,,,Ефраїн Ріос Монтт,,,,,,,,里奧斯·蒙特,https://upload.wikimedia.org/wikipedia/commons/0/06/Ex_General_Efrain_Rios_Montt_testifying_during_the_trial.jpg,0000 0000 9044 1205,72783430,142674818,n84006853,,101879784,,,,/m/01ny6t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Efrain Rios Montt,Efrain Rios Montt,00000016616,Rios-Montt,,,
Q4685790,Adrián Recinos,Adrián Recinos,Adrián Recinos,Adrián Recinos,,Adrián Recinos,Adrián Recinos,Adrián Recinos,Adrián Recinos,Adrián Recinos,male,linguist,1886-07-05,1962-03-08,Adrián,Adrián Recinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アドリアン・レシーノス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrián Recinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/67/Adrian_Recinos_Guatemala_with_Dr._Rowe_of_CBS_in_1930.jpg,0000 0001 0891 1800,41869974,,n82036034,12104464x,029410908,,,,,OL4953920A,,,,,070168326,,,,,,88788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
