result_row,source_page_url,id,image,name,given_name,family_name,honorific_prefix,honorific_suffix,area,group,term,gender,birth_date,start_date,end_date,email,website,twitter,facebook
244,http://www.parlament.gv.at/WWER/PAD_83433/index.shtml,PAD_83433,http://www.parlament.gv.at/WWER/PAD_83433/4582543_384.jpg,"Rouven Ertlschweiger, MSc",Rouven,Ertlschweiger,,MSc,Bundeswahlvorschlag,ÖVP,25,male, 08.09.1976,2015-08-02,,rouven.ertlschweiger@parlament.gv.at, ,,http://www.facebook.com/Ertlschweiger.Rouven
59,http://www.parlament.gv.at/WWER/PAD_72959/index.shtml,PAD_72959,http://www.parlament.gv.at/WWER/PAD_72959/4386704_180.jpg,"Eva-Maria Himmelbauer, BSc",Eva-Maria ,Himmelbauer,,BSc,Wahlkreis: 3A – Weinviertel,ÖVP,25,female, 24.12.1986,2012-07-05,,eva-maria.himmelbauer@parlament.gv.at, http://www.ehimmelbauer.at,,http://www.facebook.com/eva.himmelbauer
94,http://www.parlament.gv.at/WWER/PAD_83121/index.shtml,PAD_83121,http://www.parlament.gv.at/WWER/PAD_83121/4380811_180.jpg,Mag. Gerald Loacker,Mag. Gerald ,Loacker,,,Wahlkreis: 8 – Vorarlberg,NEOS,25,male, 28.11.1973,2014-01-30,,gerald.loacker@parlament.gv.at,http://www.xing.com/profiles/Gerald_Loacker ,,http://www.facebook.com/GLoacker.NEOS
125,http://www.parlament.gv.at/WWER/PAD_83152/index.shtml,PAD_83152,http://www.parlament.gv.at/WWER/PAD_83152/4582494_384.jpg,Mag. Johannes Rauch,Johannes,Rauch,Mag.,,Bundeswahlvorschlag,ÖVP,25,male, 03.08.1971,2013-10-29,,johannes.rauch@parlament.gv.at, http://www.oevpklub.at,,http://www.facebook.com/hannes.rauch
85,http://www.parlament.gv.at/WWER/PAD_35908/index.shtml,PAD_35908,http://www.parlament.gv.at/WWER/PAD_35908/4384979_180.jpg,Katharina Kucharowits,Katharina ,Kucharowits,,,Bundeswahlvorschlag,SPÖ,25,female, 19.09.1983,2013-10-29,,katharina.kucharowits@parlament.gv.at, ,http://twitter.com/kathi_kuch,http://www.facebook.com/kucharowits
216,http://www.parlament.gv.at/WWER/PAD_86613/index.shtml,PAD_86613,http://www.parlament.gv.at/WWER/PAD_86613/5881779_180.jpg,Mario Lindner,Mario,Lindner,,,In den Bundesrat entsendet vom Steiermärkischen Landtag,SPÖ,Bundesrat,m, 30.03.1982,2015-06-16,,mario.lindner@spoe.at,,,http://www.facebook.com/mario.lindner
86,http://www.parlament.gv.at/WWER/PAD_83113/index.shtml,PAD_83113,http://www.parlament.gv.at/WWER/PAD_83113/4385832_180.jpg,Philip Kucher,Philip ,Kucher,,,Wahlkreis: 2A – Klagenfurt,SPÖ,25,male, 29.09.1981,2013-10-29,,philip.kucher@parlament.gv.at,http://www.philipkucher.at ,,http://www.facebook.com/philip.kucher
46,http://www.parlament.gv.at/WWER/PAD_83120/index.shtml,PAD_83120,http://www.parlament.gv.at/WWER/PAD_83120/4380832_180.jpg,Dr. Rainer Hable,Dr. Rainer ,Hable,,,Wahlkreis: 4 – Oberösterreich,NEOS,25,male, 04.05.1972,2014-01-30,,rainer.hable@parlament.gv.at, http://www.neos.eu,,http://www.facebook.com/rainerhable.eu
79,http://www.parlament.gv.at/WWER/PAD_83100/index.shtml,PAD_83100,http://www.parlament.gv.at/WWER/PAD_83100/4384591_180.jpg,Matthias Köchl,Matthias ,Köchl,,,Wahlkreis: 2 – Kärnten,Grüne,25,male, 30.08.1977,2013-10-29,,matthias.koechl@parlament.gv.at,http://www.koechl.eu ,,http://www.facebook.com/solarzeitalter
172,http://www.parlament.gv.at/WWER/PAD_51591/index.shtml,PAD_51591,http://www.parlament.gv.at/WWER/PAD_51591/4462008_180.jpg,Tanja Windbüchler-Souschill,Tanja ,Windbüchler-Souschill,,,Wahlkreis: 3 – Niederösterreich,Grüne,25,female, 06.11.1976,2008-10-28,,tanja.windbuechler@gruene.at,http://www.gruene.at ,,http://www.facebook.com/tanjawindbuechler
119,http://www.parlament.gv.at/WWER/PAD_83124/index.shtml,PAD_83124,http://www.parlament.gv.at/WWER/PAD_83124/4380874_180.jpg,Michael Pock,Michael,Pock,,,Wahlkreis: 9 – Wien,NEOS,25,male, 30.04.1981,2014-01-30,,michael.pock@parlament.gv.at, ,,https://de-de.facebook.com/neos.pock
68,http://www.parlament.gv.at/WWER/PAD_57367/index.shtml,PAD_57367,http://www.parlament.gv.at/WWER/PAD_57367/4384392_180.jpg,Mag. Helene Jarmer,Helene ,Jarmer,Mag. ,,Bundeswahlvorschlag,Grüne,25,female, 08.08.1971,2009-07-10,,helene.jarmer@gruene.at,http://www.gruene.at ,,https://www.facebook.com/Abg.Helene.Jarmer
137,http://www.parlament.gv.at/WWER/PAD_35504/index.shtml,PAD_35504,http://www.parlament.gv.at/WWER/PAD_35504/4385389_180.jpg,Mag. Andreas Schieder,Andreas,Schieder,Mag.,,Wahlkreis: 9 – Wien,SPÖ,25,male, 16.04.1969,2013-10-29,,andreas.schieder@spoe.at, ,,https://www.facebook.com/andreas.schieder.5
237,http://www.parlament.gv.at/WWER/PAD_78585/index.shtml,PAD_78585,http://www.parlament.gv.at/WWER/PAD_78585/5881375_180.jpg,Angela Stöckl,Angela,Stöckl,,,In den Bundesrat entsendet vom Niederösterreichischen Landtag,ÖVP,Bundesrat,female, 07.02.1968,2013-04-24,,angela.stoeckl@parlament.gv.at, ,,https://www.facebook.com/angela.stockl.5
8,http://www.parlament.gv.at/WWER/PAD_83105/index.shtml,PAD_83105,http://www.parlament.gv.at/WWER/PAD_83105/4384722_180.jpg,Mag. Aygül Berivan Aslan,Aygül Berivan,Aslan,Mag. ,,Wahlkreis: 7 – Tirol,Grüne,25,female, 16.10.1981,2013-10-29,,berivan.aslan@gruene.at, ,https://twitter.com/Berivan_Aslan_,https://www.facebook.com/aslan.a.berivan
130,http://www.parlament.gv.at/WWER/PAD_35516/index.shtml,PAD_35516,http://www.parlament.gv.at/WWER/PAD_35516/4384641_180.jpg,Mag. Bruno Rossmann,Bruno,Rossmann,Mag.,,Bundeswahlvorschlag,Grüne,25,male, 16.04.1952,2012-07-06,,bruno.rossmann@gruene.at,http://www.gruene.at/bruno-rossmann ,,https://www.facebook.com/bruno.rossmann.3
138,http://www.parlament.gv.at/WWER/PAD_51559/index.shtml,PAD_51559,http://www.parlament.gv.at/WWER/PAD_51559/4387803_180.jpg,Carmen Schimanek,Carmen ,Schimanek,,,Bundeswahlvorschlag,FPÖ,25,female, 25.06.1965,2008-10-28,,carmen.schimanek@fpoe.at, ,,https://www.facebook.com/carmen.schimanek
105,http://www.parlament.gv.at/WWER/PAD_83102/index.shtml,PAD_83102,http://www.parlament.gv.at/WWER/PAD_83102/5225818_180.jpg,Dr. Eva Mückstein,Eva ,Mückstein,Dr. ,,Wahlkreis: 3 – Niederösterreich,Grüne,25,female, 07.12.1958,2013-10-29,,eva.mueckstein@gruene.at, http://www.gruene.at,,https://www.facebook.com/eva.muckstein
210,http://www.parlament.gv.at/WWER/PAD_86616/index.shtml,PAD_86616,http://www.parlament.gv.at/WWER/PAD_86616/5881865_180.jpg,Hubert Koller,Hubert,Koller,,,In den Bundesrat entsendet vom Steiermärkischen Landtag,SPÖ,Bundesrat,male, 21.05.1960,2015-06-16,,hubert.koller@parlament.gv.at,http://www.hubsi.st,,https://www.facebook.com/hubert.koller
147,http://www.parlament.gv.at/WWER/PAD_51589/index.shtml,PAD_51589,http://www.parlament.gv.at/WWER/PAD_51589/4384502_180.jpg,Mag. Judith Schwentner,Judith ,Schwentner,Mag. ,,Wahlkreis: 6A – Graz und Umgebung,Grüne,25,female, 05.09.1968,2008-10-28,,judith.schwentner@parlament.gv.at,http://www.gruene.at ,,https://www.facebook.com/judith.schwentner
136,http://www.parlament.gv.at/WWER/PAD_83125/index.shtml,PAD_83125,http://www.parlament.gv.at/WWER/PAD_83125/4380953_180.jpg,Dr. Nikolaus Scherak,Nikolaus,Scherak,Dr.,,Wahlkreis: 3 – Niederösterreich,NEOS,25,male, 16.10.1986,2014-01-30,,nikolaus.scherak@parlament.gv.at, http://nikischerak.at,,https://www.facebook.com/niki.scherak
230,http://www.parlament.gv.at/WWER/PAD_86618/index.shtml,PAD_86618,http://www.parlament.gv.at/WWER/PAD_86618/5881482_180.jpg,Peter Samt,Peter,Samt,,,In den Bundesrat entsendet vom Steiermärkischen Landtag,FPÖ,Bundesrat,male, 14.06.1957,2015-06-16,,p.samt@samt-lichttechnik.at, ,,https://www.facebook.com/peter.samt
152,http://www.parlament.gv.at/WWER/PAD_83135/index.shtml,PAD_83135,http://www.parlament.gv.at/WWER/PAD_83135/4387553_180.jpg,Petra Steger,Petra ,Steger,,,Wahlkreis: 9 – Wien,FPÖ,25,female, 04.10.1987,2013-10-29,,petra.steger@parlament.gv.at, http://www.fpoe.at/unser-team/parlamentsklub/nationalrat/bereichssprecher/petra-steger/,,https://www.facebook.com/stegerpetra?ref=hl
81,http://www.parlament.gv.at/WWER/PAD_14841/index.shtml,PAD_14841,http://www.parlament.gv.at/WWER/PAD_14841/4385811_180.jpg,Ulrike Königsberger-Ludwig,Ulrike ,Königsberger-Ludwig,,,Wahlkreis: 3C – Mostviertel,SPÖ,25,female, 12.05.1965,2002-12-20,,ulrike.koenigsberger-ludwig@parlament.gv.at,http://www.ulrike.spoe.at ,,https://www.facebook.com/UlrikeKonigsbergerLudwig
38,http://www.parlament.gv.at/WWER/PAD_67199/index.shtml,PAD_67199,http://www.parlament.gv.at/WWER/PAD_67199/4386512_180.jpg,Mag. Wolfgang Gerstl,Mag. Wolfgang ,Gerstl,,,Bundeswahlvorschlag,ÖVP,25,male, 14.10.1961,2011-09-09,,wolfgang.gerstl@oevp-wien.at,http://www.wolfgang-gerstl.at ,,https://www.facebook.com/wgerstl
117,http://www.parlament.gv.at/WWER/PAD_08245/index.shtml,PAD_08245,http://www.parlament.gv.at/WWER/PAD_08245/4384415_180.jpg,Dipl.-Ing. Dr. Wolfgang Pirklhuber,Wolfgang,Pirklhuber,Dipl.-Ing. Dr. ,,Wahlkreis: 4 – Oberösterreich,Grüne,25,male, 25.04.1961,1999-10-29,,wolfgang.pirklhuber@gruene.at,http://www.pirklhuber.at ,,https://www.facebook.com/wolfgang.pirklhuber
92,http://www.parlament.gv.at/WWER/PAD_83142/index.shtml,PAD_83142,http://www.parlament.gv.at/WWER/PAD_83142/4385959_180.jpg,Dr. Jessi Lintl,Jessi ,Lintl,Dr. ,,Wahlkreis: 9 – Wien,Team Stronach,25,female, 30.06.1956,2013-10-29,2015-08-10,jessi.lintl@parlament.gv.at,http://www.lintl.at ,http://twitter.com/jessilintl,
247,http://www.parlament.gv.at/WWER/PAD_83142/index.shtml,PAD_83142,http://www.parlament.gv.at/WWER/PAD_83142/4385959_180.jpg,Dr. Jessi Lintl,Jessi ,Lintl,Dr. ,,Wahlkreis: 9 – Wien,ohne (none),25,female, 30.06.1956,2015-08-11,,jessi.lintl@parlament.gv.at,http://www.lintl.at ,http://twitter.com/jessilintl,
234,http://www.parlament.gv.at/WWER/PAD_67939/index.shtml,PAD_67939,http://www.parlament.gv.at/WWER/PAD_67939/3572055_384.jpg,Marco Schreuder,Marco,Schreuder,,,In den Bundesrat entsendet vom Wiener Landtag,Grüne,Bundesrat,male, 27.04.1969,2013-07-18,,marco.schreuder@gruene.at, http://schreuder.at,http://twitter.com/marcoschreuder,
4,http://www.parlament.gv.at/WWER/PAD_83119/index.shtml,PAD_83119,http://www.parlament.gv.at/WWER/PAD_83119/4380895_180.jpg,Mag. Nikolaus Alm,Mag. Nikolaus ,Alm,,,Wahlkreis: 9 – Wien,NEOS,25,male, 30.08.1975,2014-01-30,,nikolaus.alm@parlament.gv.at, http://www.alm.at,http://twitter.com/nikoalm,
143,http://www.parlament.gv.at/WWER/PAD_51555/index.shtml,PAD_51555,http://www.parlament.gv.at/WWER/PAD_51555/4386679_180.jpg,Mag. Bernd Schönegger,Bernd,Schönegger,Mag.,,Wahlkreis: 6A – Graz und Umgebung,ÖVP,25,male, 29.01.1977,2008-10-28,,bernd.schoenegger@parlament.gv.at,http://www.bernd-schoenegger.at ,,
191,http://www.parlament.gv.at/WWER/PAD_47067/index.shtml,PAD_47067,http://www.parlament.gv.at/WWER/PAD_47067/3487872_384.jpg,"Efgani Dönmez, PMM",Efgani,Dönmez,,PMM,In den Bundesrat entsendet vom Oberösterreichischen Landtag,Grüne,Bundesrat,male, 30.10.1976,2013-07-18,,efgani.doenmez@gruene.at,http://www.ooe.gruene.at,,
149,http://www.parlament.gv.at/WWER/PAD_51556/index.shtml,PAD_51556,http://www.parlament.gv.at/WWER/PAD_51556/4387017_180.jpg,Johann Singer,Johann,Singer,,,Wahlkreis: 4D – Traunviertel,ÖVP,25,male, 18.01.1958,2008-10-28,,johann.singer@parlament.gv.at,http://www.hans-singer.at ,,
156,http://www.parlament.gv.at/WWER/PAD_35518/index.shtml,PAD_35518,http://www.parlament.gv.at/WWER/PAD_35518/4444605_180.jpg,Heinz-Christian Strache,Heinz-Christian,Strache,,,Bundeswahlvorschlag,FPÖ,25,male, 12.06.1969,2006-10-30,,heinz-christian.strache@parlament.gv.at,http://www.hcstrache.at http://www.fpoe.at/,,
146,http://www.parlament.gv.at/WWER/PAD_09775/index.shtml,PAD_09775,http://www.parlament.gv.at/WWER/PAD_09775/4386911_180.jpg,Ing. Hermann Schultes,Hermann,Schultes,Ing.,,Wahlkreis: 3A – Weinviertel,ÖVP,25,male, 18.09.1953,2000-09-19,,hermann.schultes@parlament.gv.at,http://www.hermann-schultes.at ,,
142,http://www.parlament.gv.at/WWER/PAD_52727/index.shtml,PAD_52727,http://www.parlament.gv.at/WWER/PAD_52727/4386997_180.jpg,Johannes Schmuckenschlager,Johannes,Schmuckenschlager,,,Wahlkreis: 3F – Wien Umgebung,ÖVP,25,male, 20.09.1978,2008-12-03,,johannes.schmuckenschlager@parlament.gv.at,http://www.johannes-schmuckenschlager.at ,,
148,http://www.parlament.gv.at/WWER/PAD_14769/index.shtml,PAD_14769,http://www.parlament.gv.at/WWER/PAD_14769/4386533_180.jpg,Norbert Sieber,Norbert,Sieber,,,Wahlkreis: 8A – Vorarlberg Nord,ÖVP,25,male, 12.01.1969,2013-10-29,,norbert.sieber@parlament.gv.at,http://www.norbert-sieber.at ,,
158,http://www.parlament.gv.at/WWER/PAD_10304/index.shtml,PAD_10304,http://www.parlament.gv.at/WWER/PAD_10304/4380916_180.jpg,Mag. Dr. Matthias Strolz,Matthias,Strolz,Mag. Dr,,Bundeswahlvorschlag,NEOS,25,male, 10.06.1973,2014-01-30,,matthias.strolz@parlament.gv.at,http://www.strolz.eu http://www.neos.eu,,
181,http://www.parlament.gv.at/WWER/PAD_35514/index.shtml,PAD_35514,http://www.parlament.gv.at/WWER/PAD_35514/4444923_180.jpg,Wolfgang Zanger,Wolfgang,Zanger,,,Wahlkreis: 6D – Obersteiermark,FPÖ,25,male, 04.12.1968,2006-10-30,,wolfgang.zanger@parlament.gv.at,http://www.fpoe-parlamentsklub.at/ http://www.fpoe-parlamentsklub.at/,,
194,http://www.parlament.gv.at/WWER/PAD_78579/index.shtml,PAD_78579,http://www.parlament.gv.at/WWER/PAD_78579/4158951_384.jpg,"Ing. Bernhard Ebner, MSc",Bernhard,Ebner,Ing.,MSc,In den Bundesrat entsendet vom Niederösterreichischen Landtag,ÖVP,Bundesrat,male, 14.03.1973,2013-04-24,,bernhard.ebner@parlament.gv.at,http://www.noeaab.at,https://twitter.com/B_Ebner,
107,http://www.parlament.gv.at/WWER/PAD_51588/index.shtml,PAD_51588,http://www.parlament.gv.at/WWER/PAD_51588/3489211_384.jpg,Mag. Daniela Musiol,Daniela,Musiol,Mag. ,,Wahlkreis: 9 – Wien,Grüne,25,female, 08.09.1970,2008-10-28,,daniela.musiol@parlament.gv.at,http://www.gruene.at ,https://twitter.com/d_musiol,
1,http://www.parlament.gv.at/WWER/PAD_00145/index.shtml,PAD_00145,http://www.parlament.gv.at/WWER/PAD_00145/5830576_180.jpg,Doris Bures,Doris ,Bures,,,Wahlkreis: 9E – Wien Süd–West,SPÖ,25,female, 03.08.1962,2014-09-02,,doris.bures@parlament.gv.at, ,,
3,http://www.parlament.gv.at/WWER/PAD_35521/index.shtml,PAD_35521,http://www.parlament.gv.at/WWER/PAD_35521/4444542_180.jpg,Ing. Norbert Hofer,Ing. Norbert ,Kopf,,,Wahlkreis: 1 – Burgenland,FPÖ,25,male, 02.03.1971,2006-10-30,,norbert.hofer@parlament.gv.at, ,,
5,http://www.parlament.gv.at/WWER/PAD_02819/index.shtml,PAD_02819,http://www.parlament.gv.at/WWER/PAD_02819/4387252_180.jpg,"Werner Amon, MBA",Werner ,Amon,,MBA,Wahlkreis: 6 – Steiermark,ÖVP,25,male, 28.05.1969,2009-03-11,,werner.amon@parlament.gv.at, ,,
6,http://www.parlament.gv.at/WWER/PAD_84060/index.shtml,PAD_84060,http://www.parlament.gv.at/WWER/PAD_84060/5226025_180.jpg,Erwin Angerer,Erwin ,Angerer,,,Wahlkreis: 2 – Kärnten,FPÖ,25,male, 30.12.1964,2014-07-02,,, ,,
7,http://www.parlament.gv.at/WWER/PAD_83107/index.shtml,PAD_83107,http://www.parlament.gv.at/WWER/PAD_83107/4384844_180.jpg,Konrad Antoni,Konrad ,Antoni,,,Wahlkreis: 3B – Waldviertel,SPÖ,25,male, 04.05.1964,2013-10-29,,konrad.antoni@parlament.gv.at,http://www.konrad-antoni.at ,,
9,http://www.parlament.gv.at/WWER/PAD_35467/index.shtml,PAD_35467,http://www.parlament.gv.at/WWER/PAD_35467/4413544_180.jpg,Mag. Gertrude Aubauer,Gertrude ,Aubauer,Mag. ,,Bundeswahlvorschlag,ÖVP,25,female, 13.07.1951,2008-12-03,,gertrude.aubauer@parlament.gv.at, ,,
10,http://www.parlament.gv.at/WWER/PAD_00039/index.shtml,PAD_00039,http://www.parlament.gv.at/WWER/PAD_00039/4444521_180.jpg,Jakob Auer,Jakob, Auer,,,Wahlkreis: 4 – Oberösterreich,ÖVP,25,male, 31.08.1948,1983-05-19,,jakob.auer@parlament.gv.at, ,,
11,http://www.parlament.gv.at/WWER/PAD_83108/index.shtml,PAD_83108,http://www.parlament.gv.at/WWER/PAD_83108/4385273_180.jpg,Walter Bacher,Walter ,Bacher,,,Wahlkreis: 5C – Lungau/Pinzgau/Pongau,SPÖ,25,male, 02.09.1962,2013-10-29,,walter.bacher@parlament.gv.at, ,,
12,http://www.parlament.gv.at/WWER/PAD_14835/index.shtml,PAD_14835,http://www.parlament.gv.at/WWER/PAD_14835/4444987_180.jpg,"Petra Bayr, MA",Petra ,Bayr,,MA,Wahlkreis: 9D – Wien Süd,SPÖ,25,female, 28.04.1968,2002-12-20,,petra.bayr@parlament.gv.at,http://www.petrabayr.at ,,
13,http://www.parlament.gv.at/WWER/PAD_14836/index.shtml,PAD_14836,http://www.parlament.gv.at/WWER/PAD_14836/4445008_180.jpg,Mag. Ruth Becher,Ruth ,Becher,Mag. ,,Wahlkreis: 9G – Wien Nord,SPÖ,25,female, 28.01.1956,2002-12-20,,ruth.becher@parlament.gv.at,http://www.ruth-becher.at ,,
14,http://www.parlament.gv.at/WWER/PAD_35468/index.shtml,PAD_35468,http://www.parlament.gv.at/WWER/PAD_35468/4387913_180.jpg,Dr. Dagmar Belakowitsch-Jenewein,Dagmar ,Belakowitsch-Jenewein,Dr. ,,Wahlkreis: 9 – Wien,FPÖ,25,female, 24.08.1968,2006-10-30,,dagmar.belakowitsch-jenewein@parlament.gv.at,http://www.fpoe-parlamentsklub.at/ ,,
15,http://www.parlament.gv.at/WWER/PAD_52688/index.shtml,PAD_52688,http://www.parlament.gv.at/WWER/PAD_52688/5225964_180.jpg,Dipl.-Ing. Nikolaus Berlakovich,Dipl.-Ing. Nikolaus ,Berlakovich,,,Wahlkreis: 1 – Burgenland,ÖVP,25,male, 04.06.1961,2013-10-29,,, ,,
16,http://www.parlament.gv.at/WWER/PAD_02867/index.shtml,PAD_02867,http://www.parlament.gv.at/WWER/PAD_02867/4387764_180.jpg,Dr. Reinhard Eugen Bösch,Dr. Reinhard Eugen ,Bösch,,,Bundeswahlvorschlag,FPÖ,25,male, 16.01.1957,2013-10-29,,reinhard.boesch@fpoe.at,http://www.fpoe-parlamentsklub.at/ ,,
17,http://www.parlament.gv.at/WWER/PAD_08239/index.shtml,PAD_08239,http://www.parlament.gv.at/WWER/PAD_08239/4384460_180.jpg,"Dieter Brosz, MSc",Dieter ,Brosz,,MSc,Wahlkreis: 3 – Niederösterreich,Grüne,25,male, 12.11.1968,1999-10-29,,dieter.brosz@gruene.at, ,,
18,http://www.parlament.gv.at/WWER/PAD_51586/index.shtml,PAD_51586,http://www.parlament.gv.at/WWER/PAD_51586/4384763_180.jpg,Mag. Christiane Brunner,Christiane ,Brunner,Mag. ,,Bundeswahlvorschlag,Grüne,25,female, 23.09.1976,2008-10-28,,christiane.brunner@parlament.gv.at,http://www.christiane-brunner.com http://www.gruene.at,,
19,http://www.parlament.gv.at/WWER/PAD_63179/index.shtml,PAD_63179,http://www.parlament.gv.at/WWER/PAD_63179/4384872_180.jpg,Harry Buchmayr,Harry ,Buchmayr,,,Wahlkreis: 4B – Innviertel,SPÖ,25,male, 06.01.1957,2011-01-20,,h.buchmayr@aon.at, ,,
20,http://www.parlament.gv.at/WWER/PAD_00178/index.shtml,PAD_00178,http://www.parlament.gv.at/WWER/PAD_00178/3488817_384.jpg,Dr. Josef Cap,Dr. Josef ,Cap,,,Bundeswahlvorschlag,SPÖ,25,male, 04.01.1952,1983-05-19,,josef.cap@spoe.at,http://www.josefcap.at ,,
21,http://www.parlament.gv.at/WWER/PAD_35469/index.shtml,PAD_35469,http://www.parlament.gv.at/WWER/PAD_35469/4387638_180.jpg,Mag. Gernot Darmann,Mag. Gernot ,Darmann,,,Bundeswahlvorschlag,FPÖ,25,male, 07.07.1975,2013-04-24,,gernot.darmann@parlament.gv.at,http://www.gernot-darmann.at http://www.fpoe-parlamentsklub.at,,
22,http://www.parlament.gv.at/WWER/PAD_51557/index.shtml,PAD_51557,http://www.parlament.gv.at/WWER/PAD_51557/4444818_180.jpg,Dipl.-Ing. Gerhard Deimek,Dipl.-Ing. Gerhard ,Deimek,,,Wahlkreis: 4D – Traunviertel,FPÖ,25,male, 09.01.1963,2008-10-28,,gerhard.deimek@fpoe.at, ,,
23,http://www.parlament.gv.at/WWER/PAD_16218/index.shtml,PAD_16218,http://www.parlament.gv.at/WWER/PAD_16218/4386170_180.jpg,Martina Diesner-Wais,Martina ,Diesner-Wais,,,Wahlkreis: 3B – Waldviertel,ÖVP,25,female, 10.02.1968,2013-10-29,,martina.diesner-wais@parlament.gv.at, ,,
