id,name__en,name__pl,name__nl,name__de,name,wikipedia__en,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__fr,name__es,name__tr,name__de_ch,name__el,name__en_ca,name__en_gb,name__et,name__nb,name__ru,name__na,name__fi,name__da,name__nn,name__sv,name__sk,name__ja,name__ar,name__la,name__it,name__vi,wikipedia__ar,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__la,wikipedia__na,wikipedia__nl,wikipedia__no,wikipedia__ru,wikipedia__simple,wikipedia__sk,wikipedia__tr,wikipedia__vi,image,identifier__freebase,name__ca,name__oc,name__az,wikipedia__az,name__szl,wikipedia__szl,name__eo,wikipedia__eo,wikipedia__nn,name__pt,name__is,name__he,name__ast,name__gl,name__id,name__mr,name__io,name__hr,wikipedia__ast,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__oc,wikipedia__pt,wikipedia__sv,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__be,name__yo,name__sw,name__sh,name__ro,name__tpi,name__zh,name__cs,wikipedia__be,wikipedia__cs,wikipedia__da,wikipedia__ko,wikipedia__ro,wikipedia__sh,wikipedia__sw,wikipedia__tpi,wikipedia__yo,wikipedia__zh,family_name,name__hu,wikipedia__bg,name__bg,twitter,wikipedia__plwikiquote,death_date,name__cy,identifier__Britannica,wikipedia__cy,occupation,wikipedia__kk,name__kk,wikipedia__ca,name__uk,wikipedia__uk,name__fo,name__se,name__sje,name__sma,name__smj,name__th,wikipedia__th
Q282252,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,male,1966-07-08,Shadlog,Shadlog Bernicke,Shadlog Bernicke,,,,,,,,Shadlog Bernicke,,,,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/056b0cr,,,,,,,,,,,Shadlog Bernicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shadlog Bernicke,,,,,,,,,,,,,,,,Bernicke,,,,,,,,,,politician,,,,,,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,Shadlog Bernicke,,
Q29838772,Sean Oppenheimer,,Sean Oppenheimer,,Sean Oppenheimer,Sean Oppenheimer,,male,1967-10-07,Sean,Sean Oppenheimer,,,,,,,,,Sean Oppenheimer,,,,Sean Oppenheimer,Sean Oppenheimer,Sean Oppenheimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Oppenheimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Oppenheimer,,,,,,,,,,,,,,,,Oppenheimer,,,,,,,,,,politician,,,,,,Sean Oppenheimer,Sean Oppenheimer,Sean Oppenheimer,Sean Oppenheimer,Sean Oppenheimer,,
Q313003,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,male,1948-06-20,Ludwig,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,,,Λούντβιχ Σκόττι,,,Ludwig Scotty,Ludwig Scotty,"Скотти, Людвиг Дерангадаге",Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,,ルドウィグ・スコッティ,,,Ludwig Scotty,,,,Ludwig Scotty,Λούντβιχ Σκόττι,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,ルドウィグ・スコッティ,,Ludwig Scotty,,Ludwig Scotty,"Скотти, Людвиг Дерангадаге",,,,,,/m/01n2nc,,Ludwig Scotty,,,,,,,,Ludwig Scotty,Ludwig Scotty,לודוויג סקוטי,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,लुडविग स्कॉटी,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,לודוויג סקוטי,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,लुडविग स्कॉटी,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,,,,,,,,,,Ludwig Scotty,,,,,,,,,,,,,,,,Scotty,Ludwig Scotty,,,,,,,,,politician,,,,,,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,Ludwig Scotty,ลุดวิก สกอตตี้,
Q321026,Russell Kun,Russell Kun,Russell Kun,Russell Kun,Russell Kun,Russell Kun,Russell Kun,male,1966-05-24,Russell,Russell Kun,Russell Kun,Russell Kun,,,,,,,Russell Kun,,,,Russell Kun,Russell Kun,Russell Kun,,,,,,,,,Russell Kun,,,,,Russell Kun,,,,,,Russell Kun,,,,,,,/m/02qyzv,,,,,,,,,,,Russell Kun,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russell Kun,,,,,,,,,,,,,,,,Kun,Russell Kun,,,,,,,,,weightlifter,,,,,,Russell Kun,Russell Kun,Russell Kun,Russell Kun,Russell Kun,,
Q321050,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,male,1968-08-31,Valdon,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,,,,,,,Valdon Dowiyogo,,,,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,,ヴァルドン・ドウィヨゴ,,,Valdon Dowiyogo,,,,Valdon Dowiyogo,,,,,,,,,,,Valdon Dowiyogo,,,,,,,/m/0405fp8,,,,,,,,,,,Valdon Dowiyogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valdon Dowiyogo,,,,,,,,,,,,,,,,Dowiyogo,Valdon Dowiyogo,,,,,2016-12-08,,,,politician,,,,,,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,Valdon Dowiyogo,,
Q321175,Riddell Akua,Riddell Akua,Riddell Akua,Riddell Akua,Riddell Akua,Riddell Akua,Riddell Akua,male,1963-01-26,Riddell,Riddell Akua,Riddell Akua,Riddell Akua,,,,,,,Riddell Akua,,,,Riddell Akua,Riddell Akua,Riddell Akua,,,,,,,,,Riddell Akua,,,,,,,,,,,Riddell Akua,,,,,,,/m/0g6nby,,,,,,,,,,,Riddell Akua,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riddell Akua,,,,,,,,,,,,,,,,Akua,Riddell Akua,,,,,,,,,politician,,,,,,Riddell Akua,Riddell Akua,Riddell Akua,Riddell Akua,Riddell Akua,,
Q3217082,Landon Deireragea,Landon Deireragea,Landon Deireragea,Landon Deireragea,Landon Deireragea,Landon Deireragea,Landon Deireragea,male,1960-05-16,Landon,Landon Deireragea,Landon Deireragea,,,,,,,,Landon Deireragea,,,,Landon Deireragea,Landon Deireragea,Landon Deireragea,,,,,,,,,,,,,,Landon Deireragea,,,,,,,,,,,,,,,,,,,,,,,,Landon Deireragea,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landon Deireragea,,,,,,,,,,,,,,,,Deireragea,,,,,,,,,,politician,,,,,,Landon Deireragea,Landon Deireragea,Landon Deireragea,Landon Deireragea,Landon Deireragea,,
Q322362,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,male,1943-05-01,Vassal,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,,,,,,,Vassal Gadoengin,,,,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,,,,,,,,,Vassal Gadoengin,,,,,,,,,,,Vassal Gadoengin,,,,,,,/m/0416plv,,,,,,,,,,,Vassal Gadoengin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vassal Gadoengin,,,,,,,,,,,,,,,,Gadoengin,Vassal Gadoengin,,,,,2004-12-15,Vassal Gadoengin,,,politician,,,,,,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,Vassal Gadoengin,,
Q3298531,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,male,1971-05-27,Mathew,Mathew Batsiua,Mathew Batsiua,,,,,,,,Mathew Batsiua,,,,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,,,,,,,,,,,,,,Mathew Batsiua,,,,,,,,,,,,,/m/057n0_r,,,,,,,,,,,Mathew Batsiua,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathew Batsiua,,,,,,,,,,,,,,,,Batsiua,,,,,,,,,,politician,,,,,,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,Mathew Batsiua,,
Q336231,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,male,1922-09-25,Hammer,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,,,Χάμερ ντε Ρομπίρτ,,,,Hammer DeRoburt,"Де-Робурт, Хаммер",Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,,ハマー・デロバート,همر دي روبرت,,Hammer DeRoburt,,همر دي روبرت,,Hammer DeRoburt,Χάμερ ντε Ρομπίρτ,Hammer DeRoburt,,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,ハマー・デロバート,,Hammer DeRoburt,,Hammer DeRoburt,"Де-Робурт, Хаммер",,,,,https://upload.wikimedia.org/wikipedia/commons/c/ca/NRU-Gadabu-DeRoburt-1968_(cropped).jpg,/m/01pld9,,Hammer DeRoburt,,,,,,,,Hammer DeRoburt,Hammer DeRoburt,,Hammer DeRoburt,Hammer DeRoburt,,हॅमर डिरॉबुर्ट,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,,Hammer DeRoburt,,Hammer DeRoburt,Hammer DeRoburt,हॅमर डिरॉबुर्ट,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,,,,,,,,,,Hammer DeRoburt,,,,,,,,,,,,,,,,DeRoburt,Hammer DeRoburt,,,,,1992-07-15,,,,politician,,,,,,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,Hammer DeRoburt,,
Q4442559,Lawrence Stephen,Lawrence Stephen,Lawrence Stephen,Lawrence Stephen,Lawrence Stephen,Lawrence Stephen,Lawrence Stephen,male,,Lawrence,Lawrence Stephen,,Lawrence Stephen,,,,,,,,"Стивен, Лоренс",,,,,,,,,,,,,,,,,,,,,,,,,,"Стивен, Лоренс",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence Stephen,,,,,2006,,,,politician,,,,,,,,,,,,
Q4734692,Aloysius Amwano,Aloysius Amwano,Aloysius Amwano,Aloysius Amwano,Aloysius Amwano,Aloysius Amwano,Aloysius Amwano,male,1955-06-21,Aloysius,Aloysius Amwano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5200657,Cyril Buraman,Cyril Buramen,Cyril Buraman,Cyril Buraman,Cyril Buraman,Cyril Buraman,Cyril Buramen,male,,,Cyril Buraman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5221214,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,male,1959-09-28,Dantes,Dantes Tsitsi,Dantes Tsitsi,,,,,,,,Dantes Tsitsi,,,,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dantes Tsitsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dantes Tsitsi,,,,,,,,,,,,,,,,Tsitsi,,,,,,,,,,politician,,,,,,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,Dantes Tsitsi,,
Q5230633,David Agir,David Agir,David Agir,David Agir,David Agir,David Agir,David Agir,male,1942-07-12,David,David Agir,David Agir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-06,,,,,,,,,,,,,,,,
Q5290659,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,male,1980-08-09,Dominic,Dominic Tabuna,Dominic Tabuna,,,,,,,,Dominic Tabuna,,,,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,,,,,,,,,,,,,,Dominic Tabuna,,,,,,,,,,,,,,,,,,,,,,,,Dominic Tabuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominic Tabuna,,,,,,,,,,,,,,,,Tabuna,,,,,,,,,,politician,,,,,,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,Dominic Tabuna,,
Q560557,René Harris,René Harris,René Harris,René Harris,René Harris,René Harris,René Harris,male,1947-11-11,René,René Harris,René Harris,René Harris,,,Ρενέ Χάρις,,,,René Harris,"Харрис, Рене Рейнальдо",René Harris,René Harris,René Harris,René Harris,René Harris,,レネ・ハリス,رينيه هاريس,,,,رينيه هاريس,,René Harris,Ρενέ Χάρις,René Harris,,René Harris,René Harris,,,,René Harris,,René Harris,"Харрис, Рене Рейнальдо",,,,,,/m/021r6h,,,,,,,,,,René Harris,René Harris,,,,,,René Harris,René Harris,,,,René Harris,,René Harris,René Harris,,,René Harris,,,,,,,,,,,René Harris,,,,,,,,,,,,,,,,Harris,René Harris,,,,René Harris,2008-07-05,René Harris,biography/Rene-Harris,René Harris,politician,Рене Харрис,Рене Харрис,,,,René Harris,René Harris,René Harris,René Harris,René Harris,,
Q563297,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,male,1959-12-31,Baron,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Μπάρον Γουάκα,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,"Вака, Барон",Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Divavesi Waqa,バロン・ワカ,بارون واكا,Baron Waqa,Baron Waqa,Baron Waqa,بارون واكا,Category:Baron Waqa,Baron Waqa,Μπάρον Γουάκα,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,バロン・ワカ,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,"Вака, Барон",Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,https://upload.wikimedia.org/wikipedia/commons/c/c4/Baron_Waqa.jpg,/m/047rvz3,Baron Waqa,,,,,,,,,Baron Waqa,Baron Waqa,בארון ואקה,,,,,Baron Waqa,,,,בארון ואקה,,,Baron Waqa,,,,Baron Waqa,,,,,,,,,,,Baron Waqa,,,,,,,,,,,,,,,,Waqa,Baron Waqa,,,naurubwiema,,,,,,politician,Барон Вака,Барон Вака,Baron Waqa,Барон Вака,Барон Вака,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,Baron Waqa,แบรอน วาคา,แบรอน วาคา
Q57543,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,male,1972-09-16,Sprent,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Σπρεντ Νταμπουίντο,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Спрент Дабвидо,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,,スプレント・ダブウィド,سبرنت دابيدو,,Sprent Dabwido,,سبرنت دابيدو,,Sprent Dabwido,Σπρεντ Νταμπουίντο,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,Sprent Dabwido,,,Sprent Dabwido,,Sprent Dabwido,"Дабвидо, Спрент",,,Sprent Dabwido,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Sprent_Dabwido_(cropped).jpg,/m/058x2bp,Sprent Dabwido,Sprent Dabwido,,,,,,,,Sprent Dabwido,,,,,,,,,,,,,,,,,,Sprent Dabwido,,,,,,,,,,,,,,,達比杜,,,,Sprent Dabwido,,,,,,,,Dabwido,Sprent Dabwido,Спрент Дабвидо,Спрент Дабвидо,,,,,,,politician,,,,,,,,,,,สเปรนต์ ดับวีโด,
Q58096,David Adeang,David Adeang,David Adeang,David Adeang,David Adeang,David Adeang,David Adeang,male,1969-11-24,David,David Adeang,David Adeang,David Adeang,David Adeang,,,,,,David Adeang,Дэвид Аданг,David Waiau Adeang,,David Adeang,David Adeang,David Adeang,,,,,,,,,David Adeang,,,,,David Adeang,,,,,,David Adeang,"Аданг, Дэвид",,,David Adeang,,https://upload.wikimedia.org/wikipedia/commons/c/cc/David_Adeang_(cropped).jpg,/m/03c58c,David Adeang,David Adeang,David Adeanq,David Adeanq,,,,,,,David Adeang,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Adeang,,,,,,,,,,,,,,,,Adeang,David Adeang,,,,,,,,,politician,,,,,,David Adeang,David Adeang,David Adeang,David Adeang,David Adeang,,
