id,name,given_name,family_name,gender,email,photo,party,constituency_id,constituency,source,term
leon-c-ahossi,Léon C. AHOSSI,Léon C.,AHOSSI,M,leon.ahossi@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/leon_ahossi-200x300.png,Union fait la Nation,17,MONO,https://assemblee-nationale.bj/index.php/leon-c-ahossi/,7
tossou-marcellin-ahonoukou,Tossou Marcellin AHONOUKOUN,Tossou Marcellin,AHONOUKOU,M,marcellin.ahonoukoun@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/marcellin_ahonoukou-200x300.png,Bénin uni et solidaire,5,ATLANTIQUE,https://assemblee-nationale.bj/index.php/tossou-marcellin-ahonoukou/,7
coffi-mathurin-nago,Coffi Mathurin NAGO,Coffi Mathurin,Coffi Mathurin NAGO,M,mathurin.nago@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/nago_mathurin-200x300.png,"Unité, Paix et Démocratie",18,MONO,https://assemblee-nationale.bj/index.php/coffi-mathurin-nago/,7
jean-michel-abimbola,Jean-Michel ABIMBOLA,Jean-Michel,ABIMBOLA,M,michel.abimbola@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/jean_michel_abimbola-200x300.png,Bénin uni et solidaire,,,https://assemblee-nationale.bj/index.php/jean-michel-abimbola/,7
nourenou-atchade,Nourénou ATCHADE,Nourénou,ATCHADE,M,nourenou.atchade@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/nourenou_atchade-200x300.png,,14,DONGA,https://assemblee-nationale.bj/index.php/nourenou-atchade/,7
natonde-ake,Natondé AKE,Natondé,AKE,M,natonde.ake@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/ake_natonde-200x300.png,Bénin uni et solidaire,24,ZOU,https://assemblee-nationale.bj/index.php/natonde-ake/,7
nassirou-bako-arifari,Nassirou BAKO ARIFARI,Nassirou,BAKO ARIFARI,M,nassirou.bakoarifari@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/bako_arifari-200x300.png,Bénin uni et solidaire,1,ALIBORI,https://assemblee-nationale.bj/index.php/nassirou-bako-arifari/,7
octave-cossi-houdegbe,Octave Cossi HOUDEGBE,Octave Cossi,HOUDEGBE,M,octave.houdegbe@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/octave_houdegbe-200x300.png,Agir pour le peuple,5,ATLANTIQUE,https://assemblee-nationale.bj/index.php/octave-cossi-houdegbe/,7
raphael-akotegnon,Raphaël AKOTEGNON,Raphaël,AKOTEGNON,M,raphael.akotegnon@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/raphael_akotegnon-200x300.png,PRD,15,LITTORAL,https://assemblee-nationale.bj/index.php/raphael-akotegnon/,7
robert-gbian,Robert GBIAN,Robert,GBIAN,M,robert.gbian@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/robert_gbian-200x300.png,Unité Paix et Démocratie,7,BORGOU,https://assemblee-nationale.bj/index.php/robert-gbian/,7
aditi-valentin-houde,Aditi Valentin HOUDE,Aditi Valentin,HOUDE,M,valentin.houde@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/HOUDE-216x300.png,Union Paix et Démocratie,6,ATLANTIQUE,https://assemblee-nationale.bj/index.php/aditi-valentin-houde/,7
ahmed-tidjani-affo-obo,Ahmed Tidjani AFFO OBO,Ahmed Tidjani,AFFO OBO,M,tidjani.affoobo@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/ahmed_affo_obo-200x300.png,Unité Paix et Démocratie,14,DONGA,https://assemblee-nationale.bj/index.php/ahmed-tidjani-affo-obo/,7
sofiatou-schanou,Sofiatou SCHANOU,Sofiatou,SCHANOU,F,sofiatou.schanou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/sofiatou_schanou-200x300.png,Agir pour le peuple,19,OUEME,https://assemblee-nationale.bj/index.php/sofiatou-schanou/,7
amadou-issifou,AMADOU Issifou,Issifou,AMADOU,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Amadou-Issifou-263x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/amadou-issifou/,7
alladatin-jean-baptiste,ALLADATIN Jean-Baptiste,Jean-Baptiste,ALLADATIN,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Alladatin-Jean-Baptiste-263x300.png,Union fait la Nation (UN),,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/alladatin-jean-baptiste/,7
alagbe-jean-marie-couassi,ALAGBE Jean-Marie Couassi,Jean-Marie Couassi,ALAGBE,M,couassi.allagbe@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Jean-Marie-Couassi-ALAGBE-Suppl%C3%A9ant-de-lHe-Gustave-D.-SONON-FCBE-200x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/alagbe-jean-marie-couassi/,7
ahivohozin-norbert,AHIVOHOZIN Norbert,Norbert,AHIVOHOZIN,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Ahivohozin-Norbert-263x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/ahivohozin-norbert/,7
agonkan-gildas-habib-b,AGONKAN Gildas Habib B.,Gildas Habib B.,AGONKAN,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Agonkan-Gildas-263x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/agonkan-gildas-habib-b/,7
agbodjete-h-justin,AGBODJETE H. Justin,H. Justin,AGBODJETE,M,justin.agbodjete@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/Agbodjete-Justin-200x300.png,"Unité, Paix et Démocratie",,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/agbodjete-h-justin/,7
adjovi-justin-cohovi,ADJOVI Justin Cohovi,Justin Cohovi,ADJOVI,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Adjovi-justin-Coovi-263x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/adjovi-justin-cohovi/,7
gbamigbade-joseph,GBAMIGBADE Joseph,Joseph,GBAMIGBADE,M,joseph.bgamigbade@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Joseph-GBAMIGBADE-Suppl%C3%A9ant-de-Fran%C3%A7ois-A.-ABIOLA-FCBE-200x300.png,Bénin uni et solidaire,,,https://assemblee-nationale.bj/index.php/gbamigbade-joseph/,7
gbahoungba-david,GBAHOUNGBA David,David,GBAHOUNGBA,M,david.gbahoungba@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-David-GBAHOUNGBA-FCBE-200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/gbahoungba-david/,7
gbadamassi-rachidi,GBADAMASSI Rachidi,Rachidi,GBADAMASSI,M,rachidi.gbadamassi@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Rachidi-GBADAMASSI-FCBE-200x300.png,Agir pour la République,,,https://assemblee-nationale.bj/index.php/gbadamassi-rachidi,7
garba-yaya,GARBA Yaya,Yaya,GARBA,M,yaya.garba@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-GARBA-Yaya-Suppl%C3%A9ant-de-lHe-Th%C3%A9ophile-YAROU-FCBE-200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/garba-yaya/,7
essou-pascal,ESSOU Pascal,Pascal,ESSOU,M,pascal.essou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-N.-Pascal-ESSOU-FCBE--200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/essou-pascal/,7
donhouahoue-yetonve-janvier,DONHOUAHOUE Yétonvè Janvier,Yétonvè Janvier,DONHOUAHOUE,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Donhouahoue-Janvier-263x300.png,PRD,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/donhouahoue-yetonve-janvier/,7
djiman-k-adolphe,DJIMAN K. Adolphe,K. Adolphe,DJIMAN,M,adolphe.djiman@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Koffi-Adolphe-DJIMAN-RB-RP-200x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/djiman-k-adolphe/,7
djenontin-agossou-valentin,DJENONTIN AGOSSOU Valentin,Valentin,DJENONTIN AGOSSOU,M,valentin.djenontin@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Valentin-DJENONTIN-AGOSSOU-FCBE--200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/djenontin-agossou-valentin/,7
degny-fadegnon-leon,DEGNY Fadegnon Léon,Fadegnon Léon,DEGNY,M,leon.degny@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-L%C3%A9on-DEGNY-Suppl%C3%A9ant-de-lHe-Komi-KOUTCHE-FCBE-200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/degny-fadegnon-leon/,7
degla-assouan-benoit,DEGLA Assouan Bénoît,Assouan Bénoît,DEGLA,M,benoit.degla@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Assouan-Beno%C3%AEt-DEGLA-FCBE--200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/degla-assouan-benoit/,7
degbey-kuadjo-jocelyn,DEGBEY Kuadjo Jocelyn,Kuadjo Jocelyn,DEGBEY,M,jocelyn.degbey@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Kuadjo-Jocelyn-DEGBE-UN--200x300.png,Union fait la Nation,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/degbey-kuadjo-jocelyn/,7
dagniho-rosine,DAGNIHO Rosine,Rosine,DAGNIHO,F,rosine.dagniho@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Rosine-DAGNIHO-FCBE--200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/dagniho-rosine/,7
dafia-ouassagari-abiba,DAFIA OUASSAGARI Abiba,Abiba,DAFIA OUASSAGARI,F,abiba.dafia@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Abiba-O.-DAFIA-FCBE-200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/dafia-ouassagari-abiba/,7
codjo-dossou-simplice,CODJO Dossou Simplice,Dossou Simplice,CODJO,M,simplice.codjo@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Dossou-Simplice-CODJO-FCBE-200x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/codjo-dossou-simplice/,7
chabi-katotcha-maurice,CHABI Katotcha Maurice,Katotcha Maurice,CHABI,M,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/Chabi-Katotcha-Maurice-263x300.png,Agir pour la République,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/chabi-katotcha-maurice/,7
bangana-gilbert,BANGANA Gilbert,Gilbert,BANGANA,M,gilbert.bangana@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Gilbert-BANGANA-FCBE-200x300.png,Agir pour la République,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/bangana-gilbert/,7
gbenonchi-gerard,GBENONCHI Gérard,Gérard,GBENONCHI,M,gerard.gbenonchi@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-G%C3%A9rard-GBENONCHI-UN-200x300.png,Union fait la Nation,,,https://assemblee-nationale.bj/index.php/gbenonchi-gerard/,7
gbenou-paulin,GBENOU Paulin,Paulin,GBENOU,M,paulin.gbenou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Paulin-GBENOU-PRD--200x300.png,PRD,,,https://assemblee-nationale.bj/index.php/gbenou-paulin/,7
gibigaye-mohamed,GIBIGAYE Mohamed,Mohamed,GIBIGAYE,M,mohamed.gibigaye@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Mohamed-GIBIGAYE-FCBE--200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/gibigaye-mohamed/,7
gounou-salifou-abdoulaye,GOUNOU SALIFOU Abdoulaye,Abdoulaye,GOUNOU SALIFOU,M,abdoulaye.gounousalifou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Salifou-Abdoulaye-GOUNOU-Alliance-Eclaireur--200x300.png,Bénin uni et solidaire,,,https://assemblee-nationale.bj/index.php/gounou-salifou-abdoulaye/,7
gounou-sanni,GOUNOU Sanni,Sanni,GOUNOU,M,sanni.gounou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Sanni-GOUNOU-FCBE--200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/gounou-sanni/,7
hinnouho-mohamed-atao,HINNOUHO Mohamed Atao,Mohamed Atao,HINNOUHO,M,atao.hinnouho@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Mohamed-Taofick-Atao-HINNOUHO-RESOATAO--200x300.png,,,,https://assemblee-nationale.bj/index.php/hinnouho-mohamed-atao/,7
houngnibo-k-lucien,HOUNGNIBO K. Lucien,K. Lucien,HOUNGNIBO,M,lucien.houngnibo@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Lucien-K.-HOUNGNIBO-UB--200x300.png,Agir pour la République,,,https://assemblee-nationale.bj/index.php/houngnibo-k-lucien/,7
issa-salifou,ISSA Salifou,Salifou,ISSA,M,salifou.issa@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Salifou-ISSA-Alliance-Soleil--200x300.png,,,,https://assemblee-nationale.bj/index.php/issa-salifou/,7
kate-sabai,KATE SabaÏ,SabaÏ,KATE,M,sabai.kate@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Saba%C3%AF-KATE-FCBE--200x300.png,Agir pour la République,,,https://assemblee-nationale.bj/index.php/kate-sabai/,7
kora-gounou-zime,KORA GOUNOU Zimé,Zimé,KORA GOUNOU,M,zime.kora@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Zim%C3%A9-KORA-GOUNOU-FCBE--200x300.png,Bénin uni et solidaire,,,https://assemblee-nationale.bj/index.php/kora-gounou-zime/,7
koussonda-adjibade-moukaram,KOUSSONDA Adjibadé Moukaram,Adjibadé Moukaram,KOUSSONDA,M,moukaram.koussonda@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Adjibad%C3%A9-Moukaram-KOUSSONDA-UN-200x300.png,Union fait la Nation,,,https://assemblee-nationale.bj/index.php/koussonda-adjibade-moukaram/,7
mitokpe-dossou-guy,MITOKPE Dossou Guy,Dossou Guy,MITOKPE,M,@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/Mitokpe-Guy-1-263x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/mitokpe-dossou-guy/,7
nobime-a-c-patrice,NOBIME A. C. Patrice,Agbodranfo C. Patrice,NOBIME,M,patrice.nobime@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-AGBODRANFO-C.-Patrice-NOBIME-UN-200x300.png,Union fait la Nation,,,https://assemblee-nationale.bj/index.php/nobime-a-c-patrice/,7
nouemou-k-domitien,N’OUEMOU K. Domitien,K. Domitien,N’OUEMOU,M,@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/Nouemou-Domitien-263x300.png,Bénin uni et solidaire,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/nouemou-k-domitien/,7
okounde-k-jean-eudes,OKOUNDE k. Jean-Eudes,k. Jean-Eudes,OKOUNDE,M,kotchikpa.okounde@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Jean-Eudes-OKOUNDE-FCBE-200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/okounde-k-jean-eudes/,7
padonou-corneille,PADONOU Corneille,Corneille,PADONOU,M,corneille.padonou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Corneille-PADONOU-PRD-200x300.png,PRD,,,https://assemblee-nationale.bj/index.php/padonou-corneille/,7
sado-nazaire,SADO Nazaire,Nazaire,SADO,M,nazaire.sado@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Nazaire-SADO-Suppl%C3%A9ant-de-Luc-S.-ATROKPO-RB-RP-200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/sado-nazaire/,7
sani-yibatou-epse-glele,SANI Yibatou Epse GLELE,Yibatou,SANI Epse GLELE,F,yibatou.sani@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Yibatou-SANI-PRD-200x300.png,PRD,,,https://assemblee-nationale.bj/index.php/sani-yibatou-epse-glele/,7
sossou-dakpe,SOSSOU Dakpè,Dakpè,SOSSOU,M,dakpe.sossou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Dakp%C3%A8-SOSSOU-FDU-200x300.png,Unité Paix et Démocratie,,,https://assemblee-nationale.bj/index.php/sossou-dakpe/,7
tchobo-valere,TCHOBO Valère,Valère,TCHOBO,M,valere.tchobo@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Val%C3%A8re-TCHOBO-FCBE-200x300.png,Agir pour le peuple,,,https://assemblee-nationale.bj/index.php/tchobo-valere/,7
togni-cyprien,TOGNI Cyprien,Cyprien,TOGNI,M,cyprien.togni@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Cyprien-TOGNI-AND-200x300.png,Bénin uni et solidaire,,,https://assemblee-nationale.bj/index.php/togni-cyprien/,7
vlavonou-louis,VLAVONOU Louis,Louis,VLAVONOU,M,louis.vlavonou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Louis-VLAVONOU-UN--200x300.png,Union fait la Nation,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/vlavonou-louis/,7
yahouedeou-francois-janvier,YAHOUEDEOU François Janvier,François Janvier,YAHOUEDEHOU,M,janvier.yahouedeou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Janvier-F.-YAHOUEDEOU-RB-RP-200x300.png,Unité Paix et Démocratie,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/yahouedeou-francois-janvier/,7
yarou-sinatoko-kingnare,YAROU SINATOKO Kingnaré,Kingnaré,YAROU SINATOKO,F,"",https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Kingnar%C3%A9-YAROU-SINATOKO-FCBE--200x300.png,Le peuple d’abord,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/yarou-sinatoko-kingnare/,7
yehouetome-boniface,YEHOUETOME Boniface,Boniface,YEHOUETOME,M,boniface.yehouetome@assemblee-nationale.b,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Boniface-YEHOUETOME-RB-RP-200x300.png,,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/yehouetome-boniface/,7
youssoufou-a-n-bida,YOUSSOUFOU A. N. Bida,A. N. Bida,YOUSSOUFOU,M,bida.youssoufou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Nouhoum-BIDA-Suppl%C3%A9ant-de-lHe-Alassane-SOUMANOU-FCBE-200x300.png,Agir pour la République,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/youssoufou-a-n-bida/,7
zinsou-edmond,ZINSOU Edmond,Edmond,ZINSOU,M,edmond.zinsou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Edmond-A.-ZINSOU-PRD-200x300.png,PRD,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/zinsou-edmond/,7
zoumarou-w-b-mamoudou,ZOUMAROU W. B. Mamoudou,W. B. Mamadou,ZOUMAROU,M,mamoudou.zoumarou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/10/He-Walli-Mamoudou-ZOUMAROU-ABT-200x300.png,Unité Paix et Démocratie,,,https://assemblee-nationale.bj/index.php/depute/menu-liste-des-deputes/liste-des-deputes/zoumarou-w-b-mamoudou/,7
