id,position,label,description,start_date,end_date,replaces,replaced_by,of,constituency,term
Q1886385,Q23901083,Minister of Health of Greece,Greek government minister,2014-06-10,2015-01-27,Adonis Georgiades,Panagiotis Kouroumplis,Cabinet of Antonis Samaras,,
Q1886385,Q23901465,"Minister for Infrastructure, Transport and Networks",Greek government minister,2011-11-11,2012-05-17,Giannis Ragousis,,Coalition Cabinet of Lucas Papademos,,
Q18889152,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q19204747,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q19204753,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q19635549,Q18915989,Member of the Hellenic Parliament,"","",,,,,electoral district of Kavala,
Q19635549,Q23640205,,undersecretary to a ministry of the Greek government,"",,,,,,
Q19635549,Q23651608,deputy Finance Minister,undersecretary to a ministry of the Greek government,"",,,,,,
Q19688846,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q19688846,Q19904275,Minister of Public Order,former Greek government position,"",,,,,,
Q19688846,Q19904387,Minister of Transports and Communications of Greece,Greek government minister,"",,,,,,
Q19800641,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q19800641,Q19943050,Minister of Development of Greece,Greek government minister,"",,,,,,
Q19800641,Q23651607,,undersecretary to a ministry of the Greek government,"",,,,,,
Q19800641,Q27169,member of the European Parliament,person who has been elected to the European Parliament,1999,2004,,,,Greece,
Q19864781,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q20127736,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens B,17th Hellenic Parliament
Q20289223,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q20289223,Q19752714,Finance minister of Greece,Greek government minister,1963-10-01,1963-10-08,,,,,
Q20289223,Q19858568,Minister of the Presidency of Greece,Greek government minister,"",,,,,,
Q20289223,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,
Q20293607,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q206421,Q18915989,Member of the Hellenic Parliament,"",1974,1989,,,New Democracy,Achaea,
Q206421,Q19858317,Greek Minister of the Interior,Greek government minister,1974-11-21,1976-09-10,Panagiotis Zepos,,Fifth Cabinet of Konstantinos Karamanlis,,
Q206421,Q19858568,Minister of the Presidency of Greece,Greek government minister,1977-11-28,1981-10-21,Georgios Rallis,Menios Koutsogiorgas,Sixth Cabinet of Konstantinos Karamanlis,,
Q206421,Q20083739,Minister of Social Services of Greece,Greek government minister,1976-09-10,1977-11-28,,,Fifth Cabinet of Konstantinos Karamanlis,,
Q206421,Q23640231,,undersecretary to a ministry of the Greek government,1974-07-26,1974-10-09,,,National Unity Cabinet of Konstantinos Karamanlis,,
Q206421,Q3409203,President of Greece,"",1995-03-10,2005-03-12,Konstantinos Karamanlis,Karolos Papoulias,,,
Q20665697,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens B,
Q20665697,Q24571902,,"",2004-09-17,2010-04-29,,Aristos Kasmiroglou,,,
Q20665697,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,
Q20683583,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q20856023,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q20856023,Q23640264,,undersecretary to a ministry of the Greek government,"",,,,,,
Q20961925,Q1055894,deputy,name for legislator in many countries,2015,,,,,,
Q20961925,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Attica,17th Hellenic Parliament
Q20995407,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,electoral district of Kavala,17th Hellenic Parliament
Q20995414,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q20995433,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens B,17th Hellenic Parliament
Q20995454,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Messenia,17th Hellenic Parliament
Q20995462,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q20995473,Q18915989,Member of the Hellenic Parliament,"",2015,,,,,,
Q20995492,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Thessaloniki A,17th Hellenic Parliament
Q20995510,Q18915989,Member of the Hellenic Parliament,"",2015,,,,,Piraeus A,17th Hellenic Parliament
Q20995514,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q20995529,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q20995530,Q18915989,Member of the Hellenic Parliament,"","",,,,,,16th Hellenic Parliament
Q20995544,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q21436309,Q18915989,Member of the Hellenic Parliament,"","",,,,,Kefalonia,
Q21500758,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q23670532,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q23670542,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q23670544,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens B,
Q23670556,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q23670558,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Electoral district of Lasithi,17th Hellenic Parliament
Q23670587,Q18915989,Member of the Hellenic Parliament,"","",,,,,Elis,
Q23836576,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q24702508,Q18915989,Member of the Hellenic Parliament,"",2015-01,,,,,,17th Hellenic Parliament
Q24702508,Q23640276,,undersecretary to a ministry of the Greek government,2015-01,2015-08,,,,,
Q24703345,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q261762,Q18915989,Member of the Hellenic Parliament,"",1993-10-10,,,,Communist Party of Greece,Athens B,
Q261762,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens B,17th Hellenic Parliament
Q261762,Q6501749,general secretary,leader or chief officer of an organisation,1993-10-10,2013-04-14,Gregory Farakou,Dimitris Koutsoumpas,Communist Party of Greece,,
Q2629028,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q2629028,Q23836175,,"","",,,,,,
Q2629028,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,
Q2629028,Q6865935,Minister for National Defence of Greece,Greek government minister,"",,,,,,
Q2629028,Q83307,minister,politician who holds significant public office in a national or regional government,"",,,,,,
Q26806431,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens B,
Q26868971,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Thessaloniki B,17th Hellenic Parliament
Q2840961,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens A,
Q2857774,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Thessaloniki A,17th Hellenic Parliament
Q3124878,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q3124878,Q20128285,Minister of the Aegean,Greek government minister,"",,,,,,
Q3124878,Q20128304,Minister of Tourism of Greece,Greek government minister,"",,,,,,
Q3124878,Q23652109,,undersecretary to a ministry of the Greek government,"",,,,,,
Q3124878,Q23653081,,undersecretary to a ministry of the Greek government,"",,,,,,
Q3124878,Q23836191,,"","",,,,,,
Q3124878,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004,2007,,,,,
Q3124878,Q28032753,,Greek prefect,"",,,,,,
Q313432,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q3559189,Q18915989,Member of the Hellenic Parliament,"",1989,2012,,,Panhellenic Socialist Movement,Piraeus B,
Q3559189,Q19858626,Minister of Commercial Marine of Greece,Greek government minister,2010-09-07,2011-11-17,Louka Katseli,Michalis Chrisochoidis,Cabinet of George Papandreou,,
Q365209,Q18915989,Member of the Hellenic Parliament,"",1974,1975,,,New Democracy,,
Q365209,Q19858317,Greek Minister of the Interior,Greek government minister,1945-04-08,1945-08-11,Georgios Athanasiadis-Novas,Petros Voulgaris,,,
Q365209,Q19858568,Minister of the Presidency of Greece,Greek government minister,1956-02-29,1958-03-05,Georgios Rallis,,Second Cabinet of Konstantinos Karamanlis,,
Q365209,Q19858568,Minister of the Presidency of Greece,Greek government minister,1958-05-17,1961-09-20,Michail Stasinopoulos,,Third Cabinet of Konstantinos Karamanlis,,
Q365209,Q19858608,Minister of Aviation of Greece,former Greek cabinet position,1945-11-01,1945-11-22,Geórgios Alexandrís,Theodoros Manetas,,,
Q365209,Q19860560,Minister of Justice of Greece,Greek government minister,1945-04-08,1945-08-11,,,,,
Q365209,Q19860560,Minister of Justice of Greece,Greek government minister,1967-04-03,1967-04-21,,,Caretaker Cabinet of Panagiotis Kanellopoulos,,
Q365209,Q19904310,Minister of Social Care of Greece,Greek government minister,1962-12-20,1963-06-19,Andreas Stratos,,Fourth Cabinet of Konstantinos Karamanlis,,
Q365209,Q19942365,Minister of Culture and Sciences of Greece,Greek government minister,1974-06-24,1974-10-09,,I. M. Panagiōtópoulos,National Unity Cabinet of Konstantinos Karamanlis,,
Q365209,Q20685769,Minister of Religions and National Education of Greece,former Greek cabinet position,1949-01-20,1950-01-06,,Geōrgios P. Oikonomos,,,
Q365209,Q23653052,,undersecretary to a ministry of the Greek government,1950-12-05,1951-05-22,,Petros Garoufalias,Third Cabinet of Sofoklis Venizelos,,
Q365209,Q23653052,,undersecretary to a ministry of the Greek government,1951-07-04,1951-09-30,Georgios Papandreou,,Third Cabinet of Sofoklis Venizelos,,
Q365209,Q23768979,President of the Academy of Athens,"",1966-01,1966-12,Georgios Athanasiadis-Novas,,,,
Q365209,Q23772807,Member of the Athens Academy,"",1961,,,,,,
Q365209,Q23901458,Minister of the Press and Information,Greek government minister,1945-11-01,1945-11-22,Georgios Kartalis,Ioannis Sofianopoulos,,,
Q365209,Q23901461,Minister of Hygiene and Social Welfare of Greece,Greek government minister,1945-04-08,1945-04-11,,,,,
Q365209,Q3409203,President of Greece,"",1975-07-19,1980-05-10,Michail Stasinopoulos,Konstantinos Karamanlis,,,
Q44056899,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q44056984,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens B,17th Hellenic Parliament
Q44057129,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Piraeus A,17th Hellenic Parliament
Q44078176,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q4813213,Q18915989,Member of the Hellenic Parliament,"",2000,,,,New Democracy,Attica,17th Hellenic Parliament
Q4813213,Q23651607,,undersecretary to a ministry of the Greek government,2009-01-07,2009-10-06,Yannis Papathanasiou,Philippos Sachinidis,Second Cabinet of Kostas Karamanlis,,
Q543596,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,electoral district of Magnisia,17th Hellenic Parliament
Q5473954,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens A,
Q570210,Q18915989,Member of the Hellenic Parliament,"","",,,,,Piraeus A,
Q570210,Q20972317,Mayor of Piraeus,"","",,,,,,
Q606433,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q606433,Q19858443,Minister of National Education and Religious Affairs of Greece,"Greek minister in charge of ""National Education and Religious Affairs"" between 1955 and 2009",1986-04-25,1988-05-09,,,,,
Q606433,Q19942136,"Minister of Environment, Planning and Public Works of Greece",Greek government minister,"",,,,,,
Q606433,Q20639919,Mayor of Athens,Mayor of the Greek capital Athens,"",,,,,,
Q606433,Q23901442,Minister of Education,Greek government minister,"",,,,,,
Q6433534,Q18915989,Member of the Hellenic Parliament,"",2015-01-20,,,,,Thessaloniki A,17th Hellenic Parliament
Q6771308,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q6771308,Q19904343,Minister of Industry of Greece,Greek government minister,"",,,,,,
Q701080,Q16147098,Minister for Foreign Affairs of Greece,Greek government minister,1981-10-21,1985-07-26,Konstantinos Mitsotakis,Karolos Papoulias,,,
Q701080,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q701080,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,
Q701080,Q3394691,Deputy Prime Minister of Greece,"","",,,,,,
Q701080,Q6865935,Minister for National Defence of Greece,Greek government minister,"",,,,,,
Q704242,Q18915989,Member of the Hellenic Parliament,"","",,,,,electoral district of Kastoria,
Q704242,Q19860560,Minister of Justice of Greece,Greek government minister,"",,,,,,
Q704242,Q19904275,Minister of Public Order,former Greek government position,"",,,,,,
Q704242,Q19942337,Minister of Macedonia-Thrace,Greek government minister,"",,,,,,
Q704242,Q23640221,,undersecretary to a ministry of the Greek government,"",,,,,,
Q704242,Q23652109,,undersecretary to a ministry of the Greek government,"",,,,,,
Q704242,Q23836177,,"","",,,,,,
Q704242,Q7574264,Speaker of the Hellenic Parliament,"","",,,,,,
Q7129831,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q7129831,Q21485921,,undersecretary to a ministry of the Greek government,"",,,,,,
Q7129831,Q26722162,Chief of the Hellenic National Defence General Staff,"",2005,2007,,,,,
Q7786625,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Piraeus A,17th Hellenic Parliament
Q7916956,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens A,17th Hellenic Parliament
Q7916956,Q23901391,Minister of Public Order and Citizen Protection,Greek government minister,"",,,,,,
Q9340768,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q9340768,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,
Q9340768,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,
Q983862,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q983862,Q23652102,,undersecretary to a ministry of the Greek government,"",,,,,,
