id,name__en,name__gu,name__te,name__hi,name__mr,name__ne,name__sa,name__de,name__nl,name__fr,name,wikipedia__en,wikipedia__hi,gender,birth_date,given_name,original_wikiname,name__ta,wikipedia__mr,wikipedia__ta,image,website,name__nb,name__da,name__nn,name__sv,name__or,name__it,name__id,wikipedia__id,name__ru,name__es,wikipedia__ru,name__bn,wikipedia__bn,wikipedia__commons,wikipedia__es,identifier__IMDB,name__ml,wikipedia__ml,wikipedia__te,identifier__VIAF,name__pa,wikipedia__pa,wikipedia__enwikiquote,wikipedia__hiwikiquote,name__ur,name__zh,wikipedia__fr,wikipedia__sa,wikipedia__sv,wikipedia__ur,wikipedia__zh,identifier__freebase,identifier__FAST,name__pl,name__kn,wikipedia__kn,wikipedia__ne,wikipedia__pl,death_date,family_name,identifier__ISNI,identifier__BNF,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__jv,name__eu,name__ms,name__hu,name__et,name__my,name__ar,name__pt,name__eo,name__tr,name__fi,name__uk,name__be_tarask,name__tl,name__nan,name__be,name__he,name__ko,name__ja,name__vi,name__ca,name__la,name__cy,name__os,name__fa,name__bg,name__ka,name__arz,name__oc,name__el,name__yue,name__mai,wikipedia__ar,wikipedia__arz,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gu,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__mai,wikipedia__ms,wikipedia__my,wikipedia__nl,wikipedia__no,wikipedia__or,wikipedia__os,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ruwikinews,wikipedia__simple,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__OLID,identifier__NKC,identifier__NTA,identifier__Munzinger,identifier__GTAA,name__en_ca,name__en_gb,name__as,wikipedia__as,name__de_ch,name__si,name__hif,name__gl,name__sh,name__sco,name__pnb,name__th,name__cs,name__lb,name__pt_br,name__lt,name__sr,name__bh,name__bcl,name__lv,name__yi,name__mk,name__br,name__ckb,name__xmf,name__hy,name__ks,name__uz,name__ga,name__af,wikipedia__af,wikipedia__bcl,wikipedia__bh,wikipedia__br,wikipedia__ckb,wikipedia__cs,wikipedia__cswikiquote,wikipedia__ga,wikipedia__gl,wikipedia__hif,wikipedia__hy,wikipedia__ks,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__nn,wikipedia__oc,wikipedia__pnb,wikipedia__sco,wikipedia__sh,wikipedia__si,wikipedia__sr,wikipedia__tewikiquote,wikipedia__th,wikipedia__uz,wikipedia__xmf,wikipedia__yi,identifier__Britannica,twitter,identifier__AlloCine,identifier__allmovie,identifier__MusicBrainz,identifier__NNDB,identifier__CANTIC,name__ro,name__yo,name__sq,wikipedia__ro,wikipedia__yo,name__dv,name__ps,name__az,name__kk,name__mg,name__ce,wikipedia__az,wikipedia__ce,wikipedia__dv,wikipedia__kk,wikipedia__mg,wikipedia__ps,facebook,name__bho,wikipedia__bgwikiquote,name__an,name__bs,name__ceb,name__hr,name__is,name__lmo,name__nds,name__nds_nl,name__pms,name__sk,name__sl,name__vec,name__wa,name__gsw,electoral_district,identifier__CSPAN,identifier__TED,identifier__elonet,identifier__PORT,identifier__KLfG,last_seen,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,identifier__DNF,identifier__NLA,wikipedia__tawikiquote,identifier__NUKAT,wikipedia__enwikisource,identifier__SFDb,name__sd,identifier__SCOPE,wikipedia__tcy,name__tcy,identifier__BNE,identifier__guardian_topic,wikipedia__itwikiquote,occupation,wikipedia__gom,name__gom,identifier__flickr,identifier__nyt_topic,identifier__quora,identifier__ne_se,identifier__BBC_things,wikipedia__ie,name__ie,name__ast,name__ext,wikipedia__vep,wikipedia__dty,name__dty,name__vep,identifier__BIBSYS,identifier__NSK,identifier__goodreads,wikipedia__sd,instagram,wikipedia__is,identifier__SELIBR,name__anp,identifier__EGAXA,wikipedia__azb,name__azb,identifier__NLP,wikipedia__wuu,identifier__bigenc_ru,identifier__GNC,wikipedia__an,name__wuu,wikipedia__io,wikipedia__war,name__war,name__io,identifier__discogs,wikipedia__ast,name__ace,name__min,name__su,name__map_bms,name__bug,name__bjn,name__tet,name__gor,identifier__prsindia,wikipedia__sat,name__sat,identifier__CONOR
Q16275112,Bharti Shiyal,ભારતી શિયાલ,భార్తీబెన్ షియాల్,भारती शियाल,भारती शियाल,भारती शियाल,भारती शियाल,Bharti Shiyal,Bharti Shiyal,Bharti Shiyal,Bharti Shiyal,Bharti Shiyal,भारती शियाल,female,1964-03-23,,,,भारतीबेन शियाळ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q163225,Sonia Gandhi,સોનિયા ગાંધી,సోనియా గాంధీ,सोनिया गांधी,सोनिया गांधी,सोनिया गांधी,सोनिया गान्धी,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,सोनिया गांधी,female,1946-12-09,Sonia,,சோனியா காந்தி,सोनिया गांधी,சோனியா காந்தி,https://upload.wikimedia.org/wikipedia/commons/8/89/Gandhisonia05052007.jpg,http://inc.in/LeaderProfile.aspx?Id=996&&Org=Profile,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,ସୋନିଆ ଗାନ୍ଧୀ,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Соня Ганди,Sonia Gandhi,"Ганди, Соня",সোনিয়া গান্ধী,সোনিয়া গান্ধী,Category:Sonia Gandhi,Sonia Gandhi,,സോണിയ ഗാന്ധി,സോണിയ ഗാന്ധി,సోనియా గాంధీ,113285195,ਸੋਨੀਆ ਗਾਂਧੀ,ਸੋਨੀਆ ਗਾਂਧੀ,,,سونیا گاندھی,索尼娅·甘地,Sonia Gandhi,सोनिया गान्धी,Sonia Gandhi,سونیا گاندھی,索尼娅·甘地,/m/016rwt,272724,Sonia Gandhi,ಸೋನಿಯಾ ಗಾಂಧಿ,ಸೋನಿಯಾ ಗಾಂಧಿ,सोनिया गान्धी,Sonia Gandhi,,Gandhi,0000 0000 8410 5950,121362812,索尼娅·甘地,桑妮雅·甘地,桑妮雅·甘地,索尼娅·甘地,索尼娅·甘地,桑妮雅·甘地,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,ဆိုနီယာဂန္ဒီ,سونيا غاندي,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Соня Ганді,Соня Гандзі,Sonia Gandhi,Sonia Gandhi,Соня Гандзі,סוניה גנדי,소냐 간디,ソニア・ガンディー,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Ганди,سونیا گاندی,Соня Ганди,სონია განდი,سونيا جاندى,Sonia Gandhi,Σόνια Γκάντι,桑妮雅甘地,सोनिया गान्धी,سونيا غاندي,سونيا جاندى,Соня Гандзі,Соня Гандзі,Соня Ганди,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Σόνια Γκάντι,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,سونیا گاندی,Sonia Gandhi,સોનિયા ગાંધી,סוניה גנדי,Sonia Gandhi,Sonia Gandhi,ソニア・ガンディー,Sonia Gandhi,სონია განდი,소냐 간디,Sonia Gandhi,सोनिया गान्धी,Sonia Gandhi,ဆိုနီယာဂန္ဒီ,Sonia Gandhi,Sonia Gandhi,ସୋନିଆ ଗାନ୍ଧୀ,"Ганди, Соня",Sonia Gandhi,Sonia Gandhi,Категория:Соня Ганди,Sonia Gandhi,Sonia Gandhi,Sonia Gandhi,Соня Ганді,Sonia Gandhi,Sonia Gandhi,桑妮雅甘地,119433109,nr90012454,029816378,OL702280A,xx0116849,074566695,00000022512,100802,,,,,,,,,,Sonia Gandhi,سونیا گاندھی,,Sonia Gándhíová,,,,,,,,,,,,,,,,,,,,सोनिया गांधी,,,Sonia Gándhíová,,,,,,,,,,,,سونیا گاندھی,Sonia Gandhi,,,,,,,,,biography/Sonia-Gandhi,,,,,745/000047604,a12140831,,,,,,,,,,,,,,,,,,,सोनिया गांधी,,,,,,Sonia Gandhi,,,,,,Sonia Gandhi,,,,,,,,,,,,,,,,சோனியா காந்தி,,,,,,,,,world/sonia-gandhi,,politician,Sonia Gandhi,Sonia Gandhi,,,Sonia-Gandhi-Indian-politician,,,,,,,,सोनिया गान्धी,सोनिया गान्धी,,,,,,,Sonia Gandhi,,,,,,,,,0249616,,,,,,,,,,,,,,,,,soniagandhi,,,132105827
Q16466358,Raj Kumar Saini,રાજ કુમાર,రాజ్ కుమార్ సైనీ,राज कुमार सैनी,राज कुमार,राज कुमार,राज कुमार,Raj Kumar Saini,Raj Kumar Saini,Raj Kumar Saini,Raj Kumar Saini,Raj Kumar Saini,राज कुमार सैनी,male,1953-07-01,Raj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,rajkumarsaini28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rajkumarsaini,,,
Q16466363,Uday Pratap Singh,ઉદય પ્રતાપ સિંહ,ఉదయ్ ప్రతాప్ సింగ్,उदय प्रताप सिंह,उदय प्रताप सिंह,उदय प्रताप सिंह,उदय प्रताप सिंह,Uday Pratap Singh,Uday Pratap Singh,Uday Pratap Singh,Uday Pratap Singh,Uday Pratap Singh (Madhya Pradesh politician),,male,1964-06-09,Uday,,,,,,,,,,,,,,,,,,উদয় প্রতাপ সিং,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16466511,Laxman Giluwa,લક્ષ્મણ ગિલુવા,లక్ష్మణ్ గిలువా,लक्ष्मण गिलुवा,लक्ष्मण गिलुवा,लक्ष्मण गिलुवा,लक्ष्मण गिलुवा,Laxman Giluwa,Laxman Giluwa,Laxman Giluwa,Laxman Giluwa,Laxman Giluwa,लक्ष्मण गिलुवा,male,1964,,,லட்சுமண் கிலுவா,,லட்சுமண் கிலுவா,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laxmangiluwa,,,
Q1652493,Sushma Swaraj,સુષ્મા સ્વરાજ,సుష్మాస్వరాజ్,सुषमा स्वराज,सुषमा स्वराज,सुषमा स्वराज,सुषमा स्वराज,Sushma Swaraj,Sushma Swaraj,Sushma Swaraj,Sushma Swaraj,Sushma Swaraj,सुषमा स्वराज,female,1952-02-14,Sushma,,சுஷ்மா சுவராஜ்,सुषमा स्वराज,சுஷ்மா சுவராஜ்,https://upload.wikimedia.org/wikipedia/commons/6/66/Secretary_Tillerson_is_Greeted_by_Indian_Minister_of_External_Affairs_Swaraj_(24074726498)_(cropped).jpg,,Sushma Swaraj,Sushma Swaraj,Sushma Swaraj,Sushma Swaraj,ସୁଷମା ସ୍ଵରାଜ,,Sushma Swaraj,Sushma Swaraj,"Сварадж, Сушма",Sushma Swaraj,"Сварадж, Сушма",সুষমা স্বরাজ,সুষমা স্বরাজ,Category:Sushma Swaraj,Sushma Swaraj,,സുഷമ സ്വരാജ്,സുഷമാ സ്വരാജ്,సుష్మాస్వరాజ్,,ਸੁਸ਼ਮਾ ਸਵਰਾਜ,ਸੁਸ਼ਮਾ ਸਵਰਾਜ,Sushma Swaraj,,سشما سوراج,苏斯马·斯瓦拉杰,Sushma Swaraj,सुषमा स्वराज,,سشما سوراج,,/m/0fml1k,,Sushma Swaraj,ಸುಷ್ಮಾ ಸ್ವರಾಜ್,ಸುಷ್ಮಾ ಸ್ವರಾಜ್,सुषमा स्वराज,Sushma Swaraj,,,,,,蘇詩馬·斯瓦拉吉,,苏诗马·斯瓦拉吉,,,,,,Sushma Swaraj,Sushma Swaraj,,سوشما سواراج,,,,,,,,,,סושמה סוואראג',,スシュマ・スワラージ,Sushma Swaraj,,Sushma Swaraj,,,سوشما سوآراج,,,,,,,सुषमा स्वराज,,,,,,,,,Sushma Swaraj,,,Sushma Swaraj,,سوشما سوآراج,,સુષ્મા સ્વરાજ,סושמה סוואראג',,,スシュマ・スワラージ,,,,Sushma Swaraj,सुषमा स्वराज,,,,,ସୁଷମା ସ୍ୱରାଜ,,,,,,,,,Sushma Swaraj,,,,,,,,,,,,,,,,,,,,,,,Sušma Svarádžová,,,,,,,,,,,,,,,,,,,,सुषमा स्वराज,,,Sušma Svarádžová,,,,,,,,,,,,,,,,,,,,,,biography/Sushma-Swaraj,SushmaSwaraj,,,,,,,,,,,,,,,,,,,,,,,,सुषमा स्वराज,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Sushma-Swaraj-Minister-of-External-Affairs,,,,,,,,सुषमा स्वराज,सुषमा स्वराज,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sushmaswaraj,,,
Q16556653,Devji M Patel,દેવજી પટેલ,దేవజీ పటేల్,देवजी पटेल,देवजी पटेल,देवजी पटेल,देवजी पटेल,,Devji M Patel,Devji M Patel,Devji M Patel,Devji Patel,देवजी पटेल,male,1976-09-25,,,தேவிஜி.எம்.படேல்,,தேவிஜி.எம்.படேல்,https://upload.wikimedia.org/wikipedia/commons/9/94/DEVJI_M_PATEL.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devjimpatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16604114,Chintaman Vanaga,ચિંતામન વનગા,చింతామన్ ఎన్. వాంగా,चिंतामन वनगा,चिंतामन वनगा,चिंतामन वनगा,चिंतामन वनगा,Chintaman Vanaga,Chintaman Vanaga,Chintaman Vanaga,Chintaman Vanaga,Chintaman Vanaga,चिंतामन वनगा,male,1956-06-01,,,சிந்தாமண் நவ்சா,चिंतामण नवशा वनगा,சிந்தாமண் நவ்சா,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16727502,Bodh Singh Bhagat,બોધ સિંહ ભગત,బోధ్ సింగ్ భగత్,बोध सिंह भगत,बोध सिंह भगत,बोध सिंह भगत,बोध सिंह भगत,Bodh Singh Bhagat,Bodh Singh Bhagat,Bodh Singh Bhagat,Bodh Singh Bhagat,Bodh Singh Bhagat,,male,1955-05-21,,,,,,,,,,,,,Bodh Singh Bhagat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16727503,Subhash Bhamre,સુભાષ રામરાવ ભામરે,సుభాష రామరావ్ భామరే,सुभाष रामराव भामरे,सुभाष रामराव भामरे,सुभाष रामराव भामरे,सुभाष रामराव भामरे,Subhash Bhamre,Subhash Bhamre,Subhash Bhamre,Subhash Bhamre,Subhash Bhamre,सुभाष रामराव भामरे,male,1953,,,சுபாஷ் ராம்ராவ்,सुभाष रामराव भामरे,சுபாஷ் ராம்ராவ்,"https://upload.wikimedia.org/wikipedia/commons/8/82/The_foundation_stone_for_the_construction_of_DRDO_established_IIT_Bombay_&_IIT_Madras_bi-nodal_‘Centre_of_Propulsion_Technology’_(CoPT)_was_laid_at_IIT_Bombay_premises_by_Minister_of_State_for_Defence,_Dr._Subhash_Bhamre.jpg",,,,,,,,,,,,,,,Category:Subhash Bhamre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16728004,Chirag Paswan,ચિરાગ પાસવાન,చిరాగ్ పాశ్వాన్,चिराग पासवान,चिराग पासवान,चिराग पासवान,चिराग पासवान,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,चिराग पासवान,male,1982-10-31,,,சிரக் பஸ்வான்,,சிரக் பஸ்வான்,,,,,,,,,Chirag Paswan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirag Paswan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Chirag-Paswan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,Chirag Paswan,,,,
Q16728021,Ashwini Kumar Choubey,અશ્વિની કુમાર ચૌબે,అశ్వినీ కుమార్ చౌబే,अश्विनी कुमार चौबे,अश्विनी कुमार चौबे,अश्विनी कुमार चौबे,अश्विनी कुमार चौबे,Ashwini Kumar Choubey,Ashwini Kumar Choubey,Ashwini Kumar Choubey,Ashwini Kumar Choubey,Ashwini Kumar Choubey,अश्विनी कुमार चौबे,male,1953-01-02,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/45/Ashwini_Kumar_Choubey_addressing_at_the_signing_ceremony_of_an_MoU_between_the_Ministry_of_Skill_Development_and_Entrepreneurship,_Ministry_of_Health_&_Family_Welfare_and_MEITY,_in_New_Delhi.JPG",,,,,,,,,,,,,,,Category:Ashwini Kumar Choubey,,,,,,,,,,,,,,,,,,,,,,,,,,Choubey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,अश्विनी कुमार चौबे,,,,,,,,,,,,,,,,,,,,,,,,ashwinikumarchoubey,,,
Q16728047,Rajesh Chudasama,રાજેશ ચુડાસમા,రాజేష్ చుడాసమ,राजेश चुडासमा,राजेश चुडासमा,राजेश चुडासमा,राजेश चुडासमा,Rajesh Chudasama,Rajesh Chudasama,Rajesh Chudasama,Rajesh Chudasama,Rajesh Chudasama,राजेश चुडासमा,male,1982-04-10,Rajesh,,,राजेश चुडासमा,,https://upload.wikimedia.org/wikipedia/commons/0/01/Rajesh_Chudasama.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chudasama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16728533,Dhananjay Mahadik,ધનંજય મહાદિક,ధనంజయ్ భీమ్రా‍వ్ మహదీక్,धनंजय महादिक,धनंजय महादिक,धनंजय महादिक,धनंजय महादिक,Dhananjay Mahadik,Dhananjay Mahadik,Dhananjay Mahadik,Dhananjay Mahadik,Dhananjay Mahadik,धनंजय महादिक,male,,,,தனஞ்சய் பீம்ராவ்,धनंजय महाडिक (राजकारणी),தனஞ்சய் பீம்ராவ்,,,,,,,ଧନଞ୍ଜୟ ମହାଦିକ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16728677,Satish Chandra Dubey,સતીશ ચન્દ્ર દુબે,సతీశ్ చంద్ర దుబే,सतीश चन्द्र दुबे,सतीश चन्द्र दुबे,सतीश चन्द्र दुबे,सतीश चन्द्र दुबे,Satish Chandra Dubey,Satish Chandra Dubey,Satish Chandra Dubey,Satish Chandra Dubey,Satish Chandra Dubey,,male,1975,Satish,,ஸதீஷ் சந்திர துபே,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satishchandradubey,,,
Q16729140,Sunil Gaikwad,સુનીલ ગાયકવાડ઼,సునిల్ బలిరామ్‍ గాయక్వాడ్,सुनील गायकवाड़,सुनील गायकवाड़,सुनील गायकवाड़,सुनील गायकवाड़,Sunil Gaikwad,Sunil Gaikwad,Sunil Gaikwad,Sunil Gaikwad,Sunil Gaikwad,,male,1970-06-19,Sunil,,சுனில் கைக்வாட்,सुनील गायकवाड,சுனில் கைக்வாட்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729328,G. Nagesh,જી૰ નાગેશ,గోదాం నాగేష్,जी॰ नागेश,जी॰ नागेश,जी॰ नागेश,जी॰ नागेश,,G. Nagesh,G. Nagesh,G. Nagesh,G. Nagesh,जी॰ नागेश,male,1964-10-21,G.,,ஜி. நாகேஷ்,,ஜி. நாகேஷ்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
