id,name,birth_date,image,email,party,start_date,end_date,area,area_id,source,term
beka-natsvlishvili,Beka Natsvlishvili,1977-10-19,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5658.jpg?itok=pIwGN5dM,bnatsvlishvili@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,#10 Isani,10,http://www.chemiparlamenti.ge/en/parliamentarian/beka-natsvlishvili,9
beka-odisharia,Beka Odisharia,1974-09-02,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5656_1.jpg?itok=uLy1cP5a,bodisharia@parliament.ge,The Georgian Dream,2016-11-18,,#7 Krtsanisi,7,http://www.chemiparlamenti.ge/en/parliamentarian/beka-odisharia,9
bidzina-gegidze,Bidzina Gegidze,1958-03-03,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5652_0.jpg?itok=6DRcDEGs,bgegidze@parliament.ge,The Georgian Dream,2016-11-18,,#2 Vake,2,http://www.chemiparlamenti.ge/en/parliamentarian/bidzina-gegidze,9
david-bakradze,David Bakradze,1972-07-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/1993.jpg?itok=5P3QKPSQ,dbakradze@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/david-bakradze,9
david-chichinadze,David Chichinadze,1965-07-31,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5207.jpg?itok=qrk6TrqJ,dchichinadze@parliament.ge,The Georgian Dream,2016-11-18,,#9 Isani,9,http://www.chemiparlamenti.ge/en/parliamentarian/david-chichinadze,9
david-matikashvili,David Matikashvili,1978-08-14,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-03/Matikashvili.jpg?itok=MN2kCdJk,"",The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/david-matikashvili,9
david-songhulashvili,David Songhulashvili,1983-01-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5669.jpg?itok=lvl_d1lk,dsonghulashvili@parliament.ge,The Georgian Dream,2016-11-18,,#24 Gurjaani,24,http://www.chemiparlamenti.ge/en/parliamentarian/david-songhulashvili,9
dimitri-khundadze,Dimitri Khundadze,1968-11-30,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2276.jpg?itok=c_4fWhER,dkhundadze@parliament.ge,The Georgian Dream,2016-11-18,,#37 Mtskheta,37,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-khundadze,9
dimitri-mkheidze,Dimitri Mkheidze,1974-06-21,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5685.jpg?itok=tV32fohS,dmkheidze@parliament.ge,Georgian Dream - Greens,2016-11-18,,#48 Kutaisi,48,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-mkheidze,9
dimitri-samkharadze,Dimitri Samkharadze,1981-05-16,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5627.jpg?itok=nQBla4-C,dsamkharadze@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-samkharadze,9
dimitri-tskitishvili,Dimitri Tskitishvili,1975-07-24,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2789.jpg?itok=q6Kl1wh4,dimitrits@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-tskitishvili,9
edisher-toloraia,Edisher Toloraia,1978-08-22,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5700.jpg?itok=L9EeTp2u,etoloraia@parliament.ge,The Georgian Dream,2016-11-18,,#66 Zugdidi,66,http://www.chemiparlamenti.ge/en/parliamentarian/edisher-toloraia,9
eka-beselia,Eka Beselia,1971-11-06,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2047.jpg?itok=N0Vrlmp7,ebeselia@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/eka-beselia,9
elene-khoshtaria,Elene Khoshtaria,1979-11-18,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5637.jpg?itok=r0cAxMPq,ekhoshtaria@parliament.ge,European Georgia,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/elene-khoshtaria,9
elguja-gotsiridze,Elguja Gotsiridze,1958-03-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5687.jpg?itok=FOCCE33n,egotsiridze@parliament.ge,The Georgian Dream - Entrepreneurs,2016-11-18,,#50 Terjola,50,http://www.chemiparlamenti.ge/en/parliamentarian/elguja-gotsiridze,9
emzar-kvitsiani,Emzar Kvitsiani,1961-04-25,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5650.jpg?itok=1AztkoTm,ekvitsiani@parliament.ge,Patriots of Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/emzar-kvitsiani,9
endzela-machavariani,Endzela Machavariani,1964-07-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5634.jpg?itok=LhkSMbfJ,ematchavariani@parliament.ge,The Georgian Dream,2016-11-16,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/endzela-machavariani,9
enzel-mkoiani,Enzel Mkoiani,1959-05-03,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2204.jpg?itok=z45f1nLy,emkoian@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,#46 Akhalkalaki,46,http://www.chemiparlamenti.ge/en/parliamentarian/enzel-mkoiani,9
erekle-tripolski,Erekle Tripolski,1951-09-24,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2018.jpg?itok=u7qtqJY2,etripolski@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/erekle-tripolski,9
gedevan-popkhadze,Gedevan Popkhadze,1975-03-11,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2094.jpg?itok=opBepo_n,gphophkhadze@parliament.ge,The Georgian Dream,2016-11-18,,#45 Borjomi,45,http://www.chemiparlamenti.ge/en/parliamentarian/gedevan-popkhadze,9
gela-mikadze,Gela Mikadze,1971-01-30,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5649.jpg?itok=ugUdRJWv,gmikadze@parliament.ge,Patriots of Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/gela-mikadze,9
gela-samkharauli,Gela Samkharauli,1970-09-04,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2051.jpg?itok=VIHTCBok,gsamkharauli@parliament.ge,The Georgian Dream,2016-11-18,,#28 Akhmeta,28,http://www.chemiparlamenti.ge/en/parliamentarian/gela-samkharauli,9
genadi-margvelashvili,Genadi Margvelashvili,1968-04-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5684.jpg?itok=4Mb3txlg,gmargvelashvili@parliament.ge,The Georgian Dream,2016-11-18,,#47 Kutaisi,47,http://www.chemiparlamenti.ge/en/parliamentarian/genadi-margvelashvili,9
george-gviniashvili,George Gviniashvili,1969-03-26,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2.jpg?itok=RCSKNNzd,gghviniashvili@parliament.ge,მოძრაობა თავისუფლებისთვის - რეგიონები,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/george-gviniashvili,9
gia-benashvili,Gia Benashvili,1964-09-30,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5635.jpg?itok=Xk0jswiF,gbenashvili@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/gia-benashvili,9
gia-jorjoliani,Gia Jorjoliani,1954-11-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/3.jpg?itok=0CCQYKmG,gzhorzholiani@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/gia-jorjoliani,9
giga-bukia,Giga Bukia,1967-10-13,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2365.jpg?itok=KFkQXGtW,gibukia@parliament.ge,The Georgian Dream - Conservatives,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/giga-bukia,9
giorgi-begadze,Giorgi Begadze,1972-11-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5673_0.jpg?itok=t_i00w0E,gbegadze@parliament.ge,Georgian Dream - Greens,2016-11-18,,#30 Rustavi,30,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-begadze,9
giorgi-bokeria,Giorgi Bokeria,1972-04-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5307.jpg?itok=kvHPyCPb,gbokeria@parliament.ge,European Georgia,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-bokeria,9
giorgi-gachechiladze,Giorgi Gachechiladze,1954-06-24,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2041.jpg?itok=_apdl8ST,ggachechiladze@parliament.ge,Georgian Dream - Greens,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-gachechiladze,9
giorgi-kakhiani,Giorgi Kakhiani,1973-12-10,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2564_0.jpg?itok=53v1hpWz,gkakhiani@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-kakhiani,9
giorgi-kandelaki,Giorgi Kandelaki,1982-08-05,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2005.jpg?itok=iu9KuBjK,gkandelaki@parliament.ge,European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-kandelaki,9
giorgi-khatidze,Giorgi Khatidze,1978-11-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/1.jpg?itok=RkDGbCbK,gkhatidze@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-khatidze,9
giorgi-kopadze,Giorgi Kopadze,1960-02-28,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5683.jpg?itok=VqX6m5lO,gkopadze@parliament.ge,The Georgian Dream,2016-11-18,,#44 Akhaltsikhe,44,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-kopadze,9
giorgi-lomia,Giorgi Lomia,1975-05-10,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5648.jpg?itok=WOiyIGVm,glomia@parliament.ge,Patriots of Georgia,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-lomia,9
giorgi-mosidze,Giorgi Mosidze,1972-05-05,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5659.jpg?itok=yc1_085B,gmosidze@parliament.ge,The Georgian Dream,2016-11-18,,#11 Isani,11,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-mosidze,9
giorgi-totladze,Giorgi Totladze,1983-02-10,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5680_0.jpg?itok=yX2odrRW,gtotladze@parliament.ge,The Georgian Dream,2016-11-18,,#40 Kareli,40,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-totladze,9
giorgi-tsereteli,Giorgi Tsereteli,1964-02-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2092.jpg?itok=-KWcQWn0,gtsereteli@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-tsereteli,9
giorgi-tughushi,Giorgi Tughushi,1977-03-26,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5639.jpg?itok=8A2eLrnG,gtugushi@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-tughushi,9
giorgi-volski,Giorgi Volski,1957-01-18,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2456.jpg?itok=jutmHW8B,gvolski@parliament.ge,The Georgian Dream,2016-11-18,,#14 Chughureti,14,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-volski,9
gocha-enukidze,Gocha Enukidze,1962-04-08,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2110.jpg?itok=J_3GzfK8,genukidze@parliament.ge,The Georgian Dream,2016-11-18,,#58 Ambrolauri,58,http://www.chemiparlamenti.ge/en/parliamentarian/gocha-enukidze,9
goderdzi-chankseliani,Goderdzi Chankseliani,1969-03-06,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5675.jpg?itok=pP2E06eX,gchankseliani@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,#32 Tetritskaro,32,http://www.chemiparlamenti.ge/en/parliamentarian/goderdzi-chankseliani,9
goga-gulordava,Goga Gulordava,1978-12-21,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5701.jpg?itok=9kqqL6Ga,ggulordava@parliament.ge,The Georgian Dream,2016-11-18,,#67 Tsalenjikha,67,http://www.chemiparlamenti.ge/en/parliamentarian/goga-gulordava,9
gogi-meshveliani,Gogi Meshveliani,1971-11-30,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5676_0.jpg?itok=_0A8TR43,gmeshveliani@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,#33 Bolnisi,33,http://www.chemiparlamenti.ge/en/parliamentarian/gogi-meshveliani,9
grigol-mikeladze,Grigol Mikeladze,1954-07-30,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5690_1.jpg?itok=MKeU7Lqc,grmikeladze@parliament.ge,The Georgian Dream,2016-11-18,,#55 Samtredia,55,http://www.chemiparlamenti.ge/en/parliamentarian/grigol-mikeladze,9
grigor-liluashvili,Grigor Liluashvili,1977-09-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5689.jpg?itok=geUz_2RT,gliluashvili@parliament.ge,The Georgian Dream,2016-11-18,,#54 Vani,54,http://www.chemiparlamenti.ge/en/parliamentarian/grigor-liluashvili,9
guguli-magradze,Guguli magradze,1945-04-09,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5.jpg?itok=6xnoiiBH,gmaghradze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/guguli-magradze,9
guram-macharashvili,Guram Macharashvili,1971-12-19,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-04/5671.jpg?itok=FlmXYEGG,gmacharashvili@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,#26 Lagodekhi,26,http://www.chemiparlamenti.ge/en/parliamentarian/guram-macharashvili,9
ilia-nakashidze,Ilia Nakashidze,1959-05-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5705.jpg?itok=VNQiEobM,inakashidze@parliament.ge,The Georgian Dream,2016-11-18,,#72 Khelvachauri,72,http://www.chemiparlamenti.ge/en/parliamentarian/ilia-nakashidze,9
ioseb-makrakhidze,Ioseb Makrakhidze,1946-01-02,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5681_0.jpg?itok=YbwQM5bE,imakrakhidze@parliament.ge,The Georgian Dream,2016-11-18,,#41 Gori,41,http://www.chemiparlamenti.ge/en/parliamentarian/ioseb-makrakhidze,9
irakli-abesadze,Irakli Abesadze,1982-06-11,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5641.jpg?itok=UzRsO4aW,iabesadze@parliament.ge,Movement for Liberty - European Georgia,,,,,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-abesadze,9
irakli-abuseridze,Irakli Abuseridze,1977-11-25,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5657_1.jpg?itok=dp0gbeVQ,iabuseridze@parliament.ge,Georgian Dream - Greens,2016-11-18,,#8 Isani,8,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-abuseridze,9
irakli-beraia,Irakli Beraia,1978-10-26,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5697.jpg?itok=sQKGIMMD,iberaia@parliament.ge,The Georgian Dream,2016-11-18,,#63 Senaki,63,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-beraia,9
irakli-dachi-beraia,Irakli (Dachi) Beraia,1976-07-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5698_0.jpg?itok=owe20Ruv,i.beraia@parliament.ge,The Georgian Dream,2016-11-18,,#64 Khobi,64,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-dachi-beraia,9
irakli-khakhubia,Irakli Khakhubia,1971-05-15,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5695.jpg?itok=ZeZJTq_J,ikhakhubia@parliament.ge,The Georgian Dream,2016-11-18,,#61 Poti,61,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-khakhubia,9
irakli-kobakhidze,Irakli Kobakhidze,1978-09-25,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5615.jpg?itok=DZ4TAuiB,ikobakhidze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-kobakhidze,9
irakli-kovzanadze,Irakli Kovzanadze,1962-06-29,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/4971.jpg?itok=G4yj1yeR,ikovzanadze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-kovzanadze,9
irakli-mezurnishvili,Irakli Mezurnishvili,1985-08-02,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5679.jpg?itok=o1-LjYrl,imezurnishvili@parliament.ge,The Georgian Dream,2016-11-18,,#39 Kaspi,39,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-mezurnishvili,9
irakli-sesiashvili,Irakli Sesiashvili,1974-01-11,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2163.jpg?itok=IdY4vqQc,isesiashvili@parliament.ge,The Georgian Dream,2016-11-18,,#27 Telavi,27,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-sesiashvili,9
irakli-shiolashvili,Irakli Shiolashvili,1983-02-11,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5670.jpg?itok=GnD_zZtw,ishiolashvili@parliament.ge,The Georgian Dream,2016-11-18,,#25 Sighnaghi,25,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-shiolashvili,9
irine-pruidze,Irine Pruidze,1976-10-15,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5622.jpg?itok=6nDaXvk9,ipruidze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/irine-pruidze,9
irma-inashvili,Irma Inashvili,1970-07-06,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5647_0.jpg?itok=qWnmOtOM,iinashvili@parliament.ge,Patriots of Georgia,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/irma-inashvili,9
irma-nadirashvili,Irma Nadirashvili,1970-03-15,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2289.jpg?itok=6mhkyG8C,inadirashvili@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/irma-nadirashvili,9
isko-daseni,Isko Daseni,1958-03-30,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5626.jpg?itok=aZT-N59Q,idaseni@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/isko-daseni,9
ivliane-tsulaia,Ivliane Tsulaia,1982-07-11,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5661.jpg?itok=P6Al55qQ,itsulaia@parliament.ge,The Georgian Dream,2016-11-18,,#15 Didube,15,http://www.chemiparlamenti.ge/en/parliamentarian/ivliane-tsulaia,9
kakhaber-kutchava,Kakhaber Kutchava,1979-09-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5623.jpg?itok=FcOKWETN,kkuchava@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/kakhaber-kutchava,9
kakhaber-okriashvili,Kakhaber Okriashvili,1966-03-21,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2115.jpg?itok=5uo-gRhV,kokriashvili@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,#34 Dmanisi,34,http://www.chemiparlamenti.ge/en/parliamentarian/kakhaber-okriashvili,9
karlo-kopaliani,Karlo Kopaliani,1959-08-14,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2333_0.jpg?itok=5K6yHwGj,kkopaliani@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/karlo-kopaliani,9
khatuna-gogorishvili,Khatuna Gogorishvili,1964-09-04,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2045.jpg?itok=xgDRN5WG,khgogorishvili@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/khatuna-gogorishvili,9
koba-kobaladze,Koba Kobaladze,1969-07-07,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5665.jpg?itok=jGXXzjPi,kkobaladze@parliament.ge,The Georgian Dream,2016-11-18,,#24 Gurjaani,24,http://www.chemiparlamenti.ge/en/parliamentarian/koba-kobaladze,9
koba-lursmanashvili,Koba Lursmanashvili,1970-03-05,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5688.jpg?itok=lTTxkC-7,klursmanashvili@parliament.ge,The Georgian Dream,2016-11-18,,#51 Bagdati,51,http://www.chemiparlamenti.ge/en/parliamentarian/koba-lursmanashvili,9
koba-nakaidze,Koba Nakaidze,1961-05-31,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5704.jpg?itok=crUg_oF3,knakaidze@parliament.ge,The Georgian Dream,2016-11-18,,#71 Kobuleti,71,http://www.chemiparlamenti.ge/en/parliamentarian/koba-nakaidze,9
