id,name__ja,name__pl,name__ru,name__ka,name__en,name__fr,name__nl,name__sv,name__es,name__de,name__cs,name,wikipedia__cs,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__ja,wikipedia__ka,wikipedia__pl,wikipedia__ru,wikipedia__sv,gender,birth_date,identifier__freebase,name__th,name__uk,name__pt,name__hy,wikipedia__de,wikipedia__hy,wikipedia__pt,wikipedia__th,wikipedia__uk,name__xmf,name__he,name__et,wikipedia__et,wikipedia__xmf,image,identifier__VIAF,given_name,name__fa,wikipedia__fa,name__az,wikipedia__az,death_date,wikipedia__it,name__it,original_wikiname,name__hu,last_seen,name__zh_hant,name__zh_cn,wikipedia__oc,name__oc,occupation,name__fi,name__tr,name__cy,wikipedia__fi,wikipedia__tr,identifier__LCAuth,identifier__GND,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__bigenc_ru,pseudonym,name__eo,name__id,name__zh,wikipedia__eo,wikipedia__id,identifier__FAST,wikipedia__commons,name__ko,wikipedia__ko,wikipedia__zh,wikipedia__ruwikinews,wikipedia__enwikisource,identifier__MusicBrainz,identifier__IMDB,identifier__kinopoisk,identifier__SFDb,identifier__CSFD,identifier__elonet,identifier__allmovie,name__be_tarask,name__br,wikipedia__be_x_old,wikipedia__br,name__mn,name__os,name__nb,name__nn,wikipedia__mn,name__eu,wikipedia__nl,wikipedia__he,identifier__PACE,wikipedia__no,name__en_ca,name__en_gb,name__la,name__el,name__ab,name__da,name__ro,name__bg,wikipedia__ab,wikipedia__bg,wikipedia__el,wikipedia__la,wikipedia__ro,name__lt,wikipedia__hu,wikipedia__lt,wikipedia__os,wikipedia__simple,name__gl,wikipedia__da,wikipedia__gl,wikipedia__nn,wikipedia__plwikiquote,identifier__NNDB,wikipedia__ba,name__ba,family_name,identifier__SELIBR,identifier__NLP,twitter,wikipedia__lv,identifier__NTA,name__lv,name__ca,wikipedia__ca,wikipedia__be,wikipedia__ast,name__be,name__ast,identifier__BNE,name__ee,identifier__CONOR,identifier__CSPAN,name__sl,identifier__NKC
Q12870563,,,,შალვა შავგულიძე,Shalva Shavgulidze,Shalva Shavgulidze,Shalva Shavgulidze,,,,,შალვა შავგულიძე,,,,,,შალვა შავგულიძე,,,,male,1957-10-28,,,,,,,,,,,,,,,,,,Shalva,,,,,,,,შალვა შავგულიძე,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1325558,エルダリ・クルタニーゼ,Eldar Kurtanidze,"Куртанидзе, Эльдар",ელდარ კურტანიძე,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,Eldari Luka Kurtanidse,Eldar Kurtanydze,ელდარ კურტანიძე,Eldar Kurtanydze,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,エルダリ・クルタニーゼ,ელდარ კურტანიძე,Eldar Kurtanidze,"Куртанидзе, Эльдар",Eldar Kurtanidze,male,1972-04-16,/m/07s36h,,Куртанідзе Ельдар,,,Eldari Luka Kurtanidse,,,,Куртанідзе Ельдар,,,,,,,,Eldar,الدار کورتانیدزه,الدار کورتانیدزه,,,,Eldar Kurtanidze,Eldar Kurtanidze,ელდარ კურტანიძე,,,,,,,amateur wrestler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1363702,レリ・ハベロフ,Leri Chabiełow,"Хабелов, Лери Габрелович",ლერი ხაბელოვი,Leri Khabelov,Leri Khabelov,Leri Gabrelovitsj Habelov,Leri Chabelov,Leri Khabelov,Leri Gabrielowitsch Chabelow,Leri Chabelovi,ლერი ხაბელოვი,Leri Chabelovi,Leri Khabelov,Leri Jabélov,,,ლერი ხაბელოვი,Leri Chabiełow,"Хабелов, Лери Габрелович",Leri Chabelov,male,1964-07-05,/m/02hgb0b,,,,,Leri Chabelowi,,,,,,,,,,,,,لری خابلوف,لری خابلوف,,,,Leri Chabelov,Leri Chabelov,Leri Khabelov,,,,,,,amateur wrestler,Leri Habelov,,,Leri Habelov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лери Хабелов,Хæбæлаты Габрелы фырт Лери,Leri Khabelov,Leri Khabelov,Лери Хабелов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13929295,,,Зураб Джапаридзе,ზურაბ ჯაფარიძე,Zurab Japaridze,Zurab Japaridze,,,,Zurab Japaridze,,ზურაბ ჯაფარიძე,,Zurab Japaridze,,,,ზურაბ ჯაფარიძე,,"Джапаридзе, Зураб",,male,1976-01-01,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/6/68/Zurab_Japaridze,_2013_UNM_Presidential_Candidate.jpg",,Zurab,,,Zurab Caparidze,Zurab Caparidze,,,,Zurab Japaridze,,,,,,,journalist,,,,,,,,,,,,,,,祖拉布·賈帕里澤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1396707,ギオルギ・アサニゼ,Giorgi Asanidze,Георгий Асанидзе,გიორგი ასანიძე,Giorgi Asanidze,Giorgi Asanidze,Giorgi Asanidze,,Giorgi Asanidze,Giorgi Assanidse,,გიორგი ასანიძე,,Giorgi Asanidze,,Giorgi Asanidze,ギオルギ・アサニゼ,გიორგი ასანიძე,Giorgi Asanidze,"Асанидзе, Георгий Леонидович",,male,1975-08-30,/m/07rrm8,,Георгій Асанідзе,Georgi Assanidze,,Giorgi Assanidse,,Guiorgui Assanidze,,Георгій Асанідзе,,,,,,,,George,,,,,,George Asanidze,George Asanidze,Giorgi Asanidze,Giorgi Aszanidze,,,,,,weightlifter,Giorgi Asanidze,,,Giorgi Asanidze,,,,,,,,,,,格奧爾基·阿塞尼澤,,,,,기오르기 아사니제,기오르기 아사니제,格奧爾基·阿塞尼澤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14481538,,,,ზვიად ძიძიგური,Zviad Dzidziguri,,Zviad Dzidziguri,,,Zviad Dzidziguri,,ზვიად ძიძიგური,,Zviad Dzidziguri,,,,ზვიად ძიძიგური,,,,male,1964-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,Zviad Dzidziguri,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15041195,,,"Колбая, Вахтанг",ვახტანგ ყოლბაია,Vakhtang Kolbaia,Vakhtang Kolbaia,Vakhtang Kolbaia,,,Vakhtang Kolbaia,,ვახტანგ ყოლბაია,,Vakhtang Kolbaia,,Vakhtang Kolbaia,,ვახტანგ ყოლბაია,,"Колбая, Вахтанг",,male,1952-09-09,,,Вахтанґ Колбая,,,,,,,Вахтанґ Колбая,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Vakhtang_kolbaia.jpg,,Vakhtang,,,,,,,,Vakhtang Kolbaia,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1523607,ギガ・ボケリア,,Гига Бокерия,გიგა ბოკერია,Giga Bokeria,Giga Bokeria,Giga Bokeria,,Giga Bokeria,Giga Bokeria,,გიგა ბოკერია,,Giga Bokeria,,Guiorgui Bokeria,,გიგა ბოკერია,,"Бокерия, Гига",,male,1972-04-20,/m/09d4qf,,,,Գիգա Բոկերիա,Giga Bokeria,Գիգա Բոկերիա,,,,გიგა ბოკერია,,Giga Bokeria,Giga Bokeria,გიგა ბოკერია,https://upload.wikimedia.org/wikipedia/commons/6/65/Giga_Bokeria.jpg,,,,,,,,,,Giga Bokeria,Giga Bokeria,,,,,,politician,,,,,,,,,,,,,,,吉加·博克利亞,,,,Category:Giga Bokeria,,,吉加·博克利亞,,,,,,,,,,,,,,,,,,,,,,5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1525382,,,,გიორგი (გიგი) წერეთელი,Gigi Tsereteli,Gigi Tsereteli,Gigi Tsereteli,,Gigi Tsereteli,Giorgi Zereteli,,გიორგი (გიგი) წერეთელი,,Gigi Tsereteli,,,,გიგი წერეთელი,,,,male,1964-02-23,/m/08sp9d,,,,,Giorgi Zereteli (Politiker),,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/1/12/George_Tsereteli_(Georgia)_at_OSCE_PA_Autumn_Mtg,_Geneva,_5_October_2014.jpg",,Giorgi,,,,,,,,Gigi Tsereteli,Gigi Tsereteli,,,,,,politician,,,,,,,,,,,,,,,,,,,Category:Gigi Tsereteli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15277881,ギオルギ・クヴィリカシヴィリ,Giorgi Kwirikaszwili,Георгий Квирикашвили,გიორგი კვირიკაშვილი,Giorgi Kvirikashvili,Giorgi Kvirikashvili,Giorgi Kvirikashvili,,Giorgi Kvirikashvili,Giorgi Kwirikaschwili,Giorgi Kvirikašvili,გიორგი კვირიკაშვილი,Giorgi Kvirikašvili,Giorgi Kvirikashvili,Giorgi Kvirikashvili,Giorgi Kvirikachvili,ギオルギ・クヴィリカシヴィリ,გიორგი კვირიკაშვილი,Giorgi Kwirikaszwili,"Квирикашвили, Георгий Джемалович",,male,1967-07-20,,,Георгій Квірікашвілі,Giorgi Kvirikashvili,Գիորգի Կվիրիկաշվիլի,Giorgi Kwirikaschwili,Գիորգի Կվիրիկաշվիլի,Giorgi Kvirikashvili,,Георгій Квірікашвілі,გიორგი კვირიკაშვილი,גיורגי קוויריקשווילי,Giorgi Kvirikašvili,Giorgi Kvirikašvili,გიორგი კვირიკაშვილი,https://upload.wikimedia.org/wikipedia/commons/0/0c/Giorgi_Kvirikashvili_in_meeting_with_Iranian_FM_Javad_Zarif.jpg,7565150470101704330007,Giorgi,گئورگی کویرکاشویلی,گئورگی کویرکاشویلی,Georgi Kvirikaşvili,Giorgi Kvirikaşvili,,,,Giorgi Kvirikashvili,,,,,,,economist,,Giorgi Kvirikaşvili,,,Giorgi Kvirikaşvili,,1139200216,,,,,,,,喬治·科維利卡什維利,,,,Category:Giorgi Kvirikashvili,기오르기 크비리카슈빌리,기오르기 크비리카슈빌리,喬治·科維利卡什維利,Категория:Георгий Квирикашвили,,,,,,,,,,,,,,,,,,,Giorgi Kvirikasjvili,גיורגי קוויריקשווילי,,,,,Georgius Kvirikašvili,Γκιόργκι Κβιρικασβίλι,Гьaргь Квирикaшвили,Giorgi Kvirikashvili,Ghiorghi Kvirikașvili,Гиорги Квирикашвили,"Квирикaшвили, Гьaргь Џьемал-иҧа",Гиорги Квирикашвили,Γκιόργκι Κβιρικασβίλι,Georgius Kvirikašvili,Ghiorghi Kvirikașvili,,,,,,,,,,,,Квирикашвили Георгий Джемалович,Квирикашвили Георгий Джемалович,Kvirikashvili,,,KvirikashviliGi,Giorgi Kvirikašvili,,Giorgi Kvirikašvili,Guiorgui Kvirikaixvili,Guiorgui Kvirikaixvili,Георгій Квірыкашвілі,,Георгій Квірыкашвілі,,,,,,,
Q1528843,,,Гиви Таргамадзе,გივი თარგამაძე,Givi Targamadze,Guivi Targamadze,Givi Targamadze,,Givi Targamadze,Giwi Targamadse,,გივი თარგამაძე,,Givi Targamadze,,Guivi Targamadze,,,,"Таргамадзе, Гиви",,male,1968-07-23,/m/02pwhqt,,,,,Giwi Targamadse,,,,,,,Givi Thargamadze,Givi Thargamadze,,,,,,,,,,,Givi Targamadze,Givi Targamadze,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,Категория:Гиви Таргамадзе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16151749,,,,ელგუჯა გვაზავა,Elguja Gvazava,Elguja Gvazava,Elguja Gvazava,,,Elguja Gvazava,,ელგუჯა გვაზავა,,Elguja Gvazava,,,,ელგუჯა გვაზავა,,,,male,1952-02-22,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Elguja_Gvazava.jpg,,,,,,,,,,Elguja Gvazava,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16194669,,,,,Shota Malashkhia,,,,,Shota Malashkhia,,Shota Malashkhia,,Shota Malashkhia,,,,,,,,male,1962-09-17,,,,,,,,,,,,,,,,,,Shota,,,,,,,,Shota Malashkhia,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16364846,,,,ანზორ ბოლქვაძე,Anzor Bolkvadze,,,,,,,ანზორ ბოლქვაძე,,,,,,ანზორ ბოლქვაძე,,,,male,,,,,,,,,,,,,,,,,,,Anzor,,,,,,,,ანზორ ბოლქვაძე,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16368881,,,,ვალერი გელაშვილი,Valeri Gelashvili,,Valeri Gelashvili,,,,,ვალერი გელაშვილი,,Valery Gelashvili,,,,ვალერი გელაშვილი,,,,male,1960-01-18,,,,,,,,,,,,,,,,,,Valeri,,,,,,,,Valery Gelashvili,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16370108,ティナ・ヒダシェリ,,"Хидашели, Тина",თინათინ ხიდაშელი,Tinatin Khidasheli,,Tina Khidasheli,,,,,თინათინ ხიდაშელი,,Tina Khidasheli,,,,თინა ხიდაშელი,,"Хидашели, Тина",,female,1973-06-08,,,,,Թինա Խիդաշելի,,Թինա Խիդաշելի,,,,თინა ხიდაშელი,,Thinathin Hidašeli,Thinathin Hidašeli,თინა ხიდაშელი,https://upload.wikimedia.org/wikipedia/commons/f/f5/Tinatin_Khidaseli_press_conference_(Noble_Partner_15).jpg,,Tina,,,,,,,,Tina Khidasheli,,,,,Tina Khidasheli,Tina Khidasheli,politician,,,,,,,,,,,,,,,,,,,Category:Tinatin Khidasheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16374997,,,,სამსონ ქუთათელაძე,Samson Kutateladze,Samson Kutateladze,,,,Samson Kutateladze,,სამსონ ქუთათელაძე,,Samson Kutateladze (Brigadier General),,,,სამსონ ქუთათელაძე,,,,male,1964-05-04,,,,,,,,,,,,,,,,,,Samson,,,,,2018-01-15,,,Samson Kutateladze (Brigadier General),,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutateladze,,,,,,,,,,,,,,,,,,
Q16379602,,,,ჯანსუღ ჩარკვიანი,Jansugh Charkviani,Jansugh Charkviani,,,,,,ჯანსუღ ჩარკვიანი,,Jansug Charkviani,,,,ჯანსუღ ჩარკვიანი,,,,male,1931-09-30,,,,,Ջանսուղ Չարկվիանի,,Ջանսուղ Չարկվիանի,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Jansugh_Charkviani.jpg,,,,,,,2017-11-06,,,Jansug Charkviani,,,,,,,poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jansug Charkviani,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17278157,ギオルギ・ヴァシャゼ,,"Вашадзе, Георгий",გიორგი ვაშაძე,Giorgi Vashadze,Giorgi Vashadze,,,,Giorgi Vashadze,,გიორგი ვაშაძე,,Giorgi Vashadze,,,ギオルギ・ヴァシャゼ,გიორგი ვაშაძე,,"Вашадзе, Георгий",,male,1981-07-07,,,Георгій Вашадзе,,,,,,,Георгій Вашадзе,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Georgiy_Washadze.jpg,,Giorgi,,,,,,,,Giorgi Vashadze,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vashadze,,,,,,,,,,,,,,,,,,
Q2032175,,,"Мачаидзе, Манучар Доментьевич",მანუჩარ მაჩაიძე,Manuchar Machaidze,Manuchar Machaidze,Manuchar Machaidze,,Manuchar Machaidze,Manutschar Matschaidse,,მანუჩარ მაჩაიძე,,Manuchar Machaidze,,,,მანუჩარ მაჩაიძე,,"Мачаидзе, Манучар Доментьевич",,male,1949-03-25,,,Мачаїдзе Манучар Доментійович,,,,,,,Мачаїдзе Манучар Доментійович,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Manuchar_Machaidze_1978.jpg,,,,,,,,Manuchar Machaidze,Manuchar Machaidze,Manuchar Machaidze,,,,,,,association football player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuchar Machaidze,,,,,,,,,,
Q2326974,ジュンベル・パティアシュヴィリ,Dżumber Patiaszwili,"Патиашвили, Джумбер Ильич",ჯუმბერ პატიაშვილი,Jumber Patiashvili,Jumber Patiashvili,Dzoember Patiasjvili,,Jumber Patiashvili,Dschumber Patiaschwili,,ჯუმბერ პატიაშვილი,,Jumber Patiashvili,,,ジュンベル・パティアシュヴィリ,ჯუმბერ პატიაშვილი,Dżumber Patiaszwili,"Патиашвили, Джумбер Ильич",,male,1939-08-05,/m/05_1lt,,Патіашвілі Джумбер Ілліч,,,,,,,Патіашвілі Джумбер Ілліч,,,,,,,,Jumber,,,,,,,,Jumber Patiashvili,Jumber Patiashvili,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dzjumber Patiasjvili,,,,Dzoember Patiasjvili,,,Dzjumber Patiasjvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2382172,,,"Капианидзе, Зураб Васильевич",ზურაბ ქაფიანიძე,Zurab Kapianidze,Zurab Kapianidze,Zurab Kapianidze,Zurab Kapianidze,Zurab Kapianidze,Zurab Kapianidze,,ზურაბ ქაფიანიძე,,Zurab Kapianidze,,,,ზურაბ ქაფიანიძე,,"Капианидзе, Зураб Васильевич",Zurab Kapianidze,male,1937-04-01,/m/0bxrq52,,Капіанідзе Зураб Васильович,,Զուրաբ Քափիանիձե,,,,,Капіанідзе Зураб Васильович,,,,,,,53463419,Zurab,,,,,2011-07-04,,,Zurab Kapianidze,Zurab Kapianidze,,,,,,linguist,,,Zurab Kapianidze,,,n98039056,140788336,0000 0001 0809 1435,16252225r,,,,,,,,,1798698,,,,,,,,,,119750,68204,235890,p142299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
