id,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__qu,name__fr,name__ru,name__en,name__es,name__yo,name__fi,name__uk,name__lv,name__it,name__ilo,name__et,name__ay,name__de,name__id,name__ka,name__nl,name__sv,name__zh,name__nb,name__da,name__nn,name__cy,name,wikipedia__ay,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__ilo,wikipedia__it,wikipedia__ka,wikipedia__lv,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,birth_date,death_date,identifier__freebase,given_name,identifier__Britannica,identifier__GTAA,identifier__FAST,original_wikiname,name__mr,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__mr,identifier__OLID,identifier__BNE,name__ro,name__nds,wikipedia__ro,identifier__ISNI,identifier__GND,identifier__BNF,identifier__NTA,identifier__CANTIC,identifier__NLAtrove,name__sco,wikipedia__sco,name__ca,name__gl,twitter,website,wikipedia__simple,family_name,name__hu,last_seen,name__ar,wikipedia__ar,second_surname,name__ja,identifier__GNC,identifier__bigenc_ru,occupation,facebook,identifier__snac,wikipedia__az,name__az,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__eo,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__ne_se,identifier__BVMC,identifier__bna,name__ko,wikipedia__enwikisource,wikipedia__ko,identifier__CERL,wikipedia__ca,wikipedia__ast,identifier__BIBSYS,identifier__NUKAT,identifier__CONOR,name__sl,wikipedia__commons,wikipedia__ja,wikipedia__no,wikipedia__vi,identifier__NKC,pseudonym
Q17462495,,,,,,,,,,César Navarro,,César Navarro,César Navarro,,,,,,,,,,,,César Navarro,,,,,,,César Navarro,,,,César Navarro,,,,,,,,,,,,,,,,,,,male,4605738,no2002094025,,1967-07-08,,,César,,,,,,,,,,,,,,,,0000 0000 5219 1268,,,326472770,,,,,,,,,,,,,,,,,,,politician,,,,,,,César Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,César Navarro,,,,,,
Q18224332,Moisés Shiriqui Vejarano,,,,,,,,,Moisés Shiriqui Vejarano,,Moisés Shiriqui Vejarano,Moisés Shiriqui Vejarano,,,,,Moisés Shiriqui Vejarano,,,,Moisés Shiriqui Vejarano,,,Moises Shiriqui,Moisés Shiriqui Vejarano,,Moisés Shiriqui Vejarano,Moisés Shiriqui Vejarano,Moisés Shiriqui Vejarano,,Moisés Shiriqui Vejarano,,,,Moisés Shiriqui,,,,,,,,,,,,,,,,,,,male,,,,1942-10-12,,,Moisés,,,,,,,,,Moisés Shiriqui Vejarano,,,,,,,,,,,,,,,Moisés Shiriqui Vejarano,Moisés Shiriqui Vejarano,,,,,Moises Shiriqui,,,,Vejarano,,,,soldier,,,,,,Moisés Shiriqui Vejarano,Moisés Shiriqui Vejarano,,,,,,,,Moisés Shiriqui Vejarano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moises Shiriqui,,,,,,
Q18643897,,,,,,,,,,Héctor Borda Leaño,,Hector Borda Leaño,Héctor Borda Leaño,,,,,,,,,,,,Hector Borda Leaño,,,,,,,Hector Borda Leaño,,,Hector Borda Leaño,Héctor Borda Leaño,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Hector_Borda_Leaño.jpg,male,28848498,n98061723,,1927,,,Héctor,,,,,,,,,,,,,,,,0000 0000 3794 4305,,,,,,,,Héctor Borda Leaño,,,,,Leaño,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hector Borda Leaño,,,,,,
Q18922528,Jaime Otero Calderón,,,,,,,Jaime Otero Calderón,,Jaime Otero Calderón,,Jaime Otero Calderón,Jaime Otero Calderón,,Jaime Otero Calderón,,Jaime Otero Calderón,Jaime Otero Calderón,,Jaime Otero Calderón,,Jaime Otero Calderón,Jaime Otero Calderón,,Jaime Otero Calderón,Jaime Otero Calderón,,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,,,Jaime Otero Calderón,Jaime Otero Calderón,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/54/Jaime_Otero_Calderon_1960s.jpg,male,,,,1921-01-19,1970-02-15,,Jaime,,,,,,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,,,,Jaime Otero Calderón,Jaime Otero Calderón,,,,,,,,Jaime Otero Calderón,,Jaime Otero Calderón,Jaime Otero Calderón,,,,Otero,Jaime Otero Calderón,,جايمي أوتيرو كالديرون,جايمي أوتيرو كالديرون,Calderón,,,,politician,,,,,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,Jaime Otero Calderón,,,,,,,,,,,,,Jaime Otero Calderón,,,,,,
Q19545830,,,,,,,,,,Gabriela Montaño,,Gabriela Montaño,Gabriela Montaño,,,,,,,,,,,,Gabriela Montaño,,,,,,,Gabriela Montaño,,,Gabriela Montaño,Gabriela Montaño,,,,,,,,,,,,,,,,,,,female,,,,1975-12-02,,,Gabriela,,,,,,,,,,,,,,,,,,,,,,,,,,gabrielascz,,,,Gabriela Montaño,,,,,,,,politician,,,,,,,Gabriela Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriela Montaño,,,,Gabriela Montaño,,,,,,
Q19893493,,,,,,,,Rosa Julieta Montaño Salvatierra,,Rosa Julieta Montaño Salvatierra,,Rosa Julieta Montaño Salvatierra,Rosa Julieta Montaño Salvatierra,,,,,,,,,Rosa Julieta Montaño Salvatierra,,,Rosa Julieta Montaño Salvatierra,,,,,,,Rosa Julieta Montaño Salvatierra,,,Rosa Julieta Montaño Salvatierra,Julieta Montaño,,,Rosa Julieta Montaño Salvatierra,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Rosa_Julieta_Montaño_Salvatierra_(Bolivia)_--_2015_-_International_Women_of_Courage_Award.jpg,female,,,,1946-08-16,,,Rosa,,,,,,,,,,,,,,,,,,,,,,,,Rosa Julieta Montaño Salvatierra,,,,Rosa Julieta Montaño Salvatierra,,,,,,,,,,writer,,,,,,,Rosa Julieta Montaño Salvatierra,,,,,Rosa Julieta Montaño Salvatierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosa Julieta Montaño Salvatierra,,,,,,,,,,,,,,Rosa Julieta Montaño Salvatierra,,,,,Rosa Julieta Montaño Salvatierra,,,,Rosa Julieta Montaño Salvatierra,,
Q20732158,,,,,,,,,,Fernando Cajías,,Fernando Cajías,Fernando Cajías,,,,,,,,,,,,Fernando Cajías,,,,,,,Fernando Cajías,,,,Fernando Cajías,,,,,,,,,,,,,,,,,,,male,,,,1949-02-28,,,Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Cajías,,,,,,,,politician,,,,,,,Fernando Cajías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Cajías,,,,,,
Q20816750,,,,,,,,,,Tito Hoz de Vila,,Tito Hoz de Vila,Tito Hoz de Vila,,,,,,,,,,,,Tito Hoz de Vila,,,,,,Tito Hoz de Vila,Tito Hoz de Vila,,,Tito Hoz de Vila,Tito Hoz de Vila,,,,,,,,,,,,,,,,,,,male,,,,1949-04-12,2015-08-03,,Tito,,,,,,,,,,,,,,,,,,,,,,,,Tito Hoz de Vila,,,,,,Tito Hoz de Vila,,,,,,,,politician,,,,,,,Tito Hoz de Vila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tito Hoz de Vila,,,,,,
Q20981833,,,,,,,,,,Alberto Luis Aguilar Calle,,Alberto Luis Aguilar Calle,Alberto Luis Aguilar Calle,,,,,,,,,,,,Alberto Luis Aguilar Calle,,,,,,,Alberto Luis Aguilar Calle,,,,Alberto Luis Aguilar,,,,,,,,,,,,,,,,,,,male,,,,1958-09-14,,,Alberto,,,,,,,,,,,,,,,,,,,,,,,,Alberto Luis Aguilar Calle,Alberto Luis Aguilar Calle,,,,Aguilar,,,,,,,,,politician,,,,,,,Alberto Luis Aguilar Calle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Luis Aguilar Calle,,,,,,
Q20994742,Miguel María de Aguirre,,,,,,,,,Miguel María de Aguirre,,Miguel María de Aguirre,Miguel María de Aguirre,,,,,Miguel María de Aguirre,,,,,,,Miguel María de Aguirre,,,,,,,Miguel María de Aguirre,,,,Miguel María de Aguirre,,,,,,,,,,,,,,,,,,,male,4511586,no95007871,,1798,1873,,Miguel,,,351919,,,,,,Miguel María de Aguirre,,,,,,,0000 0000 5041 7622,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,Miguel María de Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel María de Aguirre,,,,,,
Q20994782,,,,,,,,,,Rudencindo Carbajal,,Rudencindo Carbajal,Rudencindo Carbajal,,,,,,,,,,,,Rudencindo Carbajal,,,,,,,Rudencindo Carbajal,,,,Rudencindo Carbajal,,,,,,,,,,,,,,,,,,,male,,,,1820-05-01,1881-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,Rudencindo Carbajal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudencindo Carbajal,,,,,,
Q20994794,,,,,,,,,,Oscar Chirinos,,Oscar Chirinos,Oscar Chirinos,,,,,,,,,,,,Oscar Chirinos,,,,,,,Oscar Chirinos,,,,Oscar Chirinos,,,,,,,,,,,,,,,,,,,male,,,,1977-10-23,,,Oscar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirinos,,,,,,,,,lawyer,,,,,,,Oscar Chirinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Chirinos,,,,,,
Q21008987,,,,,,,,,,Mirtha Quevedo,,Mirtha Quevedo,Mirtha Quevedo,,,,,,,,,,,,Mirtha Quevedo,,,,,,,Mirtha Quevedo,,,,Mirtha Quevedo,,,,,,,,,,,,,,,,,,,female,,,,1960,,,Mirtha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,Mirtha Quevedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtha Quevedo,,,,,,
Q21089569,,,,,,,,,,Jose Pimentel,,Jose Pimentel,José Pimentel,,,,,,,,,,,,Jose Pimentel,,,,,,,Jose Pimentel,,,,José Pimentel,,,,,,,,,,,,,,,,,,,male,,,,1949-08-23,,,José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Pimentel,,,,,,
Q21089579,Carlos Aparicio Vedia,,,,,,,,,Carlos Aparicio Vedia,,Carlos Aparicio Vedia,Carlos Aparicio Vedia,,,,,Carlos Aparicio Vedia,,,,,,,Carlos Aparicio Vedia,,,,,,,Carlos Aparicio Vedia,,,,Carlos Aparicio Vedia,,,,,,,,,,,,,,,,,,,male,,,,1982-01-16,,,Carlos,,,,,,,,,Carlos Aparicio Vedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Carlos Aparicio Vedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Aparicio Vedia,,,,,,
Q21870077,,,,,,,,,,Raúl Ruiz Gonzáles,,Raúl Ruiz Gonzáles,Raúl Ruiz Gonzáles,,,,,,,,,,,,Raúl Ruiz Gonzáles,,,,,,,Raúl Ruiz Gonzáles,,,,Raúl Ruiz Gonzáles,,,,,,,,,,,,,,,,,,,male,,,,1913,2002,,Raúl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raúl Ruiz Gonzáles,,,,,,,,politician,,,,,,,Raúl Ruiz Gonzáles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raúl Ruiz Gonzáles,,,,,,
Q22062144,,,,,,,,,,Julia Ramos,,Julia Ramos,Julia Ramos,,,,,,,,,,,,Julia Ramos,,,,,,,Julia Ramos,,,Julia Ramos,Julia Ramos,,,,,,,,,,,,,,,,,,,female,,,,1963-04-12,,,Julia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Julia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julia Ramos,,,,,,
Q23304179,,,,,,,,,,,,José Luis Paredes,José Luis Paredes,,,,,,,,,,,,José Luis Paredes,,,,,,,José Luis Paredes,,,,José Luis Paredes,,,,,,,,,,,,,,,,,,,male,,,,1956,,,José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,José Luis Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Luis Paredes,,,,,,
Q2511035,José Luis Tejada Sorzano,何塞·路易斯·特哈达·索尔萨诺,何塞·路易斯·特哈達·索爾薩諾,,何塞·路易斯·特哈达·索尔萨诺,,,José Luis Tejada Sorzano,José Luis Tejada Sorzano,José Luis Tejada Sorzano,Хосе Луис Техада Сорсано,José Luis Tejada Sorzano,José Luis Tejada Sorzano,José Luis Tejada Sorzano,,Хосе Луїс Техада Сорсано,,,,,,José Luis Tejada Sorzano,,ხოსე ლუის ტეხადა სორსანო,José Luis Tejada Sorzano,José Luis Tejada Sorzano,,,,,,José Luis Tejada Sorzano,,,José Luis Tejada Sorzano,José Luis Tejada Sorzano,,,,,,,ხოსე ლუის ტეხადა სორსანო,,,José Luis Tejada Sorzano,José Luis Tejada Sorzano,José Luis Tejada Sorzano,"Техада Сорсано, Хосе Луис",José Luis Tejada Sorzano,Хосе Луїс Техада Сорсано,José Luis Tejada Sorzano,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Tejada_s-6d1d4-ea69a-33ed0.jpg,male,65640572,n91002377,,1882-01-12,1938-10-04,/m/01gcxq,José Luis,,,280098,,,,,,José Luis Tejada Sorzano,,,,,,,0000 0001 1660 8393,,,,,,,,,,,,,,José Luis Tejada Sorzano,,,,,,,,politician,,,,,,,José Luis Tejada Sorzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Luis Tejada Sorzano,,,,José Luis Tejada Sorzano,Category:José Luis Tejada Sorzano,,,,,
Q25410745,,,,,,,,,,,,José Fellman,José Fellman,,,,,,,,,,,,José Fellman,,,,,,,José Fellman,,,,José Fellman,,,,,,,,,,,,,,,,,,,male,,,,1922-09-19,1982,,José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,José Fellman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Fellman,,,,,,
Q26001060,,,,,,,,,,,,Ciro Humboldt,Ciro Humboldt,,,,,,,,,,,,Ciro Humboldt,,,,,,,Ciro Humboldt,,,,Ciro Humboldt,,,,,,,,,,,,,,,,,,,male,,,,1925,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Ciro Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciro Humboldt,,,,,,
