id,identifier__parldata,name,family_name,birth_date,honorific_prefix,email,image,source,term,party,party_id,start_date,end_date,sort_name
p609,550303d2273a39033bab35b1,Petneházy Attila,"","","",petnehazy.attila@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d2273a39033bab35b1/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=p609,40,Fidesz,Fidesz,2014-05-06,,
s012,550303d2273a39033bab35b3,Dr. Simon Miklós,"","","",miklos.simon@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d2273a39033bab35b3/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s012,40,Fidesz,Fidesz,2014-05-06,,
m056,550303d3273a39033bab35b5,Dr. Mengyi Roland,"","","",roland.mengyi@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d3273a39033bab35b5/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=m056,40,Fidesz,Fidesz,2014-05-06,,
p012,550303d3273a39033bab35b7,Dr. Pósán László,"","","",laszlo.posan@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d3273a39033bab35b7/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=p012,40,Fidesz,Fidesz,2014-05-06,,
p006,550303d3273a39033bab35b9,Pogácsás Tibor,"","","",tibor.pogacsas@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d3273a39033bab35b9/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=p006,40,Fidesz,Fidesz,2014-05-06,,
o320,550303d3273a39033bab35bb,Orbán Viktor,"","","",viktor.orban@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d3273a39033bab35bb/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=o320,40,Fidesz,Fidesz,2014-05-06,,
m039,550303d4273a39033bab35bd,Dr. Molnár Ágnes,"","","",agnes.molnar@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d4273a39033bab35bd/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=m039,40,Fidesz,Fidesz,2014-05-06,,
l016,550303d4273a39033bab35bf,Lázár János,"","","",janos.lazar@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d4273a39033bab35bf/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=l016,40,Fidesz,Fidesz,2014-05-06,,
k113,550303d4273a39033bab35c1,Kucsák László,"","","",laszlo.kucsak@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d4273a39033bab35c1/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=k113,40,Fidesz,Fidesz,2014-05-06,,
l026,550303d4273a39033bab35c3,László Tamás,"","","",tamas.laszlo@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d4273a39033bab35c3/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=l026,40,Fidesz,Fidesz,2014-05-06,,
k029,550303d4273a39033bab35c5,Kontrát Károly,"","","",karoly.kontrat@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d4273a39033bab35c5/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=k029,40,Fidesz,Fidesz,2014-05-06,,
k012,550303d5273a39033bab35c7,Dr. Kerényi János,"","","",janos.kerenyi@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d5273a39033bab35c7/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=k012,40,Fidesz,Fidesz,2014-05-06,,
h021,550303d5273a39033bab35c9,Hende Csaba,"","","",csaba.hende@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d5273a39033bab35c9/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h021,40,Fidesz,Fidesz,2014-05-06,,
m014,550303d5273a39033bab35cb,Manninger Jenő,"","","",Jeno.Manninger@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d5273a39033bab35cb/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=m014,40,Fidesz,Fidesz,2014-05-06,,
k765,550303d5273a39033bab35cd,Kovács Sándor,"","","",kovacs.sandor@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d5273a39033bab35cd/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=k765,40,Fidesz,Fidesz,2014-05-06,,
h004,550303d6273a39033bab35cf,Halász János,"","","",janos.halasz@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d6273a39033bab35cf/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h004,40,Fidesz,Fidesz,2014-05-06,,
h042,550303d6273a39033bab35d1,Horváth István,"","","",istvan.horvath@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d6273a39033bab35d1/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h042,40,Fidesz,Fidesz,2014-05-06,,
h038,550303d6273a39033bab35d3,Hirt Ferenc,"","","",ferenc.hirt@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d6273a39033bab35d3/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h038,40,Fidesz,Fidesz,2014-05-06,,
k072,550303d6273a39033bab35d5,Kubatov Gábor,"","","",gabor.kubatov@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d6273a39033bab35d5/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=k072,40,Fidesz,Fidesz,2014-05-06,,
h050,550303d6273a39033bab35d7,Dr. Hoppál Péter,"","","",peter.hoppal@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d6273a39033bab35d7/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h050,40,Fidesz,Fidesz,2014-05-06,,
h366,550303d7273a39033bab35d9,Horváth László,"","","",laszlo.horvath@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d7273a39033bab35d9/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h366,40,Fidesz,Fidesz,2014-05-06,,
h003,550303d7273a39033bab35db,Hadházy Sándor,"","","",sandor.hadhazy@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d7273a39033bab35db/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=h003,40,Fidesz,Fidesz,2014-05-06,,
g048,550303d7273a39033bab35dd,Gyopáros Alpár,"","","",alpar.gyoparos@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d7273a39033bab35dd/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=g048,40,Fidesz,Fidesz,2014-05-06,,
g741,550303d7273a39033bab35df,Dr. Galambos Dénes,"","","",drgalambos.denes@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d7273a39033bab35df/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=g741,40,Fidesz,Fidesz,2014-05-06,,
f002,550303d8273a39033bab35e1,Dr. Fazekas Sándor,"","","",sandor.fazekas@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d8273a39033bab35e1/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=f002,40,Fidesz,Fidesz,2014-05-06,,
f001,550303d8273a39033bab35e3,Farkas Sándor,"","","",sandor.farkas@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d8273a39033bab35e3/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=f001,40,Fidesz,Fidesz,2014-05-06,,
f006,550303d8273a39033bab35e5,Dr. Fónagy János,"","","",janos.fonagy@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d8273a39033bab35e5/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=f006,40,Fidesz,Fidesz,2014-05-06,,
d030,550303d8273a39033bab35e7,Dankó Béla,"","","",bela.danko@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d8273a39033bab35e7/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=d030,40,Fidesz,Fidesz,2014-05-06,,
g057,550303d9273a39033bab35e9,Győrffy Balázs,"","","",balazs.gyorffy@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d9273a39033bab35e9/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=g057,40,Fidesz,Fidesz,2014-05-06,,
g049,550303d9273a39033bab35eb,Gelencsér Attila,"","","",attila.gelencser@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d9273a39033bab35eb/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=g049,40,Fidesz,Fidesz,2014-05-06,,
d751,550303d9273a39033bab35ed,Dunai Mónika,"","","",dunai.monika@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d9273a39033bab35ed/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=d751,40,Fidesz,Fidesz,2014-05-06,,
d026,550303d9273a39033bab35ef,Demeter Zoltán,"","","",zoltan.demeter@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d9273a39033bab35ef/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=d026,40,Fidesz,Fidesz,2014-05-06,,
c029,550303da273a39033bab35f1,Czunyiné Dr. Bertalan Judit,"","","",judit.bertalan@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303da273a39033bab35f1/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=c029,40,Fidesz,Fidesz,2014-05-06,,
c030,550303da273a39033bab35f3,Csöbör Katalin,"","","",csobor.katalin@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303da273a39033bab35f3/image.77.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=c030,40,Fidesz,Fidesz,2014-05-06,,
c025,550303da273a39033bab35f5,Dr. Czomba Sándor,"","","",sandor.czomba@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303da273a39033bab35f5/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=c025,40,Fidesz,Fidesz,2014-05-06,,
c028,550303da273a39033bab35f7,Csenger-Zalán Zsolt,"","","",zsolt.csenger-zalan@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303da273a39033bab35f7/image.77.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=c028,40,Fidesz,Fidesz,2014-05-06,,
