id,name__ta,name__en,name,wikipedia__en,wikipedia__ta,gender,original_wikiname,given_name,name__nl,name__de,name__fr,name__si,wikipedia__si,birth_date,name__it,name__hi,name__es,wikipedia__hi,identifier__VIAF,image,identifier__ISNI,identifier__BNF,identifier__SUDOC,name__ru,wikipedia__de,wikipedia__fr,name__mr,name__te,name__bn,name__kn,wikipedia__bn,wikipedia__kn,wikipedia__mr,wikipedia__te,name__lb,name__zh,name__jv,name__pl,name__he,name__ko,name__oc,name__yo,name__ms,name__gl,name__et,name__id,name__ml,name__ja,name__el,name__sv,name__pt,name__eo,name__tr,name__ca,name__fi,name__mg,name__nn,name__cs,name__bg,name__io,name__fa,name__ka,name__lt,name__da,name__nb,name__eu,name__pam,name__ar,name__uk,name__be,name__ne,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__mg,wikipedia__ml,wikipedia__ms,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__LCAuth,identifier__freebase,name__hif,wikipedia__hif,name__zh_hans,name__zh_hant,name__zh_hk,name__mk,name__la,wikipedia__la,wikipedia__vi,name__vi,website,wikipedia__pa,identifier__GNC,name__pa,wikipedia__commons,death_date,name__hu,identifier__FAST,last_seen,identifier__GTAA,name__zh_cn,wikipedia__plwikiquote,family_name,occupation,identifier__nyt_topic,wikipedia__trwikinews,identifier__quora,identifier__persee,identifier__NNDB
Q1425123,மாவை சேனாதிராஜா,Mavai Senathirajah,Mavai Senathirajah,Mavai Senathirajah,மாவை சேனாதிராஜா,male,Mavai Senathirajah,,Mavai Senathirajah,Mavai Senathirajah,Mavai Senathirajah,,,1942-10-27,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Mavai_Senathirajah.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/05b1df7,Mavai Senathirajah,Mavai Senathirajah,,,,,,,,,,,,,Category:Mavai Senathirajah,,,,,,,,,politician,,,,,
Q1518116,சிவஞானம் சிறீதரன்,S. Shritharan,S. Shritharan,S. Shritharan,சிவஞானம் சிறீதரன்,male,S. Sritharan,S.,S. Shritharan,,,,,1968-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0bryhvx,,,,,,,,,,,http://www.shritharan.com/,,,,,,,,,,,,,politician,,,,,
Q16145819,,Amith Thenuka Vidanagamage,Amith Thenuka Vidanagamage,Amith Thenuka Vidanagamage,,male,Amith Thenuka Vidanagamage,,Amith Thenuka Vidanagamage,Amith Thenuka Vidanagamage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16146121,,Asanka Shehan Semasinghe,Asanka Shehan Semasinghe,Asanka Shehan Semasinghe,,male,Asanka Shehan Semasinghe,,Asanka Shehan Semasinghe,Asanka Shehan Semasinghe,Asanka Shehan Semasinghe,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16149727,,Dilum Amunugama,Dilum Amunugama,Dilum Amunugama,,male,Dilum Amunugama,,Dilum Amunugama,Dilum Amunugama,Dilum Amunugama,,,,Dilum Amunugama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16152019,வேலுசாமி இராதாகிருஷ்ணன்,Velusami Radhakrishnan,Velusami Radhakrishnan,Velusami Radhakrishnan,வேலுசாமி இராதாகிருஷ்ணன்,male,Velusami Radhakrishnan,,Velusami Radhakrishnan,Velusami Radhakrishnan,,,,1952-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16185625,,Janaka Bandara Tennakoon,Janaka Bandara Tennakoon,Janaka Bandara Tennakoon,,male,Janaka Bandara Tennakoon,,Janaka Bandara Tennakoon,Janaka Bandara Tennakoon,Janaka Bandara Tennakoon,,,1953-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16195164,,Lakshman Wasantha Perera,Lakshman Wasantha Perera,Lakshman Wasantha Perera,,male,Lakshman Wasantha Perera,,Lakshman Wasantha Perera,Lakshman Wasantha Perera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16197371,அனுராதா ஜெயரத்தின,Anuradha Jayaratne,Anuradha Jayaratne,Anuradha Jayaratne,அனுராதா ஜெயரத்தின,male,Anuradha Jayaratne,,Anuradha Jayaratne,Anuradha Jayaratne,Anuradha Jayaratne,,,1985-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16197383,,Janaka Wakkumbura,Janaka Wakkumbura,Janaka Wakkumbura,,male,Janaka Wakkumbura,,Janaka Wakkumbura,Janaka Wakkumbura,Janaka Wakkumbura,,,1967-12-15,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/JanakaWakkumbura.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16208088,சிறியானி விஜேவிக்கிரம,Sriyani Wijewickrama,Sriyani Wijewickrama,Sriyani Wijewickrama,சிறியானி விஜேவிக்கிரம,female,Shriyani Wijewickreme,,Sriyani Wijewickrama,Sriyani Wijewickrama,Sriyani Wijewickrama,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16208709,பழனி திகாம்பரம்,Palani Digambaran,Palani Digambaran,Palani Digambaran,பழனி திகாம்பரம்,male,Palani Digambaran,,Palani Digambaran,Palani Digambaran,,,,1967-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16213510,,Arundika Fernando,Arundika Fernando,Arundika Fernando,,male,Arundika Fernando,,Arundika Fernando,Arundika Fernando,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16213681,,Niroshan Perera,Niroshan Perera,Niroshan Perera,,male,Niroshan Perera,,Niroshan Perera,Niroshan Perera,,,,1971,Niroshan Perera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16213682,,Nishantha Muthuhettigamage,Nishantha Muthuhettigamage,Nishantha Muthuhettigamage,,male,Nishantha Muthuhettigama,,Nishantha Muthuhettigamage,Nishantha Muthuhettigamage,,,,1971,Nishantha Muthuhettigamage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16215852,,Kanaka Herath,Kanaka Herath,Kanaka Herath,,male,Kanaka Herath,,Kanaka Herath,Kanaka Herath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16217323,ஹரின் பெர்னாண்டோ,Harin Fernando,Harin Fernando,Harin Fernando,ஹரின் பெர்னாண்டோ,male,Harin Fernando,,Harin Fernando,Harin Fernando,,,,1978-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16230565,,Gamini Vijith Vijithamuni Soysa,Gamini Vijith Vijithamuni Soysa,Gamini Vijith Vijithamuni Soysa,,male,Gamini Vijith Vijithamuni Soysa,,Gamini Vijith Vijithamuni Soysa,Gamini Vijith Vijithamuni Soysa,,ගාමිණී විජිත් විජිතමුණි සොයිසා,ගාමිණී විජිත් විජිතමුණි සොයිසා,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16312221,தர்மலிங்கம் சித்தார்த்தன்,D. Siddarthan,D. Siddarthan,D. Siddarthan,தர்மலிங்கம் சித்தார்த்தன்,male,D. Siddarthan,D.,D. Siddarthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16885711,சி. சிவமோகன்,S. Sivamohan,S. Sivamohan,S. Sivamohan,சி. சிவமோகன்,male,S. Sivamohan,S.,S. Sivamohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16887004,,Duleep Wijesekera,Duleep Wijesekera,Duleep Wijesekera,,male,Duleep Wijesekera,,Duleep Wijesekera,Duleep Wijesekera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16910100,தயா கமகே,Daya gamage,Daya gamage,Daya Gamage,தயா கமகே,male,Daya Gamage,,Daya gamage,Daya gamage,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Daya_Gamage.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q16987968,லக்கி ஜெயவர்தன,Lucky Jayawardena,Lucky Jayawardena,Lucky Jayawardena,லக்கி ஜெயவர்தன,male,Lucky Jayawardena,,Lucky Jayawardena,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Luckyj1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17011652,திலக் மாரப்பன,Tilak Marapana,Tilak Marapana,Tilak Marapana,திலக் மாரப்பன,male,Tilak Marapana,,Tilak Marapana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,
Q1702764,ஈ. சரவணபவன்,E. Saravanapavan,E. Saravanapavan,E. Saravanapavan,ஈ. சரவணபவன்,male,E. Saravanapavan,E.,E. Saravanapavan,,,ඊ. සරවනබවන්,ඊ. සරවනබවන්,1953-12-15,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/E._Saravanapavan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:E. Saravanapavan,,,,,,,,,politician,,,,,
Q17074062,,Sarath Chandrasiri Mayadunne,Sarath Chandrasiri Mayadunne,Sarath Chandrasiri Mayadunne,,male,Sarath Chandrasiri Mayadunne,,Sarath Chandrasiri Mayadunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chartered accountant,,,,,
