id,name__es,name__it,name__en,name__fr,name,wikipedia__es,image,gender,birth_date,given_name,name__nl,name__de,wikipedia__commons,wikipedia__en,wikipedia__fr,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__he,name__ru,name__oc,name__ms,name__id,name__io,name__el,name__zh,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__ms,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,name__qu,name__fi,name__ja,name__fa,name__en_gb,name__ro,wikipedia__fa,wikipedia__fi,wikipedia__ja,wikipedia__no,wikipedia__qu,name__ca,wikipedia__ca,wikipedia__nl,name__ko,name__yo,name__et,wikipedia__et,wikipedia__it,wikipedia__ko,wikipedia__yo,website,death_date,twitter,name__vmf,name__nds,family_name,name__tr,name__la,wikipedia__la,wikipedia__sv,wikipedia__tr,original_wikiname,name__cy,name__hu,last_seen,second_surname,name__cs,name__af,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__eo,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__wikitree,occupation,facebook,wikipedia__cs,identifier__google_knowledge,identifier__GND,name__ar,identifier__Britannica,name__ay,wikipedia__ay,name__ka,name__uk,name__th,wikipedia__gl,wikipedia__ka,wikipedia__plwikiquote,wikipedia__th,wikipedia__uk,wikipedia__tg,name__tg,identifier__ISNI,identifier__youtube,identifier__ioc_athlete,wikipedia__eu,identifier__NTA,wikipedia__ast,pseudonym
Q20016230,Jesús Hurtado Zamudio,,Jesús Hurtado Zamudio,Jesús Hurtado Zamudio,Jesús Hurtado Zamudio,Jesús Hurtado Zamudio,,male,1947-09-07,Jesús,Jesús Hurtado Zamudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Hurtado Zamudio,,Jesús Hurtado Zamudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Hurtado Zamudio,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q20016232,Luis Iberico,,Luis Iberico,Luis Iberico,Luis Iberico,Luis Iberico,,male,1998-02-06,Luis,Luis Iberico,Luis Iberico,,Luis Iberico,,,,,,,,,,,"Иберико, Луис",,,,,,,,,,,,,,,,,,,,"Иберико, Луис",,,,,,,,,,لوئیز ایبریکو,,,لوئیز ایبریکو,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Iberico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Iberico,,,,,,,,,,,association football player,,,,,,,,,,,,,,,,,Луис Иберико,Луис Иберико,,,,,,,
Q235137,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,https://upload.wikimedia.org/wikipedia/commons/4/4f/Keiko_Fujimori_2.jpg,female,1975-05-25,Señora K,Keiko Fujimori,Keiko Fujimori,Category:Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,藤森惠子,藤森惠子,藤森惠子,藤森惠子,藤森惠子,藤森惠子,Keiko Fujimori,Keiko Fujimori,קייקו פוחימורי,Кейко Фухимори,,,Keiko Fujimori,,,藤森惠子,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,,קייקו פוחימורי,Keiko Fujimori,,,,Keiko Fujimori,Keiko Fujimori,"Фухимори, Кейко",藤森惠子,57146332843018730709,,,,/m/0cf5hx,Keiko Fujimori,Keiko Fujimori,ケイコ・フジモリ,,,,,Keiko Fujimori,ケイコ・フジモリ,,Kiku Huhimuri,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,게이코 후지모리,,Keiko Fujimori,Keiko Fujimori,Keiko Fujimori,게이코 후지모리,,,,keikofujimori,,,Fujimori,,,,Keiko Fujimori,,,,Keiko Fujimori,,Higuchi,Keiko Sofía Fujimori Higuchi,,,,,,,,,,,,,,,,Keiko Fujimori,,,,,,,,,,,,,,,,,,,,,,,Keiko Fujimori,,,,,,,,,,Fujimori-2,politician,KeikoSofiaFujimoriHiguchi,Keiko Fujimoriová,,,,biography/Keiko-Fujimori,,,კეიკო ფუხიმორი,Кейко Фухіморі,เกย์โก ฟูคีโมรี,Keiko Fujimori,კეიკო ფუხიმორი,Keiko Fujimori,เกย์โก ฟูคีโมรี,Кейко Фухіморі,,,,,,,,,Señora K
Q24457389,Karla Schaefer Cuculiza,,Karla Schaefer Cuculiza,,Karla Schaefer Cuculiza,Karla Schaefer Cuculiza,https://upload.wikimedia.org/wikipedia/commons/5/5e/Mujeres_parlamentarias_y_audiencia_pública_en_paita_(6780867144).jpg,female,1966-03-14,Karla,Karla Schaefer Cuculiza,,Category:Karla Schaefer Cuculiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,karlaschaefer,,,,,,,,,Karla Schaefer Cuculiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Schaefer Cuculiza,,,,,,,,,,,politician,KarlaSchaeferC,,,,,,,,,,,,,,,,,,,,,,,,
Q24884664,Gian Carlo Vacchelli,,Gian Carlo Vacchelli,,Gian Carlo Vacchelli,,https://upload.wikimedia.org/wikipedia/commons/3/34/Congresista_Gian_Carlo_Vacchelli.JPG,male,,Gian,Gian Carlo Vacchelli,,,Gian Carlo Vacchelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gian Carlo Vacchelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q25911940,Marisol Pérez Tello,,Marisol Pérez Tello De Rivera,,Marisol Pérez Tello,Marisol Pérez Tello,https://upload.wikimedia.org/wikipedia/commons/e/ee/MarisolPérezTello.jpg,female,1969-04-11,Maria,Marisol Pérez Tello,,Category:Marisol Pérez Tello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marpereztello,,,,,,,,,Marisol Pérez Tello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marisol Pérez Tello,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,Marisol Pérez Tello,
Q2615426,Gabriela Pérez del Solar,Gabriela Pérez,Gabriela Pérez del Solar,Gabriela Pérez del Solar,Gabriela Pérez del Solar,Gabriela Pérez del Solar,,female,1968-07-10,Gabriela,Gabriela Pérez del Solar,Gabriela Pérez del Solar,Category:Gabriela Pérez del Solar,Gabriela Pérez del Solar,Gabriela Pérez del Solar,,,,,,,Gabriela Pérez del Solar,Gabriela Pérez del Solar,,,,,,,,,Gabriela Pérez,,,,,,,,,,,Gabriela Pérez del Solar,Gabriela Pérez del Solar,,,,,,,/m/0cm689,Gabriela Pérez del Solar,,ガブリエラ・ペレス,گابریلا پرز دل سولار,,,گابریلا پرز دل سولار,,ガブリエラ・ペレス,Gabriela Pérez,Gabriela Pérez del Solar,,,,,,,,Gabriela Pérez,,,,,,,,,,,,,,Gabriela Pérez del Solar,,Gabriela Pérez del Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriela Pérez del Solar,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q26160411,Esther Saavedra Vela,,Esther Saavedra Vela,,Esther Saavedra Vela,Esther Saavedra Vela,https://upload.wikimedia.org/wikipedia/commons/3/3a/Parlamentaria_Esther_Saavedra_(7027789121).jpg,female,1966-08-10,Esther,Esther Saavedra Vela,,Category:Esther Saavedra Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EstherSVoficial,,,,,,,,,Esther Saavedra Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esther Saavedra Vela,,,,,,,,,,,politician,EstherSVoficial,,,,,,,,,,,,,,,,,,,,,,,,
Q2665739,Cecilia Tait,,Cecilia Tait,Cecilia Tait,Cecilia Tait,Cecilia Tait,https://upload.wikimedia.org/wikipedia/commons/d/da/Cecilia_Tait_Villacorta_(cropped).jpg,female,1962-05-02,Cecilia,Cecilia Tait,Cecilia Tait,Category:Cecilia Tait,Cecilia Tait,Cecilia Tait,,,,,,,Cecilia Tait,Cecilia Tait,,"Тайт, Сесилия",,,,,,,Cecilia Tait,,,,,,,,,,,Cecilia Tait,Cecilia Tait,"Тайт, Сесилия",,,,,,/m/03mh11_,Cecilia Tait,Cecilia Tait,セシリア・タイト,سیسیلیا تایت,Cecilia Tait,Cecilia Tait,سیسیلیا تایت,Cecilia Tait,セシリア・タイト,Cecilia Tait,Cecilia Tait,,,,,,,,,,,,,CeciliaTaitV,,,,,,,,,Cecilia Tait,,Cecilia Tait,,,Cecilia Taitová,,,Cecilia Tait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Tait,,,,,,,,,,,volleyball player,CeciliaTaitv,Cecilia Taitová,,,,,,,,,,,,,,,,,,,cecilia-tait,,,Cecilia Tait,
Q28939729,Freddy Sarmiento,,Freddy Sarmiento,,Freddy Sarmiento,Freddy Sarmiento,https://upload.wikimedia.org/wikipedia/commons/1/11/Freddy_Sarmiento_Betancourt.jpg,male,1952-03-12,Freddy,,,Category:Freddy Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fsarmiento3,,,Sarmiento,,,,,,Freddy Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Sarmiento,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,
Q2919712,Víctor Crisólogo,,Víctor Crisólogo,Víctor Crisólogo,Víctor Crisólogo,Víctor Crisólogo,,male,1952-07-12,Víctor,Víctor Crisólogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Víctor Crisólogo,,Víctor Crisólogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Víctor Crisólogo,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q3143212,Humberto Lay Sun,,Humberto Lay,Humberto Lay Sun,Humberto Lay Sun,Humberto Lay Sun,"https://upload.wikimedia.org/wikipedia/commons/7/70/Humberto_Lay,_2012.jpg",male,1939-09-25,Humberto,Humberto Lay Sun,Humberto Lay,Category:Humberto Lay,Humberto Lay,Humberto Lay Sun,,溫貝托·黎,,温贝托·黎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0b6t_3,,,,,,,,,,,,,,,,,,,,,,,,humberto_lay,,,,,,,,,Humberto Lay,,Humberto Lay Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humberto Lay Sun,,,,,,,,,,,architect,HumbertoLay,,,,,,,,,,,,,,,,,,,,,,,,
Q3295155,Martha Chávez,,Martha Chávez,Martha Chávez,Martha Chávez,Martha Chávez,https://upload.wikimedia.org/wikipedia/commons/e/e5/La_parlamentaria_Martha_Chávez_Cossío_(6881746214).jpg,female,1953-01-12,Martha,Martha Chávez,Martha Chávez,Category:Martha Chávez,Martha Chávez,Martha Chávez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martha Chávez,,,,,,,,,,Martha Chávez,,,,,,,,,,,,,MarthaChavezC,,,,,,,,,Martha Chávez,,Martha Chávez,,,,,,,,,,,,,,Martha Chávez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martha Chávez,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Martha Chávez,,,
Q3305207,Cenaida Uribe,,Cenaida Uribe,Cenaida Uribe,Cenaida Uribe,Cenaida Uribe,https://upload.wikimedia.org/wikipedia/commons/b/b9/Cenaida-Uribe.jpg,female,1965-12-02,,Cenaida Uribe,Cenaida Uribe,Category:Cenaida Uribe,Cenaida Uribe,Cenaida Uribe,,,,,,,Cenaida Uribe,Cenaida Uribe,,,,,,,,,Cenaida Uribe,,,,,,,,,,,Cenaida Uribe,Cenaida Uribe,,,,,,,/m/0fvdgn,Cenaida Uribe,,セナイダ・ウリベ,سنایدا اوریبه,,,سنایدا اوریبه,,,Cenaida Uribe,Cenaida Uribe,,,,,,,,,,,,,cenaida_uribe,,,,,,,,,Cenaida Uribe,,Cenaida Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cenaida Uribe,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,cenaida-uribe,,,Cenaida Uribe,
Q372590,Luisa María Cuculiza,,Luisa María Cuculiza,Luisa María Cuculiza,Luisa María Cuculiza,Luisa María Cuculiza,https://upload.wikimedia.org/wikipedia/commons/0/0d/Parlamentaria_Luisa_María_Cuculiza_(6881230542).jpg,female,1942-03-09,Luisa,Luisa María Cuculiza,Luisa María Cuculiza,Category:Luisa María Cuculiza,Luisa María Cuculiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luisa Cuculiza,,,,,,,,,,Luisa Cuculiza,,,,,,,,,,,,,LuchaCuculiza,,,,,,,,,Luisa María Cuculiza,,Luisa María Cuculiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luisa María Cuculiza,,,,,,,,,,,politician,Luisa-María-Cuculiza-Torre-170100973073715,,,,,,,,,,,,,,,,,,,,,,,,
Q4532785,Marisol Espinoza,,Marisol Espinoza,Marisol Espinoza,Marisol Espinoza,Marisol Espinoza,https://upload.wikimedia.org/wikipedia/commons/b/bc/Marisol_Espinoza_2.jpg,female,1967-07-31,Marisol,Marisol Espinoza Cruz,Marisol Espinoza,Category:Marisol Espinoza,Marisol Espinoza,Marisol Espinoza,,馬里索爾·埃斯皮諾薩,,马里索尔·埃斯皮诺萨,,,Marisol Espinoza,,,"Эспиноса Крус, Марисоль",,,,,Μαρισόλ Εσπινόσα,,,,,,,Μαρισόλ Εσπινόσα,,,,,,,Marisol Espinoza,"Эспиноса Крус, Марисоль",,,,,,/m/0fwbqy,Marisol Espinoza,,,,,,,,,,Marisol Espinoza,,,Marisol Espinoza Cruz,,,,,,,,,,marisolespinoz_,,,,,,,,,Marisol Espinoza,,Marisol Espinoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marisol Espinoza,,,,,,,,,,,journalist,MarisolEspinozaC,,,,,,,,,,,,,,,,,,,,,,,Marisol Espinoza,
Q459193,Javier Velásquez Quesquén,Javier Velásquez,Javier Velásquez,Javier Velásquez Quesquén,Javier Velásquez Quesquén,Javier Velásquez Quesquén,https://upload.wikimedia.org/wikipedia/commons/a/a7/Premier11.jpg,male,1960-03-12,Javier,Javier Velásquez,Javier Velásquez Quesquén,Category:Javier Velásquez,Javier Velásquez,Javier Velásquez Quesquén,哈维尔·贝拉斯克斯,哈維爾·貝拉斯克斯,哈維爾·貝拉斯克斯,哈维尔·贝拉斯克斯,哈维尔·贝拉斯克斯,哈維爾·貝拉斯克斯,Javier Velásquez,Javier Velásquez,,"Веласкес Кескен, Хавьер",,Javier Velásquez,,,Χαβιέρ Βελάσκες,哈維爾·貝拉斯克斯,Javier Velásquez Quesquén,Javier Velásquez Quesquén,Javier Velásquez Quesquén,Javier Velásquez Quesquén,Javier Velásquez Quesquén,Χαβιέρ Βελάσκες,,,,Javier Velásquez,,Javier Velásquez,Javier Velásquez,"Веласкес Кескен, Хавьер",哈維爾·貝拉斯克斯,151697565,no2010157882,,,/m/0fv9gp,Javier Velásquez,,,خاویر ولاسکوئز,,,خاویر ولاسکوئز,,,,Javier Velásquez,,,,하비에르 벨라스케스,Javier Velásquez,Javier Velásquez,Javier Velásquez,Javier Velásquez,하비에르 벨라스케스,Javier Velásquez,,,JVelasquezQ,,,,,,,,,Javier Velásquez,,Javier Velásquez Quesquén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javier Velásquez Quesquén,,,,,,,,,,,politician,velasquezquesquenpap,,,,,,,,,,,,,,,,,,0000 0001 0182 3373,,,,,,
