source,name,area,area_id,wikiname,party,term,id
,Nonpartisan,Camp,ocd-division/country:fk/constituency:camp,Nonpartisan,Independent,2001,nonpartisan
,Nonpartisan,Camp,ocd-division/country:fk/constituency:camp,Nonpartisan,Independent,2005,nonpartisan
,Nonpartisan,Camp,ocd-division/country:fk/constituency:camp,Nonpartisan,Independent,2009,nonpartisan
,Nonpartisan,Camp,ocd-division/country:fk/constituency:camp,Nonpartisan,Independent,2013,nonpartisan
,Norma Edwards,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,norma_edwards
,Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,1989,norma_edwards
,Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,1993,norma_edwards
,Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,1997,norma_edwards
,Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,2001,norma_edwards
,Philip Miller,Camp,ocd-division/country:fk/constituency:camp,,Independent,2001,philip_miller
,Phyllis Rendell,Camp,ocd-division/country:fk/constituency:camp,Phyllis Rendell,Independent,2013,phyllis_rendell
,Richard Cockwell,Camp,ocd-division/country:fk/constituency:camp,Richard Cockwell,Independent,1997,richard_cockwell
,Richard Cockwell,Stanley,ocd-division/country:fk/constituency:stanley,Richard Cockwell,Independent,2001,richard_cockwell
,Richard Cockwell,Stanley,ocd-division/country:fk/constituency:stanley,Richard Cockwell,Independent,2005,richard_cockwell
,Richard Davies,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,2005,richard_davies
,Richard Sawle,Stanley,ocd-division/country:fk/constituency:stanley,Richard Sawle,Independent,2009,richard_sawle
,Richard Stevens,Camp,ocd-division/country:fk/constituency:camp,Richard Stevens (Falkland Islands politician),Independent,1993,richard_stevens
,Richard Stevens,Camp,ocd-division/country:fk/constituency:camp,Richard James Stevens,Independent,2005,richard_stevens
,Robin Myles Lee,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,robin_myles_lee
,Roger Edwards,Camp,ocd-division/country:fk/constituency:camp,Roger Edwards (politician),Independent,2001,roger_edwards
,Roger Edwards,Camp,ocd-division/country:fk/constituency:camp,Roger Anthony Edwards,Independent,2009,roger_edwards
,Roger Edwards,Camp,ocd-division/country:fk/constituency:camp,Roger Edwards (politician),Independent,2013,roger_edwards
,Ron Binnie,Camp,ocd-division/country:fk/constituency:camp,,Independent,1989,ron_binnie
,Ronald Eric Binnie,East Falkland,ocd-division/country:fk/constituency:east-falkland,,Independent,1981,ronald_eric_binnie
,Sharon Halford,Stanley,ocd-division/country:fk/constituency:stanley,Sharon Halford,Independent,1993,sharon_halford
,Sharon Halford,Stanley,ocd-division/country:fk/constituency:stanley,Sharon Halford,Independent,1997,sharon_halford
,Sharon Halford,Camp,ocd-division/country:fk/constituency:camp,Sharon Halford,Independent,2009,sharon_halford
,Stephen Luxton,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,2001,stephen_luxton
,Stuart Barrett Wallace,West Stanley,ocd-division/country:fk/constituency:west-stanley,,Independent,1977,stuart_barrett_wallace
,Terence John Peck,Stanley,ocd-division/country:fk/constituency:stanley,Terence John Peck,Independent,1981,terence_john_peck
,Terry Peck,Stanley,ocd-division/country:fk/constituency:stanley,Terry Peck,Independent,1989,terry_peck
,Timothy John Durose Miller,Camp,ocd-division/country:fk/constituency:camp,,Independent,1977,timothy_john_durose_miller
,Timothy John Durose Miller,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,timothy_john_durose_miller
,Wendy Teggart,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1993,wendy_teggart
,William Edward Bowles,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1977,william_edward_bowles
,William Henry,East Stanley,ocd-division/country:fk/constituency:east-stanley,,Independent,1977,william_henry
,William Henry Goss,East Stanley,ocd-division/country:fk/constituency:east-stanley,,Independent,1981,william_henry_goss
