id,name__en,name,wikipedia__en,gender,birth_date,given_name,twitter,image,identifier__VIAF,death_date,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__es,name__fr,name__fa,name__ru,name__vi,name__cy,name__eu,name__ca,name__gd,name__br,name__id,name__ga,name__gl,identifier__CLARA,name__sco,name__pt,name__pcd,name__eo,name__hu,name__oc,original_wikiname,last_seen,wikipedia__ar,name__ar,name__ja,wikipedia__commons,identifier__freebase,occupation,wikipedia__enwikisource
Q5569080,Glenn Ross,Glenn Ross,Glenn Ross (politician),male,1964,Glenn,,,,,Glenn Ross,,Glenn Ross,Glenn Ross,Glenn Ross,Glenn Ross,Glenn Ross,Glenn Ross (política),Glenn Ross,,Гленн Росс,,,,,,,,,,,,,,,Glenn Ross,,Glenn Ross (politician),,,,,,,,
Q5981738,Ian Hansen,Ian Hansen,Ian Hansen,male,1958,Ian,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Ian_Hansen_MLA.jpg,,,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,Ian Hansen,,,,,,,,,,,,,,,,,Ian Hansen,,Ian Hansen,,,,イアン・ハンセン,,,,
Q6148688,Jan Cheek,Jan Cheek,Jan Cheek,female,1948,Jan,,"https://upload.wikimedia.org/wikipedia/commons/c/ca/Jan_Cheek,_Foreign_and_Commonwealth_Office.jpg",,,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,Jan Cheek,,,,,,,,,,,,,,,,,Jan Cheek,,Jan Cheek,,,,,Category:Jan Cheek,,,Author:Janet Lynda Cheek
Q6153575,Janet Robertson,Janet Robertson,Janet Robertson,female,1965,Janet,,,,,Janet Robertson,,Janet Robertson,Janet Robertson,Janet Robertson,Janet Robertson,Janet Robertson,Janet Robertson,Janet Robertson,,,,,,,,,,,,7074,,,,,Janet Robertson,,Janet Robertson,,,,,,,,
Q6221980,John Birmingham,John Birmingham,John Birmingham (politician),male,1953,John,,,,,John Birmingham,John Birmingham,John Birmingham,John Birmingham,John Birmingham,John Birmingham,John Birmingham,John Birmingham,John Birmingham,,Джон Бирмингем,,,,,,,,,,,,,,,John Birmingham,,John Birmingham (politician),,,,,,,politician,
Q6848546,Mike Rendell,Mike Rendell,Mike Rendell,male,1944,Mike,,,,,Mike Rendell,,Mike Rendell,,,,,Mike Rendell,Mike Rendell,,,,,,,,,,,,,,,,,Mike Rendell,,Michael Rendell,,,,,,,,
Q7324814,Richard Cockwell,Richard Cockwell,Richard Cockwell,male,1939,Richard,,,220504676,,Richard Cockwell,Richard Cockwell,Richard Cockwell,Richard Cockwell,Richard Cockwell,Richard Cockwell,Richard Cockwell,Richard Cockwell,Richard Cockwell,,,,,,,,,,,,,,,,,Richard Cockwell,,Richard Cockwell,,,,,,,,
Q7329250,Richard Stevens,Richard Stevens,Richard Stevens (Falkland Islands politician),male,1955,Richard,,,,,Richard Stevens,Richard Stevens,Richard Stevens,Richard Stevens,Richard Stevens,Richard Stevens,Richard Stevens,Richard Stevens,Richard Stevens,,Ричард Стивенс,,,,,,,,,,,,,,,Richard Stevens,,Richard James Stevens,,,,,,,Member of the Legislative Assembly,
Q7490080,Sharon Halford,Sharon Halford,Sharon Halford,female,1953-11-27,Sharon,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sharon_Halford.jpg,,,Sharon Halford,Sharon Halford,Sharon Halford,Sharon Halford,Sharon Halford,Sharon Halford,Sharon Halford,Sharon Halford,Sharon Halford,,,,,,,,,,,,,,,,,Sharon Halford,,Sharon Halford,,,,シャロン・ハルフォード,,,,
Q7704907,Terry Peck,Terry Peck,Terry Peck,male,1938-08-02,Terry,,,,2006-12-30,Terry Peck,Terry Peck,Terry Peck,Terry Peck,Terry Peck,Terry Peck,Terry Peck,Terry Peck,Terry Peck,,,,,,,,,,,,,,,,,Terry Peck,,Terence John Peck,,,,,,,police officer,
