id,name__en,name,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date,name__pt,name__pl,name__ru,name__fr,name__es,name__ca,name__oc,name__yo,name__fi,name__hu,name__it,name__gl,name__de,name__id,name__ja,name__io,name__el,name__sh,name__tpi,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tpi,wikipedia__yo,name__zh,name__ar,name__ms,name__pam,name__tr,name__et,wikipedia__ar,wikipedia__et,wikipedia__ms,wikipedia__pam,wikipedia__tr,wikipedia__zh,wikipedia__da,name__lb,wikipedia__lb,original_wikiname,name__cy,wikipedia__commons,last_seen,name__zh_hant,name__zh_cn,occupation,name__la,wikipedia__la,wikipedia__uk,name__uk,name__fo,name__is,name__se,name__sje,name__sma,name__smj,name__sw,family_name,wikipedia__hi,name__th,name__hi
Q287513,Maatia Toafa,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,Maatia,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",Maatia Toafa,Maatia Toafa,,,,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,Maatia Toafa,マアティア・トアファ,,Μαατία Τοάφα,,,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Μαατία Τοάφα,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,マアティア・トアファ,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",,,,馬蒂亞·托阿法,,Maatia Toafa,,,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,,,Maatia Toafa,Maatia Toafa,Maatia Toafa,,,,馬蒂亞·托阿法,马蒂亚·托阿法,diplomat,,,,,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Toafa,,,
Q3147210,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,https://upload.wikimedia.org/wikipedia/commons/2/2f/Iakoba_Italeli_May_2015.jpg,male,"",/m/03h1dy5,Iakoba,,Iakoba Italeli,Iakoba Italeli,"Италели, Иакоба",Iakoba Italeli,Iakoba Italeli,,,Iakoba Italeli,,Iakoba Italeli,,,Iakoba Italeli,Iakoba Italeli,イアコバ・イタレリ,,Ιάκομπα Ιταλέλι,,,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,,Iakoba Italeli,Ιάκομπα Ιταλέλι,Iakoba Italeli,,Iakoba Italeli,,,Iakoba Italeli,,,イアコバ・イタレリ,,Iakoba Italeli,,Iakoba Italeli,Iakoba Italeli,"Италели, Иакоба",,,Iakoba Italeli,,,,,Iakoba Italeli,Iakoba Italeli,,Iakoba Italeli,,,Iakoba Italeli,,Iakoba Italeli,,,Iakoba Italeli,,,,,,politician,,,,,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,Italeli,इकोबा इतालेली,เอียโคบา อิตาเลลี,इकोबा इतालेली
Q316267,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,,Apisai Ielemia,Apisai Ielemia,"Иелемиа, Аписаи",Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,アピサイ・イエレミア,Apisai Ielemia,Απισάι Ιελέμια,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Απισάι Ιελέμια,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,アピサイ・イエレミア,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,"Иелемиа, Аписаи",Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,阿皮塞·耶雷米亞,,,,,,,,,,,,,,,Apisai Ielemia,,,,阿皮塞·耶雷米亞,阿皮塞·耶雷米亚,politician,,,,,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Ielemia,,,
Q330640,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,https://upload.wikimedia.org/wikipedia/commons/2/20/Enele_Sopoaga_2014.jpg,male,1956-02-10,/m/0ddbw5v,Enele,,,Enele Sopoaga,"Сопоага, Энеле",Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,,,,,,,Enele Sopoaga,,エネレ・ソポアガ,,Ενέλε Σοποάγκα,,,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Ενέλε Σοποάγκα,Enele Sopoaga,,Enele Sopoaga,,,,,,,Enele Sopoaga,Enele Sopoaga,,Enele Sopoaga,,"Сопоага, Энеле",,,,埃內爾·索本嘉,إنال سوبواغا,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,إنال سوبواغا,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,埃內爾·索本嘉,,,,Enele Sopoaga,,Category:Enele Sopoaga,,,,diplomat,Enele Sopoaga,Enele Sopoaga,Енеле Сопоага,Енеле Сопоага,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Sopoaga,,เอเนเล โซโปอากา,
Q561559,Willy Telavi,Willy Telavi,Willy Telavi,https://upload.wikimedia.org/wikipedia/commons/1/15/WillyTevali.jpg,male,1954-01-28,/m/03h1dtd,Willy,,Willy Telavi,Willy Telavi,"Телави, Вилли",Willy Telavi,Willy Telavi,,,Willy Telavi,,Willy Telavi,,,Willy Telavi,,,,Γουίλι Τελάβι,,,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,,Willy Telavi,Γουίλι Τελάβι,Willy Telavi,,Willy Telavi,,,,,,,,Willy Telavi,,Willy Telavi,Willy Telavi,"Телави, Вилли",,,Willy Telavi,威利·特拉維,,,,Willy Telavi,Willy Telavi,,Willy Telavi,,,Willy Telavi,,Willy Telavi,,,Willy Telavi,,,,,威利·特拉维,politician,,,,,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Telavi,,,
Q6078458,Isaia Italeli,Isaia Italeli,Isaia Italeli,,male,1960,,Isaia,2011-07-20,,,,Isaia Italeli,,,,,,,Isaia Italeli,,Isaia Italeli,,,,,,,Isaia Italeli,Isaia Italeli,Isaia Italeli,Isaia Italeli,Isaia Italeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaia Italeli,,,,,,politician,,,,,Isaia Italeli,Isaia Italeli,Isaia Italeli,Isaia Italeli,Isaia Italeli,Isaia Italeli,Isaia Italeli,Italeli,,,
Q6378927,Kausea Natano,Kausea Natano,Kausea Natano,,male,,,,,,,,,,,,,,,,,Kausea Natano,,,,,,,Kausea Natano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kausea Natano,,,,,,,,,,,,,,,,,,,,,
Q6900427,Monise Laafai,Monise Laafai,Monise Laafai,https://upload.wikimedia.org/wikipedia/commons/c/c7/Monise_Laafai_-_ITU_Telecom_World_2016_-_Ministerial_Roundtable_(25363407029)_(cropped).jpg,male,,,Monise,,,,,,,,,,,,Monise Laafai,,Monise Laafai,,,,,,,Monise Laafai,Monise Laafai,Monise Laafai,Monise Laafai,Monise Laafai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monise Lafai,,,,,,politician,,,,,Monise Laafai,Monise Laafai,Monise Laafai,Monise Laafai,Monise Laafai,Monise Laafai,Monise Laafai,Laafai,,,
Q6961984,Namoliki Sualiki,Namoliki Sualiki,Namoliki Sualiki,,male,,,,,,,,,,,,,,,,,Namoliki Sualiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Namoliki Sualiki,,,,,,,,,,,,,,,,,,,,,
Q7108741,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,,male,,,Otinielu,,,,,Otinielu Tausi,,,,,,,,,Otinielu Tausi,,,,,,,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otinielu Tausi,,,,,,politician,,,,,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Otinielu Tausi,Tausi,,,
Q7161303,Pelenike Isaia,Pelenike Isaia,Pelenike Isaia,,female,,,,,,,,Pelenike Isaia,Pelenike Isaia,,,,,Pelenike Isaia,,,Pelenike Isaia,,,,,,,,,,,,,,,,,Pelenike Isaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelenike Isaia,,,,,,politician,,,,,,,,,,,,,,,
Q739504,Kamuta Latasi,Kamuta Latasi,Kamuta Latasi,,male,1936,/m/0c8dkz,,,,Kamuta Latasi,"Латаси, Камута",Kamuta Latasi,Kamuta Latasi,,,,Kamuta Latasi,Kamuta Latasi,,,Kamuta Latasi,,カムタ・ラタシ,,Καμούτα Λατάζι,,,Kamuta Latasi,Kamuta Latasi,,,,,Kamuta Latasi,Καμούτα Λατάζι,,Kamuta Latasi,Kamuta Latasi,,Kamuta Latasi,,,,,,Kamuta Latasi,,Kamuta Latasi,,"Латаси, Камута",,,,卡穆塔·拉塔西,,,,,,,,,,,,,,,Kamuta Latasi,,,,,,politician,,,,,,,,,,,,,कामुता लतासि,,कामुता लतासि
Q7684285,Taom Tanukale,Taom Tanukale,Taom Tanukale,,male,,,,,,,,,,,,,,,,,Taom Tanukale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taom Tanukale,,,,,,,,,,,,,,,,,,,,,
Q7688699,Taukelina Finikaso,Taukelina Finikaso,Taukelina Finikaso,,male,,,,,,,,,,,,,,,,,Taukelina Finikaso,,タウケリナ・フィニカソ,,,,,Taukelina Finikaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taukelina Finikaso,,,,,,diplomat,,,,,,,,,,,,,,,
Q7689043,Tavau Teii,Tavau Teii,Tavau Teii,,male,,,,,,,,,,,,,,,Tavau Teii,,Tavau Teii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,達沃斯·泰伊,,,,,,,,,,,,,,,Tavau Teii,,,,,,politician,,,,,,,,,,,,,,,
Q7923554,Vete Sakaio,Vete Sakaio,Vete Sakaio,,male,,,,,,,,,,,,,,,,,Vete Sakaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vete Sakaio,,,,,,politician,,,,,,,,,,,,,,,
Q923836,Tomu Sione,Tomu Sione,Tomu Sione,,male,1941-11-17,/m/0bfywd,Tomu,2016,,Tomu Sione,"Сионе, Тому",Tomu Sione,Tomu Sione,,,,Tomu Sione,Tomu Sione,,,Tomu Sione,,トム・シオネ,,Τόμου Σιόνε,,,Tomu Sione,Tomu Sione,Tomu Sione,Tomu Sione,Tomu Sione,,Tomu Sione,Τόμου Σιόνε,,Tomu Sione,Tomu Sione,,Tomu Sione,,,,,,Tomu Sione,,Tomu Sione,,"Сионе, Тому",,,,,,,,,,,,,,,,,,,Tomu Sione,,,,,,politician,,,,,Tomu Sione,Tomu Sione,Tomu Sione,Tomu Sione,Tomu Sione,Tomu Sione,Tomu Sione,Sione,तोमु सियोने,,तोमु सियोने
