id,name,group,party_wikipedia,area,term,identifier__wikipedia_fo,source,name__fo,wikipedia__fo,name__da,wikipedia__da,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__freebase,death_date,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__isni,identifier__bnf,website
vilhelm_johannesen,Vilhelm Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,1990,Vilhelm Johannesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,,"",male,1942-08-04,Vilhelm,,,,,,,,,
jógvan_a._johannessen,Jógvan A. Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,1990,Jógvan A. Johannessen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1990,Anfinn Kallsberg,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,male,1947-11-19,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Anfinn_Kallsberg.jpg,/m/077f65,,,,,,,
lasse_klein,Lasse Klein,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,1990,Lasse Klein,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Lasse Klein,Lasse Klein,,"",,"",male,1950-10-08,Lasse,,,,,,,,,
sverre_midjord,Sverre Midjord,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Sverre Midjord,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Sverre Midjord,Sverre Midjord,Sverre Midjord,Sverre Midjord,,"",male,1933-04-02,,,,,,,,,,
flemming_mikkelsen,Flemming Mikkelsen,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,1990,Flemming Mikkelsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Flemming Mikkelsen,Flemming Mikkelsen,,"",,"",male,1930-11-21,Flemming,,,,,,,,,
helena_dam_á_neystabø,Helena Dam á Neystabø,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Suðurstreymoy,1990,Helena Dam á Neystabø,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,"",female,1955-12-10,Helena,,,,,,,,,
tordur_niclasen,Tordur Niclasen,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Eysturoy,1990,Tordur Niclasen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Tordur Niclasen,Tordur Niclasen,,"",,"",male,1950-04-20,,,,,,,,,,
hergeir_nielsen,Hergeir Nielsen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðuroy,1990,Hergeir Nielsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Hergeir Nielsen,Hergeir Nielsen,Hergeir Nielsen,Hergeir Nielsen,,"",male,1949-08-27,,,,,,,,,,
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Henrik Old,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,male,1947-06-20,Henrik,https://upload.wikimedia.org/wikipedia/commons/7/7d/Henrik_Old.jpg,,,,,,,,
jógvan_i._olsen,Jógvan I. Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1990,Jógvan I. Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
olaf_olsen,Olaf Olsen,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,1990,Olaf Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Olaf Olsen,Olaf Olsen,,"",,"",male,1935-04-17,Olaf,,,,,,,,,
john_petersen,John Petersen,Fólkaflokkurin,Fólkaflokkurin,Sandoy,1990,John Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
lisbeth_l._petersen,Lisbeth L. Petersen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1990,Lisbeth L. Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Lisbeth L. Petersen,Lisbeth L. Petersen,Lisbeth Petersen,Lisbeth Petersen,Lisbeth Petersen,"",female,1939-02-28,Lisbeth,,,,43664080,,,,,
marita_petersen,Marita Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1990,Marita Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,female,1940-10-21,Marita,,/m/09070_,2001-08-26,168341614,,n2011010363,,,
jógvan_sundstein,Jógvan Sundstein,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Jógvan Sundstein,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,male,1933-05-25,Jógvan,,/m/04f1c5l,,155010896,,n2010046169,,,
jørgen_thomsen,Jørgen Thomsen,Javnaðarflokkurin,Javnaðarflokkurin,Eysturoy,1990,Jørgen Thomsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
Álvur_zachariasen,Álvur Zachariasen,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,1994,Álvur Zachariasen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1994,Anfinn Kallsberg,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,male,1947-11-19,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Anfinn_Kallsberg.jpg,/m/077f65,,,,,,,
bjarni_djurholm,Bjarni Djurholm,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1994,Bjarni Djurholm,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,"",male,1957-03-19,Bjarni,,,,,,,,,
bjørn_á_heygum,Bjørn á Heygum,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1994,Bjørn á Heygum,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1994,Edmund Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,male,1944-09-19,Edmund,https://upload.wikimedia.org/wikipedia/commons/6/63/Edmund_Joensen.JPG,/m/04n5gw7,,,,,,,
finnbogi_arge,Finnbogi Arge,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1994,Finnbogi Arge,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Finnbogi Arge,Finnbogi Arge,,"",,"",male,1955-09-06,,,,,,,,,,
finnbogi_Ísakson,Finnbogi Ísakson,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,1994,Finnbogi Ísakson,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Finnbogi Ísakson,Finnbogi Ísakson,,"",Finnbogi Ísakson,"",male,1943-02-07,,,,2005-09-07,308740562,1051917034,,,,
heini_o._heinesen,Heini O. Heinesen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,1994,Heini O. Heinesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
helena_dam_á_neystabø,Helena Dam á Neystabø,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Suðurstreymoy,1994,Helena Dam á Neystabø,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,"",female,1955-12-10,Helena,,,,,,,,,
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1994,Henrik Old,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,male,1947-06-20,Henrik,https://upload.wikimedia.org/wikipedia/commons/7/7d/Henrik_Old.jpg,,,,,,,,
ingeborg_vinther,Ingeborg Vinther,Verkamannafylkingin,Verkamannafylkingin,Suðuroy,1994,Ingeborg Vinther,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Ingeborg Vinther,Ingeborg Vinther,Ingeborg Vinther,Ingeborg Vinther,,"",female,1945-05-11,Ingeborg,,,,,,,,,
ivan_johannesen,Ivan Johannesen,Sambandsflokkurin,Sambandsflokkurin,Vágar,1994,Ivan Johannesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Ivan Johannesen,Ivan Johannesen,,"",,"",male,1934-06-28,Ivan,,,2012-04-18,,,,,,
jákup_joensen,Jákup Joensen,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,1994,Jákup Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
jákup_olsen,Jákup Olsen,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Suðuroy,1994,Jákup Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
jenis_av_rana,Jenis av Rana,Miðflokkurin,Miðflokkurin,Suðurstreymoy,1994,Jenis av Rana,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,"",male,1953-01-07,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Jenis_av_Rana.jpg,,,,,,,,
jóannes_eidesgaard,Jóannes Eidesgaard,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1994,Jóannes Eidesgaard,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,male,1951-04-19,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Joannes_Eidesgaard_in_Gjogv.jpg,/m/037lqt,,,,,,,
jógvan_a._johannessen,Jógvan A. Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,1994,Jógvan A. Johannessen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
jógvan_durhuus,Jógvan Durhuus,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðurstreymoy,1994,Jógvan Durhuus,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Jógvan Durhuus,Jógvan Durhuus,,"",,"",male,1938-02-19,Jógvan,,,,,,,,,
jógvan_i._olsen,Jógvan I. Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1994,Jógvan I. Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
john_petersen,John Petersen,Fólkaflokkurin,Fólkaflokkurin,Sandoy,1994,John Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
jørgen_niclasen,Jørgen Niclasen,Fólkaflokkurin,Fólkaflokkurin,Vágar,1994,Jørgen Niclasen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Jørgen Niclasen,Jørgen Niclasen,Jørgen Niclasen,Jørgen Niclasen,Jørgen Niclasen,Jørgen Niclasen,male,1969-01-17,Jørgen,https://upload.wikimedia.org/wikipedia/commons/9/9b/Jorgen_Niclasen_(2).jpg,/m/043ry58,,,,,,,
kjartan_joensen,Kjartan Joensen,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,1994,Kjartan Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,
kristian_magnussen,Kristian Magnussen,Verkamannafylkingin,Verkamannafylkingin,Suðurstreymoy,1994,Kristian Magnussen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Kristian Magnussen,Kristian Magnussen,,"",,"",male,1956-02-22,Kristian,,,,,,,,,
lasse_klein,Lasse Klein,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Eysturoy,1994,Lasse Klein,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Lasse Klein,Lasse Klein,,"",,"",male,1950-10-08,Lasse,,,,,,,,,
lisbeth_l._petersen,Lisbeth L. Petersen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1994,Lisbeth L. Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Lisbeth L. Petersen,Lisbeth L. Petersen,Lisbeth Petersen,Lisbeth Petersen,Lisbeth Petersen,"",female,1939-02-28,Lisbeth,,,,43664080,,,,,
maria_hansen,Maria Hansen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,1994,Maria Hansen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Maria Hansen,Maria Hansen,,"",,"",female,1939-11-10,Maria,,,,,,,,,
marita_petersen,Marita Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1994,Marita Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,female,1940-10-21,Marita,,/m/09070_,2001-08-26,168341614,,n2011010363,,,
Óli_breckmann,Óli Breckmann,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1994,Óli Breckmann,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Óli Breckmann,Óli Breckmann,Óli Breckmann,Óli Breckmann,Óli Breckmann,"",male,1948-03-30,,,,,,,,,,
Óli_jacobsen,Óli Jacobsen,Verkamannafylkingin,Verkamannafylkingin,Eysturoy,1994,Óli Jacobsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Óli Jacobsen,Óli Jacobsen,,"",,"",male,1943-08-21,,,,,,,,,,
signar_á_brúnni,Signar á Brúnni,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Eysturoy,1994,Signar á Brúnni,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Signar á Brúnni,Signar á Brúnni,Signar á Brúnni,Signar á Brúnni,,"",male,1945-02-10,,,,,,,,,,
tordur_niclasen,Tordur Niclasen,Miðflokkurin,Miðflokkurin,Eysturoy,1994,Tordur Niclasen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Tordur Niclasen,Tordur Niclasen,,"",,"",male,1950-04-20,,,,,,,,,,
vilhelm_johannesen,Vilhelm Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,1994,Vilhelm Johannesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,,"",male,1942-08-04,Vilhelm,,,,,,,,,
signar_á_brúnni,Signar á Brúnni,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Eysturoy,1998,Signar á Brúnni,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Signar á Brúnni,Signar á Brúnni,Signar á Brúnni,Signar á Brúnni,,"",male,1945-02-10,,,,,,,,,,
sámal_petur_í_grund,Sámal Petur í Grund,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,1998,Sámal Petur í Grund,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Sámal Petur í Grund,Sámal Petur í Grund,,"",,"",male,1958-07-26,,,,,,,,,,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1998,Edmund Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,male,1944-09-19,Edmund,https://upload.wikimedia.org/wikipedia/commons/6/63/Edmund_Joensen.JPG,/m/04n5gw7,,,,,,,
jógvan_á_lakjuni,Jógvan á Lakjuni,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,1998,Jógvan á Lakjuni,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Jógvan á Lakjuni,Jógvan á Lakjuni,Jógvan á Lakjuni,Jógvan á Lakjuni,Jógvan á Lakjuni,Jógvan á Lakjuni,male,1952-11-13,Jógvan,https://upload.wikimedia.org/wikipedia/commons/5/57/Jogvan_a_Lakjuni_2.jpeg,,,,,,,,
alfred_olsen,Alfred Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1998,Alfred Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Alfred Olsen,Alfred Olsen,Alfred Olsen,Alfred Olsen,Alfred Olsen,"",male,1947-03-30,Alfred,,,,,,,,,
dan_reinert_petersen,Dan Reinert Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Eysturoy,1998,Dan Reinert Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,,,,,,,,,,,,,,,,,,
vilhelm_johannesen,Vilhelm Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,1998,Vilhelm Johannesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,,"",male,1942-08-04,Vilhelm,,,,,,,,,
heini_o._heinesen,Heini O. Heinesen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,1998,Heini O. Heinesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,,,,,,,,,,,,,,,,,,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1998,Anfinn Kallsberg,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,male,1947-11-19,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Anfinn_Kallsberg.jpg,/m/077f65,,,,,,,
jógvan_við_keldu,Jógvan við Keldu,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1998,Jógvan við Keldu,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1998%E2%80%932002,Jógvan við Keldu,Jógvan við Keldu,,"",Jógvan við Keldu,"",male,1944-01-30,Jógvan,,,,,,,,,
