id,name__en,name__sq,name__nl,name__de,name__fr,name,wikipedia__en,wikipedia__sq,gender,birth_date,given_name,original_wikiname,name__es,name__hu,name__szl,name__uk,name__ro,name__it,name__pl,name__zh,name__ru,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__it,wikipedia__pl,wikipedia__ro,wikipedia__ru,wikipedia__szl,wikipedia__uk,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__freebase,wikipedia__fr,name__hy,wikipedia__hy,image,name__bg,wikipedia__bg,wikipedia__da,name__vep,name__ckb,name__el,name__en_ca,name__en_gb,wikipedia__el,wikipedia__nl,wikipedia__sv,wikipedia__vep,identifier__ISNI,identifier__GND,identifier__IMDB,identifier__SUDOC,death_date,name__fi,name__tr,name__ka,name__hr,wikipedia__fi,wikipedia__hr,wikipedia__ka,wikipedia__tr,name__sh,wikipedia__sh,name__cs,wikipedia__cs,name__pt,name__oc,name__mk,name__io,wikipedia__es,wikipedia__io,wikipedia__mk,wikipedia__oc,wikipedia__pt,name__cy,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__eo,name__et,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__vec,name__vls,name__wa,name__be,name__ko,name__he,name__sr,name__pt_br,name__ar,name__ty,name__ja,name__id,name__fa,name__az,name__ie,name__la,name__th,name__mr,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__commons,wikipedia__et,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__mr,wikipedia__no,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__th,wikipedia__tl,wikipedia__ty,identifier__SBN_it,name__yo,name__lv,wikipedia__ast,wikipedia__bar,wikipedia__br,wikipedia__ca,wikipedia__cswikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__ga,wikipedia__lmo,wikipedia__lv,wikipedia__nn,wikipedia__sl,wikipedia__sqwikiquote,wikipedia__yo,identifier__Munzinger,name__hi,name__sr_el,name__sr_ec,name__pa,name__mg,name__be_tarask,name__ms,wikipedia__als,wikipedia__be_x_old,wikipedia__hi,wikipedia__itwikiquote,wikipedia__mg,wikipedia__ms,wikipedia__pa,identifier__ULAN,name__tl,identifier__TED,last_seen,website,twitter,name__vi,identifier__AlloCine,identifier__allmovie,identifier__PORT,identifier__kinopoisk,facebook,identifier__filmportal_de,identifier__PACE,wikipedia__hsb,name__hsb,wikipedia__fawikiquote,occupation,identifier__google_knowledge,wikipedia__li,identifier__snac,identifier__NNDB,name__ba,wikipedia__ba,wikipedia__myv,wikipedia__ml,name__ml,name__zh_hant,name__zh_cn,identifier__Britannica,wikipedia__tg,name__tg,identifier__NKC,identifier__NLP,wikipedia__mn,name__mn,family_name,identifier__GTAA,identifier__NTA,wikipedia__uz,identifier__ne_se,identifier__bigenc_ru,wikipedia__af,wikipedia__azb,name__myv,name__azb,name__uz,honorific_suffix,identifier__FAST
Q13040130,Ilir Gjoni,Ilir Gjoni,,,,Ilir Gjoni,Ilir Gjoni,Ilir Gjoni,male,,,Ilir Gjoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13041103,Kreshnik Çipi,Kreshnik Çipi,Kreshnik Çipi,Kreshnik Çipi,Kreshnik Çipi,Kreshnik Çipi,Kreshnik Çipi,Kreshnik Çipi,male,1958-07-05,Kreshnik,Kreshnik Çipi,,,,,,Kreshnik Çipi,,,,,,,,,Kreshnik Çipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kreshnik Çipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,,,,,,,,,,,,,Крeшник Чипи,Крeшник Чипи,,,,,,,,,,,,,,,,,
Q13043722,Olta Xhaçka,Olta Xhaçka,,Olta Xhaçka,Olta Xhaçka,Olta Xhaçka,Olta Xhaçka,Olta Xhaçka,female,1979-12-25,,Olta Xhacka,,Olta Xhaçka,,,,,Olta Xhaçka,,"Джачка, Ольта",,,,,Olta Xhaçka,,Olta Xhaçka,,"Джачка, Ольта",,,,,,,Olta Xhaçka,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Olta_Xhaçka_(2017).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olta Xhaçka,,,,,,,,,,,,,,,,,,,,,,,Olta Xhaçka,,,,,,,,,,,,,اولتا ژاچکا,,,,,,,,,Category:Olta Xhaçka,Olta Xhaçka,اولتا ژاچکا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13046645,Taulant Balla,Taulant Balla,,,,Taulant Balla,Taulant Balla,Taulant Balla,female,1977-08-12,,Taulant Balla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13046875,Tom Doshi,Tom Doshi,Tom Doshi,,Tom Doshi,Tom Doshi,Tom Doshi,Tom Doshi,male,1966-06-06,Tom,Tom Doshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Doshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,Doshi,,,,,,,,,,,,
Q13560214,Mesila Doda,Mesila Doda,Mesila Doda,Mesila Doda,Mesila Doda,Mesila Doda,Mesila Doda,Mesila Doda,female,1971-02-06,,Mesila Doda,Mesila Doda,Mesila Doda,,,,,,梅西拉·多達,Месила Дода,,,,,,,,,"Дода, Месила",,,梅西拉·多達,,,,Mesila Doda,Մելիսա Դոդա,Մելիսա Դոդա,,,,,,,,,,,,,,,,,,,,,მელისა დოდა,,,,მელისა დოდა,,,,,,,,,,Mesila Doda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesila Doda,,,,,,,,,مثيلا دودا,,,,,Mesila Doda,,,,,مثيلا دودا,Mesila Doda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ਮੇਸਿਲਾ ਡੋਡਾ,,,,,,,,,,ਮੇਸਿਲਾ ਡੋਡਾ,,,,,,,,,,,,,,,,,,politician,,,,,,,,മെസില ദോദ,മെസില ദോദ,,,,,,,,,,,,,,,,,,,,,,
Q14941831,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,male,1977-03-24,,Ditmir Bushati,,Ditmir Bushati,,Дітмір Бушаті,,Ditmir Bushati,Ditmir Bushati,,"Бушати, Дитмир",,,,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,Ditmir Bushati,,"Бушати, Дитмир",,Дітмір Бушаті,,16998365,,/m/0wrgcbx,Ditmir Bushati,Դիտմիր Բուշատի,Դիտմիր Բուշատի,https://upload.wikimedia.org/wikipedia/commons/0/06/Ditmir_Bushati_2014_(cropped).jpg,,,,,,Ντιτμίρ Μπουσάτι,Ditmir Bushati,Ditmir Bushati,Ντιτμίρ Μπουσάτι,,Ditmir Bushati,,0000 0000 4826 9392,,,,,,,,,,,,,,,,,Ditmir Bushati,,,,,,,,Ditmir Bushati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ditmir Bushati,,,,,,,,Ditmir Bushati,ديتمير بوشاتي,,ディトミル・ブシャティ,,,,,Ditmir Bushati,,,,,,Category:Ditmir Bushati,,,,,,,,,,Ditmir Bushati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ditmirbushati,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16218853,Jorida Tabaku,Jorida Tabaku,Jorida Tabaku,Jorida Tabaku,Jorida Tabaku,Jorida Tabaku,Jorida Tabaku,Jorida Tabaku,female,1979-07-01,,Jorida Tabaku,,Jorida Tabaku,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Jorida_Tabaku.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorida Tabaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.joridatabaku.al,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16234001,Mark Marku,,Mark Marku,Mark Marku,Mark Marku,Mark Marku,Mark Marku,,male,1991-12-06,Mark,Mark Marku,,,,,,,,,,,,,Mark Marku,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Marku,,,,,,,,,,,,,,,Mark Marku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Marku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16348942,,Arben Çuko,,,,Arben Çuko,,Arben Çuko,,,,Arben Çuko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16349461,,Astrit Veliaj,,,,Astrit Veliaj,,Astrit Veliaj,male,,,Astrit Veliaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16353492,Edi Paloka,Edi Paloka,Edi Paloka,Edi Paloka,Edi Paloka,Edi Paloka,Edi Paloka,Edi Paloka,male,1965-12-23,Edi,Edi Paloka,,Edi Paloka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edi Paloka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16354925,Fatmir Toçi,Fatmir Toçi,,Fatmir Toçi,Fatmir Toçi,Fatmir Toçi,Fatmir Toçi,Fatmir Toçi,male,1958-04-24,Fatmir,Fatmir Toçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatmir Toçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.parlament.al/deputet/fatmir-toci/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16354928,Fatmir Xhafaj,Fatmir Xhafaj,,,,Fatmir Xhafaj,Fatmir Xhafaj,Fatmir Xhafaj,male,1959-05-17,,Fatmir Xhafaj,,,,,,Fatmir Xhafaj,,,,,,,,,Fatmir Xhafaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16356768,,Gjovalin Kadeli,,,,Gjovalin Kadeli,,Gjovalin Kadeli,,,,Gjovalin Kadeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16357516,Halim Kosova,Halim Kosova,,,,Halim Kosova,,Halim Kosova,male,,Halim,Halim Kosova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16358728,Ismail Hoxha,Ismail Hoxha,Ismail Hoxha,Ismail Hoxha,Ismail Hoxha,Ismail Hoxha,Ismail Hoxha,Ismail Hoxha,male,,Ismail,Ismail Hoxha,,Ismail Hoxha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Hoxha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,Hoxha,,,,,,,,,,,,
Q16360768,Valentina Leskaj,Valentina Leskaj,Valentina Leskaj,Valentina Leskaj,Valentina Leskaj,Valentina Leskaj,Valentina Leskaj,Valentina Leskaj,female,1948-11-01,Valentina,Valentina Leskaj,,Valentina Leskaj,,,,,,,,,,,,Valentina Leskaj,,,,,,,,,,,Valentina Leskaj,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Valentina_Leskaj_-_November_2016_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valentina Leskaj,,,,,발렌티나 레스카이,,,,,,,,,,,,,,,,,Category:Valentina Leskaj,,,,,,,,,발렌티나 레스카이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16361781,,Liljana Elmazi,,,,Liljana Elmazi,,Liljana Elmazi,female,,,Liljana Elmazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16363070,Luan Rama,"Luan Rama,Paris",,Luan Rama,Luan Rama,Luan Rama,,Luan Rama,male,1966-03-09,,Luan Rama,,,,,,,Luan Rama,,,,,,,,,Luan Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luan Rama,,,,,,,Luan Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luan Rama,Luan Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
