id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__fr,name__es,name__en,name__de,name__el,name__pap,name__sh,name__lt,name__nl,name__nb,name__zh,name__hr,name__hu,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__nl,wikipedia__no,wikipedia__pap,wikipedia__pl,wikipedia__sh,wikipedia__zh,image,gender,occupation,birth_date,identifier__freebase,given_name,original_wikiname,name__oc,name__it,name__en_ca,name__en_gb,name__ca,wikipedia__ca,identifier__GTAA,death_date,identifier__VIAF,identifier__BPN,identifier__parlement,name__cy,wikipedia__enwikiquote,name__ja
Q22927627,,,,,,,,,,,Elmer Wilsoe,,,,,,Elmer Wilsoe,,,,,Elmer Wilsoe,,,Elmer Wilsoe,,,,,,Elmer Wilsoe,,,,,,,male,politician,1943-04-11,,,Elmer Wilsoe,,,,,,,,,,,,,,
Q22936830,,,,,,,,,,,,,,,,,Alex Rosaria,,,,,Alex Rosaria,,,,,,,,,Alex Rosaria,,,,,,,male,politician,1965-11-02,,Alex,Alex Rosaria,,,,,,,,,,,,,,
Q22936894,,,,,,,,,,,,,,,,,Humphrey Davelaar,,,,,Humphrey Davelaar,,,,,,,,,Humphrey Davelaar,,,,,,,male,politician,1958-02-26,,,Humphrey Davelaar,,,,,,,,,,,,,,
Q22942662,,,,,,,,,Hensley Koeiman,,Hensley Koeiman,,,,,,Hensley Koeiman,,,,,Hensley Koeiman,,,Hensley Koeiman,,Hensley Koeiman,,,,Hensley Koeiman,,,,,,,male,politician,1956-05-21,,,Hensley Koeiman,,,,,,,,,,,,,,
Q22955264,,,,,,,,,Monique Koeyers-Felida,,Monique Koeyers-Felida,,,,,,Monique Koeyers-Felida,,,,,Monique Koeyers-Felida,,,Monique Koeyers-Felida,,,,,,Monique Koeyers-Felida,,,,,,,female,politician,1967-04-23,,,Monique Koeyers-Felida,,,,,,,,2016-08-15,,,,,,
Q22955295,,,,,,,,,Jacinta Scoop-Constancia,,Jacinta Scoop-Constancia,,,,,,Jacinta Scoop-Constancia,,,,,Jacinta Scoop-Constancia,,,,,,,,,Jacinta Scoop-Constancia,,,,,,,female,politician,1973-04-01,,,,,,,,,,,,,,,,,
Q22955440,,,,,,,,,Amerigo Thodé,,Amerigo Thodé,,,,,,Amerigo Thodé,,,,,Amerigo Thodé,,,Amerigo Thodé,,,,,,Amerigo Thodé,,,,,,,male,politician,1950-07-27,,,Amerigo Thodé,,,,,,,,,,,,,,
Q23038619,,,,,,,,,Angela Altagracia de Lannoy-Willems,,Angela Altagracia de Lannoy-Willems,,,,,,Angela Altagracia de Lannoy-Willems,,,,,Angela Altagracia de Lannoy-Willems,,,,,,,,,Angela Altagracia de Lannoy-Willems,,,,,,,female,politician,1913,,Angela,Angela Altagracia de Lannoy-Willems,,,,,,,,1983,,,,,,
Q23038648,,,,,,,,,Marcolino Franco,,Marcolino Franco,,,,,,Marcolino Franco,,,,,Marcolino Franco,,,,,,,,,Marcolino Franco,,,,,,,male,politician,1959-10-04,,,Marcolino Franco,,,,,,,,,,,,,,
Q23038670,,,,,,,,,Omayra Leeflang,,Omayra Leeflang,,,,,,Omayra Leeflang,,,,,Omayra Leeflang,,,,,,,,,Omayra Leeflang,,,,,,,female,politician,1954-12-23,,,Omayra Leeflang,,,,,,,,,,,,,,
Q26251882,,,,,,,Eugene Rhuggenaath,,,,Eugene Rhuggenaath,,,Eugene Rhuggenaath,,,Eugene Rhuggenaath,Eugene Rhuggenaath,,,,Eugene Rhuggenaath,,,Eugene Rhuggenaath,,,,,,Eugene Rhuggenaath,Eugene Rhuggenaath,Eugene Rhuggenaath,Eugene Rhuggenaath,,,,male,politician,1970-02-04,,,Eugene Rhuggenaath,,,,,,,,,,,,,,
Q28057529,,,,,,,,,,,Eunice Eisden,,,,,,Eunice Eisden,,,,,Eunice Eisden,,,Eunice Eisden,,,,,,Eunice Eisden,,,,,,,female,politician,,,Eunice,Eunice Eisden,,,,,,,,,,,,,,
Q2889970,,,,,,,,,Stanley Brown,,Stanley Brown,,,,,,Stanley Brown,,,,,Stanley Brown,,,,,,,,,Stanley Brown,,,,,,,male,politician,1938-10-06,,Stanley,Stanley Brown,,,,,,,,,288168447,,,,,
Q29030093,,,,,,,,,,,Gilmar Pisas,,,,,,Gilmar Pisas,Gilmar Pisas,,,,Gilmar Pisas,,,Gilmar Pisas,,,,,,Gilmar Pisas,Gilmar Pisas,,,,,,male,,,,,Gilmar Pisas,,,,,,,,,,,,,,ジウマール・ピサス
Q29051342,,,,,,,,,,,Pedro Atacho,,,,,,Pedro Atacho,,,,,Pedro Atacho,,,Pedro Atacho,,,,,,,,,,,,,male,,,,,Pedro Atacho,,,,,,,,,,,,,,
Q29645196,,,,,,,,,,,Miro Amparo dos Santos,,,,,,Miro Amparo dos Santos,,,,,Miro Amparo dos Santos,,,,,,,,,Miro Amparo dos Santos,,,,,,,male,politician,1958-06-03,,Miro,Miro Amparo dos Santos,,,,,,,,,,,,,,
Q30093088,,,,,,,,,,,Eugène Cleopa,,,,,,Eugène Cleopa,,,,,Eugène Cleopa,,,,,,,,,,,,,,,,male,politician,,,,,,,,,,,,,,,,,,
Q30093089,,,,,,,,,,,Charles Cooper,,,,,,Charles Cooper,,,,,Charles Cooper,,,,,,,,,,,,,,,,male,politician,,,Charles,,,,,,,,,,,,,,,
Q30093091,,,,,,,,,,,Winifred Raveneau,,,,,,Winifred Raveneau,,,,,Winifred Raveneau,,,,,,,,,,,,,,,,female,politician,,,,,,,,,,,,,,,,,,
Q3091857,,蓋瑞特·肖特,,盖瑞特·肖特,,,Gerrit Schotte,,Gerrit Schotte,Gerrit Schotte,Gerrit Schotte,Gerrit Schotte,,Gerrit F. Schotte,,,Gerrit Schotte,Gerrit Schotte,,,Gerrit Schotte,Gerrit Schotte,,,Gerrit Schotte,Gerrit Schotte,Gerrit Schotte,,,,Gerrit Schotte,Gerrit Schotte,Gerrit F. Schotte,Gerrit Schotte,,,,male,politician,1974-09-09,/m/0dd9k9s,Gerrit,Gerrit Schotte,,,,,,,,,,,,,,
Q463431,埃米莉·德容-埃赫,埃米莉·德容-埃赫,埃米莉·德容-埃赫,埃米莉·德容-埃赫,埃米莉·德容-埃赫,埃米莉·德容-埃赫,Emily de Jongh-Elhage,에밀리 더용엘하허,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Έμιλι ντε Γιονγκ-Ελχάγκε,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,埃米莉·德容-埃赫,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Έμιλι ντε Γιονγκ-Ελχάγκε,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,에밀리 더용엘하허,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,Emily de Jongh-Elhage,埃米莉·德容-埃赫,https://upload.wikimedia.org/wikipedia/commons/1/19/Curaminister.jpg,female,politician,1946-12-07,/m/0brt0d,Emily,Emily de Jongh-Elhage,,,,,,,,,,,,,,
Q5709402,,,,,,,,,Helmin Wiels,,Helmin Wiels,Helmin Wiels,,,,,Helmin Wiels,Helmin Wiels,赫爾明·韋爾斯,,,Helmin Wiels,,,Helmin Wiels,,,,,,Helmin Wiels,Helmin Wiels,,,,,,male,politician,1958-12-09,,,Helmin Wiels,,,,,,,,2013-05-05,,,,Helmin Wiels,Helmin Wiels,
