id,name,party,party_id,email,facebook,twitter,image,term,source
167,Omayra V.E. Leeflang,Independiente / Independent,III,omayra.leeflang@parlamento.cw,www.facebook.com/omayra.leeflang ,"",http://www.parlamento.cw/images/members/167.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
175,Sherwin Leonora,Pueblo Soberano,PS,"","","",http://www.parlamento.cw/images/members/175.jpg/images/members_facebook_off.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
168,dr. Marilyn C. Moses,Partido pa Adelanto i Inovashon Soshal,PAIS,marilyn.moses@parlamento.cw,www.facebook.com/marilyn.moses.969,"",http://www.parlamento.cw/images/members/168.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
144,Gilmar Pisas,Movimento Futuro Kòrsou,MFK,gilmar.pisas@parlamento.cw,https://www.facebook.com/gilmar.pisas,"",http://www.parlamento.cw/images/members/144.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
174,Winifred Raveneau,Pueblo Soberano,PS,"","","",http://www.parlamento.cw/images/members/174.jpg/images/members_facebook_off.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
171,"Alex D. Rosaria, MBA",Partido pa Adelanto i Inovashon Soshal,PAIS,alex.rosaria@parlamento.cw,www.facebook.com/alex.d.rosaria ,"",http://www.parlamento.cw/images/members/171.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
170,Gerrit F. Schotte,Movimento Futuro Kòrsou,MFK,gerrit.schotte@parlamento.cw,www.facebook.com/schottegerrit ,"",http://www.parlamento.cw/images/members/170.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
169,Jacinta V.A. Scoop-Constancia,Movimento Futuro Kòrsou,MFK,jacinta.scoop-constancia@parlamento.cw,www.facebook.com/jacinta.constancia.9 ,"",http://www.parlamento.cw/images/members/169.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
154,drs. Glenn Sulvaran,Independiente / Independent,III,glenn.sulvaran@parlamento.cw,https://www.facebook.com/glenn.sulvaran,"",http://www.parlamento.cw/images/members/154.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
172,drs. Elmer R. Wilsoe,Pueblo Soberano,PS,elmer.wilsoe@parlamento.cw,"","",http://www.parlamento.cw/images/members/172.jpg/images/members_facebook_off.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
145,Amerigo Thodé,Movimento Futuro Kòrsou,MFK,amerigo.thode@parlamento.cw,https://www.facebook.com/profile.php?id=1744258795,"",http://www.parlamento.cw/images/members/145.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
