id,name__de,name__en,name__es,name__nl,name__fr,name__da,name__it,name__sv,name,wikipedia__commons,wikipedia__de,wikipedia__en,image,gender,occupation,birth_date,given_name,original_wikiname,name__pt,wikipedia__pt,name__ka,name__pl,name__ru,name__hu,wikipedia__es,wikipedia__fr,wikipedia__ka,wikipedia__pl,wikipedia__ru,identifier__freebase,name__cy,name__hy,wikipedia__hy,death_date,wikipedia__sv,identifier__VIAF,identifier__SUDOC,name__nb,name__nn,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SELIBR,identifier__PTBNP,identifier__NTA,identifier__FAST,name__ja,name__diq,wikipedia__it,wikipedia__ja,wikipedia__no,identifier__DBNL,name__id,name__sl,wikipedia__id,wikipedia__sl,name__zh,family_name,name__yo,name__uk,name__et,name__el,name__zh_hant,name__zh_cn,name__fa,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__uk,wikipedia__yo,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ast,name__vi,name__ko,wikipedia__ast,wikipedia__ko,wikipedia__simple,wikipedia__vi,name__lb,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__be,name__he,name__af,name__gl,name__sw,name__br,name__ar,name__sr_el,name__sr_ec,name__tr,name__fi,name__la,name__cs,name__eu,name__sr,name__ss,name__ca,name__sh,wikipedia__af,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__eu,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__la,wikipedia__lb,wikipedia__nl,wikipedia__ptwikiquote,wikipedia__sh,wikipedia__sr,wikipedia__ss,wikipedia__sw,wikipedia__tr,wikipedia__zh,identifier__Munzinger,identifier__GTAA,name__mg,wikipedia__mg,name__bg,wikipedia__bg,name__eo,name__vep,name__mr,wikipedia__eo,wikipedia__mr,wikipedia__vep,name__kg,wikipedia__kg,identifier__CERL,identifier__CSPAN,name__oc,identifier__google_knowledge,identifier__Britannica,name__ro,wikipedia__ro,identifier__CANTIC,identifier__britishmuseum,identifier__MusicBrainz,identifier__discogs,identifier__quora,name__ms,name__am,name__bcl,name__frp,name__io,name__az,name__hr,name__tg,name__lt,name__bn,name__sco,name__ml,name__lv,name__th,wikipedia__am,wikipedia__az,wikipedia__bcl,wikipedia__frp,wikipedia__hr,wikipedia__io,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__oc,wikipedia__sco,wikipedia__tg,wikipedia__th,identifier__NNDB,identifier__nyt_topic,identifier__snac,identifier__ne_se,wikipedia__uz,name__uz,name__sk,name__fo,name__kl,identifier__NUKAT,identifier__ioc_athlete,identifier__GNC,identifier__BIBSYS,wikipedia__mzn,wikipedia__tl,name__mzn,name__tl,wikipedia__bn,wikipedia__ht,name__ht,identifier__NKC,name__bar
Q1374575,Holden Roberto,Holden Alvaro Roberto,Holden Roberto,Holden Roberto,Holden Roberto,Holden Roberto,Holden Roberto,Holden Roberto,Holden Alvaro Roberto,Category:Holden Roberto,Holden Roberto,Holden Roberto,https://upload.wikimedia.org/wikipedia/commons/d/da/Holden_Roberto.jpg,male,politician,1923-01-12,,Holden Roberto,Holden Roberto,Holden Roberto,,Holden Roberto,"Роберто, Холден",Holden Roberto,Holden Roberto,Holden Roberto,,Holden Roberto,"Роберто, Холден",/m/05s2wg,Holden Roberto,,,2007-08-02,Holden Roberto,38922008,,Holden Roberto,Holden Roberto,0000 0000 4368 655X,,no00064263,,,,,,ホールデン・ロベルト,,Holden Roberto,ホールデン・ロベルト,Holden Roberto,,,Holden Roberto,,,,Roberto,,,,,奧爾登·羅貝托,奥尔登·罗贝托,هولدن روبرتو,,,هولدن روبرتو,,,,,,Holden Roberto,,,,,,,,,奥尔登·罗贝托,,,,,,,,,,,,,,,,,,Холден Роберто,,Holden Roberto,Holden Roberto,,,,,Holden Roberto,,,,,,,,,,Holden Roberto,,Holden Roberto,Холден Роберто,,,,,,146594,,,,,,,,,,,,,,,,,biography/Holden-Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1399054,Lopo do Nascimento,Lopo do Nascimento,Lopo do Nascimento,Lopo do Nascimento,Lopo do Nascimento,,,,Lopo do Nascimento,,Lopo do Nascimento,Lopo do Nascimento,https://upload.wikimedia.org/wikipedia/commons/1/1f/Lopo_do_Nascimento.png,male,politician,1942-06-10,Lopo,Lopo do Nascimento,Lopo do Nascimento,Lopo do Nascimento,,Lopo do Nascimento,"Ферейра ду Нашсименту, Лопу Фортунату",Lopo do Nascimento,Lopo do Nascimento,Lopo do Nascimento,,Lopo do Nascimento,"Ферейра ду Нашсименту, Лопу Фортунату",/m/0bm0jy,,,,,,73634257,,,,0000 0000 4748 1068,,no2007069433,,,,,,ロポ・ド・ナシメント,,,,,,Lopo do Nascimento,Lopo do Nascimento,Lopo do Nascimento,,,,Lopo do Nascimento,Лопу ду Нашсіменту,,,羅普·多·納西蒙托,罗普·多·纳西蒙托,,,,,Лопу ду Нашсіменту,Lopo do Nascimento,,,,Lopo do Nascimento,Lopo do Nascimento,,,,,,,,罗普·多·納西蒙托,,,,,,,,,,,,,,,,,,,,Lopo do Nascimento,Lopo do Nascimento,,,,,Lopo do Nascimento,,,,,,,,,,,,Lopo do Nascimento,,,,,,,135658,,,Лопу Фортунату Ферейра ду Нашсименту,Лопу Фортунату Ферейра ду Нашсименту,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1457599,George Chicoti,Georges Rebelo Chicoti,Georges Rebelo Chicoti,Georges Rebelo Chicoti,Georges Rebelo Chicoti,George Chicoti,George Chicoti,George Chicoti,Georges Rebelo Chicoti,Category:Georges Chicoti,George Chicoti,Georges Rebelo Chicoti,https://upload.wikimedia.org/wikipedia/commons/2/24/Angolan_Foreign_Minister_(6909347265)_cropped.jpg,male,diplomat,1955-06-16,Georges,Georges Rebelo Chicoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジョルジス・レベロ・シコティ,,,,,,,Georges Rebelo Chicoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georges Rebelo Chicoti,,,,,,Georges Rebelo Chicoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15152494,Bento Kangamba,Bento Kangamba,Bento Kangamba,Bento Kangamba,Bento Kangamba,,,,Bento Kangamba,,,Bento Kangamba,https://upload.wikimedia.org/wikipedia/commons/1/15/Bentokangamba.jpg,male,politician,1965-06-06,Bento,Bento Kangamba,Bento Kangamba,Bento Kangamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bento Kangamba,,,,,,,,,,,,,,,,,,,,Bento Kangamba,Bento Kangamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15179317,Mfulupinga Nlando Victor,Mfulupinga Nlando Victor,Mfulupinga Nlando Victor,,,,,,Mfulupinga Nlando Victor,,,Mfulupinga Nlando Victor,,male,politician,1944-12-15,,Mfulupinga Nlando Victor,Mfulupimga Nlando Victor,Mfulupimga Nlando Victor,,,,,,,,,,,,,,2004-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mfulupimga Nlando Victor,,,,,,Mfulupimga Nlando Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1527454,José Maria Botelho de Vasconcelos,José Maria Botelho de Vasconcelos,José Maria Botelho de Vasconcelos,José Maria Botelho de Vasconcelos,José Maria Botelho de Vasconcelos,,,,José Maria Botelho de Vasconcelos,,José Maria Botelho de Vasconcelos,José Maria Botelho de Vasconcelos,,male,politician,1950-03-24,José,José Maria Botelho de Vasconcelos,,,,,,José Maria Botelho de Vasconcelos,,José Maria Botelho de Vasconcelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Maria Botelho de Vasconcelos,,,若澤·馬里亞·博特略·德瓦斯康塞洛斯,,,,,,,,,,,,,,,,,,José Maria Botelho de Vasconcelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15361222,Paulo Lukamba,Paulo Lukamba,Paulo Lukamba,Paulo Lukamba,Paulo Lukamba,,,,Paulo Lukamba,,,Paulo Lukamba,,male,politician,1954-05-13,Paulo,Paulo Lukamba,Paulo Armindo Lukamba,,,,"Лукамба, Паулу",,,,,,"Лукамба, Паулу",,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Lukamba,,,,,,,,,,,,,,,,,,,,Paulo Armindo Lukamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Lukamba,,,,,,Paulo Lukamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16017443,Kambamba Kulaxingo,Kambamba Kulaxingo,Kambamba Kulaxingo,,,,,,Kambamba Kulaxingo,,,Kambamba Kulaxingo,,male,politician,1899,,Kambamba Kulaxingo,,,,,,,,,,,,,,,,2006-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kambamba Kulaxingo,,,,,,Kambamba Kulaxingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16190785,Armando Manuel,Armando Manuel,Armando Manuel,,Armando Manuel,,Armando Manuel,,Armando Manuel,Category:Armando Manuel,,Armando Manuel,https://upload.wikimedia.org/wikipedia/commons/5/5e/Armando_Manuel_at_Chatham_House_2016.jpg,male,politician,1972-03-24,Armando,Armando Manuel,Armando Manuel,Armando Manuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armando Manuel,,,,,,,,,,,,,,,,,,,,Armando Manuel,Armando Manuel,,,,,,,,,,,,,,,,,,أرماندو مانويل,,,,,,,,,,,,,أرماندو مانويل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,armandomanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16336949,Bornito de Sousa,Bornito de Sousa,Bornito de Sousa,,Bornito de Sousa,,Bornito de Sousa,,Bornito de Sousa,,,Bornito de Sousa,,male,politician,1953-07-23,,Bornito de Sousa,Bornito de Sousa,Bornito de Sousa,,,"Соуза, Борниту ди",,Bornito de Sousa,,,,"Соуза, Борниту ди",,,,,,,,,,,,,,,,,,,,,,,,,,Bornito de Sousa,,,伯爾尼托·德·索薩,,,,,Μπορνίτο ντε Σόουζα,,,بورنیتو د سوزا,Μπορνίτο ντε Σόουζα,,بورنیتو د سوزا,,,,Bornito de Sousa,Bornito de Sousa,Bornito de Sousa,Bornito de Sousa,,,,,,,,,,,,,,,Bornito de Sousa,,,,,,,,,,,,,Bornito de Sousa,,,,,,Bornito de Sousa,,,,,Bornito de Sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16337620,Joana Lina,Joana Lina,Joana Lina,,,,,,Joana Lina,,,,,female,politician,,Joana,Joana Lina,Joana Lina,Joana Lina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16497857,Bento Joaquim Sebastião Francisco Bento,Bento Joaquim Sebastião Francisco Bento,,,,,,,Bento Joaquim Sebastião Francisco Bento,,,,,male,politician,1958,Bento,Bento Joaquim Sebastião Francisco Bento,Bento Joaquim Sebastião Francisco Bento,Bento Joaquim Sebastião Francisco Bento,,,"Бенту, Бенту",,,,,,"Бенту, Бенту",,,,,,,,,,,,,,,,,,,,,,,,,,Bento Joaquim Sebastião Francisco Bento,,,,,,,,,,,,,,,,,,,,Bento Joaquim Sebastião Francisco Bento,Bento Joaquim Sebastião Francisco Bento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18276312,,José Carvalho da Rocha,,,José Carvalho da Rocha,,,,José Carvalho da Rocha,Category:José Carvalho da Rocha,,,"https://upload.wikimedia.org/wikipedia/commons/e/e3/José_Carvalho_da_Rocha,_7_October_2015.jpg",male,politician,1964-03-30,José,José Carvalho da Rocha,José Carvalho da Rocha,José Carvalho da Rocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20730292,David Mendes,David Mendes,David Mendes,David Mendes,David Mendes,,,,David Mendes,,David Mendes (Anwalt),David Mendes,,male,lawyer,1962-05-06,David,David Mendes,David Mendes,David Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Mendes,,,,,,,,,,,,,,,,,,,,David Mendes,David Mendes,,,,,,,,,,,,,,,,,,ديفيد مينديز,,,,,,,,,,David Mendes,,,ديفيد مينديز,,,David Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/11bw8dw9m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21140733,Luaty Beirão,Luaty Beirão,,Luaty Beirão,Luaty Beirão,,,,Luaty Beirão,Category:Luaty Beirão,Luaty Beirão,Luaty Beirão,"https://upload.wikimedia.org/wikipedia/commons/1/14/Activistas_Rosa_Conde,_Laurinda_Gouveia,_Luaty_Beirão_no_tribunal._Luanda,_Angola._Nov_16,_2015.jpg",male,musician,1981-11-19,,Luaty Beirão,Luaty Beirão,Luaty Beirão,,,Луати Бейрау,,,,,,"Бейрау, Луати",,,,,,,37146030510235861549,,,,,,n2018031937,,,1634718,,,,,,,,,,Luaty Beirão,,,,,,,,,,,,,,,,,,,,Luaty Beirão,Luaty Beirão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q264090,Fernando José de França Dias Van Dúnem,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,,,,Fernando José de França Dias Van-Dúnem,,Fernando José de França Dias Van Dúnem,Fernando José de França Dias Van-Dúnem,,male,diplomat,1952,Fernando José,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,,,"Ван-Дунем, Жозе",,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,,,"Ван-Дунем, Жозе",/m/05_6w8,,,,,,155344814,,,,0000 0001 0393 8510,,,,,,,,フェルナンド・ジョゼ・デ・フランサ・ディアス・ヴァン＝デュネム,,,フェルナンド・ジョゼ・デ・フランサ・ディアス・ヴァン＝デュネム,,,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,,德大寺公能,,Fernando José de França Dias Van-Dúnem,Жозе Ван-Дунем,,,費爾南多·何塞·德·法蘭克·迪亞斯·凡·杜嫩,费尔南多·何塞·德·法兰克·迪亚斯·凡·杜嫩,,,,,Жозе Ван-Дунем,Fernando José de França Dias Van-Dúnem,,,,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,,,,,,,,费尔南多·何塞·德·法兰克·迪亚斯·凡·杜嫩,,,,,,,,,,,,,,,,,,,,Fernando José de França Dias Van-Dúnem,Fernando José de França Dias Van-Dúnem,,,,,Fernando José de França Dias Van-Dúnem,,,,,,,,,,,,Fernando José de França Dias Van-Dúnem,,,,,,,,,,Фернанду Жузе ди Франса Диаш Ван-Дунем,Фернанду Жузе ди Франса Диаш Ван-Дунем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
