name,name__mn,party,wikiname,constituency,term,source,constituency_id
Borkhüüyamtaishiryn Nomtoibayar,Нямтайширын Номтойбаяр,Mongolian People's Party,,Dornod,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",dornod
Batsükhiin Narankhüü,Батсүхийн Наранхүү,Mongolian Democratic Party,,Dundgovi,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",dundgovi
Yadamsürengiin Sanjmyatav,Ядамсүрэнгийн Санжмятав,Mongolian Democratic Party,,Zavkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",zavkhan
Zagdkhüügiin Narantuya,Загдхүүгийн Нарантуя,Mongolian Democratic Party,,Zavkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",zavkhan
Yangugiin Sodbaatar,Янгугийн Содбаатар,Mongolian People's Party,,Övörkhangai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",Övörkhangai
Dulamdorjiin Togtokhsüren,Дуламдоржийн Тогтохсүрэн,Mongolian People's Party,,Övörkhangai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",Övörkhangai
Sodnomyn Chinzorig,Содномын Чинзориг,Mongolian People's Party,,Övörkhangai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",Övörkhangai
Namsrain Amarzayaa,Намсрайн Амарзаяа,Mongolian People's Party,,Ömnögovi,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",Ömnögovi
Luvsangiin Enkhbold,Лувсангийн Энхболд,Mongolian People's Party,,Ömnögovi,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",Ömnögovi
Chültemiin Ulaan,Чүлтэмийн Улаан,Mongolian People's Party,,Sükhbaatar,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",sükhbaatar
Navaan-Yundengiin Oyundari,Наваан-Юндэнгийн Оюндарь,Mongolian People's Party,Navaan-Yundengiin Oyundari,Selenge,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",selenge
Jargaltulgyn Erdenebat,Жаргалтулгын Эрдэнэбат,Mongolian People's Party,Jargaltulgyn Erdenebat,Selenge,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",selenge
Dondogdorjiin Erdenebat,Дондогдоржийн Эрдэнэбат,Mongolian Democratic Party,,Selenge,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",selenge
Miyeegombyn Enkhbold,Миеэгомбын Энхболд,Mongolian People's Party,Miyeegombyn Enkhbold,Töv,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",töv
Agvaansamdangiin Sükhbat,Агваансамдагийн Сүхбат,Mongolian People's Party,Agvaansamdangiin Sükhbat,Töv,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",töv
Nyamaagiin Enkhbold,Нямаагийн Энхболд,Mongolian People's Party,Nyamaagiin Enkhbold,Töv,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",töv
Battogtokhyn Choijilsüren,Баттогтохын Чойжилсүрэн,Mongolian People's Party,,Uvs,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",uvs
Namsrain Tserenbat,Намсрайн Цэрэнбат,Mongolian People's Party,,Uvs,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",uvs
Chimediin Khürelbaatar,Чимэдийн Хүрэлбаатар,Mongolian People's Party,,Uvs,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",uvs
Bökhchuluuny Pürevdorj,Бөхчулууны Пүрэвдорж,Mongolian Democratic Party,,Khovd,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khovd
Sandagiin Byambatsogt,Сандагийн Бямбацогт,Mongolian People's Party,,Khovd,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khovd
Otgoogiin Batnasan,Отгоогийн Батнасан,Mongolian People's Party,,Khovd,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khovd
Lkhagvyn Mönkhbaatar,Лхагвын Мөнхбаатар,Mongolian People's Party,,Khövsgöl,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khövsgöl
Tserenpiliin Davaasüren,Цэрэнпилийн Даваасүрэн,Mongolian People's Party,,Khövsgöl,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khövsgöl
Luvsantserengiin Enkh-Amgalan,Лувсанцэрэнгийн Энх-Амгалан,Mongolian People's Party,,Khövsgöl,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khövsgöl
Badmaanyambuugiin Bat-Erdene,Бадмаанямбуурийн Бат-Эрдэнэ,Mongolian People's Party,Badmaanyambuugiin Bat-Erdene,Khentii,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khentii
Luvsannamsarin Oyuun-Erdene,Лувсаннамсрайн Оюун-Эрдэнэ,Mongolian People's Party,,Khentii,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khentii
Dorjdugaryn Gantulga,Дорждугарын Гантулга,Mongolian People's Party,,Khentii,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",khentii
Baagaagiin Battömör,Баагаагийн Баттөмөр,Mongolian People's Party,,Darkhan-Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",darkhan-uul
Boldyn Javkhlan,Болдын Жавхлан,Mongolian People's Party,,Darkhan-Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",darkhan-uul
Damdiny Khayankhyarvaa,Дамдины Хаянхярваа,Mongolian People's Party,,Darkhan-Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",darkhan-uul
Otgonbilegiin Sodbileg,Отгонбилэгийн Содбилэг,Mongolian People's Party,,Orkhon,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",orkhon
Oktyabriin Baasankhüü,Октябрийн Баасанхүү,Mongolian People's Revolutionary Party,,Orkhon,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",orkhon
Dorjdambyn Damba-Ochir,Дорждамбын Дамба-Очир,Mongolian People's Party,,Orkhon,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",orkhon
Dulamsürengiin Oyuunkhorol,Дүламсүрэнгийн Оюунхорол,Mongolian People's Party,,Ulaanbaatar — Bayanzürkh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayanzürkh
Jadambyn Enkhbayar,Жадамбын Энхбаяр,Mongolian People's Party,,Ulaanbaatar — Bayanzürkh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayanzürkh
Batsükhiin Saranchimeg,Батсүхийн Саранчимэг,Mongolian People's Party,,Ulaanbaatar — Bayanzürkh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayanzürkh
Batjargalyn Batzorig,Батжаргалын Батзориг,Mongolian People's Party,,Ulaanbaatar — Bayanzürkh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayanzürkh
Jalbasürengiin Batzandan,Жалбасүрэнгийн Батзандан,Mongolian Democratic Party,,Ulaanbaatar — Bayanzürkh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayanzürkh
Samandyn Javkhlan,Самандын Жавхлан,Independent,,Ulaanbaatar — Bayanzürkh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayanzürkh
Davaajantsangiin Sarangerel,Даваажанцангийн Сарангэрэл,Mongolian People's Party,,Ulaanbaatar — Bagakhangai•Khan Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bagakhangai•khan_uul
Tsendiin Nyamdorj,Цэндийн Нямдорж,Mongolian People's Party,Tsendiin Nyamdorj,Ulaanbaatar — Bagakhangai•Khan Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bagakhangai•khan_uul
Luvsanvandangiin Bold,Лувсанвандангийн Болд,Mongolian Democratic Party,,Ulaanbaatar — Bagakhangai•Khan Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bagakhangai•khan_uul
Byambasürengiin Enkh-Amgalan,Бямбасүрэнгийн Энх-Амгалан,Mongolian People's Party,,Ulaanbaatar — Bagakhangai•Khan Uul,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bagakhangai•khan_uul
Damdiny Tsogtbaatar,Дамдины Цогтбаатар,Mongolian People's Party,,Ulaanbaatar — Baganuur•Sükhbaatar,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_baganuur•sükhbaatar
Tsendiin Mönkh-Orgil,Цэндийн Мөнх-Оргил,Mongolian People's Party,,Ulaanbaatar — Baganuur•Sükhbaatar,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_baganuur•sükhbaatar
Sükhbaataryn Batbold,Сүхбаатарын Батболд,Mongolian People's Party,Sükhbaataryn Batbold,Ulaanbaatar — Baganuur•Sükhbaatar,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_baganuur•sükhbaatar
Tsedenbalyn Tsogzolmaa,Цэдэнбалын Цогзолмаа,Mongolian People's Party,,Ulaanbaatar — Baganuur•Sükhbaatar,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_baganuur•sükhbaatar
Tömörbaataryn Ayuursaikhan,Төмөрбаатарын Аюурсайхан,Mongolian People's Party,,Ulaanbaatar — Chingeltei•Nalaikh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_chingeltei•nalaikh
Mönkhöögiin Oyuunchimeg,Мөнхөөгийн Оюунчимэг,Mongolian People's Party,,Ulaanbaatar — Chingeltei•Nalaikh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_chingeltei•nalaikh
Ölziisaikhany Enkhtüvshin,Өлзийсайханы Энхтүвшин,Mongolian People's Party,,Ulaanbaatar — Chingeltei•Nalaikh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_chingeltei•nalaikh
Davaagiin Ganbold,Даваагийн Ганболд,Mongolian People's Party,,Ulaanbaatar — Chingeltei•Nalaikh,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_chingeltei•nalaikh
Agvaanluvsangiin Undraa,Агваанлувсангийн Ундраа,Mongolian People's Party,,Ulaanbaatar — Bayangol,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayangol
Jambalyn Ganbaatar,Жамбалын Ганбаатар,Mongolian People's Party,,Ulaanbaatar — Bayangol,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayangol
Sodnomzunduin Erdene,Содномзундуйн Эрдэнэ,Mongolian Democratic Party,,Ulaanbaatar — Bayangol,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayangol
Danzangiin Lündeejantsan,Данзангийн Лүндээжанцан,Mongolian People's Party,,Ulaanbaatar — Bayangol,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_bayangol
Tsedengiin Garamjav,Цэдэнгийн Гарамжав,Mongolian People's Party,,Ulaanbaatar — Songino Khairkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_songino_khairkhan
Nyam-Osoryn Uchral,Ням-Осорын Учрал,Mongolian People's Party,,Ulaanbaatar — Songino Khairkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_songino_khairkhan
Dolgorsürengiin Sumyaabazar,Долгорсүрэнгийн Сумъяабазар,Mongolian People's Party,Dolgorsürengiin Sumyaabazar,Ulaanbaatar — Songino Khairkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_songino_khairkhan
Dendeviin Terbishdagva,Дэндэвийн Тэрбишдагва,Mongolian People's Party,,Ulaanbaatar — Songino Khairkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_songino_khairkhan
Batbayaryn Undarmaa,Батбаярын Ундармаа,Mongolian People's Party,,Ulaanbaatar — Songino Khairkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_songino_khairkhan
Khishgeegiin Nyambaatar,Хишгээгийн Нямбаатар,Mongolian People's Party,,Ulaanbaatar — Songino Khairkhan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",ulaanbaatar_—_songino_khairkhan
Nyamjavyn Batbayar,Нямжавын Батбаяр,Democratic Party,Nyamjavyn Batbayar,Arkhangai,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",arkhangai
Bayarbaataryn Bolor,Баярбаатарын Болор,Democratic Party,,Arkhangai,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",arkhangai
Almalikyn Tleikhan,Алмаликын Тлейхан,Mongolian People's Party,,Bayan-Ölgii,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",bayan-Ölgii
Agilapyn Bakei,Агипарын Бакей,Democratic Party,,Bayan-Ölgii,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",bayan-Ölgii
Khaltmaagiin Battulga,Халтмаагийн Баттулга,Democratic Party,,Bayankhongor,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",bayankhongor
Dashdondogiin Ganbat,Дашдондогийн Ганбат,Democratic Party,,Bayankhongor,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",bayankhongor
Yondongiin Otgonbayar,Ёндонгийн Отгонбаяр,Mongolian People's Party,,Bulgan,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",bulgan
Tsedeviin Dashdorj,Цэдэвийн Дашдорж,Mongolian People's Party,,Govi-Altai,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",govi-altai
Jamyansürengiin Batsuuri,Жамъянсүрэнгийн Батсуурь,Mongolian People's Party,,Govisümber•Dornogovi,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",govisümber•dornogovi
Khayangaagiin Bolorchuluun,Хаянгаагийн Болорчулуун,Independent,,Dornod,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",dornod
Nyamtaishirgiin Nomtoibayar,Нямтайширийн Номтойбаяр,Mongolian People's Party,,Dornod,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",dornod
Batsükhiin Narankhüü,Батсүхийн Наранхүү,Democratic Party,,Dundgovi,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",dundgovi
Yadamsürengiin Sanjmyatav,Ядамсүрэнгийн Санжмятав,Democratic Party,,Zavkhan,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",zavkhan
Dulamsürengiin Oyuunkhorol,Дуламсүрэнгийн Оюунхорол,Mongolian People's Party,,Zavkhan,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",zavkhan
Gavaagiin Batkhüü,Гаваагийн Батхүү,Democratic Party,,Övörkhangai,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",Övörkhangai
Dashzevegiin Zorigt,Дашзэвэгийн Зоригт,Democratic Party,,Övörkhangai,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",Övörkhangai
Dashdembereliin Bat-Erdene,Дашдэмбэрэлийн Бат-Эрдэнэ,Democratic Party,,Ömnögovi,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",Ömnögovi
Mönkhchuluuny Zorigt,Мөнхчулууны Зоригт,Democratic Party,Mönkhchuluuny Zorigt,Sükhbaatar,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",sükhbaatar
Sangajavyn Bayarzsogt,Сангажавын Баярцогт,Democratic Party,,Selenge,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",selenge
Jargaltulgyn Erdenebat,Жаргалтулгын Эрдэнэбат,Mongolian People's Party,Jargaltulgyn Erdenebat,Selenge,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",selenge
Miyeegombyn Enkhbold,Миеэгомбо Энхболд,Mongolian People's Party,Miyeegombyn Enkhbold,Töv,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",töv
Sükhbaataryn Batbold,Сүхбаатарын Батболд,Mongolian People's Party,Sükhbaataryn Batbold,Töv,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",töv
Chimediin Khürelbaatar,Чимэдийн Хүрэлбаатар,Mongolian People's Party,,Uvs,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",uvs
Battogtokhyn Choijilsüren,Баттогтохын Чойжилсүрэн,Mongolian People's Party,,Uvs,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",uvs
Sandagiin Byambatsogt,Сандагийн Бямбацогт,Mongolian People's Party,,Khovd,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",khovd
Dogsomyn Battsogt,Догсомын Батцогт,Justice Coalition,,Khovd,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",khovd
Luvsantserengiin Enkh-Amgalan,Лувсанцэрэнгийн Энх-Амгалан,Mongolian People's Party,,Khövsgöl,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",khövsgöl
Tserenpiliin Davaasüren,Цэрэнпилийн Даваасүрэн,Independent,,Khövsgöl,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",khövsgöl
Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Mongolian People's Party,Badmaanyambuugiin Bat-Erdene,Khentii,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",khentii
Batkhüügiin Garamgaibaatar,Батхүүгийн Гарамгайбаатар,Democratic Party,,Khentii,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",khentii
Sainkhüügiin Ganbaatar,Сайнхүүгийн Ганбаатар,Independent,,Darkhan-Uul,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",darkhan-uul
Damdingiin Khayankhyarvaa,Дамдингийн Хаянхярваа,Mongolian People's Party,,Darkhan-Uul,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",darkhan-uul
Otgonbilegiin Sodbileg,Отгонбилэгийн Содбилэг,Mongolian People's Party,,Orkhon,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",orkhon
Logiin Tsog,Логийн Цог,Justice Coalition,,Orkhon,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",orkhon
Tsedevdambyn Oyuungerel,Цэдэвдамбын Оюунгэрэл,Democratic Party,,Ulaanbaatar — Baganuur•Bagakhangai•Khan-Uul,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_baganuur•bagakhangai•khan-uul
Luvsanvandangiin Bold,Лувсанвандангийн Болд,Democratic Party,,Ulaanbaatar — Baganuur•Bagakhangai•Khan-Uul,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_baganuur•bagakhangai•khan-uul
Jalbasürengiin Batzandan,Жалбасүрэнгийн Батзандан,Democratic Party,,Ulaanbaatar — Bayanzürkh•Nalaikh,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_bayanzürkh•nalaikh
Davaajavyn Gankhuyag,Даваажавын Ганхуяг,Democratic Party,,Ulaanbaatar — Bayanzürkh•Nalaikh,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_bayanzürkh•nalaikh
Dashjamtsyn Arvin,Дашжамцын Арвин,Democratic Party,,Ulaanbaatar — Bayanzürkh•Nalaikh,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_bayanzürkh•nalaikh
Luvsannyamyn Gantömör,Лувсаннямын Гантөмөр,Democratic Party,,Ulaanbaatar — Sükhbaatar,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_sükhbaatar
Rinchinnyamyn Amarjargal,Ринчиннямын Амаржаргал,Democratic Party,Rinchinnyamyn Amarjargal,Ulaanbaatar — Sükhbaatar,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_sükhbaatar
Sodnomzunduin Erdene,Содномзундуйн Эрдэнэ,Democratic Party,,Ulaanbaatar — Bayangol,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_bayangol
