id,name__en,name__it,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__nl,name__es,name__fi,name,wikipedia__en,gender,occupation,birth_date,original_wikiname,name__hu,given_name,name__lb,death_date,image,family_name,name__ru,name__ca,name__cy,name__zh,wikipedia__de,wikipedia__fr,wikipedia__ru,name__bs,name__el,name__en_ca,name__en_gb,name__pl,name__zh_hant,name__zh_cn,wikipedia__bs,wikipedia__el,wikipedia__pl,wikipedia__simple,identifier__freebase,identifier__UScongress,identifier__NNDB,identifier__ballotpedia,twitter,facebook,email,linkedin,name__ar,name__pt,name__pt_br,name__cs,name__ro,name__rm,name__tr,name__ja,wikipedia__commons,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__wikitree,name__sl
Q28868262,"Novelle E. Francis, Jr.",,,,,,,,"Novelle E. Francis, Jr.",,,"Novelle E. Francis, Jr.",,male,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29064118,Brian A. Smith,A. Smith,Brian A. Smith,,,,,Brian Smith,Brian A. Smith,,,Brian A. Smith,,male,politician,1965-08-05,,,Brian,,,,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,برايان سميث,,,,,,,,,293140940,173773389,n2004123166,,Brian A. Smith
Q29067764,Kurt A. Vialet,,Kurt A. Vialet,,,,,Kurt Vialet,Kurt A. Vialet,,,Kurt A. Vialet,,male,politician,"",,,Kurt,,,,Vialet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurt A. Vialet
Q29068771,Sammuel Sanes,,Sammuel Sanes,,,,,Sammuel Sanes,Sammuel Sanes,,,Sammuel Sanes,,male,politician,1964-01-10,,,Sammuel,,,,Sanes,,,,,,,,,,,,,,,,,,,,,,,SammuelSanes,senatorsanes,mailto:sammuelsanes@yahoo.com,https://www.linkedin.com/in/sammuel-sanes-2927054/,,,,,,,,,,,,,,Sammuel Sanes
Q3038753,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,Juan Francisco Luis,male,politician,1940-06-10,Juan Francisco Luis,Juan Francisco Luis,Juan,,2011-06-04,,,"Луис, Хуан Франко",Juan Francisco Luis,Juan Francisco Luis,胡安·弗朗西斯科·路易斯,Juan Francisco Luis,Juan Francisco Luis,"Луис, Хуан Франко",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Francisco Luis
Q4683251,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,Adlah Donastorg Jr.,male,politician,1961-12-30,Adlah Donastorg Jr.,,,,,,,,,,,,,,,,,,,,,,,,,/m/0crfqyh,,,,,,,,,,,,,,,,,,,,,Adlah Donastorg Jr.
Q5262040,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,Derek Hodge,,Derek Hodge,Derek Hodge,male,lawyer,1941-10-05,Derek Hodge,,Derek,,2011-05-31,,,,Derek Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derek Hodge
Q5512335,G. Luz A. James,G. Luz A. James,G. Luz A. James,,,,,G. Luz A. James,G. Luz A. James,G. Luz A. James,G. Luz A. James,G. Luz A. James,G. Luz A. James,male,lawyer,1926,G. Luz A. James,,G.,,2006,,James,,G. Luz A. James,,,,,,,,,,,,,,,,,,,,,,,,,جي. جيمس,,,,,,,,,,,,,G. Luz A. James
Q5550068,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,Gerard Luz James,male,politician,1953-03-18,Gerard Luz James,,Gerard,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Gerard_Luz_James.jpg,James,,,,,,,,,,,,,,,,,,,/m/0crgzg6,,,,,,,,جيرارد جيمس,,,,,,,,,,,,,Gerard Luz James
Q6140455,"James O'Bryan, Jr.","James O'Bryan, Jr.","James O'Bryan, Jr.",,,,,James O'Bryan,"James O'Bryan, Jr.","James O'Bryan, Jr.","James O'Bryan, Jr.","James O'Bryan, Jr.",James O'Bryan Jr.,male,politician,1956-06-07,James O'Bryan Jr.,"James O'Bryan, Jr.",James,,,,,,,,,,,,,,,,,,,,,,,/m/0czb751,,,,,,,,,,,,,,,,,,,,,James O'Bryan mlajši
Q6390443,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,male,politician,1955-11-02,Kenneth Mapp,Kenneth Mapp,Kenneth,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Kenneth_Ezra_Mapp.png,Mapp,Кеннет Мэпп,Kenneth Mapp,,肯尼斯·馬普,Kenneth Mapp,Kenneth Mapp,,Kenneth Mapp,Κένεθ Μαπ,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,肯尼斯·馬普,肯尼斯·马普,Kenneth Mapp,Κένεθ Μαπ,Kenneth Mapp,Kenneth Mapp,/m/0cz7_mc,,,Kenneth_Mapp,,,,,,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,Kenneth Mapp,ケネス・マップ,,,,,,Kenneth Mapp
Q7915666,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,Vargrave Richards,male,politician,1950-09-16,Vargrave Richards,,,,,,,,,,,,,,,,,,,,,,,,,/m/0cz9lc4,,,,,,,,,,,,,,,,,,,,,Vargrave Richards
