id,name,wikipedia__pl,term,group,source,area,area_id,start_date,wikidata,end_date,replaced,name__pl,name__en,gender,birth_date,given_name,image,identifier__viaf,identifier__freebase,identifier__lcauth,identifier__europarlmep,identifier__isni,identifier__bnf,website,identifier__gnd,identifier__sudoc,identifier__nta,identifier__imdb,facebook,family_name,identifier__muzinger,death_date,twitter,identifier__gtaa,identifier__parlement,identifier__ndl,identifier__nla,identifier__nkc,identifier__nukat,identifier__nlp,identifier__ptbnp,identifier__nli,identifier__bne,identifier__bav,identifier__fifa,identifier__catholic_hierarchy
jerzy-borowczak,Jerzy Borowczak,Jerzy Borowczak,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 25,25-7,,Q11724399,,,Jerzy Borowczak,,male,1957-11-15,Jerzy,https://upload.wikimedia.org/wikipedia/commons/2/25/Jerzy_Borowczak_(2013).JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krzysztof-brejza,Krzysztof Brejza,Krzysztof Brejza,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo kujawsko-pomorskie 4,4-7,,Q6440112,,,Krzysztof Brejza,Krzysztof Brejza,male,1983-05-16,Krzysztof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacek-brzezinka,Jacek Brzezinka,Jacek Brzezinka,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo śląskie 29,29-7,,Q11715221,,,Jacek Brzezinka,,male,,Jacek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beata-bublewicz,Beata Bublewicz,Beata Bublewicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo warmińsko-mazurskie 35,35-7,,Q4877005,,,Beata Bublewicz,Beata Bublewicz,female,1975-02-26,Beata,,166453248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borys-budka,Borys Budka,Borys Budka,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo śląskie 29,29-7,,Q11688652,,,Borys Budka,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerzy-budnik,Jerzy Budnik,Jerzy Budnik,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 26,26-7,,Q163463,,,Jerzy Budnik,Jerzy Budnik,male,1951-05-30,Jerzy,,,/m/0f6q01,,,,,,,,,,,,,,,,,,,,,,,,,,,
bożenna-bukiewicz,Bożenna Bukiewicz,Bożenna Bukiewicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo lubuskie 8,8-7,,Q273330,,,Bożenna Bukiewicz,Bożenna Bukiewicz,female,1952-02-14,Bożenna,,,/m/0f6q1s,,,,,,,,,,,,,,,,,,,,,,,,,,,
renata-butryn,Renata Butryn,Renata Butryn,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo podkarpackie 23,23-7,,Q9306324,,,Renata Butryn,Renata Butryn,female,,Renata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jarosław-charłampowicz,Jarosław Charłampowicz,Jarosław Charłampowicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo dolnośląskie 3,3-7,,Q16562186,,,Jarosław Charłampowicz,,male,1969-12-19,Jarosław,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stanisław-chmielewski,Stanisław Chmielewski,Stanisław Chmielewski,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 38,38-7,2014-06-24,Q327647,,,Stanisław Chmielewski,Stanisław Chmielewski,male,1958-10-23,Stanisław,,313026400,/m/0f6q74,,,,,,,,,,,,,,,,,,,,,,,,,,,
janusz-cichoń,Janusz Cichoń,Janusz Cichoń,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo warmińsko-mazurskie 35,35-7,,Q11720108,,,Janusz Cichoń,,male,,Janusz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grażyna-ciemniak,Grażyna Ciemniak,Grażyna Ciemniak,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo kujawsko-pomorskie 4,4-7,,Q5598521,,,Grażyna Ciemniak,Grażyna Ciemniak,female,1948-06-20,Grażyna,,,/m/0f6qb_,,23759,,,,,,,,,,,,,,,,,,,,,,,,,
piotr-cieśliński-(polityk),Piotr Cieśliński,Piotr Cieśliński (polityk),7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo warmińsko-mazurskie 34,34-7,,Q11817385,,,Piotr Cieśliński,,male,,Piotr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marian-cycoń,Marian Cycoń,Marian Cycoń,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 14,14-7,,Q11769337,,,Marian Cycoń,Marian Cycoń,male,1940-07-17,Marian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbara-czaplicka,Barbara Czaplicka,Barbara Czaplicka,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 20,20-7,,Q9165325,,,Barbara Czaplicka,,female,1948-11-22,Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesław-czechyra,Czesław Czechyra,Czesław Czechyra,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 17,17-7,,Q1149606,,,Czesław Czechyra,Czesław Czechyra,male,1954-01-12,Czesław,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zofia-czernow,Zofia Czernow,Zofia Czernow,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo dolnośląskie 1,1-7,,Q9391730,,,Zofia Czernow,,female,,Zofia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-czerwiński,Andrzej Czerwiński,Andrzej Czerwiński,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 14,14-7,,Q328635,,,Andrzej Czerwiński,Andrzej Czerwiński,male,1954-11-08,Andrzej,https://upload.wikimedia.org/wikipedia/commons/9/9c/Andrzej_Czerwiński_Sejm_2014.JPG,,/m/0f6qm0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewa-czeszejko-sochacka,Ewa Czeszejko-Sochacka,Ewa Czeszejko-Sochacka,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 19,19-7,2014-11-07,Q19690157,,,Ewa Czeszejko-Sochacka,Ewa Czeszejko-Sochacka,female,,Ewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alicja-dąbrowska-(polityk),Alicja Dąbrowska,Alicja Dąbrowska (polityk),7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 19,19-7,,Q9148143,,,Alicja Dąbrowska (polityk),Alicja Dąbrowska,female,1956-06-28,Alicja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewa-drozd,Ewa Drozd,Ewa Drozd,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo dolnośląskie 1,1-7,,Q9256649,,,Ewa Drozd,,female,,Ewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artur-dunin,Artur Dunin,Artur Dunin,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo łódzkie 11,11-7,,Q9160600,,,Artur Dunin,,male,,Artur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenon-durka,Zenon Durka,Zenon Durka,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 20,20-7,,Q9390086,,,Zenon Durka,,male,,Zenon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
janusz-dzięcioł,Janusz Dzięcioł,Janusz Dzięcioł,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo kujawsko-pomorskie 5,5-7,,Q6156019,,,Janusz Dzięcioł,Janusz Dzięcioł,male,1953-12-11,Janusz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waldy-dzikowski,Waldy Dzikowski,Waldy Dzikowski,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 39,39-7,,Q7961661,,,Waldy Dzikowski,Waldy Dzikowski,male,1959-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joanna-fabisiak,Joanna Fabisiak,Joanna Fabisiak,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 19,19-7,,Q256891,,,Joanna Fabisiak,Joanna Fabisiak,female,1950-07-07,Joanna,,,/m/0f6qzw,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerzy-fedorowicz,Jerzy Fedorowicz,Jerzy Fedorowicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 13,13-7,,Q6185386,,,Jerzy Fedorowicz,Jerzy Fedorowicz,male,1947-10-29,Jerzy,https://upload.wikimedia.org/wikipedia/commons/7/71/Jerzy_Fedorowicz_Sejm_2014_011.JPG,100356433,/m/0gwrm4,,,0000 0000 7852 2993,16135351q,,,,,,,,,,,,,,,,,,,,,,,
arkady-radosław-fiedler,Arkady Fiedler,Arkady Radosław Fiedler,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 39,39-7,,Q9159814,,,Arkady Radosław Fiedler,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krzysztof-gadowski,Krzysztof Gadowski,Krzysztof Gadowski,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo śląskie 30,30-7,,Q6440131,,,Krzysztof Gadowski,Krzysztof Gadowski,male,1962-08-14,Krzysztof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-gałażewski,Andrzej Gałażewski,Andrzej Gałażewski,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo śląskie 29,29-7,,Q4759601,,,Andrzej Gałażewski,Andrzej Gałażewski,male,1944-04-20,Andrzej,,,,,23783,,,,,,,,,,,,,,,,,,,,,,,,,
elżbieta-gapińska,Elżbieta Gapińska,Elżbieta Gapińska,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 16,16-7,,Q9253123,,,Elżbieta Gapińska,,female,,Elżbieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stanisław-gawłowski,Stanisław Gawłowski,Stanisław Gawłowski,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo zachodniopomorskie 40,40-7,,Q143520,,,Stanisław Gawłowski,Stanisław Gawłowski,male,1968-11-27,Stanisław,,166510116,/m/0f6r7x,,,,,,,,,,,,,,,,,,,,,,,,,,,
lidia-gądek,Lidia Gądek,Lidia Gądek,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 13,13-7,,Q11756552,,,Lidia Gądek,,female,,Lidia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magdalena-gąsior-marek,Magdalena Gąsior-Marek,Magdalena Gąsior-Marek,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo lubelskie 6,6-7,,Q11766033,,,Magdalena Gąsior-Marek,Magdalena Gąsior-Marek,female,,Magdalena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elżbieta-gelert,Elżbieta Gelert,Elżbieta Gelert,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo warmińsko-mazurskie 34,34-7,,Q5368714,,,Elżbieta Gelert,Elżbieta Gelert,female,1955-04-22,Elżbieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artur-gierada,Artur Gierada,Artur Gierada,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo świętokrzyskie 33,33-7,,Q9160607,,,Artur Gierada,,male,,Artur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesław-gluza,Czesław Gluza,Czesław Gluza,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo śląskie 27,27-7,,Q9199130,,,Czesław Gluza,,male,1956-06-11,Czesław,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomasz-głogowski,Tomasz Głogowski,Tomasz Głogowski,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo śląskie 29,29-7,,Q327512,,,Tomasz Głogowski,Tomasz Głogowski,male,1974-12-30,Tomasz,https://upload.wikimedia.org/wikipedia/commons/7/74/Poseł_Tomasz_Głogowski_oraz_prof._Jerzy_Buzek_w_Tarnowskich_Górach_(6124290145).jpg,,/m/0f6rbc,,,,,,,,,,,,,,,,,,,,,,,,,,,
cezary-grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo łódzkie 9,9-7,,Q1058052,,,Cezary Grabarczyk,Cezary Grabarczyk,male,1960-04-26,Cezary,https://upload.wikimedia.org/wikipedia/commons/a/a3/Cezary_Grabarczyk_(3).JPG,,/m/0f6rjq,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariusz-grad,Mariusz Grad,Mariusz Grad,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo lubelskie 7,7-7,,Q11770098,,,Mariusz Grad,,male,1973-05-18,Mariusz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rafał-grupiński,Rafał Grupiński,Rafał Grupiński,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 39,39-7,,Q602861,,,Rafał Grupiński,Rafał Grupiński,male,1952-09-26,Rafał,,64423836,/m/0f6sb8,,,0000 0000 5337 9780,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-gut-mostowy,Andrzej Gut-Mostowy,Andrzej Gut-Mostowy,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 14,14-7,,Q186343,,,Andrzej Gut-Mostowy,Andrzej Gut-Mostowy,male,1960-10-30,Andrzej,,,/m/0f6sgg,,,,,,,,,,,,,,,,,,,,,,,,,,,
iwona-guzowska,Iwona Guzowska,Iwona Guzowska,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 25,25-7,,Q1676075,,,Iwona Guzowska,Iwona Guzowska,female,1974-02-07,Iwona,https://upload.wikimedia.org/wikipedia/commons/8/84/Iwona_Guzowska.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-halicki,Andrzej Halicki,Andrzej Halicki,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 20,20-7,,Q9152187,,,Andrzej Halicki,,male,,Andrzej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katarzyna-hall,Katarzyna Hall,Katarzyna Hall,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 25,25-7,,Q144734,,,Katarzyna Hall,Katarzyna Hall,female,1957-03-15,Katarzyna,https://upload.wikimedia.org/wikipedia/commons/e/ef/Katarzyna_Hall.jpg,167178867,/m/03d519v,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnieszka-hanajczyk,Agnieszka Hanajczyk,Agnieszka Hanajczyk,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo łódzkie 11,11-7,,Q394886,,,Agnieszka Hanajczyk,Agnieszka Hanajczyk,female,1963-01-12,Agnieszka,https://upload.wikimedia.org/wikipedia/commons/b/b5/Sejm_7.11.2012_08.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bożena-henczyca,Bożena Henczyca,Bożena Henczyca,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 36,36-7,,Q19690176,,,Bożena Henczyca,Bożena Henczyca,,,Bożena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marek-hok,Marek Hok,Marek Hok,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo zachodniopomorskie 40,40-7,,Q11768165,,,Marek Hok,,male,,Marek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teresa-hoppe,Teresa Hoppe,Teresa Hoppe,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 26,26-7,,Q9357298,,,Teresa Hoppe,,female,1947-09-13,Teresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stanisław-huskowski-(polityk),Stanisław Huskowski,Stanisław Huskowski (polityk),7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo dolnośląskie 3,3-7,,Q153856,,,Stanisław Huskowski,Stanisław Huskowski,male,1953-04-24,Stanisław,,,/m/0f6sl9,,,,,,,,,,,,,,,,,,,,,,,,,,,
robert-jagła,Robert Jagła,Robert Jagła,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo dolnośląskie 2,2-7,2014-08-27,Q18011037,,,Robert Jagła,Robert Jagła,male,1968-01-01,Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renata-janik,Renata Janik,Renata Janik,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo świętokrzyskie 33,33-7,2013-09-11,Q16595664,,,Renata Janik,,female,,Renata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
