name,sort_name,family_name,given_name,birth_date,image,group,constituency,island,source,as_of,id
Glenys Hanna Martin,"Hanna Martin, Glenys",Hanna Martin,Glenys,1958-10-27,http://www.bahamas.gov.bs/wps/wcm/connect/3f0f95d5-8699-42bf-aefe-81ebcaa883f5/Glenys+Hanna+Martin-Englerston.jpg?MOD=AJPERES&CACHEID=3f0f95d5-8699-42bf-aefe-81ebcaa883f5,PLP,Englerston,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+glenys+hanna+martin,2016-08-23,Glenys Hanna Martin
Hope Strachan,"Strachan, Hope",Strachan,Hope,1960-12-01,http://www.bahamas.gov.bs/wps/wcm/connect/fc4e9d67-1b31-466c-9887-3430e8b552e3/Hope+Strachan-Seabreezew.jpg?MOD=AJPERES&CACHEID=fc4e9d67-1b31-466c-9887-3430e8b552e3,PLP,Seabreeze,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+hope+strachan,2016-08-23,Hope Strachan
Hubert A. Minnis,"Minnis, Hubert A.",Minnis,Hubert A.,,http://www.bahamas.gov.bs/wps/wcm/connect/bd6be8f4-f899-452d-bce8-8f1650ae8d80/minnis.jpg?MOD=AJPERES&CACHEID=bd6be8f4-f899-452d-bce8-8f1650ae8d80,FNM,Killarney,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/dr.+hubert+a.+minnis,2016-08-23,Hubert A. Minnis
Hubert Chipman,"Chipman, Hubert",Chipman,Hubert,,http://www.bahamas.gov.bs/wps/wcm/connect/3a218314-00c3-4172-a27a-3e19b849f21e/Chipman4.png?MOD=AJPERES&CACHEID=3a218314-00c3-4172-a27a-3e19b849f21e,FNM,"",New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/hubert+chipman,2016-08-23,Hubert Chipman
Jerome Fitzgerald,"Fitzgerald, Jerome",Fitzgerald,Jerome,1966-04-03,http://www.bahamas.gov.bs/wps/wcm/connect/5d4f9e02-faf7-4210-8e89-b7b7656fe875/Jerome+Fitzgerald-Marathon.jpg?MOD=AJPERES&CACHEID=5d4f9e02-faf7-4210-8e89-b7b7656fe875,PLP,Marathon,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+jerome%2C+fitzgerald,2016-08-23,Jerome Fitzgerald
Jerome Fitzgerald,"Fitzgerald, Jerome",Fitzgerald,Jerome,1966-04-03,http://www.bahamas.gov.bs/wps/wcm/connect/352d7e24-5fa5-4e57-aacb-951b8720d8a4/Jerome+Fitzgerald-Marathon.jpg?MOD=AJPERES&CACHEID=352d7e24-5fa5-4e57-aacb-951b8720d8a4,PLP,Marathon,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/ministry+of+education+science+and+technology/government/about+us/minister+of+education+science+and+technology/the+hon.+jerome%2C+fitzgerald,2016-08-23,Jerome Fitzgerald
Kendal Major,"Major, Kendal",Major,Kendal,1961-08-09,http://www.bahamas.gov.bs/wps/wcm/connect/bf5d731a-b78b-4909-84ee-f0073dcfe2a1/Dr.+Kedal+Major-+Garden+Hills4.jpg?MOD=AJPERES&CACHEID=bf5d731a-b78b-4909-84ee-f0073dcfe2a1,PLP,Garden Hills,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/dr.+the+hon.+kendal+major%2C+mp,2016-08-23,Kendal Major
Kenred Dorsett,"Dorsett, Kenred",Dorsett,Kenred,1971-02-16,http://www.bahamas.gov.bs/wps/wcm/connect/c07a0e95-aaa3-4352-b4e7-71e3c70fd55b/Kenred+Michael.jpg?MOD=AJPERES&CACHEID=c07a0e95-aaa3-4352-b4e7-71e3c70fd55b,PLP,Southern Shores,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+kenred%2C+dorsett,2016-08-23,Kenred Dorsett
Khaalis Rolle,"Rolle, Khaalis",Rolle,Khaalis,1973-01-09,http://www.bahamas.gov.bs/wps/wcm/connect/bd42ec22-21dc-4ab4-9383-97881612cbd2/KHAALIS+ROLLE-Pinewood4.jpg?MOD=AJPERES&CACHEID=bd42ec22-21dc-4ab4-9383-97881612cbd2,PLP,Pinewood,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+khaalis+rolle,2016-08-23,Khaalis Rolle
Leslie O. Miller,"Miller, Leslie O.",Miller,Leslie O.,1948-03-24,http://www.bahamas.gov.bs/wps/wcm/connect/290519cc-a4c0-410a-9aaf-bf9e914b03f9/LMiller4.jpg?MOD=AJPERES&CACHEID=290519cc-a4c0-410a-9aaf-bf9e914b03f9,PLP,Tall Pines,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/leslie+o.+miller,2016-08-23,Leslie O. Miller
Loretta Turner-Butler,"Turner-Butler, Loretta",Turner-Butler,Loretta,,http://www.bahamas.gov.bs/wps/wcm/connect/8a19d337-e530-4f05-9d51-92c2a03b76ef/loretta+turner.jpg?MOD=AJPERES&CACHEID=8a19d337-e530-4f05-9d51-92c2a03b76ef,FNM,"",Long Island,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/loretta+butler-turner,2016-08-23,Loretta Turner-Butler
Melanie Griffin,"Griffin, Melanie",Griffin,Melanie,,http://www.bahamas.gov.bs/wps/wcm/connect/147e14f7-a3ff-47b2-8a8a-8f0109a69f60/Melanie+Griffin-Yamacraw4.jpg?MOD=AJPERES&CACHEID=147e14f7-a3ff-47b2-8a8a-8f0109a69f60,PLP,Yamacraw,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+melanie+griffin,2016-08-23,Melanie Griffin
Michael Darville,"Darville, Michael",Darville,Michael,,http://www.bahamas.gov.bs/wps/wcm/connect/b7ae8878-d2b1-4941-86f2-bad8f0473e15/Dr.+Michael+Darville-+Pineridge.jpg?MOD=AJPERES&CACHEID=b7ae8878-d2b1-4941-86f2-bad8f0473e15,PLP,Pineridge,Grand Bahama,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+dr.+michael%2C+darville,2016-08-23,Michael Darville
Michael Halkitis,"Halkitis, Michael",Halkitis,Michael,1969-02-01,http://www.bahamas.gov.bs/wps/wcm/connect/2d3f4928-43af-47c6-ae90-caac131cac10/Michael+Halkitis.jpg?MOD=AJPERES&CACHEID=2d3f4928-43af-47c6-ae90-caac131cac10,PLP,Golden Isles,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+michael+halkitis+1,2016-08-23,Michael Halkitis
Neko C. Grant,"Grant, Neko C.",Grant,Neko C.,,http://www.bahamas.gov.bs/wps/wcm/connect/64d9d6ee-9b62-4f8e-85af-bcf3c31f4425/neko.jpg?MOD=AJPERES&CACHEID=64d9d6ee-9b62-4f8e-85af-bcf3c31f4425,FNM,Central Grand Bahama,Grand Bahama,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/neko+c.+grant,2016-08-23,Neko C. Grant
Obediah Wilchcombe,"Wilchcombe, Obediah",Wilchcombe,Obediah,1958-11-04,http://www.bahamas.gov.bs/wps/wcm/connect/34f2393d-58d6-47e5-97ec-1402818119d8/OBIE+WICHCOMBE-West+Grand+Bahama+%26+Bimini+%28contact%29.jpg?MOD=AJPERES&CACHEID=34f2393d-58d6-47e5-97ec-1402818119d8,PLP,West Grand Bahama and Bimini,Grand Bahama,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+obediah+h.+wilchcombe,2016-08-23,Obediah Wilchcombe
Perry Gomez,"Gomez, Perry",Gomez,Perry,,http://www.bahamas.gov.bs/wps/wcm/connect/1d6736b0-a6bf-40b9-a781-6cad596cfced/Perry+Gomez+-+North+Andros+%26+The+Berry+Islands3.jpg?MOD=AJPERES&CACHEID=1d6736b0-a6bf-40b9-a781-6cad596cfced,PLP,North Andros and Berry Islands,Andros,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+dr.+perry+gomez,2016-08-23,Perry Gomez
Peter Turnquest,"Turnquest, Peter",Turnquest,Peter,,http://www.bahamas.gov.bs/wps/wcm/connect/f77a07fa-f208-40d0-bb58-49db72d4d4ed/PTurnquest4.png?MOD=AJPERES&CACHEID=f77a07fa-f208-40d0-bb58-49db72d4d4ed,FNM,"",Grand Bahama,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/peter+turnquest,2016-08-23,Peter Turnquest
Philip E. Brave Davis,"Davis, Philip E. Brave",Davis,Philip E. Brave,1951-06-07,http://www.bahamas.gov.bs/wps/wcm/connect/38ff4404-b920-4856-a6db-92686895c640/Brave+davis.jpg?MOD=AJPERES&CACHEID=38ff4404-b920-4856-a6db-92686895c640,PLP,"Cat Island, Rum Cay & San Salvador",Cat Island,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+philip+e.+brave+davis,2016-08-23,Philip E. Brave Davis
Picewell Forbes,"Forbes, Picewell",Forbes,Picewell,1961-08-01,http://www.bahamas.gov.bs/wps/wcm/connect/7ea047d1-0acc-4fd6-9e62-523738030a16/PICEWELL+FORBES-+Central+%26+South+Andros4.jpg?MOD=AJPERES&CACHEID=7ea047d1-0acc-4fd6-9e62-523738030a16,PLP,Andros,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/picewell+forbes,2016-08-23,Picewell Forbes
Renardo Curry,"Curry, Renardo",Curry,Renardo,1974-07-25,http://www.bahamas.gov.bs/wps/wcm/connect/524cd523-8017-4052-9c65-e45bc01a22c4/Renardo+Curry-North+Abaco+%28bio%29.jpg?MOD=AJPERES&CACHEID=524cd523-8017-4052-9c65-e45bc01a22c4,,,,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/renardo+curry,2016-08-23,Renardo Curry
Richard Lightbourn,"Lightbourn, Richard",Lightbourn,Richard,,http://www.bahamas.gov.bs/wps/wcm/connect/d68c286e-9a90-4346-80c8-4edcdb72a7c3/Lightbourne4.png?MOD=AJPERES&CACHEID=d68c286e-9a90-4346-80c8-4edcdb72a7c3,FNM,Montague,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/richard+lightbourn,2016-08-23,Richard Lightbourn
Theo Neilly,"Neilly, Theo",Neilly,Theo,,http://www.bahamas.gov.bs/wps/wcm/connect/de7460b4-50b0-45b7-a562-93e371b1afe0/Neilly4.png?MOD=AJPERES&CACHEID=de7460b4-50b0-45b7-a562-93e371b1afe0,FNM,"",Eleuthera,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/theo+neilly,2016-08-23,Theo Neilly
V. Alfred Gray,"Gray, V. Alfred",Gray,V. Alfred,1951-08-05,http://www.bahamas.gov.bs/wps/wcm/connect/b2440faf-4426-4d84-9274-93541306dbe8/imagesCAP6UP6G%284%29.jpg?MOD=AJPERES&CACHEID=b2440faf-4426-4d84-9274-93541306dbe8,PLP,MICAL,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+v.+alfred+gray,2016-08-23,V. Alfred Gray
