id,name,fullname,party,party_id,district,phone,legislaturas,image,email,term,source
5830472,ALBERTO FRAGA,JOÃO ALBERTO FRAGA SILVA,DEM,DEM,DF,(61) 3215-5511 -  3215-2511,99/03 03/07 07/11 15/19,http://www.camara.gov.br/internet/deputado/bandep/73579.jpg,dep.albertofraga@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830472
5830689,ALCEU MOREIRA,ALCEU MOREIRA DA SILVA,PMDB,PMDB,RS,(61) 3215-5238 -  3215-2238,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160559.jpg,dep.alceumoreira@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830689
5830329,ALESSANDRO MOLON,ALESSANDRO LUCCIOLA MOLON,REDE,REDE,RJ,(61) 3215-5652 -  3215-2652,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160511.jpg,dep.alessandromolon@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830329
5830426,ALEX CANZIANI,ALEX CANZIANI SILVEIRA,PTB,PTB,PR,(61) 3215-5842 -  3215-2842,99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73458.jpg,dep.alexcanziani@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830426
5830591,ALEX MANENTE,ALEX SPINELLI MANENTE,PPS,PPS,SP,(61) 3215-5245 -  3215-2245,15/19,http://www.camara.gov.br/internet/deputado/bandep/178972.jpg,dep.alexmanente@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830591
5830373,ALEXANDRE BALDY,ALEXANDRE BALDY DE SANT'ANNA BRAGA,PSDB,PSDB,GO,(61) 3215-5441 -  3215-2441,15/19,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,dep.alexandrebaldy@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830373
5830381,ALEXANDRE LEITE,ALEXANDRE LEITE DA SILVA,DEM,DEM,SP,(61) 3215-5841 -  3215-2841,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160545.jpg,dep.alexandreleite@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830381
5830436,ALEXANDRE VALLE,ALEXANDRE VALLE CARDOSO,PMB,PMB,RJ,(61) 3215-5587 -  32152587,15/19,http://www.camara.gov.br/internet/deputado/bandep/178936.jpg,dep.alexandrevalle@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830436
5830645,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,PSDB,PSDB,PR,(61) 3215-5818 -  3215-2818,07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141454.jpg,dep.alfredokaefer@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830645
5830771,ALFREDO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,PR,PR,AM,(61) 3215-5401 -  3215-2401,15/19,http://www.camara.gov.br/internet/deputado/bandep/178846.jpg,dep.alfredonascimento@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830771
5830470,ALICE PORTUGAL,ALICE MAZZUCO PORTUGAL,PCdoB,PCdoB,BA,(61) 3215-5420 -  3215-2420,03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74057.jpg,dep.aliceportugal@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830470
5830336,ALIEL MACHADO,ALIEL MACHADO BARK,REDE,REDE,PR,(61) 3215-5480 -  3215-2480,15/19,http://www.camara.gov.br/internet/deputado/bandep/178927.jpg,dep.alielmachado@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830336
5830582,ALTINEU CÔRTES,ALTINEU CÔRTES FREITAS COUTINHO,PR,PR,RJ,(61) 3215-5578 -  3215-2578,15/19,http://www.camara.gov.br/internet/deputado/bandep/178937.jpg,dep.altineucortes@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830582
5830565,ALUISIO MENDES,ALUISIO GUIMARAES MENDES FILHO,PMB,PMB,MA,(61) 3215-5931 -  3215-2931,15/19,http://www.camara.gov.br/internet/deputado/bandep/178881.jpg,dep.aluisiomendes@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830565
5830779,ANA PERUGINI,ANA LUCIA LIPPAUS PERUGINI,PT,PT,SP,(61) 3215-5436 -  3215-2436,15/19,http://www.camara.gov.br/internet/deputado/bandep/178973.jpg,dep.anaperugini@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830779
5830422,ANDERSON FERREIRA,ANDERSON FERREIRA RODRIGUES,PR,PR,PE,(61) 3215-5450 -  3215-2450,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160551.jpg,dep.andersonferreira@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830422
5830650,ANDRÉ ABDON,ANDRE DOS SANTOS ABDON,PRB,PRB,AP,(61) 3215-5831 -  3215-2831,15/19,http://www.camara.gov.br/internet/deputado/bandep/178831.jpg,dep.andreabdon@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830650
5830768,ANDRÉ FUFUCA,ANDRE LUIS CARVALHO RIBEIRO,PEN,PEN,MA,(61) 3215-5945 -  3215-2945,15/19,http://www.camara.gov.br/internet/deputado/bandep/178882.jpg,dep.andrefufuca@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830768
5830799,ANDRE MOURA,ANDRÉ LUIS DANTAS FERREIRA,PSC,PSC,SE,(61) 3215-5846 -  3215-2846,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160543.jpg,dep.andremoura@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830799
5830481,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,PT,PT,SP,(61) 3215-5939 -  3215-2939,15/19,http://www.camara.gov.br/internet/deputado/bandep/178974.jpg,dep.andressanchez@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830481
5830851,ANGELA ALBINO,ANGELA ALBINO,PCdoB,PCdoB,SC,(61) 3215-5609 -  3215-2609,15/19,http://www.camara.gov.br/internet/deputado/bandep/192120.jpg,dep.angelaalbino@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830851
5830541,ANGELIM,RAIMUNDO ANGELIM VASCONCELOS,PT,PT,AC,(61) 3215-5543 -  3215-2543,15/19,http://www.camara.gov.br/internet/deputado/bandep/178837.jpg,dep.angelim@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830541
5830497,ANÍBAL GOMES,ANÍBAL FERREIRA GOMES,PMDB,PMDB,CE,(61) 3215-5731 -  3215-2731,95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74212.jpg,dep.anibalgomes@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830497
5830609,ANTONIO BRITO,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PTB,PTB,BA,(61) 3215-5479 -  3215-2479,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160553.jpg,dep.antoniobrito@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830609
5830625,ANTONIO BULHÕES,ANTONIO CARLOS MARTINS DE BULHÕES,PRB,PRB,SP,(61) 3215-5327 -  3215-2327,07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141383.jpg,dep.antoniobulhoes@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830625
5830802,ANTONIO CARLOS MENDES THAME,ANTONIO CARLOS DE MENDES THAME,PSDB,PSDB,SP,(61) 3215-5915 -  3215-2915,87/91 91/95 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73584.jpg,dep.antoniocarlosmendesthame@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830802
5830702,ANTONIO IMBASSAHY,ANTONIO JOSÉ IMBASSAHY DA SILVA,PSDB,PSDB,BA,(61) 3215-5810 -  3215-2810,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160530.jpg,dep.antonioimbassahy@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830702
5830587,ANTÔNIO JÁCOME,ANTONIO JACOME DE LIMA JUNIOR,PMN,PMN,RN,(61) 3215-5230 -  3215-2230,15/19,http://www.camara.gov.br/internet/deputado/bandep/178950.jpg,dep.antoniojacome@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830587
5830847,ARIOSTO HOLANDA,FRANCISCO ARIOSTO HOLANDA,PROS,PROS,CE,(61) 3215-5940 -  3215-2940,91/95 95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74103.jpg,dep.ariostoholanda@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830847
5830761,ARLINDO CHINAGLIA,ARLINDO CHIGNALIA JUNIOR,PT,PT,SP,(61) 3215-5966 -  32152966,95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73433.jpg,dep.arlindochinaglia@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830761
5830487,ARNALDO FARIA DE SÁ,ARNALDO FARIA DE SÁ,PTB,PTB,SP,(61) 3215-5929 -  3215-2929,87/91 91/95 95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73434.jpg,dep.arnaldofariadesa@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830487
5830744,ARNALDO JORDY,ARNALDO JORDY FIGUEIREDO,PPS,PPS,PA,(61) 3215-5506 -  3215-2506,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160602.jpg,dep.arnaldojordy@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830744
5830664,ARNON BEZERRA,JOSÉ ARNON CRUZ BEZERRA DE MENEZES,PTB,PTB,CE,(61) 3215-5413 -  3215-2413,95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74291.jpg,dep.arnonbezerra@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830664
5830321,ARTHUR LIRA,ARTHUR CÉSAR PEREIRA DE LIRA,PP,PP,AL,(61) 3215-5942 -  3215-2942,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160541.jpg,dep.arthurlira@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830321
5830788,ARTHUR OLIVEIRA MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,SD,SD,BA,(61) 3215-5830 -  3215-2830,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160600.jpg,dep.arthuroliveiramaia@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830788
5830441,ARTHUR VIRGÍLIO BISNETO,ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,PSDB,PSDB,AM,(61) 3215-5583 -  3215-2583,15/19,http://www.camara.gov.br/internet/deputado/bandep/178847.jpg,dep.arthurvirgiliobisneto@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830441
5830359,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONÇALVES,PT,PT,PI,(61) 3215-5909 -  3215-2909,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/159237.jpg,dep.assiscarvalho@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830359
5830386,ASSIS DO COUTO,ASSIS MIGUEL DO COUTO,PMB,PMB,PR,(61) 3215-5428 -  3215-2428,03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74378.jpg,dep.assisdocouto@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830386
5830571,ÁTILA LINS,ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,PSD,AM,(61) 3215-5730 -  3215-2730,91/95 95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74090.jpg,dep.atilalins@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830571
5830530,ÁTILA LIRA,ÁTILA FREITAS LIRA,PSB,PSB,PI,(61) 3215-5640 -  3215-2640,87/91 91/95 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74459.jpg,dep.atilalira@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830530
5830433,AUGUSTO CARVALHO,AUGUSTO SILVEIRA DE CARVALHO,SD,SD,DF,(61) 3215-5215 -  3215-2215,87/91 91/95 95/99 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73655.jpg,dep.augustocarvalho@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830433
5830811,AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,SD,SD,PE,(61) 3215-5373 -  3215-2373,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160665.jpg,dep.augustocoutinho@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830811
5830465,AUREO,AUREO LIDIO MOREIRA RIBEIRO,SD,SD,RJ,(61) 3215-5212 -  3215-2212,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160512.jpg,dep.aureo@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830465
5830536,BACELAR,JOAO CARLOS BACELAR BATISTA,PTN,PTN,BA,(61) 3215-5381 -  3215-2381,15/19,http://www.camara.gov.br/internet/deputado/bandep/69871.jpg,dep.bacelar@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830536
5830607,BALEIA ROSSI,LUIZ FELIPE BALEIA TENUTO ROSSI,PMDB,PMDB,SP,(61) 3215-5829 -  3215-2829,15/19,http://www.camara.gov.br/internet/deputado/bandep/178975.jpg,dep.baleiarossi@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830607
5830613,BEBETO,ADALBERTO SOUZA GALVÃO,PSB,PSB,BA,(61) 3215-5541 -  3215-2541,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/178834.jpg,dep.bebeto@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830613
5830660,BENEDITA DA SILVA,BENEDITA SOUZA DA SILVA SAMPAIO,PT,PT,RJ,(61) 3215-5330 -  3215-2330,87/91 91/95 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73701.jpg,dep.beneditadasilva@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830660
5830741,BENITO GAMA,BENITO DA GAMA SANTOS,PTB,PTB,BA,(61) 3215-5414 -  3215-2414,87/91 91/95 95/99 99/03 15/19,http://www.camara.gov.br/internet/deputado/bandep/74535.jpg,dep.benitogama@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830741
5830769,BENJAMIN MARANHÃO,BENJAMIN GOMES MARANHÃO NETO,SD,SD,PB,(61) 3215-5458 -  3215-2458,03/07 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74040.jpg,dep.benjaminmaranhao@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830769
5830545,BETINHO GOMES,HEBERTE LAMARCK GOMES DA SILVA,PSDB,PSDB,PE,(61) 3215-5269 -  32152269,15/19,http://www.camara.gov.br/internet/deputado/bandep/178915.jpg,dep.betinhogomes@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830545
5830714,BETO FARO,JOSÉ ROBERTO OLIVEIRA FARO,PT,PT,PA,(61) 3215-5723 -  3215-2723,03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141335.jpg,dep.betofaro@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830714
5830451,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,PRB,PRB,SP,(61) 3215-5616 -  3215-2616,91/95 95/99 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/73437.jpg,dep.betomansur@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830451
5830685,BETO ROSADO,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,PP,PP,RN,(61) 3215-5840 -  3215-2840,15/19,http://www.camara.gov.br/internet/deputado/bandep/178948.jpg,dep.betorosado@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830685
5830637,BETO SALAME,ROBERTO SALAME FILHO,PROS,PROS,PA,(61) 3215-5473 -  3215-2473,15/19,http://www.camara.gov.br/internet/deputado/bandep/178906.jpg,dep.betosalame@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830637
5830796,BILAC PINTO,OLAVO BILAC PINTO NETO,PR,PR,MG,(61) 3215-5806 -  3215-2806,07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141513.jpg,dep.bilacpinto@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830796
5830655,BOHN GASS,ELVINO JOSÉ BOHN GASS,PT,PT,RS,(61) 3215-5469 -  3215-2469,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160538.jpg,dep.bohngass@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830655
5830755,BONIFÁCIO DE ANDRADA,BONIFÁCIO JOSÉ TAMM DE ANDRADA,PSDB,PSDB,MG,(61) 3215-5208 -  3215-2208,79/83 83/87 87/91 91/95 95/99 99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74650.jpg,dep.bonifaciodeandrada@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830755
5830665,BRUNA FURLAN,BRUNA DIAS FURLAN,PSDB,PSDB,SP,(61) 3215-5836 -  3215-2836,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160589.jpg,dep.brunafurlan@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830665
5830695,BRUNNY,BRUNIELE FERREIRA GOMES,PMB,PMB,MG,(61) 3215-5260 -  3215-2260,15/19,http://www.camara.gov.br/internet/deputado/bandep/178999.jpg,dep.brunny@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830695
5830294,BRUNO ARAÚJO,BRUNO CAVALCANTI DE ARAÚJO,PSDB,PSDB,PE,(61) 3215-5718 -  3215-2718,07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141394.jpg,dep.brunoaraujo@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830294
5830738,BRUNO COVAS,BRUNO COVAS LOPES,PSDB,PSDB,SP,(61) 3215-5521 -  3215-2521,15/19,http://www.camara.gov.br/internet/deputado/bandep/178976.jpg,dep.brunocovas@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830738
5830757,CABO DACIOLO,BENEVENUTO DACIOLO FONSECA DOS SANTOS,S.PART.,S.PART.,RJ,(61) 3215-5803 -  3215-2803,15/19,http://www.camara.gov.br/internet/deputado/bandep/178938.jpg,dep.cabodaciolo@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830757
5830773,CABO SABINO,FLAVIO ALVES SABINO,PR,PR,CE,(61) 3215-5617 -  3215-2617,15/19,http://www.camara.gov.br/internet/deputado/bandep/178865.jpg,dep.cabosabino@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830773
5830572,CABUÇU BORGES,LUIZ GIONILSON PINHEIRO BORGES,PMDB,PMDB,AP,(61) 3215-5380 -  3215-2380,15/19,http://www.camara.gov.br/internet/deputado/bandep/105112.jpg,dep.cabucuborges@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830572
5830296,CACÁ LEÃO,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,PP,BA,(61) 3215-5320 -  3215-2320,15/19,http://www.camara.gov.br/internet/deputado/bandep/93083.jpg,dep.cacaleao@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830296
5830486,CAETANO,LUIZ CARLOS CAETANO,PT,PT,BA,(61) 3215-5415 -  3215-2415,15/19,http://www.camara.gov.br/internet/deputado/bandep/178853.jpg,dep.caetano@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830486
5830543,CAIO NARCIO,CAIO NARCIO RODRIGUES DA SILVEIRA,PSDB,PSDB,MG,(61) 3215-5431 -  3215-2431,15/19,http://www.camara.gov.br/internet/deputado/bandep/178891.jpg,dep.caionarcio@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830543
5830434,CAPITÃO AUGUSTO,JOSE AUGUSTO ROSA,PR,PR,SP,(61) 3215-5273 -  3215-2273,15/19,http://www.camara.gov.br/internet/deputado/bandep/178829.jpg,dep.capitaoaugusto@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830434
5830456,CARLOS ANDRADE,CARLOS AUGUSTO ANDRADE SILVA,PHS,PHS,RR,(61) 3215-5758 -  3215-2758,15/19,http://www.camara.gov.br/internet/deputado/bandep/178958.jpg,dep.carlosandrade@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830456
5830791,CARLOS BEZERRA,CARLOS GOMES BEZERRA,PMDB,PMDB,MT,(61) 3215-5815 -  3215-2815,79/83 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141401.jpg,dep.carlosbezerra@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830791
5830813,CARLOS EDUARDO CADOCA,CARLOS EDUARDO CINTRA DA COSTA PEREIRA,PCdoB,PCdoB,PE,(61) 3215-5423 -  3215-2423,99/03 03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/74474.jpg,dep.carloseduardocadoca@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830813
