id,gender,date_of_birth,date_of_death,title,legal_name,national_identity,family_name,given_name,additional_name,honorific_prefix,honorific_suffix,email,image,image_source,summary,biography
176,Male,1965-07-13,"","",FAMUREWA ISRAEL AJIBOLA,"","","","","","","",http://www.shineyoureye.org/media_root/images/famurewa-israel-ajibola,http://www.nassnig.org/nass2/admin/images/hr282.jpg,"Target Achievement(s): To Partake In Legislation that Will Torch Peoples Life Positively & Make
Life Better For My Constituents.

Legistlative Interest(s): Committee On Works, Power, Defence

Awards & Honours: Nil

",""
346,"",1945-07-23,"","",ODUNSI AKIN KAMAR BABALOLA,"","","","","","","",http://www.shineyoureye.org/media_root/images/odunsi-akin-kamar-babalola,http://www.nassnig.org/nass/admin/images/s082.jpg,"Target Achievement(s): To give effective robust and qualitative representation to my senatorial district, state and nation at large

Legistlative Interest(s): rural education and development, youth and women empowerment, agricultural development and corporate governance

Awards & Honours: 1.Merit award, old grammarians society, 
2.Iganmode merit award by the Olota of Ota (Ogun state)
3.Distinguished alumni award, university of Lagos
4.Maiyegun of Ilaro
5.Babalaje of koko- atan Otta
6.Giwa adinni of otta cental mosque

",""
347,male,1971-08-23,"","",OFORBUIKE GREGORY CHUKWUEGBO,"","","","","","","",http://www.shineyoureye.org/media_root/images/oforbuike-gregory-chukwuegb,http://www.nassnig.org/nass2/admin/images/CHUKWUEGBO%20Ofor%20Gregory.jpg,"Target Achievement(s): Making bills that will positively affect my constituents

Legistlative Interest(s): Youth Development, Rural Electrification, Water and Public Health

",""
348,"",1955-06-08,"","",OGBABURHON OKPOVIEKPURAI AUSTI,"","","","","","","",http://www.shineyoureye.org/media_root/images/ogbaburhon-okpoviekpurai-austi,http://www.nassnig.org/nass2/admin/images/OGBABURHON%20OKPOVIEKPURAI%20AUSTIN.jpg,"",""
41,Male,1951-06-15,"","",ADEYEYE OLUSOLA,"","","","","","","",http://www.shineyoureye.org/media_root/images/adeyeye-olusola,http://www.nassnig.org/nass/admin/images/s086.jpg,"Target Achievement(s): 1.Better funding of Nigerian universities
2.Closure of non performing government agencies
3.Making government accountable

Legistlative Interest(s): Fiscal prudence, Access to quality education, Safeguarding  human rights

Awards & Honours: 1.Horace land award
2.Mark lea award
3.Linnaeus award
4.USDA and NSF panelist

",""
42,Male,1967-03-17,"","",ADEYINKA AYANTUNJI AJAYI,"","","","","","","",http://www.shineyoureye.org/media_root/images/adeyinka-ayantunji-ajayi,http://www.nassnig.org/nass2/admin/images/AJAYI%20Adeyinka%20Ayantunji.jpg,"Legistlative Interest(s): Multi Modal Transportation, Achievement Of International Human Development Targets Under The MDGs

",""
62,"",1965-03-03,"","",AKINTOYE ALBERT,"","","","","","","",http://www.shineyoureye.org/media_root/images/akintoye-albert,http://www.nassnig.org/nass2/admin/images/hr275.jpg,"Target Achievement(s): To Legislate for Better Nation

Legistlative Interest(s): Defence, Petroleum, Works

Awards & Honours: Best Performed L.G Chairman in Ondo State
Distinguished Philanthropist
Achiever

",""
43,male,1954-02-15,"","",ADOKWE SULEIMAN ASONYA,"","","","","","","",http://www.shineyoureye.org/media_root/images/adokwe-suleiman-asonya,http://www.nassnig.org/nass/admin/images/s076.jpg,"Target Achievement(s): To Contribute To Legislation And Policy That Will Substantially Reduce Poverty Level In The Country.

Legistlative Interest(s): Rural Development and Poverty Eradication Scheme.

",""
44,Male,1969-06-13,"","",ADUDA PHILIP TANIMU,"","","","","","","",http://www.shineyoureye.org/media_root/images/aduda-philip-tanimu,http://www.nassnig.org/nass/admin/images/s043.jpg,"Target Achievement(s): Create Enabling laws for the Good Governance of FCT

Legistlative Interest(s): Create Good Governance for FCT

",""
76,"",1969-02-12,"","",ALKALI SAIDU AHMED,"","","","","","","",http://www.shineyoureye.org/media_root/images/alkali-saidu-ahmed,http://www.nassnig.org/nass/admin/images/s045.jpg,"Target Achievement(s): Enact Laws that Will Better the Lots of Nigerians

Legistlative Interest(s): IMPROVEMENT ON SECURITY OF LIVES AND PROPERTIES, IMMIGRATION, PRISON REFORMS,

",""
45,male,1974-08-16,"","",AFEES ADELOWO JIMOH,"","","","","","","",http://www.shineyoureye.org/media_root/images/afees-adelowo-jim,http://www.nassnig.org/nass2/admin/images/JIMOH%20Afees%20Adelowo.jpg,"",""
64,Male,1953-12-27,"","",AKUME GEORGE ORPEL,"","","","","","","",http://www.shineyoureye.org/media_root/images/akume-george-orpel,http://www.nassnig.org/nass/admin/images/s020.jpg,"Target Achievement(s): Along with colleagues, to enact laws for the good governance of our countr

Legistlative Interest(s): Infrastructure, Education, Agriculture, Health .

Awards & Honours: HND LIT (UNIJOS)

",""
46,"",1960-03-13,"","",AGBOOLA AYOOLA HOSEA,"","","","","","","",http://www.shineyoureye.org/media_root/images/agboola-ayoola-hosea,http://www.nassnig.org/nass/admin/images/s090.jpg,"Legistlative Interest(s): NA

Awards & Honours: Drugs, Narcotics and Financial Crimes
Petroleum Downstream

",""
47,"",1963-05-05,"","",AHMAD AUDI ZAREWA,"","","","","","","",http://www.shineyoureye.org/media_root/images/ahmad-audi-zarewa,http://www.nassnig.org/nass2/admin/images/AUDI%20Ahmad%20Zarewa.jpg,"Legistlative Interest(s): To defend the electorate interest

",""
49,"",1952-05-02,"","",AHMED FONS NWANGUBI,"","","","","","","",http://www.shineyoureye.org/media_root/images/ahmed-fons-nwangubi,http://www.nassnig.org/nass2/admin/images/hr011.jpg,"Target Achievement(s): Making my constituency and the state develop positively

Legistlative Interest(s): Education, Rural health, Agriculture,

Awards & Honours: Bagabi of Koma
Senate Award for best LGA Chairman
NAFDAC Grassroot Award
Masani Ganye Traditional Title

",""
65,"",1959-05-29,"","",ALBERT TAMINU SAM-TSOKWA,"","","","","","","",http://www.shineyoureye.org/media_root/images/albert-taminu-sam-tsokwa,http://www.nassnig.org/nass2/admin/images/hr335.jpg,"Target Achievement(s): Left in the Court of Public Opinion

Legistlative Interest(s): People oriented Legislations

Awards & Honours: MERIT AWARD FROM NIGERIA CUSTOMS SERVICE AND DOCTORATE DEGREE IN THEOLOGY (HONORARY).

",""
50,Male,1964-06-01,"","",AHMED IDRIS MAJE,"","","","","","","",http://www.shineyoureye.org/media_root/images/ahmed-idris,http://www.nassnig.org/nass2/admin/images/Ahmed%20Idris.jpg,"Target Achievement(s): Portable drinking water, Road construction, Good governance and sound education

Legistlative Interest(s): WATER, WORKS, EDUCATION AND APPROPRIATION.

",""
51,"",1960-02-05,"","",AHMED MUKHTAR MOHAMMED,"","","","","","","",http://www.shineyoureye.org/media_root/images/ahmed-mukhtar-mohammed,http://www.nassnig.org/nass2/admin/images/3_18.jpg,"",""
177,"",1962-07-13,"","",FAROUK MOHAMMED LAWAN,"","","","","","","",http://www.shineyoureye.org/media_root/images/farouk-mohammed-lawan,http://www.nassnig.org/nass2/admin/images/LAWAN%20Farouk%20Muhammad.jpg,"Legistlative Interest(s): Economy, Education and International diplomacy

Awards & Honours: ThisDay Representative of the year, 2007

",""
52,"",1972-05-04,"","",AHMED YUSUF TIJANI,"","","","","","","",http://www.shineyoureye.org/media_root/images/ahmed-yusuf-tijani,http://www.nassnig.org/nass2/admin/images/YUSUF%20Ahmed%20Tijani%20Damisa.jpg,"",""
53,"",1971-08-17,"","",AISHA AHMED DAHIRU,"","","","","","","",http://www.shineyoureye.org/media_root/images/aisha-ahmed-dahiru,http://www.nassnig.org/nass2/admin/images/hr016.jpg,"Target Achievement(s): To ensure that government business is conducted in accordance with the law

Legistlative Interest(s): Appropiation matters, Federal Capital Territory

Awards & Honours: NYSC State Merit Award
NCWS Adamawa Chapter
Merit award for good conduct Adamawa State

",""
693,Male,"","","",Baba Kaka Garba,"","","","","","","",http://www.shineyoureye.org/media_root/images/APC_-_Baba_Kaka_Garba.jpg,http://www.informationng.com/wp-content/uploads/2015/11/Baba-Kaka-Bashir-Garbai.jpg,"",""
54,"",1970-06-29,"","",AIYEDUN OLAYINKA AKEEM,"","","","","","","",http://www.shineyoureye.org/media_root/images/aiyedun-olayinka-akeem,http://www.nassnig.org/nass2/admin/images/AIYEDUN%20Akeem%20Olayinka.jpg,"Legistlative Interest(s): Legislation To Effect Posivtive Changes In The Lives Of People Of This Great Nation, Nigeria

",""
55,"",2011-04-06,"","",AJAGBE ADETUNJI TAJUDEE,"","","","","","","",http://www.shineyoureye.org/media_root/images/ajagbe-adetunji-tajudee,http://www.nassnig.org/nass2/admin/images/hr287.jpg,"",""
56,male,1966-07-18,"","",NNAJI GILBERT EMEKA,"","","","","","","",http://www.shineyoureye.org/media_root/images/aji-gilbert-emeka,http://www.nassnig.org/nass/admin/images/Gnnaji.jpg,"Target Achievement(s): To strengthen the capacity of government institutions with a view to improving the socio - economic well being of my constituents and Nigerians in general

Legistlative Interest(s): Poverty alleviation Electoral reform Education Agriculture /agro business Commerce and industry

Awards & Honours: Paul Harris award of rotary club international

",""
70,"",1967-12-27,"","",ALI YAKUBU,"","","","","","","",http://www.shineyoureye.org/media_root/images/ali-yakubu,http://www.nassnig.org/nass2/admin/images/hr345.jpg,"Target Achievement(s): PROVIDE ADEQUATE REPRESENTATION TO MY PEOPLE

Legistlative Interest(s): TO PROMOTE THE IMAGE OF THE LEGISLATORS AS WELL AS THE GENERAL WELL BEING OF NIGERIANS

",""
57,male,1970-06-15,"","",AKE WILSON ASINOBI,"","","","","","","",http://www.shineyoureye.org/media_root/images/ake-wilson-asinobi,http://www.nassnig.org/nass/admin/images/s097.jpg,"Target Achievement(s): Better Environmental Protection,Professionalizing All sectors.

Awards & Honours: Environmental Control,Compliance With The Rule Of law And Rural Transformation.

",""
