id,twitter,facebook,facebook_id,youtube_id,twitter_id,youtube,instagram,instagram_id
B001292,repdonbeyer,repdonbeyer,,UCPJGVbOVcAVGiBwq8qr_T9w,2962868158,,repdonbeyer,
B001293,RepMikeBishop,RepMikeBishop,,UCeG5_Zwq-4KXnGWufThSKRQ,2914571740,,,
B001294,RepRodBlum,congressmanrodblum,,UCACYUrK1zFAZzKcmz9ibEAg,2965083477,,,
B001295,RepBost,RepBost,,UCYA1psY06vSf3QadHuCrmjQ,2964877294,,,
B001296,CongBoyle,CongressmanBoyle,,UCMP_Anj7lz4eZuSh8GwFqQQ,4304448314,,,
B001297,RepKenBuck,repkenbuck,,UCHK7Wcwij7NoxXGTeSHUWzg,2862577383,,,
B001298,repdonbacon,RepDonBacon,,UCR9abI1lZzAZ6HwQXc-dLFQ,818975124460335106,,RepDonBacon,
B001299,RepJimBanks,RepJimBanks,,UC_FR6TySW9uxvhjozkis6Xg,816131319033950208,,repjimbanks,
B001300,RepBarragan,CongresswomanBarragan,,,816833925456789505,,,
B001301,RepJackBergman,RepJackBergman,,,815241612154417152,RepJackBergman,RepJackBergman,
B001302,RepAndyBiggsAZ,RepAndyBiggs,,UCqSq9kWOxk9yNTeILBCVC1w,816652616625168388,,repandybiggs,
B001303,RepBRochester,Rep.BluntRochester,,,817050219007328258,,,
B001304,RepAnthonyBrown,RepAnthonyBrown,,,823552974253342721,RepAnthonyBrown,,
B001305,RepTedBudd,RepTedBudd,,,817138492614524928,,,
C000059,KenCalvert,70063393423,,UC5MEj7YOX_QdKoqD_HRxP3A,22545491,RepKenCalvert,,
C000127,SenatorCantwell,senatorcantwell,,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000141,SenatorCardin,senatorbencardin,,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000174,SenatorCarper,tomcarper,,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000266,RepSteveChabot,RepSteveChabot,,UCJpzm2DZDE1B6ruQLQc7q4g,237750442,congressmanchabot,repstevechabot,481906395
C000537,Clyburn,jameseclyburn,,UCIyU_UA_JEa14gvAwhquKqg,188019606,repjamesclyburn,,
C000542,SenDanCoats,180671148633644,180671148633644,UCipTNiqJBYHutxpMxo0UOYw,212262370,SenatorCoats,,
C000567,SenThadCochran,,,UCTnKP_ye7nI5DEn_zreaa3g,555474658,sencochran,,
C000714,RepJohnConyers,CongressmanConyers,,UCzlwBp7_m0t3f2UiFubvWgg,138770045,JCMI14,,
C000754,RepJimCooper,JimCooper,,UCjplyIIQbNZcl013AyDfPNg,22523087,RepJimCooper,repjimcooper,1037212884
C000880,MikeCrapo,mikecrapo,,UCMHzKHg1BE7dEcFjnayw1lA,600463589,senatorcrapo,mikecrapo,329357214
C000984,RepCummings,elijahcummings,,UCMasH4jR80RdkqyuF0neFZg,787373558,ElijahECummings,,
C001035,SenatorCollins,susancollins,,UC6GYaBx5kT2r4PN8KENxC-w,19726613,SenatorSusanCollins,sensusancollins,
C001036,RepLoisCapps,loiscapps,168989481141,UClsN2ngC28cgeqAY7mW1qKQ,292990703,reploiscapps,,
C001037,RepMikeCapuano,RepMichaelCapuano,,UCvzAdbimlJksgZjEMQn0kuw,747806211983179776,RepMikeCapuano,,
C001038,RepJoeCrowley,repjoecrowley,,UCni23wivejzkS9G1L_XEBQw,111635980,RepJoeCrowley,,
C001045,AnderCrenshaw,200388204657,200388204657,UCr3i3We3fsHJdUufmqDL7_w,20209807,RepAnderCrenshaw,,
C001047,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,193794406,,sencapito,1640447624
C001048,CongCulberson,CongressmanCulberson,,UCv9NX2RA2jQQniHohgqy_KQ,24183358,johnculbersontx07,repjculberson,
C001049,,109135405838588,,UCB3yVQzlxhx3brOwaWtiXoQ,,WilliamLacyClay,,
C001051,JudgeCarter,judgecarter,,UC9pkaOrhPfouzkJ8oAdI-1w,18030431,repjohncarter,repcarter,456560563
C001053,TomColeOK04,TomColeOK04,,UCvqzPm_YnNkfEHpm3SEMJMQ,23124635,reptomcole,TomColeOK04,
C001056,JohnCornyn,sen.johncornyn,,UCyQwLQavlOaJ64YuY_VMtiQ,13218102,senjohncornyn,,
C001059,RepJimCosta,RepJimCosta,,UCVgXX23eJEai6GiBOKO6dvA,245451804,RepJimCostaCA20,,
C001061,RepCleaver,emanuelcleaverii,,UCVC-7CLFjXczoihr5FxDLsw,163570705,repcleaver,,
C001062,ConawayTX11,mike.conaway,,UCR3dhwhVfxmmqv6ct2Xa1-g,295685416,mikeconaway11,,
C001063,RepCuellar,152569121550,,UCVgEOdJx3tyILO9EjZ-heEQ,210926192,henrycuellar,,
C001066,USRepKCastor,USRepKathyCastor,,UC_irxhmLqVenTFPxDxznG6g,1880674038,RepKathyCastor,,
C001067,RepYvetteClarke,repyvettedclarke,,UC8SuQiuL2P9fUHAxuRoTdUQ,240812994,repyvetteclarke,,
C001068,RepCohen,CongressmanSteveCohen,,UC_NJlnsOBjOameUwZk0rvsA,162069635,repcohen,,
C001069,RepJoeCourtney,joecourtney,,UCGVIfe1T2hO1Lx7ap5Wkv1w,85396297,repcourtney,repjoecourtney,
C001070,SenBobCasey,SenatorBobCasey,,UCtVssXhx-KuZa-hSvnsnJ0A,171598736,SenatorBobCasey,senbobcasey,
C001071,SenBobCorker,bobcorker,,UCm7if_szz7DxfcdYGrywHSA,73303753,senatorcorker,senbobcorker,390025816
C001072,RepAndreCarson,CongressmanAndreCarson,,UCprUnnEgM2VUGmAKSaZXCSw,199325935,repandrecarson,repandrecarson,
C001075,,,,UCCEyGhUzxgkxFzWCY-rxz8g,,SenatorBillCassidy,,
C001076,JasonInTheHouse,CongressmanJasonChaffetz,,UCPRdJWDBUYfZaMYaPQfoNnQ,17800215,JasonChaffetz,jasoninthehouse,217804604
C001077,RepMikeCoffman,repmikecoffman,,UCBCe9Os3VRutyBw3aLhYq5g,19407835,CongressmanCoffman,,
C001078,GerryConnolly,CongressmanGerryConnolly,,UC4WG9PlmoOeSLIuyVjs-RSA,78445977,repconnolly,,
C001080,RepJudyChu,RepJudyChu,,UCfcbYOvdEXZNelM8T05nK-w,193732179,RepJudyChu,,
C001083,JohnCarneyde,JohnCarneyDE,156024857781159,UCT9yU36lD-zOTJKhmX_w_dA,237770636,RepJohnCarney,johncarneyde,623634991
C001084,RepCicilline,CongressmanDavidCicilline,,UC3sCl46o8hYP69LnidNltuw,462143773,RepDavidCicilline,,
C001087,RepRickCrawford,RepRickCrawford,,UCLKAkVl4BHRK73lmDiIgPYg,233693291,RepRickCrawford,reprickcrawford,389864684
C001088,SenCoonsOffice,senatorchriscoons,,UC2lOVbsddn1HIkcDnmCw6tA,435500714,senatorchriscoons,senatorchriscoons,25194715
C001090,RepCartwright,CongressmanMattCartwright,,UCnAOvexSGLBnYidaFzguhTQ,776664410,,,
C001091,JoaquinCastrotx,326420614138023,,UCsRxWnFdRiV2od1O5v5nEeQ,231510077,JoaquinCastroTX,joaquincastrotx,378492005
C001092,RepChrisCollins,RepChrisCollins,,UCSwQQJaKI4TzuYDUwHwwnxQ,1058256326,RepChrisCollins,repchriscollins,379808544
C001093,RepDougCollins,RepresentativeDougCollins,,UCgKTZXOJX2UwAdLNZ4MQdig,1060487274,repdougcollins,,
C001094,RepPaulCook,RepPaulCook,,UCqK--hf5cuvg7BR_oisyRiA,1074412920,RepPaulCook,,
C001095,SenTomCotton,SenatorTomCotton,,UCXEk6mokWBajIpNatbjnwSg,968650362,RepTomCotton,,
C001096,RepKevinCramer,CongressmanKevinCramer,,UCqUPdO9XaAW-dvwwXKbIVdA,1048784496,kevincramer,repkevincramer,
C001097,RepCardenas,repcardenas,,UCm6ug1-yvYGL0F6DvYxfFBA,1222257180,repcardenas,repcardenas,1483357690
C001098,SenTedCruz,SenatorTedCruz,,UCOTZ-6H1rri1lSsj6IzhUyw,1074480192,sentedcruz,,
C001101,RepKClark,CongresswomanClark,,UCgaI52w7QKI8LtkSeCCmSuw,2293131060,,,
C001102,RepCurtClawson,RepCurtClawson,,,2730150631,,,
C001103,RepBuddyCarter,congressmanbuddycarter,,UCHQm49T6ikD_ioMAt50AwKQ,2973870195,,,
C001105,RepComstock,RepBarbaraComstock,,UC2IBUvBd51zgaE56fPcZeVA,2933760046,,repbarbaracomstock,
C001106,RepRyanCostello,CongressmanRyanCostello,,UCJzU_8Bwz1lUyP1qz84L5jw,2953922782,,RepRyanCostello,
C001107,RepCurbelo,repcurbelo,,UC6SRoWRNiv5U4a7ovRICwaw,2853309155,,repcurbelo,
C001108,,congressmancomer,,,,,congressmancomer,
C001109,RepLizCheney,replizcheney,,,816719802328715264,,,
C001110,reploucorrea,RepLouCorrea,,UCIKJJp4QJIDjnjodc23qKkw,815985039485837312,,,
C001111,repcharliecrist,RepCharlieCrist,,,816030424778543104,,repcharliecrist,
C001112,RepCarbajal,repsaludcarbajal,,,816157667882373120,repcarbajal,repcarbajal,
C001113,sencortezmasto,SenatorCortezMasto,,UCip_83SiKUqwnUT57VOXrCg,811313565760163844,,catherinecortezmastofornv,
D000096,RepDannyDavis,CongressmanDKDavis,,UCdhrT09_XMr31tuI8OcKsjQ,789244177,dannykdavis07,,
D000191,RepPeterDeFazio,RepPeterDeFazio,,UCIF3HunhsVgTv7L2grnq2Rg,252249233,PeterDeFazio,,
D000197,RepDianaDeGette,DianaDeGette,,UCWFQCRTHwsHg9P1Hf-EQtew,28599820,RepDianaDeGette,,
D000216,RosaDeLauro,CongresswomanRosaDeLauro,,UC9ROfGBm7kSLCEDYwFF6McQ,140519774,rosadelauro,,
D000399,RepLloydDoggett,lloyddoggett,,UCN-kiLKyHPcfRVZ28sAHS_g,153944899,doggett,replloyddoggett,
D000482,USRepMikeDoyle,usrepmikedoyle,,UCni9vINmgerEeVXhKCC9qbA,39249305,CongressmanDoyle,,
D000533,RepJohnDuncanJr,CongressmanDuncan,,UCCpcKqQfp9gVkeD1t7uYLKQ,1883356866,RepJohnDuncan,,
D000563,SenatorDurbin,SenatorDurbin,,UCkbixlNCxcKAffEhe3X5-lw,247334603,SenatorDurbin,,
D000598,RepSusanDavis,RepSusanDavis,,,432771620,,,
D000600,MarioDB,mdiazbalart,,UCpEEd0Plxx5D78pI4a4mFTQ,37094727,MarioDiazBalart,repmariodb,316477657
D000604,RepCharlieDent,CongressmanDent,,UCoC_r0R2M_74UVrH4A44awQ,242376736,CongressmanDent,,
D000607,SenDonnelly,senatordonnelly,,UC7H5Lz0BUaTRlWXk9QsIwsg,216503958,sendonnelly,sendonnelly,280911627
D000610,RepTedDeutch,CongressmanTedDeutch,,UC1JlTLRUDkzhM2htvI9QJTA,137794015,congressmanteddeutch,repteddeutch,
D000612,RepJeffDenham,RepJeffDenham,,UCm59PEM_tgTvhm5-wIfnrRg,248699486,repjeffdenham,repjeffdenham,380008060
D000613,RepDold,RepDold,,,245408102,,,
D000614,RepSeanDuffy,RepSeanDuffy,,UChq-eV2HnV7Kr2zmj0yua7g,234022257,RepSeanDuffy,repseanduffy,367550700
D000615,RepJeffDuncan,RepJeffDuncan,,UC1tuXL6ymImdpKYGEAH83QA,240393970,congjeffduncan,repjeffduncan,382897929
D000616,DesJarlaisTN04,ScottDesJarlaisTN04,,UCvjuSLoi3hS0ECQvJLhwOkA,235312723,ScottDesJarlaisTN04,desjarlaistn04,260930821
D000617,RepDelBene,RepDelBene,,UCd00b7TpKDZIr-Ujhaktvjg,995193054,,repdelbene,
D000618,SteveDaines,SteveDainesMT,,UC-ny-W5mEUGytiyMdXbQ20Q,11651202,SteveDainesMT,stevedaines,371125857
D000619,RodneyDavis,RepRodneyDavis,,UCiGPTfpwRxqQp0Bam5S8zwA,993153006,RepRodneyDavis,reprodneydavis,
D000620,RepJohnDelaney,congressmanjohndelaney,,UC-Sz2M53ZYi_8MvapFKZJiw,937723303,repjohndelaney,,
D000621,RepDeSantis,RepDeSantis,,UCRM1qBatq45tZxRqYeUa02g,1058807868,RepRonDeSantis,,
D000622,SenDuckworth,SenDuckworth,,UCYRWRvUxtjaHnFMCbdd94tg,1058520120,repduckworth,repduckworth,1387939090
D000623,RepDeSaulnier,RepMarkDeSaulnier,,,2968007206,,repdesaulnier,
D000624,RepDebDingell,RepDebbieDingell,,UCnoP3KLT-HOvzDfC1-I-9lQ,2970279814,,repdingell,
D000625,RepDanDonovan,RepDanDonovan,,UCT8-VskXvxCqDuSGzR5sWWg,3353670647,,,
D000626,WarrenDavidson,CongressmanWarrenDavidson,,UCMzuyZWzk44YRNesFzPTeUw,742735530287304704,,,
D000627,RepValDemings,RepresentativeValDemings,,UCkcshqwFNJG6XeduOforhig,798973032362606600,,repvaldemings,
D000628,drnealdunnfl2,drnealdunnfl2,,UCRTGfrYP-RuDzJ2KGok7TRA,815952318487298048,,,
E000179,RepEliotEngel,RepEliotLEngel,,UCZ-ctBF-a6CYPJWDoBV_JyA,164007407,engel2161,,
E000215,RepAnnaEshoo,RepAnnaEshoo,,UCjRvhco2d59GBgA78IIIaYQ,249348006,RepAnnaEshoo,RepAnnaEshoo,
E000285,SenatorEnzi,mikeenzi,,UCipEXEDAKVPj_B0cQjaikEA,291756142,senatorenzi,,
E000288,KeithEllison,Keith.Ellison,,UCR_QMi3wGy7xPUZxaIRi9QA,14135426,RepKeithEllison,,
E000290,RepDonnaEdwards,107297211756,107297211756,UCIz4aCNtg77Cg9U8v0JRCBA,82649553,RepDonnaFEdwards,,
E000291,RepReneeEllmers,reneeellmers,167641493275000,UCHlEm6WDK8UWn5STL_fZm_g,213634439,repreneeellmers,,
E000293,RepEsty,RepEsty,,UCJoc9OfUHVbx0Z7V055sbCA,1060984272,RepEsty,repesty,
E000294,RepTomEmmer,reptomemmer,,,2914515430,RepTomEmmer,reptomemmer,1565640999
E000295,SenJoniErnst,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,2856787757,,senjoniernst,1582702853
E000296,RepDwightEvans,RepDwightEvans,,,90639372,,,
E000297,RepEspaillat,RepEspaillat,,UCi0niBYFhEY70Dz8InbX5OQ,817076257770835968,,,
E000298,RepRonEstes,RepRonEstes,,,,,,
F000030,RepSamFarr,RepSamFarr,7018136294,UCoSsBwU28xzKM8lKeeHXEzQ,158398519,CongressmanSamFarr,RepSamFarr,
F000043,ChakaFattah,repfattah,165961823475034,UCkTfk-NcVzE1hk-svI6mclw,48086014,ChakaFattah,chakafattah,1560430361
F000062,SenFeinstein,senatorfeinstein,,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
F000372,USRepRodney,rfrelinghuysen,,UCePp5KwEKTtu3GM6gkVIkmg,1382011333,RepFrelinghuysen,usreprodney,
F000444,JeffFlake,senatorjeffflake,,UCPSnRxko_G21KzwgXmOZaeQ,16056306,flakeoffice,jeffflake,
F000445,Randy_Forbes,randyforbes,356330225020,UCf1z2I7fvtDFTTiV1962Olw,15160884,RepRandyForbes,,
F000448,RepTrentFranks,TrentFranks,,UCiCvsANemtLvJu7qA8EN89Q,24773493,RepTrentFranks,reptrentfranks,
F000449,JeffFortenberry,jefffortenberry,,UCbWUvw3gQhbFyJzt1Nh6cAA,18805303,JeffFortenberry,,
F000450,VirginiaFoxx,RepVirginiaFoxx,,UCggineJcxJn80TRXxdQbx6w,16256269,repvirginiafoxx,repvirginiafoxx,
F000451,RepFitzpatrick,RepFitzpatrick,132077153521454,UCyhzr8XFw5gpQfDx63YI8_Q,237944147,RepFitzpatrickPA8,,
F000454,RepBillFoster,CongressmanBillFoster,,UCicixINQr_-3cFHI2bJzFpQ,1080509366,RepBillFoster,,
F000455,RepMarciaFudge,RepMarciaLFudge,,UClmYIIhIcL-WwtBAy1Dhokg,153486399,marcialfudge,repmarciafudge,1395168201
F000456,RepFleming,repjohnfleming,372154186772,UCLr9rukyGH_m3fNkpYc4djg,84620376,larep04,,
F000457,SenFranken,senatoralfranken,,UCMFNp5ybWmz6IlSXmPacTOw,171968009,SenatorFranken,,
F000458,RepFincherTN08,RepFincherTN08,128861763849209,UCDOY7qdLPB7nQuQSWrQPalw,249219716,CongressmanFincher,RepFincherTN08,
F000459,RepChuck,repchuck,,UCTtRrJkM-R-f2K0byCMvHgw,235190657,repchuck,,
F000460,Farenthold,BlakeFarenthold,,UC-xQNCjaivVnqozyXtjcqww,17896154,BlakeFarenthold,Farenthold,
F000461,RepBillFlores,RepBillFlores,,UCA7MgQ_ccBlCqoxV56B6nmA,237312687,RepBillFlores,repbillflores,
F000462,RepLoisFrankel,RepLoisFrankel,,UCEk5viAhxaW_2OK20-yBwzQ,1077121945,reploisfrankel,reploisfrankel,
F000463,SenatorFischer,senatordebfischer,,UCrbEfZaG_WhB0PBHI1hefPQ,1071402577,senatordebfischer,senatorfischer,
F000464,RepJohnFaso,RepJohnFaso,,,815931811348017152,,RepJohnFaso,
F000465,RepDrewFerguson,RepDrewFerguson,,UCuK7_j2sREWi_7wBAN477bg,806583915012046854,,repdrewferguson,
F000466,repbrianfitz,repbrianfitzpatrick,,UCYMNcgHss4_Q5JY2vSvMpgw,816303263586914304,,repbrianfitz,
G000289,RepGoodlatte,BobGoodlatte,,UCvjZ1XhXidxiyfm2ICEbNKg,37920978,RepBobGoodlatte,bobgoodlatte,
G000359,GrahamBlog,USSenatorLindseyGraham,,UClLGZMA5Ei2Z8fR1PLEx6yQ,14845376,USSenLindseyGraham,,
G000377,RepKayGranger,RepKayGranger,,UCsRMtemAkyLh78MPES6gMVQ,161743731,RepKayGranger,,
G000386,ChuckGrassley,grassley,,UCiCPRkcLMInpDeOqGkMTt4w,10615232,senchuckgrassley,senatorchuckgrassley,
G000410,RepGeneGreen,RepGeneGreen,,UCc6B7e8ontd_yKsPt_6w2oA,111635527,RepGeneGreen,,
G000535,RepGutierrez,RepGutierrez,,UCLooufcInrRP1FQn_WY9yDA,36948268,repluisgutierrez,,
G000546,RepSamGraves,118514606128,,,29766367,,,
G000548,RepGarrett,repscottgarrett,6756553401,UC5DG4Otnhpd3ZnUiEairZTg,960696949,repscottgarrett,repscottgarrett,367865919
G000551,RepraulGrijalva,Rep.Grijalva,,UC8JZLnXS21bhNbcvpoM8O7g,28602948,raulgrijalvaaz07,,
G000552,RepLouieGohmert,50375006903,,UC0HMa6X3iMhMq96kkRLLTog,22055226,GohmertTX01,,
G000553,RepAlGreen,repalgreen,,UCFtgMZm1YUXaZ8OtOj-GDjA,156333623,RepAlGreen,,
G000555,SenGillibrand,SenKirstenGillibrand,,UCVEloQogVsmnkd5vxJInmYg,72198806,KirstenEGillibrand,,
G000556,,,,UCWjNmgE01hGoME_jkj6VpRQ,,,,
G000558,RepGuthrie,CongressmanGuthrie,,UCdJhDw-YbdH0RHfWK0sIfiw,1908143071,BrettGuthrie,,
G000559,RepGaramendi,repgaramendi,,UCRym1qsO72C39gX6pBu4icg,88806753,garamendiCA10,,
G000560,RepTomGraves,reptomgraves,,UCBxeA4MWCmfUox57bUTEH0g,190328374,CongressmanGraves,reptomgraves,241591770
G000562,SenCoryGardner,SenCoryGardner,,UC7Vi5vAFb7piu_BNwrYDBxQ,235217558,,sencorygardner,1643152643
G000563,RepBobGibbs,RepBobGibbs,,UC4J-kVbeE32Up-b_wTLEUmA,234822928,RepBobGibbs,repbobgibbs,
G000564,RepChrisGibson,RepChrisGibson,190238567659779,UCby83MnVnhenAV8F7vZkf-w,234937222,repchrisgibson,,
G000565,RepGosar,repgosar,,UC5orqw_9acsKWSRbrqTDXBw,240760644,repgosar,,
G000566,TGowdySC,RepTreyGowdy,,UCVvxvugtuNZSygB4z4aVfsg,237348797,TGowdySC,tgowdysc,
G000568,RepMGriffith,RepMorganGriffith,,UCzxqD7EY_Rdvbc0spbaYkJA,234057152,RepMorganGriffith,hmorgangriffith,
G000570,RepFrankGuinta,repfrankguinta,,,236960387,,,
G000571,TulsiPress,RepTulsiGabbard,,UCkQmC0YfIU4388Tu0_k4esA,1064206014,tulsipress,,
G000574,RepRubenGallego,RepRubenGallego,,,2966570782,,reprubengallego,
G000575,RepGwenGraham,repgwengraham,,,2962681881,,,
G000576,RepGrothman,RepGrothman,,UCui4k83Cot4aeVW_8T33fgg,2976606250,,,
G000577,RepGarretGraves,CongressmanGarretGraves,,UCQLg9GGwTDluEFJtXf8seTA,2951574214,,instagravesla,
G000578,RepMattGaetz,CongressmanMattGaetz,,UClqXcJew_A3s8qiX-T4a9CA,818948638890217473,,Congressman_Matt_Gaetz,
G000579,RepGallagher,RepMikeGallagher,,,815966620300480514,,,
G000580,RepTomGarrett,congressman-Tom-Garrett-1835767753333490,,UC_lWS6tnQPcBPlmD2e99zKw,818460870573441028,,,
G000581,RepGonzalez,USCongressmanVicenteGonzalez,,UC5H6oYLKQ_xIXO5CG7fh4hw,818536152588238849,,repvicentegonzaleztx,
G000582,repjenniffer,RepJennifferGonzalezColon,,UCZj99h3-GNKjGGeyp7AJeXw,819744763020775425,,,
G000583,RepJoshG,RepJoshG,,,815310506596691968,,RepJoshG,
G000585,RepJimmyGomez,RepJimmyGomez,,,2371339658,,,
