id,name__it,name__fr,name__en,name__de,name,wikipedia__it,image,gender,birth_date,given_name,identifier__italian_cod,original_wikiname,wikipedia__itwikiquote,identifier__VIAF,identifier__SBN_it,name__nb,name__da,name__nn,name__sv,name__nl,family_name,name__pl,name__es,name__hu,wikipedia__en,wikipedia__fr,wikipedia__pl,identifier__freebase,identifier__openpolis,wikipedia__commons,name__ro,wikipedia__ro,identifier__EuroparlMEP,name__la,wikipedia__de,wikipedia__la,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__eo,name__fi,website,twitter,facebook,name__ar,wikipedia__ar,name__scn,wikipedia__scn,name__ca,name__cs,name__et,name__hr,name__lt,name__pt,name__sk,name__sl,wikipedia__nl,name__ru,name__fa,name__el,wikipedia__ca,wikipedia__es,wikipedia__fa,wikipedia__ru,identifier__GND,instagram,name__lmo,wikipedia__lmo,identifier__IMDB,name__uk,wikipedia__eo,wikipedia__uk,identifier__GTAA,wikipedia__pt,name__vec,wikipedia__vec,name__oc,name__tw,name__cy,name__ga,name__eu,name__az,name__id,name__eml,name__pms,name__de_ch,name__en_ca,name__en_gb,name__ext,name__is,name__lb,name__pt_br,name__sq,name__sco,name__co,name__an,name__io,name__ay,name__gl,name__ie,name__nds_nl,name__tr,name__tl,name__lij,name__nap,name__rm,name__pcd,name__mwl,name__wa,name__ast,name__lad,name__fy,name__fo,name__gsw,name__roa_tara,name__cbk_zam,name__sc,name__diq,name__war,name__br,name__lv,name__ja,name__ko,name__zh,wikipedia__als,wikipedia__an,wikipedia__ast,wikipedia__ay,wikipedia__az,wikipedia__br,wikipedia__cbk_zam,wikipedia__co,wikipedia__cy,wikipedia__diq,wikipedia__eml,wikipedia__eu,wikipedia__ext,wikipedia__fi,wikipedia__fo,wikipedia__fy,wikipedia__ga,wikipedia__gl,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__ja,wikipedia__ko,wikipedia__lad,wikipedia__lb,wikipedia__lij,wikipedia__lv,wikipedia__mwl,wikipedia__nap,wikipedia__nds_nl,wikipedia__no,wikipedia__oc,wikipedia__pcd,wikipedia__pms,wikipedia__roa_tara,wikipedia__sco,wikipedia__sc,wikipedia__sq,wikipedia__sv,wikipedia__tl,wikipedia__tr,wikipedia__tw,wikipedia__war,wikipedia__wa,wikipedia__zh,wikipedia__da,wikipedia__sl,identifier__Munzinger,wikipedia__el,identifier__BNE,identifier__NTA,identifier__BAV,identifier__NUKAT,name__be,name__he,name__ml,name__mr,name__vi,name__bg,name__nds,name__sr,name__lo,name__sh,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__et,wikipedia__he,wikipedia__hu,wikipedia__itwikinews,wikipedia__lo,wikipedia__lt,wikipedia__ml,wikipedia__mr,wikipedia__nds,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__vi,identifier__NLA,identifier__NKC,identifier__CANTIC,identifier__parlement,identifier__FAST,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__hy,wikipedia__hy,name__ckb,name__ka,name__nan,wikipedia__ckb,wikipedia__enwikiquote,wikipedia__ka,wikipedia__zh_min_nan,identifier__Britannica,name__mk,wikipedia__mk,wikipedia__nn,name__be_tarask,wikipedia__be_x_old,wikipedia__cawikiquote,wikipedia__fiwikiquote,wikipedia__frwikiquote,wikipedia__ptwikiquote,wikipedia__slwikiquote,identifier__AlloCine,identifier__allmovie,wikipedia__itwikisource,wikipedia__dewikiquote,wikipedia__hr,identifier__NLAtrove,name__af,name__bs,name__ceb,wikipedia__cswikiquote,identifier__youtube,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__treccani,wikipedia__frwikinews,name__ia,name__nov,name__mt,name__vro,wikipedia__fiu_vro,wikipedia__ia,wikipedia__mt,wikipedia__nov,electoral_district,identifier__dialnet,identifier__NLI,identifier__google_plus,death_date,identifier__PACE,email,linkedin,identifier__britishmuseum,identifier__google_knowledge,name__bar,name__de_at,name__egl,name__frp,name__fur,name__gd,name__kg,name__li,name__mg,name__min,name__ms,name__nrm,name__sr_el,name__sw,name__vls,name__vo,name__wo,name__zu,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,occupation,identifier__GNC,identifier__flickr,name__ace,name__jv,name__su,wikipedia__bewikiquote,wikipedia__th,name__th,name__hsb,name__dsb,name__pfl,name__frr,name__xmf,wikipedia__xmf,identifier__quora,wikipedia__azb,name__azb,name__or,wikipedia__my,name__my,name__tt,identifier__ioc_athlete,wikipedia__bn,wikipedia__ukwikiquote,name__bn,identifier__PTBNP,identifier__BIBSYS,wikipedia__am,name__am,identifier__NDL,identifier__NLP,name__als,identifier__bigenc_ru,wikipedia__li,wikipedia__uz,wikipedia__jv,name__uz,name__lfn,wikipedia__af,identifier__NSK,noble_title,identifier__CONOR,name__ur
Q15300740,Paolo Petrini,Paolo Petrini,Paolo Petrini,Paolo Petrini,Paolo Petrini,Paolo Petrini,https://upload.wikimedia.org/wikipedia/commons/7/71/Paolo_Petrini_daticamera.jpg,male,1963-07-12,Paolo,305778,Paolo Petrini,,,,,,,,Paolo Petrini,Petrini,,,,,,,,4889,Category:Paolo Petrini,,,,,,,,,,,,,http://www.camera.it/leg17/29?idLegislatura=17&shadow_deputato=305778,PaoloPetrini,conpetrini,,,,,,,,,,,,Paolo Petrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15303101,Paolo Vella,Paolo Vella,Paolo Vella,Paolo Vella,Paolo Vella,Paolo Vella,https://upload.wikimedia.org/wikipedia/commons/8/86/Paolo_Vella_daticamera.jpg,male,1950-04-25,Paolo,302977,Paolo Vella,,,,,,,,Paolo Vella,Vella,,,Paolo Vella,,,,,332942,Category:Paolo Vella,,,,,,,,,,,,,http://www.camera.it/leg17/29?tipoAttivita=&tipoVisAtt=&tipoPersona=&shadow_deputato=302977&idLegislatura=17,vellapaolo1,,,,,,,,,,,,,Paolo Vella,,"Велла, Паоло",,,,,,"Велла, Паоло",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15303116,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,https://upload.wikimedia.org/wikipedia/commons/1/12/Pasquale_Maietta_daticamera.jpg,male,1971-08-04,Pasquale,306310,Pasquale Maietta,,,,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,,,,,363415,Category:Pasquale Maietta,Pasquale Maietta,,,,,,,,,,Pasquale Maietta,Pasquale Maietta,http://www.camera.it/leg17/29?shadow_deputato=306310&idpersona=306310&idlegislatura=17,PASQUALEMAIETT1,pasquale.maietta.9849,,,,,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,,,,,,,,,,,Pasquale Maietta,,,,,,,,Pasquale Maietta,,,,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,,,,Pasquale Maietta,,,,,Pasquale Maietta,Pasquale Maietta,,Pasquale Maietta,,,Pasquale Maietta,,,Pasquale Maietta,,Pasquale Maietta,Pasquale Maietta,,,,,,,Pasquale Maietta,,,,,Pasquale Maietta,,,,,,Pasquale Maietta,,パスクアーレ・マイエッタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasquale Maietta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasquale Maietta,Pasquale Maietta,Pasquale Maietta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15303867,Patrizia Maestri,Patrizia Maestri,Patrizia Maestri,Patrizia Maestri,Patrizia Maestri,Patrizia Maestri,https://upload.wikimedia.org/wikipedia/commons/b/b2/Patrizia_Maestri_daticamera.jpg,female,1954-05-30,Patrizia,305742,Patrizia Maestri,,,,,,,,Patrizia Maestri,Maestri,,,,,,,,686203,Category:Patrizia Maestri,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=305742&idLegislatura=17,MaestriPatrizia,patrizia.maestri.7,,,,,,,,,,,,Patrizia Maestri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15303870,Patrizia Terzoni,Patrizia Terzoni,Patrizia Terzoni,Patrizia Terzoni,Patrizia Terzoni,Patrizia Terzoni,https://upload.wikimedia.org/wikipedia/commons/9/9f/Patrizia_Terzoni_daticamera.jpg,female,1982-10-05,Patrizia,305792,Patrizia Terzoni,,,,,,,,Patrizia Terzoni,,,,,,,,,686433,Category:Patrizia Terzoni,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=305792&idLegislatura=17,PatriziaTerzoni,,,,,,,,,,,,,Patrizia Terzoni,,"Терцони, Патриция",,,,,,"Терцони, Патриция",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15349372,Paola Bragantini,Paola Bragantini,Paola Bragantini,Paola Bragantini,Paola Bragantini,Paola Bragantini,https://upload.wikimedia.org/wikipedia/commons/7/72/Paola_Bragantini_daticamera.jpg,female,1974-06-25,Paola,305545,Paola Bragantini,,,,,,,,Paola Bragantini,,,,,,,,,685910,Category:Paola Bragantini,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=305545&idLegislatura=17,PaolaBragantini,paola.bragantini.pd,,,,,,,,,,,,Paola Bragantini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15402984,Piergiorgio Carrescia,Piergiorgio Carrescia,Piergiorgio Carrescia,Piergiorgio Carrescia,Piergiorgio Carrescia,Piergiorgio Carrescia,https://upload.wikimedia.org/wikipedia/commons/4/4a/Piergiorgio_Carrescia_daticamera.jpg,male,1957-01-20,Piergiorgio,305776,Piergiorgio Carrescia,,,,,,,,Piergiorgio Carrescia,,,,,,,,,686423,Category:Piergiorgio Carrescia,,,,,,,,,,,,,,PgCarrescia,Piergiorgio-Carrescia-in-Parlamento-386116131515033,,,,,,,,,,,,Piergiorgio Carrescia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15402999,Pierpaolo Vargiu,Pierpaolo Vargiu,Pierpaolo Vargiu,Pierpaolo Vargiu,Pierpaolo Vargiu,Pierpaolo Vargiu,https://upload.wikimedia.org/wikipedia/commons/c/cf/Pierpaolo_Vargiu_daticamera.jpg,male,1957-07-21,Pierpaolo,306025,Pierpaolo Vargiu,,,,,,,,Pierpaolo Vargiu,,,,,,,,,275037,Category:Pierpaolo Vargiu,,,,,,,,,,,,,,pierpaolovargiu,,,,,,,,,,,,,Pierpaolo Vargiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15465052,Renzo Carella,Renzo Carella,Renzo Carella,Renzo Carella,Renzo Carella,Renzo Carella,https://upload.wikimedia.org/wikipedia/commons/b/b3/Renzo_Carella_daticamera.jpg,male,1951-08-09,Renzo,302792,Renzo Carella,,,,,,,,Renzo Carella,Carella,,,,,Renzo Carella,,,313306,Category:Renzo Carella,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=302792&idLegislatura=17,,renzo.carella.5,,,,,,,,,,,,Renzo Carella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15465677,Riccardo Gallo,Riccardo Gallo,Riccardo Gallo,Riccardo Gallo,Riccardo Gallo,Riccardo Gallo,https://upload.wikimedia.org/wikipedia/commons/d/d5/Riccardo_Antonio_Gallo_Afflitto_daticamera.jpg,male,1967-10-30,Riccardo,306033,Riccardo Gallo,,,,,,,,Riccardo Gallo,Gallo,,,,,,,,388995,Category:Riccardo Gallo,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=306033&idpersona=306033&idlegislatura=17,,,ريكآردو غالو,,,,,,,,,,,Riccardo Gallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15479302,Roberto Caon,Roberto Caon,Roberto Caon,Roberto Caon,Roberto Caon,Roberto Caon,https://upload.wikimedia.org/wikipedia/commons/e/e1/Roberto_Caon_daticamera.jpg,male,1963-12-08,Roberto,305632,Roberto Caon,,,,,,,,Roberto Caon,,,,,,,,,345364,Category:Roberto Caon,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=305632&idpersona=305632&idlegislatura=17,Roberto__Caon,caonleganord1,,,,,,,,,,,,Roberto Caon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15479309,Roberto Capelli,Roberto Capelli,Roberto Capelli,Roberto Capelli,Roberto Capelli,Roberto Capelli,https://upload.wikimedia.org/wikipedia/commons/5/56/Roberto_Capelli_daticamera.jpg,male,1957-04-18,Roberto,306066,Roberto Capelli,,,,,,,,Roberto Capelli,Capelli,,,,,Roberto Capelli,,,81211,Category:Roberto Capelli,,,,,,,,,,,,,,,la.pecora.nera,,,,,,,,,,,,Roberto Capelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15479523,Roberto Marti,Roberto Marti,Roberto Marti,Roberto Marti,Roberto Marti,Roberto Marti,https://upload.wikimedia.org/wikipedia/commons/f/f2/Roberto_Marti_daticamera.jpg,male,1974-06-11,Roberto,305968,Roberto Marti,,,,,,,,Roberto Marti,Marti,,,,,,,,68256,Category:Roberto Marti,,,,,,,,,,,,,,,roberto.marti.54,,,,,,,,,,,,Roberto Marti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15479551,Roberto Rampi,Roberto Rampi,Roberto Rampi,Roberto Rampi,Roberto Rampi,Roberto Rampi,https://upload.wikimedia.org/wikipedia/commons/6/60/Rampi_foto.jpg,male,1977-09-17,Roberto,306204,Roberto Rampi,,,,,,,,Roberto Rampi,,,,,,,,,325708,Category:Roberto Rampi,,,,,,,,,,,,,http://www.senato.it/leg/18/BGT/Schede/Attsen/00029552.htm,,,,,,,,,,,,,,Roberto Rampi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15535050,Roger De Menech,Roger De Menech,Roger De Menech,Roger De Menech,Roger De Menech,Roger De Menech,https://upload.wikimedia.org/wikipedia/commons/4/44/Roger_De_Menech_daticamera.jpg,male,1973-03-14,Roger,305656,Roger De Menech,,,,,,,,Roger De Menech,,,,,,,,,23078,Category:Roger De Menech,,,,,,,,,,,,,http://www.camera.it/leg17/29?tipoAttivita=&tipoVisAtt=&tipoPersona=&shadow_deputato=305656&idLegislatura=17,RogerDeMenech,roger.demenech.5,,,,,,,,,,,,Roger De Menech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15535221,Romina Mura,Romina Mura,Romina Mura,Romina Mura,Romina Mura,Romina Mura,https://upload.wikimedia.org/wikipedia/commons/a/a0/Romina_Mura_daticamera_2018.jpg,female,1970-05-21,Romina,306053,Romina Mura,,,,,,,,Romina Mura,Mura,,,,,,,,34758,Category:Romina Mura,,,,,,,,,,,,,http://www.camera.it/leg18/29?tipoAttivita=&tipoVisAtt=&tipoPersona=&shadow_deputato=306053&idLegislatura=18,RominaMura,romina.mura,,,,,,,,,,,,Romina Mura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romina Mura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15535578,Rosanna Scopelliti,Rosanna Scopelliti,Rosanna Scopelliti,Rosanna Scopelliti,Rosanna Scopelliti,Rosanna Scopelliti,https://upload.wikimedia.org/wikipedia/commons/b/b2/Rosanna_Scopelliti_daticamera.jpg,female,1983-11-12,Rosanna,306156,Rosanna Scopelliti,,,,,,,,Rosanna Scopelliti,Scopelliti,,,,,,,,685790,Category:Rosanna Scopelliti,,,,,,,,,,,,,http://www.rosannascopelliti.it/,ScopelliTweet,rosannascopelliti.ufficiale,,,,,,,,,,,,Rosanna Scopelliti,,"Скопеллити, Розанна",,,,,,"Скопеллити, Розанна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15585013,Salvatore Capone,Salvatore Capone,Salvatore Capone,Salvatore Capone,Salvatore Capone,Salvatore Capone,https://upload.wikimedia.org/wikipedia/commons/9/90/Salvatore_Capone_daticamera.jpg,male,1967-04-25,Salvatore,305929,Salvatore Capone,,,,,,,,Salvatore Capone,Capone,,,,,,,,7298,Category:Salvatore Capone,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=305929&idpersona=305929&idlegislatura=17,,Salvatore-Capone-394598490633227,,,,,,,,,,,,Salvatore Capone,,,,,,,,,,,,,,Сальваторе Капоне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15585150,Salvatore Matarrese,Salvatore Matarrese,Salvatore Matarrese,Salvatore Matarrese,Salvatore Matarrese,Salvatore Matarrese (1962),https://upload.wikimedia.org/wikipedia/commons/e/ec/Salvatore_Matarrese_daticamera.jpg,male,1962-04-30,Salvatore,305830,Salvatore Matarrese (1962),,,,,,,,Salvatore Matarrese,Matarrese,,,,,,,,686489,Category:Salvatore Matarrese,,,,,Salvatore Matarrese,,,,,,,,http://www.camera.it/leg17/29?idLegislatura=17&shadow_deputato=305830,s_matarrese,salvatore.matarrese.12,,,,,,,,,,,,Salvatore Matarrese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salvatore-matarrese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15585159,Salvatore Micillo,Salvatore Micillo,Salvatore Micillo,Salvatore Micillo,Salvatore Micillo,Salvatore Micillo,https://upload.wikimedia.org/wikipedia/commons/3/39/Salvatore_Micillo_daticamera.jpg,male,1980-02-20,Salvatore,305894,Salvatore Micillo,,,,,,,,Salvatore Micillo,,,,,,Salvatore Micillo,,,685893,Category:Salvatore Micillo,,,,,,,,,,,,,,micillom5s,salvatore.salvio,,,,,,,,,,,,Salvatore Micillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
