end_date,election_list,id,birth_date,start_date,name,source,group,area,gender,term,email,area_id,image
"",IL POPOLO DELLA LIBERTA',300296,1962-04-23,"",MILANATO Lorena,http://www.camera.it/leg17/29?shadow_deputato=300296&idpersona=300296&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,VENETO 1,female,17,MILANATO_L@CAMERA.IT,VII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/296/original_d300296.jpg
"",PARTITO DEMOCRATICO,300304,1955-05-01,"",REALACCI Ermete,http://www.camera.it/leg17/29?shadow_deputato=300304&idpersona=300304&idlegislatura=17,PARTITO DEMOCRATICO,LOMBARDIA 2,male,17,REALACCI_E@CAMERA.IT,IV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/304/original_d300304.jpg
"",IL POPOLO DELLA LIBERTA',300306,1968-12-28,"",SANTELLI Jole,http://www.camera.it/leg17/29?shadow_deputato=300306&idpersona=300306&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,CALABRIA,female,17,SANTELLI_J@CAMERA.IT,XXIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/306/original_d300306.jpg
2013-04-03,FRATELLI D'ITALIA,300319,1964-05-22,"",CIRIELLI Edmondo,http://www.camera.it/leg17/29?shadow_deputato=300319&idpersona=300319&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,CAMPANIA 2,male,17,CIRIELLI_E@CAMERA.IT,XX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/319/original_d300319.jpg
"",FRATELLI D'ITALIA,300319,1964-05-22,2013-04-03,CIRIELLI Edmondo,http://www.camera.it/leg17/29?shadow_deputato=300319&idpersona=300319&idlegislatura=17,FRATELLI D'ITALIA-ALLEANZA NAZIONALE,CAMPANIA 2,male,17,CIRIELLI_E@CAMERA.IT,XX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/319/original_d300319.jpg
2013-06-11,PARTITO DEMOCRATICO,300327,1951-05-20,"",DI GIOIA Lello,http://www.camera.it/leg17/29?shadow_deputato=300327&idpersona=300327&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,SARDEGNA,male,17,DIGIOIA_LELLO@CAMERA.IT,XXVI,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/327/original_d300327.jpg
"",PARTITO DEMOCRATICO,300327,1951-05-20,2013-06-11,DI GIOIA Lello,http://www.camera.it/leg17/29?shadow_deputato=300327&idpersona=300327&idlegislatura=17,MISTO - PARTITO SOCIALISTA ITALIANO (PSI) - LIBERALI PER L'ITALIA (PLI),SARDEGNA,male,17,DIGIOIA_LELLO@CAMERA.IT,XXVI,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/327/original_d300327.jpg
"",PARTITO DEMOCRATICO,300332,1960-12-17,"",IANNUZZI Tino,http://www.camera.it/leg17/29?shadow_deputato=300332&idpersona=300332&idlegislatura=17,PARTITO DEMOCRATICO,CAMPANIA 2,male,17,IANNUZZI_B@CAMERA.IT,XX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/332/original_d300332.jpg
2015-09-23,IL POPOLO DELLA LIBERTA',300369,1964-12-24,"",ROMANO Francesco Saverio,http://www.camera.it/leg17/29?shadow_deputato=300369&idpersona=300369&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,SICILIA 1,male,17,ROMANO_F@CAMERA.IT,XXIV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/369/original_d300369.jpg
2015-09-24,IL POPOLO DELLA LIBERTA',300369,1964-12-24,2015-09-23,ROMANO Francesco Saverio,http://www.camera.it/leg17/29?shadow_deputato=300369&idpersona=300369&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,SICILIA 1,male,17,ROMANO_F@CAMERA.IT,XXIV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/369/original_d300369.jpg
"",IL POPOLO DELLA LIBERTA',300369,1964-12-24,2015-09-24,ROMANO Francesco Saverio,http://www.camera.it/leg17/29?shadow_deputato=300369&idpersona=300369&idlegislatura=17,MISTO - ALLEANZA LIBERALPOPOLARE AUTONOMIE ALA-MAIE-MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO,SICILIA 1,male,17,ROMANO_F@CAMERA.IT,XXIV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/369/original_d300369.jpg
2013-11-18,IL POPOLO DELLA LIBERTA',300378,1963-07-12,"",ALFANO Gioacchino,http://www.camera.it/leg17/29?shadow_deputato=300378&idpersona=300378&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,CAMPANIA 1,male,17,ALFANO_G@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/378/original_d300378.jpg
"",IL POPOLO DELLA LIBERTA',300378,1963-07-12,2013-11-18,ALFANO Gioacchino,http://www.camera.it/leg17/29?shadow_deputato=300378&idpersona=300378&idlegislatura=17,AREA POPOLARE (NCD-UDC),CAMPANIA 1,male,17,ALFANO_G@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/378/original_d300378.jpg
2013-04-03,FRATELLI D'ITALIA,300392,1955-11-29,"",TAGLIALATELA Marcello,http://www.camera.it/leg17/29?shadow_deputato=300392&idpersona=300392&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,CAMPANIA 1,male,17,TAGLIALATELA_M@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/392/original_d300392.jpg
"",FRATELLI D'ITALIA,300392,1955-11-29,2013-04-03,TAGLIALATELA Marcello,http://www.camera.it/leg17/29?shadow_deputato=300392&idpersona=300392&idlegislatura=17,FRATELLI D'ITALIA-ALLEANZA NAZIONALE,CAMPANIA 1,male,17,TAGLIALATELA_M@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/392/original_d300392.jpg
2013-11-18,IL POPOLO DELLA LIBERTA',300398,1958-06-14,"",CASERO Luigi,http://www.camera.it/leg17/29?shadow_deputato=300398&idpersona=300398&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 1,male,17,CASERO_L@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/398/original_d300398.jpg
"",IL POPOLO DELLA LIBERTA',300398,1958-06-14,2013-11-18,CASERO Luigi,http://www.camera.it/leg17/29?shadow_deputato=300398&idpersona=300398&idlegislatura=17,AREA POPOLARE (NCD-UDC),LOMBARDIA 1,male,17,CASERO_L@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/398/original_d300398.jpg
"",PARTITO DEMOCRATICO,300410,1956-08-04,"",BURTONE Giovanni Mario Salvino,http://www.camera.it/leg17/29?shadow_deputato=300410&idpersona=300410&idlegislatura=17,PARTITO DEMOCRATICO,SICILIA 2,male,17,BURTONE_G@CAMERA.IT,XXV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/410/original_d300410.jpg
2014-10-07,PARTITO DEMOCRATICO,300420,1950-06-03,2014-09-26,LOLLI Giovanni,http://www.camera.it/leg17/29?shadow_deputato=300420&idpersona=300420&idlegislatura=17,PARTITO DEMOCRATICO,ABRUZZO,male,17,"",XVII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/420/original_d300420.jpg
2013-11-18,IL POPOLO DELLA LIBERTA',300431,1970-10-31,"",ALFANO Angelino,http://www.camera.it/leg17/29?shadow_deputato=300431&idpersona=300431&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,PIEMONTE 1,male,17,ALFANO_A@CAMERA.IT,I,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/431/original_d300431.jpg
"",IL POPOLO DELLA LIBERTA',300431,1970-10-31,2013-11-18,ALFANO Angelino,http://www.camera.it/leg17/29?shadow_deputato=300431&idpersona=300431&idlegislatura=17,AREA POPOLARE (NCD-UDC),PIEMONTE 1,male,17,ALFANO_A@CAMERA.IT,I,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/431/original_d300431.jpg
"",IL POPOLO DELLA LIBERTA',300439,1963-11-09,"",FONTANA Gregorio,http://www.camera.it/leg17/29?shadow_deputato=300439&idpersona=300439&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 2,male,17,FONTANA_G@CAMERA.IT,IV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/439/original_d300439.jpg
"",IL POPOLO DELLA LIBERTA',300442,1958-05-22,"",LAINATI Giorgio,http://www.camera.it/leg17/29?shadow_deputato=300442&idpersona=300442&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LIGURIA,male,17,LAINATI_G@CAMERA.IT,X,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/442/original_d300442.jpg
2013-11-18,IL POPOLO DELLA LIBERTA',300447,1959-10-03,"",LUPI Maurizio,http://www.camera.it/leg17/29?shadow_deputato=300447&idpersona=300447&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 1,male,17,LUPI_M@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/447/original_d300447.jpg
"",IL POPOLO DELLA LIBERTA',300447,1959-10-03,2013-11-18,LUPI Maurizio,http://www.camera.it/leg17/29?shadow_deputato=300447&idpersona=300447&idlegislatura=17,AREA POPOLARE (NCD-UDC),LOMBARDIA 1,male,17,LUPI_M@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/447/original_d300447.jpg
"",IL POPOLO DELLA LIBERTA',300453,1961-02-14,"",PALMIERI Antonio,http://www.camera.it/leg17/29?shadow_deputato=300453&idpersona=300453&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 2,male,17,PALMIERI_A@CAMERA.IT,IV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/453/original_d300453.jpg
"",IL POPOLO DELLA LIBERTA',300459,1951-03-18,"",ROMELE Giuseppe,http://www.camera.it/leg17/29?shadow_deputato=300459&idpersona=300459&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 2,male,17,ROMELE_G@CAMERA.IT,IV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/459/original_d300459.jpg
"",PARTITO DEMOCRATICO,300480,1961-04-24,"",GIACHETTI Roberto,http://www.camera.it/leg17/29?shadow_deputato=300480&idpersona=300480&idlegislatura=17,PARTITO DEMOCRATICO,LAZIO 1,male,17,GIACHETTI_R@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/480/original_d300480.jpg
"",PARTITO DEMOCRATICO,300483,1968-08-27,"",MARTELLA Andrea,http://www.camera.it/leg17/29?shadow_deputato=300483&idpersona=300483&idlegislatura=17,PARTITO DEMOCRATICO,VENETO 2,male,17,MARTELLA_A@CAMERA.IT,VIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/483/original_d300483.jpg
2013-03-21,CENTRO DEMOCRATICO,300541,1954-06-10,"",FORMISANO Aniello,http://www.camera.it/leg17/29?shadow_deputato=300541&idpersona=300541&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,CAMPANIA 1,male,17,FORMISANO_ANIELLO@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/541/original_d300541.jpg
2014-10-30,CENTRO DEMOCRATICO,300541,1954-06-10,2013-03-21,FORMISANO Aniello,http://www.camera.it/leg17/29?shadow_deputato=300541&idpersona=300541&idlegislatura=17,MISTO - CENTRO DEMOCRATICO,CAMPANIA 1,male,17,FORMISANO_ANIELLO@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/541/original_d300541.jpg
2015-11-30,CENTRO DEMOCRATICO,300541,1954-06-10,2014-10-30,FORMISANO Aniello,http://www.camera.it/leg17/29?shadow_deputato=300541&idpersona=300541&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,CAMPANIA 1,male,17,FORMISANO_ANIELLO@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/541/original_d300541.jpg
"",CENTRO DEMOCRATICO,300541,1954-06-10,2015-11-30,FORMISANO Aniello,http://www.camera.it/leg17/29?shadow_deputato=300541&idpersona=300541&idlegislatura=17,MISTO - USEI (UNIONE SUDAMERICANA EMIGRATI ITALIANI),CAMPANIA 1,male,17,FORMISANO_ANIELLO@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/541/original_d300541.jpg
"",PARTITO DEMOCRATICO,300558,1960-02-15,"",RIGONI Andrea,http://www.camera.it/leg17/29?shadow_deputato=300558&idpersona=300558&idlegislatura=17,PARTITO DEMOCRATICO,TOSCANA,male,17,RIGONI_A@CAMERA.IT,XII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/558/original_d300558.jpg
"",PARTITO DEMOCRATICO,300637,1954-11-22,"",GENTILONI SILVERI Paolo,http://www.camera.it/leg17/29?shadow_deputato=300637&idpersona=300637&idlegislatura=17,PARTITO DEMOCRATICO,LAZIO 1,male,17,GENTILONI_P@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/637/original_d300637.jpg
"",IL POPOLO DELLA LIBERTA',300639,1961-04-07,"",GARNERO SANTANCHE' Daniela,http://www.camera.it/leg17/29?shadow_deputato=300639&idpersona=300639&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 3,female,17,GARNEROSANTANCHE_D@CAMERA.IT,V,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/639/original_d300639.jpg
"",PARTITO DEMOCRATICO,300674,1968-07-28,"",ROSATO Ettore,http://www.camera.it/leg17/29?shadow_deputato=300674&idpersona=300674&idlegislatura=17,PARTITO DEMOCRATICO,FRIULI-VENEZIA GIULIA,male,17,ROSATO_E@CAMERA.IT,IX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/674/original_d300674.jpg
2014-09-26,PARTITO DEMOCRATICO,300879,1959-01-06,"",LEGNINI Giovanni,http://www.camera.it/leg17/29?shadow_deputato=300879&idpersona=300879&idlegislatura=17,PARTITO DEMOCRATICO,ABRUZZO,male,17,"",XVII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/879/original_d300879.jpg
"",PARTITO DEMOCRATICO,301056,1962-02-17,"",GIACOMELLI Antonello,http://www.camera.it/leg17/29?shadow_deputato=301056&idpersona=301056&idlegislatura=17,PARTITO DEMOCRATICO,TOSCANA,male,17,GIACOMELLI_A@CAMERA.IT,XII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/056/original_d301056.jpg
2013-04-09,LEGA NORD,301069,1968-07-13,"",COTA Roberto,http://www.camera.it/leg17/29?shadow_deputato=301069&idpersona=301069&idlegislatura=17,LEGA NORD E AUTONOMIE,PIEMONTE 1,male,17,"",I,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/069/original_d301069.jpg
"",PARTITO DEMOCRATICO,301408,1956-02-17,"",OLIVERIO Nicodemo Nazzareno,http://www.camera.it/leg17/29?shadow_deputato=301408&idpersona=301408&idlegislatura=17,PARTITO DEMOCRATICO,CALABRIA,male,17,OLIVERIO_N@CAMERA.IT,XXIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/408/original_d301408.jpg
"",PARTITO DEMOCRATICO,301409,1953-05-08,"",META Michele Pompeo,http://www.camera.it/leg17/29?shadow_deputato=301409&idpersona=301409&idlegislatura=17,PARTITO DEMOCRATICO,LAZIO 1,male,17,META_M@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/409/original_d301409.jpg
2015-06-25,IL POPOLO DELLA LIBERTA',301435,1947-12-15,"",MAROTTA Antonio,http://www.camera.it/leg17/29?shadow_deputato=301435&idpersona=301435&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,CAMPANIA 1,male,17,MAROTTA_A@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/435/original_d301435.jpg
"",IL POPOLO DELLA LIBERTA',301435,1947-12-15,2015-06-25,MAROTTA Antonio,http://www.camera.it/leg17/29?shadow_deputato=301435&idpersona=301435&idlegislatura=17,AREA POPOLARE (NCD-UDC),CAMPANIA 1,male,17,MAROTTA_A@CAMERA.IT,XIX,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/435/original_d301435.jpg
2013-04-03,FRATELLI D'ITALIA,301436,1960-08-02,"",RAMPELLI Fabio,http://www.camera.it/leg17/29?shadow_deputato=301436&idpersona=301436&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,LAZIO 1,male,17,RAMPELLI_F@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/436/original_d301436.jpg
"",FRATELLI D'ITALIA,301436,1960-08-02,2013-04-03,RAMPELLI Fabio,http://www.camera.it/leg17/29?shadow_deputato=301436&idpersona=301436&idlegislatura=17,FRATELLI D'ITALIA-ALLEANZA NAZIONALE,LAZIO 1,male,17,RAMPELLI_F@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/436/original_d301436.jpg
2013-10-02,IL POPOLO DELLA LIBERTA',301438,1966-10-16,"",PILI Mauro,http://www.camera.it/leg17/29?shadow_deputato=301438&idpersona=301438&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,SARDEGNA,male,17,PILI_M@CAMERA.IT,XXVI,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/438/original_d301438.jpg
"",IL POPOLO DELLA LIBERTA',301438,1966-10-16,2013-10-02,PILI Mauro,http://www.camera.it/leg17/29?shadow_deputato=301438&idpersona=301438&idlegislatura=17,MISTO - non iscritto ad alcuna componente politica,SARDEGNA,male,17,PILI_M@CAMERA.IT,XXVI,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/438/original_d301438.jpg
2013-12-10,UNIONE DI CENTRO,301439,1951-08-16,"",CESA Lorenzo,http://www.camera.it/leg17/29?shadow_deputato=301439&idpersona=301439&idlegislatura=17,SCELTA CIVICA PER L'ITALIA,CALABRIA,male,17,"",XXIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/439/original_d301439.jpg
2014-06-25,UNIONE DI CENTRO,301439,1951-08-16,2013-12-10,CESA Lorenzo,http://www.camera.it/leg17/29?shadow_deputato=301439&idpersona=301439&idlegislatura=17,PER L'ITALIA,CALABRIA,male,17,"",XXIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/439/original_d301439.jpg
"",IL POPOLO DELLA LIBERTA',301449,1973-07-01,"",GELMINI Mariastella,http://www.camera.it/leg17/29?shadow_deputato=301449&idpersona=301449&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 2,female,17,GELMINI_M@CAMERA.IT,IV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/449/original_d301449.jpg
"",PARTITO DEMOCRATICO,301452,1963-03-13,"",FIANO Emanuele,http://www.camera.it/leg17/29?shadow_deputato=301452&idpersona=301452&idlegislatura=17,PARTITO DEMOCRATICO,LOMBARDIA 1,male,17,FIANO_E@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/452/original_d301452.jpg
"",LEGA NORD,301455,1975-09-27,"",GRIMOLDI Paolo,http://www.camera.it/leg17/29?shadow_deputato=301455&idpersona=301455&idlegislatura=17,LEGA NORD E AUTONOMIE - LEGA DEI POPOLI - NOI CON SALVINI,LOMBARDIA 1,male,17,GRIMOLDI_P@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/455/original_d301455.jpg
"",IL POPOLO DELLA LIBERTA',301459,1971-01-25,"",RAVETTO Laura,http://www.camera.it/leg17/29?shadow_deputato=301459&idpersona=301459&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LOMBARDIA 2,female,17,RAVETTO_L@CAMERA.IT,IV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/459/original_d301459.jpg
