name,email,image,term,group,group_id,start_date,end_date
Isak Davidsen,,http://www.ina.gl/media/2528208/isak-davidsen.jpg,8,Atassut,atassut,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,8,Atassut,atassut,"",""
Jens Napaattooq,,,8,Siumut,siumut,"",""
Jensine Berthelsen,,,8,Atassut,atassut,"",""
Johan Lund Olsen,,http://www.ina.gl/media/2528199/johan-lund-olsen_maleri.jpg,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,8,Siumut,siumut,"",""
Josef Motzfeldt,,http://www.ina.gl/media/2528209/20161026-josef-motzfeldt-22853.jpg,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jørgen W. Johansen,,,8,Siumut,siumut,"",""
Kuupik Vandersee Kleist,,http://www.ina.gl/media/2529952/kuupik_kleist.jpg,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Marie Fleischer,,http://www.ina.gl/media/2528195/marie_fleischer.jpg,8,Demokraatit,demokraatit,"",""
Mikael Petersen,,http://www.ina.gl/media/2528207/mikael-petersen.jpg,8,Siumut,siumut,"",""
Ole Dorph,,http://www.ina.gl/media/2528216/ole-dorph.jpg,8,Siumut,siumut,"",""
Otto Jeremiassen,,http://www.ina.gl/media/2528194/otto_jeremiassen.jpg,8,Atassut,atassut,"",""
Palle Christiansen,,http://www.ina.gl/media/personfiler/234434/2010.09.17%20Start%20EM%202010%2000913.jpg,8,Demokraatit,demokraatit,"",""
Per Berthelsen,,http://www.ina.gl/media/personfiler/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,8,Demokraatit,demokraatit,"",""
Per Skaaning,,http://www.ina.gl/media/2528217/per_skaaning.jpg,8,Demokraatit,demokraatit,"",""
Ruth Heilmann,,http://www.ina.gl/media/2528205/ruth.jpg,8,Siumut,siumut,"",""
Simon Olsen,,,8,Siumut,siumut,"",""
Anders Andreassen,,http://www.ina.gl/media/2528151/anders_andreassen1.jpg,7,Siumut,siumut,"",""
Anders Nilsson,,http://www.ina.gl/media/2528203/anders_nilsson.jpg,7,Atassut,atassut,"",""
Anthon Frederiksen,antuut@inatsisartut.gl,http://www.ina.gl/media/personfiler/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,7,Kattusseqatigiit,kattusseqatigiit,"",""
Asii Chemnitz Narup,,,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Augusta Salling,,,7,Atassut,atassut,"",""
Daniel Skifte,,http://www.ina.gl/media/2528202/daniel-skifte.jpg,7,Atassut,atassut,"",""
Finn Karlsen,,http://www.ina.gl/media/personfiler/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,7,Atassut,atassut,"",""
Godmand Rasmussen,,http://www.ina.gl/media/2528193/godmand-rasmussen.jpg,7,Atassut,atassut,"",""
Hans Enoksen,hans@inatsisartut.gl,http://www.ina.gl/media/personfiler/298458/untitled-6.jpg,7,Siumut,siumut,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,7,Atassut,atassut,"",""
Johan Lund Olsen,,http://www.ina.gl/media/2528199/johan-lund-olsen_maleri.jpg,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,7,Siumut,siumut,"",""
Josef Motzfeldt,,http://www.ina.gl/media/2528209/20161026-josef-motzfeldt-22853.jpg,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jørgen W. Johansen,,,7,Siumut,siumut,"",""
Lars Karl Jensen,,http://www.ina.gl/media/2528198/lars-karl-jensen.jpg,7,Siumut,siumut,"",""
Lars Sørensen,,,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Loritha Henriksen,,,7,Kattusseqatigiit,kattusseqatigiit,"",""
Mads Peter Grønvold,,http://www.ina.gl/media/2528197/mads.jpg,7,Kattusseqatigiit,kattusseqatigiit,"",""
Malînànguak´M. Mølgaard,,http://www.ina.gl/media/2528196/maliina.jpg,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Mikael Petersen,,http://www.ina.gl/media/2528207/mikael-petersen.jpg,7,Siumut,siumut,"",""
Mogens Kleist,,http://www.ina.gl/media/2528211/mogens_kleist.jpg,7,Kattusseqatigiit,kattusseqatigiit,"",""
Ole Lynge,,http://www.ina.gl/media/2528204/ole_lynge.jpg,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Olga P. Berthelsen,,http://www.ina.gl/media/personfiler/302742/untitled.jpg,7,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Otto Steenholdt,,http://www.ina.gl/media/2529958/otto_steenholdt.jpg,7,Atassut,atassut,"",""
Per Berthelsen,,http://www.ina.gl/media/personfiler/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,7,Siumut,siumut,"",""
Per Rosing-Petersen,perrp@inatsisartut.gl,http://www.ina.gl/media/personfiler/2461609/Per%20Rosing%20Petersen%202014.12%20-%2015506.jpg,7,Enkeltkandidat,enkeltkandidat,"",""
Ruth Heilmann,,http://www.ina.gl/media/2528205/ruth.jpg,7,Siumut,siumut,"",""
Simon Olsen,,,7,Siumut,siumut,"",""
Siverth Karl Heilmann,,http://www.ina.gl/media/personfiler/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,7,Atassut,atassut,"",""
Tommy Marø,,,7,Siumut,siumut,"",""
Vittus Mikaelsen,,,7,Siumut,siumut,"",""
Agnethe Davidsen,,http://www.ina.gl/media/2528153/agnethe_davidsen.jpg,6,Siumut,siumut,"",""
Anders Andreassen,,http://www.ina.gl/media/2528151/anders_andreassen1.jpg,6,Siumut,siumut,"",""
Anders Nilsson,,http://www.ina.gl/media/2528203/anders_nilsson.jpg,6,Atassut,atassut,"",""
Anthon Frederiksen,antuut@inatsisartut.gl,http://www.ina.gl/media/personfiler/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,6,Kandidatforbund,kandidatforbund,"",""
Bjarne Kreutzmann,,http://www.ina.gl/media/2529938/bjarne_kreutzmann.jpg,6,Akulliit Partiiat,akulliit_partiiat,"",""
Daniel Skifte,,http://www.ina.gl/media/2528202/daniel-skifte.jpg,6,Atassut,atassut,"",""
Evald Brønlund,,,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Finn Karlsen,,http://www.ina.gl/media/personfiler/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,6,Atassut,atassut,"",""
Hans Enoksen,hans@inatsisartut.gl,http://www.ina.gl/media/personfiler/298458/untitled-6.jpg,6,Siumut,siumut,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,6,Atassut,atassut,"",""
Jens Napaattooq,,,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Johan Lund Olsen,,http://www.ina.gl/media/2528199/johan-lund-olsen_maleri.jpg,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,6,Siumut,siumut,"",""
Josef Motzfeldt,,http://www.ina.gl/media/2528209/20161026-josef-motzfeldt-22853.jpg,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Karl Lyberth,,http://www.ina.gl/media/personfiler/762432/Karl_Lyberth.jpg,6,Akulliit Partiiat,akulliit_partiiat,"",""
Knud Sørensen,,http://www.ina.gl/media/2528171/knud-soerensen.jpg,6,Atassut,atassut,"",""
Konrad Steenholdt,,http://www.ina.gl/media/2529950/konrad_steenholdt.jpg,6,Atassut,atassut,"",""
Kristine Raahauge,,,6,Siumut,siumut,"",""
Kuupik Vandersee Kleist,,http://www.ina.gl/media/2529952/kuupik_kleist.jpg,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Laannguaq Lynge,,,6,Siumut,siumut,"",""
Lars Karl Jensen,,http://www.ina.gl/media/2528198/lars-karl-jensen.jpg,6,Siumut,siumut,"",""
Lars Sørensen,,,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,6,Siumut,siumut,"",""
Malînànguak´M. Mølgaard,,http://www.ina.gl/media/2528196/maliina.jpg,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Manasse Berthelsen,,,6,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Marianne Jensen,,http://www.ina.gl/media/2529954/marianne_jensen.jpg,6,Siumut,siumut,"",""
Mikael Petersen,,http://www.ina.gl/media/2528207/mikael-petersen.jpg,6,Siumut,siumut,"",""
Naimanngitsoq Petersen,,http://www.ina.gl/media/2528212/naimanngitsoq_petersen.jpg,6,Atassut,atassut,"",""
Niels Màtâk´,,,6,Siumut,siumut,"",""
Otto Steenholdt,,http://www.ina.gl/media/2529958/otto_steenholdt.jpg,6,Atassut,atassut,"",""
Peter G. Samuelsen,,http://www.ina.gl/media/2529962/peter_g_samuelsen.jpg,6,Siumut,siumut,"",""
Peter Ostermann,,http://www.ina.gl/media/2529964/peter_ostermann.jpg,6,Atassut,atassut,"",""
Ruth Heilmann,,http://www.ina.gl/media/2528205/ruth.jpg,6,Siumut,siumut,"",""
Siverth Karl Heilmann,,http://www.ina.gl/media/personfiler/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,6,Atassut,atassut,"",""
Agnethe Nielsen,,http://www.ina.gl/media/2528154/agnethe_nielsen.jpg,5,Atassut,atassut,"",""
Ane Sofie Hammeken,,http://www.ina.gl/media/2529935/ane_sofie_hammeken.jpg,5,Siumut,siumut,"",""
Aqqaluk Lynge,,http://www.ina.gl/media/2528158/aqqaluk_lynge.jpg,5,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Bendt Frederiksen,,http://www.ina.gl/media/2528159/bendt_frederiksen.jpg,5,Siumut,siumut,"",""
Bjarne Kreutzmann,,http://www.ina.gl/media/2529938/bjarne_kreutzmann.jpg,5,Akulliit Partiiat,akulliit_partiiat,"",""
Emil Abelsen,,http://www.ina.gl/media/2528160/emil_abelsen.jpg,5,Siumut,siumut,"",""
Emilie Lennert,,http://www.ina.gl/media/2528161/emilie_lennerth.jpg,5,Atassut,atassut,"",""
Hans Iversen,,http://www.ina.gl/media/2528162/hans_iversen.jpg,5,Siumut,siumut,"",""
Hans Pavia Egede,,http://www.ina.gl/media/2529941/hans_pavia_egede.jpg,5,Akulliit Partiiat,akulliit_partiiat,"",""
Henriette Rasmussen,,http://www.ina.gl/media/2528164/henriette_rasmussen.jpg,5,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,5,Atassut,atassut,"",""
Johan Lund Olsen,,http://www.ina.gl/media/2528199/johan-lund-olsen_maleri.jpg,5,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,5,Siumut,siumut,"",""
Josef Motzfeldt,,http://www.ina.gl/media/2528209/20161026-josef-motzfeldt-22853.jpg,5,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Kaj Egede,,http://www.ina.gl/media/2529947/kaj_egedejpf.jpg,5,Siumut,siumut,"",""
Knud Sørensen,,http://www.ina.gl/media/2528171/knud-soerensen.jpg,5,Atassut,atassut,"",""
Konrad Steenholdt,,http://www.ina.gl/media/2529950/konrad_steenholdt.jpg,5,Atassut,atassut,"",""
Lars Chemnitz,,http://www.ina.gl/media/2528173/lars-chemnitz.jpg,5,Atassut,atassut,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,5,Siumut,siumut,"",""
Nikolaj Heinrich,,http://www.ina.gl/media/2529955/nicolaj_heinrich.jpg,5,Issittup Partiia,issittup_partiia,"",""
Ole Lynge,,http://www.ina.gl/media/2528204/ole_lynge.jpg,5,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Otto Steenholdt,,http://www.ina.gl/media/2529958/otto_steenholdt.jpg,5,Atassut,atassut,"",""
Ove Rosing-Olsen,,http://www.ina.gl/media/2529959/ove_rosing_olsen.jpg,5,Siumut,siumut,"",""
Pavia Nielsen,,http://www.ina.gl/media/2529961/pavia_nielsen.jpg,5,Siumut,siumut,"",""
Peter G. Samuelsen,,http://www.ina.gl/media/2529962/peter_g_samuelsen.jpg,5,Siumut,siumut,"",""
Peter Ostermann,,http://www.ina.gl/media/2529964/peter_ostermann.jpg,5,Atassut,atassut,"",""
Ussarqak Qujaukitsoq,,http://www.ina.gl/media/2529966/ussarqak_qujaukitsoq.jpg,5,Siumut,siumut,"",""
Aqqaluk Lynge,,http://www.ina.gl/media/2528158/aqqaluk_lynge.jpg,4,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Aqqalukasik Kanuthsen,,,4,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Bendt Frederiksen,,http://www.ina.gl/media/2528159/bendt_frederiksen.jpg,4,Siumut,siumut,"",""
Emilie Lennert,,http://www.ina.gl/media/2528161/emilie_lennerth.jpg,4,Atassut,atassut,"",""
Godmand Jensen,,http://www.ina.gl/media/2528192/godman_jensen.jpg,4,Atassut,atassut,"",""
Hans Iversen,,http://www.ina.gl/media/2528162/hans_iversen.jpg,4,Siumut,siumut,"",""
Hendrik Nielsen,,,4,Siumut,siumut,"",""
Henriette Rasmussen,,http://www.ina.gl/media/2528164/henriette_rasmussen.jpg,4,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Holger Sivertsen,,,4,Atassut,atassut,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,4,Atassut,atassut,"",""
Jens Geisler,,http://www.ina.gl/media/2528168/jens_geisler.jpg,4,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jens Lyberth,,http://www.ina.gl/media/2528169/jens_lyberth.jpg,4,Siumut,siumut,"",""
Jonas Danielsen,,,4,Siumut,siumut,"",""
Josef Motzfeldt,,http://www.ina.gl/media/2528209/20161026-josef-motzfeldt-22853.jpg,4,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Knud Sørensen,,http://www.ina.gl/media/2528171/knud-soerensen.jpg,4,Atassut,atassut,"",""
Konrad Steenholdt,,http://www.ina.gl/media/2529950/konrad_steenholdt.jpg,4,Atassut,atassut,"",""
Lars Chemnitz,,http://www.ina.gl/media/2528173/lars-chemnitz.jpg,4,Atassut,atassut,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,4,Siumut,siumut,"",""
Mikael Petersen,,http://www.ina.gl/media/2528207/mikael-petersen.jpg,4,Siumut,siumut,"",""
Moses Olsen,,,4,Siumut,siumut,"",""
Niels Carlo Heilmann,,http://www.ina.gl/media/2528176/niels_carlo_heilmann.jpg,4,Atassut,atassut,"",""
Nikolaj Heinrich,,http://www.ina.gl/media/2529955/nicolaj_heinrich.jpg,4,Issittup Partiia,issittup_partiia,"",""
Otto Steenholdt,,http://www.ina.gl/media/2529958/otto_steenholdt.jpg,4,Atassut,atassut,"",""
Peter Ostermann,,http://www.ina.gl/media/2529964/peter_ostermann.jpg,4,Atassut,atassut,"",""
Preben Lange,,http://www.ina.gl/media/2528180/preben_lange.jpg,4,Siumut,siumut,"",""
Qaernaq Nielsen,,,4,Siumut,siumut,"",""
Torben Emil Lynge,,http://www.ina.gl/media/2528182/torben_emil_lynge.jpg,4,Atassut,atassut,"",""
Ussarqak Qujaukitsoq,,http://www.ina.gl/media/2529966/ussarqak_qujaukitsoq.jpg,4,Siumut,siumut,"",""
Andreas Sanimuinnaq,,http://www.ina.gl/media/2528156/andreas-sanimu%C3%ADnaq.jpg,3,Atassut,atassut,"",""
Aqqaluk Lynge,,http://www.ina.gl/media/2528158/aqqaluk_lynge.jpg,3,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Bendt Frederiksen,,http://www.ina.gl/media/2528159/bendt_frederiksen.jpg,3,Siumut,siumut,"",""
Emilie Lennert,,http://www.ina.gl/media/2528161/emilie_lennerth.jpg,3,Atassut,atassut,"",""
Hans Iversen,,http://www.ina.gl/media/2528162/hans_iversen.jpg,3,Siumut,siumut,"",""
Hendrik Nielsen,,,3,Siumut,siumut,"",""
Henriette Rasmussen,,http://www.ina.gl/media/2528164/henriette_rasmussen.jpg,3,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Holger Sivertsen,,,3,Atassut,atassut,"",""
Ingvar Høegh,,http://www.ina.gl/media/2528165/ingvar_hoeegh1.jpg,3,Atassut,atassut,"",""
Isak Lund,,http://www.ina.gl/media/2528166/isak-lund1.jpg,3,Siumut,siumut,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,3,Atassut,atassut,"",""
Jan Str. Christophersen,,,3,Atassut,atassut,"",""
Jens Geisler,,http://www.ina.gl/media/2528168/jens_geisler.jpg,3,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jens Lyberth,,http://www.ina.gl/media/2528169/jens_lyberth.jpg,3,Siumut,siumut,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,3,Siumut,siumut,"",""
Knud Sørensen,,http://www.ina.gl/media/2528171/knud-soerensen.jpg,3,Atassut,atassut,"",""
Konrad Steenholdt,,http://www.ina.gl/media/2529950/konrad_steenholdt.jpg,3,Atassut,atassut,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,3,Siumut,siumut,"",""
Moses Olsen,,,3,Siumut,siumut,"",""
Niels Carlo Heilmann,,http://www.ina.gl/media/2528176/niels_carlo_heilmann.jpg,3,Atassut,atassut,"",""
Otto Steenholdt,,http://www.ina.gl/media/2529958/otto_steenholdt.jpg,3,Atassut,atassut,"",""
Pavia Nielsen,,http://www.ina.gl/media/2529961/pavia_nielsen.jpg,3,Siumut,siumut,"",""
Peter Ostermann,,http://www.ina.gl/media/2529964/peter_ostermann.jpg,3,Atassut,atassut,"",""
Preben Lange,,http://www.ina.gl/media/2528180/preben_lange.jpg,3,Siumut,siumut,"",""
Ussarqak Qujaukitsoq,,http://www.ina.gl/media/2529966/ussarqak_qujaukitsoq.jpg,3,Siumut,siumut,"",""
Aage Hammeken,,http://www.ina.gl/media/2528152/aage_hammeken.jpg,2,Siumut,siumut,"",""
Allan Idd Jensen,,http://www.ina.gl/media/2528191/allan_idd_jensen.jpg,2,Atassut,atassut,"",""
Amandus Petrussen,,http://www.ina.gl/media/2528155/amandus-petrussen.jpg,2,Atassut,atassut,"",""
Anguteraq Davidsen,,http://www.ina.gl/media/2528157/anguteeraq_davidsen.jpg,2,Atassut,atassut,"",""
Aqqaluk Lynge,,http://www.ina.gl/media/2528158/aqqaluk_lynge.jpg,2,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Bendt Frederiksen,,http://www.ina.gl/media/2528159/bendt_frederiksen.jpg,2,Siumut,siumut,"",""
Hans Iversen,,http://www.ina.gl/media/2528162/hans_iversen.jpg,2,Siumut,siumut,"",""
Hans Pavia Rosing,,http://www.ina.gl/media/2528163/hans_pavia_rosing.jpg,2,Siumut,siumut,"",""
Hendrik Nielsen,,,2,Siumut,siumut,"",""
Holger Sivertsen,,,2,Atassut,atassut,"",""
Ingvar Høegh,,http://www.ina.gl/media/2528165/ingvar_hoeegh1.jpg,2,Atassut,atassut,"",""
Isak Lund,,http://www.ina.gl/media/2528166/isak-lund1.jpg,2,Siumut,siumut,"",""
Jakob Sivertsen,,http://www.ina.gl/media/2529944/jakob_sivertsen.jpg,2,Atassut,atassut,"",""
Jens Geisler,,http://www.ina.gl/media/2528168/jens_geisler.jpg,2,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,2,Siumut,siumut,"",""
Konrad Steenholdt,,http://www.ina.gl/media/2529950/konrad_steenholdt.jpg,2,Atassut,atassut,"",""
Lars Chemnitz,,http://www.ina.gl/media/2528173/lars-chemnitz.jpg,2,Atassut,atassut,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,2,Siumut,siumut,"",""
Moses Olsen,,,2,Siumut,siumut,"",""
Niels Carlo Heilmann,,http://www.ina.gl/media/2528176/niels_carlo_heilmann.jpg,2,Atassut,atassut,"",""
Otto Steenholdt,,http://www.ina.gl/media/2529958/otto_steenholdt.jpg,2,Atassut,atassut,"",""
Pavia Nielsen,,http://www.ina.gl/media/2529961/pavia_nielsen.jpg,2,Siumut,siumut,"",""
Peter Ostermann,,http://www.ina.gl/media/2529964/peter_ostermann.jpg,2,Atassut,atassut,"",""
Preben Lange,,http://www.ina.gl/media/2528180/preben_lange.jpg,2,Siumut,siumut,"",""
Sofus Joelsen,,http://www.ina.gl/media/2528181/sofus_joelsen.jpg,2,Siumut,siumut,"",""
Torben Emil Lynge,,http://www.ina.gl/media/2528182/torben_emil_lynge.jpg,2,Atassut,atassut,"",""
Aaja Chemnitz Larsen,aacl@inatsisartut.gl,http://www.ina.gl/media/personfiler/2461849/Aaja%20Chemnitz%20Larsen%202014.12%20-%2015537.jpg,12,Inuit Ataqatigiit,inuit_ataqatigiit,2015-11-03,""
Agathe Fontain,agathe@inatsisartut.gl,http://www.ina.gl/media/2527783/agathe.jpg,12,Inuit Ataqatigiit,inuit_ataqatigiit,2014-11-28,""
Anders Olsen,anols@inatsisartut.gl,http://www.ina.gl/media/personfiler/293529/untitled-4.jpg,12,Siumut,siumut,2014-11-28,""
Andreas Uldum,,http://www.ina.gl/media/personfiler/234534/2010.09.17%20Start%20EM%202010%2000892.jpg,12,Demokraatit,demokraatit,2014-11-28,2015-11-02
Ane Hansen,aneh@inatsisartut.gl,http://www.ina.gl/media/personfiler/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,12,Inuit Ataqatigiit,inuit_ataqatigiit,2014-11-28,""
