id,name__en,name__da,name__nl,name__de,name__fr,name,wikipedia__da,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__sv,name__ru,name__uk,name__it,name__pl,name__ka,name__ja,name__fi,name__nb,name__ko,name__ar,name__tr,name__es,name__hu,name__zh,name__fo,name__kl,name__el,name__nn,name__he,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__zh,image,identifier__freebase,facebook,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__id,name__sh,name__pt,name__ca,name__cs,name__bg,name__sk,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__id,wikipedia__kl,wikipedia__nn,wikipedia__pt,wikipedia__sh,wikipedia__sk,name__en_ca,name__en_gb,name__gl,wikipedia__commons,wikipedia__gl,name__se,name__oc,name__et,name__cy,wikipedia__cy,wikipedia__et,wikipedia__oc,wikipedia__se,identifier__MusicBrainz,identifier__VIAF,identifier__GND,wikipedia__dawikiquote,last_seen,twitter,name__is,family_name,website,identifier__ISNI,identifier__LCAuth,identifier__SUDOC,identifier__NTA,identifier__IMDB,wikipedia__fa,name__fa,identifier__google_knowledge,occupation,death_date,name__mr,name__qu,wikipedia__mr,wikipedia__qu,identifier__Munzinger,name__hy,name__sq,wikipedia__sq,identifier__ne_se,name__aa,name__af,name__ak,name__aln,name__an,name__ang,name__arn,name__ast,name__ay,name__az,name__bar,name__bcl,name__bi,name__bjn,name__bm,name__br,name__brh,name__bs,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__co,name__cr,name__crh_latn,name__csb,name__de_at,name__de_ch,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__eo,name__eu,name__ext,name__ff,name__fit,name__fj,name__frp,name__frr,name__fur,name__fy,name__ga,name__gag,name__gd,name__gn,name__got,name__gsw,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__hr,name__hsb,name__ht,name__hz,name__ia,name__ie,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__io,name__iu,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__ku,name__la,name__lad,name__lb,name__lg,name__li,name__lij,name__lmo,name__ln,name__loz,name__lt,name__ltg,name__lus,name__lv,name__lzz,name__map_bms,name__mi,name__min,name__ms,name__mt,name__mus,name__mwl,name__na,name__nah,name__nap,name__nds,name__nds_nl,name__ng,name__nov,name__nrm,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pcd,name__pdc,name__pdt,name__pfl,name__pih,name__pms,name__pt_br,name__qug,name__rif,name__rm,name__rmy,name__rn,name__ro,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sc,name__scn,name__sco,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sl,name__sli,name__sm,name__sma,name__sn,name__so,name__sr_el,name__srn,name__st,name__stq,name__sw,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vec,name__vep,name__vi,name__vls,name__vmf,name__vo,name__vot,name__wa,name__war,name__wo,name__xh,name__yo,name__za,name__zea,name__zu,identifier__DNF,wikipedia__ast,identifier__BIBSYS,identifier__Britannica,identifier__GTAA,wikipedia__hi,name__hi,wikipedia__th,name__th
Q12334009,Ruth Heilmann,Ruth Heilmann,,Ruth Heilmann,Ruth Heilmann,Ruth Heilmann,Ruth Heilmann,Ruth Heilmann,female,1945,Ruth,Ruth Heilmann,,,,Ruth Heilmann,,,,,,,,,,,,,,,,,,Ruth Heilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heilmann,,,,,,,,,,teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruth Heilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruth Heilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12337012,Steen Lynge,Steen Lynge,,Steen Lynge,Steen Lynge,Steen Lynge,Steen Lynge,,male,1963-11-25,Steen,Steen Lynge,,,,,,,,,Steen Lynge,,,,,,,,,,,,,Steen Lynge,,,,,,,,,,,,Steen Lynge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynge,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steen Lynge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15944263,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,male,1971-10-05,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,,,,,,,,,,,,,,,,Vittus Qujaukitsoq,,,,,,,,,,,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,,,,,,,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,,,,,,,,,,Vittus Qujaukitsoq,,,,,,,,,,,politician,,,Vittus Qujaukitsoq,,,,,Vittus Qujaukitsoq,,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,Vittus Qujaukitsoq,,,,,,,,,
Q16064655,Nick Nielsen,Nick Nielsen,,,Nick Nielsen,Nick Nielsen,Nick Nielsen,,male,,Nick,Nick Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/8/84/Nick_Nielsen,_Undervisningsminister_Grønland.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nick Nielsen,,,,,,,,,,,,,,,,,Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1794743,Augusta Salling,Augusta Salling,Augusta Salling,Augusta Salling,Augusta Salling,Augusta Salling,Augusta Salling,Augusta Salling,female,1954,Augusta,Augusta Salling,Augusta Salling,,,,,,,,Augusta Salling,,,,Augusta Salling,Augusta Salling,,,,,,אוגוסטה סאלינג,,,,,,,,,,,,,,Augusta Salling,,,,Augusta Salling,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Augusta_Salling_vid_Nordiska_Radets_session_i_Oslo._2007-10-31._Foto-_Magnus_Froderberg-norden.org_(cropped).jpg,/m/047bg5r,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Augusta Salling,,,,,,,,,,,,,,,,,Salling,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augusta Salling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1796195,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,female,1965-09-23,,Aleqa Hammond,Aleqa Hammond,Алека Хаммонд,Алека Хаммонд,Aleqa Hammond,Aleqa Hammond,ალეკა ჰამონდი,アレカ・ハモンド,Aleqa Hammond,Aleqa Hammond,알레카 하몬드,أليكا هاموند,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,艾蕾卡·韓蒙德,Aleqa Hammond,Aleqa Hammond,Αλέκα Χάμοντ,Aleqa Hammond,אלקה האמונד,أليكا هاموند,Aleqa Hammond,Αλέκα Χάμοντ,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,אלקה האמונד,Aleqa Hammond,Aleqa Hammond,アレカ・ハモンド,알레카 하몬드,Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,"Хаммонд, Алека",Aleqa Hammond,Aleqa Hammond,Aleqa Hammond,Алека Хаммонд,艾蕾卡·韓蒙德,https://upload.wikimedia.org/wikipedia/commons/a/a9/Aleqa_Hammond.jpg,/m/0rpg_ks,399232653501212,,,,,,,,,Aleqa Hammond,,,,,,,,,,,Aleqa Hammond,,,,,,Category:Aleqa Hammond,,,,,,,,,,,,,,,,,Hammond,,,,,,,آلکا هاموند,آلکا هاموند,,politician,,,,,,00000029491,,,,,,,,,,,,Aleqa Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleqa Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleqa Hammond,,biography/Aleqa-Hammond,,,,,
Q18232109,Ineqi Kielsen,Ineqi Kielsen,,,Ineqi Kielsen,Ineqi Kielsen,Ineqi Kielsen,,male,1993-08-31,,Ineqi Kielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ineqi Kielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19787806,Knud Kristiansen,,Knud Kristiansen,,,Knud Kristiansen,,,male,1971,Knud,Knud Kristiansen,Knud Kristiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knud Kristiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20199803,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,female,1977-12-02,,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,,,,,,,,Aaja Chemnitz Larsen,,,,,,,Aaja Chemnitz Larsen,Aaja Chemnitz Larsen,,Aaja Chemnitz Larsen,,,Aaja Chemnitz Larsen,,,,,,,,,,,,,,,,Aaja Chemnitz Larsen,,,,,,aaja2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aajacl,Aaja Chemnitz Larsen,Larsen,,,,,,,,,/g/11b7xpv48n,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaja Chemnitz Larsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2046855,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,male,1940-02-25,,Thue Christiansen,Thue Christiansen,,,Thue Christiansen,Thue Christiansen,,,Thue Christiansen,Thue Christiansen,,,Thue Christiansen,Thue Christiansen,Thue Christiansen,,Thue Christiansen,Thue Christiansen,,Thue Christiansen,ת'ו כריסטיאנסן,,Thue Christiansen,,,,,,ת'ו כריסטיאנסן,,,,,Thue Christiansen,Thue Christiansen,Thue Christiansen,,,Thue Christiansen,,,,,/m/0jt9dn3,,,,,,,,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,,Thue Christiansen,,,,,,,,,,Thue Christiansen,Thue Christiansen,Thue Christiansen,,,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,,,,,,291039401,,,,,Thue Christiansen,,,,,,069822743,,,,,politician,,,Thue Christiansen,,,,Թյու Քրիստիանսեն,Thue Christiansen,Thue Christiansen,,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,Thue Christiansen,,,,,,,,,
Q2196317,Asii Chemnitz Narup,Asii Chemnitz Narup,Asii Chemnitz Narup,Asii Chemnitz Narup,Asii Chemnitz Narup,Asii Chemnitz Narup,Asii Chemnitz Narup,Asii Chemnitz Narup,female,1954,,Asii Chemnitz Narup,Asii Chemnitz Narup,,,,,,,,,,آسي كيمنتس ناروب,,Asii Chemnitz Narup,Asii Chemnitz Narup,,,,,,,آسي كيمنتس ناروب,Asii Chemnitz Narup,,Asii Chemnitz Narup,,,Asii Chemnitz Narup,,,,,,Asii Chemnitz Narup,,,,,Asii Chemnitz Narup,,,,,/m/0ch4y66,,,,,,,,,,,Asii Chemnitz Narup,,,,,Asii Chemnitz Narup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asii Chemnitz Narup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24034106,Randi Vestergaard Evaldsen,Randi Vestergaard Evaldsen,Randi Vestergaard Evaldsen,Randi Vestergaard Evaldsen,,Randi Vestergaard Evaldsen,Randi Vestergaard Evaldsen,,female,1984,,Randi Vestergaard Evaldsen,Randi Vestergaard Evaldsen,,,,Randi Vestergaard Evaldsen,,,Randi Vestergaard Evaldsen,,,,,,,,,,,,,,Randi Vestergaard Evaldsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q310653,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,male,1956-08-07,Hans,Hans Enoksen,Hans Enoksen,"Эноксен, Ханс",Ганс Еноксен,Hans Enoksen,Hans Enoksen,,ハンス・エノクセン,Hans Enoksen,Hans Enoksen,,هانس إنوكسن,Hans Enoksen,Hans Enoksen,Hans Enoksen,漢斯·埃諾克森,,Hans Enoksen,,Hans Enoksen,הנס אנוקסן,هانس إنوكسن,Hans Enoksen,,Hans Enoksen,Hans Enoksen,,Hans Enoksen,הנס אנוקסן,Hans Enoksen,Hans Enoksen,ハンス・エノクセン,,Hans Enoksen,Hans Enoksen,Hans Enoksen,"Эноксен, Ханс",Hans Enoksen,Hans Enoksen,Hans Enoksen,Ганс Еноксен,漢斯·埃諾克森,https://upload.wikimedia.org/wikipedia/commons/7/7e/Landsstyreformand_Hans_Enoksen_til_Folkeafstemning_i_Multihallen_i_Nuuk_med_Pipaluk_Petersen_pa_5_ar.jpg,/m/019rgp,,汉斯·埃诺克森,漢斯·埃諾克森,漢斯·埃諾克森,汉斯·埃诺克森,汉斯·埃诺克森,漢斯·埃諾克森,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Ханс Еноксен,Hans Enoksen,Ханс Еноксен,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,Hans Enoksen,,,,Category:Hans Enoksen,,,,,,,,,,,,,,,,,Enoksen,,,,,,,هانس انوکسن,هانس انوکسن,,politician,,,,,,00000024552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans Enoksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
