id,name__sr,name__fr,name__el,name__en,name__de,name__sh,name__nl,name,wikipedia__commons,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,gender,birth_date,given_name,original_wikiname,name__ru,name__cs,name__nb,name__da,name__nn,name__sv,wikipedia__cswikiquote,wikipedia__de,wikipedia__ru,identifier__MusicBrainz,family_name,name__ja,name__es,name__it,wikipedia__es,wikipedia__it,wikipedia__ja,identifier__freebase,name__pl,name__ie,name__hr,name__uk,wikipedia__cs,wikipedia__hr,wikipedia__ie,wikipedia__pl,wikipedia__uk,identifier__ISNI,identifier__VIAF,identifier__LCAuth,name__hu,name__ca,name__sr_ec,name__sr_el,name__en_ca,name__en_gb,name__bs,name__de_ch,name__lb,name__tr,name__lmo,name__la,name__sl,name__et,name__he,name__fi,name__vi,name__ka,name__gl,name__zh,wikipedia__bs,wikipedia__bswikiquote,wikipedia__ca,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__itwikiquote,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__slwikiquote,wikipedia__srwikiquote,wikipedia__tr,wikipedia__vi,wikipedia__zh,wikipedia__sv,name__mk,wikipedia__mk,name__ro,death_date,identifier__BNF,name__mg,wikipedia__mg,wikipedia__ro,identifier__GND,identifier__SUDOC,name__sq,wikipedia__sq,name__bg,name__io,name__be,name__oc,wikipedia__bg,wikipedia__da,wikipedia__io,name__cy,wikipedia__sl,website,identifier__NKC,identifier__NTA,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__id,name__ar,name__pt,name__sk,name__hy,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__hy,wikipedia__id,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__sk,identifier__FIFA,wikipedia__be,twitter,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__rm,identifier__Munzinger,identifier__Britannica,facebook,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__CSFD,last_seen,identifier__DNF,identifier__SCOPE,identifier__kinopoisk,identifier__filmportal_de,wikipedia__ruwikinews,identifier__PACE,identifier__FAST,name__pt_br,wikipedia__enwikiquote,identifier__NLA,identifier__OLID,identifier__BAV,identifier__NUKAT,name__jv,name__hsb,name__mr,name__lt,name__tl,name__xmf,name__dsb,name__eo,wikipedia__dsb,wikipedia__hsb,wikipedia__jv,wikipedia__lt,wikipedia__mr,wikipedia__tl,wikipedia__xmf,name__za,name__yo,name__ms,name__ml,name__se,name__kk,name__be_tarask,name__lv,name__yue,wikipedia__be_x_old,wikipedia__eo,wikipedia__kk,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__se,wikipedia__yo,wikipedia__za,wikipedia__zh_yue,name__rmy,wikipedia__rmy,name__eu,name__gd,name__sw,name__bn,name__br,name__pnb,name__sah,name__az,name__an,name__nan,name__pms,name__hi,name__ku,name__ilo,name__bxr,name__ur,name__ga,name__sco,name__kn,name__pa,name__ia,wikipedia__an,wikipedia__az,wikipedia__azwikiquote,wikipedia__bn,wikipedia__br,wikipedia__bxr,wikipedia__eswikisource,wikipedia__eu,wikipedia__ga,wikipedia__gd,wikipedia__hi,wikipedia__hrwikiquote,wikipedia__hrwikisource,wikipedia__ia,wikipedia__ilo,wikipedia__kn,wikipedia__ku,wikipedia__nn,wikipedia__oc,wikipedia__pa,wikipedia__pms,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__ruwikisource,wikipedia__sah,wikipedia__sco,wikipedia__simplewikiquote,wikipedia__skwikiquote,wikipedia__sw,wikipedia__trwikiquote,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__zh_min_nan,identifier__CiNii,identifier__NDL,identifier__SBN_it,identifier__DBNL,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__PTBNP,identifier__NNDB,identifier__CANTIC,identifier__KLfG,identifier__EGAXA,identifier__NSK,identifier__N6I,wikipedia__enwikisource,identifier__GNC,identifier__GTAA,wikipedia__srwikisource,identifier__britishmuseum,identifier__bigenc_ru,identifier__goodreads,wikipedia__fawikiquote,occupation,identifier__nobel_prize,identifier__BiblioNet,wikipedia__srwikinews,wikipedia__tt,name__tt,wikipedia__ba,name__ba,wikipedia__bewikiquote,name__ast,name__ext,identifier__rotten_tomatoes,identifier__CONOR,name__fo,name__is,name__kl,name__af,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__sc,name__scn,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__viwikiquote,wikipedia__azb,name__azb,identifier__whoswho_france,identifier__BIBSYS,name__ace,identifier__ne_se,wikipedia__hrwiktionary,wikipedia__ltwikiquote,identifier__LNB,identifier__NLP,wikipedia__cy,wikipedia__bgwikiquote,wikipedia__myv,name__lfn,name__myv,identifier__discogs,honorific_suffix,identifier__nyt_topic,wikipedia__tg,name__tg
Q13405793,Небојша Лековић,Nebojša Leković,,Nebojša Leković,,,Nebojša Leković,Nebojša Leković,,,,Nebojša Leković,,Небојша Лековић,,male,1964-09-25,Nebojša,Небојша Лековић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nebojša Leković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13423390,Милољуб Албијанић,Miloljub Albijanić,,Miloljub Albijanić,Miloljub Albijanić,,Miloljub Albijanić,Miloljub Albijanić,,,,Miloljub Albijanić,,Милољуб Албијанић,,male,1967-07-08,,Милољуб Албијанић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miloljub Albijanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathematician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13430716,Сузана Грубјешић,Suzana Grubješić,,Suzana Grubješić,Suzana Grubješić,,Suzana Grubješić,Suzana Grubješić,Category:Suzana Grubješić,,Suzana Grubješić,Suzana Grubješić,,Сузана Грубјешић,https://upload.wikimedia.org/wikipedia/commons/6/63/Suzana_Grubjesic_(cropped).jpg,female,1963-07-29,Suzana,Сузана Грубјешић,,,,,,,,,,,,,,,,,,,Suzana Grubješić,,,,,,,Suzana Grubješić,,,,,,,,,,,,,,,,,Suzana Grubješić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13567033,Невена Карановић,,,Nevena Karanović,,,,Nevena Karanović,,,Nevena Karanović,,,Невена Карановић,,female,1961-04-18,Nevena,Невена Карановић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918665,Санда Рашковић Ивић,Sanda Rašković Ivić,,Sanda Rašković Ivić,,,Sanda Rašković Ivić,Sanda Rašković Ivić,Category:Sanda Rašković Ivić,,Sanda Rašković Ivić,,,Санда Рашковић Ивић,https://upload.wikimedia.org/wikipedia/commons/f/ff/Sanda_Raskovic_Ivic_i_Djordje_Vukadinovic-mc.rs_Crop.jpg,female,1956-01-08,Sandra,Sanda Rašković Ivić,Санда Рашкович-Ивич,,,,,,,,,,Ivić,,,,,,,/m/0121_gv7,Sanda Rašković Ivić,Sanda Rašković Ivić,Sanda Rašković Ivić,,,Sanda Rašković Ivić,Sanda Rašković Ivić,Sanda Rašković Ivić,,,,,,,Санда Рашковић Ивић,Sanda Rašković Ivić,,,,,,,,,Sanda Rašković Ivić,,,,,,,尚達·拉什科維奇·伊維奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sanda.raskovic.ivic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1563444,Синиша Ковачевић,Siniša Kovačević,,Siniša Kovačević,Siniša Kovačević,Siniša Kovačević,Siniša Kovačević,Siniša Kovačević,,,Siniša Kovačević,,Siniša Kovačević,Синиша Ковачевић,,male,1954,Siniša,Siniša Kovačević,,,,,,,,,,,,,Siniša Kovačević,Siniša Kovačević,,,,,,,,Синиша Ковачевич,,,,,,0000 0001 0526 7634,157634169,,Siniša Kovačević,,Синиша Ковачевић,Siniša Kovačević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Синиша Ковачевиќ,Синиша Ковачевиќ,Siniša Kovačević,,16240342x,,,,,167885227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p191276,,,,,,,,303021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1564756,Ненад Прокић,Nenad Prokić,,Nenad Prokić,Nenad Prokić,Nenad Prokić,Nenad Prokić,Nenad Prokić,Category:Nenad Prokić,,Nenad Prokić,,Nenad Prokić,Ненад Прокић,https://upload.wikimedia.org/wikipedia/commons/5/58/Picture_of_Prokic_Nenad.jpg,male,1954-09-03,Nenad,Nenad Prokić,,,,,,,,,,,,,Nenad Prokić,,,,,,,,,,,,,,,,,,Nenad Prokić,,Ненад Прокић,Nenad Prokić,,,,,,,,,Nenad Prokić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1565935,Миланка Карић,Milanka Karić,,Milanka Karić,,Milanka Karić,Milanka Karić,Milanka Karić,Category:Milanka Karić,,Milanka Karić,Milanka Karić,Milanka Karić,Миланка Карић,https://upload.wikimedia.org/wikipedia/commons/5/58/Milanka_Karic.jpg,female,1957-09-15,Milanka,Milanka Karić,,,,,,,,,,,,,,,,,,,Milanka Karić,,,,,,,Milanka Karić,,,,,,,Миланка Карић,Milanka Karić,,,,,,,,,Milanka Karić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1566294,Лидија Вукићевић,Lidija Vukićević,,Lidija Vukićević,,Lidija Vukićević,Lidija Vukićević,Lidija Vukićević,Category:Lidija Vukićević,,Lidija Vukićević,,Lidija Vukićević,Лидија Вукићевић,https://upload.wikimedia.org/wikipedia/commons/7/77/Lidija_Vukićević.jpg,female,1962-07-20,Lidija,Лидија Вукићевић,,,,,,,,,,,,,,,,,,,,,,Лідія Вукічевич,,,,,Лідія Вукічевич,,,,Lidija Vukićević,,Лидија Вукићевић,Lidija Vukićević,Lidija Vukićević,Lidija Vukićević,,,,,,,Lidija Vukićević,,,,,,,,,,,,,,,,,,,,,,,,,Лидија Вукићевић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15699759,Олгица Батић,Olgica Batić,,Olgica Batić,Olgica Batic,Olgica Batić,Olgica Batić,Olgica Batić,Category:Olgica Batić,,Olgica Batić,Olgica Batić,Olgica Batić,Олгица Батић,https://upload.wikimedia.org/wikipedia/commons/1/10/Olgica_Batic_2012-mc.rs.jpg,female,1981-12-07,Olgica,Olgica Batić,"Батич, Ольгица",,,,,,,,"Батич, Ольгица",,,,,,,,,,Olgica Batić,,,,,,,Olgica Batić,,,,,,,,,,,,,,,,,Olgica Batić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15708342,Милан Кркобабић,Milan Krkobabić,,Milan Krkobabić,,,Milan Krkobabić,Milan Krkobabić,Category:Milan Krkobabić,,Milan Krkobabić,Milan Krkobabić,,Милан Кркобабић,https://upload.wikimedia.org/wikipedia/commons/c/c8/Milan_Krkobabic-mc.rs.jpg,male,1952-01-01,Milan,Milan Krkobabić,"Кркобабич, Милан",,,,,,,,"Кркобабич, Милан",,,,Milan Krkobabić,,,,,,Milan Krkobabić,,,,,,,Milan Krkobabić,,,,,,Milan Krkobabić,,,,,,,,,,,Milan Krkobabić,,Milan Krkobabić,,,,Milan Krkobabić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15710913,,Aleksandar Jugović,,Aleksandar Jugović,,,Aleksandar Jugović,Aleksandar Jugović,,,Aleksandar Jugović,Aleksandar Jugović,,,,male,1975-11-02,Aleksandar,Aleksandar Jugović,,,,,,,,,,,,,,,,,,,Aleksandar Jugović,,,,,,,Aleksandar Jugović,,0000 0000 4509 0178,78533547,no2006060907,,,,,,,,,,,,,Aleksandar Jugović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n2011061385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q157131,Зоран Ђинђић,Zoran Đinđić,Ζόραν Τζίντζιτς,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Ζόραν Τζίντζιτς,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Зоран Ђинђић,https://upload.wikimedia.org/wikipedia/commons/a/a7/Zoran_Djindjic_Cropped.jpg,male,1952-08-01,Zoran,Зоран Ђинђић,"Джинджич, Зоран",Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,,Zoran Đinđić,"Джинджич, Зоран",,,ゾラン・ジンジッチ,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,ゾラン・ジンジッチ,/m/01br1k,Zoran Đinđić,,Zoran Đinđić,Зоран Джинджич,Zoran Đinđić,Zoran Đinđić,,Zoran Đinđić,Зоран Джинджич,0000 0001 2133 8025,54985293,n85065764,Zoran Đinđić,Zoran Djindjic,Зоран Ђинђић,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,,,Zoran Đinđić,Zoran Đinđić,זוראן ג'ינג'יץ',Zoran Đinđić,Zoran Đinđić,ზორან ჯინჯიჩი,Zoran Đinđić,佐兰·金吉奇,Zoran Đinđić,Zoran Đinđić,Zoran Djindjic,Zoran Đinđić,Zoran Đinđić,,זוראן ג'ינג'יץ',Zoran Đinđić,,ზორან ჯინჯიჩი,,Zoran Đinđić,,Zoran Đinđić,Zoran Đinđić,,,Зоран Ђинђић,Zoran Đinđić,Zoran Đinđić,佐兰·金吉奇,Zoran Đinđić,Зоран Ѓинѓиќ,Зоран Ѓинѓиќ,Zoran Đinđić,2003-03-12,145275889,,,Zoran Đinđić,120695987,083000852,Zoran Đinđić,Zoran Gjingjiq,Зоран Джинджич,,Зоран Джынджыч,,Зоран Джинджич,Zoran Đinđić,,Zoran Đinđić,Zoran Đinđić,http://www.zorandjindjic.org/,jx20060117119,243411553,,佐兰·金吉奇,佐蘭·金吉奇,佐蘭·金吉奇,佐兰·金吉奇,佐兰·金吉奇,佐蘭·金吉奇,조란 진지치,Zoran Đinđić,زوران جينجيتش,Zoran Đinđić,Zoran Djindjić,,زوران جینجیچ,زوران جينجيتش,زوران جینجیچ,,Zoran Đinđić,조란 진지치,Zoran Đinđić,,Zoran Djindjić,,Зоран Джынджыч,,,,,,00000022024,biography/Zoran-Djindjic,,,,,,,,,,,,,1466881,Zoran Đinđić,Zoran Đinđić,36591295,OL414228A,,n2005081821,Zoran Đinđić,Zoran Đinđić,झोरान डिंडिक,Zoranas Džindžičius,Zoran Ðinđić,ზორან დინდიჩი,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoranas Džindžičius,झोरान डिंडिक,Zoran Ðinđić,ზორან დინდიჩი,,,Zoran Đinđić,,,,,Zorans Džindžičs,,,,,Zorans Džindžičs,,Zoran Đinđić,,,,,,,,,,,,,,,,,,,,,,,,Zoran Đinđić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoran Đinđić,,,,,,,,,,,,,,,,,,,,,,,0242865,93916,,,1952549,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoran-djindjic,,,,,,,,,,,,,,
Q15733587,,Ivan Karić,,Ivan Karić,,,Ivan Karić,Ivan Karić,,,Ivan Karić,Ivan Karić,,,,male,1975-09-19,Ivan,Ivan Karić,,,,,,,,,,,,,,,,,,,Ivan Karić,,,,,,,Ivan Karić,,,,,,,,,,,,,,,,,Ivan Karić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15741927,Саша Радуловић,Saša Radulović,,Saša Radulović,,Saša Radulović,Saša Radulović,Saša Radulović,Category:Saša Radulović,,Saša Radulović,Saša Radulović,Saša Radulović,Саша Радуловић,https://upload.wikimedia.org/wikipedia/commons/4/40/Sasa_Radulovic_Crop.jpg,male,1965-06-07,Saša,Saša Radulović,,,,,,,,,,,Radulović,,,Saša Radulović,,Saša Radulović (politico),,/m/0_s0bcy,Saša Radulović,,,,,,,Saša Radulović,,,,,,,,,Saša Radulović,Saša Radulović,,,,,,,Saša Radulović,,,,,,,薩沙·拉杜洛維奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SasaRadulovich,,,,,,,SasaRadulovich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15931268,Немања Шаровић,Nemanja Sarovic,,Nemanja Šarović,Nemanja Sarovic,Nemanja Šarović,Nemanja Šarović,Nemanja Šarović,Category:Nemanja Šarović,,Nemanja Šarović,,Nemanja Šarović,Немања Шаровић,https://upload.wikimedia.org/wikipedia/commons/7/71/Nemanja_Šarović_Crop.jpg,male,1974-12-28,Nemanja,Nemanja Šarović,,,,,,,,,,,,,,,,,,,Nemanja Šarović,,,,,,,Nemanja Šarović,,,,,,,,,,,,,,,,,Nemanja Šarović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NemanjaSarovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jurist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16027876,,Konstantin Arsenović,,Konstantin Arsenović,,,Konstantin Arsenović,Konstantin Arsenović,,,Konstantin Arsenović,Konstantin Arsenović,,,,male,1940-06-03,Konstantin,Konstantin Arsenović,,,,,,,,,,,,,,,,,,,Konstantin Arsenović,,,,,,,Konstantin Arsenović,,,,,,,,,,,,,,,,,Konstantin Arsenović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16027877,,Veroljub Arsić,,Veroljub Arsić,,,,Veroljub Arsić,,,Veroljub Arsić,Veroljub Arsić,,,,male,1969-08-28,,Veroljub Arsić,,,,,,,,,,,,,,,,,,,Veroljub Arsić,,,,,,,Veroljub Arsić,,,,,,,,,,,,,,,,,Veroljub Arsić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16082080,Зоран Красић,Zoran Krasić,,Zoran Krasić,Zoran Krasić,,,Zoran Krasić,Category:Zoran Krasić,,Zoran Krasić,Zoran Krasić,,Зоран Красић,https://upload.wikimedia.org/wikipedia/commons/0/0e/Zoran_Krasić.jpg,male,1956-03-11,Zoran,Zoran Krasić,,,,,,,,,,,,,,,,,,,Zoran Krasić,,,,,,,Zoran Krasić,,,,,,,,,,,,,,,,,Zoran Krasić,,,,,,,,,,,,,,,,,,,,,,,,,Зоран Красић,,,,,,,,2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoran Krasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
