id,name,name__ru,name__kk,name__pl,name__en,name__nl,name__de,wikipedia__de,wikipedia__kk,wikipedia__pl,wikipedia__ru,gender,birth_date,occupation,original_wikiname,death_date,name__fr,name__uz,name__uk,wikipedia__uk,wikipedia__uz,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__NUKAT,identifier__ISNI,identifier__NTA,image,family_name,name__sv,name__nb,name__nn,wikipedia__sv,name__ja,name__kk_arab,name__kk_cyrl,name__kk_latn,name__es,wikipedia__en,wikipedia__ja,identifier__freebase,name__ky,name__tr,name__az,wikipedia__az,wikipedia__fr,wikipedia__ky,wikipedia__tr,identifier__FAST,given_name,identifier__LNB,name__ar,wikipedia__ar,name__fi,wikipedia__fi,website,twitter,name__pt,name__sk,name__tg_latn,name__it,name__cs,name__bg,name__kk_cn,name__kk_tr,name__kk_kz,name__tg,name__fa,name__ms,name__hu,name__mg,name__ps,name__cv,wikipedia__bg,wikipedia__commons,wikipedia__cs,wikipedia__cv,wikipedia__fa,wikipedia__hu,wikipedia__it,wikipedia__mg,wikipedia__ms,wikipedia__nl,wikipedia__ps,wikipedia__pt,wikipedia__sk,wikipedia__tg,name__cy,name__et,wikipedia__es,wikipedia__et,name__el,name__en_ca,name__en_gb,wikipedia__el,identifier__google_knowledge,identifier__BIBSYS,name__ro,name__hy,name__be,name__eu,name__zh,name__sq,name__zh_hant,name__zh_cn,name__ml,name__hr,wikipedia__be,wikipedia__hr,wikipedia__hy,wikipedia__ml,wikipedia__ro,wikipedia__ruwikiquote,wikipedia__sq,wikipedia__zh,name__zh_hans
Q12541567,Егор Яковлевич Каппель,,Егор Яковлевич Каппель,,,,,,Егор Яковлевич Каппель,,,male,1957-11-24,,Егор Яковлевич Каппель,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12541753,Елена Ивановна Тарасенко,"Тарасенко, Елена Ивановна",Елена Ивановна Тарасенко,,,,,,Елена Ивановна Тарасенко,,"Тарасенко, Елена Ивановна",female,1956-09-13,teacher,"Тарасенко, Елена Ивановна",,,,,,,,,,,,,,Tarasenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12541799,Елубай Атағайұлы Оразалинов,Илюбай Атагаевич Оразалинов,Елубай Атағайұлы Оразалинов,,,,,,Елубай Атағайұлы Оразалинов,,"Оразалинов, Илюбай Атагаевич",male,1955-07-17,politician,"Оразалинов, Илюбай Атагаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12541987,Еркін Аманоллаұлы Рамазанов,,Еркін Аманоллаұлы Рамазанов,,,,,,Еркін Аманоллаұлы Рамазанов,,,male,1955,,Еркін Аманоллаұлы Рамазанов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12542116,Ерсұлтан Өтеғұлұлы Бектұрғанов,,Ерсұлтан Өтеғұлұлы Бектұрғанов,,,,,,Ерсұлтан Өтеғұлұлы Бектұрғанов,,,male,1952-06-21,politician,Ерсұлтан Өтеғұлұлы Бектұрғанов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12542203,Ерғалы Бөлегенов,,Ерғалы Бөлегенов,,,,,,Ерғалы Бөлегенов,,,male,1954,,Ерғалы Бөлегенов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12545904,Жұматай Әлиұлы Әлиев,"Алиев, Жуматай Алиевич",Жұматай Әлиұлы Әлиев,,,,,,Жұматай Әлиұлы Әлиев,,"Алиев, Жуматай Алиевич",male,1952,,"Алиев, Жуматай Алиевич",,,,,,,,,,,,,,Aliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12546408,Зейнолла Өтежанұлы Алшымбаев,,Зейнолла Өтежанұлы Алшымбаев,,,,,,Зейнолла Өтежанұлы Алшымбаев,,,male,1948-01-01,,Зейнолла Өтежанұлы Алшымбаев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12547535,Ирак Қасымұлы Елекеев,,Ирак Қасымұлы Елекеев,,,,,,Ирак Қасымұлы Елекеев,,,male,1947,,Ирак Қасымұлы Елекеев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12548026,Камал Низамұлы Бұрханов,Камал Низамович Бурханов,Камал Низамұлы Бұрханов,,,,,,Камал Низамұлы Бұрханов,,"Бурханов, Камал Низамович",male,1954-03-31,politician,"Бурханов, Камал Низамович",,,,,,,,,,,,,,Burkhanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12550766,Кәрімов Мұрат Әбділхайұлы,,Кәрімов Мұрат Әбділхайұлы,,,,,,Мұрат Әбділхайұлы Кәрімов,,,male,1931-04-18,scientist,Мұрат Әбділхайұлы Кәрімов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12551535,Лавриненко Юрий Иванович,Юрий Иванович Лавриненко,Лавриненко Юрий Иванович,,,,,,Лавриненко Юрий Иванович,,"Лавриненко, Юрий Иванович",male,1945-11-24,economist,"Лавриненко, Юрий Иванович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12552412,Майра Арапқызы Айсина,,Майра Арапқызы Айсина,,,,,,Майра Арапқызы Айсина,,,female,1956,politician,Майра Арапқызы Айсина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12554693,Мырзагелді Кемел,,Мырзагелді Кемел,,,,,,Мырзагелді Кемел,,,,1949-01-15,writer,Мырзагелді Кемел,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12555160,Мұрат Абдиримұлы Ахмадиев,Ахмадиев Мурат Абдуреимович,Мұрат Абдиримұлы Ахмадиев,,,,,,Мұрат Абдиримұлы Ахмадиев,,"Ахмадиев, Мурат Абдуреимович",male,1950-01-12,singer,"Ахмадиев, Мурат Абдуреимович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12555734,Мәулен Сағатханұлы Әшімбаев,"Ашимбаев, Маулен Сагатханулы",Мәулен Сағатханұлы Әшімбаев,,,,,,Мәулен Сағатханұлы Әшімбаев,,"Ашимбаев, Маулен Сагатханулы",male,1971-01-28,politician,"Ашимбаев, Маулен Сагатханулы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12556719,Нұрлан Әбжаппарұлы Жылқышиев,,Нұрлан Әбжаппарұлы Жылқышиев,,,,,,Нұрлан Әбжаппарұлы Жылқышиев,,,male,1953,,Нұрлан Әбжаппарұлы Жылқышиев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12556721,Нұрлан Әлтайұлы Өнербаев,,Нұрлан Әлтайұлы Өнербаев,,,,,,Нұрлан Әлтайұлы Өнербаев,,,male,1961-11-04,actor,Нұрлан Әлтайұлы Өнербаев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12556779,Нұртай Салихұлы Сабильянов,"Сабильянов, Нуртай Салихулы",Нұртай Салихұлы Сабильянов,,,,,,Нұртай Салихұлы Сабильянов,,"Сабильянов, Нуртай Салихулы",,,,"Сабильянов, Нуртай Салихулы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12557360,Оразкүл Асанғазы,,Оразкүл Асанғазы,,,,,,Оразкүл Асанғазы,,,male,1952-02-22,,Оразкүл Асанғазы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12560241,Розақұл Сатыпалдыұлы Халмурадов,"Халмурадов, Розакул Сатыбалдиевич",Розақұл Сатыпалдыұлы Халмурадов,,,,,,Розақұл Сатыпалдыұлы Халмурадов,,"Халмурадов, Розакул Сатыбалдиевич",male,1941-05-01,,"Халмурадов, Розакул Сатыбалдиевич",,,Roʻzaqul Xalmurodov,,,Roʻzaqul Xalmurodov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12561286,Сатыбалды Тілемісұлы Ибрагимов,,Сатыбалды Тілемісұлы Ибрагимов,,,,,,Сатыбалды Тілемісұлы Ибрагимов,,,male,1940,,Сатыбалды Тілемісұлы Ибрагимов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12561708,Светлана Федоровна Бычкова,,Светлана Федоровна Бычкова,,,,,,Светлана Федоровна Бычкова,,,female,1957,,Светлана Федоровна Бычкова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svetlana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12561850,Сейітсұлтан Сүлейменұлы Әйімбетов,,Сейітсұлтан Сүлейменұлы Әйімбетов,,,,Sejitsultan Äjimbetow,Sejitsultan Äjimbetow,Сейітсұлтан Сүлейменұлы Әйімбетов,,,male,1947,civil servant,Сейітсұлтан Сүлейменұлы Әйімбетов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12562033,Сергей Васильевич Дрожжин,"Дрожжин, Сергей Васильевич",Сергей Васильевич Дрожжин,,,,,,Сергей Васильевич Дрожжин,,"Дрожжин, Сергей Васильевич",male,1941-09-05,metallurgist,Сергей Васильевич Дрожжин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12562172,Серік Жәмекұлы Оспанов,"Оспанов, Серик Жамекович",Серік Жәмекұлы Оспанов,,,,,,Серік Жәмекұлы Оспанов,,"Оспанов, Серик Жамекович",male,1964-07-01,,"Оспанов, Серик Жамекович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12562199,Серік Тұрарұлы Сейдуманов,"Сейдуманов, Серик Турарович",Серік Тұрарұлы Сейдуманов,,,,,,Серік Тұрарұлы Сейдуманов,,"Сейдуманов, Серик Турарович",male,1957-02-15,politician,"Сейдуманов, Серик Турарович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12562206,Серік Ғабдоллаұлы Темірболатов,,Серік Ғабдоллаұлы Темірболатов,,,,,,Серік Ғабдоллаұлы Темірболатов,,,male,1954,,Серік Ғабдоллаұлы Темірболатов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12567162,Тұрарбек Мәжілұлы Асанов,,Тұрарбек Мәжілұлы Асанов,,,,,,Тұрарбек Мәжілұлы Асанов,,,male,1951,,Тұрарбек Мәжілұлы Асанов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12568016,Уәлихан Қалижан,,Уәлихан Қалижан,,,,,,Уәлихан Қалижан,,,,1948-03-18,philologist,Уәлихан Қалижан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12568018,Уәлихан Қозыкеұлы Бишімбаев,,Уәлихан Қозыкеұлы Бишімбаев,,,,,,Уәлихан Қозыкеұлы Бишімбаев,,,male,1946,,Уәлихан Қозыкеұлы Бишімбаев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12569106,Хитуов Тарас Киікбайұлы,"Хитуов, Тарас Кикбаевич",Хитуов Тарас Киікбайұлы,,,,,,Хитуов Тарас Киікбайұлы,,"Хитуов, Тарас Кикбаевич",male,1964-02-04,politician,"Хитуов, Тарас Кикбаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12571010,Шәріп Омаров,"Омаров, Шарип Омарович",Шәріп Омаров,,,,,,Шәріп Омарұлы Омаров,,"Омаров, Шарип Омарович",male,1948-09-10,musician,"Омаров, Шарип Омарович",2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12573236,Қазақстан Республикасы Парламентінің Мәжіліс депутаттарының тізімі,,Қазақстан Республикасы Парламентінің Мәжіліс депутаттарының тізімі,,,,,,Қазақстан Республикасы Парламентінің Мәжіліс депутаттарының тізімі (V сайланым),,,,,,Қазақстан Республикасы Парламентінің Мәжіліс депутаттарының тізімі (V сайланым),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12574110,Қалыбаев Әбдіржан,Абдиржан Калыбаевич Калыбаев,Қалыбаев Әбдіржан,,,,,,Әбдіржан Қалыбаев,,"Калыбаев, Абдиржан Калыбаевич",male,1935,,"Калыбаев, Абдиржан Калыбаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12576540,Қылышбай Алдабергенұлы Бисенов,,Қылышбай Алдабергенұлы Бисенов,,,,,,Қылышбай Алдабергенұлы Бисенов,,,male,1957,scientist,Қылышбай Алдабергенұлы Бисенов,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Қылышбай_Алдабергенов.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12576720,Құдайберген Сұлтанбай,"Султанбаев, Кудайберген Тауекелович",Құдайберген Сұлтанбай,,,,,,Құдайберген Тәуекелұлы Сұлтанбаев,,"Султанбаев, Кудайберген Тауекелович",male,1947-01-01,actor,"Султанбаев, Кудайберген Тауекелович",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15063870,Нұрлан Мәжитұлы Әбдіров,"Абдиров, Нурлан Мажитович",Нұрлан Мәжитұлы Әбдіров,,Nurlan Abdirov,,,,Нұрлан Мәжитұлы Әбдіров,,"Абдиров, Нурлан Мажитович",male,1961-01-12,politician,"Абдиров, Нурлан Мажитович",,,,,,,,,,,,,,,,Nurlan Äbdirov,Nurlan Äbdirov,,,,,,,,,,,,,,,,,,,,,,Nurlan Abdirov,Nurlan Abdirov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15068162,"Калдыгулова, Сания Мусаевна","Калдыгулова, Сания Мусаевна",,,,,,,,,"Калдыгулова, Сания Мусаевна",female,1956-11-24,politician,"Калдыгулова, Сания Мусаевна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15070975,Тоқтасынов,"Тохтасынов, Толен Мухамедиевич",Тоқтасынов,,,,,,Төлен Мұхамедиұлы Тоқтасынов,,"Тохтасынов, Толен Мухамедиевич",male,1962-10-09,,"Тохтасынов, Толен Мухамедиевич",,,,,,,,,,,,,,,,Tölen Toqtasynov,Tölen Toqtasynov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16431282,Жарасбай Қабдоллаұлы Сүлейменов,,Жарасбай Қабдоллаұлы Сүлейменов,,,,,,Жарасбай Қабдоллаұлы Сүлейменов,,,male,1949,journalist,Жарасбай Қабдоллаұлы Сүлейменов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16432099,Светлана Ивановна Ферхо,,Светлана Ивановна Ферхо,,Svetlana Ferkho,,Swetlana Iwanowna Fercho,,Светлана Ивановна Ферхо,,,female,1953,scientist,Светлана Ивановна Ферхо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svetlana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16432942,Ирина Петровна Аронова,,Ирина Петровна Аронова,,,,,,Ирина Петровна Аронова,,,female,1957,,Ирина Петровна Аронова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16432966,Асқар Ермырзаұлы Базарбаев,,Асқар Ермырзаұлы Базарбаев,,,,,,Асқар Ермырзаұлы Базарбаев,,,male,1954,,Асқар Ермырзаұлы Базарбаев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16433030,Дарья Владимировна Клебанова,Дарья Владимировна Клебанова,Дарья Владимировна Клебанова,,Darya Klebanova,,Darja Wladimirowna Klebanowa,,Дарья Владимировна Клебанова,,,female,1963,,Дарья Владимировна Клебанова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
