name,honorific_prefix,area_id,area,term
Kisinh Sinphanngam,Mr,15,Champasak Province,2011
Kongphet Keobouapha,Mr,3,Luangnamtha Province,2011
Koukeo Akkhamonti,Dr,1,Vientiane Capital,2011
Lasanivong Amarathithada,Mr,1,Vientiane Capital,2011
Latsamy Mingboupha,Ms,3,Luangnamtha Province,2011
Malisa Aphaylath,Ms,11,Bolikhamxay Province,2011
Manixong Leusisamouth,Ms,14,Saravan Province,2011
Meksavanh Phomphithak,Mr,15,Champasak Province,2011
Misone Thongxaysy,Ms,8,Houaphanh Province,2011
Onkeo Phommakone,Dr,17,Attapue Province,2011
Onsy Saensouk,Colonel,10,Vientiane Province,2011
Oudone Singsouvong,Mr,15,Champasak Province,2011
Oulavanh Bounthachak,Mr,5,Bokeo Province,2011
Ounkeo Vouthirath,Dr,5,Bokeo Province,2011
Pany Yathortou,Ms,7,Xayabouly province,2011
Phanduangchit Vongsa,Dr,15,Champasak Province,2011
Phetkeo Heuangpannha,Mr,17,Attapue Province,2011
Phetsamone Khonpasith,Mr,16,Xekong Province,2011
Phonethep Pholsena,Prof. Dr,15,Champasak Province,2011
Phonmany Khienxayavong,Ms,17,Attapue Province,2011
Phonsouk Thongsombath,Mr,8,Houaphanh Province,2011
Pingkham Lasasimma,Ms,15,Champasak Province,2011
Saengthong Phakhounthong,Mr,12,Khammouane Province,2011
Sikeo Sipachack,Mr,2,Phongsaly Province,2011
Sikhay Sipaseuth,Ms,11,Bolikhamxay Province,2011
Simoun Ounlasy,Mr,13,Savannakhet Province,2011
Singphet Bounsavatthiphanh,Mr,15,Champasak Province,2011
Singtan Xayleuxong,Mr,6,Luangprabang Province,2011
Sisaliew Savengsuksa,Dr,1,Vientiane Capital,2011
Sivanh Outthachak,Lt. Col.,15,Champasak Province,2011
SomOck Kingsada,Assoc. Prof. Dr,10,Vientiane Province,2011
Somchanh Chitvongdeuan,Ms,4,Oudomxay Province,2011
Somchay Ounchit,Mr,14,Saravan Province,2011
Somchit Kittiyalath,Lt. Col.,13,Savannakhet Province,2011
Somdy Keodalavin,Mr,10,Vientiane Province,2011
Somphanh Phaengkhammy,Mr,8,Houaphanh Province,2011
Somphet Inthathilath,Mr,13,Savannakhet Province,2011
Somphone Soutthisombath,Lt. Col.,13,Savannakhet Province,2011
Somphou Douangsavanh,Dr,13,Savannakhet Province,2011
Somsanouk Keonimith,Mr,16,Xekong Province,2011
Somvandy Sisouphanh,Mr,9,Xiengkhouang Province,2011
Somvang Thammasith,Colonel Dr,1,Vientiane Capital,2011
Sonthanou Thammavong,Dr,13,Savannakhet Province,2011
Souvanpheng Bouphanouvong,Dr,1,Vientiane Capital,2011
Suanesavanh Vignaket,Ms,14,Saravan Province,2011
Thatsadaphone Saengsouliya,Ms,13,Savannakhet Province,2011
Thipphachanh Phoxay,Police Lt. Colonel,12,Khammouane Province,2011
Thongdy Phabboua-on,Mr,7,Xayabouly province,2011
Vaenphet Latdavong,Mr,14,Saravan Province,2011
Vankham Inthichack,Mr,13,Savannakhet Province,2011
Vannala Soutthichak,Mr,15,Champasak Province,2011
Vanpheng Keonakhone,Ms,1,Vientiane Capital,2011
Vatsana Silima,Ms,15,Champasak Province,2011
Viengmany Chanthanasin,Ms,12,Khammouane Province,2011
Vilaysouk Phimmasone,Mr,9,Xiengkhouang Province,2011
Vixaykone Vannachomchanh,Mr,5,Bokeo Province,2011
Vongchanh Phomsavath,Mr,7,Xayabouly province,2011
Vongsack Xaoxuayang,Major,8,Houaphanh Province,2011
Vonkham Phetthavong,Mr,3,Luangnamtha Province,2011
Xaysomphone Phomvihane,Dr,13,Savannakhet Province,2011
Xokxay Phimmala,Lt. Col,17,Attapue Province,2011
amphone Sivilaysak,Mrs,6,Luangprabang Province,2011
