id,name__la,name__de,name__cs,name__pl,name__fr,name__en,name__fi,name__it,name__nl,name__es,name__hu,name__nb,name__da,name__nn,name__sv,name__ar,name,wikipedia__ar,wikipedia__cs,wikipedia__de,wikipedia__en,wikipedia__fi,wikipedia__fr,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__pl,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,birth_date,identifier__freebase,identifier__NKC,given_name,identifier__NTA,identifier__Munzinger,identifier__FAST,original_wikiname,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cy,name__eo,name__et,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,wikipedia__cswikiquote,wikipedia__commons,name__hsb,wikipedia__hsb,wikipedia__sk,name__ru,wikipedia__ro,wikipedia__ru,identifier__EuroparlMEP,identifier__PACE,name__he,name__be,name__sr,name__uk,name__ja,name__bg,name__zh,name__oc,name__be_tarask,name__vi,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__dewikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ruwikinews,wikipedia__sl,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,noble_title,identifier__BNF,identifier__NDL,website,death_date,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__yo,name__id,name__el,name__sh,name__sr_el,name__sr_ec,name__io,name__lv,name__mg,name__fa,wikipedia__ast,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__fa,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__ko,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__nn,wikipedia__oc,wikipedia__sco,wikipedia__sh,wikipedia__yo,identifier__NNDB,name__de_ch,name__en_ca,name__en_gb,identifier__NLP,wikipedia__enwikiquote,wikipedia__itwikiquote,identifier__parlement,name__eml,name__fo,name__frr,name__min,name__pt_br,family_name,wikipedia__als,wikipedia__simple,identifier__MusicBrainz,wikipedia__bs,twitter,facebook,name__ie,wikipedia__ie,identifier__IMDB,identifier__CSFD,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__PORT,identifier__kinopoisk,identifier__filmportal_de,name__szl,name__rue,wikipedia__eu,wikipedia__rue,wikipedia__szl,name__ur,name__ka,name__ms,name__pam,name__ps,name__tl,name__hy,name__az,name__mr,wikipedia__az,wikipedia__cswikisource,wikipedia__gd,wikipedia__hy,wikipedia__ka,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__pam,wikipedia__ps,wikipedia__tl,wikipedia__ur,identifier__GTAA,identifier__CSPAN,identifier__NUKAT,name__qu,name__uz,name__yi,name__mn,name__nov,name__ilo,name__dsb,name__jv,name__kk,wikipedia__dsb,wikipedia__eowikiquote,wikipedia__ilo,wikipedia__jv,wikipedia__kk,wikipedia__lmo,wikipedia__ltwikiquote,wikipedia__mn,wikipedia__nov,wikipedia__qu,wikipedia__sq,wikipedia__uz,wikipedia__yi,identifier__NLA,identifier__BNE,identifier__CANTIC,identifier__Britannica,identifier__goodreads,wikipedia__skwikiquote,name__vo,wikipedia__vo,identifier__elonet,name__ml,wikipedia__ml,identifier__NLI,wikipedia__ga,identifier__GNC,identifier__discogs,occupation,identifier__wikitree,wikipedia__br,identifier__ORCID,wikipedia__zh_yue,name__yue,name__tt,identifier__quora,identifier__persee,name__ext,name__bm,name__de_at,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__wo,name__zu,identifier__songkick,name__mk,identifier__BAV,identifier__BIBSYS,wikipedia__th,identifier__bigenc_ru,name__kl,name__th,identifier__ne_se,wikipedia__tt,weblog,wikipedia__ta,name__ta,identifier__LAC,name__lfn,wikipedia__af,name__fit,identifier__ioc_athlete,linkedin,identifier__CONOR,wikipedia__mk
Q12016996,,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,,František Dědič,,František Dědič,,,,,,,,,,male,0000 0000 5688 5419,84674933,,,,1963-03-07,,,František,,,,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,František Dědič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017161,,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,,František Kačenka,,František Kačenka,,,,,,,,,,male,0000 0000 5862 5266,83653763,,,,1948-04-04,,,František,,,,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,František Kačenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017188,,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,,František Koníček,,František Koníček (ministr),,,,,,,,František Koníček,https://upload.wikimedia.org/wikipedia/commons/4/4f/František_Koníček.JPG,male,,,,,,1953-05-17,,,František,,,,František Koníček (ministr),František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,František Koníček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017205,,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,,František Kozel,,František Kozel,,,,,,,,,,male,,84521952,,,,1944-03-16,,,František,,,,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,František Kozel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kozel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedagogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,František Kozel,,,,,,
Q12017258,,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,,František Laudát,,František Laudát,,František Laudát,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/František_Laudát_2014.JPG,male,0000 0000 5591 6041,84140126,,,,1960-03-13,,jo2002111954,František,,,,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,František Laudát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedagogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017353,,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,,František Novosad,,František Novosad,,,,,,,,,,male,0000 0000 5537 6276,26642489,,,,1948-05-22,,,František,,,,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,František Novosad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novosad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,František Novosad,,,,,,
Q12017370,,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,,František Novák,,František Novák (politik ODS),,,,,,,,,,male,,84770997,,,,1946-03-08,,,František,,,,František Novák (politik ODS),František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,František Novák,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017381,,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,,František Ondruš,,František Ondruš,,,,,,,,,,male,,,,,,1953-12-26,,,František,,,,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,František Ondruš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,František Ondruš,,,,,,
Q12017397,,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,,František Pejřil,,František Pejřil,,,,,,,,,,male,0000 0000 7786 8917,120619284,,,,1947-06-30,,,František,,,,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,František Pejřil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,František Pejřil,,,,,,
Q12017398,,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,,František Pelc,,František Pelc,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/61/FrantisekPelc.JPG,male,0000 0000 5863 4189,84143138,,,,1962-10-04,,,František,,,,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,František Pelc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedagogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017420,,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,,František Pluhař,,František Pluhař,,,,,,,,,,male,,,,,,1937-02-11,,,František,,,,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,František Pluhař,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,František Pluhař,,,,,,
Q12017484,,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,,František Sivera,,František Sivera,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Frantisek_Sivera_2010.JPG,male,,,,,,1967-01-29,,,František,,,,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,František Sivera,,Category:František Sivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017512,,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,,František Strnad,,František Strnad,,,,,,,,,,male,,,,,,1944-02-07,,,František,,,,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,František Strnad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strnad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedagogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017536,,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,,František Trnka,,František Trnka,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/František_Trnka.jpg,male,0000 0000 7859 6722,22950477,,,,1931-03-19,,,František,,,,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,František Trnka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trnka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedagogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017586,,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,,František Vnouček,,František Vnouček (politik),,,,,,,,,,male,,,,,,1945-11-16,,,František,,,,František Vnouček (politik),František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,František Vnouček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017708,,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,,František Šnajdauf,,František Šnajdauf,,,,,,,,,,male,,,,,,1954-02-05,,,František,,,,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,František Šnajdauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12017710,,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,,František Španbauer,,František Španbauer,,,,,,,,,,male,,,,,,1946-06-18,,,František,,,,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,František Španbauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
