id,name__fr,name__nl,name__de,name__en,name__it,name,wikipedia__fr,wikipedia__nl,gender,birth_date,given_name,original_wikiname,name__pl,name__es,name__nb,name__da,name__nn,name__sv,name__hu,name__et,wikipedia__commons,wikipedia__de,wikipedia__en,wikipedia__et,wikipedia__no,wikipedia__pl,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,website,identifier__NTA,name__ca,wikipedia__ca,wikipedia__es,wikipedia__sv,name__zh_hant,name__zh_cn,name__ku,name__tr,name__ckb,name__ro,name__bg,wikipedia__bg,wikipedia__ckb,wikipedia__ku,wikipedia__ro,wikipedia__tr,name__eo,name__de_ch,name__en_ca,name__en_gb,name__lb,name__oc,name__ru,name__uk,name__el,name__zh,name__vi,name__ko,name__la,name__cs,name__br,name__ja,name__ar,name__he,name__id,name__ie,name__io,name__fi,name__af,name__fa,name__li,wikipedia__af,wikipedia__ar,wikipedia__br,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__oc,wikipedia__ru,wikipedia__ruwikinews,wikipedia__uk,wikipedia__vi,wikipedia__zh,family_name,name__an,name__ast,name__bar,name__co,name__cy,name__de_at,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__is,name__kg,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,wikipedia__wa,name__bs,name__ceb,name__lmo,name__lt,name__sq,wikipedia__vls,death_date,twitter,identifier__ODIS,name__be,name__mr,name__sh,name__sr,name__th,name__nan,wikipedia__be,wikipedia__cswikiquote,wikipedia__cy,wikipedia__frwikiquote,wikipedia__hr,wikipedia__lmo,wikipedia__lt,wikipedia__mg,wikipedia__mr,wikipedia__ms,wikipedia__plwikiquote,wikipedia__pt,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__th,wikipedia__zh_min_nan,identifier__EuroparlMEP,identifier__Munzinger,identifier__parlement,identifier__FAST,facebook,wikipedia__nlwikiquote,name__ksh,name__frr,name__fy,name__lfn,name__pdc,name__pdt,name__pfl,name__sli,name__stq,name__vmf,identifier__IMDB,identifier__DBNL,name__rw,wikipedia__rw,identifier__PACE,wikipedia__hsb,name__hsb,occupation,wikipedia__ga,identifier__belgian_senate,identifier__flemish_parliament,identifier__quora,identifier__NUKAT,identifier__persee,name__hy,linkedin,name__ext,identifier__Britannica,email,identifier__youtube,name__be_tarask,identifier__google_knowledge,identifier__OLID,identifier__BIBSYS,wikipedia__nn,wikipedia__nlwikinews,identifier__bigenc_ru,identifier__GTAA,wikipedia__uz,wikipedia__ast,name__uz,noble_title,instagram,identifier__NKC,wikipedia__wuu,name__dsb,name__jv,name__tl,name__war,name__yo
Q15883457,Vincent Scourneau,Vincent Scourneau,Vincent Scourneau,Vincent Scourneau,Vincent Scourneau,Vincent Scourneau,Vincent Scourneau,Vincent Scourneau,male,1967-06-22,Vincent,Vincent Scourneau,,Vincent Scourneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincent Scourneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15992,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,male,1955-10-13,Patrick,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,,,Patrick Dewael,Patrick Dewael,,,Patrick Dewael,,0000 0000 4400 5082,48453866,,n94029114,,,/m/03vpp3,,073959812,Patrick Dewael,,Patrick Dewael,,,,,,,,,,,,,,,Patrick Dewael,Patrick Dewael,Patrick Dewael,,Patrick Dewael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Dewael,,,,,,,,,,,,,Patrick Dewael,Patrick Dewael,,,,,,,,,,Patrick Dewael,,,,,,,Patrick Dewael,,,,,,,,,,,,,,,,Patrick Dewael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Dewael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dewa010,,,,,,politician,,,1802,,,,,,Patrick Dewael,,,,,,,,,Categorie:Patrick Dewael,,93104,,,,,,,,,,,,
Q16069165,Sarah Claerhout,Sarah Claerhout,Sarah Claerhout,Sarah Claerhout,Sarah Claerhout,Sarah Claerhout,Sarah Claerhout,Sarah Claerhout,female,1977-07-14,Sarah,Sarah Claerhout,,Sarah Claerhout,,,,,,,Category:Sarah Claerhout,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Sarah_Claerhout.jpg,,310599466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claerhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarah Claerhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1663490,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,male,1972-08-29,Alain,Alain Mathot,,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,Alain Mathot,,,,Alain Mathot,,,,,,,,,,,,,http://www.alainmathot.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alain Mathot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16662935,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,male,1964-03-15,Marco,Marco Van Hees,,Marco Van Hees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Van Hees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Van Hees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Van Hees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16672153,Raoul Hedebouw,Raoul Hedebouw,Raoul Hedebouw,Raoul Hedebouw,Raoul Hedebouw,Raoul Hedebouw,Raoul Hedebouw,Raoul Hedebouw,male,1977-07-12,Raoul,Raoul Hedebouw,,Raoul Hedebouw,,,,,,,,,Raoul Hedebouw,,,,,0000 0004 0985 4520,303911066,1043833145,,16700214f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raoul Hedebouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17038223,Jan Spooren,Jan Spooren,Jan Spooren,Jan Spooren,Jan Spooren,Jan Spooren,,Jan Spooren,male,1969-01-12,Jan,Jan Spooren,,Jan Spooren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Spooren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17048132,Brecht Vermeulen,Brecht Vermeulen,Brecht Vermeulen,Brecht Vermeulen,Brecht Vermeulen,Brecht Vermeulen,,Brecht Vermeulen,male,1969-06-17,Brecht,Brecht Vermeulen,,Brecht Vermeulen,,,,,,,Category:Brecht Vermeulen,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/Brecht_Vermeulen_-_September_2016_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vermeulen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecht Vermeulen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17149643,Valerie Van Peel,Valerie Van Peel,Valerie Van Peel,Valerie Van Peel,Valerie Van Peel,Valerie Van Peel,,Valerie Van Peel,female,1979-10-11,Valerie,Valerie Van Peel,,Valerie Van Peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valerie Van Peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17149749,Koen Metsu,Koen Metsu,Koen Metsu,Koen Metsu,Koen Metsu,Koen Metsu,,Koen Metsu,male,1981-07-23,Koen,Koen Metsu,,Koen Metsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koen Metsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17191473,Yoleen Van Camp,Yoleen Van Camp,Yoleen Van Camp,Yoleen Van Camp,Yoleen Van Camp,Yoleen Van Camp,,Yoleen Van Camp,female,1987-08-25,,Yoleen Van Camp,,Yoleen Van Camp,,,,,,,,,Yoleen Van Camp,,,,https://upload.wikimedia.org/wikipedia/commons/2/27/YoleenVC_by_MVC_14-03-2014.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoleen Van Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
