id,name,name__ru,area,area_id,image,email,source,term
217,RASSOXA NIKOLAJ,Рассоха Николай Федорович,Мозырский,42,http://house.gov.by/images/storage/person/000683_164477.jpg,,http://house.gov.by/ru/deputies-ru/view/rassoxa-nikolaj-217/,6
221,SCHEPOV VLADISLAV,Щепов Владислав Александрович,Рогачевский,45,http://house.gov.by/images/storage/person/000683_458841.jpg,,http://house.gov.by/ru/deputies-ru/view/schepov-vladislav-221/,6
228,FILIPPOVICH GALINA,Филиппович Галина Васильевна,Светлогорский,46,http://house.gov.by/images/storage/person/000683_821087.jpg,,http://house.gov.by/ru/deputies-ru/view/filippovich-galina-228/,6
231,CHEKAN SVETLANA,Чекан Светлана Владиславовна,Хойникский,47,http://house.gov.by/images/storage/person/000683_287208.jpg,Chekan@house.gov.by,http://house.gov.by/ru/deputies-ru/view/chekan-svetlana-231/,6
234,SHEVTSOV DMITRIJ,Шевцов Дмитрий Евгеньевич,Коласовский,106,http://house.gov.by/images/storage/person/000683_123871.jpg,,http://house.gov.by/ru/deputies-ru/view/shevtsov-dmitrij-234/,6
541,BRICH LEONID,Брич Леонид Григорьевич,Брестский-Западный,1,http://house.gov.by/images/storage/person/000683_939131.jpg,,http://house.gov.by/ru/deputies-ru/view/brich-leonid-541/,6
542,DASHKO ANATOLIJ,Дашко Анатолий Михайлович,Брестский-Восточный,3,http://house.gov.by/images/storage/person/000683_606829.jpg,dаshко@house.gov.by,http://house.gov.by/ru/deputies-ru/view/dashko-anatolij-542/,6
543,JAKUBOVICH TATJJANA,Якубович Татьяна Романовна,Барановичский-Восточный,6,http://house.gov.by/images/storage/person/000683_353500.jpg,,http://house.gov.by/ru/deputies-ru/view/jakubovich-tatjjana-543/,6
544,TSUPRIK LEONID,Цуприк Леонид Александрович,Барановичский сельский,7,http://house.gov.by/images/storage/person/000683_69839.jpg,,http://house.gov.by/ru/deputies-ru/view/tsuprik-leonid-544/,6
545,STATIVKO ZHANNA,Стативко Жанна Владимировна,Беловежский,8,http://house.gov.by/images/storage/person/000683_464051.jpg,,http://house.gov.by/ru/deputies-ru/view/stativko-zhanna-545/,6
546,KACHINA LEONID,Качина Леонид Иванович,Березовский,9,http://house.gov.by/images/storage/person/000683_513410.jpg,kachina@house.gov.by,http://house.gov.by/ru/deputies-ru/view/kachina-leonid-546/,6
547,TKACHUK ANATOLIJ,Ткачук Анатолий Владимирович,Ивацевичский,11,http://house.gov.by/images/storage/person/000683_804545.jpg,,http://house.gov.by/ru/deputies-ru/view/tkachuk-anatolij-547/,6
548,DEMIDOVICH VASILIJ,Демидович Василий Николаевич,Кобринский,12,http://house.gov.by/images/storage/person/000683_158066.jpg,demidovich@house.gov.by,http://house.gov.by/ru/deputies-ru/view/demidovich-vasilij-548/,6
549,NEVAR IGOR,Невар Игорь Леонидович,Лунинецкий,13,http://house.gov.by/images/storage/person/000683_579798.jpg,,http://house.gov.by/ru/deputies-ru/view/nevar-igor-549/,6
550,KOLB IGOR,Колб Игорь Михайлович,Пинский городской,14,http://house.gov.by/images/storage/person/000683_135999.jpg,,http://house.gov.by/ru/deputies-ru/view/kolb-igor-550/,6
551,REBKOVETS IVAN,Ребковец Иван Григорьевич,Пинский сельский,15,http://house.gov.by/images/storage/person/000683_952757.jpg,,http://house.gov.by/ru/deputies-ru/view/rebkovets-ivan-551/,6
552,BOBOLOVICH ALEKSANDR,Боболович Александр Сергеевич,Столинский,16,http://house.gov.by/images/storage/person/000683_542865.jpg,bobolovich@house.gov.by,http://house.gov.by/ru/deputies-ru/view/bobolovich-aleksandr-552/,6
553,STARINSKAJA TATJJANA,Старинская Татьяна Александровна,Витебский-Горьковский,17,http://house.gov.by/images/storage/person/000683_7038.jpg,,http://house.gov.by/ru/deputies-ru/view/starinskaja-tatjjana-553/,6
554,ZANKO SERGEJ,Занько Сергей Николаевич,Витебский-Чкаловский,18,http://house.gov.by/images/storage/person/000683_978997.jpg,,http://house.gov.by/ru/deputies-ru/view/zanko-sergej-554/,6
556,MIROSH VIKTOR,Мирош Виктор Викентьевич,Городокский,21,http://house.gov.by/images/storage/person/000683_21573.jpg,Mirosh@house.gov.by,http://house.gov.by/ru/deputies-ru/view/mirosh-viktor-556/,6
557,MARTYNOV IGOR,Мартынов Игорь Феликсович,Лепельский,23,http://house.gov.by/images/storage/person/000683_772617.jpg,,http://house.gov.by/ru/deputies-ru/view/martynov-igor-557/,6
558,CHUDOVICH VITALIJ,Чудович Виталий Игоревич,Оршанский-Днепровский,26,http://house.gov.by/images/storage/person/000683_864003.jpg,,http://house.gov.by/ru/deputies-ru/view/chudovich-vitalij-558/,6
559,JUNITSYN ANDREJ,Юницын Андрей Юрьевич,Полоцкий сельский,28,http://house.gov.by/images/storage/person/000683_408746.jpg,,http://house.gov.by/ru/deputies-ru/view/junitsyn-andrej-559/,6
560,ZEMCHENOK SERGEJ,Земченок Сергей Ричардович,Поставский,29,http://house.gov.by/images/storage/person/000683_33761.jpg,,http://house.gov.by/ru/deputies-ru/view/zemchenok-sergej-560/,6
561,LUKASHOV ANATOLIJ,Лукашов Анатолий Иванович,Сенненский,30,http://house.gov.by/images/storage/person/000683_124141.jpg,Lukashov@house.gov.by,http://house.gov.by/ru/deputies-ru/view/lukashov-anatolij-561/,6
562,KORZH IVAN,Корж Иван Алексеевич,Гомельский-Юбилейный,31,http://house.gov.by/images/storage/person/000683_951927.jpg,,http://house.gov.by/ru/deputies-ru/view/korzh-ivan-562/,6
563,SHILOV VITALIJ,Шилов Виталий Петрович,Гомельский-Сельмашевский,32,http://house.gov.by/images/storage/person/000683_226908.jpg,Shilov@house.gov.by,http://house.gov.by/ru/deputies-ru/view/shilov-vitalij-563/,6
564,ZHDANOVICH PAVEL,Жданович Павел Леонидович,Гомельский-Советский,34,http://house.gov.by/images/storage/person/000683_84978.jpg,,http://house.gov.by/ru/deputies-ru/view/zhdanovich-pavel-564/,6
565,GURSKIJ DMITRIJ,Гурский Дмитрий Михайлович,Гомельский-Промышленный,35,http://house.gov.by/images/storage/person/000683_821967.jpg,,http://house.gov.by/ru/deputies-ru/view/gurskij-dmitrij-565/,6
567,VASILKOV NIKOLAJ,Васильков Николай Андреевич,Буда-Кошелевский,38,http://house.gov.by/images/storage/person/000683_742001.jpg,,http://house.gov.by/ru/deputies-ru/view/vasilkov-nikolaj-567/,6
568,KRALEVICH IRINA,Кралевич Ирина Николаевна,Житковичский,39,http://house.gov.by/images/storage/person/000683_221673.jpg,,http://house.gov.by/ru/deputies-ru/view/kralevich-irina-568/,6
569,DJJACHENKO VJACHESLAV,Дьяченко Вячеслав Иванович,Жлобинский,40,http://house.gov.by/images/storage/person/000683_747645.jpg,,http://house.gov.by/ru/deputies-ru/view/djjachenko-vjacheslav-569/,6
570,ADAMENKO EVGENIJ,Адаменко Евгений Буниславович,Калинковичский,41,http://house.gov.by/images/storage/person/000683_368555.jpg,Adamenko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/adamenko-evgenij-570/,6
572,PISANIK LEONID,Писаник Леонид Федорович,Полесский,43,http://house.gov.by/images/storage/person/000683_174826.jpg,,http://house.gov.by/ru/deputies-ru/view/pisanik-leonid-572/,6
573,PIRSHTUK BOLESLAV,Пирштук Болеслав Казимирович,Речицкий,44,http://house.gov.by/images/storage/person/000683_209641.jpg,,http://house.gov.by/ru/deputies-ru/view/pirshtuk-boleslav-573/,6
575,PATSEVICH SERGEJ,Пацевич Сергей Леонтьевич,Гродненский-Занеманский,49,http://house.gov.by/images/storage/person/000683_235218.jpg,,http://house.gov.by/ru/deputies-ru/view/patsevich-sergej-575/,6
576,RUSAK VIKTOR,Русак Виктор Ромуальдович,Гродненский-Октябрьский,50,http://house.gov.by/images/storage/person/000683_132838.jpg,,http://house.gov.by/ru/deputies-ru/view/rusak-viktor-576/,6
577,KIRJJAK LILIJA,Кирьяк Лилия Вацлавовна,Гродненский-Центральный,51,http://house.gov.by/images/storage/person/000683_758470.jpg,,http://house.gov.by/ru/deputies-ru/view/kirjjak-lilija-577/,6
578,DOLGOSHEJ TAMARA,Долгошей Тамара Сергеевна,Гродненский-Ленинский,52,http://house.gov.by/images/storage/person/000683_840760.jpg,Dolgoshei@house.gov.by,http://house.gov.by/ru/deputies-ru/view/dolgoshej-tamara-578/,6
579,LITVIN SERGEJ,Литвин Сергей Иванович,Гродненский сельский,53,http://house.gov.by/images/storage/person/000683_426112.jpg,Litvin@house.gov.by,http://house.gov.by/ru/deputies-ru/view/litvin-sergej-579/,6
580,MARKEVICH ALEKSANDR,Маркевич Александр Иванович,Ивьевский,54,http://house.gov.by/images/storage/person/000683_308083.jpg,MarkevichA@house.gov.by,http://house.gov.by/ru/deputies-ru/view/markevich-aleksandr-580/,6
581,MIXNEVICH VALENTIN,Михневич Валентин Владимирович,Дятловский,56,http://house.gov.by/images/storage/person/000683_384060.jpg,,http://house.gov.by/ru/deputies-ru/view/mixnevich-valentin-581/,6
582,POPKO OLGA,Попко Ольга Николаевна,Новогрудский,57,http://house.gov.by/images/storage/person/000683_725626.jpg,popko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/popko-olga-582/,6
583,KOVALKO ADAM,Ковалько Адам Дмитриевич,Сморгонский,59,http://house.gov.by/images/storage/person/000683_125234.jpg,kovalko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/kovalko-adam-583/,6
584,SAVKO VALERIJ,Савко Валерий Иосифович,Щучинский,60,http://house.gov.by/images/storage/person/000683_424396.jpg,,http://house.gov.by/ru/deputies-ru/view/savko-valerij-584/,6
585,ATROSCHENKO PETR,Атрощенко Петр Алексеевич,Березинский,61,http://house.gov.by/images/storage/person/000683_93153.jpg,atroshchenko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/atroschenko-petr-585/,6
586,BARANNIK VASILIJ,Баранник Василий Михайлович,Борисовский городской,62,http://house.gov.by/images/storage/person/000683_175498.jpg,barannik@house.gov.by,http://house.gov.by/ru/deputies-ru/view/barannik-vasilij-586/,6
587,ZABLOTSKIJ DMITRIJ,Заблоцкий Дмитрий Васильевич,Жодинский,64,http://house.gov.by/images/storage/person/000683_429201.jpg,,http://house.gov.by/ru/deputies-ru/view/zablotskij-dmitrij-587/,6
588,NIZHEVICH LJUDMILA,Нижевич Людмила Ивановна,Копыльский,66,http://house.gov.by/images/storage/person/000683_11176.jpg,nizhevich@house.gov.by,http://house.gov.by/ru/deputies-ru/view/nizhevich-ljudmila-588/,6
589,RAZHANETS VALENTINA,Ражанец Валентина Витальевна,Слуцкий,67,http://house.gov.by/images/storage/person/000683_253314.jpg,razhanets@house.gov.by,http://house.gov.by/ru/deputies-ru/view/razhanets-valentina-589/,6
590,RYBAK ANDREJ,Рыбак Андрей Анатольевич,Солигорский городской,68,http://house.gov.by/images/storage/person/000683_876877.jpg,rybak@house.gov.by,http://house.gov.by/ru/deputies-ru/view/rybak-andrej-590/,6
591,MURINA JULIJA,Мурина Юлия Георгиевна,Солигорский сельский,69,http://house.gov.by/images/storage/person/000683_731643.jpg,,http://house.gov.by/ru/deputies-ru/view/murina-julija-591/,6
592,ANISIM ELENA,Анисим Елена Николаевна,Столбцовский,70,http://house.gov.by/images/storage/person/000683_178005.jpg,anisim@house.gov.by,http://house.gov.by/ru/deputies-ru/view/anisim-elena-592/,6
593,LOBACH JURIJ,Лобач Юрий Александрович,Дзержинский,71,http://house.gov.by/images/storage/person/000683_153145.jpg,,http://house.gov.by/ru/deputies-ru/view/lobach-jurij-593/,6
594,KANANOVICH LJUDMILA,Кананович Людмила Николаевна,Молодечненский городской,72,http://house.gov.by/images/storage/person/000683_713388.jpg,kananovich@house.gov.by,http://house.gov.by/ru/deputies-ru/view/kananovich-ljudmila-594/,6
595,MARKEVICH IVAN,Маркевич Иван Станиславович,Молодечненский сельский,73,http://house.gov.by/images/storage/person/000683_257101.jpg,,http://house.gov.by/ru/deputies-ru/view/markevich-ivan-595/,6
596,ZHIBUL NATALJJA,Жибуль Наталия Петровна,Вилейский,74,http://house.gov.by/images/storage/person/000683_926476.jpg,,http://house.gov.by/ru/deputies-ru/view/zhibul-nataljja-596/,6
597,VABISCHEVICH PETR,Вабищевич Петр Андреевич,Логойский,75,http://house.gov.by/images/storage/person/000683_922578.jpg,vabischevich.1963@mail.com,http://house.gov.by/ru/deputies-ru/view/vabischevich-petr-597/,6
598,ULAXOVICH NIKOLAJ,Улахович Николай Дмитриевич,Сеницкий,76,http://house.gov.by/images/storage/person/000683_946018.jpg,,http://house.gov.by/ru/deputies-ru/view/ulaxovich-nikolaj-598/,6
599,KURSEVICH VALENTINA,Курсевич Валентина Вацлавовна,Заславский,77,http://house.gov.by/images/storage/person/000683_93268.jpg,,http://house.gov.by/ru/deputies-ru/view/kursevich-valentina-599/,6
600,RYNEJSKAJA IRINA,Рынейская Ирина Николаевна,Бобруйский-Ленинский,78,http://house.gov.by/images/storage/person/000683_94956.jpg,,http://house.gov.by/ru/deputies-ru/view/rynejskaja-irina-600/,6
601,VLASEVICH VITALIJ,Власевич Виталий Эдуардович,Бобруйский-Первомайский,79,http://house.gov.by/images/storage/person/000683_143690.jpg,vlasevich@house.gov.by,http://house.gov.by/ru/deputies-ru/view/vlasevich-vitalij-601/,6
602,KONONCHUK IGOR,Конончук Игорь Павлович,Бобруйский сельский,80,http://house.gov.by/images/storage/person/000683_629966.jpg,KononchukIgor@house.gov.by,http://house.gov.by/ru/deputies-ru/view/kononchuk-igor-602/,6
603,KOLESNEVA ELENA,Колеснева Елена Петровна,Горецкий,82,http://house.gov.by/images/storage/person/000683_775355.jpg,m231076p@mail.ru,http://house.gov.by/ru/deputies-ru/view/kolesneva-elena-603/,6
604,MAROCHKOVA TATJJANA,Марочкова Татьяна Борисовна,Кричевский,83,http://house.gov.by/images/storage/person/000683_102730.jpg,,http://house.gov.by/ru/deputies-ru/view/marochkova-tatjjana-604/,6
605,MARZALJUK IGOR,Марзалюк Игорь Александрович,Могилевский-Ленинский,84,http://house.gov.by/images/storage/person/000683_944655.jpg,marzalyuk@house.gov.by,http://house.gov.by/ru/deputies-ru/view/marzaljuk-igor-605/,6
606,STAROVOJTOV ALEKSANDR,Старовойтов Александр Геннадьевич,Могилевский-Центральный,85,http://house.gov.by/images/storage/person/000683_998542.jpg,starovoitov@house.gov.by,http://house.gov.by/ru/deputies-ru/view/starovojtov-aleksandr-606/,6
607,PETRASHOVA OLGA,Петрашова Ольга Владимировна,Могилевский-Октябрьский,86,http://house.gov.by/images/storage/person/000683_560035.jpg,,http://house.gov.by/ru/deputies-ru/view/petrashova-olga-607/,6
608,SOLOVJEV PETR,Соловьев Петр Александрович,Могилевский-Промышленный,87,http://house.gov.by/images/storage/person/000683_728920.jpg,,http://house.gov.by/ru/deputies-ru/view/solovjev-petr-608/,6
609,XISCHENKO PETR,Хищенко Анатолий Петрович,Могилевский сельский,88,http://house.gov.by/images/storage/person/000683_734475.jpg,Khishchenko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/xischenko-petr-609/,6
610,BOGDANOVICH ALEKSANDR,Богданович Александр Викторович,Осиповичскиий,89,http://house.gov.by/images/storage/person/000683_753721.jpg,bogdanovichAV@house.gov.by,http://house.gov.by/ru/deputies-ru/view/bogdanovich-aleksandr-610/,6
611,GOBOROV DMITRIJ,Гоборов Дмитрий Дмитриевич,Шкловский,90,http://house.gov.by/images/storage/person/000683_686230.jpg,,http://house.gov.by/ru/deputies-ru/view/goborov-dmitrij-611/,6
612,KURSEVICH VALERIJ,Курсевич Валерий Викторович,Автозаводской,92,http://house.gov.by/images/storage/person/000683_68376.jpg,,http://house.gov.by/ru/deputies-ru/view/kursevich-valerij-612/,6
613,VORONETSKIJ VALERIJ,Воронецкий Валерий Иосифович,Свислочский,94,http://house.gov.by/images/storage/person/000683_770482.jpg,voronetsky@house.gov.by,http://house.gov.by/ru/deputies-ru/view/voronetskij-valerij-613/,6
614,SAJGANOVA TATJJANA,Сайганова Татьяна Ивановна,Купаловский,95,http://house.gov.by/images/storage/person/000683_538273.jpg,saiganova@house.gov.by,http://house.gov.by/ru/deputies-ru/view/sajganova-tatjjana-614/,6
616,KANOPATSKAJA ANNA,Канопацкая Анна Анатольевна,Октябрьский,97,http://house.gov.by/images/storage/person/000683_245956.jpg,denis.tikhonenko@gmail.com,http://house.gov.by/ru/deputies-ru/view/kanopatskaja-anna-616/,6
617,KOMAROVSKIJ IGOR,Комаровский Игорь Сергеевич,Юго-Западный,98,http://house.gov.by/images/storage/person/000683_878399.jpg,,http://house.gov.by/ru/deputies-ru/view/komarovskij-igor-617/,6
618,MAKARINA KIBAK LJUDMILA,Макарина-Кибак Людмила Эдуардовна,Грушевский,99,http://house.gov.by/images/storage/person/000683_589117.jpg,makarina-kibak@house.gov.by,http://house.gov.by/ru/deputies-ru/view/makarina-kibak-ljudmila-618/,6
619,GAJDUK OKSANA,Гайдук Оксана Вячеславовна,Есенинский,100,http://house.gov.by/images/storage/person/000683_143567.jpg,gaiduk@house.gov.by,http://house.gov.by/ru/deputies-ru/view/gajduk-oksana-619/,6
620,STAROVOJTOVA ANNA,Старовойтова Анна Валентиновна,Сухаревский,101,http://house.gov.by/images/storage/person/000683_975075.jpg,,http://house.gov.by/ru/deputies-ru/view/starovojtova-anna-620/,6
621,MISEVETS VITALIJ,Мисевец Виталий Григорьевич,Домбровский,103,http://house.gov.by/images/storage/person/000683_907128.jpg,,http://house.gov.by/ru/deputies-ru/view/misevets-vitalij-621/,6
622,MILOVANOV MIXAIL,Милованов Михаил Вячеславович,Кальварийский,104,http://house.gov.by/images/storage/person/000683_972641.jpg,,http://house.gov.by/ru/deputies-ru/view/milovanov-mixail-622/,6
623,DOROFEEVA IRINA,Дорофеева Ирина Аркадьевна,Старовиленский,105,http://house.gov.by/images/storage/person/000683_231685.jpg,,http://house.gov.by/ru/deputies-ru/view/dorofeeva-irina-623/,6
624,SOKOL ALEKSEJ,Сокол Алексей Николаевич,Восточный,107,http://house.gov.by/images/storage/person/000683_1479.jpg,,http://house.gov.by/ru/deputies-ru/view/sokol-aleksej-624/,6
625,MISKO MAKSIM,Мисько Максим Владимирович,Калиновский,108,http://house.gov.by/images/storage/person/000683_92341.jpg,Misko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/misko-maksim-625/,6
626,BOBRIKOV SERGEJ,Бобриков Сергей Валентинович,Уручский,109,http://house.gov.by/images/storage/person/000683_248381.jpg,bobrikov@house.gov.by,http://house.gov.by/ru/deputies-ru/view/bobrikov-sergej-626/,6
627,MYCHKO OLGA,Мычко Ольга Викторовна,Партизанский,110,http://house.gov.by/images/storage/person/000683_995567.jpg,,http://house.gov.by/ru/deputies-ru/view/mychko-olga-627/,6
628,CHEKAN VASILIJ,Чекан Василий Иванович,Витебский-Железнодорожный,19,http://house.gov.by/images/storage/person/000683_588907.jpg,,http://house.gov.by/ru/deputies-ru/view/chekan-vasilij-628/,6
