id,name__en,name,name__be,name__ru,name__pl,image,gender,birth_date,identifier__freebase,given_name,identifier__IIAF,family_name,wikipedia__en,wikipedia__be,wikipedia__ru,wikipedia__pl,name__pt,name__fr,name__fi,name__uk,name__it,name__be_tarask,name__et,name__de,name__ja,name__sv,name__nl,name__es,name__nb,wikipedia__be_x_old,wikipedia__de,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,wikipedia__uk,wikipedia__plwikiquote,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__nn,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,original_wikiname,last_seen,name__ar,wikipedia__ar,name__kana,name__ko,wikipedia__ko,occupation,wikipedia__commons,wikipedia__es,wikipedia__bewikiquote,identifier__VIAF,name__zh,name__sr,wikipedia__hu,wikipedia__sr,website,facebook,identifier__ioc_athlete
Q14866893,Alyaksandr Yarashevich,Alyaksandr Yarashevich,Аляксандр Ярашэвіч,Александр Ярошевич,Alaksandr Jaraszewicz,,male,1963-06-07,,Alyaksandr,,,,Аляксандр Мікалаевіч Ярашэвіч,,Alaksandr Jaraszewicz,,,,,,Аляксандар Ярашэвіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaksandr Jaraszewicz,,,,,,,,,,,,,,,,,,
Q14917844,Adam Bashkou,Adam Bashkou,Адам Башкоў,"Башков, Адам Семенович",Adam Baszkou,,male,1951-05-26,,Adam,,,,Адам Сямёнавіч Вашкоў,,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,,Adam Baszkou,Адам Башкоў,Adam Baszkou,Adam Baszkou,,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,,,,,,,,,,,,,,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,,,,,,,business magnate,,,,,,,,,,,
Q14918190,,Наталля Анатольеўна Клімовіч,Наталля Анатольеўна Клімовіч,,Natalla Klimowicz,,female,1963-02-02,,Natallia,,,,Наталля Анатольеўна Клімовіч,,Natalla Klimowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalla Klimowicz,,,,,,,physician,,,,,,,,,,,
Q14918481,Aleksandr Stiecko,Aleksandr Stiecko,Аляксандр Мікалаевіч Сцяцко,,Alaksandr Sciacko,,male,1957-04-26,,Alyaksandr,,,,Аляксандр Мікалаевіч Сцяцко,,Alaksandr Sciacko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaksandr Sciacko,,,,,,,physician,,,,,,,,,,,
Q14918514,Lyudmila Starascina,Lyudmila Starascina,Людміла Віктараўна Старасціна,Людмила Викторовна Старостина,Ludmiła Starascina,,female,1963-04-09,,Lyudmila,,Starascina,,Людміла Віктараўна Старасціна,,Ludmiła Starascina,,,,,,Людміла Старасьціна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludmiła Starascina,,,,,,,,,,,,,,,,,,
Q14918527,,Пётр Мікалаевіч Шостак,Пётр Мікалаевіч Шостак,,Piotr Szostak,,male,1966-07-12,,Piotr,,Shostak,,Пётр Мікалаевіч Шостак,,Piotr Szostak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piotr Szostak,,,,,,,,,,,,,,,,,,
Q14918565,Zyhmund Valavach,Zyhmund Valavach,Зыгмунд Антонавіч Валявач,"Валевач, Зыгмунд Антонович",Zyhmund Walawacz,,male,1953-05-13,,Zyhmund,,Valyavach,,Зыгмунд Антонавіч Валявач,,Zyhmund Walawacz,,Zyhmund Valavach,,,,Зыгмунд Антонавіч Валявач,,Zyhmund Valavach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zyhmund Walawacz,,,,,,,docent,,,,,,,,,,,
Q14918570,Viktar Valyushytski,Viktar Valyushytski,Віктар Іванавіч Валюшыцкі,Виктор Иванович Валюшицкий,Wiktar Waluszycki,,male,1962-02,,,,Valyushytski,,Віктар Іванавіч Валюшыцкі,,Wiktar Waluszycki,,,,,,Віктар Іванавіч Валюшыцкі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiktar Waluszycki,,,,,,,economist,,,,,,,,,,,
Q14918587,Mikhail Volkau,Mikhail Volkau,Міхаіл Мікалаевіч Волкаў,Михаил Николаевич Волков,Michaił Wołkau,,male,1955-01-26,,Mikhail,,Wołkau,,Міхаіл Мікалаевіч Волкаў,,Michaił Wołkau (ur. 1955),,Mikhail Volkov,,,,Міхаіл Мікалаевіч Волкаў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michaił Wołkau (ur. 1955),,,,,,,politician,,,,,,,,,,,
Q14918588,Mikhail Volkau,Mikhail Volkau,Міхаіл Міхайлавіч Волкаў,Михаил Михайлович Волков,Michaił Wołkau,,male,1963-09-23,,Mikhail,,Wołkau,,Міхаіл Міхайлавіч Волкаў,,Michaił Wołkau (ur. 1963),,Mikhail Volkov,,,,Міхаіл Міхайлавіч Волкаў,,,,,Mikhail Volkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michaił Wołkau (ur. 1963),,,,,,,politician,,,,,,,,,,,
Q14918628,,Валерый Аляксеевіч Жмайлік,Валерый Аляксеевіч Жмайлік,,Waleryj Żmajlik,,male,1951-01-23,,Valery,,,,Валерый Аляксеевіч Жмайлік,,Waleryj Żmajlik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waleryj Żmajlik,,,,,,,,,,,,,,,,,,
Q17044743,,Уладзімір Васільевіч Краўцоў,Уладзімір Васільевіч Краўцоў,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Владимир_Кравцов.png,male,1953-08-28,,,,,,Уладзімір Васільевіч Краўцоў,"Кравцов, Владимир Васильевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Уладзімір Васільевіч Краўцоў,,,,,,,,,,,,,,,,,,
Q17044887,,Аляксандр Веніямінавіч Мяжуеў,Аляксандр Веніямінавіч Мяжуеў,"Межуев, Александр Вениаминович",,,male,1959-07-11,,Alyaksandr,,,,Аляксандр Веніямінавіч Мяжуеў,"Межуев, Александр Вениаминович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Аляксандр Веніямінавіч Мяжуеў,,,,,,,,,,,,,,,,,,
Q2029677,Uladzimir Andreychanka,Uladzimir Andreychanka,Уладзімір Паўлавіч Андрэйчанка,Владимир Павлович Андрейченко,Uładzimir Andrejczanka,https://upload.wikimedia.org/wikipedia/commons/5/51/Uladzimi_Andreichanka.jpg,male,1949-01-02,,Uladzimir,,Andrejczanka,,Уладзімір Паўлавіч Андрэйчанка,"Андрейченко, Владимир Павлович",Uładzimir Andrejczanka,,Uladzimir Andreychanka,,Андрейченко Володимир Павлович,,Уладзімер Андрэйчанка,,,,,Uladzimir Andreychanka,,,Уладзімер Андрэйчанка,,,,,,,,,,,Андрейченко Володимир Павлович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uładzimir Andrejczanka,,,,,,,agronomist,,,,,,,,,,,
Q20972322,,Мікалай Дзмітрыевіч Улаховіч,Мікалай Дзмітрыевіч Улаховіч,,,,male,1951-08-21,,,,,,Мікалай Дзмітрыевіч Улаховіч,,,,,,,,Мікалай Улаховіч,,,,,,,,Мікалай Улаховіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мікалай Дзмітрыевіч Улаховіч,,,,,,,,,,,,尼古拉·域拉高福斯,,,,,,
Q25536447,,Аляксей Фёдаравіч Кузьміч,Аляксей Фёдаравіч Кузьміч,,,,male,1955-08-26,,,,,,Аляксей Фёдаравіч Кузьміч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Аляксей Фёдаравіч Кузьміч,,,,,,,,,,,,,,,,,,
Q256650,Irina Dorofeeva,Irina Dorofeeva,Ірына Дарафеева,"Дорофеева, Ирина Аркадьевна",,https://upload.wikimedia.org/wikipedia/commons/2/20/Iryna_Darafiejeva.jpg,female,1977-07-06,/m/0g9ss4y,Iryna,,,Irina Dorofeeva,Ірына Аркадзьеўна Дарафеева,"Дорофеева, Ирина Аркадьевна",,,Irina Dorofeeva,,,,,,,,,Irina Dorofeeva,Irina Dorofeeva,,,,,,Irina Dorofeeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irina Darafejeva,,,,,,,,,,,,,,,,,,,,,,,,,Ірына Аркадзьеўна Дарафеева,,,,,,,singer,,,,,,Ирина Дорофејева,Irina Darafejeva,Ирина Дорофејева,http://www.irinadorofeeva.com/,irinadorofeevaofficialpage,
Q26897630,Aliena Anisim,Aliena Anisim,Алена Мікалаеўна Анісім,Елена Николаевна Анисим,Alena Anisim,https://upload.wikimedia.org/wikipedia/commons/5/5e/Алена_Анісім._2015.jpg,female,1962-09-28,,Alena,,,,Алена Мікалаеўна Анісім,"Анисим, Елена Николаевна",Alena Anisim,,,,,,,,,,,Alena Anisim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алена Мікалаеўна Анісім,,,,,,,,,,,,,,,,,,
Q26897631,,Валерый Іванавіч Гушча,Валерый Іванавіч Гушча,,,,male,1956-10-16,,,,,,Валерый Іванавіч Гушча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Валерый Іванавіч Гушча,,,,,,,surgeon,,,,,,,,,,,
Q26897632,Anatol Boyka,Anatol Boyka,Анатоль Сцяпанавіч Бойка,,,,male,1954-01-25,,,,,,Анатоль Сцяпанавіч Бойка,,,,,,,,,,,,,Anatol Boyka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Анатоль Сцяпанавіч Бойка,,,,,,,politician,,,,,,,,,,,
Q26897633,,Валерый Анатольевіч Барадзеня,Валерый Анатольевіч Барадзеня,,,,male,1972-02-02,,,,,,Валерый Анатольевіч Барадзеня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Валерый Анатольевіч Барадзеня,,,,,,,,,,,,,,,,,,
Q26897634,,Валянціна Ігнацьеўна Верас,Валянціна Ігнацьеўна Верас,,,,female,1959-01-02,,,,,,Валянціна Ігнацьеўна Верас,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Валянціна Ігнацьеўна Верас,,,,,,,,,,,,,,,,,,
Q26897635,,Аляксандр Анатольевіч Валчанкоў,Аляксандр Анатольевіч Валчанкоў,,,,male,1957-09-02,,,,,,Аляксандр Анатольевіч Валчанкоў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Аляксандр Анатольевіч Валчанкоў,,,,,,,,,,,,,,,,,,
Q26897636,,Валерый Уладзіміравіч Гайдукевіч,Валерый Уладзіміравіч Гайдукевіч,,,,male,1953-01-19,,,,,,Валерый Уладзіміравіч Гайдукевіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Валерый Уладзіміравіч Гайдукевіч,,,,,,,,,,,,,,,,,,
Q26897637,,Таіса Іванаўна Данілевіч,Таіса Іванаўна Данілевіч,,,,female,1958-05-13,,,,,,Таіса Іванаўна Данілевіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Таіса Іванаўна Данілевіч,,,,,,,,,,,,,,,,,,
Q26897639,,Уладзімір Міхайлавіч Дзедушкін,Уладзімір Міхайлавіч Дзедушкін,,,,male,1954-01-05,,,,,,Уладзімір Міхайлавіч Дзедушкін,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Уладзімір Міхайлавіч Дзедушкін,,,,,,,,,,,,,,,,,,
Q26897640,,Людміла Анатольеўна Дабрыніна,Людміла Анатольеўна Дабрыніна,,,,female,1961-11-20,,,,,,Людміла Анатольеўна Дабрыніна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Людміла Анатольеўна Дабрыніна,,,,,,,,,,,,,,,,,,
Q26897641,,Юрый Іванавіч Дарагакупец,Юрый Іванавіч Дарагакупец,,,,male,1962-01-06,,,,,,Юрый Іванавіч Дарагакупец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Юрый Іванавіч Дарагакупец,,,,,,,,,,,,,,,,,,
Q26897642,,Сяргей Веніямінавіч Дудкін,Сяргей Веніямінавіч Дудкін,,,,male,1962-09-04,,,,,,Сяргей Веніямінавіч Дудкін,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сяргей Веніямінавіч Дудкін,,,,,,,,,,,,,,,,,,
Q26897643,,Леанід Аляксеевіч Ермантовіч,Леанід Аляксеевіч Ермантовіч,,,,male,1956-02-17,,,,,,Леанід Аляксеевіч Ермантовіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Леанід Аляксеевіч Ермантовіч,,,,,,,,,,,,,,,,,,
Q26897644,,Мікалай Міхайлавіч Іванчанка,Мікалай Міхайлавіч Іванчанка,,,,male,1947-04-13,,,,,,Мікалай Міхайлавіч Іванчанка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мікалай Міхайлавіч Іванчанка,,,,,,,,,,,,,,,,,,
Q26897645,,Леанід Мікалаевіч Кавалевіч,Леанід Мікалаевіч Кавалевіч,,,,male,1958-03-14,,,,,,Леанід Мікалаевіч Кавалевіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Леанід Мікалаевіч Кавалевіч,,,,,,,,,,,,,,,,,,
Q26897646,,Валерый Уладзіміравіч Кокаш,Валерый Уладзіміравіч Кокаш,,,,male,1951-11-07,,,,,,Валерый Уладзіміравіч Кокаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Валерый Уладзіміравіч Кокаш,,,,,,,,,,,,,,,,,,
Q26897647,,Мікалай Анісімавіч Калтуноў,Мікалай Анісімавіч Калтуноў,,,,male,1961-03-15,,,,,,Мікалай Анісімавіч Калтуноў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мікалай Анісімавіч Калтуноў,,,,,,,,,,,,,,,,,,
Q26897648,,Таццяна Пятроўна Кананчук,Таццяна Пятроўна Кананчук,,,,female,1966-09-02,,,,,,Таццяна Пятроўна Кананчук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Таццяна Пятроўна Кананчук,,,,,,,educator,,,,,,,,,,,
Q26897650,,Анатоль Паўлавіч Коханаў,Анатоль Паўлавіч Коханаў,,,,male,1950-02-23,,,,,,Анатоль Паўлавіч Коханаў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Анатоль Паўлавіч Коханаў,,,,,,,,,,,,,,,,,,
Q26897653,,Тамара Пятроўна Красоўская,Тамара Пятроўна Красоўская,,,,female,1965-01-02,,,,,,Тамара Пятроўна Красоўская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тамара Пятроўна Красоўская,,,,,,,,,,,,,,,,,,
Q26897656,,Людміла Пятроўна Кубракова,Людміла Пятроўна Кубракова,,,,female,1970-03-14,,,,,,Людміла Пятроўна Кубракова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Людміла Пятроўна Кубракова,,,,,,,,,,,,,,,,,,
Q26897659,,Станіслаў Францавіч Кулеш,Станіслаў Францавіч Кулеш,,,,male,1960-07-16,,,,,,Станіслаў Францавіч Кулеш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Станіслаў Францавіч Кулеш,,,,,,,,,,,,,,,,,,
Q26897661,,Наталля Генадзьеўна Кучынская,Наталля Генадзьеўна Кучынская,,,,female,1971-01-18,,,,,,Наталля Генадзьеўна Кучынская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Наталля Генадзьеўна Кучынская,,,,,,,,,,,,,,,,,,
Q26897664,,Галіна Баляславаўна Лазоўская,Галіна Баляславаўна Лазоўская,,,,female,1960-04-27,,,,,,Галіна Баляславаўна Лазоўская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Галіна Баляславаўна Лазоўская,,,,,,,,,,,,,,,,,,
Q26897667,,Ганна Віктараўна Лявіцкая,Ганна Віктараўна Лявіцкая,,,,female,1961-03-22,,,,,,Ганна Віктараўна Лявіцкая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ганна Віктараўна Лявіцкая,,,,,,,,,,,,,,,,,,
Q26897671,,Алег Фёдаравіч Леўшуноў,Алег Фёдаравіч Леўшуноў,,,,male,1964-08-22,,,,,,Алег Фёдаравіч Леўшуноў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алег Фёдаравіч Леўшуноў,,,,,,,,,,,,,,,,,,
Q26897676,,Валянціна Сцяпанаўна Лявоненка,Валянціна Сцяпанаўна Лявоненка,,,,female,1953-03-10,,,,,,Валянціна Сцяпанаўна Лявоненка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Валянціна Сцяпанаўна Лявоненка,,,,,,,,,,,,,,,,,,
Q26897678,,Віктар Андрэевіч Лісковіч,Віктар Андрэевіч Лісковіч,,,,male,1960-09-04,,,,,,Віктар Андрэевіч Лісковіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Віктар Андрэевіч Лісковіч,,,,,,,,,,,,,,,,,,
Q26897681,,Ганна Люцыянаўна Лапаціна,Ганна Люцыянаўна Лапаціна,,,,female,1955-08-02,,,,,,Ганна Люцыянаўна Лапаціна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ганна Люцыянаўна Лапаціна,,,,,,,,,,,,,,,,,,
