id,name__en,name__nl,name__de,name__it,name__fr,name,wikipedia__en,gender,birth_date,given_name,name__pl,wikipedia__pl,image,name__et,name__ja,name__el,name__es,name__tr,name__yo,name__ar,name__nb,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__ja,wikipedia__no,wikipedia__tr,wikipedia__yo,identifier__freebase,name__bi,name__ko,name__ru,name__id,name__tpi,name__sv,name__da,name__nn,wikipedia__bi,wikipedia__da,wikipedia__id,wikipedia__it,wikipedia__ko,wikipedia__nl,wikipedia__ru,wikipedia__sv,wikipedia__tpi,name__he,wikipedia__he,identifier__IIAF,name__zh_hans,name__zh_hant,name__zh_hk,name__hu,name__fi,name__zh,wikipedia__fi,wikipedia__hu,wikipedia__zh,death_date,name__mr,wikipedia__mr,wikipedia__commons,name__cy,identifier__Britannica,original_wikiname,last_seen,occupation,name__pt,wikipedia__pt,name__uk,wikipedia__uk,name__fo,name__kl,name__la,wikipedia__la,identifier__VIAF,name__bar,identifier__ISNI,family_name,name__ca,name__gl
Q42559064,Freda Soria Comua,Freda Soria Comua,Freda Soria Comua,,,Freda Soria Comua,Freda Soria Comua,female,1972,Freda,,,https://upload.wikimedia.org/wikipedia/commons/8/85/11.02_總統向索羅門群島國會議員握手致意，包括反對黨黨主席馬內雷（Jeremiah_Manele）、獨立派領袖席庫瓦（Derek_Sikua）及前副總理馬朗嘉（Maelanga）等均出席_(37397295234).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Freda Soria Comua,,,,,politician,,,,,,,,,,,,,,
Q42651821,John Maneniaru,,,,,John Maneniaru,John Maneniaru,male,1965-06-20,John,,,"https://upload.wikimedia.org/wikipedia/commons/b/ba/John_Maneniaru_poses_for_an_official_photo_as_part_of_the_delegation_led_by_Solomon_Islands_Prime_Minister_Manasseh_Sogavare_(26_September_2017)_in_Taipei,_Taiwan.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:John Maneniaru,,,,,politician,,,,,,,,,,,,,,
Q42652376,John Dean Kuku,,,,,John Dean Kuku,John Dean Kuku,male,,John,,,"https://upload.wikimedia.org/wikipedia/commons/6/6f/John_Dean_Kuku_poses_for_an_official_photo_as_part_of_the_delegation_led_by_Solomon_Islands_Prime_Minister_Manasseh_Sogavare_(26_September_2017)_in_Taipei,_Taiwan.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:John Dean Kuku,,,,,politician,,,,,,,,,,,,,,
Q466573,Steve Abana,Steve Abana,Steve Abana,,Steve Abana,Steve Abana,Steve Abana,male,1969,Steve,Steve Abana,Steve Abana,,,,,Steve Abana,,,,,,Steve Abana,,,,Steve Abana,,,,,/m/04ychmk,,,,,,,,,,,,,,,,,,,,,,,,Steve Abana,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q4722723,Alfred Ghiro,Alfred Ghiro,Alfred Ghiro,Alfred Ghiro,Alfred Ghiro,Alfred Ghiro,Alfred Ghiro,male,1968-08-13,Alfred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q4936699,Bodo Dettke,Bodo Dettke,Bodo Dettke,,,Bodo Dettke,Bodo Dettke,male,1967-02-27,Bodo,Heinz Horst Bodo Dettke,Heinz Horst Bodo Dettke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent politician,,,,,,,,,,,,,,
Q4954443,Braddley Tovosia,Braddley Tovosia,,,Braddley Tovosia,Braddley Tovosia,Braddley Tovosia,male,1967-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q5112700,Christopher Laore,Christopher Laore,Christopher Laore,Christopher Laore,,Christopher Laore,Christopher Laore,male,,Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q5129896,Clay Forau Soalaoi,Clay Forau Soalaoi,Clay Forau Soalaoi,,Clay Forau Soalaoi,Clay Forau Soalaoi,Clay Forau Soalaoi,male,1976-10-10,Clay,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Clay_Forau_Soalaoi_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q5152607,Commins Mewa,Commins Mewa,Commins Mewa,,,Commins Mewa,Commins Mewa,male,1965-04-11,,Commins Aston Mewa,Commins Aston Mewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q5238339,David Pacha,David Pacha,David Pacha,David Pacha,David Pacha,David Pacha,David Pacha,male,1964-12-25,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q5240457,David Tome,David Tome,David Tome,David Tome,David Tome,David Tome,David Tome,male,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q5301444,Douglas Ete,Douglas Ete,Douglas Ete,,,Douglas Ete,Douglas Ete,male,1964-08-04,Douglas,Douglas Ete,Douglas Ete,,,,,Douglas Ete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q536063,Manasseh Sogavare,Manasseh Sogavare,Manasseh Sogavare,,Manasseh Sogavare,Manasseh Sogavare,Manasseh Sogavare,male,1955-01-17,Manasseh,Manasseh Sogavare,Manasseh Sogavare,https://upload.wikimedia.org/wikipedia/commons/d/d4/Manasseh_Sogavare_2014.jpg,,マナセ・ダムカナ・ソガバレ,Μανάσε Σογκαβάρε,Manasseh Sogavare,Manasseh Sogavare,,,Manasseh Sogavare,,Manasseh Sogavare,Μανάσε Σογκαβάρε,Manasseh Sogavare,,Manasseh Sogavare,マナセ・ソガバレ,Manasseh Sogavare,Manasseh Sogavare,,/m/0bt_sb,,,"Согаваре, Манассе",Manasseh Sogavare,,Manasseh Sogavare,Manasseh Sogavare,Manasseh Sogavare,,,Manasseh Sogavare,,,,"Согаваре, Манассе",Manasseh Sogavare,,,,,梅纳西·索加瓦雷,梅納西·索加瓦雷,梅納西·索加瓦雷,Manasseh Sogavare,Manasseh Sogavare,梅納西·索加瓦雷,Manasseh Sogavare,Manasseh Sogavare,梅納西·索加瓦雷,,,,Category:Manasseh Sogavare,,biography/Manasseh-Sogavare,,,politician,Manasseh Sogavare,Manasseh Sogavare,Манассе Согаваре,Манассе Согаваре,Manasseh Sogavare,Manasseh Sogavare,Manasses Sogavare,Manasses Sogavare,,,,,,
Q5360910,Elijah Doro Muala,Elijah Doro Muala,Elijah Doro Muala,,Elijah Doro Muala,Elijah Doro Muala,Elijah Doro Muala,male,1960-01-20,Elijah,Elijah Doro Muala,Elijah Doro Muala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accountant,,,,,,,,,,,,,,
Q561575,Danny Philip,Danny Philip,Danny Philip,,Danny Philip,Danny Philip,Danny Philip,male,1953-08-05,Danny,Danny Philip,Danny Philip,https://upload.wikimedia.org/wikipedia/commons/d/de/DannyPhilip_(cropped).jpg,Danny Philip,ダニー・フィリップ,Ντάνι Φίλιπ,Danny Philip,Danny Philip,Danny Philip,داني فيليب,Danny Philip,داني فيليب,Danny Philip,Ντάνι Φίλιπ,Danny Philip,Danny Philip,Danny Philip,ダニー・フィリップ,Danny Philip,Danny Philip,Danny Philip,/m/0cgxc5,,,Дэнни Филип,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Danny Philip,,biography/Danny-Philip,,,diplomat,,,Денні Філіп,Денні Філіп,,,Daniel Philip,Daniel Philip,,,,Philip,,
Q59096046,Ishmael Avui,Ishmael Avui,,,,Ishmael Avui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096136,Dudley Kopu,Dudley Kopu,,,,Dudley Kopu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096172,Samson Maneka,Samson Maneka,,,,Samson Maneka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096264,Derrick Manuari,Derrick Manuari,,,,Derrick Manuari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096286,William Marau,William Marau,,,,William Marau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096569,Augustine Auga Maeue,Augustine Auga Maeue,,,,Augustine Auga Maeue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096666,Jimson Tanangada,Jimson Tanangada,,,,Jimson Tanangada,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59096690,Culwick Togamana,Culwick Togamana,,,,Culwick Togamana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q59125182,Lanelle Tanangada,Lanelle Tanangada,,,,Lanelle Tanangada,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q6117107,Jackson Fiulaua,Jackson Fiulaua,Jackson Fiulaua,,Jackson Fiulaua,Jackson Fiulaua,Jackson Fiulaua,male,1957-10-13,Jackson,Jackson Fiulaua,Jackson Fiulaua,"https://upload.wikimedia.org/wikipedia/commons/a/a0/Jackson_Fiulaua_poses_for_an_official_photo_as_part_of_the_delegation_led_by_Solomon_Islands_Prime_Minister_Manasseh_Sogavare_(26_September_2017)_in_Taipei,_Taiwan.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Jackson Fiulaua,,,,,civil servant,,,,,,,,,,,,,,
Q6144355,James Tora,James Tora,James Tora,,James Tora,James Tora,James Tora,male,1956-07-16,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,Tora,,
Q6180897,Jeremiah Manele,Jeremiah Manele,Jeremiah Manele,,Jeremiah Manele,Jeremiah Manele,Jeremiah Manele,male,1968,Jeremiah,,,,,,,,,,,,,,,,,Jeremiah Manele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q6200666,Jimmy Lusibaea,Jimmy Lusibaea,Jimmy Lusibaea,,,Jimmy Lusibaea,Jimmy Lusibaea,male,1970-07-07,Jimmy,Jimmy Lusibaea,Jimmy Lusibaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q6206696,Job Tausinga,Job Tausinga,Job Tausinga,,Job Tausinga,Job Tausinga,Job Tausinga,male,1951-07-18,Job,,,,,,,,,,,,,,,,,Job Tausinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Tausinga,,
Q6249053,John Moffat Fugui,John Moffat Fugui,John Moffat Fugui,,John Moffat Fugui,John Moffat Fugui,John Moffat Fugui,male,1961-09-09,John,,,,,,,John Moffat Fugui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,John Moffat Fugui,,,,
Q6555508,Lionel Alex,Lionel Alex,Lionel Alex,,Lionel Alex,Lionel Alex,Lionel Alex,male,1971-04-12,Lionel,Lional Alex,Lional Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q6747030,Manasseh Maelanga,Manasseh Maelanga,Manasseh Maelanga,Manasseh Maelanga,Manasseh Maelanga,Manasseh Maelanga,Manasseh Maelanga,male,1970-03-25,Manasseh,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Manasseh_Maelanga_2010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Manasseh Maelanga,,,,,politician,,,,,,,,,,,,,,
Q6768346,Mark Kemakeza,Mark Kemakeza,Mark Kemakeza,,Mark Kemakeza,Mark Kemakeza,Mark Kemakeza,male,1960-12-31,Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q6776112,Martin Magga,,Martin Magga,Martin Magga,Martin Magga,Martin Magga,Martin Magga,male,1953-11-11,Martin,,,,,,,Martin Magga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-25,,,,Martin Magga,,,,civil servant,,,,,,,,,,,,,,
Q6776633,Martin Sopage,,Martin Sopage,Martin Sopage,Martin Sopage,Martin Sopage,Martin Sopage,male,1966-05,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6791373,Matthew Wale,Matthew Wale,Matthew Wale,,Matthew Wale,Matthew Wale,Matthew Wale,male,1968-06-13,Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q6915778,Moses Garu,Moses Garu,Moses Garu,Moses Garu,Moses Garu,Moses Garu,Moses Garu,male,1969-12-01,Moses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q6962085,Namson Tran,,Namson Tran,Namson Tran,Namson Tran,Namson Tran,Namson Tran,male,1968-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7176876,Peter Shannel Agovaka,Peter Shannel Agovaka,,,Peter Shannel Agovaka,Peter Shannel Agovaka,Peter Shannel Agovaka,male,1959-11-01,Peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q7177338,Peter Tom,Peter Tom,Peter Tom,,Peter Tom,Peter Tom,Peter Tom (politician),male,1964,Peter,,,,,,,,,,,,,,,,,Peter Tom (homme politique),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-05,,,,,,,,politician,,,,,,,,,,,,,,
Q7331464,Rick Houenipwela,,Rick Houenipwela,,Rick Houenipwela,Rick Houenipwela,Rick Houenipwela,male,1958-08-08,Rick,Rick Houenipwela,Rick Houenipwela,https://upload.wikimedia.org/wikipedia/commons/3/32/Matt_Thistlethwaite_Rick_Hou_2013_(cropped).jpg,,リック・ホウエニプウェラ,,Rick Houenipwela,Rick Houenipwela,,,Rick N. Houenipwela,,,,Rick Houenipwela,,Rick Houenipwela,,Rick N. Houenipwela,Rick Houenipwela,,,,,"Хоуенипвела, Рик",,,Rick Houenipwela,,,,,,,,,"Хоуенипвела, Рик",,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Rick Houenipwela,Rick Houenipwela,,,,,Rick Houenipwela,Rick Houenipwela
Q7407679,Sam Iduri,,Sam Iduri,Sam Iduri,,Sam Iduri,Sam Iduri,male,,Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q7412100,Samuel Manetoali,Samuel Manetoali,Samuel Manetoali,,Samuel Manetoali,Samuel Manetoali,Samuel Manetoali,male,1969-01-24,Samuel,Samuel Manetoali,Samuel Manetoali,https://upload.wikimedia.org/wikipedia/commons/0/07/Minister_Samuel_Manetoali_displays_a_memorandum_of_understanding_on_meteorology_and_seismology_cooperation_between_Solomon_Islands_and_the_Republic_of_China_(Taiwan)_on_28_April_2017_in_Taipei_City.jpg,,,,,,,,,,,,,,Samuel Manetoali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Samuel Manetoali,,,,,politician,,,,,,,,,,,,,,
Q7448942,Selwyn Riumana,Selwyn Riumana,Selwyn Riumana,,Selwyn Riumana,Selwyn Riumana,Selwyn Riumana,male,1966-06-30,Selwyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q7456493,Seth Gukuna,Seth Gukuna,Seth Gukuna,,Seth Gukuna,Seth Gukuna,Seth Gukuna,male,1961-08-21,Seth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q7599597,Stanley Festus Sofu,,Stanley Festus Sofu,,Stanley Festus Sofu,Stanley Festus Sofu,Stanley Festus Sofu,male,1964,Stanley,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Stanley_Festus_Sofu_in_London_-_2018_(26399108457)_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q7915752,Varian Lonamei,Varian Lonamei,Varian Lonamei,Varian Lonamei,Varian Lonamei,Varian Lonamei,Varian Lonamei,male,1962-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q9295534,Hypolite Taremae,Hypolite Taremae,Hypolite Taremae,,Hypolite Taremae,Hypolite Taremae,Hypolite Taremae,male,1968-04-04,Hypolite,Hypolite Taremae,Hypolite Taremae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q9300983,Martin Kealoe,,,,,Martin Kealoe,,male,1969-10-27,Martin,Martin Kealoe,Martin Kealoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q9336876,Silas Tausinga,,Silas Tausinga,,Silas Tausinga,Silas Tausinga,Silas Tausinga,male,1983-08-12,Silas,Silas Tausinga,Silas Tausinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Tausinga,,
Q939825,Gordon Darcy Lilo,Gordon Darcy Lilo,Gordon Darcy Lilo,,Gordon Darcy Lilo,Gordon Darcy Lilo,Gordon Darcy Lilo,male,1965-08-28,Gordon,Gordon Darcy Lilo,Gordon Darcy Lilo,https://upload.wikimedia.org/wikipedia/commons/c/c3/Gordon_Darcy_Lilo.jpg,Gordon Darcy Lilo,ゴードン・ダルシー・リロ,,Gordon Darcy Lilo,Gordon Darcy Lilo,,غوردون دارسي ليلو,,,Gordon Darcy Lilo,,Gordon Darcy Lilo,Gordon Darcy Lilo,Gordon Darcy Lilo,,,Gordon Darcy Lilo,,/m/04yb3hf,,,Гордон Дарси Лило,,,,,,,,,,,,"Лило, Гордон Дарси",,,גורדון דארסי לילו,גורדון דארסי לילו,,,,,Gordon Darcy Lilo,,戈登·達西·里諾,,,,,,,Category:Gordon Darcy Lilo,,,,,politician,,,Гордон Дарсі Ліло,Гордон Дарсі Ліло,,,,,,,,,,
Q948060,Charles Sigoto,Charles Sigoto,Charles Sigoto,,Charles Sigoto,Charles Sigoto,Charles Sigoto,male,1957-02-11,Charles,Charles Sigoto,Charles Sigoto,https://upload.wikimedia.org/wikipedia/commons/7/7b/Charles_Sigoto_2010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
