id,name,family_name,given_name,sort_name,parish,email,party,photo,term,source,area
98,Ian Joseph Gorst,Gorst,Ian Joseph,"Gorst, Ian Joseph",Island-wide,i.gorst@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Ian%20Gorst.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=98,Island-wide
133,Andrew Kenneth Francis  Green M.B.E.,Green M.B.E.,Andrew Kenneth Francis,"Green M.B.E., Andrew Kenneth Francis ",Island-wide,a.green@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Andrew%20Green.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=133,Island-wide
201,Lisa-Marie Hart,Hart,Lisa-Marie,"Hart, Lisa-Marie","",l.hart@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Lisa-Marie%20Hart.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=201,""
129,Michael Roderick Higgins,Higgins,Michael Roderick,"Higgins, Michael Roderick",St. Helier,mr.higgins@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Michael%20Higgins.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=129,St. Helier
73,Jacqueline Ann Hilton,Hilton,Jacqueline Ann,"Hilton, Jacqueline Ann",St. Helier,j.hilton@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Jacqueline%20Hilton.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=73,St. Helier
209,Robert David Johnson,Johnson,Robert David,"Johnson, Robert David",St. Mary,d.johnson@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/David%20Johnson.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=209,St. Mary
12,"The Very Reverend Robert Frederick Key, B.A.",Key,The Very Reverend Robert Frederick,"Key, B.A., The Very Reverend Robert Frederick","","",Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Bob%20Key.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=12,""
71,Carolyn Fiona Labey,Labey,Carolyn Fiona,"Labey, Carolyn Fiona",Grouville,c.labey@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Carolyn%20Labey.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=71,Grouville
216,Russell Labey,Labey,Russell,"Labey, Russell",St. Helier,r.labey@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Deputy%20R%20Labey.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=216,St. Helier
59,Timothy John Le Cocq,Le Cocq,Timothy John,"Le Cocq, Timothy John","",deputybailiff@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Timothy%20Le%20Cocq.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=59,""
90,John Alexander Nicholas Le Fondré,Le Fondré,John Alexander Nicholas,"Le Fondré, John Alexander Nicholas",St. Lawrence,j.lef@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/John%20Le%20Fondre.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=90,St. Lawrence
197,John Edward Le Maistre,Le Maistre,John Edward,"Le Maistre, John Edward",Grouville,j.lemaistre@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/John%20Le%20Maistre.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=197,Grouville
213,Philip Bond Le Sueur,Le Sueur,Philip Bond,"Le Sueur, Philip Bond",Trinity,p.lesueur@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Philip%20Le%20Sueur.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=213,Trinity
176,Sadie Anthea Le Sueur-Rennard,Le Sueur-Rennard,Sadie Anthea,"Le Sueur-Rennard, Sadie Anthea",St. Saviour,s.rennard@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Sadie%20Rennard.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=176,St. Saviour
170,Michel Philip Sydney Le Troquer,Le Troquer,Michel Philip Sydney,"Le Troquer, Michel Philip Sydney",St. Martin,m.letroquer@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Michel%20Le%20Troquer.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=170,St. Martin
96,Kevin Charles Lewis,Lewis,Kevin Charles,"Lewis, Kevin Charles",St. Saviour,k.lewis@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Kevin%20Lewis.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=96,St. Saviour
97,Andrew David Lewis,Lewis,Andrew David,"Lewis, Andrew David",St. Helier,a.lewis@gov.je,Independent,http://statesassembly/SiteCollectionImages/States%20Members/Deputy%20Andrew%20Lewis.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=97,St. Helier
171,Stephen George Luce,Luce,Stephen George,"Luce, Stephen George",St. Martin,s.luce@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Steve%20Luce.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=171,St. Martin
94,Alan John Henry Maclean,Maclean,Alan John Henry,"Maclean, Alan John Henry",Island-wide,a.maclean@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Alan%20Maclean.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=94,Island-wide
139,Jeremy Martin Maçon,Maçon,Jeremy Martin,"Maçon, Jeremy Martin",St. Saviour,j.macon@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Jeremy%20Macon.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=139,St. Saviour
219,Robert James MacRae QC,MacRae QC,Robert James,"MacRae QC, Robert James","",r.macrae@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/nophotopic.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=219,""
43,Judith Ann Martin,Martin,Judith Ann,"Martin, Judith Ann",St. Helier,ju.martin@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Judith%20Martin.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=43,St. Helier
153,"General Sir John McColl KCB, CBE, DSO",McColl KCB,General Sir John,"McColl KCB, CBE, DSO, General Sir John","","",Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Sir%20John%20McColl.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=153,""
206,Terence Alexander McDonald,McDonald,Terence Alexander,"McDonald, Terence Alexander",St. Saviour,t.mcdonald@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Terry%20McDonald.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=206,St. Saviour
205,Peter Derek McLinton,McLinton,Peter Derek,"McLinton, Peter Derek",St. Saviour,p.mclinton@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Peter%20McLinton.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=205,St. Saviour
91,Deidre Wendy Mezbourian,Mezbourian,Deidre Wendy,"Mezbourian, Deidre Wendy",St. Lawrence,d.mezbourian@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Deidre%20Mezbourian.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=91,St. Lawrence
200,Samuel Yves Mezec,Mezec,Samuel Yves,"Mezec, Samuel Yves",St. Helier,s.mezec@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Sam%20Mezec.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=200,St. Helier
172,Kristina Louise Moore,Moore,Kristina Louise,"Moore, Kristina Louise",St. Peter,k.moore2@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Deputy%20K%20Moore.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=172,St. Peter
128,Edward James Noel,Noel,Edward James,"Noel, Edward James",St. Lawrence,e.noel@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Edward%20Noel.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=128,St. Lawrence
11,Leonard Norman,Norman,Leonard,"Norman, Leonard",St. Clement,l.norman@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Leonard%20Norman.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=11,St. Clement
204,Murray Julian Norton,Norton,Murray Julian,"Norton, Murray Julian",St. Brelade,m.norton@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Murray%20Norton.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=204,St. Brelade
40,Philip Francis Cyril Ozouf,Ozouf,Philip Francis Cyril,"Ozouf, Philip Francis Cyril",Island-wide,p.ozouf@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Philip%20Ozouf.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=40,Island-wide
173,Michael John Paddock,Paddock,Michael John,"Paddock, Michael John",St. Ouen,m.paddock@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Michael%20Paddock.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=173,St. Ouen
174,Stephen William Pallett,Pallett,Stephen William,"Pallett, Stephen William",St. Brelade,s.pallett@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Steve%20Pallett.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=174,St. Brelade
175,Susan Jane Pinel,Pinel,Susan Jane,"Pinel, Susan Jane",St. Clement,s.pinel@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Susie%20Pinel.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=175,St. Clement
92,Anne Enid Pryke,Pryke,Anne Enid,"Pryke, Anne Enid",Trinity,a.pryke@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Anne%20Pryke.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=92,Trinity
136,John Martin Refault,Refault,John Martin,"Refault, John Martin",St. Peter,j.refault@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/John%20Refault.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=136,St. Peter
207,Richard John Renouf,Renouf,Richard John,"Renouf, Richard John",St. Ouen,r.renouf@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Richard%20Renouf.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=207,St. Ouen
177,Richard John Rondel,Rondel,Richard John,"Rondel, Richard John",St. Helier,richard.rondel@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Richard%20Rondel.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=177,St. Helier
20,Paul Francis Routier M.B.E.,Routier M.B.E.,Paul Francis,"Routier M.B.E., Paul Francis",Island-wide,p.routier@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Paul%20Routier.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=20,Island-wide
152,Howard Sharp QC,Sharp QC,Howard,"Sharp QC, Howard","",h.sharp@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/nophotopic.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=152,""
63,Geoffrey Peter Southern,Southern,Geoffrey Peter,"Southern, Geoffrey Peter",St. Helier,g.southern@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Geoffrey%20Southern.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=63,St. Helier
140,Montfort Tadier,Tadier,Montfort,"Tadier, Montfort",St. Brelade,m.tadier@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Montfort%20Tadier.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=140,St. Brelade
208,Christopher Hugh Taylor,Taylor,Christopher Hugh,"Taylor, Christopher Hugh",St. John,c.taylor@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Christopher%20Taylor.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=208,St. John
211,Graham John Truscott,Truscott,Graham John,"Truscott, Graham John",St. Brelade,g.truscott@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Graham%20Truscott.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=211,St. Brelade
132,Tracey Anne Vallois,Vallois,Tracey Anne,"Vallois, Tracey Anne",St. John,t.vallois@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Tracey%20Vallois.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=132,St. John
212,Scott Michael Wickenden,Wickenden,Scott Michael,"Wickenden, Scott Michael",St. Helier,s.wickenden@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Scott%20Wickenden.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=212,St. Helier
60,Michael Wilkins MBE,Wilkins MBE,Michael,"Wilkins MBE, Michael","",viscount@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/9779-17231.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=60,""
